Vendor,Brand,Product,Article Number,Product Description,Group (DERNI),Category (DERNI),Class (DERNI),GR Qty
504162,"SMEG","KLF03BLAU",11377719,"SMEG 50'S STYLE BADGED BLACK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504162,"SUNBEAM","KE2700K",11538678,"SUNBEAM ALINEA KETTLE DARK CANYON","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504688,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504875,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504953,"BREVILLE","BKE395",11089345,"BREVILLE COMPACT KETTLE PURE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504953,"BREVILLE","BKE735BTR",11372259,"BREVILLE SOFT TOP LUXE - BLACK TRUFFLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504953,"SMEG","KLF03PBAU",11377720,"SMEG 50'S STYLE BADGED BLUE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504953,"SMEG","KLF03PKAU",11525231,"SMEG 50'S STYLE BADGED PINK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"DELONGHI","KBIN2001W",11535803,"DELONGHI DISTINTA KETTLE WHITE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"SMEG","KLF04CRAU",11400235,"SMEG 50'S STYLE VARIABLE TEMP KETTLE CR","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"SMEG","KLF04PGAU",11400230,"SMEG 50'S STYLE VARIABLE TEMP KETTLE PG","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"SUNBEAM","KE2700W",11538680,"SUNBEAM ALINEA KETTLE OCEAN MIST","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505148,"SUNBEAM","KE4430GM",11560868,"SUNBEAM N/YORK KETTLE C/PARK GREEN HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
505267,"BREVILLE","BKE735BTR",11372259,"BREVILLE SOFT TOP LUXE - BLACK TRUFFLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506169,"BREVILLE","BKE735ALM4JAN1",11760372,"BREVILLE THE SOFT TOP LUXE ALMOND NOUGAT","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506169,"BREVILLE","BKE735BSS",11250809,"BREVILLE SOFT TOP LUXE - STAINLESS STEEL","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506169,"KITCHENAID","5KEK1835APT",11754957,"KITCHENAID 1.7 ELECTRIC KETTLE PISTACHIO","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506169,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506169,"WESTINGHOU","WHKE06SS",11465921,"WEST/HOUSE KETTLE 17.L SS","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506316,"SUNBEAM","KE4430GM",11560868,"SUNBEAM N/YORK KETTLE C/PARK GREEN HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506316,"SUNBEAM","KE6450K",11713011,"SUNBEAM BLACKCLASSIC GLASS KETTLE 1.7L","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506338,"BREVILLE","BKE735ALM4JAN1",11760372,"BREVILLE THE SOFT TOP LUXE ALMOND NOUGAT","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506338,"MORPHY RIC","100023",11638476,"MORPHY RIC ASPECT BLK CHR KETTLE TITAN","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506338,"RUSS/HOBBS","RHK172BCH",11625069,"RUSS HOBBS BROOKLYN GLASS KETTLE -BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506340,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506692,"DELONGHI","KBOC2001AZ",11616871,"DELONGHI ICONA CAPITALS AZURE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
506698,"KAMBROOK","KKE280WHT",11535263,"KAMBROOK POUR WITH EASE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
507060,"BREVILLE","BKE735SST",11441914,"BREVILLE LUXE KETTLE - SEA SALT","SMALL APPLIANCES","BREAKFAST","KETTLES",1
507133,"MORPHY RIC","102042",11638473,"MORPHY RIC ACCENTS R.GOLD PPKETTLE GREY","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508052,"SMEG","KLF04RDAU",11400232,"SMEG 50'S STYLE VARIABLE TEMP KETTLE RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508397,"SMEG","KLF03SSAU",11377724,"SMEG 50'S STYLE BADGED STAINLESS KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508511,"DELONGHI","KBOT2001AZ",11701694,"DELONGHI ICONA METALLICS KET-COBALT BLUE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508515,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508516,"SMEG","KLF03BLAU",11377719,"SMEG 50'S STYLE BADGED BLACK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508516,"SMEG","KLF03PKAU",11525231,"SMEG 50'S STYLE BADGED PINK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508524,"DELONGHI","KBOT2001BG",11701696,"DELONGHI ICONAMETALLICSKET-CHAMPAGNEHNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508526,"SMEG","KLF03PKAU",11525231,"SMEG 50'S STYLE BADGED PINK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508782,"SMEG","KLF03BLAU",11377719,"SMEG 50'S STYLE BADGED BLACK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
508782,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
511476,"DELONGHI","KBOT2001BG",11701696,"DELONGHI ICONAMETALLICSKET-CHAMPAGNEHNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
511476,"SMEG","KLF03PKAU",11525231,"SMEG 50'S STYLE BADGED PINK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
511476,"SMEG","KLF04CRAU",11400235,"SMEG 50'S STYLE VARIABLE TEMP KETTLE CR","SMALL APPLIANCES","BREAKFAST","KETTLES",1
511839,"BREVILLE","BKE735BSS",11250809,"BREVILLE SOFT TOP LUXE - STAINLESS STEEL","SMALL APPLIANCES","BREAKFAST","KETTLES",1
511839,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
511839,"SMEG","KLF04SSAU",11400199,"SMEG 50'S STYLE VARIABLE TEMP KETTLE SS","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601261,"DELONGHI","KBOC2001W",11502657,"DELONGHI ICONA CAPITALS KETTLE - WHITE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601261,"DELONGHI","KBOT2001AZ",11701694,"DELONGHI ICONA METALLICS KET-COBALT BLUE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601261,"SMEG","KLF03PBAU",11377720,"SMEG 50'S STYLE BADGED BLUE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601261,"SMEG","KLF03PGAU",11377723,"SMEG 50'S STYLE BADGED GREEN KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601261,"SUNBEAM","KE2700K",11538678,"SUNBEAM ALINEA KETTLE DARK CANYON","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601261,"SUNBEAM","KE6451",11184875,"SUNBEAM MAESTRO KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601833,"BREVILLE","BKE735BSS",11250809,"BREVILLE SOFT TOP LUXE - STAINLESS STEEL","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601833,"BREVILLE","BKE840CLR",11441890,"BREVILLE SMART KETTLE CLEAR","SMALL APPLIANCES","BREAKFAST","KETTLES",1
601833,"SMEG","KLF03BLAU",11377719,"SMEG 50'S STYLE BADGED BLACK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
603120,"SMEG","KLF03PKAU",11525231,"SMEG 50'S STYLE BADGED PINK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
604268,"DELONGHI","KBO2001BK",10017905,"DELONGHI ICONA KET BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
604906,"DELONGHI","KBOC2001R",11502658,"DELONGHI ICONA CAPITALS KETTLE - RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
604906,"KITCHENAID","5KEK1835AAC",11541335,"KITCHENAID 1.7L ARTISAN KET ALMOND CREAM","SMALL APPLIANCES","BREAKFAST","KETTLES",1
604909,"KITCHENAID","5KEK1835AOB",11541332,"KITCHENAID 1.7L ARTISAN KET ONYX BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
604909,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
607526,"SUNBEAM","KE4410KB",11510613,"SUNBEAM NEW YORK 1.5L POT KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
607983,"DELONGHI","KBOT2001AZ",11701694,"DELONGHI ICONA METALLICS KET-COBALT BLUE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
607983,"SUNBEAM","KE4430BM",11560872,"SUNBEAM N/YORK KETTLE CERULEAN BLUE HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
607987,"SMEG","KLF03BLAU",11377719,"SMEG 50'S STYLE BADGED BLACK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610035,"KITCHENAID","5KEK1835AAC",11541335,"KITCHENAID 1.7L ARTISAN KET ALMOND CREAM","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610035,"KITCHENAID","5KEK1835AOB",11541332,"KITCHENAID 1.7L ARTISAN KET ONYX BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610035,"MORPHY RIC","102107",11366901,"MORPHY RICHARDS ACCENTS RG PYR KETTLE BK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610036,"RUSS/HOBBS","RHK172BCH",11625069,"RUSS HOBBS BROOKLYN GLASS KETTLE -BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610042,"SMEG","KLF04CRAU",11400235,"SMEG 50'S STYLE VARIABLE TEMP KETTLE CR","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610042,"SMEG","KLF04RDAU",11400232,"SMEG 50'S STYLE VARIABLE TEMP KETTLE RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610042,"TRENT & ST","TS868BSS",11724270,"T&S 1.7LT CONE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610045,"MORPHY RIC","100023",11638476,"MORPHY RIC ASPECT BLK CHR KETTLE TITAN","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610106,"BREVILLE","BKE735SST",11441914,"BREVILLE LUXE KETTLE - SEA SALT","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610106,"MORPHY RIC","102107",11366901,"MORPHY RICHARDS ACCENTS RG PYR KETTLE BK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610106,"RUSS/HOBBS","RHK92COP",11445800,"RUSSELL HOBBS BROOKLYN KETTLE COPPER","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610106,"SUNBEAM","KE4430WG",11510609,"SUNBEAM NEW YORK 1.7L JUG KETTLE WHITE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610120,"SMEG","KLF04BLAU",11400234,"SMEG 50'S STYLE VARIABLE TEMP KETTLE BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610819,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
610873,"BREVILLE","BKE735PTS",11559847,"BREVILLE KETTLE-PISTACHIO SORBET HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
611045,"SMEG","KLF04PGAU",11400230,"SMEG 50'S STYLE VARIABLE TEMP KETTLE PG","SMALL APPLIANCES","BREAKFAST","KETTLES",1
611079,"MORPHY RIC","100117",11556730,"MORPHY RIC EVOKE PYR KETTLE ROSE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
612348,"SUNBEAM","KE4430KB",11510612,"SUNBEAM NEW YORK 1.7L JUG KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
614857,"SMEG","KLF03RDAU",11377721,"SMEG 50'S STYLE BADGED RED KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
615262,"BREVILLE","BKE735ALM4JAN1",11760372,"BREVILLE THE SOFT TOP LUXE ALMOND NOUGAT","SMALL APPLIANCES","BREAKFAST","KETTLES",1
615262,"BREVILLE","BKE735BTR",11372259,"BREVILLE SOFT TOP LUXE - BLACK TRUFFLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
615262,"BREVILLE","BKE825BSS",11434089,"BREVILLE THE SMART KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
615262,"SUNBEAM","KE4430TE",11671890,"SUNBEAM TRIBECA JUG POTENT T/COTTA HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
615355,"DELONGHI","KBO2001BK",10017905,"DELONGHI ICONA KET BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
615355,"SMEG","KLF03SSAU",11377724,"SMEG 50'S STYLE BADGED STAINLESS KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616717,"KITCHENAID","5KEK1835AOB",11541332,"KITCHENAID 1.7L ARTISAN KET ONYX BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616717,"KITCHENAID","5KEK1835APT",11754957,"KITCHENAID 1.7 ELECTRIC KETTLE PISTACHIO","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616717,"SMEG","KLF03PGAU",11377723,"SMEG 50'S STYLE BADGED GREEN KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616717,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616720,"DELONGHI","KBOC2001R",11502658,"DELONGHI ICONA CAPITALS KETTLE - RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616720,"MORPHY RIC","102041",11638474,"MORPHY RIC ACCENTS R.GOLD KETTLE M.BLUE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
616937,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
617095,"RUSS/HOBBS","RHK92BLK",11468471,"RUSSELL HOOBS BROOKLYN KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
617394,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
617395,"BREVILLE","BKE395",11089345,"BREVILLE COMPACT KETTLE PURE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
617398,"KITCHENAID","5KEK1835AWH",11541330,"KITCHENAID 1.7L ARTISAN KETTLE WHITE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
617398,"RUSS/HOBBS","RHK172BCH",11625069,"RUSS HOBBS BROOKLYN GLASS KETTLE -BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
618131,"BREVILLE","BKE825BSS",11434089,"BREVILLE THE SMART KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
618131,"DELONGHI","KBOC2001Y",11502656,"DELONGHI ICONA CAPITALS KETTLE - YELLOW","SMALL APPLIANCES","BREAKFAST","KETTLES",1
618131,"MORPHY RIC","102107",11366901,"MORPHY RICHARDS ACCENTS RG PYR KETTLE BK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
618131,"MORPHY RIC","MREK1B",11738905,"MORPHY RIC EQUIP 1.0L KETTLE - BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
618131,"SMEG","KLF04BLAU",11400234,"SMEG 50'S STYLE VARIABLE TEMP KETTLE BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
620709,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
620709,"SUNBEAM","KE4430PU",11671845,"SUNBEAM TRIBECA JUG DELIGHT PURPLE HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
621654,"SUNBEAM","KE2700W",11538680,"SUNBEAM ALINEA KETTLE OCEAN MIST","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622130,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622132,"BREVILLE","BKE395",11089345,"BREVILLE COMPACT KETTLE PURE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622132,"SMEG","KLF03PBAU",11377720,"SMEG 50'S STYLE BADGED BLUE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622140,"DELONGHI","KBOT2001BG",11701696,"DELONGHI ICONAMETALLICSKET-CHAMPAGNEHNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622140,"SMEG","KLF03RDAU",11377721,"SMEG 50'S STYLE BADGED RED KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622151,"BREVILLE","BKE735OLT4JAN1",11760370,"BREVILLE SOFT TOP LUXE OLIVE TAPENADE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622151,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
622151,"SUNBEAM","KE4430GM",11560868,"SUNBEAM N/YORK KETTLE C/PARK GREEN HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
623919,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
623919,"SUNBEAM","KE4430CM",11560870,"SUNBEAM N/YORK KETTLE COPPER PENNY HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
626763,"BREVILLE","BKE395",11089345,"BREVILLE COMPACT KETTLE PURE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
627405,"SMEG","KLF04PBAU",11400233,"SMEG 50'S STYLE VARIABLE TEMP KETTLE PB","SMALL APPLIANCES","BREAKFAST","KETTLES",1
627405,"SUNBEAM","KE4430PU",11671845,"SUNBEAM TRIBECA JUG DELIGHT PURPLE HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
628990,"RUSS/HOBBS","RHK172BCH",11625069,"RUSS HOBBS BROOKLYN GLASS KETTLE -BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
632617,"WESTINGHOU","WHKE06SS",11465921,"WEST/HOUSE KETTLE 17.L SS","SMALL APPLIANCES","BREAKFAST","KETTLES",1
634129,"DELONGHI","KBOC2001R",11502658,"DELONGHI ICONA CAPITALS KETTLE - RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
300257,"KITCHENAID","5AKMT423VB",11443072,"KITCHENAID 4 SLICE BLUE VELVET TOASTER","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
500076,"BREVILLE","BTA730BSS",11202722,"BREVILLE THE LIFT AND LOOK PRO 4 SLICE","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
500076,"DELONGHI","CTIN4003BK",11535806,"DELONGHI DISTINTA 4 SLC TOASTER BLK","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
500076,"SMEG","TSF02BLAU",11443190,"SMEG 4 SLICE 2 LONGSLOT TOASTER BLACK","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
500076,"SUNBEAM","TA4440TE",11671892,"SUNBEAM TRIBECA 4SL POTENT T/COTTA HNGX","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
500469,"DELONGHI","CTIN4003BK",11535806,"DELONGHI DISTINTA 4 SLC TOASTER BLK","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
501072,"SMEG","TSF03CRAU",11503111,"SMEG 4 SLOT TOASTER CREAM","SMALL APPLIANCES","BREAKFAST","TOASTERS / 4 SLICE",1
