DateKey,Date,Day,DayName,Week,ISOWeek,DayOfWeek,Month,MonthName,Quarter,Year,FirstOfMonth,LastOfYear,DayOfYear,Quarter name
20120227,2012-02-27 00:00:00.000,27,"Monday",9,9,2,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,58,"Quarter 1"
20120228,2012-02-28 00:00:00.000,28,"Tuesday",9,9,3,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,59,"Quarter 1"
20120229,2012-02-29 00:00:00.000,29,"Wednesday",9,9,4,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,60,"Quarter 1"
20120301,2012-03-01 00:00:00.000,1,"Thursday",9,9,5,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,61,"Quarter 1"
20120302,2012-03-02 00:00:00.000,2,"Friday",9,9,6,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,62,"Quarter 1"
20120303,2012-03-03 00:00:00.000,3,"Saturday",9,9,7,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,63,"Quarter 1"
20120304,2012-03-04 00:00:00.000,4,"Sunday",10,9,1,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,64,"Quarter 1"
20120305,2012-03-05 00:00:00.000,5,"Monday",10,10,2,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,65,"Quarter 1"
20120306,2012-03-06 00:00:00.000,6,"Tuesday",10,10,3,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,66,"Quarter 1"
20120307,2012-03-07 00:00:00.000,7,"Wednesday",10,10,4,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,67,"Quarter 1"
20120308,2012-03-08 00:00:00.000,8,"Thursday",10,10,5,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,68,"Quarter 1"
20120309,2012-03-09 00:00:00.000,9,"Friday",10,10,6,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,69,"Quarter 1"
20120310,2012-03-10 00:00:00.000,10,"Saturday",10,10,7,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,70,"Quarter 1"
20120311,2012-03-11 00:00:00.000,11,"Sunday",11,10,1,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,71,"Quarter 1"
20120312,2012-03-12 00:00:00.000,12,"Monday",11,11,2,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,72,"Quarter 1"
20120313,2012-03-13 00:00:00.000,13,"Tuesday",11,11,3,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,73,"Quarter 1"
20120314,2012-03-14 00:00:00.000,14,"Wednesday",11,11,4,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,74,"Quarter 1"
20120315,2012-03-15 00:00:00.000,15,"Thursday",11,11,5,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,75,"Quarter 1"
20120316,2012-03-16 00:00:00.000,16,"Friday",11,11,6,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,76,"Quarter 1"
20120317,2012-03-17 00:00:00.000,17,"Saturday",11,11,7,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,77,"Quarter 1"
20120318,2012-03-18 00:00:00.000,18,"Sunday",12,11,1,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,78,"Quarter 1"
20120319,2012-03-19 00:00:00.000,19,"Monday",12,12,2,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,79,"Quarter 1"
20120320,2012-03-20 00:00:00.000,20,"Tuesday",12,12,3,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,80,"Quarter 1"
20120321,2012-03-21 00:00:00.000,21,"Wednesday",12,12,4,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,81,"Quarter 1"
20120322,2012-03-22 00:00:00.000,22,"Thursday",12,12,5,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,82,"Quarter 1"
20120323,2012-03-23 00:00:00.000,23,"Friday",12,12,6,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,83,"Quarter 1"
20120324,2012-03-24 00:00:00.000,24,"Saturday",12,12,7,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,84,"Quarter 1"
20120325,2012-03-25 00:00:00.000,25,"Sunday",13,12,1,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,85,"Quarter 1"
20120326,2012-03-26 00:00:00.000,26,"Monday",13,13,2,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,86,"Quarter 1"
20120327,2012-03-27 00:00:00.000,27,"Tuesday",13,13,3,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,87,"Quarter 1"
20120328,2012-03-28 00:00:00.000,28,"Wednesday",13,13,4,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,88,"Quarter 1"
20120329,2012-03-29 00:00:00.000,29,"Thursday",13,13,5,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,89,"Quarter 1"
20120330,2012-03-30 00:00:00.000,30,"Friday",13,13,6,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,90,"Quarter 1"
20120331,2012-03-31 00:00:00.000,31,"Saturday",13,13,7,3,"March",1,2012,2012-03-01 00:00:00.000,2012-12-31 00:00:00.000,91,"Quarter 1"
20120401,2012-04-01 00:00:00.000,1,"Sunday",14,13,1,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,92,"Quarter 2"
20120402,2012-04-02 00:00:00.000,2,"Monday",14,14,2,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,93,"Quarter 2"
20120403,2012-04-03 00:00:00.000,3,"Tuesday",14,14,3,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,94,"Quarter 2"
20120404,2012-04-04 00:00:00.000,4,"Wednesday",14,14,4,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,95,"Quarter 2"
20120405,2012-04-05 00:00:00.000,5,"Thursday",14,14,5,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,96,"Quarter 2"
20120406,2012-04-06 00:00:00.000,6,"Friday",14,14,6,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,97,"Quarter 2"
20120407,2012-04-07 00:00:00.000,7,"Saturday",14,14,7,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,98,"Quarter 2"
20120408,2012-04-08 00:00:00.000,8,"Sunday",15,14,1,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,99,"Quarter 2"
20120409,2012-04-09 00:00:00.000,9,"Monday",15,15,2,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,100,"Quarter 2"
20120410,2012-04-10 00:00:00.000,10,"Tuesday",15,15,3,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,101,"Quarter 2"
20120411,2012-04-11 00:00:00.000,11,"Wednesday",15,15,4,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,102,"Quarter 2"
20120412,2012-04-12 00:00:00.000,12,"Thursday",15,15,5,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,103,"Quarter 2"
20120413,2012-04-13 00:00:00.000,13,"Friday",15,15,6,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,104,"Quarter 2"
20120414,2012-04-14 00:00:00.000,14,"Saturday",15,15,7,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,105,"Quarter 2"
20120415,2012-04-15 00:00:00.000,15,"Sunday",16,15,1,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,106,"Quarter 2"
20120416,2012-04-16 00:00:00.000,16,"Monday",16,16,2,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,107,"Quarter 2"
20120417,2012-04-17 00:00:00.000,17,"Tuesday",16,16,3,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,108,"Quarter 2"
20120418,2012-04-18 00:00:00.000,18,"Wednesday",16,16,4,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,109,"Quarter 2"
20120419,2012-04-19 00:00:00.000,19,"Thursday",16,16,5,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,110,"Quarter 2"
20120420,2012-04-20 00:00:00.000,20,"Friday",16,16,6,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,111,"Quarter 2"
20120421,2012-04-21 00:00:00.000,21,"Saturday",16,16,7,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,112,"Quarter 2"
20120422,2012-04-22 00:00:00.000,22,"Sunday",17,16,1,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,113,"Quarter 2"
20120423,2012-04-23 00:00:00.000,23,"Monday",17,17,2,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,114,"Quarter 2"
20120424,2012-04-24 00:00:00.000,24,"Tuesday",17,17,3,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,115,"Quarter 2"
20120425,2012-04-25 00:00:00.000,25,"Wednesday",17,17,4,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,116,"Quarter 2"
20120426,2012-04-26 00:00:00.000,26,"Thursday",17,17,5,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,117,"Quarter 2"
20120427,2012-04-27 00:00:00.000,27,"Friday",17,17,6,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,118,"Quarter 2"
20120428,2012-04-28 00:00:00.000,28,"Saturday",17,17,7,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,119,"Quarter 2"
20120429,2012-04-29 00:00:00.000,29,"Sunday",18,17,1,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,120,"Quarter 2"
20120430,2012-04-30 00:00:00.000,30,"Monday",18,18,2,4,"April",2,2012,2012-04-01 00:00:00.000,2012-12-31 00:00:00.000,121,"Quarter 2"
20120501,2012-05-01 00:00:00.000,1,"Tuesday",18,18,3,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,122,"Quarter 2"
20120502,2012-05-02 00:00:00.000,2,"Wednesday",18,18,4,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,123,"Quarter 2"
20120503,2012-05-03 00:00:00.000,3,"Thursday",18,18,5,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,124,"Quarter 2"
20120504,2012-05-04 00:00:00.000,4,"Friday",18,18,6,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,125,"Quarter 2"
20120505,2012-05-05 00:00:00.000,5,"Saturday",18,18,7,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,126,"Quarter 2"
20120506,2012-05-06 00:00:00.000,6,"Sunday",19,18,1,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,127,"Quarter 2"
20120507,2012-05-07 00:00:00.000,7,"Monday",19,19,2,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,128,"Quarter 2"
20120508,2012-05-08 00:00:00.000,8,"Tuesday",19,19,3,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,129,"Quarter 2"
20120509,2012-05-09 00:00:00.000,9,"Wednesday",19,19,4,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,130,"Quarter 2"
20120510,2012-05-10 00:00:00.000,10,"Thursday",19,19,5,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,131,"Quarter 2"
20120511,2012-05-11 00:00:00.000,11,"Friday",19,19,6,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,132,"Quarter 2"
20120512,2012-05-12 00:00:00.000,12,"Saturday",19,19,7,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,133,"Quarter 2"
20120513,2012-05-13 00:00:00.000,13,"Sunday",20,19,1,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,134,"Quarter 2"
20120514,2012-05-14 00:00:00.000,14,"Monday",20,20,2,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,135,"Quarter 2"
20120515,2012-05-15 00:00:00.000,15,"Tuesday",20,20,3,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,136,"Quarter 2"
20120516,2012-05-16 00:00:00.000,16,"Wednesday",20,20,4,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,137,"Quarter 2"
20120517,2012-05-17 00:00:00.000,17,"Thursday",20,20,5,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,138,"Quarter 2"
20120518,2012-05-18 00:00:00.000,18,"Friday",20,20,6,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,139,"Quarter 2"
20120519,2012-05-19 00:00:00.000,19,"Saturday",20,20,7,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,140,"Quarter 2"
20120520,2012-05-20 00:00:00.000,20,"Sunday",21,20,1,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,141,"Quarter 2"
20120521,2012-05-21 00:00:00.000,21,"Monday",21,21,2,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,142,"Quarter 2"
20120522,2012-05-22 00:00:00.000,22,"Tuesday",21,21,3,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,143,"Quarter 2"
20120523,2012-05-23 00:00:00.000,23,"Wednesday",21,21,4,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,144,"Quarter 2"
20120524,2012-05-24 00:00:00.000,24,"Thursday",21,21,5,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,145,"Quarter 2"
20120525,2012-05-25 00:00:00.000,25,"Friday",21,21,6,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,146,"Quarter 2"
20120526,2012-05-26 00:00:00.000,26,"Saturday",21,21,7,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,147,"Quarter 2"
20120527,2012-05-27 00:00:00.000,27,"Sunday",22,21,1,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,148,"Quarter 2"
20120528,2012-05-28 00:00:00.000,28,"Monday",22,22,2,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,149,"Quarter 2"
20120529,2012-05-29 00:00:00.000,29,"Tuesday",22,22,3,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,150,"Quarter 2"
20120530,2012-05-30 00:00:00.000,30,"Wednesday",22,22,4,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,151,"Quarter 2"
20120531,2012-05-31 00:00:00.000,31,"Thursday",22,22,5,5,"May",2,2012,2012-05-01 00:00:00.000,2012-12-31 00:00:00.000,152,"Quarter 2"
20120601,2012-06-01 00:00:00.000,1,"Friday",22,22,6,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,153,"Quarter 2"
20120602,2012-06-02 00:00:00.000,2,"Saturday",22,22,7,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,154,"Quarter 2"
20120603,2012-06-03 00:00:00.000,3,"Sunday",23,22,1,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,155,"Quarter 2"
20120604,2012-06-04 00:00:00.000,4,"Monday",23,23,2,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,156,"Quarter 2"
20120605,2012-06-05 00:00:00.000,5,"Tuesday",23,23,3,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,157,"Quarter 2"
20120606,2012-06-06 00:00:00.000,6,"Wednesday",23,23,4,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,158,"Quarter 2"
20120607,2012-06-07 00:00:00.000,7,"Thursday",23,23,5,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,159,"Quarter 2"
20120608,2012-06-08 00:00:00.000,8,"Friday",23,23,6,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,160,"Quarter 2"
20120609,2012-06-09 00:00:00.000,9,"Saturday",23,23,7,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,161,"Quarter 2"
20120610,2012-06-10 00:00:00.000,10,"Sunday",24,23,1,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,162,"Quarter 2"
20120611,2012-06-11 00:00:00.000,11,"Monday",24,24,2,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,163,"Quarter 2"
20120612,2012-06-12 00:00:00.000,12,"Tuesday",24,24,3,6,"June",2,2012,2012-06-01 00:00:00.000,2012-12-31 00:00:00.000,164,"Quarter 2"
