CasualtiesID,CasualtiesNK,Casualties Class,Casualties Type,Age Band,Age Band (groups),Order
98,27181,"Driver or rider","Horse rider","26 - 35","Adult","3"
99,42071,"Driver or rider","Horse rider","36 - 45","Adult","3"
100,622199,"Driver or rider","Horse rider","46 - 55","Adult","3"
101,53435,"Driver or rider","Horse rider","56 - 65","Adult","3"
106,57486,"Driver or rider","Agricultural vehicle occupant","21 - 25","Adult","3"
107,90250,"Driver or rider","Agricultural vehicle occupant","26 - 35","Adult","3"
108,88488,"Driver or rider","Agricultural vehicle occupant","36 - 45","Adult","3"
109,94371,"Driver or rider","Agricultural vehicle occupant","46 - 55","Adult","3"
110,63155,"Driver or rider","Agricultural vehicle occupant","56 - 65","Adult","3"
114,612999,"Driver or rider","Tram occupant","21 - 25","Adult","3"
115,126383,"Driver or rider","Tram occupant","26 - 35","Adult","3"
118,150279,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","21 - 25","Adult","3"
119,130608,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","26 - 35","Adult","3"
120,132073,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","36 - 45","Adult","3"
121,149812,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","46 - 55","Adult","3"
122,181609,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","56 - 65","Adult","3"
127,7748,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","21 - 25","Adult","3"
128,196871,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","26 - 35","Adult","3"
129,210601,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","36 - 45","Adult","3"
130,228882,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","46 - 55","Adult","3"
131,226420,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","56 - 65","Adult","3"
136,242923,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","21 - 25","Adult","3"
137,428932,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","26 - 35","Adult","3"
138,284932,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","36 - 45","Adult","3"
139,290267,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","46 - 55","Adult","3"
140,305013,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","56 - 65","Adult","3"
145,435699,"Driver or rider","Mobility scooter rider","21 - 25","Adult","3"
146,758677,"Driver or rider","Mobility scooter rider","26 - 35","Adult","3"
147,466735,"Driver or rider","Mobility scooter rider","36 - 45","Adult","3"
148,366369,"Driver or rider","Mobility scooter rider","46 - 55","Adult","3"
149,499360,"Driver or rider","Mobility scooter rider","56 - 65","Adult","3"
154,718508,"Driver or rider","Electric motorcycle rider or passenger","21 - 25","Adult","3"
155,494426,"Driver or rider","Electric motorcycle rider or passenger","26 - 35","Adult","3"
156,462147,"Driver or rider","Electric motorcycle rider or passenger","46 - 55","Adult","3"
164,329696,"Driver or rider","Other vehicle occupant","21 - 25","Adult","3"
165,331271,"Driver or rider","Other vehicle occupant","26 - 35","Adult","3"
166,474835,"Driver or rider","Other vehicle occupant","36 - 45","Adult","3"
167,473569,"Driver or rider","Other vehicle occupant","46 - 55","Adult","3"
168,514700,"Driver or rider","Other vehicle occupant","56 - 65","Adult","3"
174,524804,"Driver or rider","Motorcycle - unknown cc rider or passenger","21 - 25","Adult","3"
175,716323,"Driver or rider","Motorcycle - unknown cc rider or passenger","26 - 35","Adult","3"
176,495289,"Driver or rider","Motorcycle - unknown cc rider or passenger","36 - 45","Adult","3"
177,714364,"Driver or rider","Motorcycle - unknown cc rider or passenger","46 - 55","Adult","3"
178,769354,"Driver or rider","Motorcycle - unknown cc rider or passenger","56 - 65","Adult","3"
182,767240,"Driver or rider","Goods vehicle (unknown weight) occupant","21 - 25","Adult","3"
183,712535,"Driver or rider","Goods vehicle (unknown weight) occupant","26 - 35","Adult","3"
184,706183,"Driver or rider","Goods vehicle (unknown weight) occupant","36 - 45","Adult","3"
185,288848,"Driver or rider","Goods vehicle (unknown weight) occupant","46 - 55","Adult","3"
186,572449,"Driver or rider","Goods vehicle (unknown weight) occupant","56 - 65","Adult","3"
192,561421,"Passenger","Cyclist","21 - 25","Adult","3"
193,773433,"Passenger","Cyclist","26 - 35","Adult","3"
194,439807,"Passenger","Cyclist","36 - 45","Adult","3"
195,634332,"Passenger","Cyclist","46 - 55","Adult","3"
196,240680,"Passenger","Cyclist","56 - 65","Adult","3"
204,616976,"Passenger","Motorcycle 50cc and under rider or passenger","21 - 25","Adult","3"
205,73548,"Passenger","Motorcycle 50cc and under rider or passenger","26 - 35","Adult","3"
206,42334,"Passenger","Motorcycle 50cc and under rider or passenger","36 - 45","Adult","3"
207,379878,"Passenger","Motorcycle 50cc and under rider or passenger","46 - 55","Adult","3"
208,261027,"Passenger","Motorcycle 50cc and under rider or passenger","56 - 65","Adult","3"
215,86218,"Passenger","Motorcycle 125cc and under rider or passenger","21 - 25","Adult","3"
216,88065,"Passenger","Motorcycle 125cc and under rider or passenger","26 - 35","Adult","3"
217,613349,"Passenger","Motorcycle 125cc and under rider or passenger","36 - 45","Adult","3"
218,109260,"Passenger","Motorcycle 125cc and under rider or passenger","46 - 55","Adult","3"
219,295656,"Passenger","Motorcycle 125cc and under rider or passenger","56 - 65","Adult","3"
227,122323,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","21 - 25","Adult","3"
228,1182,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","26 - 35","Adult","3"
229,124447,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","36 - 45","Adult","3"
230,177319,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","46 - 55","Adult","3"
231,232864,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","56 - 65","Adult","3"
239,168605,"Passenger","Motorcycle over 500cc rider or passenger","21 - 25","Adult","3"
240,237783,"Passenger","Motorcycle over 500cc rider or passenger","26 - 35","Adult","3"
241,6669,"Passenger","Motorcycle over 500cc rider or passenger","36 - 45","Adult","3"
242,191485,"Passenger","Motorcycle over 500cc rider or passenger","46 - 55","Adult","3"
243,252260,"Passenger","Motorcycle over 500cc rider or passenger","56 - 65","Adult","3"
251,435269,"Passenger","Taxi/Private hire car occupant","21 - 25","Adult","3"
252,499393,"Passenger","Taxi/Private hire car occupant","26 - 35","Adult","3"
253,431950,"Passenger","Taxi/Private hire car occupant","36 - 45","Adult","3"
254,584418,"Passenger","Taxi/Private hire car occupant","46 - 55","Adult","3"
255,663387,"Passenger","Taxi/Private hire car occupant","56 - 65","Adult","3"
263,369183,"Passenger","Car occupant","21 - 25","Adult","3"
264,330610,"Passenger","Car occupant","26 - 35","Adult","3"
265,542768,"Passenger","Car occupant","36 - 45","Adult","3"
266,441942,"Passenger","Car occupant","46 - 55","Adult","3"
267,374064,"Passenger","Car occupant","56 - 65","Adult","3"
275,531029,"Passenger","Minibus (8 - 16 passenger seats) occupant","21 - 25","Adult","3"
276,700319,"Passenger","Minibus (8 - 16 passenger seats) occupant","26 - 35","Adult","3"
277,639421,"Passenger","Minibus (8 - 16 passenger seats) occupant","36 - 45","Adult","3"
278,411595,"Passenger","Minibus (8 - 16 passenger seats) occupant","46 - 55","Adult","3"
279,775735,"Passenger","Minibus (8 - 16 passenger seats) occupant","56 - 65","Adult","3"
287,638029,"Passenger","Bus or coach occupant (17 or more pass seats)","21 - 25","Adult","3"
288,772061,"Passenger","Bus or coach occupant (17 or more pass seats)","26 - 35","Adult","3"
289,471913,"Passenger","Bus or coach occupant (17 or more pass seats)","36 - 45","Adult","3"
290,636404,"Passenger","Bus or coach occupant (17 or more pass seats)","46 - 55","Adult","3"
291,235639,"Passenger","Bus or coach occupant (17 or more pass seats)","56 - 65","Adult","3"
297,646085,"Passenger","Horse rider","21 - 25","Adult","3"
298,106378,"Passenger","Horse rider","36 - 45","Adult","3"
299,147904,"Passenger","Horse rider","46 - 55","Adult","3"
303,552837,"Passenger","Agricultural vehicle occupant","21 - 25","Adult","3"
304,626847,"Passenger","Agricultural vehicle occupant","26 - 35","Adult","3"
305,293804,"Passenger","Agricultural vehicle occupant","36 - 45","Adult","3"
306,196432,"Passenger","Agricultural vehicle occupant","46 - 55","Adult","3"
307,275681,"Passenger","Agricultural vehicle occupant","56 - 65","Adult","3"
313,613300,"Passenger","Tram occupant","21 - 25","Adult","3"
314,653992,"Passenger","Tram occupant","26 - 35","Adult","3"
315,682703,"Passenger","Tram occupant","36 - 45","Adult","3"
316,257238,"Passenger","Tram occupant","46 - 55","Adult","3"
317,167373,"Passenger","Tram occupant","56 - 65","Adult","3"
325,520785,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","21 - 25","Adult","3"
326,308657,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","26 - 35","Adult","3"
327,44193,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","36 - 45","Adult","3"
328,54899,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","46 - 55","Adult","3"
329,90591,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","56 - 65","Adult","3"
337,63000,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","21 - 25","Adult","3"
338,731518,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","26 - 35","Adult","3"
339,103152,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","36 - 45","Adult","3"
340,218111,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","46 - 55","Adult","3"
341,175722,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","56 - 65","Adult","3"
349,554083,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","21 - 25","Adult","3"
350,142087,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","26 - 35","Adult","3"
351,206881,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","36 - 45","Adult","3"
352,467149,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","46 - 55","Adult","3"
353,428517,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","56 - 65","Adult","3"
357,274599,"Passenger","Mobility scooter rider","46 - 55","Adult","3"
363,559552,"Passenger","Other vehicle occupant","21 - 25","Adult","3"
364,660787,"Passenger","Other vehicle occupant","26 - 35","Adult","3"
365,543833,"Passenger","Other vehicle occupant","36 - 45","Adult","3"
366,339717,"Passenger","Other vehicle occupant","46 - 55","Adult","3"
367,336082,"Passenger","Other vehicle occupant","56 - 65","Adult","3"
374,155482,"Passenger","Motorcycle - unknown cc rider or passenger","21 - 25","Adult","3"
375,40254,"Passenger","Motorcycle - unknown cc rider or passenger","26 - 35","Adult","3"
376,636819,"Passenger","Motorcycle - unknown cc rider or passenger","36 - 45","Adult","3"
377,767671,"Passenger","Motorcycle - unknown cc rider or passenger","46 - 55","Adult","3"
378,685149,"Passenger","Motorcycle - unknown cc rider or passenger","56 - 65","Adult","3"
381,714038,"Passenger","Goods vehicle (unknown weight) occupant","21 - 25","Adult","3"
382,718856,"Passenger","Goods vehicle (unknown weight) occupant","26 - 35","Adult","3"
383,446477,"Passenger","Goods vehicle (unknown weight) occupant","36 - 45","Adult","3"
384,696446,"Passenger","Goods vehicle (unknown weight) occupant","46 - 55","Adult","3"
385,696627,"Passenger","Goods vehicle (unknown weight) occupant","56 - 65","Adult","3"
391,567672,"Pedestrian","Pedestrian","21 - 25","Adult","3"
392,488375,"Pedestrian","Pedestrian","26 - 35","Adult","3"
393,422526,"Pedestrian","Pedestrian","36 - 45","Adult","3"
394,732782,"Pedestrian","Pedestrian","46 - 55","Adult","3"
395,424604,"Pedestrian","Pedestrian","56 - 65","Adult","3"
387,471305,"Pedestrian","Pedestrian","0 - 5","Children","1"
388,341181,"Pedestrian","Pedestrian","6 - 10","Children","1"
389,371862,"Pedestrian","Pedestrian","11 - 15","Children","1"
390,514211,"Pedestrian","Pedestrian","16 - 20","Young adult","2"
396,776659,"Pedestrian","Pedestrian","66 - 75","Old","4"
397,285056,"Pedestrian","Pedestrian","Over 75","Old","4"
398,400883,"Pedestrian","Pedestrian","Data missing or out of range","Data missing or out of range","5"
1,2336,"Driver or rider","Cyclist","0 - 5","Children","1"
2,26355,"Driver or rider","Cyclist","6 - 10","Children","1"
3,33254,"Driver or rider","Cyclist","11 - 15","Children","1"
4,25263,"Driver or rider","Cyclist","16 - 20","Young adult","2"
10,86231,"Driver or rider","Cyclist","66 - 75","Old","4"
11,87078,"Driver or rider","Cyclist","Over 75","Old","4"
12,99687,"Driver or rider","Cyclist","Data missing or out of range","Data missing or out of range","5"
13,112379,"Driver or rider","Motorcycle 50cc and under rider or passenger","6 - 10","Children","1"
14,115228,"Driver or rider","Motorcycle 50cc and under rider or passenger","11 - 15","Children","1"
15,118859,"Driver or rider","Motorcycle 50cc and under rider or passenger","16 - 20","Young adult","2"
21,177297,"Driver or rider","Motorcycle 50cc and under rider or passenger","66 - 75","Old","4"
22,174334,"Driver or rider","Motorcycle 50cc and under rider or passenger","Over 75","Old","4"
23,179133,"Driver or rider","Motorcycle 50cc and under rider or passenger","Data missing or out of range","Data missing or out of range","5"
24,33561,"Driver or rider","Motorcycle 125cc and under rider or passenger","6 - 10","Children","1"
25,187709,"Driver or rider","Motorcycle 125cc and under rider or passenger","11 - 15","Children","1"
26,204391,"Driver or rider","Motorcycle 125cc and under rider or passenger","16 - 20","Young adult","2"
32,245158,"Driver or rider","Motorcycle 125cc and under rider or passenger","66 - 75","Old","4"
33,269400,"Driver or rider","Motorcycle 125cc and under rider or passenger","Over 75","Old","4"
34,263220,"Driver or rider","Motorcycle 125cc and under rider or passenger","Data missing or out of range","Data missing or out of range","5"
35,352410,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","11 - 15","Children","1"
36,278235,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","16 - 20","Young adult","2"
42,332610,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","66 - 75","Old","4"
43,338037,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","Over 75","Old","4"
44,335441,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","Data missing or out of range","Data missing or out of range","5"
45,759072,"Driver or rider","Motorcycle over 500cc rider or passenger","11 - 15","Children","1"
46,355736,"Driver or rider","Motorcycle over 500cc rider or passenger","16 - 20","Young adult","2"
52,505081,"Driver or rider","Motorcycle over 500cc rider or passenger","66 - 75","Old","4"
53,368814,"Driver or rider","Motorcycle over 500cc rider or passenger","Over 75","Old","4"
54,403165,"Driver or rider","Motorcycle over 500cc rider or passenger","Data missing or out of range","Data missing or out of range","5"
55,512233,"Driver or rider","Taxi/Private hire car occupant","16 - 20","Young adult","2"
61,584548,"Driver or rider","Taxi/Private hire car occupant","66 - 75","Old","4"
62,591322,"Driver or rider","Taxi/Private hire car occupant","Over 75","Old","4"
63,586366,"Driver or rider","Taxi/Private hire car occupant","Data missing or out of range","Data missing or out of range","5"
64,424227,"Driver or rider","Car occupant","6 - 10","Children","1"
65,383780,"Driver or rider","Car occupant","11 - 15","Children","1"
66,483828,"Driver or rider","Car occupant","16 - 20","Young adult","2"
72,457125,"Driver or rider","Car occupant","66 - 75","Old","4"
73,457905,"Driver or rider","Car occupant","Over 75","Old","4"
74,532253,"Driver or rider","Car occupant","Data missing or out of range","Data missing or out of range","5"
75,691425,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","16 - 20","Young adult","2"
81,670982,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","66 - 75","Old","4"
82,652075,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","Over 75","Old","4"
83,663260,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","Data missing or out of range","Data missing or out of range","5"
84,565603,"Driver or rider","Bus or coach occupant (17 or more pass seats)","16 - 20","Young adult","2"
90,668971,"Driver or rider","Bus or coach occupant (17 or more pass seats)","66 - 75","Old","4"
91,574892,"Driver or rider","Bus or coach occupant (17 or more pass seats)","Over 75","Old","4"
92,613012,"Driver or rider","Bus or coach occupant (17 or more pass seats)","Data missing or out of range","Data missing or out of range","5"
93,703791,"Driver or rider","Horse rider","0 - 5","Children","1"
94,34439,"Driver or rider","Horse rider","6 - 10","Children","1"
95,741666,"Driver or rider","Horse rider","11 - 15","Children","1"
96,615441,"Driver or rider","Horse rider","16 - 20","Young adult","2"
102,271912,"Driver or rider","Horse rider","66 - 75","Old","4"
103,97537,"Driver or rider","Horse rider","Data missing or out of range","Data missing or out of range","5"
104,148374,"Driver or rider","Agricultural vehicle occupant","11 - 15","Children","1"
105,81397,"Driver or rider","Agricultural vehicle occupant","16 - 20","Young adult","2"
111,101592,"Driver or rider","Agricultural vehicle occupant","66 - 75","Old","4"
112,361356,"Driver or rider","Agricultural vehicle occupant","Over 75","Old","4"
113,261032,"Driver or rider","Agricultural vehicle occupant","Data missing or out of range","Data missing or out of range","5"
116,486329,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","11 - 15","Children","1"
117,9744,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","16 - 20","Young adult","2"
123,182317,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","66 - 75","Old","4"
124,214996,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","Over 75","Old","4"
125,167658,"Driver or rider","Van / Goods vehicle (3.5 tonnes mgw or under) occu","Data missing or out of range","Data missing or out of range","5"
126,229285,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","16 - 20","Young adult","2"
132,305757,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","66 - 75","Old","4"
133,553980,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","Over 75","Old","4"
134,255393,"Driver or rider","Goods vehicle (over 3.5t. and under 7.5t.) occupan","Data missing or out of range","Data missing or out of range","5"
135,287131,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","16 - 20","Young adult","2"
141,301338,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","66 - 75","Old","4"
142,388586,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","Over 75","Old","4"
143,549661,"Driver or rider","Goods vehicle (7.5 tonnes mgw and over) occupant","Data missing or out of range","Data missing or out of range","5"
144,691571,"Driver or rider","Mobility scooter rider","16 - 20","Young adult","2"
150,364406,"Driver or rider","Mobility scooter rider","66 - 75","Old","4"
151,577148,"Driver or rider","Mobility scooter rider","Over 75","Old","4"
152,480519,"Driver or rider","Mobility scooter rider","Data missing or out of range","Data missing or out of range","5"
153,729141,"Driver or rider","Electric motorcycle rider or passenger","16 - 20","Young adult","2"
157,660395,"Driver or rider","Electric motorcycle rider or passenger","66 - 75","Old","4"
158,745654,"Driver or rider","Electric motorcycle rider or passenger","Over 75","Old","4"
159,515591,"Driver or rider","Electric motorcycle rider or passenger","Data missing or out of range","Data missing or out of range","5"
160,654604,"Driver or rider","Other vehicle occupant","0 - 5","Children","1"
161,339385,"Driver or rider","Other vehicle occupant","6 - 10","Children","1"
162,355376,"Driver or rider","Other vehicle occupant","11 - 15","Children","1"
163,537916,"Driver or rider","Other vehicle occupant","16 - 20","Young adult","2"
169,375998,"Driver or rider","Other vehicle occupant","66 - 75","Old","4"
170,414081,"Driver or rider","Other vehicle occupant","Over 75","Old","4"
171,410443,"Driver or rider","Other vehicle occupant","Data missing or out of range","Data missing or out of range","5"
172,719258,"Driver or rider","Motorcycle - unknown cc rider or passenger","11 - 15","Children","1"
173,639370,"Driver or rider","Motorcycle - unknown cc rider or passenger","16 - 20","Young adult","2"
179,689852,"Driver or rider","Motorcycle - unknown cc rider or passenger","Over 75","Old","4"
180,707894,"Driver or rider","Motorcycle - unknown cc rider or passenger","Data missing or out of range","Data missing or out of range","5"
181,548831,"Driver or rider","Goods vehicle (unknown weight) occupant","16 - 20","Young adult","2"
187,718707,"Driver or rider","Goods vehicle (unknown weight) occupant","66 - 75","Old","4"
188,525908,"Passenger","Cyclist","0 - 5","Children","1"
189,456230,"Passenger","Cyclist","6 - 10","Children","1"
190,771946,"Passenger","Cyclist","11 - 15","Children","1"
191,17223,"Passenger","Cyclist","16 - 20","Young adult","2"
197,674445,"Passenger","Cyclist","66 - 75","Old","4"
198,759576,"Passenger","Cyclist","Over 75","Old","4"
199,421416,"Passenger","Cyclist","Data missing or out of range","Data missing or out of range","5"
200,226583,"Passenger","Motorcycle 50cc and under rider or passenger","0 - 5","Children","1"
201,163023,"Passenger","Motorcycle 50cc and under rider or passenger","6 - 10","Children","1"
202,623083,"Passenger","Motorcycle 50cc and under rider or passenger","11 - 15","Children","1"
203,32436,"Passenger","Motorcycle 50cc and under rider or passenger","16 - 20","Young adult","2"
209,210171,"Passenger","Motorcycle 50cc and under rider or passenger","Over 75","Old","4"
210,260779,"Passenger","Motorcycle 50cc and under rider or passenger","Data missing or out of range","Data missing or out of range","5"
211,323468,"Passenger","Motorcycle 125cc and under rider or passenger","0 - 5","Children","1"
212,140348,"Passenger","Motorcycle 125cc and under rider or passenger","6 - 10","Children","1"
213,41000,"Passenger","Motorcycle 125cc and under rider or passenger","11 - 15","Children","1"
214,46090,"Passenger","Motorcycle 125cc and under rider or passenger","16 - 20","Young adult","2"
220,767217,"Passenger","Motorcycle 125cc and under rider or passenger","66 - 75","Old","4"
221,576556,"Passenger","Motorcycle 125cc and under rider or passenger","Over 75","Old","4"
222,486030,"Passenger","Motorcycle 125cc and under rider or passenger","Data missing or out of range","Data missing or out of range","5"
223,325503,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","0 - 5","Children","1"
224,72902,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","6 - 10","Children","1"
225,353988,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","11 - 15","Children","1"
226,98376,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","16 - 20","Young adult","2"
232,192115,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","66 - 75","Old","4"
233,187387,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","Over 75","Old","4"
234,18077,"Passenger","Motorcycle over 125cc and up to 500cc rider or  pa","Data missing or out of range","Data missing or out of range","5"
235,655553,"Passenger","Motorcycle over 500cc rider or passenger","0 - 5","Children","1"
236,553135,"Passenger","Motorcycle over 500cc rider or passenger","6 - 10","Children","1"
237,151211,"Passenger","Motorcycle over 500cc rider or passenger","11 - 15","Children","1"
238,168112,"Passenger","Motorcycle over 500cc rider or passenger","16 - 20","Young adult","2"
244,286605,"Passenger","Motorcycle over 500cc rider or passenger","66 - 75","Old","4"
245,755302,"Passenger","Motorcycle over 500cc rider or passenger","Over 75","Old","4"
246,761117,"Passenger","Motorcycle over 500cc rider or passenger","Data missing or out of range","Data missing or out of range","5"
247,429345,"Passenger","Taxi/Private hire car occupant","0 - 5","Children","1"
248,310223,"Passenger","Taxi/Private hire car occupant","6 - 10","Children","1"
249,312546,"Passenger","Taxi/Private hire car occupant","11 - 15","Children","1"
250,433384,"Passenger","Taxi/Private hire car occupant","16 - 20","Young adult","2"
256,493970,"Passenger","Taxi/Private hire car occupant","66 - 75","Old","4"
257,642643,"Passenger","Taxi/Private hire car occupant","Over 75","Old","4"
258,710777,"Passenger","Taxi/Private hire car occupant","Data missing or out of range","Data missing or out of range","5"
259,726759,"Passenger","Car occupant","0 - 5","Children","1"
260,375131,"Passenger","Car occupant","6 - 10","Children","1"
261,339272,"Passenger","Car occupant","11 - 15","Children","1"
262,355084,"Passenger","Car occupant","16 - 20","Young adult","2"
