Customer,Product,Serial,StartDate,EndDate,Period (M),Free / Subscription,Given Free,Converted?,variable,value
A,WA,60719,2020-01-07 00:00:00.000,30/6/2021,12,Sub,1,Y,Serial (Sub),60719.0
A,QWS,32789,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,N,Serial (Sub),
A,KS,48065,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (Sub),48065.0
B,WA,18944,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,Serial (Sub),56311.0
B,WA,56311,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,Serial (Sub),56311.0
B,KS,77724,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (Sub),77724.0
C,QWS,19615,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (Sub),19615.0
C,WA,70867,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (Sub),70867.0
D,WA,30656,2020-01-06 00:00:00.000,30/6/2020,1,Sub,0,N,Serial (Sub),30656.0
A,WA,15685,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,Y,StartDate (Sub),2020-01-07 00:00:00.000
A,WA,67732,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,StartDate (Sub),2020-01-07 00:00:00.000
A,WA,12114,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,StartDate (Sub),2020-01-07 00:00:00.000
A,WA,60719,2020-01-07 00:00:00.000,30/6/2021,12,Sub,1,Y,StartDate (Sub),2020-01-07 00:00:00.000
A,QWS,32789,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,N,StartDate (Sub),
A,KS,48065,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (Sub),2020-01-07 00:00:00.000
B,WA,18944,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,StartDate (Sub),2020-01-06 00:00:00.000
B,WA,56311,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,StartDate (Sub),2020-01-06 00:00:00.000
B,KS,77724,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (Sub),2020-01-07 00:00:00.000
C,QWS,19615,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (Sub),2020-01-07 00:00:00.000
C,WA,70867,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (Sub),2020-01-07 00:00:00.000
D,WA,30656,2020-01-06 00:00:00.000,30/6/2020,1,Sub,0,N,StartDate (Sub),2020-01-06 00:00:00.000
A,WA,15685,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,Y,EndDate (Sub),30/6/2021
A,WA,67732,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,EndDate (Sub),30/6/2021
A,WA,12114,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,EndDate (Sub),30/6/2021
A,WA,60719,2020-01-07 00:00:00.000,30/6/2021,12,Sub,1,Y,EndDate (Sub),30/6/2021
A,QWS,32789,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,N,EndDate (Sub),
A,KS,48065,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (Sub),30/6/2021
B,WA,18944,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,EndDate (Sub),30/6/2020
B,WA,56311,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,EndDate (Sub),30/6/2020
B,KS,77724,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (Sub),30/6/2021
C,QWS,19615,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (Sub),30/6/2021
C,WA,70867,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (Sub),30/6/2021
D,WA,30656,2020-01-06 00:00:00.000,30/6/2020,1,Sub,0,N,EndDate (Sub),30/6/2020
