_ownerid_value,_createdby_value,versionnumber,_owningbusinessunit_value,nadb_creditriskstatusid,modifiedon,_owningteam_value,nadb_indicatorname_status,_nadb_riskindicator_value,nadb_statusname,_modifiedonbehalfby_value,_createdonbehalfby_value,nadb_statuscode,statuscode,overriddencreatedon,importsequencenumber,nadb_statuspoints,timezoneruleversionnumber,statecode,nadb_statuspoints2,_modifiedby_value,_nadb_statusmethodology_value,_owninguser_value,nadb_variablerange,createdon,nadb_name2,utcconversiontimezonecode
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032727,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","0c809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,"","Business Model","fb9930ab-c154-ea11-a813-000d3a4ed0f6","10.10.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:53.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032640,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","13809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:00.000,"","Organizational Structure","fd9930ab-c154-ea11-a813-000d3a4ed0f6","10.11.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:54.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032704,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","1a809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,"","Management Strategy","ff9930ab-c154-ea11-a813-000d3a4ed0f6","10.12.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:54.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032653,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","20809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,"","Governance Structure","019a30ab-c154-ea11-a813-000d3a4ed0f6","10.13.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:54.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032656,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","26809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,""," Group Structure","039a30ab-c154-ea11-a813-000d3a4ed0f6","10.14.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:54.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032666,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","2d809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,"","Financial Transparency","059a30ab-c154-ea11-a813-000d3a4ed0f6","10.15.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:54.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033095,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","5b809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:03.000,"","Implications of Default","0f9a30ab-c154-ea11-a813-000d3a4ed0f6","10.2.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:55.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033091,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","7b809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:03.000,"","Debt Service Reserve Fund","179a30ab-c154-ea11-a813-000d3a4ed0f6","10.23.3","","","Regular bank account controlled by Borrower or inexistent",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:55.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033099,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","84809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:03.000,"","Financial structure of payment (Primary source)","199a30ab-c154-ea11-a813-000d3a4ed0f6","10.24.4","","","Pays directly to NADB",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:55.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033198,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","88809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:04.000,"","Full compliance with contractual conditions and covenants","1b9a30ab-c154-ea11-a813-000d3a4ed0f6","10.25.2","","","No",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:55.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033152,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","94809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:03.000,"","Level of Integration","1f9a30ab-c154-ea11-a813-000d3a4ed0f6","10.3.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033159,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","9a809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:03.000,"","History of Support","219a30ab-c154-ea11-a813-000d3a4ed0f6","10.4.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033214,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","a0809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:04.000,"","Performance and Prospects","239a30ab-c154-ea11-a813-000d3a4ed0f6","10.5.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033301,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","a6809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:04.000,""," Business and Economic Environment","259a30ab-c154-ea11-a813-000d3a4ed0f6","10.6.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033275,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","ac809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:04.000,"","Development of Sector Market","279a30ab-c154-ea11-a813-000d3a4ed0f6","10.7.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033309,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","b2809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:05.000,"","Regulatory Environment","299a30ab-c154-ea11-a813-000d3a4ed0f6","10.8.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032780,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","b8809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,"","Competitive Position","2b9a30ab-c154-ea11-a813-000d3a4ed0f6","10.9.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:56.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032845,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","c6809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Financial structure of payment (Primary source)","2f9a30ab-c154-ea11-a813-000d3a4ed0f6","2.10.4","","","Pays directly to NADB",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:57.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032772,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","ce809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:01.000,"","Additional enhancements","319a30ab-c154-ea11-a813-000d3a4ed0f6","2.11.4","","","Without enhancements or Joint Obligor rated < BBB-",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:57.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032822,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","d2809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Financial structure includes a debt service reserve fund","339a30ab-c154-ea11-a813-000d3a4ed0f6","2.12.2","","","No",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:57.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032865,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","d6809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Debt Service Coverage Ratio is above minimum required ratio from loan agreement","359a30ab-c154-ea11-a813-000d3a4ed0f6","2.13.2","","","No",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:57.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032846,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","dc809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Municipality is currently rated by any credit rating agencies within the last 12 months","379a30ab-c154-ea11-a813-000d3a4ed0f6","2.14.3","","","Not rated",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:57.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032838,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","e0809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Sector Outlook","399a30ab-c154-ea11-a813-000d3a4ed0f6","2.15.2","","","Neutral",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:58.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032870,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","f4809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Municipal Revenues (own-source) / Total Revenues","3f9a30ab-c154-ea11-a813-000d3a4ed0f6","2.4.3","","","<15.0%",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:58.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032895,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","f8809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","(Operation Expenses + Non-earmarked Transfers)/ Available Revenues","419a30ab-c154-ea11-a813-000d3a4ed0f6","2.5.2","","","80.0% to 90.0%",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:58.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032883,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","00819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Cash & liquid investments / Total Revenues","439a30ab-c154-ea11-a813-000d3a4ed0f6","2.6.3","","","<5.0%",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:58.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033006,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","0c819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:02.000,"","Full compliance with main contractual conditions and covenants","479a30ab-c154-ea11-a813-000d3a4ed0f6","2.8.2","","","Non-compliance",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:58.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033384,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","1e819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:05.000,"","Full compliance with main contractual conditions and covenants","4d9a30ab-c154-ea11-a813-000d3a4ed0f6","3.10.2","","","Non-compliance",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033412,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","2e819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:05.000,"","Financial structure of payment (Primary source)","519a30ab-c154-ea11-a813-000d3a4ed0f6","3.12.4","","","Pays directly to NADB",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033420,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","36819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Additional enhancements","539a30ab-c154-ea11-a813-000d3a4ed0f6","3.13.4","","","Without enhancements or Joint Obligor rated < BBB-",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033430,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","3a819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Financial structure includes a debt service reserve fund","559a30ab-c154-ea11-a813-000d3a4ed0f6","3.14.2","","","No",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033439,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","3e819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Debt Service Coverage Ratio is above minimum required ratio from loan agreement","579a30ab-c154-ea11-a813-000d3a4ed0f6","3.15.2","","","No",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033444,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","44819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Municipality is currently rated by any credit rating agencies within the last 12 months","599a30ab-c154-ea11-a813-000d3a4ed0f6","3.16.3","","","Not rated",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033454,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","48819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Sector Outlook","5b9a30ab-c154-ea11-a813-000d3a4ed0f6","3.17.2","","","Neutral",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:59.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033472,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","5a819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Phisycal Efficiency (invoiced volume/ produced volume)","619a30ab-c154-ea11-a813-000d3a4ed0f6","3.4.2","","","< 56.91%",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:07:00.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033474,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","5e819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Commercial Efficiency (collected volume / billed volume)","639a30ab-c154-ea11-a813-000d3a4ed0f6","3.5.2","","","< 72.1%",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:07:00.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033512,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","62819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Global Efficiency (phisycal efficiency * commercial efficiency)","659a30ab-c154-ea11-a813-000d3a4ed0f6","3.6.2","","","< 43.65%",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:07:00.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033505,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","68819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Receivables turnover (days)","679a30ab-c154-ea11-a813-000d3a4ed0f6","3.7.3","","","120 to 250 days",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:07:00.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033516,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","70819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:06.000,"","Cash & Liquid investments / Current Liabilities (times, x)","699a30ab-c154-ea11-a813-000d3a4ed0f6","3.8.3","","","0.30x to 0.15x",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:07:00.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12033658,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","84819979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:07.000,"","Full compliance with main contractual conditions and covenants","1f9b30ab-c154-ea11-a813-000d3a4ed0f6","4.10.2","","","Non-compliant",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:07:00.000,"",
