os_group_w_other,month,device_count,percent_device_count
"Other",2021-04-01 00:00:00.000,416,22.92
"Ubuntu-18",2021-05-01 00:00:00.000,26,1.42
"Microsoft Windows Server 2008 R2 (64-bit)",2021-05-01 00:00:00.000,220,11.98
"Partial Discovery",2021-05-01 00:00:00.000,738,40.17
"Microsoft Windows Server 2012 R2 Standard",2021-05-01 00:00:00.000,71,3.86
"CentOS-7",2021-05-01 00:00:00.000,40,2.18
"Ubuntu Linux (64-bit)-",2021-05-01 00:00:00.000,75,4.08
"Ubuntu-16",2021-05-01 00:00:00.000,34,1.85
"CentOS-",2021-05-01 00:00:00.000,224,12.19
"Other",2021-05-01 00:00:00.000,409,22.26
"CentOS-",2021-06-01 00:00:00.000,146,12.32
"Other",2021-06-01 00:00:00.000,211,17.81
"Ubuntu-16",2021-06-01 00:00:00.000,23,1.94
"Ubuntu Linux (64-bit)-",2021-06-01 00:00:00.000,47,3.97
"Microsoft Windows Server 2008 R2 (64-bit)",2021-06-01 00:00:00.000,1,0.08
"CentOS-7",2021-06-01 00:00:00.000,17,1.43
"Microsoft Windows Server 2012 R2 Standard",2021-06-01 00:00:00.000,27,2.28
"Partial Discovery",2021-06-01 00:00:00.000,694,58.57
"Ubuntu-18",2021-06-01 00:00:00.000,19,1.6
"CentOS-",2021-07-01 00:00:00.000,150,12.9
"Microsoft Windows Server 2012 R2 Standard",2021-07-01 00:00:00.000,27,2.32
"Partial Discovery",2021-07-01 00:00:00.000,675,58.04
"Other",2021-07-01 00:00:00.000,203,17.45
"Ubuntu-18",2021-07-01 00:00:00.000,19,1.63
"CentOS-7",2021-07-01 00:00:00.000,17,1.46
"Microsoft Windows Server 2008 R2 (64-bit)",2021-07-01 00:00:00.000,1,0.09
"Ubuntu-16",2021-07-01 00:00:00.000,23,1.98
"Ubuntu Linux (64-bit)-",2021-07-01 00:00:00.000,48,4.13
"Microsoft Windows Server 2012 R2 Standard",2021-08-01 00:00:00.000,27,2.29
"CentOS-7",2021-08-01 00:00:00.000,17,1.44
"Microsoft Windows Server 2008 R2 (64-bit)",2021-08-01 00:00:00.000,1,0.08
"Ubuntu Linux (64-bit)-",2021-08-01 00:00:00.000,48,4.07
"CentOS-",2021-08-01 00:00:00.000,154,13.07
"Ubuntu-18",2021-08-01 00:00:00.000,16,1.36
"Ubuntu-16",2021-08-01 00:00:00.000,23,1.95
"Other",2021-08-01 00:00:00.000,193,16.38
"Partial Discovery",2021-08-01 00:00:00.000,699,59.34
"Partial Discovery",2021-09-01 00:00:00.000,731,60.21
"CentOS-",2021-09-01 00:00:00.000,155,12.77
"CentOS-7",2021-09-01 00:00:00.000,17,1.4
"Ubuntu Linux (64-bit)-",2021-09-01 00:00:00.000,48,3.95
"Microsoft Windows Server 2008 R2 (64-bit)",2021-09-01 00:00:00.000,1,0.08
"Other",2021-09-01 00:00:00.000,195,16.06
"Microsoft Windows Server 2012 R2 Standard",2021-09-01 00:00:00.000,27,2.22
"Ubuntu-18",2021-09-01 00:00:00.000,16,1.32
"Ubuntu-16",2021-09-01 00:00:00.000,24,1.98
"Other",2021-10-01 00:00:00.000,196,16.42
"Microsoft Windows Server 2008 R2 (64-bit)",2021-10-01 00:00:00.000,1,0.08
"CentOS-",2021-10-01 00:00:00.000,154,12.9
"Ubuntu-16",2021-10-01 00:00:00.000,24,2.01
"Microsoft Windows Server 2012 R2 Standard",2021-10-01 00:00:00.000,25,2.09
"CentOS-7",2021-10-01 00:00:00.000,17,1.42
"Ubuntu-18",2021-10-01 00:00:00.000,14,1.17
"Partial Discovery",2021-10-01 00:00:00.000,714,59.8
"Ubuntu Linux (64-bit)-",2021-10-01 00:00:00.000,49,4.1
"Other",2021-11-01 00:00:00.000,159,29.94
"Ubuntu-16",2021-11-01 00:00:00.000,24,4.52
"CentOS-",2021-11-01 00:00:00.000,154,29
"Microsoft Windows Server 2008 R2 (64-bit)",2021-11-01 00:00:00.000,1,0.19
"Ubuntu Linux (64-bit)-",2021-11-01 00:00:00.000,49,9.23
"Microsoft Windows Server 2012 R2 Standard",2021-11-01 00:00:00.000,19,3.58
"Partial Discovery",2021-11-01 00:00:00.000,96,18.08
"CentOS-7",2021-11-01 00:00:00.000,17,3.2
"Ubuntu-18",2021-11-01 00:00:00.000,12,2.26
