ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt,Total Sales Amount
363,2016-11-20 00:00:00.000,2016-11-27 00:00:00.000,13247,1,4,SO70992,1,1,2294.99,1251.9813,2294.99,183.5992,2478.5892
214,2016-06-23 00:00:00.000,2016-06-30 00:00:00.000,11734,1,4,SO60575,1,1,34.99,13.0863,34.99,2.7992,37.7892
528,2016-08-27 00:00:00.000,2016-09-05 00:00:00.000,15874,1,6,SO64975,1,1,4.99,1.8663,4.99,0.3992,5.389200000000001
326,2014-01-20 00:00:00.000,2014-01-27 00:00:00.000,25252,1,9,SO43779,1,1,699.0982,413.1463,699.0982,55.9279,755.0261
537,2016-07-26 00:00:00.000,2016-08-02 00:00:00.000,14370,1,6,SO62799,1,4,8.75,13.09,35.0,2.8,37.8
463,2016-10-25 00:00:00.000,2016-11-02 00:00:00.000,23375,1,4,SO69014,2,2,12.245,9.1593,24.49,1.9592,26.4492
537,2016-06-08 00:00:00.000,2016-06-15 00:00:00.000,21896,1,9,SO59584,1,4,8.75,13.09,35.0,2.8,37.8
465,2016-08-05 00:00:00.000,2016-08-12 00:00:00.000,16714,1,4,SO63580,2,1,24.49,9.1593,24.49,1.9592,26.4492
487,2016-04-04 00:00:00.000,2016-04-11 00:00:00.000,19986,1,4,SO55548,4,1,54.99,20.5663,54.99,4.3992,59.3892
363,2016-09-28 00:00:00.000,2016-10-04 00:00:00.000,17613,1,6,SO67069,1,2,1147.495,1251.9813,2294.99,183.5992,2478.5892
528,2016-07-26 00:00:00.000,2016-08-02 00:00:00.000,11824,1,6,SO62798,2,4,1.2475,1.8663,4.99,0.3992,5.389200000000001
477,2016-08-09 00:00:00.000,2016-08-16 00:00:00.000,22100,1,6,SO63849,3,4,1.2475,1.8663,4.99,0.3992,5.389200000000001
540,2016-02-05 00:00:00.000,2016-02-12 00:00:00.000,25045,1,1,SO52081,1,1,32.6,12.1924,32.6,2.608,35.208
528,2016-12-07 00:00:00.000,2016-12-14 00:00:00.000,16495,1,9,SO72417,2,4,1.2475,1.8663,4.99,0.3992,5.389200000000001
490,2016-11-07 00:00:00.000,2016-11-14 00:00:00.000,21781,1,1,SO70079,2,1,53.99,41.5723,53.99,4.3192,58.3092
228,2016-03-27 00:00:00.000,2016-04-04 00:00:00.000,15353,1,10,SO55064,4,1,49.99,38.4923,49.99,3.9992,53.9892
352,2015-07-28 00:00:00.000,2015-08-04 00:00:00.000,13965,1,9,SO49015,1,1,2071.4196,1117.8559,2071.4196,165.7136,2237.1332
480,2016-06-04 00:00:00.000,2016-06-11 00:00:00.000,19696,2,4,SO59320,4,1,2.29,0.8565,2.29,0.1832,2.4732
389,2015-06-03 00:00:00.000,2015-06-10 00:00:00.000,14289,1,4,SO48427,1,1,1000.4375,605.6492,1000.4375,80.035,1080.4725
540,2016-01-28 00:00:00.000,2016-02-04 00:00:00.000,22445,1,7,SO51623,2,4,8.15,12.1924,32.6,2.608,35.208
217,2016-04-18 00:00:00.000,2016-04-25 00:00:00.000,22886,1,4,SO56330,2,1,34.99,13.0863,34.99,2.7992,37.7892
478,2016-11-20 00:00:00.000,2016-11-27 00:00:00.000,17582,1,4,SO70985,2,1,9.99,3.7363,9.99,0.7992,10.7892
222,2016-05-17 00:00:00.000,2016-05-24 00:00:00.000,13422,1,4,SO58108,3,4,8.7475,13.0863,34.99,2.7992,37.7892
314,2014-09-18 00:00:00.000,2014-09-25 00:00:00.000,11326,1,4,SO45696,1,4,894.5675,2171.2942,3578.27,286.2616,3864.5316
369,2015-08-19 00:00:00.000,2015-08-26 00:00:00.000,23540,2,9,SO49356,1,1,2443.35,1518.7864,2443.35,195.468,2638.818
541,2016-07-03 00:00:00.000,2016-07-10 00:00:00.000,16497,1,6,SO61391,1,1,28.99,10.8423,28.99,2.3192,31.3092
480,2016-09-20 00:00:00.000,2016-09-27 00:00:00.000,11951,2,9,SO66511,2,1,2.29,0.8565,2.29,0.1832,2.4732
478,2016-06-19 00:00:00.000,2016-06-26 00:00:00.000,12609,1,10,SO60319,2,1,9.99,3.7363,9.99,0.7992,10.7892
529,2016-04-13 00:00:00.000,2016-04-20 00:00:00.000,24513,1,4,SO56034,1,4,0.9975,1.4923,3.99,0.3192,4.309200000000001
477,2016-12-09 00:00:00.000,2016-12-16 00:00:00.000,20521,1,1,SO72530,2,1,4.99,1.8663,4.99,0.3992,5.389200000000001
584,2016-02-24 00:00:00.000,2016-02-29 00:00:00.000,21601,1,4,SO53064,1,2,269.995,343.6496,539.99,43.1992,583.1892
606,2016-12-11 00:00:00.000,2016-12-18 00:00:00.000,26918,1,9,SO72725,1,1,539.99,343.6496,539.99,43.1992,583.1892
537,2016-12-30 00:00:00.000,2017-01-07 00:00:00.000,11717,1,1,SO74125,2,1,35.0,13.09,35.0,2.8,37.8
584,2016-01-22 00:00:00.000,2016-01-29 00:00:00.000,20977,1,7,SO51527,1,1,539.99,343.6496,539.99,43.1992,583.1892
310,2014-01-12 00:00:00.000,2014-01-19 00:00:00.000,27671,1,1,SO43741,1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
538,2016-11-24 00:00:00.000,2016-11-30 00:00:00.000,18451,1,9,SO71223,2,4,5.3725,8.0373,21.49,1.7192,23.2092
484,2016-03-28 00:00:00.000,2016-04-05 00:00:00.000,18321,1,1,SO55114,2,2,3.975,2.9733,7.95,0.636,8.586
214,2016-05-22 00:00:00.000,2016-05-29 00:00:00.000,19609,1,9,SO58406,4,1,34.99,13.0863,34.99,2.7992,37.7892
576,2016-06-11 00:00:00.000,2016-06-18 00:00:00.000,25425,1,4,SO59824,1,1,2384.07,1481.9379,2384.07,190.7256,2574.7956000000004
481,2016-12-13 00:00:00.000,2016-12-20 00:00:00.000,12298,2,8,SO72824,2,2,4.495,3.3623,8.99,0.7192,9.709200000000001
374,2016-06-09 00:00:00.000,2016-06-16 00:00:00.000,19966,2,9,SO59692,1,1,2443.35,1554.9479,2443.35,195.468,2638.818
380,2016-05-16 00:00:00.000,2016-05-23 00:00:00.000,16375,1,4,SO58057,1,2,1221.675,1554.9479,2443.35,195.468,2638.818
485,2016-12-15 00:00:00.000,2016-12-22 00:00:00.000,13767,1,8,SO72966,2,1,21.98,8.2205,21.98,1.7584,23.7384
484,2016-04-02 00:00:00.000,2016-04-09 00:00:00.000,16214,1,1,SO55415,3,1,7.95,2.9733,7.95,0.636,8.586
214,2016-12-12 00:00:00.000,2016-12-19 00:00:00.000,18103,1,6,SO72781,2,1,34.99,13.0863,34.99,2.7992,37.7892
581,2016-06-24 00:00:00.000,2016-06-30 00:00:00.000,20673,1,4,SO60696,1,1,1700.99,1082.51,1700.99,136.0792,1837.0692
356,2015-12-18 00:00:00.000,2015-12-25 00:00:00.000,13557,1,10,SO50951,1,1,2071.4196,1117.8559,2071.4196,165.7136,2237.1332
214,2016-09-04 00:00:00.000,2016-09-11 00:00:00.000,21936,1,4,SO65516,3,1,34.99,13.0863,34.99,2.7992,37.7892
528,2016-08-21 00:00:00.000,2016-08-28 00:00:00.000,22283,1,1,SO64632,1,1,4.99,1.8663,4.99,0.3992,5.389200000000001
237,2016-08-19 00:00:00.000,2016-08-26 00:00:00.000,17075,1,9,SO64463,1,1,49.99,38.4923,49.99,3.9992,53.9892
528,2016-05-26 00:00:00.000,2016-06-03 00:00:00.000,13258,1,8,SO58587,3,1,4.99,1.8663,4.99,0.3992,5.389200000000001
539,2016-12-25 00:00:00.000,2017-01-02 00:00:00.000,16346,1,9,SO73717,2,1,24.99,9.3463,24.99,1.9992,26.9892
539,2016-09-04 00:00:00.000,2016-09-11 00:00:00.000,19470,1,10,SO65528,1,1,24.99,9.3463,24.99,1.9992,26.9892
477,2016-03-09 00:00:00.000,2016-03-16 00:00:00.000,16744,1,9,SO54096,2,1,4.99,1.8663,4.99,0.3992,5.389200000000001
539,2016-05-01 00:00:00.000,2016-05-08 00:00:00.000,19923,1,7,SO57218,1,1,24.99,9.3463,24.99,1.9992,26.9892
491,2016-02-26 00:00:00.000,2016-03-02 00:00:00.000,11505,1,6,SO53142,1,1,53.99,41.5723,53.99,4.3192,58.3092
222,2016-11-10 00:00:00.000,2016-11-17 00:00:00.000,27920,1,4,SO70303,2,4,8.7475,13.0863,34.99,2.7992,37.7892
488,2016-08-18 00:00:00.000,2016-08-25 00:00:00.000,19935,1,8,SO64409,3,1,53.99,41.5723,53.99,4.3192,58.3092
465,2016-08-03 00:00:00.000,2016-08-10 00:00:00.000,11200,1,6,SO63431,2,1,24.49,9.1593,24.49,1.9592,26.4492
311,2014-08-09 00:00:00.000,2014-08-16 00:00:00.000,19598,1,9,SO45399,1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
541,2016-11-23 00:00:00.000,2016-11-30 00:00:00.000,26252,1,4,SO71200,2,2,14.495,10.8423,28.99,2.3192,31.3092
467,2016-11-10 00:00:00.000,2016-11-17 00:00:00.000,17539,2,6,SO70270,3,4,6.1225,9.1593,24.49,1.9592,26.4492
604,2016-11-10 00:00:00.000,2016-11-17 00:00:00.000,29313,1,9,SO70311,1,4,134.9975,343.6496,539.99,43.1992,583.1892
482,2016-06-17 00:00:00.000,2016-06-24 00:00:00.000,24243,1,9,SO60185,3,1,8.99,3.3623,8.99,0.7192,9.709200000000001
480,2016-04-06 00:00:00.000,2016-04-13 00:00:00.000,20868,1,10,SO55644,3,4,0.5725,0.8565,2.29,0.1832,2.4732
478,2016-08-09 00:00:00.000,2016-08-16 00:00:00.000,13563,1,10,SO63824,3,4,2.4975,3.7363,9.99,0.7992,10.7892
342,2014-12-18 00:00:00.000,2014-12-25 00:00:00.000,15005,1,4,SO46504,1,1,699.0982,413.1463,699.0982,55.9279,755.0261
529,2016-10-16 00:00:00.000,2016-10-23 00:00:00.000,11166,1,1,SO68351,1,1,3.99,1.4923,3.99,0.3192,4.309200000000001
479,2016-12-19 00:00:00.000,2016-12-26 00:00:00.000,25571,1,8,SO73330,3,1,8.99,3.3623,8.99,0.7192,9.709200000000001
214,2016-08-17 00:00:00.000,2016-08-24 00:00:00.000,17943,1,10,SO64306,2,1,34.99,13.0863,34.99,2.7992,37.7892
333,2015-12-10 00:00:00.000,2015-12-17 00:00:00.000,15991,1,1,SO50866,1,1,782.99,486.7066,782.99,62.6392,845.6292
