item,description,product_code,u_m,unit_cost,p_m_t_code,p_m_t
"AOS-AA-DC-079003","10250000031","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-079004","98000028331","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-079005","98000028341","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-079006","98000028351","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-080001","98000050321","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-080002","98000050331","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-093001","98000033681","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-007041","90012657","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-007042","90012658","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-008005","T1002251R","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-008012","T1007908U","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-008013","T1007909R","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-008032","T1000947D","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-008036","T1008080A","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-009014","T96159A","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-009015","T22101B","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-009019","T40353B","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-012002","9677138480","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-012047","8648324580","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-013022","426260","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-013029","426316","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-013045","426412","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-013063","10*5*1.2mm/10*5*2mm","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-013071","50*20*10mm","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-013072","42*15.8*9.7","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-018001","00073803","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-018002","00073804","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-018003","00089765","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-018004","00089766","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-018014","00179793","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-018015","00183776","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-019005","8103454C010103","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-019039","8101404DC00101","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-019108","8103455SL01001","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-019152","NULL","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-022014","50mm*15mm*7mm","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-033010","2101805X1100（0.09.006516）","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039031","1040416806100","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039032","1040416903100","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039033","1040416903000","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039064","1040541211100","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039065","1040541211200","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039170","4010311811900","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-039171","1040311810400","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040025","2101227X1104","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040068","0.02.243043","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040100","0.02.244317","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040102","0.02.244488","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040103","0.02.244489","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040104","0.02.244490","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040105","0.02.244491","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040107","0.02.244547","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040110","0.02.244597","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040111","0.02.244624","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040112","0.02.244625","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040114","0.02.244627","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040116","0.02.244632","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040119","0.02.244372","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040120","0.02.244395","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040121","0.02.243336","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040124","0.02.244629","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040129"," 0.02.244839","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040130"," 0.02.244840","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040131"," 0.02.244841","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040141","0.02.244892","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-040146","0.02.244742","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-046002","GMK EVA胶条(550*40*30)","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-046004","GMK EVA胶条(350*42*30)","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-046005","GMK EVA胶条(550*42*30)","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-046006","670*42*30","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-047021","CN23000133","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-077004","0.02.241240","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-078001","1301014352","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-093001","EP0001-117","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-093002","EP0001-127","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-093003","EP0001-129","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-093004","EP0001-130","FF-AA-RF","PC",0,"M","Manufactured"
"AOW-AA-DC-093005","EP0001-131","FF-AA-RF","PC",0,"M","Manufactured"
"#Z-DTNCACR001","DTN-C-AC-R001 防尘盖 停用","FF-AA-RF","PC",0,"P","Purchased"
"AOS-AA-DC-080003","98000050341","FF-AA-RF","PC",0,"P","Purchased"
"AOW-AA-DC-040022","2101227X3011(0.02.242336)","FF-AA-RF","PC",0,"P","Purchased"
"AOW-AA-DC-040106","0.02.244546","FF-AA-RF","PC",0,"P","Purchased"
"AOW-AA-DC-092021","6802621402","FF-AA-RF","PC",0,"P","Purchased"
"#Z-0.02.242547","0.02.242547","FF-AA-RF","PC",57.84,"P","Purchased"
"#Z-0.02.243301","0.02.243301 停用","FF-AA-RF","PC",56.02,"P","Purchased"
"AOS-AA-DC-003004","101DP003001","FF-AA-RF","PC",1.85238,"P","Purchased"
"AOS-AA-DC-003005","101DP003101","FF-AA-RF","PC",1.872775,"P","Purchased"
"AOS-AA-DC-005106","F114001740","FF-AA-RF","PC",0.25604,"P","Purchased"
"AOS-AA-DC-006076","CN23000118","FF-AA-RF","PC",1.019281,"P","Purchased"
"AOS-AA-DC-006077","CN23000119","FF-AA-RF","PC",1.027233,"P","Purchased"
"AOS-AA-DC-042001","5231161100/3020906","FF-AA-RF","PC",0.313935,"P","Purchased"
"AOS-AA-DC-042002","5231161200/3020907","FF-AA-RF","PC",0.256567,"P","Purchased"
"AOS-AA-DC-060013","5J0 837 944B","FF-AA-RF","PC",0.127449,"P","Purchased"
"AOS-AA-DC-060022","5J0 837 944C","FF-AA-RF","PC",0.130607,"P","Purchased"
"AOW-AA-DC-007084","350241","FF-AA-RF","PC",1.846975,"P","Purchased"
"AOW-AA-DC-013028","794036","FF-AA-RF","PC",1.68,"P","Purchased"
"AOW-AA-DC-017002","9682143380","FF-AA-RF","PC",2.027559,"P","Purchased"
"AOW-AA-DC-019068","8101404DC00102","FF-AA-RF","PC",1.531163,"P","Purchased"
"AOW-AA-DC-025002","2101112-003-RA03","FF-AA-RF","PC",1.38,"P","Purchased"
"AOW-AA-DC-028078","FH181371(316*8*5)","FF-AA-RF","PC",0.22,"P","Purchased"
"AOW-AA-DC-028079","FH181371(302*8*5)","FF-AA-RF","PC",0.21,"P","Purchased"
"AOW-AA-DC-028080","FH181371(721*8*5)","FF-AA-RF","PC",0.45,"P","Purchased"
"AOW-AA-DC-033038","2101227X4320(0.02.241857)","FF-AA-RF","PC",105.657326,"P","Purchased"
"AOW-AA-DC-033039","2101227X0040","FF-AA-RF","PC",25.122,"P","Purchased"
"AOW-AA-DC-033050","2101227X1114(0.02.242896)","FF-AA-RF","PC",119.58,"P","Purchased"
"AOW-AA-DC-033051","2101227X0040(2019款)","FF-AA-RF","PC",124.56,"P","Purchased"
"AOW-AA-DC-033052","2101227X1520(0.02.242470)","FF-AA-RF","PC",127.486385,"P","Purchased"
"AOW-AA-DC-033053","2101521X2106","FF-AA-RF","PC",62.27,"P","Purchased"
"AOW-AA-DC-033056","2101227X2300(0.02.243293)三元","FF-AA-RF","PC",142.584012,"P","Purchased"
"AOW-AA-DC-033057","320X120X1.7","FF-AA-RF","PC",5.47647,"P","Purchased"
"AOW-AA-DC-033060","277x120x1.7","FF-AA-RF","PC",3.81,"P","Purchased"
"AOW-AA-DC-033062","0.02.244781(铁锂)","FF-AA-RF","PC",124.838087,"P","Purchased"
"AOW-AA-DC-039063","1040451223111","FF-AA-RF","PC",0.0684,"P","Purchased"
"AOW-AA-DC-039068","1040433100300","FF-AA-RF","PC",1.40575,"P","Purchased"
"AOW-AA-DC-039069","1040433100400","FF-AA-RF","PC",1.399107,"P","Purchased"
"AOW-AA-DC-039081","1040456907100","FF-AA-RF","PC",1.119999,"P","Purchased"
"AOW-AA-DC-039088","F45 T1 密封圈","FF-AA-RF","PC",1,"P","Purchased"
"AOW-AA-DC-039089","F46 T1 密封圈","FF-AA-RF","PC",1,"P","Purchased"
"AOW-AA-DC-039143","1040510945700","FF-AA-RF","PC",0.07197,"P","Purchased"
"AOW-AA-DC-040024","2101227X1520(2018款）","FF-AA-RF","PC",178.9075,"P","Purchased"
"AOW-AA-DC-040027","2101521X2106(0.02.242596)","FF-AA-RF","PC",68.655228,"P","Purchased"
"AOW-AA-DC-040033","0.02.242654","FF-AA-RF","PC",72.196666,"P","Purchased"
"AOW-AA-DC-040034","0.02.242655","FF-AA-RF","PC",66.06,"P","Purchased"
"AOW-AA-DC-040035","0.02.242656","FF-AA-RF","PC",8.90387,"P","Purchased"
"AOW-AA-DC-040050","0.02.242951","FF-AA-RF","PC",71.64,"P","Purchased"
"AOW-AA-DC-040056","0.02.241525","FF-AA-RF","PC",4.76,"P","Purchased"
"AOW-AA-DC-040057","0.02.243161","FF-AA-RF","PC",71,"P","Purchased"
"AOW-AA-DC-040058","0.02.243162","FF-AA-RF","PC",71,"P","Purchased"
"AOW-AA-DC-040059","0.02.243249","FF-AA-RF","PC",95.9,"P","Purchased"
"AOW-AA-DC-040060","0.02.243308","FF-AA-RF","PC",56.707765,"P","Purchased"
"AOW-AA-DC-040062","0.02.243301","FF-AA-RF","PC",63,"P","Purchased"
"AOW-AA-DC-040064","0.02.243304","FF-AA-RF","PC",52,"P","Purchased"
"AOW-AA-DC-040066","0.02.243329","FF-AA-RF","PC",47.2,"P","Purchased"
"AOW-AA-DC-040071","0.02.243413","FF-AA-RF","PC",99.84,"P","Purchased"
"AOW-AA-DC-040078","2101227X4350(0.02.243559)","FF-AA-RF","PC",62.16,"P","Purchased"
"AOW-AA-DC-040081","2101227X2801","FF-AA-RF","PC",76.264285,"P","Purchased"
"AOW-AA-DC-040101","0.02.244503","FF-AA-RF","PC",30.38,"P","Purchased"
"AOW-AA-DC-040117","0.02.244643","FF-AA-RF","PC",44.8,"P","Purchased"
"AOW-AA-DC-040135","0.02.244833","FF-AA-RF","PC",37.38,"P","Purchased"
"AOW-AA-DC-040140","0.02.244891","FF-AA-RF","PC",23.42,"P","Purchased"
"AOW-AA-DC-040147","2101303XGW04A(0.02.244659)","FF-AA-RF","PC",12.566,"P","Purchased"
"AOW-AA-DC-040148","2101306XGW04A(0.02.244694)","FF-AA-RF","PC",14.602,"P","Purchased"
"AOW-AA-DC-040149","2101307XGW04A(0.02.244714)","FF-AA-RF","PC",18.584,"P","Purchased"
"AOW-AA-DC-040157","0.02.245224","FF-AA-RF","PC",7.3451,"P","Purchased"
"AOW-AA-DC-046001","GMK EVA胶条 670X40X30","FF-AA-RF","PC",2.16,"P","Purchased"
"AOW-AA-DC-046003","GMK EVA胶条 350X40X30","FF-AA-RF","PC",1.39,"P","Purchased"
"AOW-AA-DC-046007","655X40X30-30","FF-AA-RF","PC",2.1,"P","Purchased"
"AOW-AA-DC-046008","655X40X30-20","FF-AA-RF","PC",2.1,"P","Purchased"
"AOW-AA-DC-046009","345X40X30-25","FF-AA-RF","PC",1.3,"P","Purchased"
"AOW-AA-DC-046010","445X40X30-30","FF-AA-RF","PC",1.5,"P","Purchased"
"AOW-AA-DC-062001","C1194-48480","FF-AA-RF","PC",0.5,"P","Purchased"
"AOW-AA-DC-062015","C1194-47560","FF-AA-RF","PC",0.4,"P","Purchased"
"AOW-AA-DC-062016","C1194-47570","FF-AA-RF","PC",0.34,"P","Purchased"
"AOW-AA-DC-062018","C1194-47561","FF-AA-RF","PC",0.42,"P","Purchased"
"AOW-AA-DC-062019","C1194-47571","FF-AA-RF","PC",0.36,"P","Purchased"
"AOW-AA-DC-062020","C1194-48630","FF-AA-RF","PC",0.18,"P","Purchased"
"AOW-AA-DC-062021","C1194-48640A","FF-AA-RF","PC",0.79,"P","Purchased"
"AOW-AA-DC-062022","C1194-48640B","FF-AA-RF","PC",0.79,"P","Purchased"
"AOW-AA-DC-062023","C1194-42581","FF-AA-RF","PC",0.13,"P","Purchased"
"AOW-AA-DC-077005","0.02.241342","FF-AA-RF","PC",166.55,"P","Purchased"
"AOW-AA-DC-077010","0.02.242542","FF-AA-RF","PC",21.29,"P","Purchased"
"AOW-AA-DC-077013","2101227X2106(0.02.242661)","FF-AA-RF","PC",154.036811,"P","Purchased"
"AOW-AA-DC-077019","2101227X2800(0.02.243604)","FF-AA-RF","PC",99.811835,"P","Purchased"
"AOW-AA-DC-077021","0.02.244282(2101227X0080/2101227X0074)","FF-AA-RF","PC",44.250887,"P","Purchased"
"AOW-AA-DC-077022","2101227X210C(0.02.244647)","FF-AA-RF","PC",105.144791,"P","Purchased"
"AOW-AA-DC-081001","1301014352","FF-AA-RF","PC",0.48,"P","Purchased"
"AOW-AA-DC-092039","6802903101","FF-AA-RF","PC",2.62,"P","Purchased"
"AOW-AA-DC-092049","6800913101","FF-AA-RF","PC",9.97,"P","Purchased"
"AOW-AA-DC-092052","6803521402","FF-AA-RF","PC",36.97,"P","Purchased"
"AOW-AA-DC-092061","6803883101","FF-AA-RF","PC",2.3,"P","Purchased"
"AOW-AA-DC-092062","6803901401","FF-AA-RF","PC",1.308973,"P","Purchased"
"AOW-AA-DC-092063","6803901402","FF-AA-RF","PC",19.734255,"P","Purchased"
"AOW-AA-DC-092064","6803901403","FF-AA-RF","PC",20.953962,"P","Purchased"
"AOW-AA-DC-092065","6803971401","FF-AA-RF","PC",2.921713,"P","Purchased"
"AOW-AA-DC-092069","6803811403","FF-AA-RF","PC",0.164381,"P","Purchased"
"AOW-AA-DC-092070","6803811404","FF-AA-RF","PC",0.327958,"P","Purchased"
"AOW-AA-DC-092071","6803811405","FF-AA-RF","PC",0.049239,"P","Purchased"
"AOW-AA-DC-092072","6803811406","FF-AA-RF","PC",0.277675,"P","Purchased"
"AOW-AA-DC-092073","6803811407","FF-AA-RF","PC",0.186229,"P","Purchased"
"AOW-AA-DC-092074","6803811408","FF-AA-RF","PC",37.272463,"P","Purchased"
"AOW-AA-DC-092075","6803883102","FF-AA-RF","PC",5.31,"P","Purchased"
"AOW-AA-DC-092078","6804231301","FF-AA-RF","PC",23.21,"P","Purchased"
"AOW-AA-DC-094003","Z110624J-F01","FF-AA-RF","PC",33.6,"P","Purchased"
"AOW-AA-DC-100001","C1-125-240.1000.03SZ","FF-AA-RF","PC",24,"P","Purchased"
"AOW-AA-DC-103003","330x135x0.5","FF-AA-RF","PC",5.6637,"P","Purchased"
"AOW-AA-DC-103004","B1 0.4x89x552","FF-AA-RF","PC",3.9823,"P","Purchased"
"AOW-AA-DC-103005","B2 0.4x89x525","FF-AA-RF","PC",3.717,"P","Purchased"
"AOW-AA-DC-103006","Z1 0.4x102x537","FF-AA-RF","PC",3.9823,"P","Purchased"
"AOW-AA-DC-103007","Z2 0.4x102x537","FF-AA-RF","PC",3.9823,"P","Purchased"
"AOW-AA-FE-040001","0.02.244230-Y","FF-AA-RF","PC",1.1,"P","Purchased"
"AOG-AA-DC-028072","272X05NN2A","FF-AA-RF","PC",0.173866,"M","Manufactured"
"AOG-AA-DC-091001","98000047841","FF-AA-RF","PC",0.025438,"M","Manufactured"
"AOG-CI-DC-110023","AIC-1502-4","FF-AA-RF","PC",0.896678,"M","Manufactured"
"AOS-AA-DC-002001","10078515","FF-AA-RF","PC",0.222872,"M","Manufactured"
"AOS-AA-DC-003001","101DP000201","FF-AA-RF","PC",0.12626,"M","Manufactured"
"AOS-AA-DC-003002","101DP000301","FF-AA-RF","PC",0.210515,"M","Manufactured"
"AOS-AA-DC-003003","101DP000401","FF-AA-RF","PC",0.118585,"M","Manufactured"
"AOS-AA-DC-003006","101DP004101","FF-AA-RF","PC",0.080559,"M","Manufactured"
"AOS-AA-DC-003009","101IP000302","FF-AA-RF","PC",0.361366,"M","Manufactured"
"AOS-AA-DC-005001","3020396/26265772/357-012","FF-AA-RF","PC",0.160167,"M","Manufactured"
"AOS-AA-DC-005002","3020397/26265773/357-013","FF-AA-RF","PC",0.220812,"M","Manufactured"
"AOS-AA-DC-005003","3020554/90799699/354-009","FF-AA-RF","PC",0.143817,"M","Manufactured"
"AOS-AA-DC-005004","3020555/26679519/405-006","FF-AA-RF","PC",0.490138,"M","Manufactured"
"AOS-AA-DC-005005","3020505/WY20159630","FF-AA-RF","PC",0.22781,"M","Manufactured"
"AOS-AA-DC-005006","29.42.7001","FF-AA-RF","PC",0.15463,"M","Manufactured"
"AOS-AA-DC-005007","F114001320","FF-AA-RF","PC",0.034695,"M","Manufactured"
"AOS-AA-DC-005008","F114001322","FF-AA-RF","PC",1.439937,"M","Manufactured"
"AOS-AA-DC-005009","F114001323","FF-AA-RF","PC",1.486562,"M","Manufactured"
"AOS-AA-DC-005010","F114001667","FF-AA-RF","PC",3.22763,"M","Manufactured"
"AOS-AA-DC-005011","F114001668","FF-AA-RF","PC",3.239326,"M","Manufactured"
"AOS-AA-DC-005013","F114001741","FF-AA-RF","PC",0.183475,"M","Manufactured"
"AOS-AA-DC-005014","F114001742","FF-AA-RF","PC",0.180487,"M","Manufactured"
"AOS-AA-DC-005015","F114001892","FF-AA-RF","PC",0.112248,"M","Manufactured"
"AOS-AA-DC-005016","20.83.80.15","FF-AA-RF","PC",3.688512,"M","Manufactured"
"AOS-AA-DC-005017","20.83.90.15","FF-AA-RF","PC",3.763877,"M","Manufactured"
"AOS-AA-DC-005019","F114001348","FF-AA-RF","PC",0.864172,"M","Manufactured"
"AOS-AA-DC-005020","F114001349","FF-AA-RF","PC",0.989336,"M","Manufactured"
"AOS-AA-DC-005021","F114001361","FF-AA-RF","PC",1.834585,"M","Manufactured"
"AOS-AA-DC-005023","21.00.80.09","FF-AA-RF","PC",1.57237,"M","Manufactured"
"AOS-AA-DC-005024","21.00.90.09","FF-AA-RF","PC",1.52332,"M","Manufactured"
"AOS-AA-DC-005027","F114001805","FF-AA-RF","PC",2.491942,"M","Manufactured"
"AOS-AA-DC-005029","F114001806","FF-AA-RF","PC",2.498385,"M","Manufactured"
"AOS-AA-DC-005032","FR26227003","FF-AA-RF","PC",0.410029,"M","Manufactured"
"AOS-AA-DC-005033","98000507101","FF-AA-RF","PC",0.040821,"M","Manufactured"
"AOS-AA-DC-005050","VPBE2H-19B588-KA","FF-AA-RF","PC",1.990679,"M","Manufactured"
"AOS-AA-DC-005052","CN23000042","FF-AA-RF","PC",0.555008,"M","Manufactured"
"AOS-AA-DC-005065","F754WNERA01 000","FF-AA-RF","PC",0.134815,"M","Manufactured"
"AOS-AA-DC-005066","F115LYALA01 001","FF-AA-RF","PC",0.300496,"M","Manufactured"
"AOS-AA-DC-005067","D279WNERA01 000","FF-AA-RF","PC",0.078761,"M","Manufactured"
"AOS-AA-DC-005068","D333LYALA05 000","FF-AA-RF","PC",0.959618,"M","Manufactured"
"AOS-AA-DC-005073","F115WNERA01 001","FF-AA-RF","PC",1.884974,"M","Manufactured"
"AOS-AA-DC-005074","F114WNELA01 000","FF-AA-RF","PC",1.105841,"M","Manufactured"
"AOS-AA-DC-005075","D214WNEAA01 000","FF-AA-RF","PC",0.48651,"M","Manufactured"
"AOS-AA-DC-005087","03579150A","FF-AA-RF","PC",2.132458,"M","Manufactured"
"AOS-AA-DC-005088","03580150A","FF-AA-RF","PC",2.141486,"M","Manufactured"
"AOS-AA-DC-005089","03533130","FF-AA-RF","PC",0.050291,"M","Manufactured"
"AOS-AA-DC-005090","03643080B","FF-AA-RF","PC",2.428726,"M","Manufactured"
"AOS-AA-DC-005091","03644080B","FF-AA-RF","PC",2.409891,"M","Manufactured"
"AOS-AA-DC-005108","VPBE2H-19D578-CB","FF-AA-RF","PC",0.168207,"M","Manufactured"
"AOS-AA-DC-005109","VPAE8H-19D578-DC","FF-AA-RF","PC",0.270071,"M","Manufactured"
"AOS-AA-DC-005110","VPBE2H-19D578-DD","FF-AA-RF","PC",0.287068,"M","Manufactured"
"AOS-AA-DC-005111","VPBE2H-12685-CC","FF-AA-RF","PC",0.591493,"M","Manufactured"
"AOS-AA-DC-005112","VPBE2H-12685-DC","FF-AA-RF","PC",0.55978,"M","Manufactured"
"AOS-AA-DC-005113","VPBE2H-19A828-AA","FF-AA-RF","PC",0.98876,"M","Manufactured"
"AOS-AA-DC-005114","F749WNERA01 000","FF-AA-RF","PC",0.456371,"M","Manufactured"
"AOS-AA-DC-005115","DM1P2LYALB05 000","FF-AA-RF","PC",2.745263,"M","Manufactured"
"AOS-AA-DC-005117","03581210","FF-AA-RF","PC",0.89845,"M","Manufactured"
"AOS-AA-DC-005118","03710250","FF-AA-RF","PC",1.546853,"M","Manufactured"
"AOS-AA-DC-005119","03711250","FF-AA-RF","PC",1.552638,"M","Manufactured"
"AOS-AA-DC-005121","12005083","FF-AA-RF","PC",0.501439,"M","Manufactured"
"AOS-AA-DC-005122","12005084","FF-AA-RF","PC",0.38182,"M","Manufactured"
