school Name,ALP Domain,ALP Title,LLP Domain,LLP Title,ID
COMPASSVALE PRIMARY SCHOOL,Coding,Inculcating 21st Century Competencies Through Robotics in Math & Science Curriculum,Music & Performing Arts,Developing Aesthetics Appreciation  Through Music Empowerment,75
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,Languages,"Competent, Confident Communicators (C3) ? A 6 year progressive programme.",Sports & Outdoor Education,"STAR (Self-defence, Track & field, Adventure and Racquet games) @ PHPPS",214
BEACON PRIMARY SCHOOL,Science,Stimulating Senses Through Science (S3),Community Service & Student Leadership,Beacons At Your Service,23
CLEMENTI TOWN SECONDARY SCHOOL,STEM,CODE: COmputing to Discover and Empower,Community & Youth Leadership,Leadership Development through Uniformed Groups,73
PEIYING PRIMARY SCHOOL,Interdisciplinary,Project THINK (Thinking Holistic Innovative Networked Kids) for Home Earth,Sports & Outdoor Education,"Sports, Character Development and Adventure Learning Experiences @ Peiying (SCALE@PEIYING)",219
NAN CHIAU PRIMARY SCHOOL,Interdisciplinary,Applied Learning@NCPS through Project Work,Community Service & Student Leadership,Watch Me Soar (Student Leadership LLP - A Whole School Approach),178
CHIJ OUR LADY QUEEN OF PEACE,Science,Science and Environment Education @ OLQP (SEE @ OLQP),Sports & Outdoor Education,Character Lives In My Behaviour (CLIMB) Through Sports,59
BEDOK VIEW SECONDARY SCHOOL,Languages & Humanities,Global Awareness for the 21st Century @ BV,Community & Youth Leadership,Good Values @ BV,28
ST. HILDA'S PRIMARY SCHOOL,Languages,Developing confident communicators through an enriched global education -- The Hildan Ambassador?s Education,Visual Arts & Design,"IMPRINTS Alive! Nurturing Creativity and Culture through Performing Arts, Visual Arts and Leadership",274
QIFA PRIMARY SCHOOL,Languages,Effective Communication,Sports & Outdoor Education,CHAMPS @Qifa,230
YU NENG PRIMARY SCHOOL,ICT & Media,The 3E Experience @ YNPS: Nurturing Future-Ready 21st Century Learners,Sports & Outdoor Education,GOal GR3IT ? Character Development through Sports @ Yu Neng Primary,335
EAST SPRING PRIMARY SCHOOL,ICT & Media,Digital Creativity @ ESPS,Sports & Outdoor Education,SPRING for Life ? Developing Character through Sports,89
GREENWOOD PRIMARY SCHOOL,Languages,Bilingual LIterature Appreciation Student Series (BLISS),Community Service & Student Leadership,"WHIZZ - We are Thinking, Inventive and Zealous KIdZ to serve the community",121
ANGLO-CHINESE SCHOOL (BARKER ROAD),Languages & Humanities,"Developing Effective Communicators through Drama, Debates and Public Speaking",Sports & Outdoor Education,"Building Character through Sports (Basketball, Rugby, Tennis and Water Polo) & Outdoor Education",15
CHUA CHU KANG SECONDARY SCHOOL,STEM,Robotics & Automation for a Better Tomorrow,Community & Youth Leadership,Student Leadership,69
TAO NAN SCHOOL,Mathematics,Application of Mathematics for Lifelong Learning (AML2),Sports & Outdoor Education,ENRICH@TNS,292
TEMASEK PRIMARY SCHOOL,Coding,RoboALERT (Applicative Learning Experience through Robotics at Temasek),Sports & Outdoor Education,SOAR ? Sports Opportunities for Active lifestyle and physical Resilience and Sporting Excellence,298
GREENRIDGE SECONDARY SCHOOL,Languages & Humanities,The Use of Media in Engaging 21st Century Learners in the English Language Classroom -- Camera. Lights. Action. Programme (CLAP),Music & Performing Arts / Visual Arts & Design,"Developing Creative and Confident persons, impacting the community through the Arts",120
ST. JOSEPH'S INSTITUTION JUNIOR,Interdisciplinary,Observe ? Reflect ? Act (ORA @ SJI Junior),Sports & Outdoor Education,Sports Experience Reinforcing Values Education (Serve@SJIJ),277
FUHUA PRIMARY SCHOOL,Coding,Students As Designers for the 21st Century,Community Service & Student Leadership,Environmental Champions @ FHPS Programme,110
FERNVALE PRIMARY SCHOOL,Science,Future Skills Programme,Community Service & Student Leadership,"Greenova - To nurture, innovative, responsible, young environmentalists who love and care for the environment",105
MARSILING PRIMARY SCHOOL,Languages,"Spark Ideas, Spark Interest, Spark Action: Igniting A Passion for Purposeful Storytelling (SPARKS@MPS)",Community Service & Student Leadership,"LEAD (Learn, Engage, Absorb, Demonstrate) to Serve @ MPS",164
LAKESIDE PRIMARY SCHOOL,Interdisciplinary,ThInkers with Heart,Music & Performing Arts,ARTS De La Sc?ne,158
XINGHUA PRIMARY SCHOOL,Interdisciplinary,Students as Advocates of Environmental Issues in the Community,Visual Arts & Design,Developing Higher Order Thinking Through Visual Art,322
MAHA BODHI SCHOOL,Languages,Empathetic Listeners. Effective Communicators. Trailblazing Advocates (ELECTRA@MBS),Music & Performing Arts,Learning through an Ethnic Arts Programme (LEAP),161
YUMIN PRIMARY SCHOOL,Coding,"I3QUEST ?Question, Imagine, Innovate, Inspire",Community Service & Student Leadership,"Compassionate Champions, Rooted Singaporeans, Citizens of the World ? Developing 21st CC in Yumin Champions",339
LIANHUA PRIMARY SCHOOL,Coding,Robotics Project Work,Sports & Outdoor Education,VIA through Sports,159
PASIR RIS SECONDARY SCHOOL,Humanities,Applied Learning in Humanities and Languages through Project DRIVE!,Music & Performing Arts,Learning for Life Programme in Music and Performing Arts through SHINE@PRSS,210
YUHUA SECONDARY SCHOOL,STEM,"Coding, Design, Thinking and Robotics (CODER)",Music & Performing Arts,"MELODY- Music Empowered Learners, Our Dynamic Yuhuans",338
ST. ANTHONY'S PRIMARY SCHOOL,STEM,CODE@SAPS,Visual Arts & Design,Visual Arts Programme for Active Learning (VAPAL),271
HOUGANG PRIMARY SCHOOL,Science,"X-Cell in Science@HGP ? eXperiment, eXplore, eXperience",Sports & Outdoor Education,Character Development through Outdoor Adventure Education (OAE),132
JIEMIN PRIMARY SCHOOL,Languages,J-YEAR (Jiemin- Young Editors And Reporters ),Music & Performing Arts/ Visual Arts & Design,Aesthetics Alive,138
WHITE SANDS PRIMARY SCHOOL,ICT & Media,Digital Media in Aesthetics & Languages,Visual & Performing Arts,Visual Art,314
BOWEN SECONDARY SCHOOL,Business & Entrepreneurship,"Nurturing Creativity, Empathy and Enterprise through Social Entrepreneurship",Community & Youth Leadership,Bowen ChANgemakers Programme,34
CHIJ (KELLOCK),Interdisciplinary,Rethinking Possibilities to Serve the Common Good,Music & Performing Arts,ArtsONE+ : Purposeful Learning of Music and Performing Arts Using the Self-regulated Approach,55
CHIJ ST. JOSEPH'S CONVENT,Languages & Humanities,The Art of Communication through Theatre and Debates,Community & Youth Leadership,Buidling Critical and Creative Thinking through Future-Problem Solving,62
GAN ENG SENG PRIMARY SCHOOL,Interdisciplinary,From Farm to Table,Music & Performing Arts,"Nurturing Aesthetics and Values Development in Children through Band, Choir and Performing Arts",112
MARSILING SECONDARY SCHOOL,STEM,Eco-sustainability through Inquiry-Based Learning,Sports & Outdoor Education,Values and Character Building through Outdoor Curriculum (VALOUR),165
FUCHUN SECONDARY SCHOOL,STEM,Innovations in Science & Technology for Sustain-Ability,Music & Performing Arts,Values Through Dance,109
HAIG GIRLS' SCHOOL,Interdisciplinary,Innovation and Service Learning through Integrated Project Work (IPW@HGS),Music & Performing Arts,Character and Leadership through the Performing and Visual Arts,125
RULANG PRIMARY SCHOOL,Coding,Enhancing 21st Century Competencies Through Robotics,Sports & Outdoor Education,"Sports Teach Responsibility, Inventiveness, Values & Excellence (STRIVE) @ Rulang",247
ST. HILDA'S SECONDARY SCHOOL,Languages & Humanities,iTHink -- the HILDAN Approach to Learning the English Language,Sports & Outdoor Education,Develop the Whole Person through Sports and Outdoor Education,275
BUKIT BATOK SECONDARY SCHOOL,STEM,Developing Proactive Problem-Solvers who care for our World through STEM,Community & Youth Leadership,Developing Community Youth Leadership through VIA - Journey to Become RESPECTful Leaders,36
ZHENGHUA SECONDARY SCHOOL,STEM,Game Design and Simulation and Robotics,Sports & Outdoor Education,Outdoor Education for Character & Leadership Development,344
GUANGYANG SECONDARY SCHOOL,STEM,Environmental Science for Sustainable Living,Music & Performing Arts,heARTbeat -- Art for Life,123
COMPASSVALE SECONDARY SCHOOL,STEM,Aeronautics Applied Learning Programme,Community & Youth Leadership,Inspired North Stars Inspire Actions,76
EVERGREEN SECONDARY SCHOOL,Languages & Humanities,"Developing Effective Communicators, Caring Leaders and Inventive Thinking through National Education",Sports & Outdoor Education,Strengthening Resilience and Character through Leadership and Sports Education,98
YUAN CHING SECONDARY SCHOOL,STEM,Marine Robotics,Sports & Outdoor Education,gRowing Values through Sports and Outdoor Education,336
ALEXANDRA PRIMARY SCHOOL,Science,"Science, Design Technology & Design Thinking at ALPS (SDT2@ALPS)",Community Service & Student Leadership,Cultural Intelligence (CQ) ? The Code of Life,6
BEDOK GREEN SECONDARY SCHOOL,STEM,ilnquire. ilnnovate. Developing scientific thinking and inquiry skills through real-life applications,Music & Performing Arts,PAssion Programme,26
ST. GABRIEL'S SECONDARY SCHOOL,STEM,Project GaIA - Gabrielites Inspired for Aviation,Community & Youth Leadership,Developing Life Skills through Uniformed Groups Experience,273
FRONTIER PRIMARY SCHOOL,Languages,Frontier?s Approach to Communicating Effectively,Music & Performing Arts,danceFRONT,107
KRANJI PRIMARY SCHOOL,Science,Nurturing Joyful Learners through Critical and Inventive Thinking,Sports & Outdoor Education,Developing Champions in Life through Sports,154
KEMING PRIMARY SCHOOL,Science,INquiry Science Projects Involving Research and Experiments (I.N.S.P.I.R.E. the Scientist in Me),Sports & Outdoor Education,Sports4All@Keming: Character Development through Sports,150
YIO CHU KANG SECONDARY SCHOOL,STEM,Developing inquiring minds and creative learners through Arduino,Music & Performing Arts,"Growing Character Leadership through Arts, Media and Design",330
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,Languages & Humanities,"Participate, Access/ Analyse, Create, Evaluate (P.A.C.E) in KCPSS Media Literacy Programme",Community & Youth Leadership,Every KCPian a Servant Leader,157
SOUTH VIEW PRIMARY SCHOOL,ICT & Media,"energIze, exCite, and exalT! - Learning through Empowering @ SVPS",Music & Performing Arts,Love Dance.  Love Life!,262
YUYING SECONDARY SCHOOL,Business & Entrepreneurship,Fostering  Inventive and  Critical Thinking through Design Thinking for Enterprising Learners,Community & Youth Leadership,Totally Wholesome Engaged and Empowered TeenS (TWEETS),341
HILLGROVE SECONDARY SCHOOL,STEM,Broadening our Learning Horizons through Flight and Aerospace,Music & Performing Arts,Nurturing Confident and Passionate Hillgrovians through the Arts,127
BUKIT VIEW SECONDARY SCHOOL,STEM,Clean Energy and Environmental Technology,Music & Performing Arts,"Learning the Arts, Living the Values",42
KENT RIDGE SECONDARY SCHOOL,STEM,Developing Computational Thinking through Robotics,Sports & Outdoor Education,EVOKE!@KR (Educational Values of Olympism at Kent Ridge) through Sports and Outdoor Education,151
GREENDALE SECONDARY SCHOOL,STEM,SMART Living: Design. Code. Build,Sports & Outdoor Education,Character Development through Outdoor and Adventure Education,118
NORTHBROOKS SECONDARY SCHOOL,STEM,Northbrooks Aerospace Programme (Applied Learning In Aerospace),Sports & Outdoor Education,"Northbrooks Outdoor Education: Adventure, Character, Environment (A.C.E.) Programme",195
HOUGANG SECONDARY SCHOOL,Languages & Humanities,English Communication Skills through Authentic Learning,Community & Youth Leadership,"GRC (Gratitude, Respect & Compassion) in Action, a Hougean way of life",133
FUCHUN PRIMARY SCHOOL,Languages,Speak Up! at Fuchun,Music & Performing Arts,Aesthetically Responding To Shine (ARTS),108
NANYANG PRIMARY SCHOOL,Innovation & Enterprise,Problem-Solving Through Maker Education,Music & Performing Arts,Building Cultural Quotience Through Dance,183
SENG KANG SECONDARY SCHOOL,STEM,Health Science & Technology,Sports & Outdoor Education,Building Character Through Physical Education & Sports,253
RIVERVALE PRIMARY SCHOOL,Science,Multi-Literacy Programme (MLP),Music & Performing Arts,DANCE FEVER ? Dance Aces Nurturing Cultural Expression For EVEry Riverlite,245
RIVERSIDE SECONDARY SCHOOL,Languages & Humanities,Global Citizenship Education through Critical Social Inquiry,Music & Performing Arts / Visual Arts & Design,Arts for Life,244
ANGLO-CHINESE SCHOOL (JUNIOR),Interdisciplinary,Creative Thinkers,Sports & Outdoor Education,"All for Sports, Sports for All @ ACS (Junior)",17
NORTH VISTA SECONDARY SCHOOL,STEM,Investigative Science in Health & Sports,Visual Arts & Design,Nurturing Creative Problem Solvers through the Arts & Design,194
CHIJ OUR LADY OF THE NATIVITY,Languages,"LEAPS (Learn, Engage, Articulate & Perform)",Sports & Outdoor Education,OLN SPARK (SPorts Active and Resilient Kids),58
KRANJI SECONDARY SCHOOL,Interdisciplinary,Nurturing Communities of Reflective and Independent Learners through Thinking Curriculum,Community & Youth Leadership,Nurturing a Leader in Every Kranjian through Community and Youth Leadership,155
ASSUMPTION ENGLISH SCHOOL,Languages & Humanities,Speak English with grAce and Knowledge (SPEAK),Community & Youth Leadership,Community and Youth Leadership,20
NORTH VISTA PRIMARY SCHOOL,ICT & Media,Developing 21st Century Competencies through ICT,Visual Arts & Design,Visual Arts & Design,193
GAN ENG SENG SCHOOL,STEM,GESS Probes Programme,Community & Youth Leadership,GESS LIFE Programme,113
WEST SPRING SECONDARY SCHOOL,Languages & Humanities,Effective Communication and Critical Thinking through Media Literacy,Sports & Outdoor Education,"FOCUS (Finding, Optimising, Communicating, Understanding Sports)",310
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,Languages,"Stories Opening Windows to the world: Using narratives to appreciate Culture, build Connections and effect Change",Music & Performing Arts,PAM@SC ? Performing Arts and Music at SC,259
INNOVA PRIMARY SCHOOL,Interdisciplinary,Creative Problem Solving (CPS) Programme: CPS@IPS for the Holistic Development of a 21st Century Child in Innova Primary School,Community Service & Student Leadership,Leading Through Serving,137
ADMIRALTY PRIMARY SCHOOL,STEM,Design Thinking for Sustainability (DTS @ Admiralty),Community Service & Student Leadership,High Performance Mind-set for Personal Leadership,1
ANG MO KIO SECONDARY SCHOOL,STEM,Environment Science & Technology,Music & Performing Arts,Integrated Arts Programme,12
ANGSANA PRIMARY SCHOOL,Coding,Nurturing Problem Solvers through Computational Thinking,Community Service & Student Leadership,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes,19
