responseID_primary key_cleaned,variable,value
285,Fast career DV,4
286,Fast career DV,3
287,Fast career DV,3
288,Fast career DV,4
289,Fast career DV,3
29,Fast career DV,4
290,Fast career DV,4
291,Fast career DV,3
292,Fast career DV,5
293,Fast career DV,5
294,Fast career DV,5
295,Fast career DV,3
296,Fast career DV,2
297,Fast career DV,4
298,Fast career DV,3
299,Fast career DV,5
3,Fast career DV,3
30,Fast career DV,3
300,Fast career DV,5
301,Fast career DV,3
302,Fast career DV,4
303,Fast career DV,4
304,Fast career DV,2
305,Fast career DV,5
306,Fast career DV,3
307,Fast career DV,2
308,Fast career DV,3
309,Fast career DV,6
31,Fast career DV,3
310,Fast career DV,4
311,Fast career DV,4
312,Fast career DV,4
313,Fast career DV,5
314,Fast career DV,3
315,Fast career DV,4
316,Fast career DV,4
317,Fast career DV,4
318,Fast career DV,4
319,Fast career DV,2
32,Fast career DV,3
320,Fast career DV,4
321,Fast career DV,4
322,Fast career DV,2
323,Fast career DV,3
324,Fast career DV,2
325,Fast career DV,3
326,Fast career DV,3
327,Fast career DV,2
328,Fast career DV,2
329,Fast career DV,3
33,Fast career DV,4
330,Fast career DV,4
331,Fast career DV,3
332,Fast career DV,3
333,Fast career DV,3
334,Fast career DV,3
335,Fast career DV,3
336,Fast career DV,2
337,Fast career DV,2
338,Fast career DV,2
339,Fast career DV,3
34,Fast career DV,3
340,Fast career DV,3
341,Fast career DV,5
342,Fast career DV,2
343,Fast career DV,4
344,Fast career DV,3
345,Fast career DV,5
346,Fast career DV,3
347,Fast career DV,3
348,Fast career DV,3
349,Fast career DV,5
35,Fast career DV,3
350,Fast career DV,4
351,Fast career DV,1
352,Fast career DV,3
353,Fast career DV,4
354,Fast career DV,3
355,Fast career DV,4
356,Fast career DV,3
357,Fast career DV,2
358,Fast career DV,4
359,Fast career DV,4
36,Fast career DV,3
360,Fast career DV,4
361,Fast career DV,4
362,Fast career DV,3
363,Fast career DV,4
364,Fast career DV,4
365,Fast career DV,3
366,Fast career DV,4
367,Fast career DV,2
368,Fast career DV,3
369,Fast career DV,3
37,Fast career DV,4
370,Fast career DV,2
371,Fast career DV,2
372,Fast career DV,3
373,Fast career DV,5
374,Fast career DV,3
375,Fast career DV,2
376,Fast career DV,3
377,Fast career DV,4
378,Fast career DV,3
379,Fast career DV,3
38,Fast career DV,4
380,Fast career DV,3
381,Fast career DV,5
382,Fast career DV,4
383,Fast career DV,3
384,Fast career DV,1
385,Fast career DV,4
386,Fast career DV,3
387,Fast career DV,4
388,Fast career DV,4
389,Fast career DV,3
39,Fast career DV,5
390,Fast career DV,4
391,Fast career DV,4
392,Fast career DV,4
393,Fast career DV,4
394,Fast career DV,4
395,Fast career DV,3
396,Fast career DV,2
397,Fast career DV,3
398,Fast career DV,4
399,Fast career DV,3
4,Fast career DV,3
40,Fast career DV,4
400,Fast career DV,4
401,Fast career DV,5
402,Fast career DV,3
403,Fast career DV,4
404,Fast career DV,5
405,Fast career DV,4
406,Fast career DV,3
407,Fast career DV,3
408,Fast career DV,4
409,Fast career DV,3
41,Fast career DV,4
410,Fast career DV,3
411,Fast career DV,4
412,Fast career DV,2
413,Fast career DV,3
414,Fast career DV,5
415,Fast career DV,3
416,Fast career DV,2
417,Fast career DV,4
418,Fast career DV,2
419,Fast career DV,4
42,Fast career DV,3
420,Fast career DV,3
421,Fast career DV,3
422,Fast career DV,4
423,Fast career DV,4
424,Fast career DV,4
425,Fast career DV,4
426,Fast career DV,3
427,Fast career DV,4
428,Fast career DV,2
429,Fast career DV,3
43,Fast career DV,3
430,Fast career DV,3
431,Fast career DV,4
432,Fast career DV,4
433,Fast career DV,4
434,Fast career DV,3
435,Fast career DV,5
436,Fast career DV,4
437,Fast career DV,4
438,Fast career DV,3
439,Fast career DV,3
44,Fast career DV,3
440,Fast career DV,2
441,Fast career DV,4
442,Fast career DV,3
443,Fast career DV,3
444,Fast career DV,3
445,Fast career DV,3
446,Fast career DV,4
447,Fast career DV,3
448,Fast career DV,4
449,Fast career DV,3
45,Fast career DV,1
450,Fast career DV,3
451,Fast career DV,4
452,Fast career DV,3
453,Fast career DV,3
454,Fast career DV,4
455,Fast career DV,4
456,Fast career DV,3
457,Fast career DV,4
458,Fast career DV,4
459,Fast career DV,3
46,Fast career DV,5
460,Fast career DV,4
461,Fast career DV,4
462,Fast career DV,5
463,Fast career DV,3
464,Fast career DV,4
465,Fast career DV,4
466,Fast career DV,4
467,Fast career DV,4
468,Fast career DV,3
469,Fast career DV,3
47,Fast career DV,4
470,Fast career DV,5
471,Fast career DV,4
472,Fast career DV,4
473,Fast career DV,4
474,Fast career DV,5
475,Fast career DV,4
476,Fast career DV,3
477,Fast career DV,4
478,Fast career DV,4
479,Fast career DV,4
48,Fast career DV,4
480,Fast career DV,3
481,Fast career DV,3
482,Fast career DV,3
483,Fast career DV,3
484,Fast career DV,3
485,Fast career DV,4
486,Fast career DV,3
487,Fast career DV,5
488,Fast career DV,4
489,Fast career DV,4
49,Fast career DV,3
490,Fast career DV,4
491,Fast career DV,4
492,Fast career DV,2
493,Fast career DV,4
494,Fast career DV,4
495,Fast career DV,4
496,Fast career DV,2
497,Fast career DV,3
498,Fast career DV,4
499,Fast career DV,2
5,Fast career DV,5
50,Fast career DV,5
500,Fast career DV,3
501,Fast career DV,4
502,Fast career DV,4
503,Fast career DV,4
504,Fast career DV,3
505,Fast career DV,3
506,Fast career DV,4
507,Fast career DV,5
508,Fast career DV,5
509,Fast career DV,4
51,Fast career DV,1
510,Fast career DV,5
511,Fast career DV,4
512,Fast career DV,5
513,Fast career DV,4
514,Fast career DV,3
515,Fast career DV,4
516,Fast career DV,4
517,Fast career DV,4
518,Fast career DV,3
519,Fast career DV,4
52,Fast career DV,4
520,Fast career DV,4
521,Fast career DV,4
522,Fast career DV,3
523,Fast career DV,5
524,Fast career DV,5
525,Fast career DV,3
526,Fast career DV,3
527,Fast career DV,3
528,Fast career DV,2
529,Fast career DV,3
53,Fast career DV,3
530,Fast career DV,3
531,Fast career DV,3
532,Fast career DV,2
533,Fast career DV,3
534,Fast career DV,5
535,Fast career DV,4
536,Fast career DV,4
537,Fast career DV,3
538,Fast career DV,2
539,Fast career DV,4
54,Fast career DV,2
540,Fast career DV,5
541,Fast career DV,2
542,Fast career DV,4
543,Fast career DV,4
544,Fast career DV,5
545,Fast career DV,5
546,Fast career DV,3
547,Fast career DV,4
548,Fast career DV,5
549,Fast career DV,4
55,Fast career DV,3
550,Fast career DV,4
551,Fast career DV,3
552,Fast career DV,5
553,Fast career DV,3
554,Fast career DV,3
555,Fast career DV,5
556,Fast career DV,4
557,Fast career DV,4
558,Fast career DV,4
559,Fast career DV,3
56,Fast career DV,4
560,Fast career DV,1
561,Fast career DV,4
562,Fast career DV,2
563,Fast career DV,3
564,Fast career DV,3
565,Fast career DV,3
566,Fast career DV,4
567,Fast career DV,3
568,Fast career DV,3
569,Fast career DV,4
57,Fast career DV,2
570,Fast career DV,4
571,Fast career DV,4
572,Fast career DV,4
573,Fast career DV,2
574,Fast career DV,4
575,Fast career DV,3
576,Fast career DV,4
577,Fast career DV,5
578,Fast career DV,4
579,Fast career DV,4
58,Fast career DV,3
580,Fast career DV,5
581,Fast career DV,3
582,Fast career DV,3
583,Fast career DV,3
584,Fast career DV,2
585,Fast career DV,4
586,Fast career DV,3
587,Fast career DV,3
588,Fast career DV,4
589,Fast career DV,3
59,Fast career DV,4
590,Fast career DV,3
591,Fast career DV,3
592,Fast career DV,4
593,Fast career DV,4
594,Fast career DV,4
595,Fast career DV,6
596,Fast career DV,3
597,Fast career DV,2
598,Fast career DV,2
599,Fast career DV,3
6,Fast career DV,4
60,Fast career DV,4
600,Fast career DV,4
601,Fast career DV,4
602,Fast career DV,4
603,Fast career DV,4
604,Fast career DV,4
605,Fast career DV,2
606,Fast career DV,5
607,Fast career DV,4
608,Fast career DV,4
609,Fast career DV,4
61,Fast career DV,3
610,Fast career DV,5
611,Fast career DV,3
612,Fast career DV,4
613,Fast career DV,5
614,Fast career DV,3
615,Fast career DV,4
616,Fast career DV,4
617,Fast career DV,5
618,Fast career DV,4
619,Fast career DV,4
62,Fast career DV,4
620,Fast career DV,3
621,Fast career DV,3
622,Fast career DV,2
623,Fast career DV,5
624,Fast career DV,3
625,Fast career DV,4
626,Fast career DV,4
627,Fast career DV,3
628,Fast career DV,5
629,Fast career DV,4
63,Fast career DV,4
630,Fast career DV,4
631,Fast career DV,3
632,Fast career DV,2
633,Fast career DV,4
634,Fast career DV,4
635,Fast career DV,3
636,Fast career DV,2
637,Fast career DV,5
638,Fast career DV,3
639,Fast career DV,4
64,Fast career DV,3
640,Fast career DV,4
641,Fast career DV,5
642,Fast career DV,2
643,Fast career DV,2
644,Fast career DV,2
645,Fast career DV,4
646,Fast career DV,4
647,Fast career DV,3
648,Fast career DV,4
649,Fast career DV,4
65,Fast career DV,4
650,Fast career DV,4
651,Fast career DV,4
652,Fast career DV,4
653,Fast career DV,5
654,Fast career DV,4
655,Fast career DV,4
656,Fast career DV,4
657,Fast career DV,4
658,Fast career DV,4
659,Fast career DV,2
66,Fast career DV,2
660,Fast career DV,4
661,Fast career DV,4
662,Fast career DV,4
663,Fast career DV,3
664,Fast career DV,4
665,Fast career DV,4
666,Fast career DV,2
667,Fast career DV,4
668,Fast career DV,4
669,Fast career DV,3
67,Fast career DV,3
670,Fast career DV,3
671,Fast career DV,5
672,Fast career DV,3
673,Fast career DV,3
674,Fast career DV,3
675,Fast career DV,4
676,Fast career DV,4
677,Fast career DV,3
678,Fast career DV,4
679,Fast career DV,2
68,Fast career DV,4
680,Fast career DV,3
681,Fast career DV,4
682,Fast career DV,2
683,Fast career DV,3
684,Fast career DV,5
685,Fast career DV,4
686,Fast career DV,2
687,Fast career DV,3
688,Fast career DV,3
689,Fast career DV,3
69,Fast career DV,3
690,Fast career DV,4
691,Fast career DV,4
692,Fast career DV,5
693,Fast career DV,4
694,Fast career DV,3
695,Fast career DV,3
696,Fast career DV,3
697,Fast career DV,4
698,Fast career DV,3
699,Fast career DV,3
7,Fast career DV,4
70,Fast career DV,5
700,Fast career DV,3
701,Fast career DV,2
702,Fast career DV,3
703,Fast career DV,3
704,Fast career DV,4
705,Fast career DV,3
706,Fast career DV,3
707,Fast career DV,3
708,Fast career DV,3
709,Fast career DV,4
71,Fast career DV,3
710,Fast career DV,3
711,Fast career DV,3
712,Fast career DV,4
713,Fast career DV,4
714,Fast career DV,4
715,Fast career DV,3
716,Fast career DV,3
717,Fast career DV,3
718,Fast career DV,3
719,Fast career DV,4
72,Fast career DV,3
720,Fast career DV,3
721,Fast career DV,4
722,Fast career DV,5
723,Fast career DV,4
724,Fast career DV,5
725,Fast career DV,5
726,Fast career DV,4
727,Fast career DV,4
728,Fast career DV,4
729,Fast career DV,4
73,Fast career DV,3
730,Fast career DV,2
731,Fast career DV,4
732,Fast career DV,2
733,Fast career DV,5
734,Fast career DV,5
735,Fast career DV,4
736,Fast career DV,3
737,Fast career DV,4
738,Fast career DV,4
739,Fast career DV,4
74,Fast career DV,5
740,Fast career DV,4
741,Fast career DV,6
742,Fast career DV,4
743,Fast career DV,4
744,Fast career DV,4
745,Fast career DV,3
746,Fast career DV,4
747,Fast career DV,3
748,Fast career DV,2
749,Fast career DV,4
75,Fast career DV,3
750,Fast career DV,2
751,Fast career DV,3
752,Fast career DV,4
753,Fast career DV,5
754,Fast career DV,2
755,Fast career DV,4
756,Fast career DV,4
757,Fast career DV,5
758,Fast career DV,2
759,Fast career DV,3
76,Fast career DV,3
760,Fast career DV,4
761,Fast career DV,3
762,Fast career DV,2
763,Fast career DV,3
764,Fast career DV,3
765,Fast career DV,3
766,Fast career DV,4
767,Fast career DV,3
768,Fast career DV,2
769,Fast career DV,5
77,Fast career DV,5
770,Fast career DV,4
771,Fast career DV,4
772,Fast career DV,4
773,Fast career DV,3
774,Fast career DV,4
775,Fast career DV,4
776,Fast career DV,3
777,Fast career DV,4
778,Fast career DV,2
779,Fast career DV,5
78,Fast career DV,4
780,Fast career DV,3
781,Fast career DV,4
782,Fast career DV,4
783,Fast career DV,3
784,Fast career DV,5
785,Fast career DV,3
786,Fast career DV,4
787,Fast career DV,3
788,Fast career DV,4
789,Fast career DV,4
79,Fast career DV,4
790,Fast career DV,4
791,Fast career DV,4
792,Fast career DV,3
793,Fast career DV,3
794,Fast career DV,3
795,Fast career DV,4
796,Fast career DV,4
797,Fast career DV,2
798,Fast career DV,3
799,Fast career DV,3
8,Fast career DV,2
80,Fast career DV,3
800,Fast career DV,2
801,Fast career DV,4
802,Fast career DV,3
803,Fast career DV,3
804,Fast career DV,3
805,Fast career DV,4
806,Fast career DV,4
807,Fast career DV,3
808,Fast career DV,4
809,Fast career DV,2
81,Fast career DV,3
810,Fast career DV,4
811,Fast career DV,3
812,Fast career DV,4
813,Fast career DV,3
814,Fast career DV,4
815,Fast career DV,3
816,Fast career DV,4
817,Fast career DV,4
818,Fast career DV,3
819,Fast career DV,4
82,Fast career DV,3
820,Fast career DV,2
821,Fast career DV,3
822,Fast career DV,3
823,Fast career DV,5
824,Fast career DV,3
825,Fast career DV,3
826,Fast career DV,5
827,Fast career DV,4
828,Fast career DV,2
829,Fast career DV,3
83,Fast career DV,4
830,Fast career DV,3
831,Fast career DV,5
832,Fast career DV,3
833,Fast career DV,4
834,Fast career DV,4
835,Fast career DV,3
836,Fast career DV,3
837,Fast career DV,3
838,Fast career DV,2
839,Fast career DV,3
84,Fast career DV,2
840,Fast career DV,3
841,Fast career DV,6
842,Fast career DV,4
843,Fast career DV,4
844,Fast career DV,3
845,Fast career DV,4
846,Fast career DV,4
85,Fast career DV,4
86,Fast career DV,5
87,Fast career DV,5
88,Fast career DV,3
89,Fast career DV,4
9,Fast career DV,2
90,Fast career DV,4
91,Fast career DV,3
92,Fast career DV,4
93,Fast career DV,3
94,Fast career DV,3
95,Fast career DV,5
96,Fast career DV,3
97,Fast career DV,3
98,Fast career DV,2
99,Fast career DV,3
1,High status,2
10,High status,2
100,High status,2
101,High status,1
102,High status,4
103,High status,5
104,High status,4
105,High status,4
106,High status,5
107,High status,3
108,High status,3
109,High status,2
11,High status,3
110,High status,4
111,High status,2
112,High status,5
113,High status,5
114,High status,2
115,High status,3
116,High status,2
117,High status,3
118,High status,1
119,High status,3
12,High status,3
120,High status,3
121,High status,2
122,High status,2
123,High status,2
124,High status,3
125,High status,3
126,High status,3
127,High status,3
128,High status,2
129,High status,2
13,High status,2
130,High status,3
131,High status,2
132,High status,3
133,High status,4
134,High status,2
135,High status,4
136,High status,4
137,High status,3
138,High status,2
139,High status,4
14,High status,3
140,High status,3
141,High status,2
142,High status,3
143,High status,4
144,High status,3
145,High status,3
146,High status,2
147,High status,1
148,High status,2
149,High status,2
15,High status,3
150,High status,3
151,High status,2
152,High status,3
153,High status,2
154,High status,2
155,High status,3
156,High status,4
157,High status,3
158,High status,4
159,High status,3
16,High status,1
160,High status,3
161,High status,3
162,High status,4
163,High status,4
164,High status,3
165,High status,3
166,High status,5
167,High status,2
168,High status,4
169,High status,3
17,High status,3
170,High status,4
171,High status,6
172,High status,2
173,High status,3
174,High status,3
175,High status,3
176,High status,1
177,High status,4
178,High status,2
179,High status,1
18,High status,3
180,High status,3
181,High status,2
182,High status,6
183,High status,4
184,High status,1
185,High status,2
186,High status,2
187,High status,2
188,High status,1
189,High status,3
19,High status,1
190,High status,1
191,High status,3
192,High status,3
193,High status,4
194,High status,5
195,High status,1
196,High status,3
197,High status,2
198,High status,2
199,High status,4
2,High status,3
20,High status,4
200,High status,4
201,High status,2
202,High status,2
203,High status,1
204,High status,2
205,High status,2
206,High status,2
207,High status,3
208,High status,2
209,High status,2
21,High status,1
210,High status,3
211,High status,1
212,High status,1
213,High status,3
214,High status,3
215,High status,2
216,High status,4
217,High status,3
218,High status,3
219,High status,3
22,High status,2
220,High status,3
221,High status,2
222,High status,4
223,High status,2
224,High status,1
225,High status,2
226,High status,3
227,High status,3
228,High status,3
229,High status,3
23,High status,2
230,High status,1
231,High status,1
232,High status,5
233,High status,1
234,High status,2
235,High status,4
236,High status,3
237,High status,1
238,High status,2
239,High status,5
24,High status,3
240,High status,2
241,High status,5
242,High status,2
243,High status,4
244,High status,3
245,High status,3
246,High status,3
247,High status,2
248,High status,2
249,High status,1
25,High status,4
250,High status,2
251,High status,6
252,High status,4
253,High status,1
254,High status,4
255,High status,5
256,High status,2
257,High status,3
258,High status,2
259,High status,4
26,High status,4
260,High status,3
261,High status,1
262,High status,2
263,High status,2
264,High status,3
265,High status,4
266,High status,3
267,High status,1
268,High status,3
269,High status,2
27,High status,2
270,High status,3
271,High status,3
272,High status,1
273,High status,4
274,High status,1
275,High status,2
276,High status,2
277,High status,3
278,High status,3
279,High status,4
28,High status,5
280,High status,1
281,High status,2
282,High status,2
283,High status,1
284,High status,1
285,High status,2
286,High status,2
287,High status,2
288,High status,2
289,High status,2
29,High status,3
290,High status,3
291,High status,2
292,High status,3
293,High status,4
294,High status,4
295,High status,2
296,High status,1
297,High status,5
298,High status,2
299,High status,4
3,High status,2
30,High status,3
300,High status,5
301,High status,6
302,High status,4
303,High status,4
304,High status,2
305,High status,5
306,High status,3
307,High status,2
308,High status,2
309,High status,1
31,High status,2
310,High status,2
311,High status,3
312,High status,4
313,High status,3
314,High status,2
315,High status,4
316,High status,4
317,High status,3
318,High status,1
319,High status,3
32,High status,1
320,High status,3
321,High status,2
322,High status,1
323,High status,2
324,High status,2
325,High status,2
326,High status,2
327,High status,3
328,High status,2
329,High status,1
33,High status,4
330,High status,4
331,High status,2
332,High status,3
333,High status,2
334,High status,2
335,High status,2
336,High status,2
337,High status,1
338,High status,1
339,High status,3
34,High status,3
340,High status,4
341,High status,3
342,High status,1
343,High status,2
344,High status,3
345,High status,3
346,High status,3
347,High status,3
348,High status,1
349,High status,2
35,High status,2
350,High status,4
351,High status,1
352,High status,3
353,High status,3
354,High status,2
355,High status,2
356,High status,2
357,High status,1
358,High status,3
359,High status,4
36,High status,4
360,High status,6
361,High status,3
362,High status,3
363,High status,3
364,High status,3
365,High status,2
366,High status,3
367,High status,1
368,High status,3
369,High status,2
37,High status,3
370,High status,2
371,High status,2
372,High status,2
373,High status,5
374,High status,5
375,High status,1
376,High status,3
377,High status,2
378,High status,2
379,High status,1
38,High status,2
380,High status,3
381,High status,5
382,High status,3
383,High status,3
384,High status,1
385,High status,3
386,High status,3
387,High status,2
388,High status,1
389,High status,3
39,High status,5
390,High status,2
391,High status,4
392,High status,3
393,High status,5
394,High status,2
395,High status,3
396,High status,1
397,High status,3
398,High status,4
399,High status,1
4,High status,3
40,High status,4
400,High status,3
401,High status,5
402,High status,3
403,High status,2
404,High status,4
405,High status,3
406,High status,3
407,High status,3
408,High status,3
409,High status,2
41,High status,3
410,High status,2
411,High status,3
412,High status,2
413,High status,5
414,High status,3
415,High status,2
416,High status,3
417,High status,3
418,High status,1
419,High status,2
42,High status,4
420,High status,2
421,High status,3
422,High status,5
423,High status,2
424,High status,4
425,High status,2
426,High status,3
427,High status,5
428,High status,1
429,High status,2
43,High status,3
430,High status,3
431,High status,3
432,High status,3
433,High status,4
434,High status,3
435,High status,1
436,High status,2
437,High status,4
438,High status,2
439,High status,2
44,High status,2
440,High status,2
441,High status,2
442,High status,1
443,High status,5
444,High status,2
445,High status,2
446,High status,3
447,High status,4
448,High status,3
449,High status,5
45,High status,1
450,High status,2
451,High status,4
452,High status,4
453,High status,3
454,High status,3
455,High status,3
456,High status,4
457,High status,3
458,High status,2
459,High status,2
46,High status,3
460,High status,3
461,High status,3
462,High status,4
463,High status,2
464,High status,3
465,High status,2
466,High status,4
467,High status,3
468,High status,2
469,High status,2
47,High status,3
470,High status,5
471,High status,3
472,High status,3
473,High status,4
474,High status,3
475,High status,2
476,High status,2
477,High status,2
478,High status,3
479,High status,2
48,High status,2
480,High status,3
481,High status,5
482,High status,2
483,High status,3
484,High status,2
485,High status,2
486,High status,4
487,High status,2
488,High status,2
489,High status,3
49,High status,1
490,High status,2
491,High status,3
492,High status,2
493,High status,3
494,High status,3
495,High status,4
496,High status,2
497,High status,3
498,High status,4
499,High status,1
5,High status,2
50,High status,2
500,High status,3
501,High status,3
502,High status,3
503,High status,3
504,High status,3
505,High status,3
506,High status,4
507,High status,3
508,High status,4
509,High status,4
51,High status,3
510,High status,3
511,High status,4
512,High status,3
513,High status,2
514,High status,3
515,High status,5
516,High status,5
517,High status,2
518,High status,3
519,High status,2
52,High status,2
520,High status,2
521,High status,4
522,High status,3
523,High status,2
524,High status,5
525,High status,2
526,High status,3
527,High status,3
528,High status,3
529,High status,2
53,High status,2
530,High status,3
531,High status,2
532,High status,1
533,High status,2
534,High status,3
535,High status,3
536,High status,3
537,High status,1
538,High status,2
539,High status,4
54,High status,2
540,High status,4
541,High status,1
542,High status,3
543,High status,5
544,High status,5
545,High status,5
546,High status,1
547,High status,1
548,High status,3
549,High status,2
55,High status,2
550,High status,2
551,High status,1
552,High status,2
553,High status,3
554,High status,2
555,High status,5
556,High status,3
557,High status,3
558,High status,4
559,High status,3
56,High status,2
560,High status,3
561,High status,3
562,High status,2
563,High status,2
564,High status,3
565,High status,4
566,High status,1
567,High status,2
568,High status,2
569,High status,3
57,High status,2
570,High status,3
571,High status,2
572,High status,3
573,High status,2
574,High status,4
575,High status,2
576,High status,2
577,High status,4
578,High status,2
579,High status,4
58,High status,3
580,High status,3
581,High status,5
582,High status,2
583,High status,2
584,High status,3
585,High status,3
586,High status,2
587,High status,2
588,High status,2
589,High status,1
59,High status,2
590,High status,2
591,High status,2
592,High status,3
593,High status,3
594,High status,4
595,High status,6
596,High status,2
597,High status,3
598,High status,2
599,High status,2
6,High status,3
60,High status,2
600,High status,3
601,High status,2
602,High status,1
603,High status,3
604,High status,2
605,High status,2
606,High status,2
607,High status,3
608,High status,3
609,High status,1
61,High status,2
610,High status,4
611,High status,2
612,High status,3
613,High status,4
614,High status,4
615,High status,2
616,High status,2
617,High status,3
618,High status,3
619,High status,3
62,High status,2
620,High status,3
621,High status,2
622,High status,2
623,High status,5
624,High status,2
625,High status,3
626,High status,4
627,High status,1
628,High status,5
629,High status,4
63,High status,4
630,High status,3
631,High status,2
632,High status,1
633,High status,4
634,High status,4
635,High status,5
636,High status,4
637,High status,1
638,High status,2
639,High status,4
64,High status,3
640,High status,2
641,High status,2
642,High status,1
643,High status,2
644,High status,1
645,High status,4
646,High status,5
647,High status,1
648,High status,4
649,High status,4
65,High status,4
650,High status,3
651,High status,4
652,High status,2
653,High status,3
654,High status,3
655,High status,3
656,High status,4
657,High status,3
658,High status,3
659,High status,3
66,High status,3
660,High status,3
661,High status,3
662,High status,3
663,High status,2
664,High status,3
665,High status,3
666,High status,2
667,High status,2
668,High status,3
669,High status,3
67,High status,2
670,High status,1
671,High status,4
672,High status,1
673,High status,3
674,High status,3
675,High status,4
676,High status,3
677,High status,1
678,High status,2
679,High status,3
68,High status,1
680,High status,3
681,High status,4
682,High status,2
683,High status,3
684,High status,5
685,High status,3
686,High status,2
687,High status,3
688,High status,3
689,High status,1
69,High status,2
690,High status,3
691,High status,3
692,High status,3
693,High status,2
694,High status,2
695,High status,3
696,High status,1
697,High status,3
698,High status,4
