responseID,responseID_primary key_cleaned,variable,value
1095,744,Interesting,5
1126,765,Interesting,5
1127,766,Interesting,5
1150,782,Interesting,5
1172,795,Interesting,5
1188,805,Interesting,5
1190,807,Interesting,5
1219,822,Interesting,5
1,1,Interesting,5
4,4,Interesting,5
40,33,Interesting,5
50,41,Interesting,5
73,61,Interesting,5
96,80,Interesting,5
98,81,Interesting,5
101,83,Interesting,5
118,95,Interesting,5
124,101,Interesting,5
177,140,Interesting,5
215,160,Interesting,5
216,161,Interesting,5
242,177,Interesting,5
259,189,Interesting,5
308,224,Interesting,5
331,237,Interesting,5
337,243,Interesting,5
409,299,Interesting,5
410,300,Interesting,5
411,301,Interesting,5
417,306,Interesting,5
427,312,Interesting,5
430,315,Interesting,5
448,327,Interesting,5
471,345,Interesting,5
519,381,Interesting,5
531,389,Interesting,5
541,398,Interesting,5
549,403,Interesting,5
555,409,Interesting,5
562,413,Interesting,5
564,414,Interesting,5
579,424,Interesting,5
610,443,Interesting,5
615,446,Interesting,5
616,447,Interesting,5
637,462,Interesting,5
642,467,Interesting,5
660,477,Interesting,5
677,490,Interesting,5
702,506,Interesting,5
717,515,Interesting,5
728,524,Interesting,5
749,541,Interesting,5
753,544,Interesting,5
765,549,Interesting,5
766,550,Interesting,5
802,569,Interesting,5
817,577,Interesting,5
823,580,Interesting,5
882,617,Interesting,5
896,627,Interesting,5
898,628,Interesting,5
912,637,Interesting,5
924,645,Interesting,5
933,649,Interesting,5
945,656,Interesting,5
971,673,Interesting,5
1014,699,Interesting,5
1015,700,Interesting,5
1033,712,Interesting,5
1055,722,Interesting,5
1059,724,Interesting,5
1071,731,Interesting,5
1072,732,Interesting,5
1079,735,Interesting,5
1082,737,Interesting,5
1113,755,Interesting,5
1144,777,Interesting,5
1154,784,Interesting,5
1173,796,Interesting,5
1206,814,Interesting,5
1236,830,Interesting,5
1238,831,Interesting,5
3,3,Interesting,5
27,22,Interesting,5
39,32,Interesting,5
63,53,Interesting,5
71,59,Interesting,5
76,64,Interesting,5
82,68,Interesting,5
166,132,Interesting,5
188,145,Interesting,5
220,164,Interesting,5
222,166,Interesting,5
237,173,Interesting,5
263,193,Interesting,5
334,240,Interesting,5
345,250,Interesting,5
416,305,Interesting,5
530,388,Interesting,5
594,432,Interesting,5
635,460,Interesting,5
641,466,Interesting,5
730,526,Interesting,5
748,540,Interesting,5
750,542,Interesting,5
847,598,Interesting,5
909,636,Interesting,5
917,640,Interesting,5
952,661,Interesting,5
982,679,Interesting,5
1003,692,Interesting,5
1081,736,Interesting,5
1121,762,Interesting,5
20,18,Interesting,5
32,26,Interesting,5
36,29,Interesting,5
41,34,Interesting,5
43,36,Interesting,5
46,38,Interesting,5
59,49,Interesting,5
65,55,Interesting,5
90,74,Interesting,5
93,77,Interesting,5
110,89,Interesting,5
144,116,Interesting,5
151,123,Interesting,5
152,124,Interesting,5
172,137,Interesting,5
212,158,Interesting,5
248,180,Interesting,5
255,186,Interesting,5
272,198,Interesting,5
286,211,Interesting,5
299,219,Interesting,5
333,239,Interesting,5
335,241,Interesting,5
352,254,Interesting,5
369,269,Interesting,5
380,277,Interesting,5
381,278,Interesting,5
406,296,Interesting,5
438,321,Interesting,5
467,343,Interesting,5
474,347,Interesting,5
521,383,Interesting,5
551,405,Interesting,5
585,427,Interesting,5
605,439,Interesting,5
614,445,Interesting,5
639,464,Interesting,5
655,475,Interesting,5
692,498,Interesting,5
706,507,Interesting,5
707,508,Interesting,5
712,511,Interesting,5
723,520,Interesting,5
762,547,Interesting,5
781,558,Interesting,5
812,574,Interesting,5
815,576,Interesting,5
834,589,Interesting,5
841,594,Interesting,5
877,612,Interesting,5
884,619,Interesting,5
944,655,Interesting,5
953,662,Interesting,5
967,671,Interesting,5
977,676,Interesting,5
987,682,Interesting,5
992,686,Interesting,5
997,688,Interesting,5
1007,694,Interesting,5
1027,706,Interesting,5
1029,708,Interesting,5
1075,733,Interesting,5
1107,751,Interesting,5
1111,753,Interesting,5
1119,760,Interesting,5
1135,772,Interesting,5
1138,774,Interesting,5
1140,775,Interesting,5
1169,792,Interesting,5
1189,806,Interesting,5
1204,812,Interesting,5
1209,815,Interesting,5
1243,834,Interesting,5
1253,839,Interesting,5
1261,846,Interesting,5
54,45,Interesting,5
157,127,Interesting,5
264,194,Interesting,5
283,209,Interesting,5
306,223,Interesting,5
364,264,Interesting,5
554,408,Interesting,5
858,602,Interesting,5
923,644,Interesting,5
972,674,Interesting,5
1031,710,Interesting,5
1147,780,Interesting,5
1232,827,Interesting,5
1247,836,Interesting,5
1258,843,Interesting,5
13,11,Interesting,5
53,44,Interesting,5
111,90,Interesting,5
150,122,Interesting,5
176,139,Interesting,5
209,156,Interesting,5
234,172,Interesting,5
370,270,Interesting,5
397,290,Interesting,5
421,308,Interesting,5
431,316,Interesting,5
466,342,Interesting,5
478,350,Interesting,5
483,354,Interesting,5
491,360,Interesting,5
506,371,Interesting,5
524,384,Interesting,5
542,399,Interesting,5
572,420,Interesting,5
586,428,Interesting,5
662,479,Interesting,5
667,482,Interesting,5
720,518,Interesting,5
733,528,Interesting,5
737,532,Interesting,5
827,583,Interesting,5
861,604,Interesting,5
868,608,Interesting,5
892,623,Interesting,5
930,647,Interesting,5
943,654,Interesting,5
974,675,Interesting,5
1042,718,Interesting,5
1091,742,Interesting,5
1112,754,Interesting,5
1162,787,Interesting,5
1186,803,Interesting,5
1205,813,Interesting,5
1212,818,Interesting,5
1228,825,Interesting,5
1233,828,Interesting,5
2,2,Interesting,5
35,28,Interesting,5
61,51,Interesting,5
67,56,Interesting,5
92,76,Interesting,5
114,92,Interesting,5
163,131,Interesting,5
227,169,Interesting,5
252,184,Interesting,5
297,217,Interesting,5
300,220,Interesting,5
341,246,Interesting,5
356,258,Interesting,5
378,275,Interesting,5
386,280,Interesting,5
408,298,Interesting,5
420,307,Interesting,5
453,331,Interesting,5
458,335,Interesting,5
473,346,Interesting,5
497,363,Interesting,5
503,368,Interesting,5
589,430,Interesting,5
599,437,Interesting,5
607,440,Interesting,5
620,450,Interesting,5
628,455,Interesting,5
674,488,Interesting,5
678,491,Interesting,5
679,492,Interesting,5
725,522,Interesting,5
731,527,Interesting,5
752,543,Interesting,5
820,578,Interesting,5
826,582,Interesting,5
958,664,Interesting,5
965,669,Interesting,5
1019,703,Interesting,5
1048,720,Interesting,5
1117,759,Interesting,5
1129,768,Interesting,5
1240,832,Interesting,5
28,23,Interesting,5
69,58,Interesting,5
78,66,Interesting,5
88,73,Interesting,5
127,104,Interesting,5
132,107,Interesting,5
143,115,Interesting,5
146,118,Interesting,5
154,125,Interesting,5
202,153,Interesting,5
207,155,Interesting,5
260,190,Interesting,5
282,208,Interesting,5
292,214,Interesting,5
319,230,Interesting,5
332,238,Interesting,5
340,245,Interesting,5
342,247,Interesting,5
344,249,Interesting,5
368,268,Interesting,5
372,272,Interesting,5
375,274,Interesting,5
402,294,Interesting,5
404,295,Interesting,5
432,317,Interesting,5
439,322,Interesting,5
455,332,Interesting,5
465,341,Interesting,5
468,344,Interesting,5
480,352,Interesting,5
494,362,Interesting,5
525,385,Interesting,5
552,406,Interesting,5
578,423,Interesting,5
602,438,Interesting,5
625,453,Interesting,5
645,469,Interesting,5
659,476,Interesting,5
665,480,Interesting,5
680,493,Interesting,5
695,500,Interesting,5
697,502,Interesting,5
729,525,Interesting,5
738,533,Interesting,5
763,548,Interesting,5
793,564,Interesting,5
837,590,Interesting,5
838,591,Interesting,5
845,596,Interesting,5
854,600,Interesting,5
879,614,Interesting,5
880,615,Interesting,5
932,648,Interesting,5
963,667,Interesting,5
964,668,Interesting,5
980,677,Interesting,5
1010,696,Interesting,5
1016,701,Interesting,5
1020,704,Interesting,5
1025,705,Interesting,5
1034,713,Interesting,5
1043,719,Interesting,5
1086,739,Interesting,5
1142,776,Interesting,5
1145,778,Interesting,5
1161,786,Interesting,5
1170,793,Interesting,5
1171,794,Interesting,5
1256,841,Interesting,5
5,5,Interesting,5
95,79,Interesting,5
149,121,Interesting,5
191,147,Interesting,5
277,203,Interesting,5
311,226,Interesting,5
316,229,Interesting,5
426,311,Interesting,5
508,372,Interesting,5
513,375,Interesting,5
617,448,Interesting,5
862,605,Interesting,5
969,672,Interesting,5
1002,691,Interesting,5
1128,767,Interesting,5
1225,824,Interesting,5
1235,829,Interesting,5
26,21,Interesting,4
34,27,Interesting,4
48,39,Interesting,4
55,46,Interesting,4
62,52,Interesting,4
120,97,Interesting,4
131,106,Interesting,4
135,110,Interesting,4
184,143,Interesting,4
200,151,Interesting,4
231,171,Interesting,4
262,192,Interesting,4
265,195,Interesting,4
273,199,Interesting,4
278,204,Interesting,4
315,228,Interesting,4
347,251,Interesting,4
354,256,Interesting,4
355,257,Interesting,4
395,288,Interesting,4
412,302,Interesting,4
447,326,Interesting,4
459,336,Interesting,4
460,337,Interesting,4
558,410,Interesting,4
609,442,Interesting,4
629,456,Interesting,4
630,457,Interesting,4
682,494,Interesting,4
687,495,Interesting,4
691,497,Interesting,4
736,531,Interesting,4
747,539,Interesting,4
761,546,Interesting,4
773,554,Interesting,4
777,555,Interesting,4
787,562,Interesting,4
824,581,Interesting,4
830,586,Interesting,4
833,588,Interesting,4
851,599,Interesting,4
870,609,Interesting,4
871,610,Interesting,4
893,624,Interesting,4
906,633,Interesting,4
919,641,Interesting,4
920,642,Interesting,4
921,643,Interesting,4
1060,725,Interesting,4
1070,730,Interesting,4
1085,738,Interesting,4
1090,741,Interesting,4
1092,743,Interesting,4
1096,745,Interesting,4
1103,750,Interesting,4
1123,763,Interesting,4
1125,764,Interesting,4
1146,779,Interesting,4
1159,785,Interesting,4
1214,819,Interesting,4
1230,826,Interesting,4
1248,837,Interesting,4
1249,838,Interesting,4
1254,840,Interesting,4
6,6,Interesting,4
17,15,Interesting,4
31,25,Interesting,4
51,42,Interesting,4
85,71,Interesting,4
102,84,Interesting,4
139,113,Interesting,4
148,120,Interesting,4
173,138,Interesting,4
190,146,Interesting,4
192,148,Interesting,4
210,157,Interesting,4
213,159,Interesting,4
238,174,Interesting,4
250,182,Interesting,4
251,183,Interesting,4
285,210,Interesting,4
303,221,Interesting,4
338,244,Interesting,4
343,248,Interesting,4
362,262,Interesting,4
363,263,Interesting,4
365,265,Interesting,4
367,267,Interesting,4
392,286,Interesting,4
394,287,Interesting,4
396,289,Interesting,4
424,310,Interesting,4
445,324,Interesting,4
450,328,Interesting,4
456,333,Interesting,4
505,370,Interesting,4
534,392,Interesting,4
537,395,Interesting,4
545,400,Interesting,4
548,402,Interesting,4
565,415,Interesting,4
567,416,Interesting,4
581,425,Interesting,4
588,429,Interesting,4
590,431,Interesting,4
643,468,Interesting,4
669,484,Interesting,4
716,514,Interesting,4
722,519,Interesting,4
734,529,Interesting,4
735,530,Interesting,4
746,538,Interesting,4
768,551,Interesting,4
796,565,Interesting,4
811,573,Interesting,4
863,606,Interesting,4
865,607,Interesting,4
887,621,Interesting,4
895,626,Interesting,4
937,651,Interesting,4
946,657,Interesting,4
948,659,Interesting,4
951,660,Interesting,4
984,681,Interesting,4
995,687,Interesting,4
1008,695,Interesting,4
1030,709,Interesting,4
1041,717,Interesting,4
1101,748,Interesting,4
1102,749,Interesting,4
1109,752,Interesting,4
1120,761,Interesting,4
1131,769,Interesting,4
1149,781,Interesting,4
1165,790,Interesting,4
1168,791,Interesting,4
1175,797,Interesting,4
1210,816,Interesting,4
1216,820,Interesting,4
1245,835,Interesting,4
1257,842,Interesting,4
15,13,Interesting,4
16,14,Interesting,4
24,19,Interesting,4
60,50,Interesting,4
64,54,Interesting,4
74,62,Interesting,4
80,67,Interesting,4
87,72,Interesting,4
104,85,Interesting,4
105,86,Interesting,4
106,87,Interesting,4
115,93,Interesting,4
119,96,Interesting,4
126,103,Interesting,4
140,114,Interesting,4
145,117,Interesting,4
159,128,Interesting,4
161,129,Interesting,4
168,134,Interesting,4
180,141,Interesting,4
182,142,Interesting,4
194,150,Interesting,4
219,163,Interesting,4
239,175,Interesting,4
249,181,Interesting,4
270,197,Interesting,4
274,200,Interesting,4
275,201,Interesting,4
325,233,Interesting,4
330,236,Interesting,4
336,242,Interesting,4
374,273,Interesting,4
401,293,Interesting,4
428,313,Interesting,4
433,318,Interesting,4
440,323,Interesting,4
499,365,Interesting,4
515,377,Interesting,4
517,379,Interesting,4
536,394,Interesting,4
538,396,Interesting,4
595,433,Interesting,4
618,449,Interesting,4
621,451,Interesting,4
626,454,Interesting,4
661,478,Interesting,4
666,481,Interesting,4
690,496,Interesting,4
724,521,Interesting,4
742,534,Interesting,4
755,545,Interesting,4
786,561,Interesting,4
798,567,Interesting,4
832,587,Interesting,4
839,592,Interesting,4
902,630,Interesting,4
903,631,Interesting,4
954,663,Interesting,4
988,683,Interesting,4
998,689,Interesting,4
1017,702,Interesting,4
1050,721,Interesting,4
1063,726,Interesting,4
1068,728,Interesting,4
1115,757,Interesting,4
1116,758,Interesting,4
1132,770,Interesting,4
1133,771,Interesting,4
1136,773,Interesting,4
1152,783,Interesting,4
1184,801,Interesting,4
11,9,Interesting,4
12,10,Interesting,4
14,12,Interesting,4
37,30,Interesting,4
38,31,Interesting,4
42,35,Interesting,4
49,40,Interesting,4
56,47,Interesting,4
58,48,Interesting,4
72,60,Interesting,4
77,65,Interesting,4
109,88,Interesting,4
113,91,Interesting,4
125,102,Interesting,4
134,109,Interesting,4
162,130,Interesting,4
169,135,Interesting,4
185,144,Interesting,4
193,149,Interesting,4
218,162,Interesting,4
225,168,Interesting,4
241,176,Interesting,4
269,196,Interesting,4
280,206,Interesting,4
298,218,Interesting,4
309,225,Interesting,4
328,235,Interesting,4
349,252,Interesting,4
350,253,Interesting,4
357,259,Interesting,4
389,283,Interesting,4
423,309,Interesting,4
429,314,Interesting,4
451,329,Interesting,4
452,330,Interesting,4
484,355,Interesting,4
486,356,Interesting,4
488,358,Interesting,4
489,359,Interesting,4
502,367,Interesting,4
516,378,Interesting,4
532,390,Interesting,4
535,393,Interesting,4
539,397,Interesting,4
553,407,Interesting,4
560,411,Interesting,4
569,418,Interesting,4
571,419,Interesting,4
598,436,Interesting,4
608,441,Interesting,4
640,465,Interesting,4
647,471,Interesting,4
651,473,Interesting,4
668,483,Interesting,4
673,487,Interesting,4
696,501,Interesting,4
698,503,Interesting,4
701,505,Interesting,4
709,509,Interesting,4
710,510,Interesting,4
714,513,Interesting,4
727,523,Interesting,4
745,537,Interesting,4
769,552,Interesting,4
771,553,Interesting,4
779,556,Interesting,4
780,557,Interesting,4
800,568,Interesting,4
807,570,Interesting,4
809,571,Interesting,4
810,572,Interesting,4
821,579,Interesting,4
828,584,Interesting,4
842,595,Interesting,4
885,620,Interesting,4
959,665,Interesting,4
962,666,Interesting,4
983,680,Interesting,4
1005,693,Interesting,4
1013,698,Interesting,4
1039,715,Interesting,4
1040,716,Interesting,4
1087,740,Interesting,4
1097,746,Interesting,4
1114,756,Interesting,4
1163,788,Interesting,4
1164,789,Interesting,4
1177,798,Interesting,4
1185,802,Interesting,4
1201,809,Interesting,4
1211,817,Interesting,4
1222,823,Interesting,4
1259,844,Interesting,4
1260,845,Interesting,4
8,7,Interesting,2
18,16,Interesting,3
75,63,Interesting,2
83,69,Interesting,3
84,70,Interesting,3
91,75,Interesting,3
99,82,Interesting,3
122,99,Interesting,1
133,108,Interesting,3
137,112,Interesting,3
228,170,Interesting,3
254,185,Interesting,3
289,213,Interesting,3
294,215,Interesting,3
296,216,Interesting,3
327,234,Interesting,3
366,266,Interesting,3
379,276,Interesting,3
385,279,Interesting,3
387,281,Interesting,3
388,282,Interesting,3
398,291,Interesting,6
400,292,Interesting,3
414,304,Interesting,3
437,320,Interesting,3
446,325,Interesting,2
457,334,Interesting,3
476,348,Interesting,3
477,349,Interesting,3
479,351,Interesting,1
487,357,Interesting,3
518,380,Interesting,3
533,391,Interesting,2
561,412,Interesting,3
568,417,Interesting,3
573,421,Interesting,3
576,422,Interesting,3
597,435,Interesting,3
611,444,Interesting,3
624,452,Interesting,3
634,459,Interesting,3
638,463,Interesting,2
700,504,Interesting,2
783,559,Interesting,3
785,560,Interesting,3
797,566,Interesting,1
814,575,Interesting,3
846,597,Interesting,3
856,601,Interesting,3
859,603,Interesting,3
883,618,Interesting,3
894,625,Interesting,3
905,632,Interesting,3
908,635,Interesting,1
915,638,Interesting,3
925,646,Interesting,2
947,658,Interesting,3
966,670,Interesting,3
981,678,Interesting,3
990,684,Interesting,3
1028,707,Interesting,3
1032,711,Interesting,3
1035,714,Interesting,3
1069,729,Interesting,3
1099,747,Interesting,3
1179,799,Interesting,3
1182,800,Interesting,3
1187,804,Interesting,2
1194,808,Interesting,6
1202,810,Interesting,2
1203,811,Interesting,3
1218,821,Interesting,3
1241,833,Interesting,3
9,8,Work situation,4
19,17,Work situation,5
25,20,Work situation,5
30,24,Work situation,3
44,37,Work situation,5
52,43,Work situation,5
68,57,Work situation,3
94,78,Work situation,5
116,94,Work situation,5
121,98,Work situation,5
123,100,Work situation,5
128,105,Work situation,5
136,111,Work situation,5
147,119,Work situation,5
155,126,Work situation,4
167,133,Work situation,5
170,136,Work situation,4
201,152,Work situation,4
206,154,Work situation,5
221,165,Work situation,4
223,167,Work situation,4
244,178,Work situation,5
247,179,Work situation,3
256,187,Work situation,5
258,188,Work situation,4
261,191,Work situation,4
276,202,Work situation,5
279,205,Work situation,5
281,207,Work situation,4
288,212,Work situation,3
305,222,Work situation,5
313,227,Work situation,4
321,231,Work situation,3
323,232,Work situation,5
353,255,Work situation,5
359,260,Work situation,4
360,261,Work situation,3
371,271,Work situation,3
390,284,Work situation,4
391,285,Work situation,4
407,297,Work situation,4
413,303,Work situation,5
435,319,Work situation,4
461,338,Work situation,5
462,339,Work situation,4
464,340,Work situation,4
482,353,Work situation,5
493,361,Work situation,3
498,364,Work situation,4
501,366,Work situation,5
504,369,Work situation,4
509,373,Work situation,2
511,374,Work situation,3
514,376,Work situation,3
520,382,Work situation,4
526,386,Work situation,2
527,387,Work situation,5
547,401,Work situation,5
550,404,Work situation,5
584,426,Work situation,5
596,434,Work situation,3
632,458,Work situation,3
636,461,Work situation,4
646,470,Work situation,2
648,472,Work situation,4
653,474,Work situation,5
670,485,Work situation,4
672,486,Work situation,5
676,489,Work situation,4
694,499,Work situation,5
713,512,Work situation,4
718,516,Work situation,5
719,517,Work situation,5
743,535,Work situation,5
744,536,Work situation,4
792,563,Work situation,3
829,585,Work situation,5
840,593,Work situation,4
875,611,Work situation,2
878,613,Work situation,2
881,616,Work situation,5
890,622,Work situation,3
901,629,Work situation,3
907,634,Work situation,5
916,639,Work situation,5
935,650,Work situation,5
938,652,Work situation,3
942,653,Work situation,5
991,685,Work situation,4
1001,690,Work situation,4
1012,697,Work situation,3
1057,723,Work situation,5
1067,727,Work situation,4
1078,734,Work situation,5
1095,744,Work situation,3
1126,765,Work situation,5
1127,766,Work situation,5
1150,782,Work situation,4
1172,795,Work situation,3
1188,805,Work situation,5
1190,807,Work situation,3
1219,822,Work situation,3
1,1,Work situation,5
4,4,Work situation,5
40,33,Work situation,5
50,41,Work situation,5
73,61,Work situation,5
96,80,Work situation,5
98,81,Work situation,4
101,83,Work situation,5
118,95,Work situation,3
124,101,Work situation,5
177,140,Work situation,5
215,160,Work situation,5
216,161,Work situation,3
242,177,Work situation,5
259,189,Work situation,4
308,224,Work situation,5
331,237,Work situation,5
337,243,Work situation,4
409,299,Work situation,4
410,300,Work situation,5
411,301,Work situation,5
417,306,Work situation,4
427,312,Work situation,3
430,315,Work situation,4
448,327,Work situation,5
471,345,Work situation,5
519,381,Work situation,5
531,389,Work situation,4
541,398,Work situation,4
549,403,Work situation,5
555,409,Work situation,5
562,413,Work situation,4
564,414,Work situation,5
579,424,Work situation,4
610,443,Work situation,5
615,446,Work situation,4
616,447,Work situation,4
637,462,Work situation,4
642,467,Work situation,4
660,477,Work situation,4
677,490,Work situation,3
702,506,Work situation,3
717,515,Work situation,5
728,524,Work situation,5
749,541,Work situation,3
753,544,Work situation,5
765,549,Work situation,5
766,550,Work situation,2
802,569,Work situation,4
817,577,Work situation,5
823,580,Work situation,5
882,617,Work situation,5
896,627,Work situation,4
898,628,Work situation,4
912,637,Work situation,5
924,645,Work situation,5
933,649,Work situation,5
945,656,Work situation,5
971,673,Work situation,5
1014,699,Work situation,4
1015,700,Work situation,4
1033,712,Work situation,5
1055,722,Work situation,5
1059,724,Work situation,5
1071,731,Work situation,3
1072,732,Work situation,5
1079,735,Work situation,4
1082,737,Work situation,4
1113,755,Work situation,4
1144,777,Work situation,5
1154,784,Work situation,5
1173,796,Work situation,3
1206,814,Work situation,5
1236,830,Work situation,3
1238,831,Work situation,3
3,3,Work situation,4
27,22,Work situation,3
39,32,Work situation,3
63,53,Work situation,4
71,59,Work situation,4
76,64,Work situation,4
82,68,Work situation,4
166,132,Work situation,4
188,145,Work situation,5
220,164,Work situation,1
222,166,Work situation,3
237,173,Work situation,5
263,193,Work situation,5
334,240,Work situation,2
345,250,Work situation,3
416,305,Work situation,3
530,388,Work situation,4
594,432,Work situation,5
635,460,Work situation,4
641,466,Work situation,4
730,526,Work situation,2
748,540,Work situation,4
750,542,Work situation,5
847,598,Work situation,3
909,636,Work situation,4
917,640,Work situation,5
952,661,Work situation,3
982,679,Work situation,5
1003,692,Work situation,5
1081,736,Work situation,4
1121,762,Work situation,5
20,18,Work situation,4
32,26,Work situation,4
36,29,Work situation,5
41,34,Work situation,4
43,36,Work situation,3
46,38,Work situation,3
59,49,Work situation,2
65,55,Work situation,3
90,74,Work situation,4
93,77,Work situation,5
110,89,Work situation,4
144,116,Work situation,4
151,123,Work situation,4
152,124,Work situation,4
172,137,Work situation,4
212,158,Work situation,3
248,180,Work situation,4
255,186,Work situation,5
272,198,Work situation,3
286,211,Work situation,5
299,219,Work situation,5
333,239,Work situation,1
335,241,Work situation,3
352,254,Work situation,4
369,269,Work situation,5
380,277,Work situation,4
381,278,Work situation,3
406,296,Work situation,5
438,321,Work situation,4
467,343,Work situation,4
474,347,Work situation,5
521,383,Work situation,4
551,405,Work situation,5
585,427,Work situation,3
605,439,Work situation,4
614,445,Work situation,4
639,464,Work situation,4
655,475,Work situation,4
692,498,Work situation,4
706,507,Work situation,5
707,508,Work situation,3
712,511,Work situation,4
723,520,Work situation,4
762,547,Work situation,2
781,558,Work situation,4
812,574,Work situation,4
815,576,Work situation,4
834,589,Work situation,5
841,594,Work situation,4
877,612,Work situation,4
884,619,Work situation,4
944,655,Work situation,4
953,662,Work situation,3
967,671,Work situation,5
977,676,Work situation,4
987,682,Work situation,3
992,686,Work situation,4
997,688,Work situation,4
1007,694,Work situation,4
1027,706,Work situation,4
1029,708,Work situation,3
1075,733,Work situation,4
1107,751,Work situation,4
1111,753,Work situation,4
1119,760,Work situation,4
1135,772,Work situation,4
1138,774,Work situation,3
1140,775,Work situation,5
1169,792,Work situation,2
1189,806,Work situation,5
1204,812,Work situation,4
1209,815,Work situation,4
1243,834,Work situation,3
1253,839,Work situation,4
1261,846,Work situation,4
54,45,Work situation,3
157,127,Work situation,3
264,194,Work situation,4
283,209,Work situation,3
306,223,Work situation,3
364,264,Work situation,5
554,408,Work situation,3
858,602,Work situation,4
923,644,Work situation,2
972,674,Work situation,5
1031,710,Work situation,3
1147,780,Work situation,3
1232,827,Work situation,3
1247,836,Work situation,5
1258,843,Work situation,4
13,11,Work situation,4
53,44,Work situation,4
111,90,Work situation,5
150,122,Work situation,4
176,139,Work situation,5
209,156,Work situation,4
234,172,Work situation,3
370,270,Work situation,5
397,290,Work situation,4
421,308,Work situation,4
431,316,Work situation,4
466,342,Work situation,4
478,350,Work situation,3
483,354,Work situation,4
491,360,Work situation,4
506,371,Work situation,4
524,384,Work situation,5
542,399,Work situation,4
572,420,Work situation,3
586,428,Work situation,3
662,479,Work situation,3
667,482,Work situation,4
720,518,Work situation,4
733,528,Work situation,4
737,532,Work situation,3
827,583,Work situation,3
861,604,Work situation,4
868,608,Work situation,3
892,623,Work situation,5
930,647,Work situation,3
943,654,Work situation,4
974,675,Work situation,5
1042,718,Work situation,4
1091,742,Work situation,4
1112,754,Work situation,4
1162,787,Work situation,3
1186,803,Work situation,3
1205,813,Work situation,3
1212,818,Work situation,2
1228,825,Work situation,3
1233,828,Work situation,3
2,2,Work situation,4
35,28,Work situation,3
61,51,Work situation,3
67,56,Work situation,4
92,76,Work situation,3
114,92,Work situation,5
163,131,Work situation,3
227,169,Work situation,4
252,184,Work situation,4
297,217,Work situation,4
300,220,Work situation,3
341,246,Work situation,3
356,258,Work situation,3
378,275,Work situation,4
386,280,Work situation,2
408,298,Work situation,5
420,307,Work situation,4
453,331,Work situation,4
458,335,Work situation,3
473,346,Work situation,3
497,363,Work situation,4
503,368,Work situation,4
589,430,Work situation,4
599,437,Work situation,4
607,440,Work situation,5
620,450,Work situation,3
628,455,Work situation,3
674,488,Work situation,4
678,491,Work situation,4
679,492,Work situation,4
725,522,Work situation,3
731,527,Work situation,3
752,543,Work situation,2
820,578,Work situation,3
826,582,Work situation,5
958,664,Work situation,4
965,669,Work situation,4
1019,703,Work situation,3
1048,720,Work situation,3
1117,759,Work situation,4
1129,768,Work situation,3
1240,832,Work situation,4
28,23,Work situation,4
69,58,Work situation,4
78,66,Work situation,3
88,73,Work situation,4
127,104,Work situation,3
132,107,Work situation,4
143,115,Work situation,4
146,118,Work situation,4
154,125,Work situation,4
202,153,Work situation,4
207,155,Work situation,2
260,190,Work situation,4
282,208,Work situation,4
292,214,Work situation,4
319,230,Work situation,4
332,238,Work situation,3
340,245,Work situation,4
342,247,Work situation,3
344,249,Work situation,4
368,268,Work situation,4
372,272,Work situation,4
