location,iso_code,continent,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Switzerland,CHE,Europe,2020-08-28 00:00:00.000,41346.0,340.0,287.714,1868.0,0.0,0.714,4743.965,39.011,33.012,214.331,0.0,0.082,1.17,57410.166,99.739,5.59,,4.53,83.78,0.955
Micronesia (country),FSM,Oceania,2021-04-01 00:00:00.000,1.0,0.0,0.0,,,0.0,8.602,0.0,0.0,,,0.0,,3299.464,454.343,12.02,,,67.88,0.62
Saint Helena,SHN,Africa,2021-04-25 00:00:00.000,,,,,,,,,,,,,,,,,,,80.56,
Argentina,ARG,South America,2020-07-24 00:00:00.000,153520.0,5493.0,4888.429,2807.0,105.0,89.857,3366.237,120.445,107.189,61.549,2.302,1.97,1.21,18933.907,191.032,5.5,,5.0,76.67,0.845
Malawi,MWI,Africa,2021-08-22 00:00:00.000,59471.0,72.0,198.286,2074.0,15.0,15.143,3026.871,3.665,10.092,105.56,0.763,0.771,0.71,1095.042,227.349,3.94,8.704,1.3,64.26,0.483
World,OWID_WRL,,2021-07-19 00:00:00.000,190923137.0,499785.0,517969.286,4101168.0,7248.0,7924.857,24244.313,63.465,65.774,520.786,0.92,1.006,1.1,15469.207,233.07,8.51,60.13,2.705,72.58,0.737
Andorra,AND,Europe,2020-07-23 00:00:00.000,889.0,0.0,1.714,52.0,0.0,0.0,11492.618,0.0,22.162,672.234,0.0,0.0,1.05,,109.135,7.97,,,83.73,0.868
Montserrat,MSR,North America,2021-06-03 00:00:00.000,,,,,,,,,,,,,,,,,,,74.16,
Ireland,IRL,Europe,2020-11-23 00:00:00.000,70711.0,250.0,336.429,2023.0,0.0,5.571,14190.721,50.172,67.517,405.988,0.0,1.118,0.79,67335.293,126.459,3.28,,2.96,82.3,0.955
Cote d'Ivoire,CIV,Africa,2020-06-15 00:00:00.000,5439.0,355.0,222.571,46.0,1.0,1.143,201.045,13.122,8.227,1.7,0.037,0.042,1.27,3601.006,303.74,2.42,19.351,,57.78,0.538
Kosovo,OWID_KOS,Europe,2021-08-18 00:00:00.000,120862.0,2110.0,1316.857,2295.0,4.0,3.0,62532.919,1091.695,681.33,1187.412,2.07,1.552,1.96,9795.834,,,,,,
Jordan,JOR,Asia,2020-05-12 00:00:00.000,576.0,14.0,15.0,9.0,0.0,0.0,56.091,1.363,1.461,0.876,0.0,0.0,1.25,8337.49,208.257,11.75,,1.4,74.53,0.729
Grenada,GRD,North America,2020-11-22 00:00:00.000,41.0,0.0,1.286,,,0.0,362.784,0.0,11.376,,,0.0,,13593.877,243.964,10.71,,3.7,72.4,0.779
New Zealand,NZL,Oceania,2021-01-26 00:00:00.000,2295.0,5.0,4.0,25.0,0.0,0.0,472.16,1.029,0.823,5.143,0.0,0.0,0.87,36085.843,128.797,8.08,,2.61,82.29,0.931
Ethiopia,ETH,Africa,2021-05-11 00:00:00.000,263672.0,552.0,616.857,3911.0,14.0,19.857,2236.855,4.683,5.233,33.179,0.119,0.168,0.74,1729.927,182.634,7.47,7.96,0.3,66.6,0.485
Russia,RUS,Europe,2021-03-09 00:00:00.000,4293750.0,9342.0,10494.143,88315.0,330.0,408.143,29426.979,64.025,71.921,605.262,2.262,2.797,0.9,24765.954,431.297,6.18,,8.05,72.58,0.824
Norway,NOR,Europe,2020-12-01 00:00:00.000,36591.0,441.0,410.571,334.0,2.0,2.857,6694.746,80.686,75.119,61.109,0.366,0.523,0.86,64800.057,114.316,5.31,,3.6,82.4,0.957
Togo,TGO,Africa,2020-05-17 00:00:00.000,301.0,3.0,18.143,11.0,0.0,0.0,35.503,0.354,2.14,1.297,0.0,0.0,1.0,1429.813,280.033,6.15,10.475,0.7,61.04,0.515
Japan,JPN,Asia,2020-10-20 00:00:00.000,93895.0,487.0,534.571,1679.0,3.0,6.286,744.898,3.864,4.241,13.32,0.024,0.05,1.05,39002.223,79.37,5.72,,13.05,84.63,0.919
Liechtenstein,LIE,Europe,2020-03-06 00:00:00.000,1.0,0.0,,,,,26.141,0.0,,,,,,,,7.77,,2.397,82.49,0.919
Europe,OWID_EUR,,2020-10-08 00:00:00.000,5761646.0,111313.0,85701.286,229080.0,889.0,763.571,7705.337,148.864,114.613,306.36,1.189,1.021,,,,,,,,
United States,USA,North America,2021-05-23 00:00:00.000,33121245.0,12868.0,25218.429,589657.0,198.0,547.571,99488.571,38.653,75.75,1771.193,0.595,1.645,0.79,54225.446,151.089,10.79,,2.77,78.86,0.926
Mozambique,MOZ,Africa,2020-10-01 00:00:00.000,8888.0,160.0,212.714,62.0,1.0,1.571,276.342,4.975,6.614,1.928,0.031,0.049,0.96,1136.103,329.942,3.3,12.227,0.7,60.85,0.456
India,IND,Asia,2020-09-30 00:00:00.000,6312584.0,86821.0,82866.571,98678.0,1181.0,1075.571,4530.317,62.308,59.47,70.818,0.848,0.772,0.94,6426.674,282.28,10.39,59.55,0.53,69.66,0.645
Japan,JPN,Asia,2020-03-20 00:00:00.000,1022.0,54.0,41.286,34.0,1.0,1.857,8.108,0.428,0.328,0.27,0.008,0.015,1.15,39002.223,79.37,5.72,,13.05,84.63,0.919
Oceania,OWID_OCE,,2020-12-31 00:00:00.000,31440.0,20.0,26.857,945.0,0.0,0.143,727.442,0.463,0.621,21.865,0.0,0.003,,,,,,,,
Haiti,HTI,North America,2020-09-05 00:00:00.000,8326.0,68.0,23.571,212.0,6.0,1.571,721.385,5.892,2.042,18.368,0.52,0.136,0.98,1653.173,430.548,6.65,22.863,0.7,64.0,0.51
Uzbekistan,UZB,Asia,2020-07-27 00:00:00.000,21209.0,678.0,580.0,121.0,5.0,4.429,624.975,19.979,17.091,3.566,0.147,0.13,1.15,6253.104,724.417,7.57,,4.0,71.72,0.72
Vatican,VAT,Europe,2020-08-09 00:00:00.000,12.0,0.0,0.0,,,0.0,14778.325,0.0,0.0,,,0.0,,,,,,,75.12,
Gabon,GAB,Africa,2020-06-06 00:00:00.000,3101.0,0.0,63.714,21.0,0.0,0.571,1360.787,0.0,27.959,9.215,0.0,0.251,1.08,16562.413,259.967,7.2,,6.3,66.47,0.703
Turks and Caicos Islands,TCA,North America,2021-07-03 00:00:00.000,,,,,,,,,,,,,,,,,,,80.22,
China,CHN,Asia,2020-07-10 00:00:00.000,83627.0,0.0,5.143,4634.0,0.0,0.0,57.905,0.0,0.004,3.209,0.0,0.0,1.47,15308.712,261.899,9.74,,4.34,76.91,0.761
Philippines,PHL,Asia,2021-03-05 00:00:00.000,587704.0,3037.0,2339.571,12423.0,19.0,25.143,5292.394,27.349,21.068,111.872,0.171,0.226,1.24,7599.188,370.437,7.07,78.463,1.0,71.23,0.718
Benin,BEN,Africa,2020-11-28 00:00:00.000,2974.0,0.0,8.286,43.0,0.0,0.0,238.856,0.0,0.665,3.454,0.0,0.0,0.97,2064.236,235.848,0.99,11.035,0.5,61.77,0.545
Togo,TGO,Africa,2020-08-02 00:00:00.000,961.0,3.0,13.286,19.0,0.0,0.143,113.349,0.354,1.567,2.241,0.0,0.017,1.12,1429.813,280.033,6.15,10.475,0.7,61.04,0.515
Mauritania,MRT,Africa,2020-05-09 00:00:00.000,8.0,0.0,0.0,1.0,0.0,0.0,1.675,0.0,0.0,0.209,0.0,0.0,,3597.633,232.347,2.42,15.95,,64.92,0.546
Paraguay,PRY,South America,2020-10-21 00:00:00.000,56819.0,746.0,710.571,1250.0,19.0,17.0,7870.059,103.329,98.422,173.139,2.632,2.355,0.93,8827.01,199.128,8.27,79.602,1.3,74.25,0.728
Azerbaijan,AZE,Asia,2021-02-16 00:00:00.000,232337.0,140.0,139.286,3185.0,2.0,3.143,22726.126,13.694,13.624,311.542,0.196,0.307,0.95,15847.419,559.812,7.11,83.241,4.7,73.0,0.756
Hong Kong,HKG,Asia,2020-09-23 00:00:00.000,5049.0,3.0,9.286,104.0,1.0,0.286,668.494,0.397,1.229,13.77,0.132,0.038,,56054.92,,8.33,,,84.86,0.949
Paraguay,PRY,South America,2020-12-06 00:00:00.000,87920.0,707.0,859.143,1853.0,20.0,15.714,12177.891,97.927,119.001,256.661,2.77,2.177,1.04,8827.01,199.128,8.27,79.602,1.3,74.25,0.728
Uganda,UGA,Africa,2020-07-06 00:00:00.000,953.0,14.0,11.857,,,0.0,20.223,0.297,0.252,,,0.0,0.97,1697.707,213.333,2.5,21.222,0.5,63.37,0.544
Ireland,IRL,Europe,2020-10-05 00:00:00.000,38549.0,517.0,453.143,1810.0,0.0,1.143,7736.252,103.755,90.94,363.242,0.0,0.229,1.33,67335.293,126.459,3.28,,2.96,82.3,0.955
Liechtenstein,LIE,Europe,2021-07-13 00:00:00.000,3058.0,0.0,1.571,59.0,0.0,0.0,79939.353,0.0,41.079,1542.322,0.0,0.0,0.88,,,7.77,,2.397,82.49,0.919
Comoros,COM,Africa,2020-08-06 00:00:00.000,396.0,8.0,2.571,7.0,0.0,0.0,445.717,9.004,2.894,7.879,0.0,0.0,0.7,1413.89,261.516,11.88,15.574,2.2,64.32,0.554
Sao Tome and Principe,STP,Africa,2021-06-08 00:00:00.000,2353.0,0.0,1.143,37.0,0.0,-0.571,10534.374,0.0,5.117,165.649,0.0,-2.558,0.84,3052.714,270.113,2.42,41.34,2.9,70.39,0.625
Cameroon,CMR,Africa,2021-06-17 00:00:00.000,80328.0,0.0,60.571,1313.0,0.0,1.571,2950.603,0.0,2.225,48.229,0.0,0.058,0.35,3364.926,244.661,7.2,2.735,1.3,59.29,0.563
Anguilla,AIA,North America,2021-08-15 00:00:00.000,,,,,,,,,,,,,,,,,,,81.88,
Denmark,DNK,Europe,2021-05-09 00:00:00.000,259755.0,874.0,878.286,2498.0,0.0,1.0,44682.867,150.345,151.082,429.704,0.0,0.172,1.16,46682.515,114.767,6.41,,2.5,80.9,0.94
Denmark,DNK,Europe,2020-04-12 00:00:00.000,6369.0,178.0,258.286,273.0,13.0,13.429,1095.591,30.619,44.43,46.961,2.236,2.31,0.91,46682.515,114.767,6.41,,2.5,80.9,0.94
Germany,DEU,Europe,2020-05-20 00:00:00.000,178473.0,695.0,625.0,8144.0,63.0,40.429,2127.199,8.284,7.449,97.067,0.751,0.482,0.77,45229.245,156.139,8.31,,8.0,81.33,0.947
South Africa,ZAF,Africa,2020-08-03 00:00:00.000,516862.0,5377.0,9190.429,8539.0,173.0,210.286,8608.341,89.554,153.067,142.217,2.881,3.502,0.8,12294.876,200.38,5.52,43.993,2.32,64.13,0.709
Comoros,COM,Africa,2021-06-05 00:00:00.000,3886.0,0.0,0.714,146.0,0.0,0.0,4373.88,0.0,0.804,164.33,0.0,0.0,0.88,1413.89,261.516,11.88,15.574,2.2,64.32,0.554
Mongolia,MNG,Asia,2020-06-10 00:00:00.000,194.0,0.0,1.286,,,0.0,58.271,0.0,0.386,,,0.0,0.6,11840.846,460.043,4.82,71.18,7.0,69.87,0.737
Timor,TLS,Asia,2021-08-22 00:00:00.000,14216.0,235.0,235.857,48.0,2.0,2.571,10578.365,174.867,175.505,35.718,1.488,1.913,1.55,6570.102,335.346,6.86,28.178,5.9,69.5,0.606
Nepal,NPL,Asia,2020-08-26 00:00:00.000,34418.0,885.0,782.857,175.0,11.0,7.857,1159.835,29.823,26.381,5.897,0.371,0.265,1.27,2442.804,260.797,7.26,47.782,0.3,70.78,0.602
Spain,ESP,Europe,2021-04-06 00:00:00.000,3317948.0,6623.0,6018.429,75911.0,128.0,86.571,70979.421,141.683,128.75,1623.931,2.738,1.852,1.18,34272.36,99.403,7.17,,2.97,83.56,0.904
Haiti,HTI,North America,2020-08-03 00:00:00.000,7468.0,44.0,24.429,165.0,4.0,1.143,647.046,3.812,2.117,14.296,0.347,0.099,0.94,1653.173,430.548,6.65,22.863,0.7,64.0,0.51
Maldives,MDV,Asia,2020-07-22 00:00:00.000,3103.0,59.0,38.857,15.0,0.0,0.143,5708.031,108.532,71.479,27.593,0.0,0.263,1.32,15183.616,164.905,9.19,95.803,,78.92,0.74
Saint Vincent and the Grenadines,VCT,North America,2020-07-29 00:00:00.000,52.0,0.0,0.0,,,0.0,467.336,0.0,0.0,,,0.0,,10727.146,252.675,11.62,,2.6,72.53,0.738
Latvia,LVA,Europe,2021-06-17 00:00:00.000,136544.0,141.0,137.143,2482.0,7.0,5.571,73138.097,75.525,73.459,1329.452,3.749,2.984,0.66,25063.846,350.06,4.91,,5.57,75.29,0.866
Bulgaria,BGR,Europe,2020-09-26 00:00:00.000,19997.0,169.0,168.286,789.0,0.0,4.857,2899.522,24.505,24.401,114.403,0.0,0.704,1.29,18563.307,424.688,5.81,,7.454,75.05,0.816
Ukraine,UKR,Europe,2021-06-28 00:00:00.000,2298478.0,677.0,965.143,54517.0,19.0,46.429,52878.906,15.575,22.204,1254.221,0.437,1.068,0.88,7894.393,539.849,7.11,,8.8,72.06,0.779
Macao,MAC,Asia,2021-05-01 00:00:00.000,,,,,,,,,,,,,,104861.851,,,,,84.24,
Thailand,THA,Asia,2020-03-21 00:00:00.000,411.0,89.0,47.0,1.0,0.0,0.0,5.876,1.272,0.672,0.014,0.0,0.0,2.13,16277.671,109.861,7.04,90.67,2.1,77.15,0.777
Chad,TCD,Africa,2020-09-02 00:00:00.000,1017.0,0.0,2.714,77.0,0.0,0.0,60.124,0.0,0.16,4.552,0.0,0.0,1.1,1768.153,280.995,6.1,5.818,,54.24,0.398
Bahamas,BHS,North America,2021-04-24 00:00:00.000,9976.0,0.0,48.857,196.0,0.0,0.286,25133.908,0.0,123.093,493.81,0.0,0.72,1.27,27717.847,235.954,13.17,,2.9,73.92,0.814
Cayman Islands,CYM,North America,2021-04-15 00:00:00.000,,,,,,,,,,,,,,49903.029,,13.22,,,83.92,
Guatemala,GTM,North America,2020-03-07 00:00:00.000,,,,,,,,,,,,,,7423.808,155.898,10.18,76.665,0.6,74.3,0.663
Laos,LAO,Asia,2020-09-11 00:00:00.000,23.0,1.0,0.143,,,0.0,3.117,0.136,0.019,,,0.0,,6397.36,368.111,4.0,49.839,1.5,67.92,0.613
Colombia,COL,South America,2020-07-31 00:00:00.000,295508.0,9488.0,8852.429,10105.0,295.0,304.286,5764.228,185.075,172.677,197.11,5.754,5.935,1.19,13254.949,124.24,7.44,65.386,1.71,77.29,0.767
South America,OWID_SAM,,2020-07-25 00:00:00.000,3683684.0,69177.0,66892.857,167223.0,2383.0,2146.571,8482.667,159.299,154.039,385.076,5.487,4.943,,,,,,,,
Nepal,NPL,Asia,2020-07-03 00:00:00.000,15259.0,740.0,500.571,32.0,1.0,0.714,514.205,24.937,16.869,1.078,0.034,0.024,0.87,2442.804,260.797,7.26,47.782,0.3,70.78,0.602
Somalia,SOM,Africa,2020-11-02 00:00:00.000,3941.0,0.0,0.0,104.0,0.0,0.0,240.9,0.0,0.0,6.357,0.0,0.0,0.61,,365.769,6.05,9.831,0.9,57.4,
Lithuania,LTU,Europe,2020-12-04 00:00:00.000,69600.0,2519.0,1930.714,732.0,38.0,26.143,25874.933,936.479,717.774,272.133,14.127,9.719,1.15,29524.265,342.989,3.67,,6.56,75.93,0.882
Latvia,LVA,Europe,2021-02-02 00:00:00.000,67427.0,775.0,786.143,1219.0,17.0,13.286,36116.435,415.119,421.088,652.942,9.106,7.116,0.99,25063.846,350.06,4.91,,5.57,75.29,0.866
Serbia,SRB,Europe,2020-08-10 00:00:00.000,28262.0,163.0,258.714,646.0,5.0,6.857,4153.369,23.954,38.021,94.936,0.735,1.008,0.81,14048.881,439.415,10.08,97.719,5.609,76.0,0.806
Serbia,SRB,Europe,2021-08-11 00:00:00.000,728167.0,921.0,664.143,7151.0,5.0,3.143,107011.055,135.35,97.602,1050.907,0.735,0.462,1.56,14048.881,439.415,10.08,97.719,5.609,76.0,0.806
Slovenia,SVN,Europe,2021-03-31 00:00:00.000,215602.0,1557.0,1002.0,4047.0,7.0,7.571,103718.485,749.018,482.027,1946.868,3.367,3.642,1.1,31400.84,153.493,7.25,,4.5,81.32,0.917
Equatorial Guinea,GNQ,Africa,2021-01-25 00:00:00.000,5454.0,53.0,12.714,86.0,0.0,0.0,3761.662,36.554,8.769,59.315,0.0,0.0,1.18,22604.873,202.812,7.78,24.64,2.1,58.74,0.592
Suriname,SUR,South America,2021-02-21 00:00:00.000,8868.0,12.0,9.286,168.0,0.0,0.286,14984.843,20.277,15.691,283.881,0.0,0.483,0.61,13767.119,258.314,12.54,67.779,3.1,71.68,0.738
Morocco,MAR,Africa,2021-05-23 00:00:00.000,517023.0,211.0,297.0,9122.0,3.0,3.429,13844.583,5.65,7.953,244.264,0.08,0.092,1.09,7485.013,419.146,7.14,,1.1,76.68,0.686
