Column1,location,reproduction_rate,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
113,"Libya",1.15,17881.509,341.86199999999997,10.43,,3.7,72.91,0.72400000000000009
115,"Liechtenstein",0.28,,,7.77,,2.397,82.49,0.919
116,"Sri Lanka",0.79,11669.077,197.093,10.68,,3.6,76.98,0.782
118,"Lithuania",1.72,29524.265,342.98900000000003,3.67,,6.56,75.93,0.882
119,"Luxembourg",2.69,94277.965,128.275,4.42,,4.51,82.25,0.91599999999999993
120,"Latvia",1.29,25063.846,350.06,4.91,,5.57,75.29,0.866
121,"Macao",,104861.851,,,,,84.24,
122,"Morocco",1.93,7485.0130000000008,419.14599999999996,7.14,,1.1,76.68,0.68599999999999994
123,"Monaco",0.24,,,5.46,,13.8,86.75,
129,"North Macedonia",1.33,13111.214,322.688,10.08,,4.28,75.8,0.774
131,"Malta",0.63,36513.323,168.71099999999998,8.83,,4.485,82.53,0.895
133,"Montenegro",1.18,16409.288,387.305,10.08,,3.861,76.88,0.82900000000000007
137,"Montserrat",,,,,,,74.16,
138,"Mauritius",0.87,20292.745,224.644,22.02,,3.4,74.99,0.804
140,"Malaysia",2.09,26808.164,260.942,16.74,,1.9,76.16,0.81
142,"New Caledonia",,,,23.36,,,77.55,
145,"Nicaragua",1.48,5321.444,137.016,11.47,,0.9,74.48,0.66
146,"Niue",,,,,,,73.71,
147,"Netherlands",3,48472.545,109.361,5.29,,3.32,82.28,0.94400000000000006
148,"Norway",2.89,64800.057,114.316,5.31,,3.6,82.4,0.95700000000000007
150,"Nauru",,12895.635,,24.07,,5,59.96,
151,"New Zealand",1.9,36085.843,128.797,8.08,,2.61,82.29,0.93099999999999994
153,"Africa",,,,,,,,
154,"Asia",,,,,,,,
155,"Northern Cyprus",,,,,,,,
156,"European Union",,,,,,,,
157,"Europe",,,,,,,,
158,"International",,,,,,,,
159,"Kosovo",1.24,9795.834,,,,,,
160,"North America",,,,,,,,
161,"Oceania",,,,,,,,
162,"South America",,,,,,,,
165,"Panama",2.22,22267.037,128.346,8.33,,2.3,78.51,0.815
166,"Pitcairn",,,,,,,,
167,"Peru",1.85,12236.706,85.755,5.95,,1.6,76.74,0.777
169,"Palau",,13240.405,,15.89,,4.8,73.7,0.826
170,"Papua New Guinea",1.21,3823.1940000000004,561.494,17.65,,,64.5,0.555
171,"Poland",2.45,27216.445,227.331,5.91,,6.62,78.73,0.88
172,"Portugal",3.23,27936.896,127.84200000000001,9.85,,3.39,82.05,0.8640000000000001
174,"Palestine",1.01,4449.898,265.91,10.59,,,74.05,0.708
175,"French Polynesia",,,,22.63,,,77.66,
176,"Qatar",0.88,116935.6,176.69,16.52,,1.2,80.23,0.848
177,"Romania",1.73,23313.199,370.94599999999997,9.74,,6.892,76.05,0.828
178,"Russia",2.1,24765.953999999998,431.29699999999997,6.18,,8.05,72.58,0.82400000000000007
180,"Saudi Arabia",1.95,49045.410999999993,259.538,17.72,,2.7,75.13,0.85400000000000009
183,"Singapore",0.54,85535.383,92.243,10.99,,2.4,83.62,0.938
184,"Saint Helena",,,,,,,80.56,
188,"San Marino",1.03,56861.47,,5.64,,3.8,84.97,
191,"South Sudan",0.99,1569.888,280.775,10.43,,,57.85,0.433
194,"Slovakia",1.25,30155.152000000002,287.959,7.29,,5.82,77.54,0.86
195,"Slovenia",1.43,31400.84,153.493,7.25,,4.5,81.32,0.917
196,"Sweden",2.25,46949.282999999996,133.982,4.79,,2.22,82.8,0.945
198,"Sint Maarten (Dutch part)",,36327.232,,,,,78.95,
199,"Seychelles",0.32,26382.287,242.648,10.55,,3.6,73.4,0.79599999999999993
201,"Turks and Caicos Islands",,,,,,,80.22,
206,"Tokelau",,,,,,,81.86,
209,"Tonga",,5425.621,227.49,15.42,,2.6,70.91,0.725
212,"Turkey",5.17,25129.341,171.285,12.13,,2.81,77.69,0.82
213,"Tuvalu",,3575.1040000000003,,27.25,,,67.57,
214,"Taiwan",1.07,,103.95700000000001,,,,80.46,
217,"Ukraine",2.6,7894.393,539.849,7.11,,8.8,72.06,0.779
218,"Uruguay",1.24,20551.409,160.708,6.93,,2.8,77.91,0.81700000000000006
219,"United States",3.61,54225.445999999996,151.089,10.79,,2.77,78.86,0.92599999999999993
220,"Uzbekistan",1.56,6253.104,724.41699999999992,7.57,,4,71.72,0.72
221,"Vatican",,,,,,,75.12,
222,"Saint Vincent and the Grenadines",0.88,10727.146,252.675,11.62,,2.6,72.53,0.738
223,"Venezuela",0.67,16745.022,204.85,6.47,,0.8,72.06,0.711
224,"British Virgin Islands",,,,13.67,,,79.07,
227,"Wallis and Futuna",,,,,,,79.94,
228,"Samoa",,6021.557,348.977,9.21,,,73.32,0.715
1,"Afghanistan",1.47,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
2,"Angola",0.93,5819.495,276.045,3.94,26.664,,61.15,0.581
8,"Armenia",1.42,8787.58,341.01,7.11,94.042999999999992,4.2,75.09,0.77599999999999991
12,"Azerbaijan",1.77,15847.419,559.812,7.11,83.241,4.7,73,0.75599999999999989
13,"Burundi",0.67,702.225,293.068,6.05,6.144,0.8,61.58,0.433
15,"Benin",1.15,2064.236,235.84799999999998,0.99,11.035,0.5,61.77,0.545
17,"Burkina Faso",1.05,1703.102,269.048,2.42,11.877,0.4,61.58,0.452
18,"Bangladesh",2.73,3523.9840000000004,298.003,8.38,34.808,0.8,72.59,0.632
22,"Bosnia and Herzegovina",1.44,11713.895,329.635,10.08,97.164,3.5,77.4,0.78
24,"Belize",1.35,7824.3619999999992,176.957,17.11,90.083,1.3,74.62,0.716
26,"Bolivia",1.22,6885.8290000000006,204.299,6.89,25.383000000000003,1.1,71.51,0.718
28,"Barbados",0.49,16978.068,170.05,13.57,88.469,5.8,79.19,0.81400000000000006
30,"Bhutan",0.56,8708.597,217.06599999999997,9.75,79.807,1.7,71.78,0.654
32,"Central African Republic",0.96,661.24,435.727,6.1,16.602999999999998,1,53.28,0.397
37,"Cote d'Ivoire",1.38,3601.006,303.74,2.42,19.351,,57.78,0.53799999999999992
38,"Cameroon",1.45,3364.926,244.66099999999997,7.2,2.735,1.3,59.29,0.563
39,"Democratic Republic of Congo",1.16,808.133,318.949,6.1,4.4719999999999995,,60.68,0.48
40,"Congo",0.93,4881.406,344.094,7.2,47.964,,64.57,0.574
42,"Colombia",2.19,13254.948999999999,124.24,7.44,65.38600000000001,1.71,77.29,0.767
43,"Comoros",0.88,1413.89,261.51599999999996,11.88,15.574000000000002,2.2,64.32,0.55399999999999994
45,"Costa Rica",1.14,15524.995,137.97299999999998,8.78,83.841000000000008,1.13,80.28,0.81
46,"Cuba",1.39,,190.968,8.27,85.198,5.2,78.8,0.78299999999999992
55,"Dominican Republic",2.31,14600.861,266.653,8.2,55.181999999999995,1.6,74.08,0.75599999999999989
56,"Algeria",1.91,13913.839,278.36400000000003,6.73,83.741,1.9,76.88,0.748
57,"Ecuador",2.53,10581.936000000002,140.44799999999998,5.55,80.635,1.5,77.01,0.759
58,"Egypt",1.55,10550.206,525.432,17.31,89.827000000000012,1.6,71.99,0.70700000000000007
62,"Ethiopia",0.35,1729.9270000000001,182.63400000000001,7.47,7.96,0.3,66.6,0.485
73,"Ghana",1.47,4227.63,298.245,4.97,41.047,0.9,64.07,0.611
75,"Guinea",1.28,1998.9260000000002,336.717,2.42,17.45,0.3,61.6,0.47700000000000004
76,"Gambia",1.48,1561.767,331.43,1.91,7.876,1.1,62.05,0.496
77,"Guinea-Bissau",1.23,1548.675,382.474,2.42,6.403,,58.32,0.48
78,"Equatorial Guinea",0.82,22604.873,202.812,7.78,24.64,2.1,58.74,0.59200000000000008
82,"Guatemala",1.18,7423.8080000000009,155.898,10.18,76.665,0.6,74.3,0.66299999999999992
83,"Guyana",0.55,7435.047,373.159,11.62,77.158999999999992,1.6,69.91,0.682
85,"Honduras",1.28,4541.795,240.208,7.21,84.169,0.7,75.27,0.634
87,"Haiti",1.41,1653.1729999999998,430.548,6.65,22.863000000000003,0.7,64,0.51
89,"Indonesia",2.08,11188.743999999999,342.86400000000003,6.32,64.204,1.04,71.72,0.718
91,"India",1.81,6426.674,282.28,10.39,59.55,0.53,69.66,0.645
94,"Iraq",1.07,15663.986,218.612,8.83,94.576000000000008,1.4,70.6,0.674
98,"Jamaica",1.01,8193.571,206.537,11.28,66.425,1.7,74.47,0.7340000000000001
102,"Kazakhstan",1.64,24055.588,466.792,7.11,98.999,6.7,73.6,0.825
103,"Kenya",0.8,2993.028,218.637,2.92,24.651,1.4,66.7,0.601
104,"Kyrgyzstan",1.26,3393.474,436.36199999999997,7.11,89.22,4.5,71.45,0.69700000000000006
105,"Cambodia",0.26,3645.07,270.892,4,66.229,0.8,69.82,0.594
110,"Laos",2.42,6397.36,368.111,4,49.839,1.5,67.92,0.613
112,"Liberia",0.9,752.788,272.509,2.42,1.188,0.8,64.1,0.48
114,"Saint Lucia",0.88,12951.839,204.62,11.62,87.202000000000012,1.3,76.2,0.759
117,"Lesotho",1.29,2851.153,405.126,3.94,2.117,,54.33,0.527
124,"Moldova",1.39,5189.972,408.50199999999995,5.72,86.979,5.8,71.9,0.75
125,"Madagascar",0.7,1416.44,405.994,3.94,50.54,0.2,67.04,0.528
126,"Maldives",1.88,15183.616000000002,164.905,9.19,95.803,,78.92,0.74
127,"Mexico",1.91,17336.468999999997,152.783,13.06,87.847000000000008,1.38,75.05,0.779
128,"Marshall Islands",,3819.202,557.793,30.53,82.50200000000001,2.7,73.7,0.70400000000000007
130,"Mali",1.22,2014.306,268.024,2.42,52.232,0.1,59.31,0.434
132,"Myanmar",0.5,5591.597,202.104,4.61,79.286999999999992,0.9,67.13,0.583
134,"Mongolia",0.56,11840.846000000001,460.043,4.82,71.18,7,69.87,0.737
135,"Mozambique",0.8,1136.103,329.94199999999995,3.3,12.227,0.7,60.85,0.456
136,"Mauritania",1.29,3597.633,232.347,2.42,15.95,,64.92,0.546
139,"Malawi",1.73,1095.042,227.34900000000002,3.94,8.704,1.3,64.26,0.483
141,"Namibia",1.55,9541.808,243.81099999999998,3.94,44.6,,63.71,0.64599999999999991
143,"Niger",1.2,926,238.33900000000003,2.42,8.978,0.3,62.42,0.39399999999999996
144,"Nigeria",1.25,5338.4540000000006,181.013,2.42,41.949,,54.69,0.539
149,"Nepal",1.56,2442.804,260.797,7.26,47.782,0.3,70.78,0.602
152,"Oman",1.32,37960.709,266.342,12.61,97.4,1.6,77.86,0.813
163,"World",3.11,15469.207,233.07,8.51,60.13,2.705,72.58,0.737
164,"Pakistan",2.5,5034.708,423.031,8.35,59.607,0.6,67.27,0.557
168,"Philippines",1.61,7599.188,370.43699999999995,7.07,78.463000000000008,1,71.23,0.718
173,"Paraguay",0.74,8827.01,199.128,8.27,79.602,1.3,74.25,0.728
179,"Rwanda",0.42,1854.211,191.375,4.28,4.617,,69.02,0.54299999999999993
181,"Sudan",1.6,4466.5070000000005,431.38800000000003,15.67,23.436999999999998,0.8,65.31,0.51
182,"Senegal",0.92,2470.58,241.21900000000002,2.42,20.859,,67.94,0.512
185,"Solomon Islands",,2205.923,459.78,18.68,35.89,1.4,73,0.56700000000000006
186,"Sierra Leone",1.18,1390.3,325.721,2.42,19.275,,54.7,0.452
187,"El Salvador",1.2,7292.4580000000005,167.295,8.87,90.65,1.3,73.32,0.67299999999999993
189,"Somalia",1.29,,365.769,6.05,9.831,0.9,57.4,
190,"Serbia",1.93,14048.881000000001,439.415,10.08,97.719,5.609,76,0.80599999999999994
192,"Sao Tome and Principe",0.46,3052.7140000000004,270.113,2.42,41.34,2.9,70.39,0.625
193,"Suriname",1.14,13767.118999999999,258.314,12.54,67.779,3.1,71.68,0.738
197,"Eswatini",0.75,7738.975,333.436,3.94,24.096999999999998,2.1,60.19,0.611
200,"Syria",0.37,,376.264,,70.598,1.5,72.7,0.56700000000000006
202,"Chad",1.17,1768.1529999999998,280.995,6.1,5.818,,54.24,0.39799999999999996
203,"Togo",0.92,1429.8129999999999,280.033,6.15,10.475,0.7,61.04,0.515
204,"Thailand",2.13,16277.671,109.861,7.04,90.67,2.1,77.15,0.777
205,"Tajikistan",2.57,2896.913,427.69800000000004,7.11,72.704,4.8,71.1,0.66799999999999993
207,"Turkmenistan",,16389.023,536.783,7.11,100,7.4,68.19,0.715
208,"Timor",0.35,6570.102,335.346,6.86,28.178,5.9,69.5,0.606
210,"Trinidad and Tobago",0.25,28763.071,228.467,10.97,89.443,3,73.51,0.79599999999999993
211,"Tunisia",1.43,10849.296999999999,318.991,8.52,78.687,2.3,76.7,0.74
215,"Tanzania",1.08,2683.304,217.28799999999998,5.75,47.953,0.7,65.46,0.529
216,"Uganda",0.93,1697.707,213.333,2.5,21.221999999999998,0.5,63.37,0.544
225,"Vietnam",0.87,6171.884,245.465,6,85.847000000000008,2.6,75.4,0.70400000000000007
226,"Vanuatu",,2921.909,546.3,12.02,25.209,,70.47,0.609
229,"Yemen",1.16,1479.1470000000002,495.00300000000004,5.35,49.542,0.7,66.12,0.47
230,"South Africa",2.29,12294.876,200.38,5.52,43.993,2.32,64.13,0.70900000000000007
231,"Zambia",1.17,3689.2509999999997,234.49900000000002,3.94,13.937999999999999,2,63.89,0.584
232,"Zimbabwe",1,1899.775,307.846,1.82,36.791,1.7,61.49,0.57100000000000006
