ProductID,variable,value
940,Category,Urban
1563,Category,Rural
592,Category,Urban
307,Category,Urban
2112,Category,Urban
2165,Category,Urban
1641,Category,Rural
1042,Category,Urban
444,Category,Urban
1098,Category,Rural
1960,Category,Rural
1006,Category,Youth
1373,Category,Rural
2154,Category,Urban
1407,Category,Rural
854,Category,Urban
1979,Category,Rural
2374,Category,Urban
1779,Category,Urban
1850,Category,Youth
1604,Category,Rural
905,Category,Urban
395,Category,Rural
1617,Category,Rural
1162,Category,Urban
880,Category,Urban
1183,Category,Urban
1938,Category,Rural
1924,Category,Mix
955,Category,Urban
2162,Category,Urban
1608,Category,Rural
1278,Category,Mix
362,Category,Urban
175,Category,Urban
1011,Category,Youth
1203,Category,Urban
430,Category,Urban
1737,Category,Rural
647,Category,Urban
245,Category,Urban
1182,Category,Urban
1093,Category,Rural
535,Category,Urban
2174,Category,Urban
930,Category,Urban
2279,Category,Rural
1092,Category,Rural
364,Category,Urban
98,Category,Urban
1511,Category,Rural
909,Category,Urban
809,Category,Rural
2393,Category,Youth
1432,Category,Rural
1644,Category,Rural
767,Category,Rural
112,Category,Urban
1981,Category,Rural
670,Category,Urban
1845,Segment,Youth
1383,Segment,Productivity
1252,Segment,Productivity
2259,Segment,Productivity
1293,Segment,All Season
2113,Segment,Moderation
765,Segment,Productivity
1664,Segment,Select
2404,Segment,Youth
400,Segment,Moderation
1724,Segment,Youth
139,Segment,Regular
701,Segment,All Season
2215,Segment,Productivity
1035,Segment,Convenience
1062,Segment,Productivity
1302,Segment,All Season
2322,Segment,Regular
1170,Segment,Extreme
1128,Segment,Moderation
2324,Segment,Regular
85,Segment,Moderation
898,Segment,Extreme
2401,Segment,Youth
289,Segment,Extreme
1283,Segment,All Season
1007,Segment,Youth
2277,Segment,Select
1752,Segment,Moderation
482,Segment,Moderation
205,Segment,Moderation
255,Segment,Regular
2354,Segment,Convenience
2280,Segment,Select
1878,Segment,Moderation
217,Segment,Productivity
1674,Segment,Extreme
1463,Segment,Productivity
122,Segment,Moderation
354,Segment,Extreme
940,Segment,Convenience
1563,Segment,Select
592,Segment,Convenience
307,Segment,Extreme
2112,Segment,Moderation
2165,Segment,Extreme
1641,Segment,Select
1042,Segment,Convenience
444,Segment,Moderation
1098,Segment,Productivity
1960,Segment,Productivity
1006,Segment,Youth
1373,Segment,Productivity
2154,Segment,Extreme
1407,Segment,Productivity
854,Segment,Moderation
1979,Segment,Productivity
2374,Segment,Convenience
1779,Segment,Extreme
1850,Segment,Youth
1604,Segment,Select
905,Segment,Extreme
395,Segment,Select
1617,Segment,Select
1162,Segment,Regular
880,Segment,Regular
1183,Segment,Extreme
1938,Segment,Productivity
1924,Segment,All Season
955,Segment,Convenience
2162,Segment,Extreme
1608,Segment,Select
1278,Segment,All Season
362,Segment,Extreme
175,Segment,Extreme
1011,Segment,Youth
1203,Segment,Convenience
430,Segment,Moderation
1737,Segment,Productivity
647,Segment,Convenience
245,Segment,Regular
1182,Segment,Extreme
1093,Segment,Productivity
535,Segment,Extreme
2174,Segment,Convenience
930,Segment,Extreme
2279,Segment,Select
1092,Segment,Productivity
364,Segment,Extreme
98,Segment,Moderation
1511,Segment,Productivity
909,Segment,Extreme
809,Segment,Select
2393,Segment,Youth
1432,Segment,Productivity
1644,Segment,Select
767,Segment,Productivity
112,Segment,Moderation
1981,Segment,Productivity
670,Segment,Convenience
1845,ManufacturerID,11
1383,ManufacturerID,12
1252,ManufacturerID,12
2259,ManufacturerID,2
1293,ManufacturerID,12
2113,ManufacturerID,14
765,ManufacturerID,8
1664,ManufacturerID,12
2404,ManufacturerID,2
400,ManufacturerID,7
1724,ManufacturerID,13
139,ManufacturerID,1
701,ManufacturerID,8
2215,ManufacturerID,2
1035,ManufacturerID,9
1062,ManufacturerID,10
1302,ManufacturerID,12
2322,ManufacturerID,2
1170,ManufacturerID,10
1128,ManufacturerID,10
2324,ManufacturerID,2
85,ManufacturerID,1
898,ManufacturerID,8
2401,ManufacturerID,2
289,ManufacturerID,5
1283,ManufacturerID,12
1007,ManufacturerID,8
2277,ManufacturerID,2
1752,ManufacturerID,11
482,ManufacturerID,7
205,ManufacturerID,3
255,ManufacturerID,5
2354,ManufacturerID,2
2280,ManufacturerID,2
1878,ManufacturerID,6
217,ManufacturerID,5
1674,ManufacturerID,12
1463,ManufacturerID,12
122,ManufacturerID,1
354,ManufacturerID,5
940,ManufacturerID,8
1563,ManufacturerID,12
592,ManufacturerID,7
307,ManufacturerID,5
2112,ManufacturerID,14
2165,ManufacturerID,14
1641,ManufacturerID,12
1042,ManufacturerID,9
444,ManufacturerID,7
1098,ManufacturerID,10
1960,ManufacturerID,4
1006,ManufacturerID,8
1373,ManufacturerID,12
2154,ManufacturerID,14
1407,ManufacturerID,12
854,ManufacturerID,8
1979,ManufacturerID,4
2374,ManufacturerID,2
1779,ManufacturerID,11
1850,ManufacturerID,11
1604,ManufacturerID,12
905,ManufacturerID,8
395,ManufacturerID,7
1617,ManufacturerID,12
1162,ManufacturerID,10
880,ManufacturerID,8
1183,ManufacturerID,10
1938,ManufacturerID,4
1924,ManufacturerID,4
955,ManufacturerID,8
2162,ManufacturerID,14
1608,ManufacturerID,12
1278,ManufacturerID,12
362,ManufacturerID,5
175,ManufacturerID,1
1011,ManufacturerID,8
1203,ManufacturerID,10
430,ManufacturerID,7
1737,ManufacturerID,11
647,ManufacturerID,7
245,ManufacturerID,5
1182,ManufacturerID,10
1093,ManufacturerID,10
535,ManufacturerID,7
2174,ManufacturerID,14
930,ManufacturerID,8
2279,ManufacturerID,2
1092,ManufacturerID,10
364,ManufacturerID,5
98,ManufacturerID,1
1511,ManufacturerID,12
909,ManufacturerID,8
809,ManufacturerID,8
2393,ManufacturerID,2
1432,ManufacturerID,12
1644,ManufacturerID,12
767,ManufacturerID,8
112,ManufacturerID,1
1981,ManufacturerID,4
670,ManufacturerID,7
1845,Manufacturer,Pomum
1383,Manufacturer,Quibus
1252,Manufacturer,Quibus
2259,Manufacturer,Aliqui
1293,Manufacturer,Quibus
2113,Manufacturer,Victoria
765,Manufacturer,Natura
1664,Manufacturer,Quibus
2404,Manufacturer,Aliqui
400,Manufacturer,VanArsdel
1724,Manufacturer,Salvus
139,Manufacturer,Abbas
701,Manufacturer,Natura
2215,Manufacturer,Aliqui
1035,Manufacturer,Palma
1062,Manufacturer,Pirum
1302,Manufacturer,Quibus
2322,Manufacturer,Aliqui
1170,Manufacturer,Pirum
1128,Manufacturer,Pirum
2324,Manufacturer,Aliqui
85,Manufacturer,Abbas
898,Manufacturer,Natura
2401,Manufacturer,Aliqui
289,Manufacturer,Fama
1283,Manufacturer,Quibus
1007,Manufacturer,Natura
2277,Manufacturer,Aliqui
1752,Manufacturer,Pomum
482,Manufacturer,VanArsdel
205,Manufacturer,Barba
255,Manufacturer,Fama
2354,Manufacturer,Aliqui
2280,Manufacturer,Aliqui
1878,Manufacturer,Leo
217,Manufacturer,Fama
1674,Manufacturer,Quibus
1463,Manufacturer,Quibus
122,Manufacturer,Abbas
354,Manufacturer,Fama
940,Manufacturer,Natura
1563,Manufacturer,Quibus
592,Manufacturer,VanArsdel
307,Manufacturer,Fama
2112,Manufacturer,Victoria
2165,Manufacturer,Victoria
1641,Manufacturer,Quibus
1042,Manufacturer,Palma
444,Manufacturer,VanArsdel
1098,Manufacturer,Pirum
1960,Manufacturer,Currus
1006,Manufacturer,Natura
1373,Manufacturer,Quibus
2154,Manufacturer,Victoria
1407,Manufacturer,Quibus
854,Manufacturer,Natura
1979,Manufacturer,Currus
2374,Manufacturer,Aliqui
1779,Manufacturer,Pomum
1850,Manufacturer,Pomum
1604,Manufacturer,Quibus
905,Manufacturer,Natura
395,Manufacturer,VanArsdel
1617,Manufacturer,Quibus
1162,Manufacturer,Pirum
880,Manufacturer,Natura
1183,Manufacturer,Pirum
1938,Manufacturer,Currus
1924,Manufacturer,Currus
955,Manufacturer,Natura
2162,Manufacturer,Victoria
1608,Manufacturer,Quibus
1278,Manufacturer,Quibus
362,Manufacturer,Fama
175,Manufacturer,Abbas
1011,Manufacturer,Natura
1203,Manufacturer,Pirum
430,Manufacturer,VanArsdel
1737,Manufacturer,Pomum
647,Manufacturer,VanArsdel
245,Manufacturer,Fama
1182,Manufacturer,Pirum
1093,Manufacturer,Pirum
535,Manufacturer,VanArsdel
2174,Manufacturer,Victoria
930,Manufacturer,Natura
2279,Manufacturer,Aliqui
1092,Manufacturer,Pirum
364,Manufacturer,Fama
98,Manufacturer,Abbas
1511,Manufacturer,Quibus
909,Manufacturer,Natura
809,Manufacturer,Natura
2393,Manufacturer,Aliqui
1432,Manufacturer,Quibus
1644,Manufacturer,Quibus
767,Manufacturer,Natura
112,Manufacturer,Abbas
1981,Manufacturer,Currus
670,Manufacturer,VanArsdel
