EventID,EventName,EventDate,AttendeeEstimate,Timezone,EventDescription,TwitterHashtag,Location,Street,City,State,Zipcode,RefreshDate
840,"SQLSaturday #840 - Edmonton 2019",2019-04-27 00:00:00.000,150,"(GMT-07:00) Mountain Time (US and Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat840","NAIT Productivity and Innovation Centre (PIC)","10210 Princess Elizabeth Ave NW","Edmonton","Alberta, Canada","T5G 0Y2",2019-03-26 00:00:00.000
841,"SQLSaturday #841 - Dallas 2019",2019-06-01 00:00:00.000,650,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatDallas","UTDallas, The Erik Jonsson School of Engineering and Computer Science","800 W. Campbell Road, Richardson, TX","Dallas","Texas","75080-3021",2019-03-26 00:00:00.000
842,"SQLSaturday #842 - Madison 2019",2019-04-06 00:00:00.000,400,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatMadison","Edgewood College","1000 Edgewood College Dr","Madison","Wisconsin","53711",2019-03-26 00:00:00.000
843,"SQLSaturday #843 - Québec 2019",2019-04-12 00:00:00.000,60,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatQuébec","Microsoft Quebec","1500 Place de la Cité-Tour Cominar, 2640, Boul. Laurier, Quebec City QC","Quebec City","Quebec, Canada","G1V 5C2",2019-03-26 00:00:00.000
844,"SQLSaturday #844 - Belo Horizonte 2019",2019-05-18 00:00:00.000,400,"(GMT-03:00) Greenland","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#satbh #sqlbh","PUC Minas - Coração Eucarístico","Av. Dom José Gaspar, 500","Belo Horizonte","Minas Gerais, Brazil","30140-100",2019-03-26 00:00:00.000
845,"SQLSaturday #845 - Atlanta 2019",2019-05-18 00:00:00.000,600,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatATL","Gwinnett Technical College - Alpharetta","2875 Old Milton Pkwy","Atlanta","Georgia","30009",2019-03-26 00:00:00.000
846,"SQLSaturday #846 - Richmond 2019",2019-03-30 00:00:00.000,250,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSATRVA","Stratford University","11104 W. Broad Street","Glen Allen","Virginia","23060",2019-03-26 00:00:00.000
847,"SQLSaturday #847 - Orange County 2019",2019-04-13 00:00:00.000,400,"(GMT-08:00) Pacific Time (US and Canada); Tijuana","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatOC","Golden West College","15744 Goldenwest St","Orange County","California","92647",2019-03-26 00:00:00.000
848,"SQLSaturday #848 - Yaounde 2019",2019-04-27 00:00:00.000,70,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#YAOUNDE","Catholic University of Central Africa","16326 Coron Yaounde","Yaounde",", Cameroon","16326",2019-03-26 00:00:00.000
850,"SQLSaturday #850 - Budapest 2019",2019-04-20 00:00:00.000,250,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatBudapest","Gábor Dénes Főiskola","Mérnök utca 39","Budapest",", Hungary","1119",2019-03-26 00:00:00.000
851,"SQLSaturday #851 - Stockholm 2019",2019-05-04 00:00:00.000,150,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatsto","GIH, The Swedish School of Sport and Health Sciences","Lidingövägen 1","Stockholm","Stockholm County, Sweden","11433 Stockholm",2019-03-26 00:00:00.000
852,"SQLSaturday #852 - Finland 2019",2019-05-11 00:00:00.000,200,"(GMT+02:00) Cairo","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatFinland","Microsoft Finland HQ","Keilalahdentie 2-4","Helsinki",", Finland","02150 Espoo",2019-03-26 00:00:00.000
853,"SQLSaturday #853 - Plovdiv 2019",2019-06-22 00:00:00.000,300,"(GMT+02:00) Cairo","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatPlovdiv","Culture Centre ""Boris Hristov""","15 Gladston Str., 4000 Plovdiv, Bulgaria","Plovdiv","Plovdiv, Bulgaria","4000",2019-03-26 00:00:00.000
854,"SQLSaturday #854 - Oslo 2019",2019-08-31 00:00:00.000,300,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatOslo","Høyskolen Kristiania","Christian Krohgs gate 32","Oslo","Oslo, Norway","0186",2019-03-26 00:00:00.000
855,"SQLSaturday #855 - Albany 2019",2019-07-20 00:00:00.000,300,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatAlbany","SUNY Albany","1400 Washington Ave","Albany","New York","12222",2019-03-26 00:00:00.000
856,"SQLSaturday #856 - Rheinland 2019",2019-05-25 00:00:00.000,400,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatRheinland","Bonn-Rhein-Sieg University of Applied Sciences","Grantham-Allee 20","Sankt Augustin","North Rhine-Westphalia, Germany","53757",2019-03-26 00:00:00.000
857,"SQLSaturday #857 - Kyiv 2019",2019-05-18 00:00:00.000,700,"(GMT+02:00) Cairo","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatKyiv","Hotel President","12 Hospitalna street","Kyiv",", Ukraine","01601",2019-03-26 00:00:00.000
858,"SQLSaturday #858 - Athens 2019",2019-06-15 00:00:00.000,150,"(GMT+02:00) Harare, Pretoria","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatAthens","Microsoft Hellas","221 Kifisias Ave","Marousi","Attica, Greece","151 24",2019-03-26 00:00:00.000
860,"SQLSaturday #860 - Lviv 2019",2019-09-21 00:00:00.000,200,"(GMT+02:00) Cairo","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatLviv","Hotel Taurus","5, Kn. Sviatoslava Sq., Lviv, Ukraine","Lviv","L'vivs'ka Oblast', Ukraine","79016",2019-03-26 00:00:00.000
861,"SQLSaturday #861 - Columbus 2019",2019-06-08 00:00:00.000,200,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatColumbus","Roush Hall, Otterbein University","27 S Grove Street","Columbus","Ohio","43081",2019-03-26 00:00:00.000
862,"SQLSaturday #862 - Cork 2019",2019-06-29 00:00:00.000,200,"","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSATCORK","University College Cork","Western Gateway, Western Road, Cork","Cork","County Cork, Ireland","T12 XF62",2019-03-26 00:00:00.000
863,"SQLSaturday #863 - Raleigh 2019",2019-04-27 00:00:00.000,250,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatRaleigh","Wake Technical Community College - RTP Campus","10908 Chapel Hill Road, Morrisville","Raleigh","North Carolina","27560",2019-03-26 00:00:00.000
864,"SQLSaturday #864 - South Florida 2019",2019-06-08 00:00:00.000,700,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatSoFla","Nova Southeastern University","3301 College Ave","Davie","Florida","33314",2019-03-26 00:00:00.000
865,"SQLSaturday #865 - Melbourne 2019",2019-06-15 00:00:00.000,300,"(GMT+10:00) Brisbane","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatMelbourne","Northcote Town Hall","189 High Street, Northcote","Northcote","Victoria, Australia","3070",2019-03-26 00:00:00.000
866,"SQLSaturday #866 - Auckland 2019",2019-08-10 00:00:00.000,250,"(GMT+12:00) Fiji, Kamchatka, Marshall Is","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatAuckland","Unitec Institute of Technology","139 Carrington Rd, Mount Albert","Auckland","Auckland, New Zealand","1025",2019-03-26 00:00:00.000
867,"SQLSaturday #867 - Baton Rouge 2019",2019-08-17 00:00:00.000,500,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatBR","LSU College of Business - Business Education Complex","Nicholson Drive Ext","Baton Rouge","Louisiana","70803",2019-03-26 00:00:00.000
868,"SQLSaturday #868 - Kharkiv 2019",2019-09-28 00:00:00.000,200,"(GMT+02:00) Cairo","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatKharkiv","Fabrika","Blagovischenska str. 1","Kharkiv","Kharkiv Oblast, Ukraine","61052",2019-03-26 00:00:00.000
869,"SQLSaturday #869 - Phoenix 2019",2019-05-04 00:00:00.000,400,"(GMT-07:00) Arizona","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatPHX","Chandler-Gilbert Community College Pecos Campus","2626 East Pecos Road","Chandler","Arizona","85225",2019-03-26 00:00:00.000
870,"SQLSaturday #870 - Memphis 2019",2019-10-05 00:00:00.000,150,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatMemphis","FedEx Institute of Technology","365 Innovation Drive","Memphis","Tennessee","Memphis, TN  38111",2019-03-26 00:00:00.000
871,"SQLSaturday #871 - Sardegna 2019",2019-05-18 00:00:00.000,150,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSardegna","Palazzo delle Scienze - Università degli Studi di Cagliari","Via Ospedale, 72","Cagliari","Sardinia, Italy","09124",2019-03-26 00:00:00.000
872,"SQLSaturday #872 - Paris 2019",2019-06-15 00:00:00.000,100,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatParis","Le 253","253, rue du Faubourg Saint-Martin","Paris","Île-de-France, France","75010",2019-03-26 00:00:00.000
873,"SQLSaturday #873 - Bratislava 2019",2019-06-08 00:00:00.000,60,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatBratislava","Microsoft Slovakia, Apollo Business Center II, Prievozská 4D","Prievozská 4D","Bratislava",", Slovakia","821 09",2019-03-26 00:00:00.000
874,"SQLSaturday #874 - Timisoara 2019",2019-06-08 00:00:00.000,150,"(GMT+02:00) Harare, Pretoria","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatTimisoara","Biblioteca Centrală a Universității Politehnica Timișoara","Bulevardul Vasile Pârvan 2b, Timișoara, Romania","Timișoara","Timiș County, Romania","300223",2019-03-26 00:00:00.000
875,"SQLSaturday #875 - Sydney 2019",2019-08-03 00:00:00.000,180,"(GMT+10:00) Brisbane","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSydney","Sydney Reactor","Level 10, Sydney Startup Hub  11-31 York St","Sydney","New South Wales, Australia","2159",2019-03-26 00:00:00.000
876,"SQLSaturday #876 - Santo Domingo 2019",2019-05-25 00:00:00.000,150,"","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSanto Domingo","Universidad Federico Henriquez y Carvajal","Av. Maximo Gómez Esq. Cesar Nicolas Penson, La Esperilla","Santo Domingo","Distrito Nacional, Dominican Republic","00000",2019-03-26 00:00:00.000
877,"SQLSaturday #877 - Boston 2019",2019-09-14 00:00:00.000,300,"(GMT-05:00) Eastern Time (US and Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatBoston","Microsoft (Burlington, MA)","5 Wayside Road","Burlington","Massachusetts","01803",2019-03-26 00:00:00.000
878,"SQLSaturday #878 - Sofia 2019",2019-10-12 00:00:00.000,450,"(GMT+02:00) Cairo","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSofia","Sofia Tech Park","Boulevard ""Tsarigradsko shose"" 111B","Sofia","Sofiya, Bulgaria","1784",2019-03-26 00:00:00.000
879,"SQLSaturday #879 - Cuiabá 2019",2019-07-13 00:00:00.000,400,"","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatCuiabá","UNIVAG Centro Universitário de Várzea Grande","Avenida Dom Orlando Chaves, 2655 - Cristo Rei, Várzea Grande - MT","Cuiabá","State of Mato Grosso, Brazil","78118000",2019-03-26 00:00:00.000
880,"SQLSaturday #880 - Munich 2019",2019-10-19 00:00:00.000,300,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat880","Microsoft Deutschland GmbH","Walter-Gropius-Str. 5","Munich","Bavaria, Germany","80807",2019-03-26 00:00:00.000
881,"SQLSaturday #881 - Chattanooga 2019",2019-06-22 00:00:00.000,200,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat881","Chattanooga State Community College","4501 Amnicola Highway","Chattanooga","Tennessee","37406",2019-03-26 00:00:00.000
882,"SQLSaturday #882 - Iowa City 2019",2019-06-22 00:00:00.000,125,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatiowa","University of Iowa - University Capitol Centre","201 S Clinton St","Iowa City","Iowa","52240",2019-03-26 00:00:00.000
883,"SQLSaturday #883 - Louisville 2019",2019-08-03 00:00:00.000,200,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatLouisville","University of Louisville, Founders Union, ShelbyHurst Campus","450 N Whittington Pkwy","Louisville","Kentucky","40222",2019-03-26 00:00:00.000
884,"SQLSaturday #884 - Pensacola 2019",2019-06-29 00:00:00.000,250,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatPensacola","Pensacola State College, Main Campus","1000 College Blvd","Pensacola","Florida","32504",2019-03-26 00:00:00.000
885,"SQLSaturday #885 - Sacramento 2019",2019-08-17 00:00:00.000,300,"(GMT-08:00) Pacific Time (US and Canada); Tijuana","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSacramento","Patrick Hays Learning Center","2700 Gateway Oaks Drive, Suite 2600","Sacramento","California","95833",2019-03-26 00:00:00.000
886,"SQLSaturday #886 - Indianapolis 2019",2019-08-17 00:00:00.000,325,"(GMT-05:00) Eastern Time (US and Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatINDY","Ivy Tech Noblesville","300 N 17th St","Noblesville","Indiana","46060",2019-03-26 00:00:00.000
887,"SQLSaturday #887 - Salt Lake City 2019",2019-08-03 00:00:00.000,200,"(GMT-07:00) Mountain Time (US and Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSATSLC","Karen G Miller Conference Center","9750 S 300 W Sandy, UT","Salt Lake City","Utah","84070",2019-03-26 00:00:00.000
888,"SQLSaturday #888 - Sioux Falls 2019",2019-08-10 00:00:00.000,200,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSioux Falls","Augustana University, Froiland Science Complex (33rd  Summit Ave)","2001 S Summit Ave","Sioux Falls","South Dakota","57197",2019-03-26 00:00:00.000
890,"SQLSaturday #890 - Austin 2019",2019-07-13 00:00:00.000,250,"(GMT-06:00) Saskatchewan","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatAustin","St Edwards University","3001 S Congress Ave, Austin, TX","Austin","Texas","78704",2019-03-26 00:00:00.000
891,"SQLSaturday #891 - Los Angeles 2019",2019-06-15 00:00:00.000,400,"(GMT-08:00) Pacific Time (US and Canada); Tijuana","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatLA","Loyola Marymount University (""LMU"")","1 LMU Drive, Los Angeles, California","Los Angeles","California","90045",2019-03-26 00:00:00.000
892,"SQLSaturday #892 - Providence 2019",2019-08-24 00:00:00.000,150,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat892","NEIT","1408 Division Rd","East Greenwich","Rhode Island","02818",2019-03-26 00:00:00.000
893,"SQLSaturday #893 - Singapore 2019",2019-08-31 00:00:00.000,200,"(GMT+08:00) Irkutsk, Ulaan Bataar","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSingapore","Microsoft Singapore Operations Pte Ltd"," #22-01 One Marina Boulevard","Singapore","Singapore, Singapore","018989",2019-03-26 00:00:00.000
