Date,Holiday
2008-02-18 00:00:00.000,"Presidents' Day"
2008-05-26 00:00:00.000,"Memorial Day"
2008-07-04 00:00:00.000,"Independence Day"
2008-09-01 00:00:00.000,"Labor Day"
2008-10-13 00:00:00.000,"Columbus Day"
2008-11-11 00:00:00.000,"Veterans Day"
2008-11-27 00:00:00.000,"Thanksgiving Day"
2008-12-25 00:00:00.000,"Christmas Day"
2007-01-01 00:00:00.000,"New Year's Day"
2007-01-15 00:00:00.000,"Martin Luther King Jr. Day"
2007-02-19 00:00:00.000,"Presidents' Day"
2007-05-28 00:00:00.000,"Memorial Day"
2007-07-04 00:00:00.000,"Independence Day"
2007-09-03 00:00:00.000,"Labor Day"
2007-10-08 00:00:00.000,"Columbus Day"
2007-11-11 00:00:00.000,"Veterans Day"
2007-11-22 00:00:00.000,"Thanksgiving Day"
2007-12-25 00:00:00.000,"Christmas Day"
2006-01-01 00:00:00.000,"New Year's Day"
2006-01-16 00:00:00.000,"Martin Luther King Jr. Day"
2006-02-20 00:00:00.000,"Presidents' Day"
2006-05-29 00:00:00.000,"Memorial Day"
2006-07-04 00:00:00.000,"Independence Day"
2006-09-04 00:00:00.000,"Labor Day"
2006-10-09 00:00:00.000,"Columbus Day"
2006-11-11 00:00:00.000,"Veterans Day"
2006-11-23 00:00:00.000,"Thanksgiving Day"
2006-12-25 00:00:00.000,"Christmas Day"
2005-01-01 00:00:00.000,"New Year's Day"
2005-01-17 00:00:00.000,"Martin Luther King Jr. Day"
2005-02-21 00:00:00.000,"Presidents' Day"
2005-05-30 00:00:00.000,"Memorial Day"
2005-07-04 00:00:00.000,"Independence Day"
2005-09-05 00:00:00.000,"Labor Day"
2005-10-10 00:00:00.000,"Columbus Day"
2005-11-11 00:00:00.000,"Veterans Day"
2005-11-24 00:00:00.000,"Thanksgiving Day"
2005-12-25 00:00:00.000,"Christmas Day"
2004-01-01 00:00:00.000,"New Year's Day"
2004-01-19 00:00:00.000,"Martin Luther King Jr. Day"
2004-02-16 00:00:00.000,"Presidents' Day"
2004-05-31 00:00:00.000,"Memorial Day"
2004-07-04 00:00:00.000,"Independence Day"
2004-09-06 00:00:00.000,"Labor Day"
2004-10-11 00:00:00.000,"Columbus Day"
2004-11-11 00:00:00.000,"Veterans Day"
2004-11-25 00:00:00.000,"Thanksgiving Day"
2004-12-25 00:00:00.000,"Christmas Day"
2003-01-01 00:00:00.000,"New Year's Day"
2003-01-20 00:00:00.000,"Martin Luther King Jr. Day"
2003-02-17 00:00:00.000,"Presidents' Day"
2003-05-26 00:00:00.000,"Memorial Day"
2003-07-04 00:00:00.000,"Independence Day"
2003-09-01 00:00:00.000,"Labor Day"
2003-10-13 00:00:00.000,"Columbus Day"
2003-11-11 00:00:00.000,"Veterans Day"
2003-11-27 00:00:00.000,"Thanksgiving Day"
2003-12-25 00:00:00.000,"Christmas Day"
2002-01-01 00:00:00.000,"New Year's Day"
2002-01-21 00:00:00.000,"Martin Luther King Jr. Day"
2002-02-18 00:00:00.000,"Presidents' Day"
2002-05-27 00:00:00.000,"Memorial Day"
2002-07-04 00:00:00.000,"Independence Day"
2002-09-02 00:00:00.000,"Labor Day"
2002-10-14 00:00:00.000,"Columbus Day"
2002-11-11 00:00:00.000,"Veterans Day"
2002-11-28 00:00:00.000,"Thanksgiving Day"
2002-12-25 00:00:00.000,"Christmas Day"
2001-01-01 00:00:00.000,"New Year's Day"
2001-01-15 00:00:00.000,"Martin Luther King Jr. Day"
2001-02-19 00:00:00.000,"Presidents' Day"
2001-05-28 00:00:00.000,"Memorial Day"
2001-07-04 00:00:00.000,"Independence Day"
2001-09-03 00:00:00.000,"Labor Day"
2001-10-08 00:00:00.000,"Columbus Day"
2001-11-11 00:00:00.000,"Veterans Day"
2001-11-22 00:00:00.000,"Thanksgiving Day"
2001-12-25 00:00:00.000,"Christmas Day"
2000-01-01 00:00:00.000,"New Year's Day"
2000-01-17 00:00:00.000,"Martin Luther King Jr. Day"
2000-02-21 00:00:00.000,"Presidents' Day"
2000-05-29 00:00:00.000,"Memorial Day"
2000-07-04 00:00:00.000,"Independence Day"
2000-09-04 00:00:00.000,"Labor Day"
2000-10-09 00:00:00.000,"Columbus Day"
2000-11-11 00:00:00.000,"Veterans Day"
2000-11-23 00:00:00.000,"Thanksgiving Day"
2000-12-25 00:00:00.000,"Christmas Day"
1999-01-01 00:00:00.000,"New Year's Day"
1999-01-18 00:00:00.000,"Martin Luther King Jr. Day"
1999-02-15 00:00:00.000,"Presidents' Day"
1999-05-31 00:00:00.000,"Memorial Day"
1999-07-04 00:00:00.000,"Independence Day"
1999-09-06 00:00:00.000,"Labor Day"
1999-10-11 00:00:00.000,"Columbus Day"
1999-11-11 00:00:00.000,"Veterans Day"
1999-11-25 00:00:00.000,"Thanksgiving Day"
1999-12-25 00:00:00.000,"Christmas Day"
1998-01-01 00:00:00.000,"New Year's Day"
1998-01-19 00:00:00.000,"Martin Luther King Jr. Day"
1998-02-16 00:00:00.000,"Presidents' Day"
1998-05-25 00:00:00.000,"Memorial Day"
1998-07-04 00:00:00.000,"Independence Day"
1998-09-07 00:00:00.000,"Labor Day"
1998-10-12 00:00:00.000,"Columbus Day"
1998-11-11 00:00:00.000,"Veterans Day"
1998-11-26 00:00:00.000,"Thanksgiving Day"
1998-12-25 00:00:00.000,"Christmas Day"
1997-01-01 00:00:00.000,"New Year's Day"
1997-01-20 00:00:00.000,"Martin Luther King Jr. Day"
1997-02-17 00:00:00.000,"Presidents' Day"
1997-05-26 00:00:00.000,"Memorial Day"
1997-07-04 00:00:00.000,"Independence Day"
1997-09-01 00:00:00.000,"Labor Day"
1997-10-13 00:00:00.000,"Columbus Day"
1997-11-11 00:00:00.000,"Veterans Day"
1997-11-27 00:00:00.000,"Thanksgiving Day"
1997-12-25 00:00:00.000,"Christmas Day"
1996-01-01 00:00:00.000,"New Year's Day"
1996-01-15 00:00:00.000,"Martin Luther King Jr. Day"
1996-02-19 00:00:00.000,"Presidents' Day"
1996-05-27 00:00:00.000,"Memorial Day"
1996-07-04 00:00:00.000,"Independence Day"
1996-09-02 00:00:00.000,"Labor Day"
1996-10-14 00:00:00.000,"Columbus Day"
1996-11-11 00:00:00.000,"Veterans Day"
1996-11-28 00:00:00.000,"Thanksgiving Day"
1996-12-25 00:00:00.000,"Christmas Day"
1995-01-01 00:00:00.000,"New Year's Day"
1995-01-16 00:00:00.000,"Martin Luther King Jr. Day"
1995-02-20 00:00:00.000,"Presidents' Day"
1995-05-29 00:00:00.000,"Memorial Day"
1995-07-04 00:00:00.000,"Independence Day"
1995-09-04 00:00:00.000,"Labor Day"
1995-10-09 00:00:00.000,"Columbus Day"
1995-11-11 00:00:00.000,"Veterans Day"
1995-11-23 00:00:00.000,"Thanksgiving Day"
1995-12-25 00:00:00.000,"Christmas Day"
1994-01-01 00:00:00.000,"New Year's Day"
1994-01-17 00:00:00.000,"Martin Luther King Jr. Day"
1994-02-21 00:00:00.000,"Presidents' Day"
1994-05-30 00:00:00.000,"Memorial Day"
1994-07-04 00:00:00.000,"Independence Day"
1994-09-05 00:00:00.000,"Labor Day"
1994-10-10 00:00:00.000,"Columbus Day"
1994-11-11 00:00:00.000,"Veterans Day"
1994-11-24 00:00:00.000,"Thanksgiving Day"
1994-12-25 00:00:00.000,"Christmas Day"
1993-01-01 00:00:00.000,"New Year's Day"
1993-01-18 00:00:00.000,"Martin Luther King Jr. Day"
1993-02-15 00:00:00.000,"Presidents' Day"
1993-05-31 00:00:00.000,"Memorial Day"
1993-07-04 00:00:00.000,"Independence Day"
1993-09-06 00:00:00.000,"Labor Day"
1993-10-11 00:00:00.000,"Columbus Day"
1993-11-11 00:00:00.000,"Veterans Day"
1993-11-25 00:00:00.000,"Thanksgiving Day"
1993-12-25 00:00:00.000,"Christmas Day"
1992-01-01 00:00:00.000,"New Year's Day"
1992-01-20 00:00:00.000,"Martin Luther King Jr. Day"
1992-02-17 00:00:00.000,"Presidents' Day"
1992-05-25 00:00:00.000,"Memorial Day"
1992-07-04 00:00:00.000,"Independence Day"
1992-09-07 00:00:00.000,"Labor Day"
1992-10-12 00:00:00.000,"Columbus Day"
1992-11-11 00:00:00.000,"Veterans Day"
1992-11-26 00:00:00.000,"Thanksgiving Day"
1992-12-25 00:00:00.000,"Christmas Day"
1991-01-01 00:00:00.000,"New Year's Day"
1991-01-21 00:00:00.000,"Martin Luther King Jr. Day"
1991-02-18 00:00:00.000,"Presidents' Day"
1991-05-27 00:00:00.000,"Memorial Day"
1991-07-04 00:00:00.000,"Independence Day"
1991-09-02 00:00:00.000,"Labor Day"
1991-10-14 00:00:00.000,"Columbus Day"
1991-11-11 00:00:00.000,"Veterans Day"
1991-11-28 00:00:00.000,"Thanksgiving Day"
1991-12-25 00:00:00.000,"Christmas Day"
1990-01-01 00:00:00.000,"New Year's Day"
1990-01-15 00:00:00.000,"Martin Luther King Jr. Day"
1990-02-19 00:00:00.000,"Presidents' Day"
1990-05-28 00:00:00.000,"Memorial Day"
1990-07-04 00:00:00.000,"Independence Day"
1990-09-03 00:00:00.000,"Labor Day"
1990-10-08 00:00:00.000,"Columbus Day"
1990-11-11 00:00:00.000,"Veterans Day"
1990-11-22 00:00:00.000,"Thanksgiving Day"
1990-12-25 00:00:00.000,"Christmas Day"
1989-01-01 00:00:00.000,"New Year's Day"
1989-01-16 00:00:00.000,"Martin Luther King Jr. Day"
1989-02-20 00:00:00.000,"Presidents' Day"
1989-05-29 00:00:00.000,"Memorial Day"
1989-07-04 00:00:00.000,"Independence Day"
1989-09-04 00:00:00.000,"Labor Day"
1989-10-09 00:00:00.000,"Columbus Day"
1989-11-11 00:00:00.000,"Veterans Day"
1989-11-23 00:00:00.000,"Thanksgiving Day"
1989-12-25 00:00:00.000,"Christmas Day"
1988-01-01 00:00:00.000,"New Year's Day"
1988-01-18 00:00:00.000,"Martin Luther King Jr. Day"
1988-02-15 00:00:00.000,"Presidents' Day"
1988-05-30 00:00:00.000,"Memorial Day"
1988-07-04 00:00:00.000,"Independence Day"
1988-09-05 00:00:00.000,"Labor Day"
1988-10-10 00:00:00.000,"Columbus Day"
1988-11-24 00:00:00.000,"Thanksgiving Day"
1988-12-25 00:00:00.000,"Christmas Day"
1987-01-01 00:00:00.000,"New Year's Day"
1987-01-19 00:00:00.000,"Martin Luther King Jr. Day"
1987-02-16 00:00:00.000,"Presidents' Day"
1987-05-25 00:00:00.000,"Memorial Day"
1987-07-04 00:00:00.000,"Independence Day"
1987-09-07 00:00:00.000,"Labor Day"
1987-10-12 00:00:00.000,"Columbus Day"
1987-11-11 00:00:00.000,"Veterans Day"
1987-11-26 00:00:00.000,"Thanksgiving Day"
1987-12-25 00:00:00.000,"Christmas Day"
1986-01-01 00:00:00.000,"New Year's Day"
1986-01-20 00:00:00.000,"Martin Luther King Jr. Day"
1986-02-17 00:00:00.000,"Presidents' Day"
1986-05-26 00:00:00.000,"Memorial Day"
1986-07-04 00:00:00.000,"Independence Day"
1986-09-01 00:00:00.000,"Labor Day"
1986-10-13 00:00:00.000,"Columbus Day"
1986-11-11 00:00:00.000,"Veterans Day"
1986-11-27 00:00:00.000,"Thanksgiving Day"
1986-12-25 00:00:00.000,"Christmas Day"
1985-01-01 00:00:00.000,"New Year's Day"
1985-01-21 00:00:00.000,"Martin Luther King Jr. Day"
1985-02-18 00:00:00.000,"Presidents' Day"
1985-05-27 00:00:00.000,"Memorial Day"
1985-07-04 00:00:00.000,"Independence Day"
1985-09-02 00:00:00.000,"Labor Day"
1985-10-14 00:00:00.000,"Columbus Day"
1985-11-11 00:00:00.000,"Veterans Day"
1985-11-28 00:00:00.000,"Thanksgiving Day"
1985-12-25 00:00:00.000,"Christmas Day"
1984-01-01 00:00:00.000,"New Year's Day"
1984-02-20 00:00:00.000,"Presidents' Day"
1984-05-28 00:00:00.000,"Memorial Day"
1984-07-04 00:00:00.000,"Independence Day"
1984-09-03 00:00:00.000,"Labor Day"
1984-10-08 00:00:00.000,"Columbus Day"
1984-11-11 00:00:00.000,"Veterans Day"
1984-11-22 00:00:00.000,"Thanksgiving Day"
1984-12-25 00:00:00.000,"Christmas Day"
1983-01-01 00:00:00.000,"New Year's Day"
1983-02-21 00:00:00.000,"Presidents' Day"
1983-05-30 00:00:00.000,"Memorial Day"
1983-07-04 00:00:00.000,"Independence Day"
1983-09-05 00:00:00.000,"Labor Day"
1983-10-10 00:00:00.000,"Columbus Day"
1983-11-11 00:00:00.000,"Veterans Day"
1983-11-24 00:00:00.000,"Thanksgiving Day"
1983-12-25 00:00:00.000,"Christmas Day"
1982-01-01 00:00:00.000,"New Year's Day"
1982-02-15 00:00:00.000,"Presidents' Day"
1982-05-31 00:00:00.000,"Memorial Day"
1982-07-04 00:00:00.000,"Independence Day"
1982-09-06 00:00:00.000,"Labor Day"
1982-10-11 00:00:00.000,"Columbus Day"
1982-11-11 00:00:00.000,"Veterans Day"
1982-11-25 00:00:00.000,"Thanksgiving Day"
1982-12-25 00:00:00.000,"Christmas Day"
1981-01-01 00:00:00.000,"New Year's Day"
1981-02-16 00:00:00.000,"Presidents' Day"
1981-05-25 00:00:00.000,"Memorial Day"
1981-07-04 00:00:00.000,"Independence Day"
1981-09-07 00:00:00.000,"Labor Day"
1981-10-12 00:00:00.000,"Columbus Day"
1981-11-11 00:00:00.000,"Veterans Day"
1981-11-26 00:00:00.000,"Thanksgiving Day"
1981-12-25 00:00:00.000,"Christmas Day"
1980-01-01 00:00:00.000,"New Year's Day"
1980-02-18 00:00:00.000,"Presidents' Day"
1980-05-26 00:00:00.000,"Memorial Day"
1980-07-04 00:00:00.000,"Independence Day"
1980-09-01 00:00:00.000,"Labor Day"
1980-10-13 00:00:00.000,"Columbus Day"
1980-11-11 00:00:00.000,"Veterans Day"
1980-11-27 00:00:00.000,"Thanksgiving Day"
1980-12-25 00:00:00.000,"Christmas Day"
1979-01-01 00:00:00.000,"New Year's Day"
1979-02-19 00:00:00.000,"Presidents' Day"
1979-05-28 00:00:00.000,"Memorial Day"
1979-07-04 00:00:00.000,"Independence Day"
1979-09-03 00:00:00.000,"Labor Day"
1979-10-08 00:00:00.000,"Columbus Day"
1979-11-11 00:00:00.000,"Veterans Day"
1979-11-22 00:00:00.000,"Thanksgiving Day"
1979-12-25 00:00:00.000,"Christmas Day"
1978-01-01 00:00:00.000,"New Year's Day"
1978-02-20 00:00:00.000,"Presidents' Day"
1978-05-29 00:00:00.000,"Memorial Day"
1978-07-04 00:00:00.000,"Independence Day"
1978-09-04 00:00:00.000,"Labor Day"
1978-10-09 00:00:00.000,"Columbus Day"
1978-11-11 00:00:00.000,"Veterans Day"
1978-11-23 00:00:00.000,"Thanksgiving Day"
1978-12-25 00:00:00.000,"Christmas Day"
1977-01-01 00:00:00.000,"New Year's Day"
1977-02-21 00:00:00.000,"Presidents' Day"
1977-05-30 00:00:00.000,"Memorial Day"
1977-07-04 00:00:00.000,"Independence Day"
1977-09-05 00:00:00.000,"Labor Day"
1977-10-10 00:00:00.000,"Columbus Day"
1977-11-11 00:00:00.000,"Veterans Day"
1977-11-24 00:00:00.000,"Thanksgiving Day"
1977-12-25 00:00:00.000,"Christmas Day"
1976-01-01 00:00:00.000,"New Year's Day"
1976-02-16 00:00:00.000,"Presidents' Day"
1976-05-31 00:00:00.000,"Memorial Day"
1976-07-04 00:00:00.000,"Independence Day"
1976-09-06 00:00:00.000,"Labor Day"
1976-10-11 00:00:00.000,"Columbus Day"
1976-11-11 00:00:00.000,"Veterans Day"
1976-11-25 00:00:00.000,"Thanksgiving Day"
1976-12-25 00:00:00.000,"Christmas Day"
1975-01-01 00:00:00.000,"New Year's Day"
1975-02-17 00:00:00.000,"Presidents' Day"
1975-05-26 00:00:00.000,"Memorial Day"
1975-07-04 00:00:00.000,"Independence Day"
1975-09-01 00:00:00.000,"Labor Day"
1975-10-13 00:00:00.000,"Columbus Day"
1975-11-11 00:00:00.000,"Veterans Day"
1975-11-27 00:00:00.000,"Thanksgiving Day"
1975-12-25 00:00:00.000,"Christmas Day"
1974-01-01 00:00:00.000,"New Year's Day"
1974-02-18 00:00:00.000,"Presidents' Day"
1974-05-27 00:00:00.000,"Memorial Day"
1974-07-04 00:00:00.000,"Independence Day"
1974-09-02 00:00:00.000,"Labor Day"
1974-10-14 00:00:00.000,"Columbus Day"
1974-11-11 00:00:00.000,"Veterans Day"
1974-11-28 00:00:00.000,"Thanksgiving Day"
1974-12-25 00:00:00.000,"Christmas Day"
1973-01-01 00:00:00.000,"New Year's Day"
1973-02-19 00:00:00.000,"Presidents' Day"
1973-05-28 00:00:00.000,"Memorial Day"
1973-07-04 00:00:00.000,"Independence Day"
1973-09-03 00:00:00.000,"Labor Day"
1973-10-08 00:00:00.000,"Columbus Day"
1973-11-11 00:00:00.000,"Veterans Day"
1973-11-22 00:00:00.000,"Thanksgiving Day"
1973-12-25 00:00:00.000,"Christmas Day"
1972-01-01 00:00:00.000,"New Year's Day"
1972-02-21 00:00:00.000,"Presidents' Day"
1972-05-29 00:00:00.000,"Memorial Day"
1972-07-04 00:00:00.000,"Independence Day"
1972-09-04 00:00:00.000,"Labor Day"
1972-10-09 00:00:00.000,"Columbus Day"
1972-11-11 00:00:00.000,"Veterans Day"
