CRP,ID,Year2,Title,Stage,Type2,Contribution 2,Leader,NextUsers,Geographical scope,Country,Region,link,Index2
"CCAFS",246,2018,"New method for GHG measurements with closed chambers at night time","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","IRRI","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=246&phaseID=56",99
"CCAFS",272,2018,"Decision-making tool for national implementation of the Plant Treatys multilateral system of access and benefit-sharing","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=272&phaseID=56",100
"CCAFS",311,2018,"Framework of analysis of country-level mitigation potential from agricultural sector","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Lead Contribution","CIMMYT","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=311&phaseID=56",102
"Livestock",701,2018,"Global Agricultural Data Innovation and Acceleration Network (GARDIAN)","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=701&phaseID=65",106
"Livestock",761,2018,"Standardized protocols to gather information on antimicrobial use","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=761&phaseID=60",133
"A4NH",666,2018,"Integrated and participatory nutrition and food safety risk assessment for wet markets","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ILRI","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=666&phaseID=59",158
"Livestock",572,2018,"Tool combining different methods to identify priority diseases in livestock systems","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=572&phaseID=60",166
"Rice",662,2018,"Pathotracer, a platform to take informed-decision on rice diseases","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Sole Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=662&phaseID=189",171
"Rice",664,2018,"Prototype Data Hub","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=664&phaseID=189",173
"Rice",617,2018,"Novel training and business model for linking farmers to markets for sustainable rice production","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=617&phaseID=189",195
"Rice",622,2018,"Training Module: Life Cycle Assessment for Agriculture","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=622&phaseID=189",200
"FTA",768,2018,"Ensemble species distribution modelling with transformed suitability values","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=768&phaseID=61",242
"FTA",769,2018,"Three BiodiversityR packages for Community Ecology and Suitability Analysis","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=769&phaseID=61",243
"FTA",770,2018,"Community Ecology Packages","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=770&phaseID=61",244
"PIM",353,2019,"17 game prototypes developed around food security and climate change","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","Utrecht University","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=353&phaseID=101",251
"WLE",713,2018,"Dynamic Research EvaluAtion for Management, Python version (DREAMpy): open source software for evaluating the economic impacts of agricultural research and development projects","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=713&phaseID=57",261
"A4NH",629,2018,"Launched a collection of outputs on how to design nutrition-sensitive value chain (NSVC) projects","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=629&phaseID=59",263
"A4NH",642,2018,"Evidence on how to leverage neglected and underutilized species (NUS) to improve nutrition","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=642&phaseID=59",265
"PIM",1458,2019,"Participatory Models for Biodiversity Conservation - An interactive map","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","CIFOR","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1458&phaseID=102",289
"WLE",1502,2019,"Diversity assessment tool for agrobiodiversity and resilience (DATAR)","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","PAR","","Global","","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1502&phaseID=103",297
"A4NH",1509,2019,"The Royal Swedish Academy of Engineering Sciences selected the Global Soil Data Manager application as one of the top 60 innovative ideas.","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","CIAT","","Global","","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1509&phaseID=103",299
"FTA",1467,2019,"Vegan Community Ecology Package","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1467&phaseID=106",345
"FTA",1468,2019,"New version of the Agroforestry Species Switchboard.","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1468&phaseID=106",346
"FTA",1471,2019,"Two new BiodiversityR packages for Community Ecology and Suitability Analysis","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1471&phaseID=106",347
"FTA",1516,2019,"WorldFlora: Standardize Plant Names According to World Flora Online Taxonomic Backbone. Version 1.1.","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1516&phaseID=106",350
"FTA",1517,2019,"Priority Food Tree and Crop Food Composition Database","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1517&phaseID=106",351
"FTA",1519,2019,"One new maxlike package developed: Model Species Distributions by Estimating the Probability of Occurrence Using Presence-Only Data","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1519&phaseID=106",353
"FTA",1528,2019,"The Economics of Ecosystem Restoration (TEER): Database of costs and benefits of restoration. Partnership with FAO and others.","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","FAO","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1528&phaseID=106",356
"FTA",1531,2019,"Integrated modelling capacity to incorporate APSIM crop model predictions in Simile livelihood trajectory models","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1531&phaseID=106",358
"BigData",741,2019,"Infrastructure mapping and strategy engagements","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","CIAT","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=741&phaseID=110",361
"BigData",1095,2019,"Agronomy Ontology","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1095&phaseID=110",362
"BigData",1157,2019,"Best practices for FAIR, ethical, and open data assets","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1157&phaseID=110",365
"BigData",1158,2019,"CGIAR Expert Finder","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1158&phaseID=110",366
"BigData",1159,2019,"Agronomy Field Information Management System (AgroFIMS)","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1159&phaseID=110",367
"BigData",1161,2019,"GARDIAN Labs, a service to enable researchers to collaborate and share data and analytic approaches and tools","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","SCiO","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1161&phaseID=110",369
"BigData",1162,2019,"GARDIAN PII checker to minimze risk of personally-identifiable information in datasets","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","SCiO","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1162&phaseID=110",370
"Rice",1292,2019,"Image analysis software ( CIAT pheno-i)","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=1292&phaseID=192",380
"RTB",890,2018,"Musa Germplasm Information System (MGIS)","Stage 4: uptake by next user (USE)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=890&phaseID=259",382
"RTB",1555,2019,"Scaling Readiness","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","WUR","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1555&phaseID=262",392
"RTB",1568,2019,"Pestdisplace: platform to integrate and collectively monitor the occurrence and movement of pests and diseases in RTB and other crops","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1568&phaseID=262",397
"GLDC",1629,2019,"Multi-model systems analysis to identify Low Emissions Development Pathways – exploring synergies and trade-offs in Mahbubnagar District, Telangana, India","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","ICRISAT","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1629&phaseID=282",399
"GLDC",1651,2019,"A multi-dimensional scenario analysis","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1651&phaseID=282",421
"GLDC",1652,2019,"Cropping system modelling tools","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1652&phaseID=282",422
"GLDC",1656,2019,"RapidGen (RGT) Platform","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRISAT","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1656&phaseID=282",426
"GLDC",1660,2019,"Genome editing platform for sorghum","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","ICRISAT","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1660&phaseID=282",430
"CCAFS",298,2018,"Tool to integrate and measure gender equality in monitoring and evaluation of climate services","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","Sole Contribution","Columbia University","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=298&phaseID=56",2
"CCAFS",428,2018,"Qualitative methodological approach to better understand the socioeconomic factors that influence adoption of Climate-Smart Agricultural options in smallholder farming communities.","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","Sole Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=428&phaseID=56",6
"Rice",645,2018,"Implementation of drone HTP phenotyping in multiple sites globally","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=645&phaseID=189",25
"CCAFS",677,2018,"Rice lines with improved water use efficiency and nitrogen use efficiency","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Lead Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=677&phaseID=189",30
"Livestock",445,2018,"New Brachiaria hybrid ""Camello""","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=445&phaseID=60",37
"Livestock",446,2018,"Commercialization of CIAT's Urochloa hybrids (e.g. Mulato II, Cayman, Cobra) through private sector partner","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=446&phaseID=60",38
"Livestock",454,2018,"New Urochloa interspecific hybrids","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=454&phaseID=60",40
"Livestock",455,2018,"New Urochloa humidicola hybrids","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=455&phaseID=60",41
"Livestock",456,2018,"New Megathyrsus hybrids","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=456&phaseID=60",42
"RTB",904,2018,"Scaling readiness approach - A science-based approach to develop scaling strategies","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","WUR","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=904&phaseID=259",88
"RTB",905,2018,"Guidelines for innovation platforms in agricultural research for development: decision support fon how to design, budget and implement impactfull innovation","Stage 4: uptake by next user (USE)","Social Science","OTHER","IITA","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=905&phaseID=259",89
"RTB",911,2018,"A framework for priority-setting in climate smart agriculture (CSA) research","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","CIP","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=911&phaseID=259",91
"RTB",925,2018,"Ground penetrating radar for estimating root bulking rate in cassava","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","OTHER","CIAT","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=925&phaseID=259",94
"RTB",929,2018,"Gender checklist for introducing new Root and Tuber Crops technologies to men and women","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","CIP","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=929&phaseID=259",95
"RTB",930,2018,"Gender-responsive participatory videos: a guide for facilitators","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","CIP","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=930&phaseID=259",96
"CCAFS",931,2018,"Gender in Agricultural Mechanization: Key guiding questions.","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","CIP","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=931&phaseID=259",97
"FTA",758,2018,"A novel technique for measuring protective potential of candidate East Coast fever vaccines","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","Sole Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=758&phaseID=60",115
"Livestock",756,2018,"Nanotechnology for East Coast fever vaccine development for cattle","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","Lead Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=756&phaseID=60",129
"Livestock",757,2018,"New vaccine method conferring partial protection against lethal East Coast fever in cattle","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","Lead Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=757&phaseID=60",130
"Livestock",759,2018,"In vivo role of capsular polysaccharide in Mycoplasma mycoides","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","Lead Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=759&phaseID=60",131
"Livestock",760,2018,"Identification of targets of Mycoplasma mycoides subspecies mycoides","Stage 2: successful piloting (PIL - end of piloting phase)","Biophysical Research","Lead Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=760&phaseID=60",132
"Livestock",762,2018,"One Health antimicrobial resistance surveillance in Vietnam","Stage 2: successful piloting (PIL - end of piloting phase)","Biophysical Research","Lead Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=762&phaseID=60",134
"Livestock",331,2018,"Protocol for characterizing community-based rangeland management cases","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","Partial Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=331&phaseID=60",139
"PIM",473,2018,"Options for keeping the food system within environmental limits","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","OTHER","University of Oxford","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=473&phaseID=57",151
"PIM",695,2018,"Rights actualization model for a land tenure diagnostic to assess forest restoration opportunities","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","CIFOR","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=695&phaseID=57",152
"A4NH",593,2018,"Pen-side diagnostic assay for cysticercosis","Stage 2: successful piloting (PIL - end of piloting phase)","Biophysical Research","OTHER","ILRI","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=593&phaseID=59",156
"Rice",624,2018,"IRRI Rice Quality Kit","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Sole Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=624&phaseID=189",170
"Rice",668,2018,"Early-maturity loci introgression","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Sole Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=668&phaseID=189",174
"Rice",533,2018,"Solar Bubble Dryer version 2","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","University of Hohenheim","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=533&phaseID=189",176
"Rice",535,2018,"Super bag rice grain storage","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=535&phaseID=189",178
"Rice",605,2018,"Field Calculator","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=605&phaseID=189",184
