valor,protocolo,semestre,ano,FK_servico,FK_grupo_resp,FK_municipio,FK_Data,valor_num,FK_Atributo,tipo
1,2021.9-125.1167,,2,134,1,3,,1.0,134,INTEGER
1,2021.9-108.1127,,2021,202,1,13,2021-01-01 00:00:00.000,1.0,202,BOOLEAN
8,2021.9-125.1160,,2015,109,1,12,,8.0,109,INTEGER
79,2021.10-139.1169,,2021,97,1,2,2021-01-01 00:00:00.000,79.0,97,INTEGER
0,2021.9-108.1151,,2021,220,1,9,2021-01-01 00:00:00.000,0.0,220,INTEGER
66,2021.10-139.1169,,2021,82,1,2,2021-01-01 00:00:00.000,66.0,82,INTEGER
0,2021.9-125.1167,,2,126,1,3,,0.0,126,INTEGER
0,2021.9-108.1111,,2021,293,1,4,2021-01-01 00:00:00.000,0.0,228,INTEGER
1,2021.9-108.1154,,2021,219,1,2,2021-01-01 00:00:00.000,1.0,219,INTEGER
9,2021.9-120.1166,,2015,185,1,12,,9.0,185,INTEGER
1,2021.9-108.1154,,2021,206,1,2,2021-01-01 00:00:00.000,1.0,206,BOOLEAN
0,2021.9-108.1153,,2021,242,1,2,2021-01-01 00:00:00.000,0.0,242,INTEGER
00,2021.9-108.1127,,2021,235,1,13,2021-01-01 00:00:00.000,0.0,235,INTEGER
80,2021.10-139.1169,,2021,98,1,2,2021-01-01 00:00:00.000,80.0,98,INTEGER
1,2021.9-108.1154,,2021,207,1,2,2021-01-01 00:00:00.000,1.0,207,BOOLEAN
1,2021.9-108.1106,,2021,217,1,7,2021-01-01 00:00:00.000,1.0,217,BOOLEAN
00,2021.9-108.1127,,2021,251,1,13,2021-01-01 00:00:00.000,0.0,251,INTEGER
00,2021.9-108.1126,,2021,241,1,13,2021-01-01 00:00:00.000,0.0,241,INTEGER
9,2021.9-123.1162,,2015,358,1,12,,9.0,184,INTEGER
1,2021.10-108.1175,1.0,2021,248,1,3,2021-01-01 00:00:00.000,1.0,248,INTEGER
82,2021.10-139.1169,,2021,100,1,2,2021-01-01 00:00:00.000,82.0,100,INTEGER
9,2021.9-125.1165,,2015,127,1,12,,9.0,127,INTEGER
9,2021.9-123.1162,,2015,347,1,12,,9.0,168,INTEGER
00,2021.9-108.1127,,2021,262,1,13,2021-01-01 00:00:00.000,0.0,262,INTEGER
0,2021.9-108.1106,,2021,244,1,7,2021-01-01 00:00:00.000,0.0,244,INTEGER
9,2021.9-125.1165,,2015,137,1,12,,9.0,137,INTEGER
1,2021.9-125.1167,,2,108,1,3,,1.0,108,INTEGER
00,2021.9-108.1127,,2021,224,1,13,2021-01-01 00:00:00.000,0.0,224,INTEGER
0,2021.9-108.1125,,2021,241,1,13,2021-01-01 00:00:00.000,0.0,241,INTEGER
0,2021.9-125.1167,,2,133,1,3,,0.0,133,INTEGER
0,2021.9-108.1154,,2021,249,1,2,2021-01-01 00:00:00.000,0.0,249,INTEGER
10,2021.9-108.1111,,2021,320,1,4,2021-01-01 00:00:00.000,10.0,231,INTEGER
1,2021.10-125.1173,,2021,108,1,1,2021-01-01 00:00:00.000,1.0,108,INTEGER
00,2021.9-108.1152,,2021,255,1,12,2021-01-01 00:00:00.000,0.0,255,INTEGER
1,2021.10-108.1175,1.0,2021,235,1,3,2021-01-01 00:00:00.000,1.0,235,INTEGER
1,2021.9-108.1153,,2021,232,1,2,2021-01-01 00:00:00.000,1.0,232,INTEGER
1,2021.10-108.1175,1.0,2021,250,1,3,2021-01-01 00:00:00.000,1.0,250,INTEGER
0,2021.9-108.1124,,2021,249,1,11,2021-01-01 00:00:00.000,0.0,249,INTEGER
1,2021.10-108.1175,1.0,2021,260,1,3,2021-01-01 00:00:00.000,1.0,260,INTEGER
4,2021.9-108.1134,,0,251,1,3,,4.0,251,INTEGER
76,2021.10-139.1169,,2021,93,1,2,2021-01-01 00:00:00.000,76.0,93,INTEGER
1,2021.9-108.1111,,2021,277,1,4,2021-01-01 00:00:00.000,1.0,212,BOOLEAN
0,2021.9-108.1125,,2021,253,1,13,2021-01-01 00:00:00.000,0.0,253,INTEGER
1,2021.10-140.1168,,2021,45,1,6,2021-01-01 00:00:00.000,1.0,45,BOOLEAN
00,2021.9-108.1127,,2021,218,1,13,2021-01-01 00:00:00.000,0.0,218,INTEGER
0,2021.9-108.1106,,2021,238,1,7,2021-01-01 00:00:00.000,0.0,238,INTEGER
0,2021.10-108.1175,1.0,2021,228,1,3,2021-01-01 00:00:00.000,0.0,228,INTEGER
0,2021.10-108.1175,1.0,2021,224,1,3,2021-01-01 00:00:00.000,0.0,224,INTEGER
9,2021.9-122.1163,,2015,187,1,12,,9.0,187,INTEGER
