Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Pop growth rate
"Aruba",38066,38263,38966,40151,41765,43729,45935,48244,50500,52536,54209,55436,56227,56698,57031,57362,57714,58052,58388,58725,59066,59439,59849,60238,60524,60654,60589,60366,60108,59980,60099,60570,61347,62208,62833,63030,62645,61830,61069,61026,62147,64642,68286,72573,76762,80323,83069,85161,86827,88442,90271,92363,94596,96875,99046,100996,102711,104225,105526,106612,107488,108141,108587,108883,1.8603740871118584
"Australia",8177344,8398540,8604679,8804552,9004634,9209085,9419635,9635700,9854726,10072762,10286184,10493531,10697112,10903699,11122567,11359763,11617580,11892163,12175746,12457299,12728362,12987847,13236895,13472175,13690285,13889696,14067994,14227905,14379565,14536839,14709918,14901610,15109659,15332790,15567927,15812088,16066496,16330369,16596096,16853690,17096153,17320633,17529469,17727413,17921818,18118416,18319637,18525153,18734878,18947894,19164351,19382188,19604051,19840120,20103822,20403520,20744295,21119988,21513817,21902300,22268384,22605732,22918688,23213944,1.8388122109085785
"Austria",6936445,6930746,6929474,6931618,6936580,6944174,6954658,6968701,6987299,7011632,7042634,7080528,7124432,7172179,7220812,7268015,7312775,7355039,7394601,7431574,7465908,7497731,7526469,7550638,7568347,7578498,7580564,7575669,7566450,7556551,7548798,7544359,7543194,7545472,7550960,7559621,7570906,7585345,7605095,7632984,7670513,7719577,7778255,7839625,7894229,7935624,7960464,7971553,7976117,7984694,8004712,8038480,8083059,8134235,8185553,8232196,8273208,8309783,8341806,8369639,8393644,8413429,8428915,8441263,0.21694369377973866
"Azerbaijan",2895997,2964962,3044695,3132625,3226823,3326002,3429548,3537490,3650388,3769151,3894494,4026358,4163396,4302765,4440733,4574500,4702919,4826262,4944932,5059921,5172002,5281238,5387375,5490572,5591016,5688997,5784587,5878259,5971198,6064905,6160502,6258490,6358780,6461139,6565062,6670151,6775858,6882160,6989708,7099449,7211692,7327570,7445925,7562075,7669735,7764798,7845310,7913692,7975648,8039312,8110723,8191464,8280252,8376733,8479668,8587902,8701719,8821012,8943600,9066604,9187783,9306023,9421233,9533445,2.2919388383344321
"Bahamas",79088,79982,81426,83368,85773,88616,91890,95601,99765,104405,109527,115112,121090,127340,133709,140063,146379,152623,158644,164263,169367,173875,177849,181490,185091,188870,192885,197090,201474,205990,210600,215330,220188,225083,229899,234553,238989,243236,247409,251671,256128,260845,265761,270701,275426,279774,283677,287217,290571,293988,297651,301606,305801,310201,314739,319358,324066,328861,333661,338358,342877,347176,351275,355233,3.4916169330366174
"Bahrain",115612,116860,119567,123402,128072,133321,138929,144713,150526,156258,161825,167179,172294,177170,181833,186351,190734,195111,199818,205291,211878,219532,228255,238468,250683,265160,282245,301559,321751,340980,357957,372074,383785,394164,404829,416929,430845,446142,462184,477995,492891,506685,519696,532362,545329,559069,574914,592986,611237,626765,638193,642510,642070,647164,671760,724807,811410,925733,1052359,1169578,1261835,1323535,1359485,1377273,10.912889665432655
"Bangladesh",37894678,39112507,40207573,41257838,42322978,43444382,44644395,45927072,47280463,48680410,50101943,51531438,52977254,54474293,56071080,57791778,59681186,61702785,63703327,65474474,66881158,67849312,68461849,68933357,69567500,70582168,72053923,73915723,76066342,78342736,80624423,82883616,85156396,87459802,89828434,92283598,94825499,97429290,100062322,102681627,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131,150493658,152408774,154393847,3.0742884000755994
"Barbados",210995,215673,219587,222747,225194,226999,228265,229123,229728,230248,230831,231574,232490,233496,234455,235271,235912,236443,236974,237657,238593,239841,241345,242949,244433,245646,246523,247128,247589,248101,248796,249716,250809,252017,253244,254419,255532,256602,257621,258588,259501,260351,261136,261885,262637,263416,264237,265088,265941,266758,267511,268192,268813,269389,269947,270503,271062,271618,272180,272750,273331,273925,274530,275141,0.30401668285978345
"Belarus",7745003,7717670,7710974,7724055,7755530,7803500,7865511,7938588,8019355,8104231,8190006,8274466,8356938,8438517,8521413,8607003,8695396,8785093,8874033,8959479,9039503,9113454,9181971,9246050,9307285,9367004,9425089,9481560,9538046,9596589,9658500,9724106,9792555,9862430,9931687,9998503,10062440,10122880,10177584,10223861,10259700,10284522,10298479,10301336,10293127,10274231,10244354,10204382,10157409,10107518,10057810,10009810,9963383,9917927,9872110,9825102,9776823,9728228,9680690,9636016,9595421,9559441,9527498,9498290,0.22637654239772398
"Belgium",8628489,8665736,8710135,8759521,8812159,8866744,8922420,8978760,9035709,9093483,9152271,9211920,9271655,9329967,9384939,9435244,9479970,9519500,9555402,9590007,9624908,9660688,9696539,9730978,9761867,9787677,9808403,9824685,9836487,9843898,9847297,9846320,9841800,9836784,9835279,9840123,9852488,9871551,9895654,9922158,9949019,9976325,10004469,10032084,10057529,10079873,10098192,10113392,10128653,10148371,10175684,10211264,10254025,10303108,10356993,10414209,10474993,10538758,10602167,10660938,10712066,10754056,10787788,10815599,0.25347543469082479
"Belize",68918,71147,73295,75437,77630,79909,82294,84781,87354,89981,92633,95294,97972,100707,103555,106546,109704,112987,116283,119435,122336,124973,127389,129600,131642,133562,135334,137009,138806,141014,143829,147358,151535,156171,160991,165792,170504,175192,179952,184935,190241,195895,201832,207962,214153,220311,226403,232446,238457,244471,250512,256582,262667,268760,274855,280947,287035,293124,299237,305398,311627,317928,324292,330721,3.7987608462230478
"Benin",2255222,2258097,2264492,2274125,2286767,2302243,2320433,2341271,2364737,2390851,2419644,2451123,2485248,2521922,2561022,2602490,2646310,2692610,2741672,2793872,2849508,2908713,2971515,3037990,3108179,3182130,3259918,3341618,3427274,3516917,3610578,3708675,3811326,3917941,4027682,4140176,4254522,4371470,4494242,4627194,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892,9099922,9351838,9606534,3.2596844124436526
"Bermuda",37260,37793,38424,39122,39865,40637,41426,42228,43041,43868,44713,45573,46436,47286,48092,48839,49516,50128,50690,51230,51765,52301,52831,53347,53832,54278,54682,55051,55396,55730,56064,56400,56739,57084,57441,57812,58201,58606,59016,59416,59795,60150,60483,60799,61104,61405,61701,61990,62275,62555,62834,63112,63388,63655,63905,64130,64328,64502,64657,64802,64941,65077,65208,65335,0.75348899624261945
"Bhutan",168377,174400,180287,186067,191769,197421,203054,208696,214379,220133,225993,232000,238201,244653,251419,258559,266072,274000,282495,291747,301879,312929,324815,337370,350365,363603,377068,390732,404375,417734,430633,442648,453793,464831,476846,490438,506423,524133,540918,553157,558500,555747,546356,533895,523417,518584,520529,528222,540507,555377,571262,588050,606024,624431,642400,659293,674681,688581,701363,713665,725940,738267,750443,762313,3.5274176401765089
"Bolivia",2713630,2767960,2824538,2883362,2944416,3007667,3073070,3140563,3210075,3281534,3354895,3430160,3507408,3586804,3668568,3752892,3839751,3929192,4021551,4117259,4216572,4319564,4426012,4535500,4647442,4761344,4877275,4995172,5114274,5233624,5352649,5471025,5589245,5708585,5830816,5957291,6088253,6223523,6363470,6508417,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849,10088108,10248042,10409761,2.8361018267044513
"Bosnia and Herzegovina",2661293,2720515,2779107,2836208,2891241,2943905,2994194,3042383,3088980,3134654,3180020,3225391,3270585,3314827,3357005,3396402,3432671,3466307,3498470,3530780,3564389,3599885,3636930,3674638,3711662,3747109,3780559,3812557,3844329,3877598,3913536,3949509,3984259,4021590,4066739,4121595,4194370,4279632,4349682,4367069,4308197,4157485,3931372,3677379,3462032,3332098,3305672,3365616,3480285,3601438,3693698,3748370,3775883,3782717,3781358,3781001,3781588,3779034,3774164,3767683,3760149,3752228,3744235,3735880,0.40378379982963164
"Botswana",412533,425268,437177,448428,459195,469656,479998,490411,501090,512228,523997,536540,549953,564277,579518,595697,612903,631226,650676,671247,692959,715745,739683,765101,792432,821942,853774,887716,923234,959584,996211,1032889,1069707,1106802,1144442,1182803,1221790,1261235,1301146,1341540,1382371,1423570,1464924,1506037,1546414,1585637,1623704,1660538,1695587,1728179,1757925,1784449,1808103,1830127,1852243,1875673,1900905,1927540,1954822,1981576,2006945,2030738,2053237,2074616,4.028969803627831
"Brazil",53974725,55669001,57422674,59215974,61036582,62879616,64748101,66652501,68609363,70639029,72758801,74975656,77279855,79642214,82021855,84388983,86735163,89068235,91394916,93727990,96078304,98445131,100828667,103242395,105703409,108224080,110804816,113442106,116138507,118895875,121711864,124588432,127514673,130459023,133380123,136246764,139049440,141791325,144470377,147088677,149650206,152146887,154582103,156985824,159398558,161848162,164342524,166869168,169409713,171936271,174425387,176877135,179289227,181633074,183873377,185986964,187958211,189798070,191543237,193246610,194946470,196655014,198360943,200050487,2.706373436826218
"British Virgin Islands",7441,7501,7548,7586,7623,7661,7706,7759,7828,7911,8015,8139,8283,8444,8621,8808,9007,9216,9426,9626,9810,9978,10134,10272,10389,10484,10552,10604,10671,10798,11013,11326,11727,12205,12743,13324,13951,14618,15290,15926,16491,16970,17371,17724,18070,18440,18844,19270,19702,20117,20499,20844,21156,21446,21721,21990,22253,22511,22762,23007,23245,23478,23705,23928,2.215696814944228
"Brunei",48001,51070,54083,57085,60113,63194,66348,69587,72916,76335,79846,83458,87192,91088,95191,99536,104130,108968,114068,119440,125088,131010,137181,143548,150039,156595,163208,169865,176488,182986,189300,195394,201301,207122,213002,219050,225288,231700,238305,245112,252125,259357,266794,274371,282000,289614,297188,304726,312216,319654,327036,334348,341585,348771,355943,363123,370317,377513,384695,391837,398920,405938,412892,419772,7.745067811087269
"Bulgaria",7250999,7282560,7324411,7375320,7433978,7499009,7568951,7642268,7717389,7792759,7867008,7939132,8008652,8075674,8140705,8204095,8265527,8324589,8381450,8436396,8489572,8541136,8590839,8637941,8681449,8720706,8754869,8784175,8810299,8835614,8861536,8888449,8914880,8938068,8954236,8960417,8956687,8943245,8917563,8876627,8818915,8743034,8651284,8550495,8449971,8356624,8273011,8198008,8130284,8067041,8006158,7947761,7892666,7840117,7789180,7739115,7689520,7640283,7591322,7542674,7494332,7446135,7397873,7349462,0.01357923232371161
"Burkina Faso",4284459,4326475,4371948,4421583,4475785,4534650,4597951,4665157,4735491,4808018,4881947,4956921,5033296,5112252,5195464,5284154,5378861,5479285,5584807,5694428,5807492,5923949,6044303,6169133,6299238,6435274,6577502,6726016,6881106,7043049,7212088,7388473,7572382,7763888,7963009,8169792,8384383,8606963,8837666,9076631,9323996,9580035,9844931,10118634,10401025,10692138,10992170,11301608,11621159,11951701,12294012,12648474,13015435,13395599,13789736,14198463,14622202,15061127,15515258,15984479,16468714,16967845,17481984,18011507,3.2039162937491055
"Burundi",2456300,2504993,2550737,2595383,2640339,2686568,2734574,2784417,2835768,2888007,2940498,2992893,3045392,3098852,3154474,3212864,3275465,3341476,3406650,3465190,3513499,3549864,3577187,3602204,3634284,3680401,3742452,3819115,3910124,4014190,4129997,4257303,4395560,4542467,4695065,4850597,5008201,5166403,5321108,5467413,5601720,5724030,5835071,5933293,6017127,6086751,6140258,6181493,6223515,6283662,6374347,6499653,6656071,6838764,7039534,7251424,7474363,7707781,7943385,8170853,8382849,8575172,8749387,8911183,2.6278886943777224
"Cambodia",4345800,4457418,4555803,4648644,4741920,4839899,4945074,5058226,5178625,5304357,5433306,5564215,5697598,5836139,5983575,6141404,6310320,6485769,6657435,6811663,6937996,7039481,7118136,7162333,7157572,7097800,6972559,6796368,6618684,6506208,6505693,6636869,6883519,7211815,7570081,7919802,8250479,8571130,8885701,9203893,9531928,9868226,10205755,10539239,10862069,11169233,11458858,11731187,11986128,12224414,12446949,12653684,12845222,13024171,13193961,13357574,13515884,13669857,13822644,13977903,14138255,14305183,14478320,14656016,2.372455244143771
"Cameroon",4466497,4549464,4634190,4720787,4809464,4900528,4994394,5091573,5192659,5298296,5409083,5525481,5647721,5775774,5909450,6048706,6193834,6345309,6503500,6668834,6841763,7022124,7210272,7407756,7616558,7837926,8072879,8320635,8578425,8842355,9109727,9379109,9651552,9929831,10218016,10518855,10832919,11158600,11493770,11835344,12180819,12529904,12882506,13236573,13589699,13940337,14287475,14631908,14976200,15324051,15678269,16039737,16408085,16783366,17165267,17553589,17948395,18350022,18758778,19175028,19598889,20030362,20468943,20913595,3.6823259928306236
"Canada",13736997,14132558,14518772,14909614,15314040,15735988,16174093,16621974,17069068,17502043,17909009,18284009,18630957,18965320,19309343,19678005,20078135,20501867,20931716,21342600,21716855,22048431,22344104,22614673,22876657,23142272,23416090,23695198,23975639,24250641,24516277,24769849,25016047,25266950,25538860,25842588,26183106,26554540,26943398,27330298,27700854,28051725,28386162,28704519,29009032,29302092,29582222,29850242,30113972,30383823,30667365,30967236,31281727,31608562,31943605,32283413,32627978,32977334,33327954,33675448,34016593,34349561,34674708,34993747,1.5474087968425705
"Cape Verde",178064,181974,185568,188848,191854,194664,197395,200202,203267,206789,210933,215792,221343,227430,233809,240301,246724,253087,259610,266624,274282,282888,292150,300922,307657,311349,311403,308423,304077,300726,300047,302737,308230,315410,322560,328481,332775,335966,338857,342646,348165,355655,364727,374820,385101,394946,404166,412893,421203,429278,437238,445096,452740,460031,466784,472883,478267,483023,487371,491621,495999,500585,505335,510213,1.8653349357534368
"Cayman Islands",6413,6265,6247,6335,6508,6742,7015,7307,7595,7862,8092,8277,8418,8524,8612,8701,8787,8875,9002,9216,9545,10004,10581,11253,11990,12764,13578,14432,15290,16110,16861,17524,18116,18702,19366,20172,21141,22253,23475,24752,26048,27363,28710,30074,31437,32792,34096,35361,36704,38284,40195,42501,45117,47815,50273,52268,53712,54679,55295,55763,56230,56729,57223,57708,7.9985966006549205
"Central African Rep.",1326653,1339842,1353471,1367806,1383081,1399497,1417223,1436398,1457125,1479480,1503509,1529237,1556665,1585774,1616524,1648838,1682880,1718560,1755258,1792147,1828709,1864764,1900723,1937410,1975985,2017362,2061466,2108232,2158547,2213492,2273630,2339759,2411176,2485120,2557808,2626638,2690250,2749702,2807768,2868515,2934777,3007347,3084958,3165869,3247456,3327710,3406451,3484027,3559604,3632287,3701607,3767068,3829238,3890075,3952281,4017880,4087534,4160940,4237961,4318128,4401051,4486837,4575586,4666833,2.5177495547064681
"Chad",2429431,2472725,2519184,2568013,2618633,2670681,2724017,2778716,2835038,2893372,2954088,3017366,3083054,3150606,3219259,3288547,3357972,3427888,3499681,3575273,3655905,3742580,3834574,3929341,4023300,4114094,4201073,4285738,4370560,4459072,4554089,4656116,4765160,4882913,5011242,5151339,5304490,5470211,5645708,5826974,6011224,6197766,6387856,6583079,6785842,6998108,7219081,7448585,7689836,7946982,8222327,8517944,8831199,9153893,9474792,9785902,10084087,10371839,10653762,10937089,11227208,11525496,11830573,12141876,3.997827063209451
"Channel Islands",102235,102940,103614,104267,104912,105559,106226,106926,107679,108498,109396,110381,111448,112582,113765,114974,116200,117437,118676,119910,121126,122338,123534,124649,125599,126335,126821,127101,127299,127585,128085,128828,129777,130905,132156,133482,134898,136394,137856,139136,140137,140804,141179,141384,141594,141934,142448,143102,143847,144607,145330,145995,146626,147262,147963,148763,149682,150689,151705,152618,153352,153876,154218,154432,0.51055900621118022
"Chile",6081931,6194334,6321806,6461332,6610525,6767613,6931486,7101654,7278151,7461373,7651579,7848372,8050234,8254329,8457066,8655738,8849016,9037026,9220343,9400225,9577572,9752949,9925950,10095485,10260027,10418880,10571597,10719748,10867152,11018910,11178817,11348442,11527274,11714442,11908189,12107225,12310666,12518930,12733409,12956088,13187821,13429315,13678373,13929390,14174890,14409416,14630769,14840038,15039162,15231557,15419820,15604200,15783991,15959793,16132209,16301726,16468677,16633254,16795593,16955737,17113688,17269525,17423214,17574464,1.8896191028803186
"China",550771433,566170868,578489714,589018891,598746873,608359685,618226224,628412938,638727882,648794141,658270094,667084365,675641408,684909607,696171650,710290299,727601056,747678772,769666505,792308749,814622841,836431505,857804035,878305091,897479153,915040954,930744699,944726607,957584105,970179212,983170638,996667562,1010574797,1025090475,1040397958,1056579219,1073792041,1091904967,1110339206,1128297564,1145195229,1160799514,1175230312,1188687527,1201522570,1213986610,1226134423,1237849861,1249020152,1259476966,1269116737,1277903627,1285933789,1293396654,1300552134,1307593489,1314581402,1321481935,1328275524,1334908820,1341335152,1347565324,1353600687,1359368470,1.468117241658029
"Colombia",11999600,12344434,12697334,13060599,13436142,13825474,14229713,14649582,15085424,15537230,16004714,16487391,16984652,17495793,18019927,18555731,19104020,19663029,20225830,20783427,21329811,21861689,22381887,22898136,23421644,23960605,24517307,25089511,25675364,26271401,26874906,27485678,28104254,28729367,29359535,29993539,30630754,31270841,31913250,32557521,33203321,33849971,34497319,35146220,35797965,36453337,37112621,37775054,38439099,39102653,39764166,40422597,41078136,41731914,42385712,43040558,43696540,44352327,45005782,45654044,46294841,46927125,47550708,48165221,3.0139022134071132
"Comoros",156334,160463,164338,168046,171660,175230,178791,182359,185931,189498,193052,196605,200199,203916,207856,212097,216728,221755,227075,232529,238032,243481,249000,254997,262030,270467,280464,291816,304071,316582,328861,340778,352416,363759,374852,385740,396391,406798,417077,427392,437876,448576,459515,470765,482401,494486,507062,520151,533754,547864,562469,577569,593170,609271,625876,642974,660559,678602,697034,715774,734750,753943,773344,792913,4.0719165376693489
"Congo, Dem. Rep.",12183661,12441551,12706358,12982427,13273008,13580254,13905162,14247631,14606625,14980445,15367539,15767376,16181202,16612368,17065408,17543319,18048341,18579012,19130171,19694467,20267009,20845085,21431338,22032669,22658905,23316776,24011465,24740389,25493382,26255837,27018690,27781042,28551259,29341286,30167580,31044153,31963766,32927332,33965482,35117790,36406226,37856212,39443819,41081774,42650247,44067369,45295039,46369335,47373590,48429878,49626200,50989424,52491329,54098245,55754885,57420522,59088415,60772175,62474901,64204304,65965795,67757577,69575394,71419669,4.8619218804594118
"Congo, Rep.",807726,824173,841524,859753,878851,898831,919723,941576,964452,988430,1013581,1039961,1067597,1096480,1126584,1157905,1190402,1224134,1259319,1296244,1335088,1375987,1418826,1463231,1508675,1554793,1601410,1648671,1696922,1746676,1798285,1851889,1907330,1964298,2022343,2081152,2140687,2201097,2262489,2325035,2388902,2453938,2520196,2588270,2658948,2732706,2810118,2890841,2973329,3055437,3135773,3213330,3288923,3365171,3445765,3533177,3628561,3730612,3836339,3941454,4042899,4139748,4233063,4324199,4.3535468710924246
"Cook Islands",15079,15410,15638,15841,16075,16373,16740,17157,17583,17967,18259,18436,18515,18571,18700,18970,19410,19979,20584,21091,21406,21507,21423,21177,20808,20356,19812,19185,18552,18010,17627,17441,17429,17531,17652,17725,17726,17678,17613,17580,17614,17730,17909,18105,18252,18307,18246,18095,17919,17808,17830,18007,18311,18693,19075,19402,19659,19861,20019,20156,20288,20414,20528,20635,0.3684594469129252
"Costa Rica",966015,994255,1025278,1058424,1093226,1129406,1166887,1205784,1246366,1289006,1334004,1381414,1430880,1481575,1532386,1582482,1631723,1680257,1727922,1774614,1820379,1865039,1908913,1953184,1999429,2048812,2101762,2158073,2217457,2279362,2343345,2409385,2477549,2547555,2619058,2691778,2765657,2840660,2916566,2993136,3070240,3147451,3224849,3303412,3384498,3468918,3557095,3648263,3740578,3831504,3919180,4002946,4083197,4160438,4235605,4309413,4381820,4452608,4522124,4590790,4658887,4726575,4793725,4859957,4.0309332670817737
"Cote d'Ivoire",2630132,2708840,2793262,2882232,2975083,3071653,3172308,3277914,3389763,3509432,3638385,3777543,3926909,4085408,4251345,4423736,4602382,4788525,4984378,5192919,5416416,5655462,5909848,6180001,6466158,6768313,7086257,7419474,7767109,8128032,8500985,8885888,9281593,9684478,10089976,10494827,10896269,11294791,11694318,12100741,12517730,12945880,13381799,13820229,14253952,14677200,15089912,15492127,15878555,16242889,16581653,16892864,17180649,17455501,17731840,18020946,18325979,18646754,18987007,19350026,19737800,20152894,20594615,21057316,7.0061821992204187
"Croatia",3850295,3875666,3900723,3924560,3946581,3966497,3984346,4000475,4015489,4030174,4045251,4061112,4077596,4093890,4108808,4121599,4131926,4140383,4148285,4157459,4169217,4183960,4201302,4220795,4241669,4263294,4285523,4308344,4331398,4354275,4376608,4398610,4420169,4440263,4457579,4471404,4480137,4484450,4488560,4498278,4517200,4548076,4588173,4628968,4658613,4669001,4656706,4625390,4582742,4540042,4505533,4481620,4466013,4456587,4449522,4441986,4433791,4425995,4418387,4410864,4403330,4395560,4387376,4378806,0.13726506670268113
"Cuba",5919997,6049922,6177490,6300986,6419791,6534381,6646398,6758582,6874540,6998378,7133582,7281821,7441909,7609348,7777606,7941840,8099779,8252314,8401476,8550671,8701886,8855989,9010586,9160532,9298895,9420828,9525242,9614061,9689324,9754343,9812223,9862283,9905577,9949046,10001593,10069187,10155111,10256694,10366500,10473701,10570328,10654121,10727088,10790686,10847842,10900795,10949206,10992290,11031429,11068382,11104313,11140168,11175434,11208029,11234970,11254242,11265124,11268687,11266905,11262628,11257979,11253665,11249266,11244424,0.899396908478163
"Cyprus",494014,500377,506628,513440,521199,529991,539596,549500,558946,567038,572997,576469,577768,577992,578710,581056,585400,591398,598592,606224,613735,620987,628140,635261,642496,649918,657685,665676,673386,680130,685510,689265,691792,694146,697782,703752,712396,723434,736531,751100,766663,783189,800707,818858,837205,855424,873277,890758,908059,925504,943294,961482,979874,998134,1015806,1032562,1048272,1063027,1077001,1090473,1103647,1116564,1129166,1141453,1.3105681215512113
"Czech Rep.",8876260,8957188,9036508,9112988,9185663,9253842,9317119,9375356,9428668,9477371,9521854,9562444,9599284,9632276,9661235,9686318,9707426,9725518,9743100,9763422,9788863,9819749,9855516,9896416,9942472,9993206,10049465,10110020,10169747,10221861,10261606,10286947,10299490,10302679,10301798,10300844,10300475,10299854,10299711,10300582,10302718,10307130,10313662,10319923,10322561,10319337,10310016,10295984,10278707,10260335,10242890,10225701,10209500,10199327,10201665,10220638,10258796,10313525,10377359,10439735,10492960,10534293,10565678,10589806,0.19304819822763197
