Date,Building,Consumption Type,Unit,Year,Key
2017-03-01 00:00:00.000,B1008,Water,501733,2017,2017Water
2018-11-01 00:00:00.000,B1000,Water,426014,2018,2018Water
2019-03-01 00:00:00.000,B1002,Water,404324,2019,2019Water
2018-01-01 00:00:00.000,B1008,Electricity,44220,2018,2018Electricity
2019-02-01 00:00:00.000,B1009,Water,213559,2019,2019Water
2019-07-01 00:00:00.000,B1002,Gas,6094,2019,2019Gas
2016-06-01 00:00:00.000,B1007,Electricity,23787,2016,2016Electricity
2017-02-01 00:00:00.000,B1004,Gas,5300,2017,2017Gas
2016-06-01 00:00:00.000,B1010,Water,414824,2016,2016Water
2018-05-01 00:00:00.000,B1008,Electricity,43927,2018,2018Electricity
2018-09-01 00:00:00.000,B1009,Water,228928,2018,2018Water
2017-01-01 00:00:00.000,B1009,Water,422676,2017,2017Water
2016-06-01 00:00:00.000,B1004,Water,490303,2016,2016Water
2018-08-01 00:00:00.000,B1005,Gas,4777,2018,2018Gas
2017-12-01 00:00:00.000,B1006,Water,362301,2017,2017Water
2017-05-01 00:00:00.000,B1001,Gas,5121,2017,2017Gas
2016-11-01 00:00:00.000,B1000,Electricity,49911,2016,2016Electricity
2018-10-01 00:00:00.000,B1005,Gas,4336,2018,2018Gas
2016-07-01 00:00:00.000,B1003,Water,438939,2016,2016Water
2017-09-01 00:00:00.000,B1005,Gas,3138,2017,2017Gas
2018-04-01 00:00:00.000,B1000,Water,486795,2018,2018Water
2017-09-01 00:00:00.000,B1000,Water,382610,2017,2017Water
2017-10-01 00:00:00.000,B1006,Water,444025,2017,2017Water
2016-10-01 00:00:00.000,B1000,Electricity,49641,2016,2016Electricity
2019-04-01 00:00:00.000,B1006,Electricity,48179,2019,2019Electricity
2018-05-01 00:00:00.000,B1003,Electricity,29206,2018,2018Electricity
2018-08-01 00:00:00.000,B1004,Electricity,38249,2018,2018Electricity
2019-12-01 00:00:00.000,B1001,Water,318295,2019,2019Water
2016-06-01 00:00:00.000,B1001,Gas,3885,2016,2016Gas
2019-02-01 00:00:00.000,B1008,Gas,5176,2019,2019Gas
2019-06-01 00:00:00.000,B1002,Water,319935,2019,2019Water
2018-11-01 00:00:00.000,B1008,Water,338413,2018,2018Water
2018-07-01 00:00:00.000,B1010,Electricity,55133,2018,2018Electricity
2016-06-01 00:00:00.000,B1005,Gas,4491,2016,2016Gas
2019-03-01 00:00:00.000,B1007,Water,264797,2019,2019Water
2019-10-01 00:00:00.000,B1001,Electricity,36415,2019,2019Electricity
2018-06-01 00:00:00.000,B1000,Electricity,55665,2018,2018Electricity
2019-02-01 00:00:00.000,B1005,Electricity,28748,2019,2019Electricity
2017-02-01 00:00:00.000,B1005,Electricity,36411,2017,2017Electricity
2019-01-01 00:00:00.000,B1006,Electricity,53583,2019,2019Electricity
2019-02-01 00:00:00.000,B1010,Gas,6784,2019,2019Gas
2019-05-01 00:00:00.000,B1010,Water,380881,2019,2019Water
2016-12-01 00:00:00.000,B1003,Water,229664,2016,2016Water
2017-10-01 00:00:00.000,B1002,Electricity,27283,2017,2017Electricity
2016-05-01 00:00:00.000,B1005,Water,470276,2016,2016Water
2016-12-01 00:00:00.000,B1000,Gas,3345,2016,2016Gas
2018-10-01 00:00:00.000,B1003,Gas,4064,2018,2018Gas
2017-05-01 00:00:00.000,B1009,Water,475120,2017,2017Water
2019-08-01 00:00:00.000,B1007,Gas,5759,2019,2019Gas
2017-01-01 00:00:00.000,B1003,Water,406975,2017,2017Water
2018-09-01 00:00:00.000,B1001,Water,343041,2018,2018Water
2019-06-01 00:00:00.000,B1003,Gas,6730,2019,2019Gas
2016-03-01 00:00:00.000,B1000,Gas,2617,2016,2016Gas
