Region,Segment,Sub-Category,Profit,Segment Region,SegmentID
"East","Consumer","Phones",7328.2536,"Consumer,East",2
"Central","Consumer","Phones",6416.0196,"Consumer,Central",2
"West","Consumer","Paper",5617.3388,"Consumer,West",2
"South","Consumer","Paper",3085.3364,"Consumer,South",2
"East","Consumer","Paper",3917.3307,"Consumer,East",2
"Central","Consumer","Paper",2914.6377,"Consumer,Central",2
"West","Consumer","Machines",2193.616,"Consumer,West",2
"South","Consumer","Machines",2910.5588,"Consumer,South",2
"East","Consumer","Machines",-1296.085,"Consumer,East",2
"Central","Consumer","Machines",-1667.028,"Consumer,Central",2
"West","Consumer","Labels",1167.3533,"Consumer,West",2
"South","Consumer","Labels",840.9038,"Consumer,South",2
"East","Consumer","Labels",733.529,"Consumer,East",2
"Central","Consumer","Labels",334.2023,"Consumer,Central",2
"West","Consumer","Furnishings",4395.1526,"Consumer,West",2
"South","Consumer","Furnishings",1957.1855,"Consumer,South",2
"East","Consumer","Furnishings",3021.137,"Consumer,East",2
"Central","Consumer","Furnishings",-1454.0524,"Consumer,Central",2
"West","Consumer","Fasteners",185.2087,"Consumer,West",2
"South","Consumer","Fasteners",114.2714,"Consumer,South",2
"East","Consumer","Fasteners",149.173,"Consumer,East",2
"Central","Consumer","Fasteners",128.1477,"Consumer,Central",2
"West","Consumer","Envelopes",966.4406,"Consumer,West",2
"South","Consumer","Envelopes",503.4307,"Consumer,South",2
"East","Consumer","Envelopes",881.8797,"Consumer,East",2
"Central","Consumer","Envelopes",912.6616,"Consumer,Central",2
"West","Consumer","Copiers",12158.8713,"Consumer,West",2
"South","Consumer","Copiers",1783.9452,"Consumer,South",2
"East","Consumer","Copiers",8657.9325,"Consumer,East",2
"Central","Consumer","Copiers",1482.9616,"Consumer,Central",2
"West","Consumer","Chairs",1380.0007,"Consumer,West",2
"South","Consumer","Chairs",4017.0347,"Consumer,South",2
"East","Consumer","Chairs",4917.3952,"Consumer,East",2
"Central","Consumer","Chairs",2920.9013,"Consumer,Central",2
"West","Consumer","Bookcases",-1966.457,"Consumer,West",2
"South","Consumer","Bookcases",1220.012,"Consumer,South",2
"East","Consumer","Bookcases",-2192.0672,"Consumer,East",2
"Central","Consumer","Bookcases",-1497.126,"Consumer,Central",2
"West","Consumer","Binders",7838.678,"Consumer,West",2
"South","Consumer","Binders",1583.9285,"Consumer,South",2
"East","Consumer","Binders",6740.6697,"Consumer,East",2
"Central","Consumer","Binders",1832.321,"Consumer,Central",2
"West","Consumer","Art",1211.2211,"Consumer,West",2
"South","Consumer","Art",648.4543,"Consumer,South",2
"East","Consumer","Art",989.0642,"Consumer,East",2
"Central","Consumer","Art",605.5615,"Consumer,Central",2
"West","Consumer","Appliances",4293.5136,"Consumer,West",2
"South","Consumer","Appliances",1455.2632,"Consumer,South",2
"East","Consumer","Appliances",5008.7579,"Consumer,East",2
"Central","Consumer","Appliances",-3775.6065,"Consumer,Central",2
"West","Consumer","Accessories",8964.1511,"Consumer,West",2
"South","Consumer","Accessories",2788.3072,"Consumer,South",2
"East","Consumer","Accessories",5240.0783,"Consumer,East",2
"Central","Consumer","Accessories",3743.3859,"Consumer,Central",2
"West","Home Office","Tables",-113.5648,"Home Office,West",3
"South","Home Office","Tables",-657.3344,"Home Office,South",3
"East","Home Office","Tables",-2017.3716,"Home Office,East",3
"Central","Home Office","Tables",-302.6739,"Home Office,Central",3
"West","Home Office","Supplies",38.1172,"Home Office,West",3
"South","Home Office","Supplies",43.656,"Home Office,South",3
"East","Home Office","Supplies",29.3979,"Home Office,East",3
"Central","Home Office","Supplies",18.3543,"Home Office,Central",3
"West","Home Office","Storage",1325.5389,"Home Office,West",3
"South","Home Office","Storage",667.0557,"Home Office,South",3
"East","Home Office","Storage",2578.9905,"Home Office,East",3
"Central","Home Office","Storage",472.0162,"Home Office,Central",3
"West","Home Office","Phones",2076.7033,"Home Office,West",3
"South","Home Office","Phones",1463.1515,"Home Office,South",3
"East","Home Office","Phones",1856.8141,"Home Office,East",3
"Central","Home Office","Phones",3515.7274,"Home Office,Central",3
"West","Home Office","Paper",2618.6028,"Home Office,West",3
"South","Home Office","Paper",1451.6617,"Home Office,South",3
"East","Home Office","Paper",2429.0821,"Home Office,East",3
"Central","Home Office","Paper",1658.0323,"Home Office,Central",3
"West","Home Office","Machines",-3772.5814,"Home Office,West",3
"South","Home Office","Machines",-1829.3339,"Home Office,South",3
"East","Home Office","Machines",5600.1256,"Home Office,East",3
"Central","Home Office","Machines",542.4658,"Home Office,Central",3
"West","Home Office","Labels",231.1788,"Home Office,West",3
"South","Home Office","Labels",49.4313,"Home Office,South",3
"East","Home Office","Labels",177.1211,"Home Office,East",3
"Central","Home Office","Labels",251.7071,"Home Office,Central",3
"West","Home Office","Furnishings",1572.7155,"Home Office,West",3
"South","Home Office","Furnishings",397.5643,"Home Office,South",3
"East","Home Office","Furnishings",904.0395,"Home Office,East",3
"Central","Home Office","Furnishings",-1242.8061,"Home Office,Central",3
"West","Home Office","Fasteners",20.6756,"Home Office,West",3
"South","Home Office","Fasteners",31.8768,"Home Office,South",3
"East","Home Office","Fasteners",38.3474,"Home Office,East",3
"Central","Home Office","Fasteners",29.9146,"Home Office,Central",3
"West","Home Office","Envelopes",161.722,"Home Office,West",3
"South","Home Office","Envelopes",318.6665,"Home Office,South",3
"East","Home Office","Envelopes",266.9441,"Home Office,East",3
"Central","Home Office","Envelopes",381.2025,"Home Office,Central",3
"West","Home Office","Copiers",3977.9272,"Home Office,West",3
"East","Home Office","Copiers",7229.9328,"Home Office,East",3
"Central","Home Office","Copiers",1335.9754,"Home Office,Central",3
"West","Home Office","Chairs",1414.3531,"Home Office,West",3
"South","Home Office","Chairs",1411.1001,"Home Office,South",3
"East","Home Office","Chairs",1719.7876,"Home Office,East",3
"Central","Home Office","Chairs",464.9371,"Home Office,Central",3
"West","Home Office","Bookcases",332.1126,"Home Office,West",3
"South","Home Office","Bookcases",51.1132,"Home Office,South",3
"East","Home Office","Bookcases",59.4724,"Home Office,East",3
"Central","Home Office","Bookcases",-118.0662,"Home Office,Central",3
"West","Home Office","Binders",2789.5821,"Home Office,West",3
"South","Home Office","Binders",-179.4646,"Home Office,South",3
"East","Home Office","Binders",1694.2615,"Home Office,East",3
"Central","Home Office","Binders",1544.467,"Home Office,Central",3
"West","Home Office","Art",332.6234,"Home Office,West",3
"South","Home Office","Art",145.878,"Home Office,South",3
"East","Home Office","Art",344.7085,"Home Office,East",3
"Central","Home Office","Art",245.6283,"Home Office,Central",3
"West","Home Office","Appliances",1229.7395,"Home Office,West",3
"South","Home Office","Appliances",124.8546,"Home Office,South",3
"East","Home Office","Appliances",775.3683,"Home Office,East",3
"Central","Home Office","Appliances",1596.2196,"Home Office,Central",3
"West","Home Office","Accessories",2294.9692,"Home Office,West",3
"South","Home Office","Accessories",1130.7575,"Home Office,South",3
"East","Home Office","Accessories",3022.195,"Home Office,East",3
"Central","Home Office","Accessories",2045.311,"Home Office,Central",3
