Dest,Dest City Name,Dest State Abr,Origin,Origin City Name,Origin State Abr,Route,Passengers
"HRL","Harlingen/San Benito, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-HRL",0
"IAH","Houston, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-IAH",0
"LBB","Lubbock, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-LBB",0
"MAF","Midland/Odessa, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-MAF",0
"SAT","San Antonio, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-SAT",0
"SJT","San Angelo, TX","TX","AUS","Austin, TX","TX","AUS-SJT",0
"AUS","Austin, TX","TX","BWD","Brownwood, TX","TX","BWD-AUS",0
"SJT","San Angelo, TX","TX","BWD","Brownwood, TX","TX","BWD-SJT",0
"IAH","Houston, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-IAH",0
"SAT","San Antonio, TX","TX","DRT","Del Rio, TX","TX","DRT-SAT",0
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",0
"CLL","College Station/Bryan, TX","TX","IAH","Houston, TX","TX","IAH-CLL",0
"ABI","Abilene, TX","TX","LBB","Lubbock, TX","TX","LBB-ABI",0
"ELP","El Paso, TX","TX","LBB","Lubbock, TX","TX","LBB-ELP",0
"MAF","Midland/Odessa, TX","TX","LBB","Lubbock, TX","TX","LBB-MAF",0
"HRL","Harlingen/San Benito, TX","TX","LRD","Laredo, TX","TX","LRD-HRL",0
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",0
"LBB","Lubbock, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-LBB",0
"AUS","Austin, TX","TX","SAT","San Antonio, TX","TX","SAT-AUS",0
"DRT","Del Rio, TX","TX","SAT","San Antonio, TX","TX","SAT-DRT",0
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",0
"LRD","Laredo, TX","TX","SAT","San Antonio, TX","TX","SAT-LRD",0
"AUS","Austin, TX","TX","SJT","San Angelo, TX","TX","SJT-AUS",0
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",0
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",0
"DFW","Dallas/Fort Worth, TX","TX","IAH","Houston, TX","TX","IAH-DFW",0
"HRL","Harlingen/San Benito, TX","TX","IAH","Houston, TX","TX","IAH-HRL",0
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",0
"DFW","Dallas/Fort Worth, TX","TX","SAT","San Antonio, TX","TX","SAT-DFW",0
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",0
"HRL","Harlingen/San Benito, TX","TX","SAT","San Antonio, TX","TX","SAT-HRL",0
"LRD","Laredo, TX","TX","SAT","San Antonio, TX","TX","SAT-LRD",0
"CLL","College Station/Bryan, TX","TX","ACT","Waco, TX","TX","ACT-CLL",0
"GRK","Killeen, TX","TX","ACT","Waco, TX","TX","ACT-GRK",0
"CLL","College Station/Bryan, TX","TX","BPT","Beaumont/Port Arthur, TX","TX","BPT-CLL",0
"TYR","Tyler, TX","TX","BPT","Beaumont/Port Arthur, TX","TX","BPT-TYR",0
"GRK","Killeen, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-GRK",0
"BPT","Beaumont/Port Arthur, TX","TX","GRK","Killeen, TX","TX","GRK-BPT",0
"TYR","Tyler, TX","TX","GRK","Killeen, TX","TX","GRK-TYR",0
"BPT","Beaumont/Port Arthur, TX","TX","TYR","Tyler, TX","TX","TYR-BPT",0
"DRT","Del Rio, TX","TX","TYR","Tyler, TX","TX","TYR-DRT",0
"TUL","Tulsa, OK","OK","LBB","Lubbock, TX","TX","LBB-TUL",0
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",0
"MEM","Memphis, TN","TN","IAH","Houston, TX","TX","IAH-MEM",0
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",0
"TUL","Tulsa, OK","OK","LBB","Lubbock, TX","TX","LBB-TUL",0
"ABQ","Albuquerque, NM","NM","LBB","Lubbock, TX","TX","LBB-ABQ",0
"ROW","Roswell, NM","NM","LBB","Lubbock, TX","TX","LBB-ROW",0
"ABQ","Albuquerque, NM","NM","ELP","El Paso, TX","TX","ELP-ABQ",0
"GPT","Gulfport/Biloxi, MS","MS","IAH","Houston, TX","TX","IAH-GPT",0
"AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","IAH-AEX",0
"ICT","Wichita, KS","KS","AFW","Dallas/Fort Worth, TX","TX","AFW-ICT",0
"TUL","Tulsa, OK","OK","AFW","Dallas/Fort Worth, TX","TX","AFW-TUL",0
"TUL","Tulsa, OK","OK","LBB","Lubbock, TX","TX","LBB-TUL",0
"AEX","Alexandria, LA","LA","BPT","Beaumont/Port Arthur, TX","TX","BPT-AEX",0
"LCH","Lake Charles, LA","LA","BPT","Beaumont/Port Arthur, TX","TX","BPT-LCH",0
"MLU","Monroe, LA","LA","BPT","Beaumont/Port Arthur, TX","TX","BPT-MLU",0
"LCH","Lake Charles, LA","LA","CLL","College Station/Bryan, TX","TX","CLL-LCH",0
"SHV","Shreveport, LA","LA","CLL","College Station/Bryan, TX","TX","CLL-SHV",0
"LCH","Lake Charles, LA","LA","DRT","Del Rio, TX","TX","DRT-LCH",0
"LCH","Lake Charles, LA","LA","GRK","Killeen, TX","TX","GRK-LCH",0
"AEX","Alexandria, LA","LA","VCT","Victoria, TX","TX","VCT-AEX",0
"OKC","Oklahoma City, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-OKC",0
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",0
"MEM","Memphis, TN","TN","IAH","Houston, TX","TX","IAH-MEM",0
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",0
"ICT","Wichita, KS","KS","AFW","Dallas/Fort Worth, TX","TX","AFW-ICT",0
"SHV","Shreveport, LA","LA","AFW","Dallas/Fort Worth, TX","TX","AFW-SHV",0
"TUL","Tulsa, OK","OK","AFW","Dallas/Fort Worth, TX","TX","AFW-TUL",0
"TUL","Tulsa, OK","OK","LBB","Lubbock, TX","TX","LBB-TUL",0
"ROW","Roswell, NM","NM","LBB","Lubbock, TX","TX","LBB-ROW",0
"AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","IAH-AEX",0
"AEX","Alexandria, LA","LA","BPT","Beaumont/Port Arthur, TX","TX","BPT-AEX",0
"LCH","Lake Charles, LA","LA","BPT","Beaumont/Port Arthur, TX","TX","BPT-LCH",0
"MLU","Monroe, LA","LA","BPT","Beaumont/Port Arthur, TX","TX","BPT-MLU",0
"LCH","Lake Charles, LA","LA","CLL","College Station/Bryan, TX","TX","CLL-LCH",0
"SHV","Shreveport, LA","LA","CLL","College Station/Bryan, TX","TX","CLL-SHV",0
"LCH","Lake Charles, LA","LA","DRT","Del Rio, TX","TX","DRT-LCH",0
"LCH","Lake Charles, LA","LA","GRK","Killeen, TX","TX","GRK-LCH",0
"OKC","Oklahoma City, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-OKC",0
"UTM","Tunica, MS","MS","ACT","Waco, TX","TX","ACT-UTM",53
"MHK","Manhattan/Ft. Riley, KS","KS","LBB","Lubbock, TX","TX","LBB-MHK",42
"MSY","New Orleans, LA","LA","GGG","Longview, TX","TX","GGG-MSY",22
"OKC","Oklahoma City, OK","OK","SPS","Wichita Falls, TX","TX","SPS-OKC",14
"AEX","Alexandria, LA","LA","SAT","San Antonio, TX","TX","SAT-AEX",153
"AEX","Alexandria, LA","LA","DAL","Dallas, TX","TX","DAL-AEX",84
"OKC","Oklahoma City, OK","OK","AUS","Austin, TX","TX","AUS-OKC",28
"SWO","Stillwater, OK","OK","AUS","Austin, TX","TX","AUS-SWO",30
"AZA","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-AZA",733
"JAN","Jackson/Vicksburg, MS","MS","AUS","Austin, TX","TX","AUS-JAN",1
"JAN","Jackson/Vicksburg, MS","MS","DAL","Dallas, TX","TX","DAL-JAN",168
"MCI","Kansas City, MO","MO","AMA","Amarillo, TX","TX","AMA-MCI",11
"MCI","Kansas City, MO","MO","DAL","Dallas, TX","TX","DAL-MCI",18979
"LIT","Little Rock, AR","AR","AUS","Austin, TX","TX","AUS-LIT",89
"LIT","Little Rock, AR","AR","DAL","Dallas, TX","TX","DAL-LIT",10123
"MSY","New Orleans, LA","LA","AUS","Austin, TX","TX","AUS-MSY",1308
"MSY","New Orleans, LA","LA","CRP","Corpus Christi, TX","TX","CRP-MSY",18
"MSY","New Orleans, LA","LA","DAL","Dallas, TX","TX","DAL-MSY",16400
"MSY","New Orleans, LA","LA","SAT","San Antonio, TX","TX","SAT-MSY",914
"MSY","New Orleans, LA","LA","SAT","San Antonio, TX","TX","SAT-MSY",1
"OKC","Oklahoma City, OK","OK","AUS","Austin, TX","TX","AUS-OKC",76
"TUL","Tulsa, OK","OK","AMA","Amarillo, TX","TX","AMA-TUL",1
"OKC","Oklahoma City, OK","OK","AUS","Austin, TX","TX","AUS-OKC",96
"OKC","Oklahoma City, OK","OK","DAL","Dallas, TX","TX","DAL-OKC",7691
"TUL","Tulsa, OK","OK","DAL","Dallas, TX","TX","DAL-TUL",9454
"OKC","Oklahoma City, OK","OK","MAF","Midland/Odessa, TX","TX","MAF-OKC",9
"TUL","Tulsa, OK","OK","MAF","Midland/Odessa, TX","TX","MAF-TUL",3
"OKC","Oklahoma City, OK","OK","SAT","San Antonio, TX","TX","SAT-OKC",811
"TUL","Tulsa, OK","OK","SAT","San Antonio, TX","TX","SAT-TUL",144
"PHX","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-PHX",2663
"PHX","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-PHX",9234
"DEN","Denver, CO","CO","AMA","Amarillo, TX","TX","AMA-DEN",3191
"DEN","Denver, CO","CO","LBB","Lubbock, TX","TX","LBB-DEN",2
"ABQ","Albuquerque, NM","NM","ELP","El Paso, TX","TX","ELP-ABQ",1597
"ABQ","Albuquerque, NM","NM","LBB","Lubbock, TX","TX","LBB-ABQ",1507
"ABQ","Albuquerque, NM","NM","MAF","Midland/Odessa, TX","TX","MAF-ABQ",1341
"MEM","Memphis, TN","TN","DAL","Dallas, TX","TX","DAL-MEM",37
"MHK","Manhattan/Ft. Riley, KS","KS","DAL","Dallas, TX","TX","DAL-MHK",133
"OKC","Oklahoma City, OK","OK","DAL","Dallas, TX","TX","DAL-OKC",41
"OKC","Oklahoma City, OK","OK","SAT","San Antonio, TX","TX","SAT-OKC",34
"AEX","Alexandria, LA","LA","SAT","San Antonio, TX","TX","SAT-AEX",153
"AEX","Alexandria, LA","LA","DAL","Dallas, TX","TX","DAL-AEX",84
"OKC","Oklahoma City, OK","OK","AUS","Austin, TX","TX","AUS-OKC",28
"MEM","Memphis, TN","TN","DAL","Dallas, TX","TX","DAL-MEM",1995
"PHX","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-PHX",5412
"DEN","Denver, CO","CO","AMA","Amarillo, TX","TX","AMA-DEN",1197
"DEN","Denver, CO","CO","LBB","Lubbock, TX","TX","LBB-DEN",1567
"MSY","New Orleans, LA","LA","GGG","Longview, TX","TX","GGG-MSY",22
"OKC","Oklahoma City, OK","OK","SPS","Wichita Falls, TX","TX","SPS-OKC",14
"JAN","Jackson/Vicksburg, MS","MS","AUS","Austin, TX","TX","AUS-JAN",1
"JAN","Jackson/Vicksburg, MS","MS","DAL","Dallas, TX","TX","DAL-JAN",168
"MCI","Kansas City, MO","MO","AMA","Amarillo, TX","TX","AMA-MCI",11
"MCI","Kansas City, MO","MO","DAL","Dallas, TX","TX","DAL-MCI",18979
"LIT","Little Rock, AR","AR","AUS","Austin, TX","TX","AUS-LIT",89
"LIT","Little Rock, AR","AR","DAL","Dallas, TX","TX","DAL-LIT",10123
"MSY","New Orleans, LA","LA","AUS","Austin, TX","TX","AUS-MSY",1308
"MSY","New Orleans, LA","LA","CRP","Corpus Christi, TX","TX","CRP-MSY",18
"MSY","New Orleans, LA","LA","DAL","Dallas, TX","TX","DAL-MSY",16400
"MSY","New Orleans, LA","LA","SAT","San Antonio, TX","TX","SAT-MSY",914
"MSY","New Orleans, LA","LA","SAT","San Antonio, TX","TX","SAT-MSY",1
"OKC","Oklahoma City, OK","OK","AUS","Austin, TX","TX","AUS-OKC",76
"TUL","Tulsa, OK","OK","AMA","Amarillo, TX","TX","AMA-TUL",1
"OKC","Oklahoma City, OK","OK","AUS","Austin, TX","TX","AUS-OKC",96
"OKC","Oklahoma City, OK","OK","DAL","Dallas, TX","TX","DAL-OKC",7691
"TUL","Tulsa, OK","OK","DAL","Dallas, TX","TX","DAL-TUL",9454
"OKC","Oklahoma City, OK","OK","MAF","Midland/Odessa, TX","TX","MAF-OKC",9
"TUL","Tulsa, OK","OK","MAF","Midland/Odessa, TX","TX","MAF-TUL",3
"OKC","Oklahoma City, OK","OK","SAT","San Antonio, TX","TX","SAT-OKC",811
"TUL","Tulsa, OK","OK","SAT","San Antonio, TX","TX","SAT-TUL",144
"PHX","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-PHX",2663
"PHX","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-PHX",9234
"DEN","Denver, CO","CO","AMA","Amarillo, TX","TX","AMA-DEN",3191
"DEN","Denver, CO","CO","LBB","Lubbock, TX","TX","LBB-DEN",2
"MEM","Memphis, TN","TN","DAL","Dallas, TX","TX","DAL-MEM",37
"OKC","Oklahoma City, OK","OK","DAL","Dallas, TX","TX","DAL-OKC",41
"OKC","Oklahoma City, OK","OK","SAT","San Antonio, TX","TX","SAT-OKC",34
"MEM","Memphis, TN","TN","DAL","Dallas, TX","TX","DAL-MEM",1995
"PHX","Phoenix, AZ","AZ","ELP","El Paso, TX","TX","ELP-PHX",5412
"DEN","Denver, CO","CO","AMA","Amarillo, TX","TX","AMA-DEN",1197
"MTJ","Montrose/Delta, CO","CO","ELP","El Paso, TX","TX","ELP-MTJ",2
"DEN","Denver, CO","CO","LBB","Lubbock, TX","TX","LBB-DEN",1567
"MHK","Manhattan/Ft. Riley, KS","KS","DFW","Dallas/Fort Worth, TX","TX","DFW-MHK",158
"UTM","Tunica, MS","MS","DFW","Dallas/Fort Worth, TX","TX","DFW-UTM",96
"JAN","Jackson/Vicksburg, MS","MS","DFW","Dallas/Fort Worth, TX","TX","DFW-JAN",6735
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",6761
"ICT","Wichita, KS","KS","DFW","Dallas/Fort Worth, TX","TX","DFW-ICT",9689
"MHK","Manhattan/Ft. Riley, KS","KS","DFW","Dallas/Fort Worth, TX","TX","DFW-MHK",3660
"MCI","Kansas City, MO","MO","DFW","Dallas/Fort Worth, TX","TX","DFW-MCI",22262
"JLN","Joplin, MO","MO","DFW","Dallas/Fort Worth, TX","TX","DFW-JLN",55
"SGF","Springfield, MO","MO","DFW","Dallas/Fort Worth, TX","TX","DFW-SGF",7001
"LIT","Little Rock, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-LIT",6937
"XNA","Fayetteville, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-XNA",2720
"FSM","Fort Smith, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-FSM",2030
"LIT","Little Rock, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-LIT",4765
"TXK","Texarkana, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-TXK",1304
"XNA","Fayetteville, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-XNA",7763
"MSY","New Orleans, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-MSY",18456
"AEX","Alexandria, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-AEX",2499
"BTR","Baton Rouge, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-BTR",7253
"LCH","Lake Charles, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-LCH",1475
"LFT","Lafayette, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-LFT",3278
"MLU","Monroe, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-MLU",82
"SHV","Shreveport, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-SHV",391
"OKC","Oklahoma City, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-OKC",22351
"TUL","Tulsa, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-TUL",20527
"LAW","Lawton/Fort Sill, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-LAW",152
"OKC","Oklahoma City, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-OKC",6
"TUL","Tulsa, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-TUL",877
"ROW","Roswell, NM","NM","DFW","Dallas/Fort Worth, TX","TX","DFW-ROW",2532
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",1308
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",894
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",1275
"FSM","Fort Smith, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-FSM",1606
"TXK","Texarkana, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-TXK",763
"MLU","Monroe, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-MLU",2080
"SHV","Shreveport, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-SHV",6115
"JAN","Jackson/Vicksburg, MS","MS","DFW","Dallas/Fort Worth, TX","TX","DFW-JAN",6735
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",6761
"ICT","Wichita, KS","KS","DFW","Dallas/Fort Worth, TX","TX","DFW-ICT",9689
"MCI","Kansas City, MO","MO","DFW","Dallas/Fort Worth, TX","TX","DFW-MCI",22262
"LIT","Little Rock, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-LIT",6937
"FSM","Fort Smith, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-FSM",2030
"LIT","Little Rock, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-LIT",4765
"TXK","Texarkana, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-TXK",1304
"MSY","New Orleans, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-MSY",18456
"AEX","Alexandria, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-AEX",2499
"BTR","Baton Rouge, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-BTR",7253
"LCH","Lake Charles, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-LCH",1475
"LFT","Lafayette, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-LFT",3278
"MLU","Monroe, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-MLU",82
"SHV","Shreveport, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-SHV",391
"OKC","Oklahoma City, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-OKC",22351
"TUL","Tulsa, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-TUL",20527
"OKC","Oklahoma City, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-OKC",6
"TUL","Tulsa, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-TUL",877
"ROW","Roswell, NM","NM","DFW","Dallas/Fort Worth, TX","TX","DFW-ROW",2532
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",1308
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",894
"MEM","Memphis, TN","TN","DFW","Dallas/Fort Worth, TX","TX","DFW-MEM",1275
"JLN","Joplin, MO","MO","DFW","Dallas/Fort Worth, TX","TX","DFW-JLN",1730
"FSM","Fort Smith, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-FSM",1606
"TXK","Texarkana, AR","AR","DFW","Dallas/Fort Worth, TX","TX","DFW-TXK",763
