Number,Age,City,College,Conference,Division,Experience,Feet,Inches,Last Name,First Name,Position Code,Team,Team Logo,Team Roster,Weight,Player,Player Key,Height,Position,Category,Side
14,24.0,"Miami, FL",Louisiana State,AFC,AFC-East,4.0,5,11.0,Landry, Jarvis,WR,Dolphins,https://cpt.azureedge.net/TeamLogoImages/dolphins-logo.png,http://www.miamidolphins.com/team/player-roster.html,208, Jarvis Landry,Dolphins#14,71.0,Wide Receiver,Backs and Receivers,Offense
90,27.0,"Detroit, MI",Georgia,NFC,NFC-North,5.0,6,4.0,Washington, Cornelius,DE,Lions,https://cpt.azureedge.net/TeamLogoImages/lions-logo.png,http://www.detroitlions.com/team/roster.html,292, Cornelius Washington,Lions#90,76.0,Defensive End,Defensive Line,Defense
52,28.0,"Houston, TX",Northwestern,AFC,AFC-South,3.0,6,4.0,Peters, Brian,ILB,Texans,https://cpt.azureedge.net/TeamLogoImages/texans-logo.png,http://www.houstontexans.com/team/roster.html,240, Brian Peters,Texans#52,76.0,Inside Lineback,Linebackers,Defense
15,28.0,"San Diego, CA",Virginia,AFC,AFC-West,4.0,6,3.0,Inman, Dontrelle,WR,Chargers,https://cpt.azureedge.net/TeamLogoImages/chargers-logo.png,http://www.chargers.com/team/roster,205, Dontrelle Inman,Chargers#15,75.0,Wide Receiver,Backs and Receivers,Offense
97,22.0,"Dallas, TX",Michigan,NFC,NFC-East,0.0,6,6.0,Charlton, Taco,DE,Cowboys,https://cpt.azureedge.net/TeamLogoImages/cowboys-logo.png,http://www.dallascowboys.com/team/roster,273, Taco Charlton,Cowboys#97,78.0,Defensive End,Defensive Line,Defense
26,26.0,"Nashville, TN",Rutgers,AFC,AFC-South,5.0,5,11.0,Ryan, Logan,CB,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,195, Logan Ryan,Titans#26,71.0,Cornerback,Defensive Backs,Defense
96,25.0,"Pittsburg, PA",Central Michigan,AFC,AFC-North,3.0,6,5.0,Walton, L.T.,DE,Steelers,https://cpt.azureedge.net/TeamLogoImages/steelers-logo.png,http://www.steelers.com/team/roster.html,305, L.T. Walton,Steelers#96,77.0,Defensive End,Defensive Line,Defense
78,25.0,"Miami, FL",Marist,AFC,AFC-East,4.0,6,4.0,Fede, Terrence,DE,Dolphins,https://cpt.azureedge.net/TeamLogoImages/dolphins-logo.png,http://www.miamidolphins.com/team/player-roster.html,267, Terrence Fede,Dolphins#78,76.0,Defensive End,Defensive Line,Defense
97,28.0,"Pittsburg, PA",Ohio State,AFC,AFC-North,7.0,6,5.0,Heyward, Cameron,DE,Steelers,https://cpt.azureedge.net/TeamLogoImages/steelers-logo.png,http://www.steelers.com/team/roster.html,295, Cameron Heyward,Steelers#97,77.0,Defensive End,Defensive Line,Defense
16,22.0,"Buffalo, NY",West Virginia,AFC,AFC-East,0.0,6,1.0,Shorts, Daikiel,WR,Bills,https://cpt.azureedge.net/TeamLogoImages/bills-logo.png,http://www.buffalobills.com/team/roster.html,202, Daikiel Shorts,Bills#16,73.0,Wide Receiver,Backs and Receivers,Offense
98,27.0,"Dallas, TX",Boise State,NFC,NFC-East,6.0,6,4.0,Crawford, Tyrone,DL,Cowboys,https://cpt.azureedge.net/TeamLogoImages/cowboys-logo.png,http://www.dallascowboys.com/team/roster,295, Tyrone Crawford,Cowboys#98,76.0,Defensive Lineman,Defensive Line,Defense
95,32.0,"Cincinnati, OH",Alabama,AFC,AFC-North,10.0,6,2.0,Gilberry, Wallace,DE,Bengals,https://cpt.azureedge.net/TeamLogoImages/bengals-logo.png,http://www.bengals.com/team/roster.html,270, Wallace Gilberry,Bengals#95,74.0,Defensive End,Defensive Line,Defense
11,24.0,"Miami, FL",Louisville,AFC,AFC-East,3.0,6,3.0,Parker, Devante,WR,Dolphins,https://cpt.azureedge.net/TeamLogoImages/dolphins-logo.png,http://www.miamidolphins.com/team/player-roster.html,212, DeVante Parker,Dolphins#11,75.0,Wide Receiver,Backs and Receivers,Offense
84,23.0,"Chicago, IL",Harvard,NFC,NFC-North,2.0,6,4.0,Braunecker, Ben,TE,Bears,https://cpt.azureedge.net/TeamLogoImages/bears-logo.png,http://www.chicagobears.com/team/roster.html,252, Ben Braunecker,Bears#84,76.0,Tight End,Backs and Receivers,Offense
12,27.0,"San Diego, CA",Miami (Fla.),AFC,AFC-West,6.0,5,10.0,Benjamin, Travis,WR,Chargers,https://cpt.azureedge.net/TeamLogoImages/chargers-logo.png,http://www.chargers.com/team/roster,175, Travis Benjamin,Chargers#12,70.0,Wide Receiver,Backs and Receivers,Offense
87,26.0,"Tampa, FL",Texas A&M,NFC,NFC-South,1.0,6,1.0,Walker, Derel,WR,Buccaneers,https://cpt.azureedge.net/TeamLogoImages/bucs-logo.png,http://www.buccaneers.com/team-and-stats/roster.html,188, Derel Walker,Buccaneers#87,73.0,Wide Receiver,Backs and Receivers,Offense
50,29.0,"Buffalo, NY",North Dakota State,AFC,AFC-East,9.0,5,11.0,Humber, Ramon,LB,Bills,https://cpt.azureedge.net/TeamLogoImages/bills-logo.png,http://www.buffalobills.com/team/roster.html,232, Ramon Humber,Bills#50,71.0,Linebacker,Linebackers,Defense
40,25.0,"Denver, CO",Duke,AFC,AFC-West,4.0,5,11.0,Thompson, Juwan,RB,Broncos,https://cpt.azureedge.net/TeamLogoImages/broncos-logo.png,http://www.denverbroncos.com/team/roster.html,225, Juwan Thompson,Broncos#40,71.0,Running Back,Backs and Receivers,Offense
46,23.0,"Green Bay, WI",Southern Utah,NFC,NFC-North,0.0,6,0.0,Pringle, Raysean,CB,Packers,https://cpt.azureedge.net/TeamLogoImages/packers-logo.png,http://www.packers.com/team/players.html,191, Raysean Pringle,Packers#46,72.0,Cornerback,Defensive Backs,Defense
5,32.0,"Baltimore, MD",Delaware,AFC,AFC-North,10.0,6,6.0,Flacco, Joe,QB,Ravens,https://cpt.azureedge.net/TeamLogoImages/ravens-logo.png,http://www.baltimoreravens.com/team/roster.html,245, Joe Flacco,Ravens#5,78.0,Quarterback,Backs and Receivers,Offense
48,24.0,"Jacksonville, FK",Tennessee,AFC,AFC-South,2.0,6,4.0,Ellis, Alex,TE,Jaguars,https://cpt.azureedge.net/TeamLogoImages/jaguars-logo.png,http://www.jaguars.com/team/roster.html,245, Alex Ellis,Jaguars#48,76.0,Tight End,Backs and Receivers,Offense
68,26.0,"Philadelphia, PA",Oregon State,NFC,NFC-East,3.0,6,2.0,Andrews, Josh,C/G,Eagles,https://cpt.azureedge.net/TeamLogoImages/eagles-logo.png,http://www.philadelphiaeagles.com/team/roster.html,311, Josh Andrews,Eagles#68,74.0,Center,Offensive Line,Offense
60,23.0,"St. Louis, MO",Colorado State,NFC,NFC-West,0.0,6,2.0,Davis, Kevin,LB,Rams,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,http://www.therams.com/team/roster.html,238, Kevin Davis,Rams#60,74.0,Linebacker,Linebackers,Defense
13,23.0,"San Francisco, CA",Michigan State,NFC,NFC-West,2.0,6,1.0,Burbridge, Aaron,WR,49ers,https://cpt.azureedge.net/TeamLogoImages/49ers-logo.png,http://www.49ers.com/team/roster.html,208, Aaron Burbridge,49ers#13,73.0,Wide Receiver,Backs and Receivers,Offense
79,26.0,"Buffalo, NY",Louisiana Tech,AFC,AFC-East,5.0,6,5.0,Mills, Jordan,T,Bills,https://cpt.azureedge.net/TeamLogoImages/bills-logo.png,http://www.buffalobills.com/team/roster.html,316, Jordan Mills,Bills#79,77.0,Offensive Tackle,Offensive Line,Offense
75,23.0,"Detroit, MI",Hawaii,NFC,NFC-North,0.0,6,5.0,Koloamatangi, Leo,C,Lions,https://cpt.azureedge.net/TeamLogoImages/lions-logo.png,http://www.detroitlions.com/team/roster.html,310, Leo Koloamatangi,Lions#75,77.0,Center,Offensive Line,Offense
36,22.0,"Seattle, WA",Arkansas,NFC,NFC-West,2.0,5,10.0,Collins, Alex,RB,Seahawks,https://cpt.azureedge.net/TeamLogoImages/seahawks-logo.png,http://www.seahawks.com/team/roster,210, Alex Collins,Seahawks#36,70.0,Running Back,Backs and Receivers,Offense
47,24.0,"Detroit, MI",Southern Utah,NFC,NFC-North,0.0,5,11.0,Thornton, Josh,CB,Lions,https://cpt.azureedge.net/TeamLogoImages/lions-logo.png,http://www.detroitlions.com/team/roster.html,185, Josh Thornton,Lions#47,71.0,Cornerback,Defensive Backs,Defense
60,28.0,"Nashville, TN",Georgia,AFC,AFC-South,6.0,6,3.0,Jones, Ben,C,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,308, Ben Jones,Titans#60,75.0,Center,Offensive Line,Offense
69,22.0,"Denver, CO",UCLA,AFC,AFC-West,0.0,6,0.0,Hollins, Deon,LB,Broncos,https://cpt.azureedge.net/TeamLogoImages/broncos-logo.png,http://www.denverbroncos.com/team/roster.html,230, Deon Hollins,Broncos#69,72.0,Linebacker,Linebackers,Defense
59,27.0,"Chicago, IL",Kentucky,NFC,NFC-North,6.0,6,1.0,Trevathan, Danny,LB,Bears,https://cpt.azureedge.net/TeamLogoImages/bears-logo.png,http://www.chicagobears.com/team/roster.html,239, Danny Trevathan,Bears#59,73.0,Linebacker,Linebackers,Defense
87,25.0,"Houston, TX",Iowa,AFC,AFC-South,4.0,6,5.0,Fiedorowicz, C.J.,TE,Texans,https://cpt.azureedge.net/TeamLogoImages/texans-logo.png,http://www.houstontexans.com/team/roster.html,265, C.J. Fiedorowicz,Texans#87,77.0,Tight End,Backs and Receivers,Offense
50,22.0,"Houston, TX",Temple,AFC,AFC-South,0.0,5,10.0,Williams, Avery,ILB,Texans,https://cpt.azureedge.net/TeamLogoImages/texans-logo.png,http://www.houstontexans.com/team/roster.html,210, Avery Williams,Texans#50,70.0,Inside Lineback,Linebackers,Defense
93,26.0,"Washington, DC",Stanford,NFC,NFC-East,4.0,6,6.0,Murphy, Trent,LB,Redskins,https://cpt.azureedge.net/TeamLogoImages/redskins-logo.png,http://www.redskins.com/team/roster.html,259, Trent Murphy,Redskins#93,78.0,Linebacker,Linebackers,Defense
28,24.0,"Green Bay, WI",East Carolina,NFC,NFC-North,2.0,5,10.0,Hawkins, Josh,CB,Packers,https://cpt.azureedge.net/TeamLogoImages/packers-logo.png,http://www.packers.com/team/players.html,189, Josh Hawkins,Packers#28,70.0,Cornerback,Defensive Backs,Defense
35,26.0,"Miami, FL",Liberty,AFC,AFC-East,4.0,6,1.0,Aikens, Walt,S,Dolphins,https://cpt.azureedge.net/TeamLogoImages/dolphins-logo.png,http://www.miamidolphins.com/team/player-roster.html,212, Walt Aikens,Dolphins#35,73.0,Safety,Defensive Backs,Defense
81,23.0,"Houston, TX",Oregon,AFC,AFC-South,0.0,6,6.0,Baylis, Evan,TE,Texans,https://cpt.azureedge.net/TeamLogoImages/texans-logo.png,http://www.houstontexans.com/team/roster.html,245, Evan Baylis,Texans#81,78.0,Tight End,Backs and Receivers,Offense
16,22.0,"Washington, DC",Old Dominion,NFC,NFC-East,0.0,6,2.0,Pascal, Zach,WR,Redskins,https://cpt.azureedge.net/TeamLogoImages/redskins-logo.png,http://www.redskins.com/team/roster.html,219, Zach Pascal,Redskins#16,74.0,Wide Receiver,Backs and Receivers,Offense
87,23.0,"Atlanta, GA",Kansas State,NFC,NFC-South,0.0,6,2.0,Burton, Deante,WR,Falcons,https://cpt.azureedge.net/TeamLogoImages/falcons-logo.png,http://www.atlantafalcons.com/team/player-roster.html,205, Deante Burton,Falcons#87,74.0,Wide Receiver,Backs and Receivers,Offense
90,26.0,"San Diego, CA",Arkansas State,AFC,AFC-West,4.0,6,1.0,Carrethers, Ryan,NT,Chargers,https://cpt.azureedge.net/TeamLogoImages/chargers-logo.png,http://www.chargers.com/team/roster,333, Ryan Carrethers,Chargers#90,73.0,Nose Tackle,Defensive Line,Defense
34,23.0,"Houston, TX",San Jose State,AFC,AFC-South,2.0,5,10.0,Ervin, Tyler,RB,Texans,https://cpt.azureedge.net/TeamLogoImages/texans-logo.png,http://www.houstontexans.com/team/roster.html,185, Tyler Ervin,Texans#34,70.0,Running Back,Backs and Receivers,Offense
94,23.0,"Green Bay, WI",Northwestern,NFC,NFC-North,2.0,6,6.0,Lowry, Dean,DE,Packers,https://cpt.azureedge.net/TeamLogoImages/packers-logo.png,http://www.packers.com/team/players.html,296, Dean Lowry,Packers#94,78.0,Defensive End,Defensive Line,Defense
69,23.0,"Philadelphia, PA",LSU,NFC,NFC-East,2.0,6,4.0,Gordon, Dillon,T,Eagles,https://cpt.azureedge.net/TeamLogoImages/eagles-logo.png,http://www.philadelphiaeagles.com/team/roster.html,322, Dillon Gordon,Eagles#69,76.0,Offensive Tackle,Offensive Line,Offense
4,27.0,"Minneapolis , MN",Boston College,NFC,NFC-North,5.0,6,3.0,Quigley, Ryan,P,Vikings,https://cpt.azureedge.net/TeamLogoImages/vikings-logo.png,http://www.vikings.com/team/roster.html,188, Ryan Quigley,Vikings#4,75.0,Punter,Special Teams,Offense
7,24.0,"Indianapolis, IN",Miami FL,AFC,AFC-South,1.0,6,2.0,Morris, Stephen,QB,Colts,https://cpt.azureedge.net/TeamLogoImages/colts-logo.png,http://www.colts.com/team/roster.html,219, Stephen Morris,Colts#7,74.0,Quarterback,Backs and Receivers,Offense
28,25.0,"Indianapolis, IN",Arkansas,AFC,AFC-South,2.0,6,0.0,Mitchel, Tevin,CB,Colts,https://cpt.azureedge.net/TeamLogoImages/colts-logo.png,http://www.colts.com/team/roster.html,192, Tevin Mitchel,Colts#28,72.0,Cornerback,Defensive Backs,Defense
33,22.0,"Green Bay, WI",Texas-El Paso,NFC,NFC-North,0.0,5,10.0,Jones, Aaron,RB,Packers,https://cpt.azureedge.net/TeamLogoImages/packers-logo.png,http://www.packers.com/team/players.html,208, Aaron Jones,Packers#33,70.0,Running Back,Backs and Receivers,Offense
22,27.0,"New Orleans, LA",Alabama,NFC,NFC-South,6.0,5,9.0,Ingram, Mark,RB,Saints,https://cpt.azureedge.net/TeamLogoImages/saints-logo.png,http://www.neworleanssaints.com/team/roster.html,215, Mark Ingram,Saints#22,69.0,Running Back,Backs and Receivers,Offense
92,39.0,"Pittsburg, PA",Kent State,AFC,AFC-North,15.0,6,0.0,Harrison, James,LB,Steelers,https://cpt.azureedge.net/TeamLogoImages/steelers-logo.png,http://www.steelers.com/team/roster.html,242, James Harrison,Steelers#92,72.0,Linebacker,Linebackers,Defense
77,31.0,"Seattle, WA",Iowa State,NFC,NFC-West,10.0,6,2.0,Rubin, Ahtyba,DT,Seahawks,https://cpt.azureedge.net/TeamLogoImages/seahawks-logo.png,http://www.seahawks.com/team/roster,310, Ahtyba Rubin,Seahawks#77,74.0,Defensive Tackle,Defensive Line,Defense
25,26.0,"Kansas City, MO",Texas A&M,AFC,AFC-West,,5,10.0,Terrell, Steven,DB,Chiefs,https://cpt.azureedge.net/TeamLogoImages/chiefs-logo.png,http://www.chiefs.com/team/roster.html,197, Steven Terrell,Chiefs#25,70.0,Defensive Back,Defensive Backs,Defense
70,27.0,"Cleveland, OH",Wisconsin,AFC,AFC-North,7.0,6,4.0,Zeitler, Kevin,OL,Browns,https://cpt.azureedge.net/TeamLogoImages/browns-logo.png,http://www.clevelandbrowns.com/team/roster.html,315, Kevin Zeitler,Browns#70,76.0,Offensive Lineman,Offensive Line,Offense
44,31.0,"Charlotte, NC",Notre Dame,NFC,NFC-South,10.0,6,2.0,Jansen, J.J.,LS,Panthers,https://cpt.azureedge.net/TeamLogoImages/panthers-logo.png,http://www.panthers.com/team/roster.html,235, J.J. Jansen,Panthers#44,74.0,Long Snapper,Special Teams,Offense
2,22.0,"East Rutherford, NJ",Southern Oregon,NFC,NFC-East,0.0,6,2.0,Rosas, Aldrick,K,Giants,https://cpt.azureedge.net/TeamLogoImages/giants-logo.png,http://www.giants.com/team/roster.html,195, Aldrick Rosas,Giants#2,74.0,Kicker,Special Teams,Offense
