Title,Date,variable,value
Data Scientist,2020-07-01 00:00:00.000,Salary,163915
Solution Architect,2020-07-01 00:00:00.000,Salary,217083
Recruiter,2020-07-01 00:00:00.000,Salary,138952
Product Manager,2020-07-01 00:00:00.000,Salary,248157
Management Consultant,2020-07-01 00:00:00.000,Salary,157500
Hardware Engineer,2020-07-01 00:00:00.000,Salary,203270
Software Engineering Manager,2020-07-01 00:00:00.000,Salary,380149
Product Designer,2020-07-01 00:00:00.000,Salary,194579
Sales,2020-07-01 00:00:00.000,Salary,237750
Mechanical Engineer,2020-07-01 00:00:00.000,Salary,138273
Business Analyst,2020-07-01 00:00:00.000,Salary,120391
Human Resources,2020-07-01 00:00:00.000,Salary,162750
Marketing,2020-07-01 00:00:00.000,Salary,153053
Software Engineer,2020-08-01 00:00:00.000,Salary,189584
Product Manager,2020-08-01 00:00:00.000,Salary,233341
Product Designer,2020-08-01 00:00:00.000,Salary,194839
Management Consultant,2020-08-01 00:00:00.000,Salary,142848
Mechanical Engineer,2020-08-01 00:00:00.000,Salary,183483
Software Engineering Manager,2020-08-01 00:00:00.000,Salary,318316
Technical Program Manager,2020-08-01 00:00:00.000,Salary,237981
Data Scientist,2020-08-01 00:00:00.000,Salary,207978
Recruiter,2020-08-01 00:00:00.000,Salary,152955
Business Analyst,2020-08-01 00:00:00.000,Salary,117617
Human Resources,2020-08-01 00:00:00.000,Salary,170150
Marketing,2020-08-01 00:00:00.000,Salary,173355
Hardware Engineer,2020-08-01 00:00:00.000,Salary,191383
Sales,2020-08-01 00:00:00.000,Salary,248500
Solution Architect,2020-08-01 00:00:00.000,Salary,213240
Software Engineer,2020-09-01 00:00:00.000,Salary,186822
Data Scientist,2020-09-01 00:00:00.000,Salary,183714
Sales,2020-09-01 00:00:00.000,Salary,188290
Product Manager,2020-09-01 00:00:00.000,Salary,219982
Hardware Engineer,2020-09-01 00:00:00.000,Salary,204772
Technical Program Manager,2020-09-01 00:00:00.000,Salary,237510
Software Engineering Manager,2020-09-01 00:00:00.000,Salary,327731
Business Analyst,2020-09-01 00:00:00.000,Salary,112213
Product Designer,2020-09-01 00:00:00.000,Salary,218119
Marketing,2020-09-01 00:00:00.000,Salary,220176
Human Resources,2020-09-01 00:00:00.000,Salary,218150
Recruiter,2020-09-01 00:00:00.000,Salary,140000
Solution Architect,2020-09-01 00:00:00.000,Salary,221970
Mechanical Engineer,2020-09-01 00:00:00.000,Salary,155143
Management Consultant,2020-09-01 00:00:00.000,Salary,161723
Software Engineer,2020-10-01 00:00:00.000,Salary,187966
Solution Architect,2020-10-01 00:00:00.000,Salary,211950
Business Analyst,2020-10-01 00:00:00.000,Salary,141784
Data Scientist,2020-10-01 00:00:00.000,Salary,193926
Product Manager,2020-10-01 00:00:00.000,Salary,216495
Technical Program Manager,2020-10-01 00:00:00.000,Salary,211407
Marketing,2020-10-01 00:00:00.000,Salary,187595
Hardware Engineer,2020-10-01 00:00:00.000,Salary,199672
Software Engineering Manager,2020-10-01 00:00:00.000,Salary,323208
Mechanical Engineer,2020-10-01 00:00:00.000,Salary,151097
Sales,2020-10-01 00:00:00.000,Salary,188071
Human Resources,2020-10-01 00:00:00.000,Salary,174000
Product Designer,2020-10-01 00:00:00.000,Salary,225867
Management Consultant,2020-10-01 00:00:00.000,Salary,168559
Recruiter,2020-10-01 00:00:00.000,Salary,162107
Software Engineering Manager,2020-11-01 00:00:00.000,Salary,333949
Software Engineer,2020-11-01 00:00:00.000,Salary,182426
Mechanical Engineer,2020-11-01 00:00:00.000,Salary,135143
Data Scientist,2020-11-01 00:00:00.000,Salary,186656
Solution Architect,2020-11-01 00:00:00.000,Salary,190643
Product Manager,2020-11-01 00:00:00.000,Salary,246244
Sales,2020-11-01 00:00:00.000,Salary,169375
Technical Program Manager,2020-11-01 00:00:00.000,Salary,209700
Product Designer,2020-11-01 00:00:00.000,Salary,198613
Business Analyst,2020-11-01 00:00:00.000,Salary,113889
Hardware Engineer,2020-11-01 00:00:00.000,Salary,202097
Recruiter,2020-11-01 00:00:00.000,Salary,164938
Human Resources,2020-11-01 00:00:00.000,Salary,219818
Management Consultant,2020-11-01 00:00:00.000,Salary,133630
Marketing,2020-11-01 00:00:00.000,Salary,198238
Software Engineer,2020-12-01 00:00:00.000,Salary,202185
Product Manager,2020-12-01 00:00:00.000,Salary,234495
Human Resources,2020-12-01 00:00:00.000,Salary,216571
Sales,2020-12-01 00:00:00.000,Salary,237375
Solution Architect,2020-12-01 00:00:00.000,Salary,233476
Hardware Engineer,2020-12-01 00:00:00.000,Salary,201891
Data Scientist,2020-12-01 00:00:00.000,Salary,197633
Software Engineering Manager,2020-12-01 00:00:00.000,Salary,361508
Technical Program Manager,2020-12-01 00:00:00.000,Salary,294477
Product Designer,2020-12-01 00:00:00.000,Salary,214630
Marketing,2020-12-01 00:00:00.000,Salary,192950
Management Consultant,2020-12-01 00:00:00.000,Salary,140000
Mechanical Engineer,2020-12-01 00:00:00.000,Salary,122350
Business Analyst,2020-12-01 00:00:00.000,Salary,102850
Recruiter,2020-12-01 00:00:00.000,Salary,158429
Software Engineer,2020-01-01 00:00:00.000,Average Salary,230.83
Hardware Engineer,2020-01-01 00:00:00.000,Average Salary,256.667
Data Scientist,2020-01-01 00:00:00.000,Average Salary,221.568
Product Manager,2020-01-01 00:00:00.000,Average Salary,290.048
Software Engineering Manager,2020-01-01 00:00:00.000,Average Salary,350.333
Product Designer,2020-01-01 00:00:00.000,Average Salary,234.625
Solution Architect,2020-01-01 00:00:00.000,Average Salary,270.455
Marketing,2020-01-01 00:00:00.000,Average Salary,275
Software Engineer,2020-02-01 00:00:00.000,Average Salary,221.148
Product Manager,2020-02-01 00:00:00.000,Average Salary,284.127
Software Engineering Manager,2020-02-01 00:00:00.000,Average Salary,358.476
Data Scientist,2020-02-01 00:00:00.000,Average Salary,221.028
Hardware Engineer,2020-02-01 00:00:00.000,Average Salary,228.294
Solution Architect,2020-02-01 00:00:00.000,Average Salary,192.889
Product Designer,2020-02-01 00:00:00.000,Average Salary,215.3
Business Analyst,2020-02-01 00:00:00.000,Average Salary,204
Sales,2020-02-01 00:00:00.000,Average Salary,260
Software Engineer,2020-03-01 00:00:00.000,Average Salary,217.994
Product Manager,2020-03-01 00:00:00.000,Average Salary,255.326
Product Designer,2020-03-01 00:00:00.000,Average Salary,211.5
Hardware Engineer,2020-03-01 00:00:00.000,Average Salary,207.867
Solution Architect,2020-03-01 00:00:00.000,Average Salary,191.6
Software Engineering Manager,2020-03-01 00:00:00.000,Average Salary,439.429
Data Scientist,2020-03-01 00:00:00.000,Average Salary,206.086
Technical Program Manager,2020-03-01 00:00:00.000,Average Salary,215.941
Management Consultant,2020-03-01 00:00:00.000,Average Salary,138.167
Mechanical Engineer,2020-03-01 00:00:00.000,Average Salary,120
Software Engineer,2020-04-01 00:00:00.000,Average Salary,217.394
Hardware Engineer,2020-04-01 00:00:00.000,Average Salary,237.44
Data Scientist,2020-04-01 00:00:00.000,Average Salary,218.125
Product Manager,2020-04-01 00:00:00.000,Average Salary,273.87
Software Engineering Manager,2020-04-01 00:00:00.000,Average Salary,381.034
Technical Program Manager,2020-04-01 00:00:00.000,Average Salary,205
Management Consultant,2020-04-01 00:00:00.000,Average Salary,181.353
Product Designer,2020-04-01 00:00:00.000,Average Salary,278.571
Solution Architect,2020-04-01 00:00:00.000,Average Salary,182.714
Hardware Engineer,2020-05-01 00:00:00.000,Average Salary,207.897
Product Manager,2020-05-01 00:00:00.000,Average Salary,259.475
Software Engineer,2020-05-01 00:00:00.000,Average Salary,230.114
Management Consultant,2020-05-01 00:00:00.000,Average Salary,174.188
Data Scientist,2020-05-01 00:00:00.000,Average Salary,191.511
Software Engineering Manager,2020-05-01 00:00:00.000,Average Salary,340.162
Solution Architect,2020-05-01 00:00:00.000,Average Salary,209
Technical Program Manager,2020-05-01 00:00:00.000,Average Salary,246.579
Product Designer,2020-05-01 00:00:00.000,Average Salary,192.182
Business Analyst,2020-05-01 00:00:00.000,Average Salary,130.5
Mechanical Engineer,2020-05-01 00:00:00.000,Average Salary,205
Sales,2020-05-01 00:00:00.000,Average Salary,120
Recruiter,2020-05-01 00:00:00.000,Average Salary,150
Software Engineer,2020-06-01 00:00:00.000,Average Salary,224.473
Data Scientist,2020-06-01 00:00:00.000,Average Salary,196.944
Hardware Engineer,2020-06-01 00:00:00.000,Average Salary,244.588
Technical Program Manager,2020-06-01 00:00:00.000,Average Salary,258.478
Solution Architect,2020-06-01 00:00:00.000,Average Salary,173.846
Management Consultant,2020-06-01 00:00:00.000,Average Salary,171.167
Product Manager,2020-06-01 00:00:00.000,Average Salary,230.774
Software Engineering Manager,2020-06-01 00:00:00.000,Average Salary,324.032
Product Designer,2020-06-01 00:00:00.000,Average Salary,206
Business Analyst,2020-06-01 00:00:00.000,Average Salary,137.5
Recruiter,2020-06-01 00:00:00.000,Average Salary,194
Software Engineer,2020-07-01 00:00:00.000,Average Salary,198.223
Technical Program Manager,2020-07-01 00:00:00.000,Average Salary,217.146
Data Scientist,2020-07-01 00:00:00.000,Average Salary,163.915
Solution Architect,2020-07-01 00:00:00.000,Average Salary,217.083
Recruiter,2020-07-01 00:00:00.000,Average Salary,138.952
Product Manager,2020-07-01 00:00:00.000,Average Salary,248.157
Management Consultant,2020-07-01 00:00:00.000,Average Salary,157.5
Hardware Engineer,2020-07-01 00:00:00.000,Average Salary,203.27
Software Engineering Manager,2020-07-01 00:00:00.000,Average Salary,380.149
Product Designer,2020-07-01 00:00:00.000,Average Salary,194.579
Sales,2020-07-01 00:00:00.000,Average Salary,237.75
Mechanical Engineer,2020-07-01 00:00:00.000,Average Salary,138.273
Business Analyst,2020-07-01 00:00:00.000,Average Salary,120.391
Human Resources,2020-07-01 00:00:00.000,Average Salary,162.75
Marketing,2020-07-01 00:00:00.000,Average Salary,153.053
Software Engineer,2020-08-01 00:00:00.000,Average Salary,189.584
Product Manager,2020-08-01 00:00:00.000,Average Salary,233.341
Product Designer,2020-08-01 00:00:00.000,Average Salary,194.839
Management Consultant,2020-08-01 00:00:00.000,Average Salary,142.848
Mechanical Engineer,2020-08-01 00:00:00.000,Average Salary,183.483
Software Engineering Manager,2020-08-01 00:00:00.000,Average Salary,318.316
Technical Program Manager,2020-08-01 00:00:00.000,Average Salary,237.981
Data Scientist,2020-08-01 00:00:00.000,Average Salary,207.978
Recruiter,2020-08-01 00:00:00.000,Average Salary,152.955
Business Analyst,2020-08-01 00:00:00.000,Average Salary,117.617
Human Resources,2020-08-01 00:00:00.000,Average Salary,170.15
Marketing,2020-08-01 00:00:00.000,Average Salary,173.355
Hardware Engineer,2020-08-01 00:00:00.000,Average Salary,191.383
Sales,2020-08-01 00:00:00.000,Average Salary,248.5
Solution Architect,2020-08-01 00:00:00.000,Average Salary,213.24
Software Engineer,2020-09-01 00:00:00.000,Average Salary,186.822
Data Scientist,2020-09-01 00:00:00.000,Average Salary,183.714
Sales,2020-09-01 00:00:00.000,Average Salary,188.29
Product Manager,2020-09-01 00:00:00.000,Average Salary,219.982
Hardware Engineer,2020-09-01 00:00:00.000,Average Salary,204.772
Technical Program Manager,2020-09-01 00:00:00.000,Average Salary,237.51
Software Engineering Manager,2020-09-01 00:00:00.000,Average Salary,327.731
Business Analyst,2020-09-01 00:00:00.000,Average Salary,112.213
Product Designer,2020-09-01 00:00:00.000,Average Salary,218.119
Marketing,2020-09-01 00:00:00.000,Average Salary,220.176
Human Resources,2020-09-01 00:00:00.000,Average Salary,218.15
Recruiter,2020-09-01 00:00:00.000,Average Salary,140
Solution Architect,2020-09-01 00:00:00.000,Average Salary,221.97
Mechanical Engineer,2020-09-01 00:00:00.000,Average Salary,155.143
Management Consultant,2020-09-01 00:00:00.000,Average Salary,161.723
Software Engineer,2020-10-01 00:00:00.000,Average Salary,187.966
Solution Architect,2020-10-01 00:00:00.000,Average Salary,211.95
Business Analyst,2020-10-01 00:00:00.000,Average Salary,141.784
Data Scientist,2020-10-01 00:00:00.000,Average Salary,193.926
Product Manager,2020-10-01 00:00:00.000,Average Salary,216.495
Technical Program Manager,2020-10-01 00:00:00.000,Average Salary,211.407
Marketing,2020-10-01 00:00:00.000,Average Salary,187.595
Hardware Engineer,2020-10-01 00:00:00.000,Average Salary,199.672
Software Engineering Manager,2020-10-01 00:00:00.000,Average Salary,323.208
Mechanical Engineer,2020-10-01 00:00:00.000,Average Salary,151.097
Sales,2020-10-01 00:00:00.000,Average Salary,188.071
Human Resources,2020-10-01 00:00:00.000,Average Salary,174
Product Designer,2020-10-01 00:00:00.000,Average Salary,225.867
Management Consultant,2020-10-01 00:00:00.000,Average Salary,168.559
Recruiter,2020-10-01 00:00:00.000,Average Salary,162.107
Software Engineering Manager,2020-11-01 00:00:00.000,Average Salary,333.949
Software Engineer,2020-11-01 00:00:00.000,Average Salary,182.426
Mechanical Engineer,2020-11-01 00:00:00.000,Average Salary,135.143
Data Scientist,2020-11-01 00:00:00.000,Average Salary,186.656
Solution Architect,2020-11-01 00:00:00.000,Average Salary,190.643
Product Manager,2020-11-01 00:00:00.000,Average Salary,246.244
Sales,2020-11-01 00:00:00.000,Average Salary,169.375
Technical Program Manager,2020-11-01 00:00:00.000,Average Salary,209.7
Product Designer,2020-11-01 00:00:00.000,Average Salary,198.613
Business Analyst,2020-11-01 00:00:00.000,Average Salary,113.889
Hardware Engineer,2020-11-01 00:00:00.000,Average Salary,202.097
Recruiter,2020-11-01 00:00:00.000,Average Salary,164.938
Human Resources,2020-11-01 00:00:00.000,Average Salary,219.818
Management Consultant,2020-11-01 00:00:00.000,Average Salary,133.63
Marketing,2020-11-01 00:00:00.000,Average Salary,198.238
Software Engineer,2020-12-01 00:00:00.000,Average Salary,202.185
Product Manager,2020-12-01 00:00:00.000,Average Salary,234.495
Human Resources,2020-12-01 00:00:00.000,Average Salary,216.571
Sales,2020-12-01 00:00:00.000,Average Salary,237.375
Solution Architect,2020-12-01 00:00:00.000,Average Salary,233.476
Hardware Engineer,2020-12-01 00:00:00.000,Average Salary,201.891
Data Scientist,2020-12-01 00:00:00.000,Average Salary,197.633
Software Engineering Manager,2020-12-01 00:00:00.000,Average Salary,361.508
Technical Program Manager,2020-12-01 00:00:00.000,Average Salary,294.477
Product Designer,2020-12-01 00:00:00.000,Average Salary,214.63
Marketing,2020-12-01 00:00:00.000,Average Salary,192.95
Management Consultant,2020-12-01 00:00:00.000,Average Salary,140
Mechanical Engineer,2020-12-01 00:00:00.000,Average Salary,122.35
Business Analyst,2020-12-01 00:00:00.000,Average Salary,102.85
Recruiter,2020-12-01 00:00:00.000,Average Salary,158.429
