Date,Education,Avg Total Compensation,Highest Payer,Education Sort,Compensation
2021-03-01 00:00:00.000,"Master's Degree",231955,"(Zapier)",3,"$231,955 (Zapier)"
2021-03-01 00:00:00.000,"Bachelor's Degree",181695,"(Zapier)",2,"$181,695 (Zapier)"
2021-03-01 00:00:00.000,"High School",180433,"(Zapier)",1,"$180,433 (Zapier)"
2021-04-01 00:00:00.000,"PhD",298761,"(Ripple)",4,"$298,761 (Ripple)"
2021-04-01 00:00:00.000,"Master's Degree",214055,"(Ripple)",3,"$214,055 (Ripple)"
2021-04-01 00:00:00.000,"Bachelor's Degree",176541,"(Ripple)",2,"$176,541 (Ripple)"
2021-04-01 00:00:00.000,"High School",191062,"(Ripple)",1,"$191,062 (Ripple)"
2021-05-01 00:00:00.000,"PhD",284361,"(Chevron)",4,"$284,361 (Chevron)"
2021-05-01 00:00:00.000,"Master's Degree",216649,"(Chevron)",3,"$216,649 (Chevron)"
2021-05-01 00:00:00.000,"Bachelor's Degree",171104,"(Chevron)",2,"$171,104 (Chevron)"
2021-05-01 00:00:00.000,"High School",187464,"(Chevron)",1,"$187,464 (Chevron)"
2021-06-01 00:00:00.000,"PhD",268125,"(Netflix)",4,"$268,125 (Netflix)"
2021-06-01 00:00:00.000,"Master's Degree",204188,"(Netflix)",3,"$204,188 (Netflix)"
2021-06-01 00:00:00.000,"Bachelor's Degree",164495,"(Netflix)",2,"$164,495 (Netflix)"
2021-06-01 00:00:00.000,"High School",230577,"(Netflix)",1,"$230,577 (Netflix)"
2021-07-01 00:00:00.000,"PhD",284624,"(Pdt Partners)",4,"$284,624 (Pdt Partners)"
2021-07-01 00:00:00.000,"Master's Degree",214737,"(Pdt Partners)",3,"$214,737 (Pdt Partners)"
2021-07-01 00:00:00.000,"Bachelor's Degree",168963,"(Pdt Partners)",2,"$168,963 (Pdt Partners)"
2021-07-01 00:00:00.000,"High School",139455,"(Pdt Partners)",1,"$139,455 (Pdt Partners)"
2021-08-01 00:00:00.000,"PhD",226312,"(Citadel)",4,"$226,312 (Citadel)"
2021-08-01 00:00:00.000,"Master's Degree",186287,"(Citadel)",3,"$186,287 (Citadel)"
2021-08-01 00:00:00.000,"Bachelor's Degree",170780,"(Citadel)",2,"$170,780 (Citadel)"
2021-08-01 00:00:00.000,"High School",183450,"(Citadel)",1,"$183,450 (Citadel)"
