Index,variable,value
737,ReturnQuantity,1
1403,ReturnQuantity,1
810,ReturnQuantity,1
454,ReturnQuantity,1
520,ReturnQuantity,1
459,ReturnQuantity,1
13,ReturnQuantity,1
958,ReturnQuantity,1
1678,ReturnQuantity,1
250,ReturnQuantity,1
1607,ReturnQuantity,1
556,ReturnQuantity,1
398,ReturnQuantity,1
1750,ReturnQuantity,1
1332,ReturnQuantity,1
82,ReturnQuantity,1
585,ReturnQuantity,1
844,ReturnQuantity,1
1594,ReturnQuantity,1
1743,ReturnQuantity,1
50,ReturnQuantity,1
1642,ReturnQuantity,1
1208,ReturnQuantity,1
1686,ReturnQuantity,1
1611,ReturnQuantity,1
1269,ReturnQuantity,1
1006,ReturnQuantity,1
202,ReturnQuantity,1
1096,ReturnQuantity,1
730,ReturnQuantity,1
558,ReturnQuantity,1
999,ReturnQuantity,1
743,ReturnQuantity,1
1157,ReturnQuantity,1
458,ReturnQuantity,1
1089,ReturnQuantity,2
386,ReturnQuantity,1
1755,ReturnQuantity,1
1603,ReturnQuantity,1
536,ReturnQuantity,1
1559,ReturnQuantity,1
845,ReturnQuantity,1
63,ReturnQuantity,1
1491,ReturnQuantity,1
423,ReturnQuantity,1
217,ReturnQuantity,1
1243,ReturnQuantity,1
1105,ReturnQuantity,1
514,ReturnQuantity,1
370,ReturnQuantity,1
829,ReturnQuantity,1
1321,ReturnQuantity,1
1223,ReturnQuantity,1
1015,ReturnQuantity,1
1225,ReturnQuantity,1
