Property,Value,Formatted
"SQL_CONVERT_TINYINT","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_VARBINARY","0",""
"SQL_CONVERT_VARCHAR","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_WCHAR","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_WLONGVARCHAR","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_CONVERT_WVARCHAR","14939135","BIGINT | BIT | CHAR | DATE | DECIMAL | DOUBLE | FLOAT | INTEGER | LONGVARCHAR | NUMERIC | REAL | SMALLINT | TIME | TIMESTAMP | TINYINT | VARCHAR | WCHAR | WLONGVARCHAR | WVARCHAR"
"SQL_DBMS_NAME","MySQL","MySQL"
"SQL_DBMS_VER","5.7.12 mongosqld v2.13.3","5.7.12 mongosqld v2.13.3"
"SQL_DRIVER_NAME","mdbodbc5a.dll","mdbodbc5a.dll"
"SQL_DRIVER_ODBC_VER","03.80","03.80"
"SQL_DRIVER_VER","01.03.0000","01.03.0000"
"SQL_GROUP_BY","3","SQL_GB_NO_RELATION"
"SQL_IDENTIFIER_QUOTE_CHAR","`","`"
"SQL_MAX_COLUMNS_IN_GROUP_BY","0","0"
"SQL_MAX_COLUMNS_IN_ORDER_BY","0","0"
"SQL_MAX_COLUMNS_IN_SELECT","0","0"
"SQL_MAX_IDENTIFIER_LEN","192","192"
"SQL_NUMERIC_FUNCTIONS","16777215","SQL_FN_NUM_ABS | SQL_FN_NUM_ACOS | SQL_FN_NUM_ASIN | SQL_FN_NUM_ATAN | SQL_FN_NUM_ATAN2 | SQL_FN_NUM_CEILING | SQL_FN_NUM_COS | SQL_FN_NUM_COT | SQL_FN_NUM_DEGREES | SQL_FN_NUM_EXP | SQL_FN_NUM_FLOOR | SQL_FN_NUM_LOG | SQL_FN_NUM_LOG10 | SQL_FN_NUM_MOD | SQL_FN_NUM_PI | SQL_FN_NUM_POWER | SQL_FN_NUM_RADIANS | SQL_FN_NUM_RAND | SQL_FN_NUM_ROUND | SQL_FN_NUM_SIGN | SQL_FN_NUM_SIN | SQL_FN_NUM_SQRT | SQL_FN_NUM_TAN | SQL_FN_NUM_TRUNCATE"
"SQL_ODBC_INTERFACE_CONFORMANCE","2","2"
"SQL_ORDER_BY_COLUMNS_IN_SELECT","N","N"
"SQL_RETURN_ESCAPE_CLAUSE","",""
"SQL_SCHEMA_TERM","",""
"SQL_SCHEMA_USAGE","0",""
"SQL_SEARCH_PATTERN_ESCAPE","\","\"
"SQL_SPECIAL_CHARACTERS"," !""#%&'()*+,-.:;<=>?@[\]^`{|}~"," !""#%&'()*+,-.:;<=>?@[\]^`{|}~"
"SQL_SQL92_RELATIONAL_JOIN_OPERATORS","466","CROSS_JOIN | INNER_JOIN | LEFT_OUTER_JOIN | NATURAL_JOIN | RIGHT_OUTER_JOIN"
"SQL_STRING_FUNCTIONS","14647295","SQL_FN_STR_ASCII | SQL_FN_STR_BIT_LENGTH | SQL_FN_STR_CHAR | SQL_FN_STR_CHAR_LENGTH | SQL_FN_STR_CONCAT | SQL_FN_STR_INSERT | SQL_FN_STR_LCASE | SQL_FN_STR_LEFT | SQL_FN_STR_LENGTH | SQL_FN_STR_LOCATE | SQL_FN_STR_LOCATE_2 | SQL_FN_STR_LTRIM | SQL_FN_STR_OCTET_LENGTH | SQL_FN_STR_POSITION | SQL_FN_STR_REPEAT | SQL_FN_STR_REPLACE | SQL_FN_STR_RIGHT | SQL_FN_STR_RTRIM | SQL_FN_STR_SOUNDEX | SQL_FN_STR_SPACE | SQL_FN_STR_SUBSTRING | SQL_FN_STR_UCASE"
"SQL_SYSTEM_FUNCTIONS","7","SQL_FN_SYS_DBNAME | SQL_FN_SYS_IFNULL | SQL_FN_SYS_USERNAME"
"SQL_TIMEDATE_ADD_INTERVALS","0",""
"SQL_TIMEDATE_DIFF_INTERVALS","0",""
"SQL_TIMEDATE_FUNCTIONS","2097151","SQL_FN_TD_CURDATE | SQL_FN_TD_CURRENT_DATE | SQL_FN_TD_CURRENT_TIME | SQL_FN_TD_CURRENT_TIMESTAMP | SQL_FN_TD_CURTIME | SQL_FN_TD_DAYNAME | SQL_FN_TD_DAYOFMONTH | SQL_FN_TD_DAYOFWEEK | SQL_FN_TD_DAYOFYEAR | SQL_FN_TD_EXTRACT | SQL_FN_TD_HOUR | SQL_FN_TD_MINUTE | SQL_FN_TD_MONTH | SQL_FN_TD_MONTHNAME | SQL_FN_TD_NOW | SQL_FN_TD_QUARTER | SQL_FN_TD_SECOND | SQL_FN_TD_TIMESTAMPADD | SQL_FN_TD_TIMESTAMPDIFF | SQL_FN_TD_WEEK | SQL_FN_TD_YEAR"
