ResellerKey,GeographyKey,ResellerAlternateKey,Phone,BusinessType,ResellerName,NumberEmployees,OrderFrequency,OrderMonth,FirstOrderYear,LastOrderYear,ProductLine,AddressLine1,AddressLine2,AnnualSales,BankName,MinPaymentType,MinPaymentAmount,AnnualRevenue,YearOpened
35,555,AW00000035,623-555-0153,Specialty Bike Shop,Economic Parts Supply,43,A,,,,Road,2532 Fairgrounds Road,,1500000,Reserve Security,1.0,,150000,1996
25,317,AW00000025,357-555-0161,Value Added Reseller,Coalition Bike Company,18,S,6.0,2012.0,2013.0,Mountain,Corporate Office,,800000,United Security,2.0,,80000,2001
480,84,AW00000480,994-555-0194,Specialty Bike Shop,General Bike Corporation,48,A,4.0,2010.0,2013.0,Road,69251 Creditview Road,,1500000,United Security,2.0,,150000,1998
24,376,AW00000024,926-555-0164,Warehouse,Eastside Department Store,61,Q,6.0,2012.0,2013.0,Road,9992 Whipple Rd,,3000000,Primary International,1.0,,300000,1983
441,452,AW00000441,500-555-0134,Specialty Bike Shop,Leading Bike Distributors,13,A,5.0,2013.0,2013.0,Road,Grand Central Place,,800000,Reserve Security,,,80000,1982
520,253,AW00000520,1 (11) 500 555-0118,Warehouse,Metro Metals Co.,93,Q,5.0,2013.0,2013.0,Touring,2524 Barlby Road,,3000000,International Security,2.0,,300000,1978
417,591,AW00000417,273-555-0181,Warehouse,Genuine Bike Shop,95,Q,12.0,2011.0,2013.0,Road,7760 N. Pan Am Expwy,,3000000,United Security,2.0,,300000,1984
37,633,AW00000037,724-555-0161,Value Added Reseller,Two Bike Shops,14,S,6.0,2012.0,2013.0,Road,35525-9th Street Sw,,800000,International Security,3.0,600.0,80000,1995
141,6,AW00000141,1 (11) 500 555-0176,Specialty Bike Shop,Rental Gallery,40,A,5.0,2013.0,2013.0,Mountain,2520b Underwood Street,,1500000,International Bank,3.0,600.0,150000,1999
341,515,AW00000341,710-555-0116,Specialty Bike Shop,Independent Outlet,22,A,,,,Road,Great Northern Mall Hwy4 & Rt. 31,,1000000,Primary Bank & Reserve,1.0,,100000,2000
291,573,AW00000291,640-555-0189,Value Added Reseller,Grand Bicycle Stores,2,S,6.0,2012.0,2013.0,Mountain,48255 I-10 E. @ Eastpoint Blvd.,,300000,United Security,,,30000,1977
643,468,AW00000643,537-555-0190,Specialty Bike Shop,Friendly Bike Shop,30,A,4.0,2011.0,2012.0,Road,Port Huron,,1500000,Guardian Bank,,,150000,2000
325,610,AW00000325,918-555-0127,Specialty Bike Shop,All Cycle Shop,27,A,4.0,2011.0,2013.0,Mountain,25111 228th St Sw,,1000000,Primary International,1.0,,100000,2002
430,233,AW00000430,1 (11) 500 555-0118,Value Added Reseller,Uttermost Bike Shop,19,S,5.0,2012.0,2013.0,Road,Ellesfield Ave,,800000,Primary International,,,80000,2004
423,488,AW00000423,334-555-0146,Warehouse,Bike Rims Company,97,Q,4.0,2010.0,2012.0,Road,Edgewater Mall,,3000000,Primary International,,,300000,1996
493,308,AW00000493,323-555-0113,Warehouse,Valley Bicycle Distributors,84,Q,5.0,2012.0,2013.0,Road,5867 Sunrise Boulevard,,3000000,Primary International,3.0,1000.0,300000,1985
394,278,AW00000394,1 (11) 500 555-0116,Value Added Reseller,Little Sports Center,4,S,,,,Touring,7 Pioneer Business Park,,300000,International Security,3.0,200.0,30000,1980
617,263,AW00000617,1 (11) 500 555-0146,Warehouse,Tubeless Tire Company,89,Q,8.0,2013.0,2013.0,Touring,2574 Milton Park,,3000000,International Bank,,,300000,1984
202,589,AW00000202,645-555-0193,Warehouse,Two-Seater Bikes,96,Q,6.0,2013.0,2013.0,Touring,5700 Legacy Dr,,3000000,Guardian Bank,3.0,600.0,300000,1990
44,282,AW00000044,552-555-0141,Specialty Bike Shop,Games and Sport Supply Company,48,A,6.0,2013.0,2013.0,Touring,2525 Electrics Blvd.,,1500000,International Security,1.0,,150000,1998
396,446,AW00000396,214-555-0170,Warehouse,Executive Gift Store,88,Q,5.0,2012.0,2013.0,Mountain,New Castle Plaza,,3000000,United Security,1.0,,300000,1979
88,260,AW00000088,1 (11) 500 555-0173,Value Added Reseller,Closest Bicycle Store,12,S,6.0,2013.0,2013.0,Mountain,"Garamonde Drive, Wymbush",PO Box 4023,800000,United Security,1.0,,80000,1980
338,177,AW00000338,1 (11) 500 555-0136,Specialty Bike Shop,Rambling Tours,19,A,9.0,2013.0,2013.0,Touring,Rotth„user Weg 511,,800000,International Security,3.0,600.0,80000,1994
683,257,AW00000683,1 (11) 500 555-0137,Specialty Bike Shop,Oils and Fluids Warehouse,37,A,5.0,2012.0,2013.0,Mountain,"Park House-4th Floor, 2516 Park St.",,1500000,United Security,,,150000,1999
439,291,AW00000439,425-555-0158,Warehouse,Regional Manufacturing,40,Q,3.0,2011.0,2011.0,Mountain,Factory Stores/tucson,,1500000,Primary Bank & Reserve,2.0,,150000,1978
29,77,AW00000029,344-555-0144,Specialty Bike Shop,Cross-Country Riding Supplies,37,A,5.0,2011.0,2011.0,Mountain,Station E,,1500000,International Bank,2.0,,150000,1999
402,303,AW00000402,640-555-0198,Warehouse,Pro Sporting Goods,90,Q,,,,Mountain,Camarillo Athletic Stores,,3000000,Primary International,1.0,,300000,1976
27,568,AW00000027,284-555-0185,Warehouse,Sports Sales and Rental,64,Q,4.0,2010.0,2013.0,Mountain,100 Fifth Drive,,3000000,Guardian Bank,,,300000,2000
419,346,AW00000419,816-555-0118,Specialty Bike Shop,Exertion Activities Club,32,A,,,,Touring,Norwalk Square,,1500000,Guardian Bank,,,150000,1988
130,578,AW00000130,380-555-0116,Warehouse,Elite Bikes,58,Q,6.0,2012.0,2012.0,Road,Po Box 8259024,,3000000,United Security,3.0,1000.0,300000,2003
515,86,AW00000515,833-555-0167,Value Added Reseller,Rural Bicycle Supply,6,S,,,,Mountain,Suite #9902,,300000,United Security,3.0,200.0,30000,1974
432,443,AW00000432,186-555-0135,Warehouse,Super Sports Store,100,Q,5.0,2011.0,2013.0,Road,Washington Square Ii,,3000000,Primary Bank & Reserve,2.0,,300000,2003
294,381,AW00000294,780-555-0114,Value Added Reseller,Flawless Bike Shop,4,S,,,,Road,North County Square,,300000,Reserve Security,3.0,600.0,30000,1982
408,61,AW00000408,519-555-0151,Warehouse,Odometers and Accessories Company,92,Q,6.0,2013.0,2013.0,Touring,"253711 Mayfield Place, Unit 150",,3000000,International Security,,,300000,1991
85,216,AW00000085,1 (11) 500 555-0170,Value Added Reseller,Roadway Bicycle Supply,10,S,5.0,2013.0,2013.0,Touring,"121, rue de Varenne",,800000,International Bank,3.0,600.0,80000,1974
459,423,AW00000459,653-555-0170,Specialty Bike Shop,Parts Shop,31,A,10.0,2013.0,2013.0,Road,West Georgia Commons,,1500000,United Security,3.0,600.0,150000,2002
405,564,AW00000405,813-555-0173,Warehouse,Sporting Goods and Bicycle Shop,91,Q,,,,Road,Fort Henry Mall,,3000000,Guardian Bank,3.0,1000.0,300000,1981
222,386,AW00000222,858-555-0140,Value Added Reseller,Sample Bike Store,5,S,9.0,2011.0,2012.0,Road,2530 South Colorado Blvd.,,300000,Primary Bank & Reserve,1.0,,30000,1980
547,382,AW00000547,535-555-0189,Specialty Bike Shop,Curbside Sporting Goods,10,A,,,,Road,25871 North Main Street,,800000,International Bank,3.0,600.0,80000,1976
315,408,AW00000315,843-555-0175,Value Added Reseller,Juvenile Sports Equipment,18,S,4.0,2010.0,2012.0,Mountain,78025 E. Mercy Island Cswy,,800000,Reserve Security,2.0,,80000,1998
91,536,AW00000091,810-555-0198,Value Added Reseller,Scooters and Bikes Store,14,S,6.0,2011.0,2011.0,Road,258101 Nw Evergreen Parkway,,800000,Reserve Security,2.0,,80000,1986
590,173,AW00000590,1 (11) 500 555-0115,Warehouse,Lustrous Paints and Components,80,Q,7.0,2012.0,2012.0,Road,Kurfrstenstr 74,,3000000,International Security,2.0,,300000,1991
70,244,AW00000070,1 (11) 500 555-0122,Value Added Reseller,Outdoor Aerobic Systems Company,3,S,2.0,2013.0,2013.0,Road,255 Irving Street,,300000,Reserve Security,3.0,600.0,30000,1985
136,41,AW00000136,674-555-0187,Warehouse,Wholesale Parts,64,Q,5.0,2011.0,2011.0,Road,655-4th Ave S.W.,,3000000,Primary International,3.0,600.0,300000,2000
571,191,AW00000571,1 (11) 500 555-0187,Specialty Bike Shop,Community Department Stores,34,A,6.0,2012.0,2013.0,Mountain,"3639, rue des Grands Champs",,1500000,United Security,2.0,,150000,1987
156,106,AW00000156,844-555-0112,Specialty Bike Shop,Metal Processing Company,47,A,6.0,2011.0,2013.0,Road,770 Notre Datme Quest Bureau 800,,1500000,International Security,1.0,,150000,1990
65,99,AW00000065,737-555-0163,Specialty Bike Shop,Metro Manufacturing,41,A,5.0,2012.0,2013.0,Mountain,2550 Signet Drive,,1500000,International Security,2.0,,150000,1981
358,277,AW00000358,1 (11) 500 555-0144,Value Added Reseller,Mail Market,16,S,5.0,2013.0,2013.0,Touring,308-3250 Casting Road,,800000,International Bank,1.0,,80000,1998
20,622,AW00000020,582-555-0113,Specialty Bike Shop,Central Discount Store,28,A,6.0,2011.0,2013.0,Mountain,259826 Russell Rd. South,,1000000,Guardian Bank,3.0,600.0,100000,1975
630,93,AW00000630,194-555-0149,Value Added Reseller,Eastside Parts Shop,10,S,6.0,2013.0,2013.0,Touring,7000 Victoria Park Avenue,,800000,Reserve Security,2.0,,80000,1974
583,290,AW00000583,741-555-0173,Specialty Bike Shop,Professional Containers and Packaging Co.,46,A,5.0,2012.0,2012.0,Mountain,253731 West Bell Road,,1500000,International Security,1.0,,150000,2001
227,94,AW00000227,431-555-0153,Warehouse,"Health Spa, Limited",46,Q,4.0,2010.0,2013.0,Road,2500 University Avenue,,1500000,Primary International,2.0,,150000,1990
650,511,AW00000650,265-555-0143,Warehouse,Permanent Finish Products,100,Q,5.0,2011.0,2013.0,Mountain,62500 Neil Road,,3000000,Guardian Bank,,,300000,2003
335,82,AW00000335,156-555-0111,Specialty Bike Shop,Scratch-Resistant Finishes Company,16,A,8.0,2011.0,2013.0,Mountain,5700 Explorer Drive,,800000,Guardian Bank,,,80000,1988
193,180,AW00000193,1 (11) 500 555-0165,Warehouse,Perfect Toys,93,Q,5.0,2013.0,2013.0,Touring,"68081, place du Tertre",,3000000,United Security,1.0,,300000,1978
482,115,AW00000482,1 (11) 500 555-0186,Value Added Reseller,"Fabrikam Inc., East",11,S,4.0,2012.0,2013.0,Road,Roástr 9938,Verkaufsabteilung,800000,Guardian Bank,3.0,200.0,80000,1997
464,174,AW00000464,1 (11) 500 555-0147,Value Added Reseller,Educational Services,17,S,6.0,2013.0,2013.0,Touring,Wallstr 244,,800000,International Security,1.0,,80000,1991
634,14,AW00000634,1 (11) 500 555-0159,Specialty Bike Shop,Sensible Sports,33,A,4.0,2012.0,2013.0,Touring,Level 5,157 Liverpool Street,1500000,United Security,2.0,,150000,1982
194,150,AW00000194,1 (11) 500 555-0179,Value Added Reseller,Mechanical Brake Manufacturers,10,S,,,,Touring,Alte Landstr 776,,800000,Primary Bank & Reserve,2.0,,80000,1974
104,130,AW00000104,1 (11) 500 555-0117,Specialty Bike Shop,Very Best Sports Supply,28,A,6.0,2013.0,2013.0,Road,Kurfrstenstr 9,,1000000,Guardian Bank,,,100000,1975
463,211,AW00000463,1 (11) 500 555-0123,Warehouse,Brand New Bikes,64,Q,,,,Road,"215, avenue Reille",,3000000,International Bank,,,300000,2000
310,437,AW00000310,118-555-0184,Specialty Bike Shop,Orange Bicycle Company,32,A,5.0,2012.0,2013.0,Road,123 W. Lake Ave.,,1500000,International Security,1.0,,150000,1988
158,154,AW00000158,1 (11) 500 555-0191,Value Added Reseller,Rural Sporting Goods,10,S,,,,Road,Auf der Krone 53,,800000,United Security,3.0,600.0,80000,1989
265,202,AW00000265,1 (11) 500 555-0199,Specialty Bike Shop,Full Sports Supply,47,A,4.0,2011.0,2012.0,Mountain,"39, route de Marseille",,1500000,Guardian Bank,,,150000,1990
501,7,AW00000501,1 (11) 500 555-0119,Specialty Bike Shop,Jumbo Bikes,41,A,6.0,2013.0,2013.0,Touring,254a James Street Botany,,1500000,United Security,1.0,,150000,1981
412,232,AW00000412,1 (11) 500 555-0181,Value Added Reseller,Leisure Clearing House,10,S,5.0,2012.0,2013.0,Road,Unit 99a Battery Retail Pk,,800000,Guardian Bank,,,80000,1974
18,474,AW00000018,440-555-0132,Warehouse,Catalog Store,55,Q,5.0,2011.0,2013.0,Mountain,855 East Main Avenue,,3000000,United Security,2.0,,300000,2003
648,317,AW00000648,158-555-0154,Value Added Reseller,Small Bike Shop,19,S,6.0,2011.0,2013.0,Mountain,Corp Ofc Accts Payable,,800000,United Security,2.0,,80000,2004
73,630,AW00000073,107-555-0132,Value Added Reseller,Outdoor Sports Supply,2,S,2.0,2011.0,2012.0,Mountain,Great Northwestern,,300000,Primary International,2.0,,30000,1977
196,260,AW00000196,1 (11) 500 555-0126,Warehouse,Exhibition Showroom,94,Q,4.0,2012.0,2013.0,Mountain,"Garamonde Drive, Wymbush",P.O. Box 803,3000000,Reserve Security,3.0,1000.0,300000,1978
633,116,AW00000633,1 (11) 500 555-0144,Value Added Reseller,Rustic Bike Store,12,S,6.0,2013.0,2013.0,Touring,Buergermeister-ulrich-str 3000,Buchhaltung,800000,Primary International,1.0,,80000,1980
467,603,AW00000467,505-555-0145,Value Added Reseller,The Cycle Store,16,S,12.0,2013.0,2013.0,Mountain,The Corner Shopping Center,,800000,Primary Bank & Reserve,,,80000,1998
112,578,AW00000112,803-555-0116,Warehouse,Town Industries,40,Q,6.0,2013.0,2013.0,Touring,P.O. Box 6256916,,1500000,Reserve Security,1.0,,150000,1978
687,159,AW00000687,1 (11) 500 555-0178,Warehouse,Functional Store South,70,Q,5.0,2013.0,2013.0,Mountain,Viktoria-Luise-Platz 475,,3000000,International Bank,,,300000,1997
572,156,AW00000572,1 (11) 500 555-0191,Warehouse,Versatile Sporting Goods Company,64,Q,4.0,2012.0,2013.0,Road,Alderstr 1849,,3000000,Primary Bank & Reserve,1.0,,300000,2000
509,291,AW00000509,678-555-0175,Value Added Reseller,Fun Toys and Bikes,2,S,6.0,2013.0,2013.0,Touring,6500 East Grant Road,,300000,Primary Bank & Reserve,2.0,,30000,1977
96,367,AW00000096,354-555-0130,Warehouse,More Bikes!,97,Q,6.0,2011.0,2011.0,Road,25600 E St Andrews Pl,,3000000,Primary Bank & Reserve,3.0,600.0,300000,1996
574,246,AW00000574,1 (11) 500 555-0119,Specialty Bike Shop,Area Sheet Metal Supply,37,A,5.0,2012.0,2013.0,Road,399 Clearing Green,,1500000,Reserve Security,1.0,,150000,1999
697,601,AW00000697,774-555-0133,Value Added Reseller,Brakes and Gears,12,S,5.0,2011.0,2013.0,Mountain,9927 N. Main St.,,800000,United Security,3.0,600.0,80000,1992
421,384,AW00000421,448-555-0179,Value Added Reseller,Fitness Cycling,16,S,4.0,2012.0,2013.0,Mountain,The Quad @ WestView,,800000,International Bank,2.0,,80000,1992
531,415,AW00000531,235-555-0199,Specialty Bike Shop,Sunny Place Bikes,31,A,5.0,2011.0,2013.0,Road,Horizon Outlet Center,,1500000,Guardian Bank,2.0,,150000,1994
39,477,AW00000039,377-555-0132,Warehouse,Fitness Hotel,76,Q,6.0,2012.0,2013.0,Road,74400 France Avenue South,,3000000,United Security,1.0,,300000,1994
15,6,AW00000015,1 (11) 500 555-0140,Warehouse,Budget Toy Store,52,Q,6.0,2013.0,2013.0,Mountain,25 Epping Road,,3000000,International Bank,3.0,600.0,300000,2002
352,42,AW00000352,155-555-0149,Value Added Reseller,Twelfth Bike Store,18,S,5.0,2012.0,2013.0,Mountain,No. 25400 10665 Jasper Avenue,,800000,International Security,1.0,,80000,2001
149,392,AW00000149,229-555-0114,Value Added Reseller,Initial Bike Company,13,S,6.0,2012.0,2013.0,Mountain,789 West Alameda,,800000,International Security,1.0,,80000,2000
181,538,AW00000181,396-555-0139,Warehouse,Family Entertainment Center,89,Q,5.0,2013.0,2013.0,Touring,25718 Se Sunnyside Rd,,3000000,Guardian Bank,,,300000,1984
385,324,AW00000385,330-555-0116,Value Added Reseller,Sturdy Toys,7,S,5.0,2011.0,2013.0,Mountain,Pacific West Outlet,,300000,Reserve Security,1.0,,30000,1991
