Order ID,variable,value
AX22168,Sales Person ID,EMP1012
AX19873,Sales Person ID,EMP1010
AX23087,Sales Person ID,EMP1035
AX17330,Sales Person ID,EMP1020
AX24505,Sales Person ID,EMP1042
AX14935,Sales Person ID,EMP1026
AX20729,Sales Person ID,EMP1026
AX19796,Sales Person ID,EMP1032
AX22152,Sales Person ID,EMP1019
AX23579,Sales Person ID,EMP1038
AX21637,Sales Person ID,EMP1042
AX16456,Sales Person ID,EMP1023
AX18908,Sales Person ID,EMP1003
AX10614,Sales Person ID,EMP1029
AX21036,Sales Person ID,EMP1040
AX14032,Sales Person ID,EMP1013
AX18010,Sales Person ID,EMP1008
AX19502,Sales Person ID,EMP1025
AX17018,Sales Person ID,EMP1017
AX24874,Sales Person ID,EMP1017
AX17994,Sales Person ID,EMP1014
AX13085,Sales Person ID,EMP1014
AX14484,Sales Person ID,EMP1027
AX24708,Sales Person ID,EMP1041
AX13567,Sales Person ID,EMP1013
AX18600,Sales Person ID,EMP1009
AX16287,Sales Person ID,EMP1004
AX10649,Sales Person ID,EMP1023
AX10657,Sales Person ID,EMP1027
AX10971,Sales Person ID,EMP1033
AX14580,Sales Person ID,EMP1001
AX14052,Sales Person ID,EMP1030
AX23115,Sales Person ID,EMP1028
AX22345,Sales Person ID,EMP1032
AX15021,Sales Person ID,EMP1029
AX15522,Sales Person ID,EMP1043
AX18858,Sales Person ID,EMP1043
AX12043,Sales Person ID,EMP1020
AX17340,Sales Person ID,EMP1032
AX14420,Sales Person ID,EMP1000
AX12249,Sales Person ID,EMP1043
AX21066,Sales Person ID,EMP1021
AX15536,Sales Person ID,EMP1006
AX24155,Sales Person ID,EMP1013
AX22415,Sales Person ID,EMP1012
AX20372,Sales Person ID,EMP1006
AX20212,Sales Person ID,EMP1016
AX16175,Sales Person ID,EMP1011
AX14065,Sales Person ID,EMP1023
AX19605,Sales Person ID,EMP1035
AX13973,Sales Person ID,EMP1017
AX17432,Sales Person ID,EMP1026
AX23134,Sales Person ID,EMP1017
AX18162,Sales Person ID,EMP1043
AX11305,Sales Person ID,EMP1020
AX14705,Sales Person ID,EMP1035
AX13122,Sales Person ID,EMP1016
AX20237,Sales Person ID,EMP1035
AX20762,Sales Person ID,EMP1014
AX16835,Sales Person ID,EMP1036
AX10868,Sales Person ID,EMP1041
AX22824,Sales Person ID,EMP1038
AX21709,Sales Person ID,EMP1016
AX10841,Sales Person ID,EMP1044
AX20629,Sales Person ID,EMP1001
AX14566,Sales Person ID,EMP1002
AX17826,Sales Person ID,EMP1033
AX21671,Sales Person ID,EMP1009
AX11557,Sales Person ID,EMP1044
AX17306,Sales Person ID,EMP1040
AX13021,Sales Person ID,EMP1007
AX18225,Sales Person ID,EMP1031
AX16606,Sales Person ID,EMP1001
AX19590,Sales Person ID,EMP1022
AX24781,Sales Person ID,EMP1019
AX16755,Sales Person ID,EMP1016
AX18530,Sales Person ID,EMP1040
AX22337,Sales Person ID,EMP1039
AX16099,Sales Person ID,EMP1000
AX22609,Sales Person ID,EMP1002
AX10229,Sales Person ID,EMP1006
AX11576,Sales Person ID,EMP1013
AX22197,Sales Person ID,EMP1044
AX24239,Sales Person ID,EMP1037
AX24744,Sales Person ID,EMP1008
AX22595,Sales Person ID,EMP1034
AX18927,Sales Person ID,EMP1026
AX20714,Sales Person ID,EMP1044
AX17413,Sales Person ID,EMP1012
AX11949,Sales Person ID,EMP1010
AX17157,Sales Person ID,EMP1023
AX13795,Sales Person ID,EMP1021
AX20421,Sales Person ID,EMP1004
AX15226,Customer ID,C1446
AX14596,Customer ID,C1709
AX20415,Customer ID,C1360
AX17939,Customer ID,C1767
AX15246,Customer ID,C1270
AX15566,Customer ID,C1005
AX13128,Customer ID,C1543
AX22168,Customer ID,C1366
AX19873,Customer ID,C1645
AX23087,Customer ID,C1710
AX17330,Customer ID,C1178
AX24505,Customer ID,C1766
AX14935,Customer ID,C1333
AX20729,Customer ID,C1124
AX19796,Customer ID,C1695
AX22152,Customer ID,C1428
AX23579,Customer ID,C1666
AX21637,Customer ID,C1306
AX16456,Customer ID,C1580
AX18908,Customer ID,C1610
AX10614,Customer ID,C1653
AX21036,Customer ID,C1394
AX14032,Customer ID,C1566
AX18010,Customer ID,C1497
AX19502,Customer ID,C1267
AX17018,Customer ID,C1374
AX24874,Customer ID,C1067
AX17994,Customer ID,C1151
AX13085,Customer ID,C1219
AX14484,Customer ID,C1601
AX24708,Customer ID,C1631
AX13567,Customer ID,C1452
AX18600,Customer ID,C1245
AX16287,Customer ID,C1448
AX10649,Customer ID,C1595
AX10657,Customer ID,C1383
AX10971,Customer ID,C1026
AX14580,Customer ID,C1267
AX14052,Customer ID,C1697
AX23115,Customer ID,C1160
AX22345,Customer ID,C1341
AX15021,Customer ID,C1708
AX15522,Customer ID,C1068
AX18858,Customer ID,C1460
AX12043,Customer ID,C1039
AX17340,Customer ID,C1227
AX14420,Customer ID,C1531
AX12249,Customer ID,C1560
AX21066,Customer ID,C1745
AX15536,Customer ID,C1145
AX24155,Customer ID,C1400
AX22415,Customer ID,C1654
AX20372,Customer ID,C1717
AX20212,Customer ID,C1631
AX16175,Customer ID,C1719
AX14065,Customer ID,C1170
AX19605,Customer ID,C1229
AX13973,Customer ID,C1098
AX17432,Customer ID,C1296
AX23134,Customer ID,C1627
AX18162,Customer ID,C1610
AX11305,Customer ID,C1686
AX14705,Customer ID,C1134
AX13122,Customer ID,C1670
AX20237,Customer ID,C1365
AX20762,Customer ID,C1427
AX16835,Customer ID,C1440
AX10868,Customer ID,C1756
AX22824,Customer ID,C1285
AX21709,Customer ID,C1650
AX10841,Customer ID,C1198
AX20629,Customer ID,C1029
AX14566,Customer ID,C1343
AX17826,Customer ID,C1679
AX21671,Customer ID,C1248
AX11557,Customer ID,C1391
AX17306,Customer ID,C1248
AX13021,Customer ID,C1485
AX18225,Customer ID,C1265
AX16606,Customer ID,C1166
AX19590,Customer ID,C1497
AX24781,Customer ID,C1460
AX16755,Customer ID,C1690
AX18530,Customer ID,C1252
AX22337,Customer ID,C1363
AX16099,Customer ID,C1360
AX22609,Customer ID,C1451
AX10229,Customer ID,C1613
AX11576,Customer ID,C1745
AX22197,Customer ID,C1200
AX24239,Customer ID,C1331
AX24744,Customer ID,C1473
AX22595,Customer ID,C1317
AX18927,Customer ID,C1304
AX20714,Customer ID,C1471
AX17413,Customer ID,C1341
AX11949,Customer ID,C1015
AX17157,Customer ID,C1604
AX13795,Customer ID,C1762
AX20421,Customer ID,C1662
AX15226,Quantity,2
AX14596,Quantity,1
AX20415,Quantity,2
AX17939,Quantity,2
AX15246,Quantity,1
AX15566,Quantity,1
AX13128,Quantity,3
AX22168,Quantity,3
AX19873,Quantity,4
AX23087,Quantity,1
AX17330,Quantity,4
AX24505,Quantity,1
AX14935,Quantity,3
AX20729,Quantity,1
AX19796,Quantity,1
AX22152,Quantity,1
AX23579,Quantity,1
AX21637,Quantity,1
AX16456,Quantity,3
AX18908,Quantity,3
AX10614,Quantity,1
AX21036,Quantity,1
AX14032,Quantity,3
AX18010,Quantity,2
AX19502,Quantity,1
AX17018,Quantity,3
AX24874,Quantity,1
AX17994,Quantity,1
AX13085,Quantity,2
AX14484,Quantity,1
AX24708,Quantity,3
AX13567,Quantity,2
AX18600,Quantity,1
AX16287,Quantity,4
AX10649,Quantity,1
AX10657,Quantity,2
AX10971,Quantity,1
AX14580,Quantity,1
AX14052,Quantity,1
AX23115,Quantity,2
AX22345,Quantity,2
AX15021,Quantity,1
AX15522,Quantity,4
AX18858,Quantity,1
AX12043,Quantity,1
AX17340,Quantity,1
AX14420,Quantity,3
AX12249,Quantity,2
AX21066,Quantity,1
AX15536,Quantity,1
AX24155,Quantity,1
AX22415,Quantity,2
AX20372,Quantity,1
AX20212,Quantity,4
AX16175,Quantity,3
AX14065,Quantity,4
AX19605,Quantity,1
AX13973,Quantity,1
AX17432,Quantity,4
AX23134,Quantity,3
AX18162,Quantity,1
AX11305,Quantity,4
AX14705,Quantity,3
AX13122,Quantity,1
AX20237,Quantity,3
AX20762,Quantity,1
AX16835,Quantity,1
AX10868,Quantity,1
AX22824,Quantity,1
AX21709,Quantity,1
AX10841,Quantity,3
AX20629,Quantity,1
AX14566,Quantity,3
AX17826,Quantity,4
AX21671,Quantity,2
AX11557,Quantity,2
AX17306,Quantity,1
AX13021,Quantity,2
AX18225,Quantity,2
AX16606,Quantity,1
AX19590,Quantity,3
AX24781,Quantity,1
AX16755,Quantity,4
AX18530,Quantity,2
AX22337,Quantity,4
AX16099,Quantity,1
AX22609,Quantity,2
AX10229,Quantity,1
AX11576,Quantity,1
AX22197,Quantity,4
AX24239,Quantity,1
AX24744,Quantity,2
AX22595,Quantity,1
AX18927,Quantity,4
AX20714,Quantity,1
AX17413,Quantity,2
AX11949,Quantity,1
AX17157,Quantity,2
AX13795,Quantity,1
AX20421,Quantity,1
AX15226,Purchase Date,2020-07-25 00:00:00.000
AX14596,Purchase Date,2019-09-29 00:00:00.000
AX20415,Purchase Date,2018-01-26 00:00:00.000
AX17939,Purchase Date,2018-12-15 00:00:00.000
AX15246,Purchase Date,2018-11-19 00:00:00.000
AX15566,Purchase Date,2018-06-17 00:00:00.000
AX13128,Purchase Date,2019-01-23 00:00:00.000
AX22168,Purchase Date,2019-11-12 00:00:00.000
AX19873,Purchase Date,2018-09-06 00:00:00.000
AX23087,Purchase Date,2018-06-16 00:00:00.000
AX17330,Purchase Date,2018-12-06 00:00:00.000
AX24505,Purchase Date,2018-10-25 00:00:00.000
AX14935,Purchase Date,2018-02-23 00:00:00.000
AX20729,Purchase Date,2019-11-10 00:00:00.000
AX19796,Purchase Date,2019-06-30 00:00:00.000
AX22152,Purchase Date,2018-03-05 00:00:00.000
AX23579,Purchase Date,2020-04-06 00:00:00.000
AX21637,Purchase Date,2020-07-15 00:00:00.000
AX16456,Purchase Date,2018-07-06 00:00:00.000
AX18908,Purchase Date,2018-03-04 00:00:00.000
AX10614,Purchase Date,2020-11-02 00:00:00.000
AX21036,Purchase Date,2019-06-06 00:00:00.000
AX14032,Purchase Date,2020-11-25 00:00:00.000
AX18010,Purchase Date,2020-03-07 00:00:00.000
AX19502,Purchase Date,2019-12-03 00:00:00.000
AX17018,Purchase Date,2020-08-26 00:00:00.000
AX24874,Purchase Date,2020-09-22 00:00:00.000
AX17994,Purchase Date,2019-06-27 00:00:00.000
AX13085,Purchase Date,2018-07-06 00:00:00.000
AX14484,Purchase Date,2018-04-26 00:00:00.000
AX24708,Purchase Date,2020-09-09 00:00:00.000
AX13567,Purchase Date,2019-08-23 00:00:00.000
AX18600,Purchase Date,2020-01-31 00:00:00.000
AX16287,Purchase Date,2019-02-18 00:00:00.000
AX10649,Purchase Date,2020-01-03 00:00:00.000
AX10657,Purchase Date,2020-09-14 00:00:00.000
AX10971,Purchase Date,2020-02-05 00:00:00.000
AX14580,Purchase Date,2019-10-07 00:00:00.000
AX14052,Purchase Date,2020-02-13 00:00:00.000
AX23115,Purchase Date,2019-10-23 00:00:00.000
AX22345,Purchase Date,2018-03-28 00:00:00.000
AX15021,Purchase Date,2019-12-16 00:00:00.000
AX15522,Purchase Date,2020-02-24 00:00:00.000
AX18858,Purchase Date,2020-10-18 00:00:00.000
AX12043,Purchase Date,2018-06-07 00:00:00.000
AX17340,Purchase Date,2020-06-14 00:00:00.000
AX14420,Purchase Date,2018-04-24 00:00:00.000
AX12249,Purchase Date,2020-11-10 00:00:00.000
AX21066,Purchase Date,2018-07-07 00:00:00.000
AX15536,Purchase Date,2019-01-14 00:00:00.000
AX24155,Purchase Date,2019-06-10 00:00:00.000
AX22415,Purchase Date,2018-08-25 00:00:00.000
AX20372,Purchase Date,2019-07-02 00:00:00.000
AX20212,Purchase Date,2020-11-08 00:00:00.000
AX16175,Purchase Date,2020-08-06 00:00:00.000
AX14065,Purchase Date,2018-12-09 00:00:00.000
AX19605,Purchase Date,2020-01-01 00:00:00.000
AX13973,Purchase Date,2020-07-16 00:00:00.000
AX17432,Purchase Date,2019-06-25 00:00:00.000
AX23134,Purchase Date,2018-10-08 00:00:00.000
AX18162,Purchase Date,2019-07-12 00:00:00.000
AX11305,Purchase Date,2019-04-08 00:00:00.000
AX14705,Purchase Date,2020-03-11 00:00:00.000
AX13122,Purchase Date,2020-04-08 00:00:00.000
AX20237,Purchase Date,2020-12-20 00:00:00.000
AX20762,Purchase Date,2020-12-28 00:00:00.000
AX16835,Purchase Date,2018-08-03 00:00:00.000
AX10868,Purchase Date,2019-12-05 00:00:00.000
AX22824,Purchase Date,2018-04-15 00:00:00.000
AX21709,Purchase Date,2019-10-17 00:00:00.000
AX10841,Purchase Date,2018-10-28 00:00:00.000
AX20629,Purchase Date,2020-06-08 00:00:00.000
AX14566,Purchase Date,2019-10-14 00:00:00.000
AX17826,Purchase Date,2018-09-04 00:00:00.000
AX21671,Purchase Date,2019-08-18 00:00:00.000
AX11557,Purchase Date,2020-11-04 00:00:00.000
AX17306,Purchase Date,2018-02-17 00:00:00.000
AX13021,Purchase Date,2019-10-20 00:00:00.000
AX18225,Purchase Date,2020-12-02 00:00:00.000
AX16606,Purchase Date,2019-04-01 00:00:00.000
AX19590,Purchase Date,2018-06-02 00:00:00.000
AX24781,Purchase Date,2018-04-19 00:00:00.000
AX16755,Purchase Date,2020-09-15 00:00:00.000
AX18530,Purchase Date,2018-07-02 00:00:00.000
AX22337,Purchase Date,2018-06-27 00:00:00.000
AX16099,Purchase Date,2019-11-13 00:00:00.000
AX22609,Purchase Date,2018-07-23 00:00:00.000
AX10229,Purchase Date,2020-06-20 00:00:00.000
AX11576,Purchase Date,2018-03-28 00:00:00.000
AX22197,Purchase Date,2019-11-03 00:00:00.000
AX24239,Purchase Date,2019-10-04 00:00:00.000
AX24744,Purchase Date,2018-05-21 00:00:00.000
AX22595,Purchase Date,2020-09-13 00:00:00.000
AX18927,Purchase Date,2019-03-21 00:00:00.000
AX20714,Purchase Date,2018-04-09 00:00:00.000
AX17413,Purchase Date,2018-11-06 00:00:00.000
AX11949,Purchase Date,2020-05-24 00:00:00.000
AX17157,Purchase Date,2019-04-05 00:00:00.000
AX13795,Purchase Date,2020-03-29 00:00:00.000
AX20421,Purchase Date,2020-11-15 00:00:00.000
AX15226,Current Price,123
AX14596,Current Price,2141
AX20415,Current Price,1414
AX17939,Current Price,1887
AX15246,Current Price,290
AX15566,Current Price,1972
AX13128,Current Price,504
AX22168,Current Price,880
AX19873,Current Price,1052
AX23087,Current Price,1972
AX17330,Current Price,530
AX24505,Current Price,1494
AX14935,Current Price,136
AX20729,Current Price,1405
AX19796,Current Price,315
AX22152,Current Price,1899
AX23579,Current Price,2141
AX21637,Current Price,800
AX16456,Current Price,561
AX18908,Current Price,1725
AX10614,Current Price,1783
AX21036,Current Price,800
AX14032,Current Price,596
AX18010,Current Price,1809
AX19502,Current Price,123
AX17018,Current Price,1414
AX24874,Current Price,667
AX17994,Current Price,1887
AX13085,Current Price,2294
AX14484,Current Price,1812
AX24708,Current Price,1635
AX13567,Current Price,2005
AX18600,Current Price,880
AX16287,Current Price,596
AX10649,Current Price,1899
AX10657,Current Price,2182
AX10971,Current Price,1566
AX14580,Current Price,181
AX14052,Current Price,1119
AX23115,Current Price,1826
AX22345,Current Price,556
AX15021,Current Price,368
AX15522,Current Price,1467
AX18858,Current Price,368
AX12043,Current Price,290
AX17340,Current Price,1405
AX14420,Current Price,1367
AX12249,Current Price,2294
AX21066,Current Price,217
AX15536,Current Price,1522
AX24155,Current Price,95
AX22415,Current Price,1566
AX20372,Current Price,913
AX20212,Current Price,1052
AX16175,Current Price,1809
AX14065,Current Price,2294
AX19605,Current Price,1972
AX13973,Current Price,217
AX17432,Current Price,596
AX23134,Current Price,2396
AX18162,Current Price,504
AX11305,Current Price,1022
AX14705,Current Price,1077
AX13122,Current Price,1566
AX20237,Current Price,1671
AX20762,Current Price,1052
AX16835,Current Price,1494
AX10868,Current Price,368
AX22824,Current Price,1967
AX21709,Current Price,1052
AX10841,Current Price,203
AX20629,Current Price,1582
AX14566,Current Price,1522
AX17826,Current Price,392
AX21671,Current Price,1639
AX11557,Current Price,1022
AX17306,Current Price,1826
AX13021,Current Price,1103
AX18225,Current Price,1967
AX16606,Current Price,392
AX19590,Current Price,2005
AX24781,Current Price,545
AX16755,Current Price,1587
AX18530,Current Price,392
AX22337,Current Price,378
AX16099,Current Price,799
AX22609,Current Price,1587
AX10229,Current Price,2464
AX11576,Current Price,136
AX22197,Current Price,1351
AX24239,Current Price,1783
AX24744,Current Price,603
AX22595,Current Price,1862
AX18927,Current Price,1887
AX20714,Current Price,1848
AX17413,Current Price,504
AX11949,Current Price,1103
AX17157,Current Price,2495
AX13795,Current Price,35
AX20421,Current Price,392
AX15226,Line Sales,246
AX14596,Line Sales,2141
AX20415,Line Sales,2828
AX17939,Line Sales,3774
AX15246,Line Sales,290
AX15566,Line Sales,1972
AX13128,Line Sales,1512
AX22168,Line Sales,2640
AX19873,Line Sales,4208
AX23087,Line Sales,1972
AX17330,Line Sales,2120
AX24505,Line Sales,1494
AX14935,Line Sales,408
AX20729,Line Sales,1405
AX19796,Line Sales,315
AX22152,Line Sales,1899
AX23579,Line Sales,2141
AX21637,Line Sales,800
AX16456,Line Sales,1683
AX18908,Line Sales,5175
AX10614,Line Sales,1783
AX21036,Line Sales,800
AX14032,Line Sales,1788
AX18010,Line Sales,3618
AX19502,Line Sales,123
AX17018,Line Sales,4242
AX24874,Line Sales,667
AX17994,Line Sales,1887
AX13085,Line Sales,4588
AX14484,Line Sales,1812
AX24708,Line Sales,4905
AX13567,Line Sales,4010
AX18600,Line Sales,880
AX16287,Line Sales,2384
AX10649,Line Sales,1899
AX10657,Line Sales,4364
AX10971,Line Sales,1566
AX14580,Line Sales,181
AX14052,Line Sales,1119
AX23115,Line Sales,3652
AX22345,Line Sales,1112
AX15021,Line Sales,368
AX15522,Line Sales,5868
AX18858,Line Sales,368
AX12043,Line Sales,290
AX17340,Line Sales,1405
AX14420,Line Sales,4101
AX12249,Line Sales,4588
AX21066,Line Sales,217
AX15536,Line Sales,1522
AX24155,Line Sales,95
AX22415,Line Sales,3132
AX20372,Line Sales,913
AX20212,Line Sales,4208
AX16175,Line Sales,5427
AX14065,Line Sales,9176
AX19605,Line Sales,1972
AX13973,Line Sales,217
AX17432,Line Sales,2384
AX23134,Line Sales,7188
AX18162,Line Sales,504
AX11305,Line Sales,4088
AX14705,Line Sales,3231
AX13122,Line Sales,1566
AX20237,Line Sales,5013
AX20762,Line Sales,1052
AX16835,Line Sales,1494
AX10868,Line Sales,368
AX22824,Line Sales,1967
AX21709,Line Sales,1052
AX10841,Line Sales,609
AX20629,Line Sales,1582
AX14566,Line Sales,4566
AX17826,Line Sales,1568
AX21671,Line Sales,3278
AX11557,Line Sales,2044
AX17306,Line Sales,1826
AX13021,Line Sales,2206
AX18225,Line Sales,3934
AX16606,Line Sales,392
AX19590,Line Sales,6015
AX24781,Line Sales,545
AX16755,Line Sales,6348
AX18530,Line Sales,784
AX22337,Line Sales,1512
AX16099,Line Sales,799
AX22609,Line Sales,3174
AX10229,Line Sales,2464
AX11576,Line Sales,136
AX22197,Line Sales,5404
AX24239,Line Sales,1783
AX24744,Line Sales,1206
AX22595,Line Sales,1862
AX18927,Line Sales,7548
AX20714,Line Sales,1848
AX17413,Line Sales,1008
AX11949,Line Sales,1103
AX17157,Line Sales,4990
AX13795,Line Sales,35
AX20421,Line Sales,392
