Country,Product,Units Sold,Revenue per cookie,Cost per cookie,Revenue,Cost,Profit,Date,Month Number,Month,Year,Country Population.Population,Country Population.Region,Sell per capita
Mexico,Chocolate Chip,2031,5,2,10155.0,4062,6093.0,2019-10-01 00:00:00.000,10,October,2019,126014024,Americas,1.6117253743123066e-05
Mexico,Oatmeal Raisin,1679,5,2,8395.0,3694,4701.2,2019-09-01 00:00:00.000,9,September,2019,126014024,Americas,1.3323913852635955e-05
Mexico,Oatmeal Raisin,1727,5,2,8635.0,3799,4835.6,2018-10-01 00:00:00.000,10,October,2018,126014024,Americas,1.3704823837702382e-05
Germany,Chocolate Chip,360,5,2,1800.0,720,1080.0,2019-10-01 00:00:00.000,10,October,2019,83222442,Europe,4.325756266560887e-06
France,White Chocolate Macadamia Nut,1659,6,3,9954.0,4562,5391.75,2019-07-01 00:00:00.000,7,July,2019,68035000,Europe,2.4384507973836997e-05
Mexico,Chocolate Chip,591,5,2,2955.0,1182,1773.0,2019-05-01 00:00:00.000,5,May,2019,126014024,Americas,4.689954191130346e-06
Mexico,Chocolate Chip,1114,5,2,5570.0,2228,3342.0,2019-03-01 00:00:00.000,3,March,2019,126014024,Americas,8.840285903416591e-06
Canada,Chocolate Chip,2470,5,2,12350.0,4940,7410.0,2018-09-01 00:00:00.000,9,September,2018,38547901,Americas,6.407612181010841e-05
Germany,Fortune Cookie,1706,1,0,1706.0,341,1364.8,2019-12-01 00:00:00.000,12,December,2019,83222442,Europe,2.049927830764687e-05
Germany,White Chocolate Macadamia Nut,241,6,3,1446.0,663,783.25,2019-10-01 00:00:00.000,10,October,2019,83222442,Europe,2.895853500669928e-06
France,White Chocolate Macadamia Nut,1804,6,3,10824.0,4961,5863.0,2019-02-01 00:00:00.000,2,February,2019,68035000,Europe,2.6515763945028293e-05
France,White Chocolate Macadamia Nut,704,6,3,4224.0,1936,2288.0,2018-10-01 00:00:00.000,10,October,2018,68035000,Europe,1.0347615198059822e-05
Mexico,Chocolate Chip,1038,5,2,5190.0,2076,3114.0,2019-06-01 00:00:00.000,6,June,2019,126014024,Americas,8.23717842706142e-06
Germany,Chocolate Chip,278,5,2,1390.0,556,834.0,2019-02-01 00:00:00.000,2,February,2019,83222442,Europe,3.340445116955352e-06
Canada,Chocolate Chip,2431,5,2,12155.0,4862,7293.0,2019-12-01 00:00:00.000,12,December,2019,38547901,Americas,6.306439357100144e-05
United States,Oatmeal Raisin,1282,5,2,6410.0,2820,3589.6,2019-06-01 00:00:00.000,6,June,2019,333061898,Americas,3.849134373214915e-06
Mexico,White Chocolate Macadamia Nut,2605,6,3,15630.0,7164,8466.25,2018-11-01 00:00:00.000,11,November,2018,126014024,Americas,2.067230231454239e-05
United States,Sugar,1153,3,1,3459.0,1441,2017.75,2019-10-01 00:00:00.000,10,October,2019,333061898,Americas,3.4618189799663e-06
Germany,Sugar,1945,3,1,5835.0,2431,3403.75,2018-10-01 00:00:00.000,10,October,2018,83222442,Europe,2.3371099829058127e-05
France,Sugar,1227,3,1,3681.0,1534,2147.25,2019-10-01 00:00:00.000,10,October,2019,68035000,Europe,1.8034835011391195e-05
United States,Snickerdoodle,2567,4,2,10268.0,3850,6417.5,2019-06-01 00:00:00.000,6,June,2019,333061898,Americas,7.70727608115654e-06
Mexico,Chocolate Chip,1607,5,2,8035.0,3214,4821.0,2019-04-01 00:00:00.000,4,April,2019,126014024,Americas,1.275254887503632e-05
France,Chocolate Chip,2441,5,2,12205.0,4882,7323.0,2019-10-01 00:00:00.000,10,October,2019,68035000,Europe,3.587859190122731e-05
Germany,Snickerdoodle,2811,4,2,11244.0,4216,7027.5,2019-07-01 00:00:00.000,7,July,2019,83222442,Europe,3.377694684806293e-05
France,Chocolate Chip,1496,5,2,7480.0,2992,4488.0,2019-06-01 00:00:00.000,6,June,2019,68035000,Europe,2.198868229587712e-05
United States,White Chocolate Macadamia Nut,2907,6,3,17442.0,7994,9447.75,2019-06-01 00:00:00.000,6,June,2019,333061898,Americas,8.7281073501839e-06
Canada,Chocolate Chip,1725,5,2,8625.0,3450,5175.0,2018-11-01 00:00:00.000,11,November,2018,38547901,Americas,4.4749518268193127e-05
Canada,Chocolate Chip,2074,5,2,10370.0,4148,6222.0,2019-09-01 00:00:00.000,9,September,2019,38547901,Americas,5.3803188920714514e-05
United States,Sugar,2844,3,1,8532.0,3555,4977.0,2019-02-01 00:00:00.000,2,February,2019,333061898,Americas,8.538953320922947e-06
France,White Chocolate Macadamia Nut,1221,6,3,7326.0,3358,3968.25,2018-10-01 00:00:00.000,10,October,2018,68035000,Europe,1.7946645109135003e-05
Germany,Chocolate Chip,357,5,2,1785.0,714,1071.0,2019-11-01 00:00:00.000,11,November,2019,83222442,Europe,4.28970829767288e-06
United States,Oatmeal Raisin,2907,5,2,14535.0,6395,8139.5999999999985,2019-06-01 00:00:00.000,6,June,2019,333061898,Americas,8.7281073501839e-06
Mexico,Sugar,877,3,1,2631.0,1096,1534.75,2019-11-01 00:00:00.000,11,November,2019,126014024,Americas,6.959542852151123e-06
Mexico,Chocolate Chip,662,5,2,3310.0,1324,1986.0,2019-06-01 00:00:00.000,6,June,2019,126014024,Americas,5.253383544041098e-06
Germany,Snickerdoodle,214,4,2,856.0,321,535.0,2018-10-01 00:00:00.000,10,October,2018,83222442,Europe,2.571421780677861e-06
Germany,White Chocolate Macadamia Nut,1006,6,3,6036.0,2766,3269.5,2019-06-01 00:00:00.000,6,June,2019,83222442,Europe,1.2088085567111814e-05
United States,Chocolate Chip,2327,5,2,11635.0,4654,6981.0,2019-05-01 00:00:00.000,5,May,2019,333061898,Americas,6.9866893030195845e-06
United States,Sugar,1867,3,1,5601.0,2334,3267.25,2019-09-01 00:00:00.000,9,September,2019,333061898,Americas,5.605564644923749e-06
Mexico,White Chocolate Macadamia Nut,2110,6,3,12660.0,5802,6857.5,2019-09-01 00:00:00.000,9,September,2019,126014024,Americas,1.674416809354489e-05
France,Oatmeal Raisin,2076,5,2,10380.0,4567,5812.799999999999,2018-10-01 00:00:00.000,10,October,2018,68035000,Europe,3.051370618064232e-05
France,Chocolate Chip,2261,5,2,11305.0,4522,6783.0,2018-12-01 00:00:00.000,12,December,2018,68035000,Europe,3.323289483354156e-05
France,Chocolate Chip,1954,5,2,9770.0,3908,5862.0,2019-03-01 00:00:00.000,3,March,2019,68035000,Europe,2.8720511501433087e-05
Mexico,Sugar,641,3,1,1923.0,801,1121.75,2019-07-01 00:00:00.000,7,July,2019,126014024,Americas,5.086735425574537e-06
Canada,Snickerdoodle,819,4,2,3276.0,1228,2047.5,2019-07-01 00:00:00.000,7,July,2019,38547901,Americas,2.1246293021246477e-05
Mexico,Chocolate Chip,974,5,2,4870.0,1948,2922.0,2019-02-01 00:00:00.000,2,February,2019,126014024,Americas,7.729298446972854e-06
Germany,Oatmeal Raisin,4220,5,2,21097.5,9283,11814.6,2019-04-01 00:00:00.000,4,April,2019,83222442,Europe,5.070747623579706e-05
Canada,Chocolate Chip,1228,5,2,6140.0,2456,3684.0,2018-10-01 00:00:00.000,10,October,2018,38547901,Americas,3.185646865700937e-05
Canada,Fortune Cookie,1249,1,0,1249.0,250,999.2,2019-10-01 00:00:00.000,10,October,2019,38547901,Americas,3.240124540114389e-05
Germany,Sugar,492,3,1,1476.0,615,861.0,2019-07-01 00:00:00.000,7,July,2019,83222442,Europe,5.911866897633213e-06
Mexico,White Chocolate Macadamia Nut,2861,6,3,17166.0,7868,9298.25,2019-01-01 00:00:00.000,1,January,2019,126014024,Americas,2.2703822234896647e-05
Germany,Sugar,2215,3,1,6645.0,2769,3876.25,2018-09-01 00:00:00.000,9,September,2018,83222442,Europe,2.6615417028978795e-05
Mexico,Chocolate Chip,1946,5,2,9730.0,3892,5838.0,2018-12-01 00:00:00.000,12,December,2018,126014024,Americas,1.544272564456794e-05
Canada,Snickerdoodle,2852,4,2,11408.0,4278,7130.0,2019-12-01 00:00:00.000,12,December,2019,38547901,Americas,7.398587020341264e-05
Germany,Oatmeal Raisin,2966,5,2,14830.0,6525,8304.8,2018-10-01 00:00:00.000,10,October,2018,83222442,Europe,3.563942524060997e-05
Germany,Oatmeal Raisin,1350,5,2,6750.0,2970,3780.0,2019-02-01 00:00:00.000,2,February,2019,83222442,Europe,1.6221585999603327e-05
Canada,Sugar,1583,3,1,4749.0,1979,2770.25,2019-06-01 00:00:00.000,6,June,2019,38547901,Americas,4.10657898078549e-05
Mexico,Oatmeal Raisin,2039,5,2,10195.0,4486,5709.2,2019-05-01 00:00:00.000,5,May,2019,126014024,Americas,1.6180738740634137e-05
United States,Chocolate Chip,973,5,2,4865.0,1946,2919.0,2019-03-01 00:00:00.000,3,March,2019,333061898,Americas,2.9213788963635823e-06
United States,Sugar,986,3,1,2958.0,1232,1725.5,2019-10-01 00:00:00.000,10,October,2019,333061898,Americas,2.960410680179334e-06
United States,Chocolate Chip,3450,5,2,17250.0,6900,10350.0,2019-07-01 00:00:00.000,7,July,2019,333061898,Americas,1.0358434935718766e-05
Canada,Snickerdoodle,1295,4,2,5180.0,1942,3237.5,2019-10-01 00:00:00.000,10,October,2019,38547901,Americas,3.3594565888295706e-05
United States,Chocolate Chip,1142,5,2,5710.0,2284,3426.0,2019-06-01 00:00:00.000,6,June,2019,333061898,Americas,3.4287920859683565e-06
Germany,Chocolate Chip,1372,5,2,6860.0,2744,4116.0,2019-01-01 00:00:00.000,1,January,2019,83222442,Europe,1.6485937771448716e-05
Germany,Sugar,2297,3,1,6891.0,2871,4019.75,2018-11-01 00:00:00.000,11,November,2018,83222442,Europe,2.760072817858433e-05
United States,Fortune Cookie,2498,1,0,2498.0,500,1998.4,2018-09-01 00:00:00.000,9,September,2018,333061898,Americas,7.500107382442167e-06
Canada,Chocolate Chip,1774,5,2,8870.0,3548,5322.0,2019-03-01 00:00:00.000,3,March,2019,38547901,Americas,4.602066400450701e-05
Germany,Sugar,263,3,1,789.0,329,460.25,2019-03-01 00:00:00.000,3,March,2019,83222442,Europe,3.160205272515315e-06
Canada,Chocolate Chip,2349,5,2,11745.0,4698,7047.0,2018-09-01 00:00:00.000,9,September,2018,38547901,Americas,6.093717009390472e-05
United States,White Chocolate Macadamia Nut,861,6,3,5166.0,2368,2798.25,2019-10-01 00:00:00.000,10,October,2019,333061898,Americas,2.5851050665663355e-06
Mexico,Sugar,2747,3,1,8241.0,3434,4807.25,2019-02-01 00:00:00.000,2,February,2019,126014024,Americas,2.1799161020363888e-05
Canada,Oatmeal Raisin,1135,5,2,5675.0,2497,3178.0,2019-06-01 00:00:00.000,6,June,2019,38547901,Americas,2.944388593298504e-05
United States,Oatmeal Raisin,727,5,2,3635.0,1599,2035.6,2018-10-01 00:00:00.000,10,October,2018,333061898,Americas,2.182777448773201e-06
Germany,Chocolate Chip,807,5,2,4035.0,1614,2421.0,2019-01-01 00:00:00.000,1,January,2019,83222442,Europe,9.69690363087399e-06
