Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,Quater
2014-08-17 00:00:00.000,"2014",3,8,17,20140817,"August","Aug 2014","Q3 2014",6,"Sunday",2014-08-17 00:00:00.000,33,20140800,20140300,"14","FY15","Q3"
2014-08-18 00:00:00.000,"2014",3,8,18,20140818,"August","Aug 2014","Q3 2014",0,"Monday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-19 00:00:00.000,"2014",3,8,19,20140819,"August","Aug 2014","Q3 2014",1,"Tuesday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-20 00:00:00.000,"2014",3,8,20,20140820,"August","Aug 2014","Q3 2014",2,"Wednesday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-21 00:00:00.000,"2014",3,8,21,20140821,"August","Aug 2014","Q3 2014",3,"Thursday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-22 00:00:00.000,"2014",3,8,22,20140822,"August","Aug 2014","Q3 2014",4,"Friday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-23 00:00:00.000,"2014",3,8,23,20140823,"August","Aug 2014","Q3 2014",5,"Saturday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-24 00:00:00.000,"2014",3,8,24,20140824,"August","Aug 2014","Q3 2014",6,"Sunday",2014-08-24 00:00:00.000,34,20140800,20140300,"14","FY15","Q3"
2014-08-25 00:00:00.000,"2014",3,8,25,20140825,"August","Aug 2014","Q3 2014",0,"Monday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-08-26 00:00:00.000,"2014",3,8,26,20140826,"August","Aug 2014","Q3 2014",1,"Tuesday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-08-27 00:00:00.000,"2014",3,8,27,20140827,"August","Aug 2014","Q3 2014",2,"Wednesday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-08-28 00:00:00.000,"2014",3,8,28,20140828,"August","Aug 2014","Q3 2014",3,"Thursday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-08-29 00:00:00.000,"2014",3,8,29,20140829,"August","Aug 2014","Q3 2014",4,"Friday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-08-30 00:00:00.000,"2014",3,8,30,20140830,"August","Aug 2014","Q3 2014",5,"Saturday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-08-31 00:00:00.000,"2014",3,8,31,20140831,"August","Aug 2014","Q3 2014",6,"Sunday",2014-08-31 00:00:00.000,35,20140800,20140300,"14","FY15","Q3"
2014-09-01 00:00:00.000,"2014",3,9,1,20140901,"September","Sep 2014","Q3 2014",0,"Monday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-02 00:00:00.000,"2014",3,9,2,20140902,"September","Sep 2014","Q3 2014",1,"Tuesday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-03 00:00:00.000,"2014",3,9,3,20140903,"September","Sep 2014","Q3 2014",2,"Wednesday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-04 00:00:00.000,"2014",3,9,4,20140904,"September","Sep 2014","Q3 2014",3,"Thursday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-05 00:00:00.000,"2014",3,9,5,20140905,"September","Sep 2014","Q3 2014",4,"Friday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-06 00:00:00.000,"2014",3,9,6,20140906,"September","Sep 2014","Q3 2014",5,"Saturday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-07 00:00:00.000,"2014",3,9,7,20140907,"September","Sep 2014","Q3 2014",6,"Sunday",2014-09-07 00:00:00.000,36,20140900,20140300,"14","FY15","Q3"
2014-09-08 00:00:00.000,"2014",3,9,8,20140908,"September","Sep 2014","Q3 2014",0,"Monday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-09 00:00:00.000,"2014",3,9,9,20140909,"September","Sep 2014","Q3 2014",1,"Tuesday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-10 00:00:00.000,"2014",3,9,10,20140910,"September","Sep 2014","Q3 2014",2,"Wednesday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-11 00:00:00.000,"2014",3,9,11,20140911,"September","Sep 2014","Q3 2014",3,"Thursday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-12 00:00:00.000,"2014",3,9,12,20140912,"September","Sep 2014","Q3 2014",4,"Friday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-13 00:00:00.000,"2014",3,9,13,20140913,"September","Sep 2014","Q3 2014",5,"Saturday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-14 00:00:00.000,"2014",3,9,14,20140914,"September","Sep 2014","Q3 2014",6,"Sunday",2014-09-14 00:00:00.000,37,20140900,20140300,"14","FY15","Q3"
2014-09-15 00:00:00.000,"2014",3,9,15,20140915,"September","Sep 2014","Q3 2014",0,"Monday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-16 00:00:00.000,"2014",3,9,16,20140916,"September","Sep 2014","Q3 2014",1,"Tuesday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-17 00:00:00.000,"2014",3,9,17,20140917,"September","Sep 2014","Q3 2014",2,"Wednesday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-18 00:00:00.000,"2014",3,9,18,20140918,"September","Sep 2014","Q3 2014",3,"Thursday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-19 00:00:00.000,"2014",3,9,19,20140919,"September","Sep 2014","Q3 2014",4,"Friday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-20 00:00:00.000,"2014",3,9,20,20140920,"September","Sep 2014","Q3 2014",5,"Saturday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-21 00:00:00.000,"2014",3,9,21,20140921,"September","Sep 2014","Q3 2014",6,"Sunday",2014-09-21 00:00:00.000,38,20140900,20140300,"14","FY15","Q3"
2014-09-22 00:00:00.000,"2014",3,9,22,20140922,"September","Sep 2014","Q3 2014",0,"Monday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-23 00:00:00.000,"2014",3,9,23,20140923,"September","Sep 2014","Q3 2014",1,"Tuesday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-24 00:00:00.000,"2014",3,9,24,20140924,"September","Sep 2014","Q3 2014",2,"Wednesday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-25 00:00:00.000,"2014",3,9,25,20140925,"September","Sep 2014","Q3 2014",3,"Thursday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-26 00:00:00.000,"2014",3,9,26,20140926,"September","Sep 2014","Q3 2014",4,"Friday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-27 00:00:00.000,"2014",3,9,27,20140927,"September","Sep 2014","Q3 2014",5,"Saturday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-28 00:00:00.000,"2014",3,9,28,20140928,"September","Sep 2014","Q3 2014",6,"Sunday",2014-09-28 00:00:00.000,39,20140900,20140300,"14","FY15","Q3"
2014-09-29 00:00:00.000,"2014",3,9,29,20140929,"September","Sep 2014","Q3 2014",0,"Monday",2014-10-05 00:00:00.000,40,20140900,20140300,"14","FY15","Q3"
2014-09-30 00:00:00.000,"2014",3,9,30,20140930,"September","Sep 2014","Q3 2014",1,"Tuesday",2014-10-05 00:00:00.000,40,20140900,20140300,"14","FY15","Q3"
2014-04-01 00:00:00.000,"2014",2,4,1,20140401,"April","Apr 2014","Q2 2014",1,"Tuesday",2014-04-06 00:00:00.000,14,20140400,20140200,"14","FY15","Q2"
2014-04-02 00:00:00.000,"2014",2,4,2,20140402,"April","Apr 2014","Q2 2014",2,"Wednesday",2014-04-06 00:00:00.000,14,20140400,20140200,"14","FY15","Q2"
2014-04-03 00:00:00.000,"2014",2,4,3,20140403,"April","Apr 2014","Q2 2014",3,"Thursday",2014-04-06 00:00:00.000,14,20140400,20140200,"14","FY15","Q2"
2014-04-04 00:00:00.000,"2014",2,4,4,20140404,"April","Apr 2014","Q2 2014",4,"Friday",2014-04-06 00:00:00.000,14,20140400,20140200,"14","FY15","Q2"
2014-04-05 00:00:00.000,"2014",2,4,5,20140405,"April","Apr 2014","Q2 2014",5,"Saturday",2014-04-06 00:00:00.000,14,20140400,20140200,"14","FY15","Q2"
2014-04-06 00:00:00.000,"2014",2,4,6,20140406,"April","Apr 2014","Q2 2014",6,"Sunday",2014-04-06 00:00:00.000,14,20140400,20140200,"14","FY15","Q2"
2014-04-07 00:00:00.000,"2014",2,4,7,20140407,"April","Apr 2014","Q2 2014",0,"Monday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-08 00:00:00.000,"2014",2,4,8,20140408,"April","Apr 2014","Q2 2014",1,"Tuesday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-09 00:00:00.000,"2014",2,4,9,20140409,"April","Apr 2014","Q2 2014",2,"Wednesday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-10 00:00:00.000,"2014",2,4,10,20140410,"April","Apr 2014","Q2 2014",3,"Thursday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-11 00:00:00.000,"2014",2,4,11,20140411,"April","Apr 2014","Q2 2014",4,"Friday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-12 00:00:00.000,"2014",2,4,12,20140412,"April","Apr 2014","Q2 2014",5,"Saturday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-13 00:00:00.000,"2014",2,4,13,20140413,"April","Apr 2014","Q2 2014",6,"Sunday",2014-04-13 00:00:00.000,15,20140400,20140200,"14","FY15","Q2"
2014-04-14 00:00:00.000,"2014",2,4,14,20140414,"April","Apr 2014","Q2 2014",0,"Monday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-15 00:00:00.000,"2014",2,4,15,20140415,"April","Apr 2014","Q2 2014",1,"Tuesday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-16 00:00:00.000,"2014",2,4,16,20140416,"April","Apr 2014","Q2 2014",2,"Wednesday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-17 00:00:00.000,"2014",2,4,17,20140417,"April","Apr 2014","Q2 2014",3,"Thursday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-18 00:00:00.000,"2014",2,4,18,20140418,"April","Apr 2014","Q2 2014",4,"Friday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-19 00:00:00.000,"2014",2,4,19,20140419,"April","Apr 2014","Q2 2014",5,"Saturday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-20 00:00:00.000,"2014",2,4,20,20140420,"April","Apr 2014","Q2 2014",6,"Sunday",2014-04-20 00:00:00.000,16,20140400,20140200,"14","FY15","Q2"
2014-04-21 00:00:00.000,"2014",2,4,21,20140421,"April","Apr 2014","Q2 2014",0,"Monday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-22 00:00:00.000,"2014",2,4,22,20140422,"April","Apr 2014","Q2 2014",1,"Tuesday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-23 00:00:00.000,"2014",2,4,23,20140423,"April","Apr 2014","Q2 2014",2,"Wednesday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-24 00:00:00.000,"2014",2,4,24,20140424,"April","Apr 2014","Q2 2014",3,"Thursday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-25 00:00:00.000,"2014",2,4,25,20140425,"April","Apr 2014","Q2 2014",4,"Friday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-26 00:00:00.000,"2014",2,4,26,20140426,"April","Apr 2014","Q2 2014",5,"Saturday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-27 00:00:00.000,"2014",2,4,27,20140427,"April","Apr 2014","Q2 2014",6,"Sunday",2014-04-27 00:00:00.000,17,20140400,20140200,"14","FY15","Q2"
2014-04-28 00:00:00.000,"2014",2,4,28,20140428,"April","Apr 2014","Q2 2014",0,"Monday",2014-05-04 00:00:00.000,18,20140400,20140200,"14","FY15","Q2"
2014-04-29 00:00:00.000,"2014",2,4,29,20140429,"April","Apr 2014","Q2 2014",1,"Tuesday",2014-05-04 00:00:00.000,18,20140400,20140200,"14","FY15","Q2"
2014-04-30 00:00:00.000,"2014",2,4,30,20140430,"April","Apr 2014","Q2 2014",2,"Wednesday",2014-05-04 00:00:00.000,18,20140400,20140200,"14","FY15","Q2"
2014-05-01 00:00:00.000,"2014",2,5,1,20140501,"May","May 2014","Q2 2014",3,"Thursday",2014-05-04 00:00:00.000,18,20140500,20140200,"14","FY15","Q2"
2014-05-02 00:00:00.000,"2014",2,5,2,20140502,"May","May 2014","Q2 2014",4,"Friday",2014-05-04 00:00:00.000,18,20140500,20140200,"14","FY15","Q2"
2014-05-03 00:00:00.000,"2014",2,5,3,20140503,"May","May 2014","Q2 2014",5,"Saturday",2014-05-04 00:00:00.000,18,20140500,20140200,"14","FY15","Q2"
2014-05-04 00:00:00.000,"2014",2,5,4,20140504,"May","May 2014","Q2 2014",6,"Sunday",2014-05-04 00:00:00.000,18,20140500,20140200,"14","FY15","Q2"
2014-05-05 00:00:00.000,"2014",2,5,5,20140505,"May","May 2014","Q2 2014",0,"Monday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-06 00:00:00.000,"2014",2,5,6,20140506,"May","May 2014","Q2 2014",1,"Tuesday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-07 00:00:00.000,"2014",2,5,7,20140507,"May","May 2014","Q2 2014",2,"Wednesday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-08 00:00:00.000,"2014",2,5,8,20140508,"May","May 2014","Q2 2014",3,"Thursday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-09 00:00:00.000,"2014",2,5,9,20140509,"May","May 2014","Q2 2014",4,"Friday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-10 00:00:00.000,"2014",2,5,10,20140510,"May","May 2014","Q2 2014",5,"Saturday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-11 00:00:00.000,"2014",2,5,11,20140511,"May","May 2014","Q2 2014",6,"Sunday",2014-05-11 00:00:00.000,19,20140500,20140200,"14","FY15","Q2"
2014-05-12 00:00:00.000,"2014",2,5,12,20140512,"May","May 2014","Q2 2014",0,"Monday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-13 00:00:00.000,"2014",2,5,13,20140513,"May","May 2014","Q2 2014",1,"Tuesday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-14 00:00:00.000,"2014",2,5,14,20140514,"May","May 2014","Q2 2014",2,"Wednesday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-15 00:00:00.000,"2014",2,5,15,20140515,"May","May 2014","Q2 2014",3,"Thursday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-16 00:00:00.000,"2014",2,5,16,20140516,"May","May 2014","Q2 2014",4,"Friday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-17 00:00:00.000,"2014",2,5,17,20140517,"May","May 2014","Q2 2014",5,"Saturday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-18 00:00:00.000,"2014",2,5,18,20140518,"May","May 2014","Q2 2014",6,"Sunday",2014-05-18 00:00:00.000,20,20140500,20140200,"14","FY15","Q2"
2014-05-19 00:00:00.000,"2014",2,5,19,20140519,"May","May 2014","Q2 2014",0,"Monday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-20 00:00:00.000,"2014",2,5,20,20140520,"May","May 2014","Q2 2014",1,"Tuesday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-21 00:00:00.000,"2014",2,5,21,20140521,"May","May 2014","Q2 2014",2,"Wednesday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-22 00:00:00.000,"2014",2,5,22,20140522,"May","May 2014","Q2 2014",3,"Thursday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-23 00:00:00.000,"2014",2,5,23,20140523,"May","May 2014","Q2 2014",4,"Friday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-24 00:00:00.000,"2014",2,5,24,20140524,"May","May 2014","Q2 2014",5,"Saturday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-25 00:00:00.000,"2014",2,5,25,20140525,"May","May 2014","Q2 2014",6,"Sunday",2014-05-25 00:00:00.000,21,20140500,20140200,"14","FY15","Q2"
2014-05-26 00:00:00.000,"2014",2,5,26,20140526,"May","May 2014","Q2 2014",0,"Monday",2014-06-01 00:00:00.000,22,20140500,20140200,"14","FY15","Q2"
2014-05-27 00:00:00.000,"2014",2,5,27,20140527,"May","May 2014","Q2 2014",1,"Tuesday",2014-06-01 00:00:00.000,22,20140500,20140200,"14","FY15","Q2"
2014-05-28 00:00:00.000,"2014",2,5,28,20140528,"May","May 2014","Q2 2014",2,"Wednesday",2014-06-01 00:00:00.000,22,20140500,20140200,"14","FY15","Q2"
2014-05-29 00:00:00.000,"2014",2,5,29,20140529,"May","May 2014","Q2 2014",3,"Thursday",2014-06-01 00:00:00.000,22,20140500,20140200,"14","FY15","Q2"
