OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,Region City,Region Territory
"SO - 000695",2014-08-09 00:00:00.000,2014-09-11 00:00:00.000,43,"Wholesale","NZD","AXW291",38,7,9,3852.5,3043.475,34672.5,"Coffs Harbour","New South Wales"
"SO - 000707",2014-08-10 00:00:00.000,2014-10-04 00:00:00.000,17,"Wholesale","NZD","AXW291",79,7,5,3886,2797.92,19430,"Coffs Harbour","New South Wales"
"SO - 000783",2014-08-18 00:00:00.000,2014-09-25 00:00:00.000,13,"Wholesale","NZD","AXW291",41,7,11,3865.9,3092.72,42524.9,"Coffs Harbour","New South Wales"
"SO - 000869",2014-08-28 00:00:00.000,2014-10-27 00:00:00.000,25,"Wholesale","NZD","AXW291",12,7,6,2666.6,1253.302,15999.6,"Coffs Harbour","New South Wales"
"SO - 000888",2014-08-31 00:00:00.000,2014-11-20 00:00:00.000,50,"Wholesale","NZD","AXW291",5,7,11,174.2,80.132,1916.2,"Coffs Harbour","New South Wales"
"SO - 000964",2014-09-10 00:00:00.000,2014-10-14 00:00:00.000,20,"Wholesale","NZD","AXW291",57,7,10,268,123.28,2680,"Coffs Harbour","New South Wales"
"SO - 000978",2014-09-12 00:00:00.000,2014-11-07 00:00:00.000,18,"Wholesale","NZD","AXW291",5,7,8,180.9,135.675,1447.2,"Coffs Harbour","New South Wales"
"SO - 0001010",2014-09-15 00:00:00.000,2014-11-11 00:00:00.000,2,"Wholesale","NZD","AXW291",18,7,9,1078.7,593.285,9708.3,"Coffs Harbour","New South Wales"
"SO - 0001124",2014-09-28 00:00:00.000,2014-12-25 00:00:00.000,20,"Wholesale","NZD","AXW291",7,7,11,1695.1,1101.815,18646.1,"Coffs Harbour","New South Wales"
"SO - 0001154",2014-10-01 00:00:00.000,2014-11-06 00:00:00.000,35,"Wholesale","NZD","AXW291",46,7,10,1695.1,1254.374,16951,"Coffs Harbour","New South Wales"
"SO - 0001219",2014-10-11 00:00:00.000,2014-12-05 00:00:00.000,20,"Wholesale","NZD","AXW291",20,7,5,180.9,130.248,904.5,"Coffs Harbour","New South Wales"
"SO - 0001253",2014-10-16 00:00:00.000,2014-11-17 00:00:00.000,40,"Wholesale","NZD","AXW291",13,7,6,207.7,174.468,1246.2,"Coffs Harbour","New South Wales"
"SO - 0001407",2014-11-04 00:00:00.000,2014-12-05 00:00:00.000,36,"Wholesale","NZD","AXW291",2,7,10,3865.9,1816.973,38659,"Coffs Harbour","New South Wales"
"SO - 0001428",2014-11-07 00:00:00.000,2014-12-10 00:00:00.000,32,"Wholesale","NZD","AXW291",81,7,11,2512.5,2060.25,27637.5,"Coffs Harbour","New South Wales"
"SO - 0001516",2014-11-17 00:00:00.000,2015-02-04 00:00:00.000,49,"Wholesale","NZD","AXW291",14,7,5,3236.1,2329.992,16180.5,"Coffs Harbour","New South Wales"
"SO - 0001662",2014-12-04 00:00:00.000,2015-02-09 00:00:00.000,48,"Wholesale","NZD","AXW291",86,7,7,241.2,115.776,1688.4,"Coffs Harbour","New South Wales"
"SO - 0001684",2014-12-07 00:00:00.000,2015-02-24 00:00:00.000,19,"Wholesale","NZD","AXW291",21,7,5,917.9,514.024,4589.5,"Coffs Harbour","New South Wales"
"SO - 0001731",2014-12-13 00:00:00.000,2015-01-27 00:00:00.000,26,"Wholesale","NZD","AXW291",8,7,7,194.3,79.663,1360.1,"Coffs Harbour","New South Wales"
"SO - 0001882",2014-12-28 00:00:00.000,2015-03-19 00:00:00.000,18,"Wholesale","NZD","AXW291",9,7,12,1038.5,768.49,12462,"Coffs Harbour","New South Wales"
"SO - 0001894",2014-12-29 00:00:00.000,2015-02-21 00:00:00.000,37,"Wholesale","NZD","AXW291",20,7,10,1092.1,666.181,10921,"Coffs Harbour","New South Wales"
"SO - 0002043",2015-01-11 00:00:00.000,2015-02-23 00:00:00.000,2,"Wholesale","NZD","AXW291",3,7,12,1011.7,536.201,12140.4,"Coffs Harbour","New South Wales"
"SO - 0002146",2015-01-22 00:00:00.000,2015-03-23 00:00:00.000,33,"Wholesale","NZD","AXW291",26,7,11,1896.1,1346.231,20857.1,"Coffs Harbour","New South Wales"
"SO - 0002211",2015-01-30 00:00:00.000,2015-03-13 00:00:00.000,11,"Wholesale","NZD","AXW291",68,7,9,2010,1386.9,18090,"Coffs Harbour","New South Wales"
"SO - 0002266",2015-02-06 00:00:00.000,2015-04-10 00:00:00.000,16,"Wholesale","NZD","AXW291",20,7,6,1829.1,804.804,10974.6,"Coffs Harbour","New South Wales"
"SO - 0002326",2015-02-13 00:00:00.000,2015-04-15 00:00:00.000,31,"Wholesale","NZD","AXW291",14,7,9,3035.1,1578.252,27315.9,"Coffs Harbour","New South Wales"
"SO - 0002409",2015-02-23 00:00:00.000,2015-05-24 00:00:00.000,6,"Wholesale","NZD","AXW291",7,7,9,1105.5,773.85,9949.5,"Coffs Harbour","New South Wales"
"SO - 0002455",2015-03-01 00:00:00.000,2015-05-30 00:00:00.000,16,"Wholesale","NZD","AXW291",7,7,7,1058.6,529.3,7410.2,"Coffs Harbour","New South Wales"
"SO - 0002498",2015-03-08 00:00:00.000,2015-04-11 00:00:00.000,30,"Wholesale","NZD","AXW291",23,7,9,1909.5,1413.03,17185.5,"Coffs Harbour","New South Wales"
"SO - 0002577",2015-03-19 00:00:00.000,2015-05-14 00:00:00.000,41,"Wholesale","NZD","AXW291",50,7,8,958.1,795.223,7664.8,"Coffs Harbour","New South Wales"
"SO - 0002588",2015-03-20 00:00:00.000,2015-06-13 00:00:00.000,34,"Wholesale","NZD","AXW291",10,7,8,2271.3,1067.511,18170.4,"Coffs Harbour","New South Wales"
"SO - 0002641",2015-03-27 00:00:00.000,2015-04-27 00:00:00.000,2,"Wholesale","NZD","AXW291",39,7,10,2613,1620.06,26130,"Coffs Harbour","New South Wales"
"SO - 0002694",2015-04-04 00:00:00.000,2015-06-28 00:00:00.000,18,"Wholesale","NZD","AXW291",18,7,11,1728.6,1037.16,19014.6,"Coffs Harbour","New South Wales"
"SO - 0002758",2015-04-10 00:00:00.000,2015-05-19 00:00:00.000,14,"Wholesale","NZD","AXW291",7,7,8,904.5,642.195,7236,"Coffs Harbour","New South Wales"
"SO - 0002762",2015-04-11 00:00:00.000,2015-07-03 00:00:00.000,50,"Wholesale","NZD","AXW291",83,7,12,1098.8,813.112,13185.6,"Coffs Harbour","New South Wales"
"SO - 0002914",2015-04-28 00:00:00.000,2015-06-06 00:00:00.000,7,"Wholesale","NZD","AXW291",2,7,10,3551,2414.68,35510,"Coffs Harbour","New South Wales"
"SO - 0002938",2015-04-30 00:00:00.000,2015-07-14 00:00:00.000,38,"Wholesale","NZD","AXW291",24,7,12,2572.8,1080.576,30873.6,"Coffs Harbour","New South Wales"
"SO - 0002975",2015-05-05 00:00:00.000,2015-07-07 00:00:00.000,8,"Wholesale","NZD","AXW291",51,7,7,2324.9,1371.691,16274.3,"Coffs Harbour","New South Wales"
"SO - 0003010",2015-05-08 00:00:00.000,2015-07-07 00:00:00.000,47,"Wholesale","NZD","AXW291",17,7,12,2519.2,1990.168,30230.4,"Coffs Harbour","New South Wales"
"SO - 0003061",2015-05-13 00:00:00.000,2015-07-13 00:00:00.000,31,"Wholesale","NZD","AXW291",68,7,6,1688.4,1401.372,10130.4,"Coffs Harbour","New South Wales"
"SO - 0003126",2015-05-22 00:00:00.000,2015-08-07 00:00:00.000,39,"Wholesale","NZD","AXW291",67,7,12,2941.3,2176.562,35295.6,"Coffs Harbour","New South Wales"
"SO - 0003218",2015-06-01 00:00:00.000,2015-08-30 00:00:00.000,32,"Wholesale","NZD","AXW291",83,7,10,1909.5,1355.745,19095,"Coffs Harbour","New South Wales"
"SO - 0003265",2015-06-05 00:00:00.000,2015-07-30 00:00:00.000,45,"Wholesale","NZD","AXW291",51,7,8,3973.1,1708.433,31784.8,"Coffs Harbour","New South Wales"
"SO - 0003317",2015-06-12 00:00:00.000,2015-08-07 00:00:00.000,1,"Wholesale","NZD","AXW291",11,7,12,2807.3,1908.964,33687.6,"Coffs Harbour","New South Wales"
"SO - 0003321",2015-06-13 00:00:00.000,2015-07-15 00:00:00.000,12,"Wholesale","NZD","AXW291",10,7,5,1078.7,690.368,5393.5,"Coffs Harbour","New South Wales"
"SO - 0003324",2015-06-13 00:00:00.000,2015-09-01 00:00:00.000,49,"Wholesale","NZD","AXW291",15,7,11,247.9,173.53,2726.9,"Coffs Harbour","New South Wales"
"SO - 0003335",2015-06-14 00:00:00.000,2015-07-22 00:00:00.000,19,"Wholesale","NZD","AXW291",13,7,5,194.3,118.523,971.5,"Coffs Harbour","New South Wales"
"SO - 0003343",2015-06-15 00:00:00.000,2015-08-28 00:00:00.000,14,"Wholesale","NZD","AXW291",11,7,10,5835.7,4026.633,58357,"Coffs Harbour","New South Wales"
"SO - 0003371",2015-06-19 00:00:00.000,2015-07-31 00:00:00.000,16,"Wholesale","NZD","AXW291",3,7,11,3899.4,3314.49,42893.4,"Coffs Harbour","New South Wales"
"SO - 0003400",2015-06-22 00:00:00.000,2015-08-23 00:00:00.000,10,"Wholesale","NZD","AXW291",1,7,10,817.4,645.746,8174,"Coffs Harbour","New South Wales"
"SO - 0003405",2015-06-23 00:00:00.000,2015-08-08 00:00:00.000,8,"Wholesale","NZD","AXW291",50,7,10,5721.8,3719.17,57218,"Coffs Harbour","New South Wales"
"SO - 0003413",2015-06-24 00:00:00.000,2015-09-06 00:00:00.000,5,"Wholesale","NZD","AXW291",80,7,12,5326.5,2503.455,63918,"Coffs Harbour","New South Wales"
"SO - 0003449",2015-06-29 00:00:00.000,2015-08-05 00:00:00.000,29,"Wholesale","NZD","AXW291",21,7,5,2599.6,1429.78,12998,"Coffs Harbour","New South Wales"
"SO - 0003450",2015-06-29 00:00:00.000,2015-08-14 00:00:00.000,20,"Wholesale","NZD","AXW291",48,7,10,254.6,178.22,2546,"Coffs Harbour","New South Wales"
"SO - 0003471",2015-07-02 00:00:00.000,2015-08-07 00:00:00.000,25,"Wholesale","NZD","AXW291",70,7,5,1051.9,462.836,5259.5,"Coffs Harbour","New South Wales"
"SO - 0003525",2015-07-08 00:00:00.000,2015-08-27 00:00:00.000,39,"Wholesale","NZD","AXW291",72,7,12,5989.8,4552.248,71877.6,"Coffs Harbour","New South Wales"
"SO - 0003583",2015-07-16 00:00:00.000,2015-08-29 00:00:00.000,19,"Wholesale","NZD","AXW291",55,7,10,261.3,167.232,2613,"Coffs Harbour","New South Wales"
"SO - 0003600",2015-07-19 00:00:00.000,2015-09-20 00:00:00.000,45,"Wholesale","NZD","AXW291",23,7,5,207.7,145.39,1038.5,"Coffs Harbour","New South Wales"
"SO - 0003625",2015-07-21 00:00:00.000,2015-09-04 00:00:00.000,29,"Wholesale","NZD","AXW291",4,7,10,1038.5,841.185,10385,"Coffs Harbour","New South Wales"
"SO - 0003787",2015-08-09 00:00:00.000,2015-09-24 00:00:00.000,20,"Wholesale","NZD","AXW291",10,7,12,2405.3,1250.756,28863.6,"Coffs Harbour","New South Wales"
"SO - 0003881",2015-08-20 00:00:00.000,2015-10-28 00:00:00.000,40,"Wholesale","NZD","AXW291",5,7,10,857.6,651.776,8576,"Coffs Harbour","New South Wales"
"SO - 0003896",2015-08-21 00:00:00.000,2015-10-04 00:00:00.000,39,"Wholesale","NZD","AXW291",65,7,8,3725.2,2644.892,29801.6,"Coffs Harbour","New South Wales"
"SO - 0003913",2015-08-23 00:00:00.000,2015-10-31 00:00:00.000,47,"Wholesale","NZD","AXW291",22,7,6,1768.8,1167.408,10612.8,"Coffs Harbour","New South Wales"
"SO - 0004011",2015-09-06 00:00:00.000,2015-11-02 00:00:00.000,13,"Wholesale","NZD","AXW291",14,7,6,884.4,689.832,5306.4,"Coffs Harbour","New South Wales"
"SO - 0004019",2015-09-07 00:00:00.000,2015-10-23 00:00:00.000,19,"Wholesale","NZD","AXW291",3,7,5,850.9,570.103,4254.5,"Coffs Harbour","New South Wales"
"SO - 0004023",2015-09-07 00:00:00.000,2015-10-25 00:00:00.000,11,"Wholesale","NZD","AXW291",16,7,5,1775.5,1384.89,8877.5,"Coffs Harbour","New South Wales"
"SO - 0004034",2015-09-10 00:00:00.000,2015-11-19 00:00:00.000,27,"Wholesale","NZD","AXW291",82,7,9,3953,2925.22,35577,"Coffs Harbour","New South Wales"
"SO - 0004190",2015-09-29 00:00:00.000,2015-11-20 00:00:00.000,18,"Wholesale","NZD","AXW291",15,7,10,3946.3,2249.391,39463,"Coffs Harbour","New South Wales"
"SO - 0004235",2015-10-04 00:00:00.000,2015-12-23 00:00:00.000,31,"Wholesale","NZD","AXW291",22,7,9,4006.6,1802.97,36059.4,"Coffs Harbour","New South Wales"
"SO - 0004297",2015-10-11 00:00:00.000,2015-12-27 00:00:00.000,25,"Wholesale","NZD","AXW291",36,7,9,247.9,101.639,2231.1,"Coffs Harbour","New South Wales"
"SO - 0004331",2015-10-16 00:00:00.000,2015-12-07 00:00:00.000,50,"Wholesale","NZD","AXW291",14,7,7,1105.5,585.915,7738.5,"Coffs Harbour","New South Wales"
"SO - 0004364",2015-10-21 00:00:00.000,2015-11-22 00:00:00.000,20,"Wholesale","NZD","AXW291",9,7,5,1876,1050.56,9380,"Coffs Harbour","New South Wales"
"SO - 0004448",2015-10-31 00:00:00.000,2015-12-13 00:00:00.000,44,"Wholesale","NZD","AXW291",9,7,11,3845.8,2615.144,42303.8,"Coffs Harbour","New South Wales"
"SO - 0004480",2015-11-05 00:00:00.000,2016-01-23 00:00:00.000,10,"Wholesale","NZD","AXW291",2,7,7,3946.3,2920.262,27624.1,"Coffs Harbour","New South Wales"
"SO - 0004543",2015-11-14 00:00:00.000,2015-12-17 00:00:00.000,3,"Wholesale","NZD","AXW291",10,7,12,6184.1,3772.301,74209.2,"Coffs Harbour","New South Wales"
"SO - 0004547",2015-11-14 00:00:00.000,2016-02-04 00:00:00.000,9,"Wholesale","NZD","AXW291",19,7,10,1139,569.5,11390,"Coffs Harbour","New South Wales"
"SO - 0004577",2015-11-17 00:00:00.000,2015-12-18 00:00:00.000,46,"Wholesale","NZD","AXW291",15,7,7,1715.2,943.36,12006.4,"Coffs Harbour","New South Wales"
"SO - 0004584",2015-11-17 00:00:00.000,2016-01-11 00:00:00.000,18,"Wholesale","NZD","AXW291",17,7,10,187.6,91.924,1876,"Coffs Harbour","New South Wales"
"SO - 0004585",2015-11-17 00:00:00.000,2015-12-26 00:00:00.000,8,"Wholesale","NZD","AXW291",78,7,6,3966.4,2141.856,23798.4,"Coffs Harbour","New South Wales"
"SO - 0004694",2015-11-30 00:00:00.000,2016-01-30 00:00:00.000,40,"Wholesale","NZD","AXW291",54,7,12,1728.6,1279.164,20743.2,"Coffs Harbour","New South Wales"
"SO - 0004750",2015-12-06 00:00:00.000,2016-01-21 00:00:00.000,28,"Wholesale","NZD","AXW291",48,7,9,1125.6,461.496,10130.4,"Coffs Harbour","New South Wales"
"SO - 0004807",2015-12-13 00:00:00.000,2016-03-05 00:00:00.000,14,"Wholesale","NZD","AXW291",3,7,10,1005,582.9,10050,"Coffs Harbour","New South Wales"
"SO - 0004943",2015-12-30 00:00:00.000,2016-03-06 00:00:00.000,25,"Wholesale","NZD","AXW291",51,7,11,3986.5,2551.36,43851.5,"Coffs Harbour","New South Wales"
"SO - 0004948",2015-12-31 00:00:00.000,2016-03-08 00:00:00.000,13,"Wholesale","NZD","AXW291",79,7,5,3953,2648.51,19765,"Coffs Harbour","New South Wales"
"SO - 0004953",2015-12-31 00:00:00.000,2016-02-20 00:00:00.000,27,"Wholesale","NZD","AXW291",26,7,10,1145.7,458.28,11457,"Coffs Harbour","New South Wales"
"SO - 0004960",2016-01-01 00:00:00.000,2016-03-19 00:00:00.000,7,"Wholesale","NZD","AXW291",3,7,12,3926.2,2944.65,47114.4,"Coffs Harbour","New South Wales"
"SO - 0004997",2016-01-06 00:00:00.000,2016-03-07 00:00:00.000,38,"Wholesale","NZD","AXW291",70,7,8,2231.1,892.44,17848.8,"Coffs Harbour","New South Wales"
"SO - 0005004",2016-01-06 00:00:00.000,2016-03-25 00:00:00.000,6,"Wholesale","NZD","AXW291",22,7,11,5768.7,4557.273,63455.7,"Coffs Harbour","New South Wales"
"SO - 0005059",2016-01-11 00:00:00.000,2016-03-30 00:00:00.000,11,"Wholesale","NZD","AXW291",23,7,8,6090.3,2618.829,48722.4,"Coffs Harbour","New South Wales"
"SO - 0005092",2016-01-14 00:00:00.000,2016-03-30 00:00:00.000,20,"Wholesale","NZD","AXW291",36,7,11,938,684.74,10318,"Coffs Harbour","New South Wales"
"SO - 0005152",2016-01-21 00:00:00.000,2016-03-11 00:00:00.000,38,"Wholesale","NZD","AXW291",69,7,5,1782.2,1354.472,8911,"Coffs Harbour","New South Wales"
"SO - 0005163",2016-01-22 00:00:00.000,2016-03-17 00:00:00.000,19,"Wholesale","NZD","AXW291",23,7,9,931.3,605.345,8381.7,"Coffs Harbour","New South Wales"
"SO - 0005172",2016-01-23 00:00:00.000,2016-03-26 00:00:00.000,5,"Wholesale","NZD","AXW291",7,7,9,1340,978.2,12060,"Coffs Harbour","New South Wales"
"SO - 0005188",2016-01-25 00:00:00.000,2016-04-20 00:00:00.000,12,"Wholesale","NZD","AXW291",20,7,7,3926.2,2002.362,27483.4,"Coffs Harbour","New South Wales"
"SO - 0005267",2016-02-04 00:00:00.000,2016-04-13 00:00:00.000,21,"Wholesale","NZD","AXW291",11,7,6,2345,1195.95,14070,"Coffs Harbour","New South Wales"
"SO - 0005347",2016-02-14 00:00:00.000,2016-04-26 00:00:00.000,5,"Wholesale","NZD","AXW291",61,7,8,3852.5,3236.1,30820,"Coffs Harbour","New South Wales"
"SO - 0005439",2016-02-23 00:00:00.000,2016-04-06 00:00:00.000,44,"Wholesale","NZD","AXW291",13,7,6,180.9,139.293,1085.4,"Coffs Harbour","New South Wales"
"SO - 0005452",2016-02-25 00:00:00.000,2016-05-24 00:00:00.000,33,"Wholesale","NZD","AXW291",53,7,5,3986.5,1993.25,19932.5,"Coffs Harbour","New South Wales"
"SO - 0005590",2016-03-12 00:00:00.000,2016-05-09 00:00:00.000,30,"Wholesale","NZD","AXW291",7,7,11,4013.3,2528.379,44146.3,"Coffs Harbour","New South Wales"
"SO - 0005592",2016-03-12 00:00:00.000,2016-04-22 00:00:00.000,27,"Wholesale","NZD","AXW291",11,7,9,1098.8,922.992,9889.2,"Coffs Harbour","New South Wales"
"SO - 0005601",2016-03-13 00:00:00.000,2016-05-12 00:00:00.000,14,"Wholesale","NZD","AXW291",53,7,10,1695.1,1406.933,16951,"Coffs Harbour","New South Wales"
"SO - 0005606",2016-03-14 00:00:00.000,2016-05-27 00:00:00.000,5,"Wholesale","NZD","AXW291",52,7,5,1098.8,769.16,5494,"Coffs Harbour","New South Wales"
"SO - 0005721",2016-03-30 00:00:00.000,2016-06-09 00:00:00.000,25,"Wholesale","NZD","AXW291",42,7,12,4006.6,3125.148,48079.2,"Coffs Harbour","New South Wales"
"SO - 0005760",2016-04-03 00:00:00.000,2016-06-24 00:00:00.000,42,"Wholesale","NZD","AXW291",70,7,7,2398.6,1750.978,16790.2,"Coffs Harbour","New South Wales"
"SO - 0005761",2016-04-03 00:00:00.000,2016-05-09 00:00:00.000,34,"Wholesale","NZD","AXW291",1,7,7,1078.7,862.96,7550.9,"Coffs Harbour","New South Wales"
"SO - 0005790",2016-04-05 00:00:00.000,2016-06-02 00:00:00.000,5,"Wholesale","NZD","AXW291",15,7,5,2371.8,1565.388,11859,"Coffs Harbour","New South Wales"
"SO - 0005909",2016-04-21 00:00:00.000,2016-05-21 00:00:00.000,40,"Wholesale","NZD","AXW291",16,7,9,3859.2,1813.824,34732.8,"Coffs Harbour","New South Wales"
"SO - 0005976",2016-04-28 00:00:00.000,2016-07-02 00:00:00.000,29,"Wholesale","NZD","AXW291",42,7,7,1212.7,812.509,8488.9,"Coffs Harbour","New South Wales"
"SO - 0005986",2016-04-29 00:00:00.000,2016-07-06 00:00:00.000,6,"Wholesale","NZD","AXW291",24,7,11,3939.6,2560.74,43335.6,"Coffs Harbour","New South Wales"
"SO - 0006006",2016-05-01 00:00:00.000,2016-07-26 00:00:00.000,2,"Wholesale","NZD","AXW291",82,7,7,984.9,679.581,6894.3,"Coffs Harbour","New South Wales"
"SO - 0006020",2016-05-03 00:00:00.000,2016-06-29 00:00:00.000,37,"Wholesale","NZD","AXW291",12,7,10,5118.8,3890.288,51188,"Coffs Harbour","New South Wales"
"SO - 0006036",2016-05-06 00:00:00.000,2016-06-06 00:00:00.000,1,"Wholesale","NZD","AXW291",17,7,7,201,120.6,1407,"Coffs Harbour","New South Wales"
"SO - 0006055",2016-05-08 00:00:00.000,2016-06-25 00:00:00.000,6,"Wholesale","NZD","AXW291",30,7,7,2968.1,1869.903,20776.7,"Coffs Harbour","New South Wales"
"SO - 0006224",2016-05-28 00:00:00.000,2016-07-28 00:00:00.000,49,"Wholesale","NZD","AXW291",18,7,6,891.1,605.948,5346.6,"Coffs Harbour","New South Wales"
"SO - 0006265",2016-06-01 00:00:00.000,2016-07-03 00:00:00.000,47,"Wholesale","NZD","AXW291",13,7,10,1105.5,674.355,11055,"Coffs Harbour","New South Wales"
"SO - 0006278",2016-06-02 00:00:00.000,2016-07-07 00:00:00.000,1,"Wholesale","NZD","AXW291",17,7,10,1715.2,1457.92,17152,"Coffs Harbour","New South Wales"
"SO - 0006326",2016-06-07 00:00:00.000,2016-07-30 00:00:00.000,42,"Wholesale","NZD","AXW291",73,7,10,2800.6,1316.282,28006,"Coffs Harbour","New South Wales"
"SO - 0006331",2016-06-08 00:00:00.000,2016-08-25 00:00:00.000,26,"Wholesale","NZD","AXW291",62,7,5,1078.7,571.711,5393.5,"Coffs Harbour","New South Wales"
"SO - 0006342",2016-06-09 00:00:00.000,2016-09-05 00:00:00.000,16,"Wholesale","NZD","AXW291",28,7,11,2626.4,1891.008,28890.4,"Coffs Harbour","New South Wales"
"SO - 0006517",2016-07-01 00:00:00.000,2016-08-14 00:00:00.000,19,"Wholesale","NZD","AXW291",18,7,11,227.8,134.402,2505.8,"Coffs Harbour","New South Wales"
"SO - 0006521",2016-07-02 00:00:00.000,2016-08-07 00:00:00.000,45,"Wholesale","NZD","AXW291",9,7,11,1072,536,11792,"Coffs Harbour","New South Wales"
"SO - 0006526",2016-07-03 00:00:00.000,2016-09-22 00:00:00.000,33,"Wholesale","NZD","AXW291",3,7,5,1782.2,1283.184,8911,"Coffs Harbour","New South Wales"
"SO - 0006563",2016-07-07 00:00:00.000,2016-08-23 00:00:00.000,31,"Wholesale","NZD","AXW291",13,7,8,2572.8,1054.848,20582.4,"Coffs Harbour","New South Wales"
"SO - 0006568",2016-07-07 00:00:00.000,2016-08-15 00:00:00.000,26,"Wholesale","NZD","AXW291",14,7,9,234.5,194.635,2110.5,"Coffs Harbour","New South Wales"
"SO - 0006639",2016-07-14 00:00:00.000,2016-09-10 00:00:00.000,10,"Wholesale","NZD","AXW291",21,7,5,1025.1,717.57,5125.5,"Coffs Harbour","New South Wales"
"SO - 0006721",2016-07-23 00:00:00.000,2016-10-05 00:00:00.000,8,"Wholesale","NZD","AXW291",31,7,8,3477.3,1947.288,27818.4,"Coffs Harbour","New South Wales"
"SO - 0006752",2016-07-27 00:00:00.000,2016-09-05 00:00:00.000,29,"Wholesale","NZD","AXW291",5,7,11,3906.1,3203.002,42967.1,"Coffs Harbour","New South Wales"
"SO - 0006858",2016-08-09 00:00:00.000,2016-11-04 00:00:00.000,29,"Wholesale","NZD","AXW291",4,7,9,911.2,628.728,8200.8,"Coffs Harbour","New South Wales"
"SO - 0006976",2016-08-24 00:00:00.000,2016-11-16 00:00:00.000,14,"Wholesale","NZD","AXW291",13,7,9,5293,3334.59,47637,"Coffs Harbour","New South Wales"
"SO - 0007171",2016-09-17 00:00:00.000,2016-10-22 00:00:00.000,5,"Wholesale","NZD","AXW291",67,7,5,5621.3,3260.354,28106.5,"Coffs Harbour","New South Wales"
"SO - 0007424",2016-10-15 00:00:00.000,2016-11-26 00:00:00.000,6,"Wholesale","NZD","AXW291",47,7,7,730.3,496.604,5112.1,"Coffs Harbour","New South Wales"
"SO - 0007429",2016-10-16 00:00:00.000,2016-11-22 00:00:00.000,34,"Wholesale","NZD","AXW291",4,7,6,3966.4,2974.8,23798.4,"Coffs Harbour","New South Wales"
"SO - 0007434",2016-10-16 00:00:00.000,2016-11-21 00:00:00.000,10,"Wholesale","NZD","AXW291",59,7,10,1768.8,1238.16,17688,"Coffs Harbour","New South Wales"
"SO - 0007461",2016-10-19 00:00:00.000,2016-12-24 00:00:00.000,44,"Wholesale","NZD","AXW291",50,7,5,3892.7,2763.817,19463.5,"Coffs Harbour","New South Wales"
