Index,Attribute,Value
128,"Prediction",22456.258
129,"Prediction",19926.086
130,"Prediction",19396.27
131,"Prediction",21289.121
132,"Prediction",19457.941
133,"Prediction",18899.945
134,"Prediction",20572.213
135,"Prediction",18207.629
136,"Prediction",19844.697
137,"Prediction",24098.613
138,"Prediction",21037.463
139,"Prediction",20350.172
140,"Prediction",19757.225
141,"Prediction",19722.547
142,"Prediction",21711.4
143,"Prediction",22886.256
144,"Prediction",18889.342
145,"Prediction",21826.463
146,"Prediction",21147.115
147,"Prediction",21995.602
148,"Prediction",22336.316
149,"Prediction",22451.088
150,"Prediction",23208.32
151,"Prediction",18795.346
152,"Prediction",21307.863
153,"Prediction",18733.895
154,"Prediction",22744.432
155,"Prediction",19818.986
156,"Prediction",20837.7
157,"Prediction",19369.143
158,"Prediction",21364.277
159,"Prediction",21888.928
160,"Prediction",20934.004
161,"Prediction",23506.025
162,"Prediction",18174.453
163,"Prediction",21906.33
164,"Prediction",18290.992
165,"Prediction",25999.58
166,"Prediction",21485.941
167,"Prediction",25951.031
168,"Prediction",20695.67
169,"Prediction",19127.268
170,"Prediction",18962.004
171,"Prediction",19000.777
172,"Prediction",19710.752
173,"Prediction",19412.553
174,"Prediction",22502.98
175,"Prediction",19473.104
176,"Prediction",19452.191
177,"Prediction",19795.137
178,"Prediction",18976.344
179,"Prediction",21294.98
180,"Prediction",22207.824
181,"Prediction",19188.402
182,"Prediction",21510.72
183,"Prediction",22077.143
184,"Prediction",24996.293
185,"Prediction",19182.264
186,"Prediction",22953.389
187,"Prediction",21088.05
188,"Prediction",19396.195
189,"Prediction",17747.865
190,"Prediction",21946.326
191,"Prediction",21306.154
192,"Prediction",23212.32
193,"Prediction",22691.031
194,"Prediction",21404.871
195,"Prediction",19590.674
196,"Prediction",19254.844
197,"Prediction",19337.965
198,"Prediction",18892.572
199,"Prediction",20770.744
200,"Prediction",24248.746
201,"Prediction",19118.158
202,"Prediction",16711.375
203,"Prediction",21879.87
204,"Prediction",21220.043
205,"Prediction",23824.17
206,"Prediction",21485.188
207,"Prediction",21668.18
208,"Prediction",19799.445
209,"Prediction",20485.197
210,"Prediction",18485.092
211,"Prediction",19144.785
212,"Prediction",22578.516
213,"Prediction",17985.293
214,"Prediction",21249.764
215,"Prediction",21443.426
216,"Prediction",19694.4
217,"Prediction",21614.61
218,"Prediction",20903.836
219,"Prediction",22058.648
220,"Prediction",21768.576
221,"Prediction",21310.557
222,"Prediction",21752.23
223,"Prediction",21281.57
224,"Prediction",19221.53
225,"Prediction",19287.73
226,"Prediction",21294.158
227,"Prediction",23019.465
228,"Prediction",20860.596
229,"Prediction",17743.21
230,"Prediction",19047.744
231,"Prediction",17936.91
232,"Prediction",20483.154
233,"Prediction",21579.14
234,"Prediction",18121.512
235,"Prediction",22003.863
236,"Prediction",23302.432
237,"Prediction",23647.71
238,"Prediction",22130.45
239,"Prediction",19458.822
240,"Prediction",22150.895
241,"Prediction",18439.6
242,"Prediction",17966.398
243,"Prediction",18765.695
244,"Prediction",18069.1
245,"Prediction",22884.621
246,"Prediction",20025.787
247,"Prediction",21276.814
248,"Prediction",21072.297
249,"Prediction",21518.092
250,"Prediction",19035.412
251,"Prediction",19280.229
252,"Prediction",19528.031
253,"Prediction",23562.592
254,"Prediction",23247.207
255,"Prediction",22823.38
256,"Prediction",21511.91
257,"Prediction",21910.406
258,"Prediction",18193.004
259,"Prediction",20939.574
260,"Prediction",19381.537
261,"Prediction",19671.01
262,"Prediction",22050.322
263,"Prediction",21072.205
264,"Prediction",22899.96
265,"Prediction",21118.385
266,"Prediction",18346.36
267,"Prediction",21646.201
268,"Prediction",22241.6
269,"Prediction",20058.195
270,"Prediction",22078.365
271,"Prediction",18628.84
272,"Prediction",24057.96
273,"Prediction",19443.889
274,"Prediction",22510.572
275,"Prediction",22981.766
276,"Prediction",18572.736
277,"Prediction",22540.844
278,"Prediction",21765.57
279,"Prediction",20579.18
280,"Prediction",22355.297
281,"Prediction",21462.84
282,"Prediction",21992.123
283,"Prediction",19234.035
284,"Prediction",17773.605
285,"Prediction",21599.37
286,"Prediction",23144.8
287,"Prediction",19592.193
288,"Prediction",20330.463
289,"Prediction",23709.412
290,"Prediction",20082.682
291,"Prediction",21219.656
292,"Prediction",20887.793
293,"Prediction",19364.432
294,"Prediction",21272.012
295,"Prediction",20933.336
296,"Prediction",22858.082
297,"Prediction",21813.809
298,"Prediction",21769.143
299,"Prediction",25880.877
300,"Prediction",21614.492
301,"Prediction",23203.064
302,"Prediction",26108.05
303,"Prediction",24519.023
304,"Prediction",21606.32
305,"Prediction",23759.338
306,"Prediction",24316.479
307,"Prediction",23859.412
308,"Prediction",22481.22
309,"Prediction",21162.541
310,"Prediction",21877.158
311,"Prediction",20529.994
312,"Prediction",21037.047
313,"Prediction",20846.361
314,"Prediction",18507.588
315,"Prediction",21856.58
316,"Prediction",21273.969
317,"Prediction",20836.281
318,"Prediction",21164.32
319,"Prediction",20377.055
320,"Prediction",20261.686
321,"Prediction",20982.822
322,"Prediction",18701.06
323,"Prediction",20614.37
324,"Prediction",20882.162
325,"Prediction",19197.992
326,"Prediction",20622.486
327,"Prediction",21109.502
328,"Prediction",19631.799
329,"Prediction",19738.438
330,"Prediction",19643.434
331,"Prediction",19106.832
332,"Prediction",20886.994
333,"Prediction",19438.643
334,"Prediction",20144.564
335,"Prediction",19450.793
336,"Prediction",19013.219
337,"Prediction",21402.406
338,"Prediction",18619.48
339,"Prediction",19059.383
340,"Prediction",21289.867
341,"Prediction",17960.777
342,"Prediction",19941.553
343,"Prediction",17013.604
344,"Prediction",21818.516
345,"Prediction",18780.887
346,"Prediction",20762.879
347,"Prediction",19423.768
348,"Prediction",18910.205
349,"Prediction",19166.338
350,"Prediction",18876.854
351,"Prediction",20871.389
352,"Prediction",18781.934
353,"Prediction",20250.967
354,"Prediction",21115.986
355,"Prediction",22061.219
356,"Prediction",18884.596
357,"Prediction",21929.021
358,"Prediction",22165.299
359,"Prediction",19663.111
360,"Prediction",18638.586
361,"Prediction",19738.607
362,"Prediction",21771.04
363,"Prediction",20964.91
364,"Prediction",21585.15
365,"Prediction",21025.955
366,"Prediction",18556.873
367,"Prediction",21363.31
368,"Prediction",21789.965
369,"Prediction",21842.613
370,"Prediction",19578.553
371,"Prediction",22440.588
372,"Prediction",21009.2
373,"Prediction",18881.705
374,"Prediction",21111.922
375,"Prediction",21162.861
376,"Prediction",22347.965
377,"Prediction",22285.418
378,"Prediction",20019.773
379,"Prediction",20731.326
380,"Prediction",20229.955
381,"Prediction",21040.361
382,"Prediction",20516.082
383,"Prediction",21035.014
384,"Prediction",22094.271
385,"Prediction",19684.459
386,"Prediction",19363.838
387,"Prediction",21979.875
388,"Prediction",20966.557
389,"Prediction",23795.87
390,"Prediction",21039.229
391,"Prediction",22161.564
392,"Prediction",21818.783
393,"Prediction",20979.4
394,"Prediction",22712.03
395,"Prediction",21650.498
396,"Prediction",21135.377
397,"Prediction",21918.963
398,"Prediction",22487.52
399,"Prediction",20955.264
400,"Prediction",19356.027
401,"Prediction",22255.047
402,"Prediction",21466.445
403,"Prediction",23297.887
404,"Prediction",19886.81
405,"Prediction",22387.74
406,"Prediction",21968.275
407,"Prediction",22068.08
408,"Prediction",21478.53
409,"Prediction",22061.494
410,"Prediction",20841.637
411,"Prediction",21904.592
412,"Prediction",21390.873
413,"Prediction",21558.244
414,"Prediction",20502.973
415,"Prediction",21092.39
416,"Prediction",20803.77
417,"Prediction",20689.867
418,"Prediction",21079.787
419,"Prediction",26366.363
420,"Prediction",19071
421,"Prediction",22167.045
422,"Prediction",21686.586
423,"Prediction",22670.02
424,"Prediction",22666.041
425,"Prediction",22333.48
426,"Prediction",21398.082
427,"Prediction",19447.041
428,"Prediction",22457.455
429,"Prediction",20619.549
430,"Prediction",21021.322
431,"Prediction",20283.139
432,"Prediction",22135.238
433,"Prediction",22213.686
434,"Prediction",22356.363
435,"Prediction",19692.518
436,"Prediction",21308.66
437,"Prediction",21649.402
438,"Prediction",21707.754
439,"Prediction",19750.998
440,"Prediction",21678.729
441,"Prediction",19262.55
442,"Prediction",21132.434
443,"Prediction",21791.605
444,"Prediction",21208.16
445,"Prediction",21339.941
446,"Prediction",21513.736
447,"Prediction",21434.898
448,"Prediction",21668.719
449,"Prediction",20706.906
450,"Prediction",21464.088
451,"Prediction",21301.621
452,"Prediction",20729.078
453,"Prediction",21051.99
454,"Prediction",23179.592
455,"Prediction",21348.758
456,"Prediction",19446.328
457,"Prediction",23715.072
458,"Prediction",21892.686
459,"Prediction",20873.889
460,"Prediction",19176.877
461,"Prediction",19389.672
462,"Prediction",21200.338
463,"Prediction",19628.281
464,"Prediction",22597.176
465,"Prediction",21033.887
466,"Prediction",19623.387
467,"Prediction",21218.414
468,"Prediction",22750.03
469,"Prediction",22543.006
470,"Prediction",22038.742
471,"Prediction",22853.99
472,"Prediction",22208.762
473,"Prediction",21201.682
474,"Prediction",22327.455
475,"Prediction",21438.654
476,"Prediction",21179.234
477,"Prediction",24538.035
478,"Prediction",22592.71
479,"Prediction",21602.309
480,"Prediction",21433.994
481,"Prediction",21446.855
482,"Prediction",21731.06
483,"Prediction",22238.775
484,"Prediction",21318.766
485,"Prediction",21851.082
486,"Prediction",21111.37
487,"Prediction",20356.861
488,"Prediction",21030.885
489,"Prediction",22370.303
490,"Prediction",23451.664
491,"Prediction",22456.715
492,"Prediction",22454.648
493,"Prediction",20543.238
494,"Prediction",20839.521
495,"Prediction",22155.418
496,"Prediction",21721.7
497,"Prediction",22860.799
498,"Prediction",22754.041
499,"Prediction",21581.684
500,"Prediction",21600.672
501,"Prediction",22548.688
502,"Prediction",24175.469
503,"Prediction",20791.62
504,"Prediction",20821.65
505,"Prediction",22275.621
506,"Prediction",19109.201
507,"Prediction",21923.459
508,"Prediction",23260.531
509,"Prediction",21794.91
510,"Prediction",21616.213
511,"Prediction",21237.992
512,"Prediction",20292.848
513,"Prediction",18812.113
514,"Prediction",21061.262
515,"Prediction",21196.75
516,"Prediction",23084.17
517,"Prediction",20814.443
518,"Prediction",21329.11
519,"Prediction",22806.482
520,"Prediction",21219.781
521,"Prediction",20891.674
522,"Prediction",22762.342
523,"Prediction",22325.814
524,"Prediction",20997.08
525,"Prediction",22313.008
526,"Prediction",22589.203
527,"Prediction",19255.096
528,"Prediction",19577.527
529,"Prediction",20025.057
530,"Prediction",21446.867
531,"Prediction",19052.709
532,"Prediction",18099.652
533,"Prediction",19560.05
534,"Prediction",21019.59
535,"Prediction",21408.396
536,"Prediction",19583.742
537,"Prediction",20788.588
538,"Prediction",22164.219
539,"Prediction",19134.996
540,"Prediction",18172.816
541,"Prediction",21349.992
542,"Prediction",19591.338
543,"Prediction",19252.375
544,"Prediction",18989.645
545,"Prediction",19349.1
546,"Prediction",19194.715
547,"Prediction",20844.62
548,"Prediction",20461.281
549,"Prediction",21030.162
550,"Prediction",22618.453
551,"Prediction",20620.145
552,"Prediction",19407.576
553,"Prediction",18596.375
554,"Prediction",19014.273
555,"Prediction",19768.877
556,"Prediction",20448.062
557,"Prediction",20918.762
558,"Prediction",22146.154
559,"Prediction",19557.816
560,"Prediction",21742.51
561,"Prediction",21392.242
562,"Prediction",18967.775
563,"Prediction",19591.393
564,"Prediction",17824.158
565,"Prediction",18810.48
566,"Prediction",20920.88
567,"Prediction",21142.72
568,"Prediction",21693.58
569,"Prediction",19428.83
570,"Prediction",22527.762
571,"Prediction",21916.936
572,"Prediction",21638.943
573,"Prediction",19227.713
574,"Prediction",19531.062
575,"Prediction",19076.746
576,"Prediction",20827.414
577,"Prediction",20725.578
578,"Prediction",19111.494
579,"Prediction",20627.51
580,"Prediction",19366.264
581,"Prediction",21849.426
582,"Prediction",22328.172
583,"Prediction",19192.984
584,"Prediction",18475.82
585,"Prediction",21078.69
586,"Prediction",21578.12
587,"Prediction",21069.6
588,"Prediction",19371.39
589,"Prediction",21230.346
590,"Prediction",21962.855
591,"Prediction",19036.5
592,"Prediction",20773.88
593,"Prediction",18991.033
594,"Prediction",20867.617
595,"Prediction",21742.826
596,"Prediction",22010.979
597,"Prediction",19038.992
598,"Prediction",19911.68
599,"Prediction",20709.965
600,"Prediction",17797.379
601,"Prediction",17950.596
602,"Prediction",21338.033
603,"Prediction",18914.352
604,"Prediction",19239.553
605,"Prediction",18483.281
606,"Prediction",18460.787
607,"Prediction",18571.66
608,"Prediction",21501.643
609,"Prediction",17279.033
610,"Prediction",18977.625
611,"Prediction",18250.396
612,"Prediction",19459.742
613,"Prediction",19964.889
614,"Prediction",18889.49
615,"Prediction",20734.977
616,"Prediction",19092.322
617,"Prediction",19427.277
618,"Prediction",19515.621
619,"Prediction",18738.09
620,"Prediction",18775.26
621,"Prediction",20879.822
622,"Prediction",18863.568
623,"Prediction",19269.44
624,"Prediction",18379.852
625,"Prediction",18548.049
626,"Prediction",18717.984
627,"Prediction",23206.8
628,"Prediction",21035.06
629,"Prediction",19009.584
630,"Prediction",20467.441
631,"Prediction",19098.41
632,"Prediction",19706.586
633,"Prediction",20531.352
634,"Prediction",20258.1
635,"Prediction",22396.91
636,"Prediction",19441.03
637,"Prediction",18852.305
638,"Prediction",21397.879
639,"Prediction",22136.273
640,"Prediction",21869.068
641,"Prediction",21667.246
642,"Prediction",20778.857
643,"Prediction",21725.53
644,"Prediction",21670.531
645,"Prediction",18609.38
646,"Prediction",21216.145
647,"Prediction",20239.824
648,"Prediction",21297.342
649,"Prediction",22061.496
650,"Prediction",19589.68
651,"Prediction",22834.828
652,"Prediction",23697.174
653,"Prediction",21292.887
654,"Prediction",21826.682
655,"Prediction",18379.277
656,"Prediction",19924.293
657,"Prediction",21015.871
658,"Prediction",20320.734
659,"Prediction",18587.773
660,"Prediction",19064.51
661,"Prediction",21434.658
662,"Prediction",24333.549
663,"Prediction",20418.174
664,"Prediction",21563.168
665,"Prediction",19929.87
666,"Prediction",19884.426
667,"Prediction",18966.078
668,"Prediction",21628.969
669,"Prediction",21654.326
670,"Prediction",19945.174
671,"Prediction",19165.814
672,"Prediction",17583.219
673,"Prediction",19235.1
674,"Prediction",21827.021
675,"Prediction",20600.85
676,"Prediction",21074.77
677,"Prediction",18731.006
678,"Prediction",19207.092
679,"Prediction",19334.578
680,"Prediction",21277.854
681,"Prediction",19043.47
682,"Prediction",21621.203
683,"Prediction",19793.574
684,"Prediction",22252.912
685,"Prediction",22475.854
686,"Prediction",20502.947
687,"Prediction",21685.041
688,"Prediction",19324.158
689,"Prediction",20655.936
690,"Prediction",23518.012
691,"Prediction",20975.115
692,"Prediction",18689.5
693,"Prediction",21447.865
694,"Prediction",21707.52
695,"Prediction",21028.125
696,"Prediction",21544.861
697,"Prediction",22374.578
698,"Prediction",18953.77
699,"Prediction",20182.297
700,"Prediction",19549.707
701,"Prediction",24108.926
702,"Prediction",22068.85
703,"Prediction",22361.547
704,"Prediction",19871.023
705,"Prediction",21087.07
706,"Prediction",19982.992
707,"Prediction",18935.19
708,"Prediction",21258.268
709,"Prediction",22851.12
710,"Prediction",23417.137
711,"Prediction",18952.87
712,"Prediction",21105.527
713,"Prediction",18792.615
714,"Prediction",20033.035
715,"Prediction",19701.873
716,"Prediction",22405.771
717,"Prediction",21068.885
718,"Prediction",24113.016
719,"Prediction",20871.791
720,"Prediction",22610.527
721,"Prediction",22381.74
722,"Prediction",18988.63
723,"Prediction",22518.105
724,"Prediction",22864.043
725,"Prediction",18748.516
726,"Prediction",21916.66
727,"Prediction",22688.96
728,"Prediction",24041.611
729,"Prediction",21337.111
730,"Prediction",21732.23
731,"Prediction",19139.635
732,"Prediction",19790.25
733,"Prediction",20870.635
734,"Prediction",21074.844
735,"Prediction",19287.568
736,"Prediction",21786.861
737,"Prediction",19762.588
738,"Prediction",21047.436
739,"Prediction",19607.348
740,"Prediction",21726.207
741,"Prediction",22210.516
742,"Prediction",21471.719
743,"Prediction",22227.705
744,"Prediction",18833.41
745,"Prediction",21707.678
746,"Prediction",21076.29
747,"Prediction",19713.375
748,"Prediction",21300.975
749,"Prediction",18245.8
750,"Prediction",21040.463
751,"Prediction",19915.7
752,"Prediction",19190.8
753,"Prediction",18128.244
754,"Prediction",18258.521
755,"Prediction",21619.926
756,"Prediction",18565.79
757,"Prediction",19141.662
758,"Prediction",21253.002
759,"Prediction",22539.18
760,"Prediction",20968.8
761,"Prediction",19011.24
762,"Prediction",19363.705
763,"Prediction",22055.314
764,"Prediction",18475.65
765,"Prediction",18768.492
766,"Prediction",20873.092
767,"Prediction",17796.697
768,"Prediction",19567.076
769,"Prediction",19198.29
770,"Prediction",18848.492
771,"Prediction",19024.494
772,"Prediction",22879.885
773,"Prediction",21209.498
774,"Prediction",19569.334
775,"Prediction",18963.564
776,"Prediction",18184.863
777,"Prediction",19201.244
778,"Prediction",19389.992
779,"Prediction",19295.908
780,"Prediction",20535.266
781,"Prediction",19169.451
782,"Prediction",20004.695
783,"Prediction",21546.674
784,"Prediction",20102.422
785,"Prediction",20875.066
786,"Prediction",21078.37
787,"Prediction",17069.729
788,"Prediction",19944.006
789,"Prediction",17571.816
790,"Prediction",20800.326
791,"Prediction",19144.742
792,"Prediction",19353.459
793,"Prediction",19170.387
794,"Prediction",18542.305
795,"Prediction",19002.76
796,"Prediction",20769.73
797,"Prediction",19122.635
798,"Prediction",21248.29
799,"Prediction",21501.818
800,"Prediction",18953.13
801,"Prediction",19355.2
802,"Prediction",20947.9
803,"Prediction",18732.932
804,"Prediction",19357.75
805,"Prediction",22178.145
806,"Prediction",18562.33
807,"Prediction",18702.674
808,"Prediction",17887.281
809,"Prediction",21316.754
810,"Prediction",18040.871
811,"Prediction",19534.592
812,"Prediction",18389.26
813,"Prediction",21151.75
814,"Prediction",21393.564
815,"Prediction",18192.084
816,"Prediction",21844.5
817,"Prediction",22769.393
818,"Prediction",19669.227
819,"Prediction",19678.066
820,"Prediction",21202.691
821,"Prediction",19940.156
822,"Prediction",22229.682
823,"Prediction",19212.447
824,"Prediction",21004.965
825,"Prediction",20941.646
826,"Prediction",18968.574
827,"Prediction",19198.475
828,"Prediction",21885.572
829,"Prediction",22199.523
830,"Prediction",19137.14
831,"Prediction",21048.332
832,"Prediction",22065.56
833,"Prediction",19413.715
834,"Prediction",21841.746
835,"Prediction",20904.23
836,"Prediction",19420.787
837,"Prediction",22212.275
838,"Prediction",18781.836
839,"Prediction",19697.018
840,"Prediction",20897.5
841,"Prediction",18340.264
842,"Prediction",19779.637
843,"Prediction",19488.67
844,"Prediction",22661.424
845,"Prediction",19400.57
846,"Prediction",20873.693
847,"Prediction",22877.584
848,"Prediction",21233.982
849,"Prediction",18735.203
850,"Prediction",20744.836
851,"Prediction",19883.479
852,"Prediction",21685.121
853,"Prediction",21063.076
854,"Prediction",21030.947
855,"Prediction",22546.95
856,"Prediction",18951.947
857,"Prediction",21080.283
858,"Prediction",22392.045
859,"Prediction",22715.932
860,"Prediction",17001.566
861,"Prediction",19613.324
862,"Prediction",19703.473
863,"Prediction",19226.184
864,"Prediction",18262.094
865,"Prediction",18656.918
866,"Prediction",21581.938
867,"Prediction",21357.2
868,"Prediction",20919.748
869,"Prediction",20578.043
870,"Prediction",20768.41
871,"Prediction",19672.637
872,"Prediction",21557.959
873,"Prediction",22329.004
874,"Prediction",20992.373
875,"Prediction",21159.342
876,"Prediction",21524.504
877,"Prediction",21626.213
878,"Prediction",19080.959
879,"Prediction",18652.936
880,"Prediction",18683.014
881,"Prediction",21855.994
882,"Prediction",21553.639
883,"Prediction",19619.31
884,"Prediction",21229.408
885,"Prediction",21383.217
886,"Prediction",21124.453
887,"Prediction",18937.004
888,"Prediction",19546.844
889,"Prediction",22619.172
890,"Prediction",23140.111
891,"Prediction",21028.617
892,"Prediction",24351.877
893,"Prediction",22559.107
894,"Prediction",21745.602
895,"Prediction",20169.775
896,"Prediction",19902.746
897,"Prediction",21710.205
898,"Prediction",19841.24
899,"Prediction",21020.41
900,"Prediction",19358.006
901,"Prediction",19554.16
902,"Prediction",19859.059
903,"Prediction",22242.074
904,"Prediction",20983.246
905,"Prediction",19573.87
906,"Prediction",21557.531
907,"Prediction",23716.129
908,"Prediction",20544.873
909,"Prediction",21197.148
910,"Prediction",21813.41
911,"Prediction",21608.928
912,"Prediction",20102.322
913,"Prediction",19368.05
914,"Prediction",22655.455
915,"Prediction",19488.832
916,"Prediction",21825.816
917,"Prediction",20824.637
918,"Prediction",18644.732
919,"Prediction",18712.047
920,"Prediction",18577.348
921,"Prediction",19064.121
922,"Prediction",21050.342
923,"Prediction",19267.45
924,"Prediction",19057.477
925,"Prediction",19115.004
926,"Prediction",18777.424
927,"Prediction",20785.277
928,"Prediction",18155.268
929,"Prediction",20595.46
930,"Prediction",18038.043
931,"Prediction",19566.652
932,"Prediction",20327.305
933,"Prediction",18181.633
934,"Prediction",20127.865
935,"Prediction",20831.098
936,"Prediction",19436.422
937,"Prediction",21274.48
938,"Prediction",21210.865
939,"Prediction",20995.287
940,"Prediction",22220.86
941,"Prediction",20933.004
942,"Prediction",21279.754
943,"Prediction",20934.326
944,"Prediction",19938.844
945,"Prediction",21537.547
946,"Prediction",21359.781
947,"Prediction",20908.242
948,"Prediction",22126.006
949,"Prediction",21746.328
950,"Prediction",19791.352
951,"Prediction",19172.883
952,"Prediction",23138.908
953,"Prediction",20995.977
954,"Prediction",20752.088
955,"Prediction",20483.662
956,"Prediction",21499.643
957,"Prediction",19371.11
958,"Prediction",19412.854
959,"Prediction",20923.564
960,"Prediction",22072.307
961,"Prediction",21820.172
962,"Prediction",22133.05
963,"Prediction",19465.098
964,"Prediction",20090.076
965,"Prediction",22922.348
966,"Prediction",19302.71
967,"Prediction",21430.676
968,"Prediction",21204.361
969,"Prediction",21895.451
970,"Prediction",20893.879
971,"Prediction",19366.365
972,"Prediction",19655.113
973,"Prediction",19936.922
974,"Prediction",19942.242
975,"Prediction",19796.021
976,"Prediction",21181.125
977,"Prediction",23367.959
978,"Prediction",22352.63
979,"Prediction",18906.43
980,"Prediction",21698.518
981,"Prediction",21975.143
982,"Prediction",21220.12
983,"Prediction",22308.764
984,"Prediction",22264.713
985,"Prediction",20766.63
986,"Prediction",17966.293
987,"Prediction",18310.25
988,"Prediction",17377.16
989,"Prediction",19370.482
990,"Prediction",19350.096
991,"Prediction",20401.166
992,"Prediction",19431.26
993,"Prediction",18273.44
994,"Prediction",22501.33
995,"Prediction",19211.803
996,"Prediction",20575.28
997,"Prediction",20840.209
998,"Prediction",18373.824
999,"Prediction",20540.03
1000,"Prediction",18588.688
1001,"Prediction",18931.316
1002,"Prediction",19817.48
1003,"Prediction",19693.91
1004,"Prediction",21911.973
1005,"Prediction",19927.764
1006,"Prediction",20591.902
1007,"Prediction",20656.365
1008,"Prediction",20479.125
1009,"Prediction",19100.172
1010,"Prediction",18492.867
1011,"Prediction",20799.732
1012,"Prediction",18763.252
1013,"Prediction",19083.309
1014,"Prediction",21496.797
1015,"Prediction",19579.977
1016,"Prediction",18152.766
1017,"Prediction",20520.57
1018,"Prediction",19615.578
1019,"Prediction",16665.764
1020,"Prediction",19456.664
1021,"Prediction",19434.016
1022,"Prediction",21445.256
1023,"Prediction",19129.18
1024,"Prediction",22367.85
1025,"Prediction",19101.875
1026,"Prediction",17823.205
1027,"Prediction",18791.729
1028,"Prediction",19215.271
1029,"Prediction",17916.785
1030,"Prediction",21053.36
1031,"Prediction",19989.857
1032,"Prediction",17435.986
1033,"Prediction",20601.838
1034,"Prediction",21279.402
1035,"Prediction",22249.133
1036,"Prediction",20983.15
1037,"Prediction",19057.053
1038,"Prediction",22074.814
1039,"Prediction",20502.455
1040,"Prediction",18602.389
1041,"Prediction",19673.367
1042,"Prediction",18365.572
1043,"Prediction",19857.76
1044,"Prediction",22193.373
1045,"Prediction",21093.02
1046,"Prediction",19531.146
1047,"Prediction",19384.723
1048,"Prediction",19640.865
1049,"Prediction",19520.494
1050,"Prediction",18840.428
1051,"Prediction",17645.754
1052,"Prediction",18934.309
1053,"Prediction",22548.096
1054,"Prediction",22470.717
1055,"Prediction",18403.08
1056,"Prediction",19653.852
1057,"Prediction",22104.01
1058,"Prediction",21953.918
1059,"Prediction",21244.559
1060,"Prediction",19055.947
1061,"Prediction",19224.533
1062,"Prediction",18269.459
1063,"Prediction",19058.885
1064,"Prediction",20615.086
1065,"Prediction",21042.57
1066,"Prediction",19482.768
1067,"Prediction",17394.664
1068,"Prediction",19506.371
1069,"Prediction",17037.229
