Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,Closing Year
"Decatur First Bank","Decatur","GA",34392,"Fidelity Bank",2011-10-21 00:00:00.000,2014-03-21 00:00:00.000,2011
"Old Harbor Bank","Clearwater","FL",57537,"1st United Bank",2011-10-21 00:00:00.000,2014-03-21 00:00:00.000,2011
"Blue Ridge Savings Bank, Inc.","Asheville","NC",32347,"Bank of North Carolina",2011-10-14 00:00:00.000,2014-03-21 00:00:00.000,2011
"Piedmont Community Bank","Gray","GA",57256,"State Bank and Trust Company",2011-10-14 00:00:00.000,2014-03-21 00:00:00.000,2011
"The First National Bank of Florida","Milton","FL",25155,"CharterBank",2011-09-09 00:00:00.000,2014-03-21 00:00:00.000,2011
"CreekSide Bank","Woodstock","GA",58226,"Georgia Commerce Bank",2011-09-02 00:00:00.000,2014-03-21 00:00:00.000,2011
"Patriot Bank of Georgia","Cumming","GA",58273,"Georgia Commerce Bank",2011-09-02 00:00:00.000,2014-03-21 00:00:00.000,2011
"Lydian Private Bank","Palm Beach","FL",35356,"Sabadell United Bank, N.A.",2011-08-19 00:00:00.000,2014-03-21 00:00:00.000,2011
"BankMeridian, N.A.","Columbia","SC",58222,"SCBT National Association",2011-07-29 00:00:00.000,2014-03-21 00:00:00.000,2011
"LandMark Bank of Florida","Sarasota","FL",35244,"American Momentum Bank",2011-07-22 00:00:00.000,2014-03-21 00:00:00.000,2011
"High Trust Bank","Stockbridge","GA",19554,"Ameris Bank",2011-07-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"One Georgia Bank","Atlanta","GA",58238,"Ameris Bank",2011-07-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"McIntosh State Bank","Jackson","GA",19237,"Hamilton State Bank",2011-06-17 00:00:00.000,2014-03-21 00:00:00.000,2011
"Atlantic Bank and Trust","Charleston","SC",58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03 00:00:00.000,2014-03-21 00:00:00.000,2011
"First Georgia Banking Company","Franklin","GA",57647,"CertusBank, National Association",2011-05-20 00:00:00.000,2014-03-21 00:00:00.000,2011
"Atlantic Southern Bank","Macon","GA",57213,"CertusBank, National Association",2011-05-20 00:00:00.000,2014-03-21 00:00:00.000,2011
"The Park Avenue Bank","Valdosta","GA",19797,"Bank of the Ozarks",2011-04-29 00:00:00.000,2014-03-21 00:00:00.000,2011
"Heritage Banking Group","Carthage","MS",14273,"Trustmark National Bank",2011-04-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"Superior Bank","Birmingham","AL",17750,"Superior Bank, National Association",2011-04-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"Nexity Bank","Birmingham","AL",19794,"AloStar Bank of Commerce",2011-04-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"New Horizons Bank","East Ellijay","GA",57705,"Citizens South Bank",2011-04-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"Bartow County Bank","Cartersville","GA",21495,"Hamilton State Bank",2011-04-15 00:00:00.000,2014-03-21 00:00:00.000,2011
"Citizens Bank of Effingham","Springfield","GA",34601,"Heritage Bank of the South",2011-02-18 00:00:00.000,2014-03-21 00:00:00.000,2011
"Habersham Bank","Clarkesville","GA",151,"SCBT National Association",2011-02-18 00:00:00.000,2014-03-21 00:00:00.000,2011
"North Georgia Bank","Watkinsville","GA",35242,"BankSouth",2011-02-04 00:00:00.000,2014-03-21 00:00:00.000,2011
"American Trust Bank","Roswell","GA",57432,"Renasant Bank",2011-02-04 00:00:00.000,2014-03-21 00:00:00.000,2011
"The Bank of Asheville","Asheville","NC",34516,"First Bank",2011-01-21 00:00:00.000,2014-03-21 00:00:00.000,2011
"Enterprise Banking Company","McDonough","GA",19758,"No Acquirer",2011-01-21 00:00:00.000,2014-03-21 00:00:00.000,2011
"Oglethorpe Bank","Brunswick","GA",57440,"Bank of the Ozarks",2011-01-14 00:00:00.000,2014-03-21 00:00:00.000,2011
"Appalachian Community Bank, FSB","McCaysville","GA",58495,"Peoples Bank of East Tennessee",2010-12-17 00:00:00.000,2014-03-21 00:00:00.000,2010
"The Bank of Miami,N.A.","Coral Gables","FL",19040,"1st United Bank",2010-12-17 00:00:00.000,2014-03-21 00:00:00.000,2010
"Darby Bank & Trust Co.","Vidalia","GA",14580,"Ameris Bank",2010-11-12 00:00:00.000,2014-03-21 00:00:00.000,2010
"Tifton Banking Company","Tifton","GA",57831,"Ameris Bank",2010-11-12 00:00:00.000,2014-03-21 00:00:00.000,2010
"The Gordon Bank","Gordon","GA",33904,"Morris Bank",2010-10-22 00:00:00.000,2014-03-21 00:00:00.000,2010
"First Bank of Jacksonville","Jacksonville","FL",27573,"Ameris Bank",2010-10-22 00:00:00.000,2014-03-21 00:00:00.000,2010
"Wakulla Bank","Crawfordville","FL",21777,"Centennial Bank",2010-10-01 00:00:00.000,2014-03-21 00:00:00.000,2010
"Horizon Bank","Bradenton","FL",35061,"Bank of the Ozarks",2010-09-10 00:00:00.000,2014-03-21 00:00:00.000,2010
"Crescent Bank and Trust Company","Jasper","GA",27559,"Renasant Bank",2010-07-23 00:00:00.000,2014-03-21 00:00:00.000,2010
"Sterling Bank","Lantana","FL",32536,"IBERIABANK",2010-07-23 00:00:00.000,2014-03-21 00:00:00.000,2010
"First National Bank of the South","Spartanburg","SC",35383,"NAFH National Bank",2010-07-16 00:00:00.000,2014-03-21 00:00:00.000,2010
"First National Bank","Savannah","GA",34152,"The Savannah Bank, N.A.",2010-06-25 00:00:00.000,2014-03-21 00:00:00.000,2010
"Peninsula Bank","Englewood","FL",26563,"Premier American Bank, N.A.",2010-06-25 00:00:00.000,2014-03-21 00:00:00.000,2010
"First National Bank","Rosedale","MS",15814,"The Jefferson Bank",2010-06-04 00:00:00.000,2014-03-21 00:00:00.000,2010
"Satilla Community Bank","Saint Marys","GA",35114,"Ameris Bank",2010-05-14 00:00:00.000,2014-03-21 00:00:00.000,2010
"Westernbank Puerto Rico","Mayaguez","PR",31027,"Banco Popular de Puerto Rico",2010-04-30 00:00:00.000,2014-03-21 00:00:00.000,2010
"Eurobank","San Juan","PR",27150,"Oriental Bank and Trust",2010-04-30 00:00:00.000,2014-03-21 00:00:00.000,2010
"Riverside National Bank of Florida","Fort Pierce","FL",24067,"TD Bank, N.A.",2010-04-16 00:00:00.000,2014-03-21 00:00:00.000,2010
"AmericanFirst Bank","Clermont","FL",57724,"TD Bank, N.A.",2010-04-16 00:00:00.000,2014-03-21 00:00:00.000,2010
"First Federal Bank of North Florida","Palatka","FL",28886,"TD Bank, N.A.",2010-04-16 00:00:00.000,2014-03-21 00:00:00.000,2010
"Beach First National Bank","Myrtle Beach","SC",34242,"Bank of North Carolina",2010-04-09 00:00:00.000,2014-03-21 00:00:00.000,2010
"First Lowndes Bank","Fort Deposit","AL",24957,"First Citizens Bank",2010-03-19 00:00:00.000,2014-03-21 00:00:00.000,2010
"Bank of Hiawassee","Hiawassee","GA",10054,"Citizens South Bank",2010-03-19 00:00:00.000,2014-03-21 00:00:00.000,2010
"Appalachian Community Bank","Ellijay","GA",33989,"Community & Southern Bank",2010-03-19 00:00:00.000,2014-03-21 00:00:00.000,2010
"Sun American Bank","Boca Raton","FL",27126,"First-Citizens Bank & Trust Company",2010-03-05 00:00:00.000,2014-03-21 00:00:00.000,2010
"Marco Community Bank","Marco Island","FL",57586,"Mutual of Omaha Bank",2010-02-19 00:00:00.000,2014-03-21 00:00:00.000,2010
"Florida Community Bank","Immokalee","FL",5672,"Premier American Bank, N.A.",2010-01-29 00:00:00.000,2014-03-21 00:00:00.000,2010
"First National Bank of Georgia","Carrollton","GA",16480,"Community & Southern Bank",2010-01-29 00:00:00.000,2014-03-21 00:00:00.000,2010
"Citizens State Bank","New Baltimore","MI",1006,"No Acquirer",2009-12-18 00:00:00.000,2014-03-21 00:00:00.000,2009
"RockBridge Commercial Bank","Atlanta","GA",58315,"No Acquirer",2009-12-18 00:00:00.000,2014-03-21 00:00:00.000,2009
"Republic Federal Bank, N.A.","Miami","FL",22846,"1st United Bank",2009-12-11 00:00:00.000,2014-03-21 00:00:00.000,2009
"Greater Atlantic Bank","Reston","VA",32583,"Sonabank",2009-12-04 00:00:00.000,2014-03-21 00:00:00.000,2009
"AmTrust Bank","Cleveland","OH",29776,"New York Community Bank",2009-12-04 00:00:00.000,2014-03-21 00:00:00.000,2009
"The Tattnall Bank","Reidsville","GA",12080,"Heritage Bank of the South",2009-12-04 00:00:00.000,2014-03-21 00:00:00.000,2009
"The Buckhead Community Bank","Atlanta","GA",34663,"State Bank and Trust Company",2009-12-04 00:00:00.000,2014-03-21 00:00:00.000,2009
"Commerce Bank of Southwest Florida","Fort Myers","FL",58016,"Central Bank",2009-11-20 00:00:00.000,2014-03-21 00:00:00.000,2009
"Orion Bank","Naples","FL",22427,"IBERIABANK",2009-11-13 00:00:00.000,2014-03-21 00:00:00.000,2009
"Century Bank, F.S.B.","Sarasota","FL",32267,"IBERIABANK",2009-11-13 00:00:00.000,2014-03-21 00:00:00.000,2009
"United Security Bank","Sparta","GA",22286,"Ameris Bank",2009-11-06 00:00:00.000,2014-03-21 00:00:00.000,2009
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)","Milwaukee","WI",30003,"First-Citizens Bank & Trust Company",2017-05-05 00:00:00.000,2017-06-01 00:00:00.000,2017
"First NBC Bank","New Orleans","LA",58302,"Whitney Bank",2017-04-28 00:00:00.000,2017-05-23 00:00:00.000,2017
"Proficio Bank","Cottonwood Heights","UT",35495,"Cache Valley Bank",2017-03-03 00:00:00.000,2017-05-18 00:00:00.000,2017
"Harvest Community Bank","Pennsville","NJ",34951,"First-Citizens Bank & Trust Company",2017-01-13 00:00:00.000,2017-05-18 00:00:00.000,2017
"Allied Bank","Mulberry","AR",91,"Today's Bank",2016-09-23 00:00:00.000,2016-11-17 00:00:00.000,2016
"The Woodbury Banking Company","Woodbury","GA",11297,"United Bank",2016-08-19 00:00:00.000,2017-06-01 00:00:00.000,2016
"First CornerStone Bank","King of Prussia","PA",35312,"First-Citizens Bank & Trust Company",2016-05-06 00:00:00.000,2016-09-06 00:00:00.000,2016
"Trust Company Bank","Memphis","TN",9956,"The Bank of Fayette County",2016-04-29 00:00:00.000,2016-09-06 00:00:00.000,2016
"North Milwaukee State Bank","Milwaukee","WI",20364,"First-Citizens Bank & Trust Company",2016-03-11 00:00:00.000,2017-03-13 00:00:00.000,2016
"Hometown National Bank","Longview","WA",35156,"Twin City Bank",2015-10-02 00:00:00.000,2016-04-13 00:00:00.000,2015
"The Bank of Georgia","Peachtree City","GA",35259,"Fidelity Bank",2015-10-02 00:00:00.000,2016-10-24 00:00:00.000,2015
"Premier Bank","Denver","CO",34112,"United Fidelity Bank, fsb",2015-07-10 00:00:00.000,2016-08-17 00:00:00.000,2015
"Doral Bank","San Juan","PR",32102,"Banco Popular de Puerto Rico",2015-02-27 00:00:00.000,2015-05-13 00:00:00.000,2015
"Capitol City Bank & Trust Company","Atlanta","GA",33938,"First-Citizens Bank & Trust Company",2015-02-13 00:00:00.000,2015-04-21 00:00:00.000,2015
"First National Bank of Crestview","Crestview","FL",17557,"First NBC Bank",2015-01-16 00:00:00.000,2017-05-08 00:00:00.000,2015
"Northern Star Bank","Mankato","MN",34983,"BankVista",2014-12-19 00:00:00.000,2016-01-06 00:00:00.000,2014
"Frontier Bank, FSB D/B/A El Paseo Bank","Palm Desert","CA",34738,"Bank of Southern California, N.A.",2014-11-07 00:00:00.000,2016-11-10 00:00:00.000,2014
"NBRS Financial","Rising Sun","MD",4862,"Howard Bank",2014-10-17 00:00:00.000,2015-03-26 00:00:00.000,2014
"Eastside Commercial Bank","Conyers","GA",58125,"Community & Southern Bank",2014-07-18 00:00:00.000,2016-07-11 00:00:00.000,2014
"The Freedom State Bank","Freedom","OK",12483,"Alva State Bank & Trust Company",2014-06-27 00:00:00.000,2016-03-25 00:00:00.000,2014
"Valley Bank","Fort Lauderdale","FL",21793,"Landmark Bank, National Association",2014-06-20 00:00:00.000,2015-06-29 00:00:00.000,2014
"Slavie Federal Savings Bank","Bel Air","MD",32368,"Bay Bank, FSB",2014-05-30 00:00:00.000,2016-12-12 00:00:00.000,2014
"Columbia Savings Bank","Cincinnati","OH",32284,"United Fidelity Bank, fsb",2014-05-23 00:00:00.000,2016-11-10 00:00:00.000,2014
"Allendale County Bank","Fairfax","SC",15062,"Palmetto State Bank",2014-04-25 00:00:00.000,2014-07-18 00:00:00.000,2014
"Vantage Point Bank","Horsham","PA",58531,"First Choice Bank",2014-02-28 00:00:00.000,2015-03-03 00:00:00.000,2014
"Millennium Bank, National Association","Sterling","VA",35096,"WashingtonFirst Bank",2014-02-28 00:00:00.000,2015-03-03 00:00:00.000,2014
"Syringa Bank","Boise","ID",34296,"Sunwest Bank",2014-01-31 00:00:00.000,2016-04-12 00:00:00.000,2014
"The Bank of Union","El Reno","OK",17967,"BancFirst",2014-01-24 00:00:00.000,2016-03-25 00:00:00.000,2014
"Texas Community Bank, National Association","The Woodlands","TX",57431,"Spirit of Texas Bank, SSB",2013-12-13 00:00:00.000,2014-12-29 00:00:00.000,2013
"Bank of Jackson County","Graceville","FL",14794,"First Federal Bank of Florida",2013-10-30 00:00:00.000,2016-10-20 00:00:00.000,2013
"First National Bank also operating as The National Bank of El Paso","Edinburg","TX",14318,"PlainsCapital Bank",2013-09-13 00:00:00.000,2015-05-27 00:00:00.000,2013
"The Community's Bank","Bridgeport","CT",57041,"No Acquirer",2013-09-13 00:00:00.000,2015-12-07 00:00:00.000,2013
"Sunrise Bank of Arizona","Phoenix","AZ",34707,"First Fidelity Bank, National Association",2013-08-23 00:00:00.000,2017-05-03 00:00:00.000,2013
"Community South Bank","Parsons","TN",19849,"CB&S Bank, Inc.",2013-08-23 00:00:00.000,2014-09-12 00:00:00.000,2013
"Bank of Wausau","Wausau","WI",35016,"Nicolet National Bank",2013-08-09 00:00:00.000,2013-10-24 00:00:00.000,2013
"First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral)","Fort Myers","FL",34943,"C1 Bank",2013-08-02 00:00:00.000,2017-02-09 00:00:00.000,2013
"Mountain National Bank","Sevierville","TN",34789,"First Tennessee Bank, National Association",2013-06-07 00:00:00.000,2016-02-04 00:00:00.000,2013
"1st Commerce Bank","North Las Vegas","NV",58358,"Plaza Bank",2013-06-06 00:00:00.000,2013-07-12 00:00:00.000,2013
"Banks of Wisconsin d/b/a Bank of Kenosha","Kenosha","WI",35386,"North Shore Bank, FSB",2013-05-31 00:00:00.000,2017-05-05 00:00:00.000,2013
"Central Arizona Bank","Scottsdale","AZ",34527,"Western State Bank",2013-05-14 00:00:00.000,2015-12-07 00:00:00.000,2013
"Sunrise Bank","Valdosta","GA",58185,"Synovus Bank",2013-05-10 00:00:00.000,2014-06-26 00:00:00.000,2013
"Pisgah Community Bank","Asheville","NC",58701,"Capital Bank, N.A.",2013-05-10 00:00:00.000,2016-08-08 00:00:00.000,2013
"Douglas County Bank","Douglasville","GA",21649,"Hamilton State Bank",2013-04-26 00:00:00.000,2014-04-25 00:00:00.000,2013
"Parkway Bank","Lenoir","NC",57158,"CertusBank, National Association",2013-04-26 00:00:00.000,2016-10-20 00:00:00.000,2013
"Chipola Community Bank","Marianna","FL",58034,"First Federal Bank of Florida",2013-04-19 00:00:00.000,2015-09-21 00:00:00.000,2013
"Heritage Bank of North Florida","Orange Park","FL",26680,"FirstAtlantic Bank",2013-04-19 00:00:00.000,2016-08-08 00:00:00.000,2013
"First Federal Bank","Lexington","KY",29594,"Your Community Bank",2013-04-19 00:00:00.000,2016-12-12 00:00:00.000,2013
"Gold Canyon Bank","Gold Canyon","AZ",58066,"First Scottsdale Bank, National Association",2013-04-05 00:00:00.000,2015-10-07 00:00:00.000,2013
"Frontier Bank","LaGrange","GA",16431,"HeritageBank of the South",2013-03-08 00:00:00.000,2016-03-02 00:00:00.000,2013
"1st Regents Bank","Andover","MN",57157,"First Minnesota Bank",2013-01-18 00:00:00.000,2016-07-12 00:00:00.000,2013
"Westside Community Bank","University Place","WA",33997,"Sunwest Bank",2013-01-11 00:00:00.000,2016-08-08 00:00:00.000,2013
"Community Bank of the Ozarks","Sunrise Beach","MO",27331,"Bank of Sullivan",2012-12-14 00:00:00.000,2014-04-04 00:00:00.000,2012
"Hometown Community Bank","Braselton","GA",57928,"CertusBank, National Association",2012-11-16 00:00:00.000,2016-01-06 00:00:00.000,2012
"NOVA Bank","Berwyn","PA",27148,"No Acquirer",2012-10-26 00:00:00.000,2013-01-24 00:00:00.000,2012
"Excel Bank","Sedalia","MO",19189,"Simmons First National Bank",2012-10-19 00:00:00.000,2013-10-22 00:00:00.000,2012
"First East Side Savings Bank","Tamarac","FL",28144,"Stearns Bank N.A.",2012-10-19 00:00:00.000,2016-01-06 00:00:00.000,2012
"Truman Bank","St. Louis","MO",27316,"Simmons First National Bank",2012-09-14 00:00:00.000,2012-12-17 00:00:00.000,2012
"First Commercial Bank","Bloomington","MN",35246,"Republic Bank & Trust Company",2012-09-07 00:00:00.000,2012-12-17 00:00:00.000,2012
"Heartland Bank","Leawood","KS",1361,"Metcalf Bank",2012-07-20 00:00:00.000,2013-07-30 00:00:00.000,2012
"First Cherokee State Bank","Woodstock","GA",32711,"Community & Southern Bank",2012-07-20 00:00:00.000,2016-06-06 00:00:00.000,2012
"Glasgow Savings Bank","Glasgow","MO",1056,"Regional Missouri Bank",2012-07-13 00:00:00.000,2014-08-19 00:00:00.000,2012
"The Farmers Bank of Lynchburg","Lynchburg","TN",1690,"Clayton Bank and Trust",2012-06-15 00:00:00.000,2016-08-08 00:00:00.000,2012
"First Capital Bank","Kingfisher","OK",416,"F & M Bank",2012-06-08 00:00:00.000,2015-02-05 00:00:00.000,2012
"Alabama Trust Bank, National Association","Sylacauga","AL",35224,"Southern States Bank",2012-05-18 00:00:00.000,2015-09-21 00:00:00.000,2012
"Security Bank, National Association","North Lauderdale","FL",23156,"Banesco USA",2012-05-04 00:00:00.000,2016-04-12 00:00:00.000,2012
"Palm Desert National Bank","Palm Desert","CA",23632,"Pacific Premier Bank",2012-04-27 00:00:00.000,2015-12-07 00:00:00.000,2012
"Plantation Federal Bank","Pawleys Island","SC",32503,"First Federal Bank",2012-04-27 00:00:00.000,2016-11-10 00:00:00.000,2012
"Inter Savings Bank, fsb D/B/A InterBank, fsb","Maple Grove","MN",31495,"Great Southern Bank",2012-04-27 00:00:00.000,2013-05-17 00:00:00.000,2012
"HarVest Bank of Maryland","Gaithersburg","MD",57766,"Sonabank",2012-04-27 00:00:00.000,2015-09-21 00:00:00.000,2012
"Bank of the Eastern Shore","Cambridge","MD",26759,"No Acquirer",2012-04-27 00:00:00.000,2012-10-17 00:00:00.000,2012
"Fort Lee Federal Savings Bank, FSB","Fort Lee","NJ",35527,"Alma Bank",2012-04-20 00:00:00.000,2013-05-17 00:00:00.000,2012
"Fidelity Bank","Dearborn","MI",33883,"The Huntington National Bank",2012-03-30 00:00:00.000,2014-02-04 00:00:00.000,2012
"Global Commerce Bank","Doraville","GA",34046,"Metro City Bank",2012-03-02 00:00:00.000,2014-06-26 00:00:00.000,2012
"Home Savings of America","Little Falls","MN",29178,"No Acquirer",2012-02-24 00:00:00.000,2012-12-17 00:00:00.000,2012
"SCB Bank","Shelbyville","IN",29761,"First Merchants Bank, National Association",2012-02-10 00:00:00.000,2015-02-19 00:00:00.000,2012
"BankEast","Knoxville","TN",19869,"U.S. Bank, N.A.",2012-01-27 00:00:00.000,2015-12-07 00:00:00.000,2012
"Patriot Bank Minnesota","Forest Lake","MN",34823,"First Resource Bank",2012-01-27 00:00:00.000,2012-09-12 00:00:00.000,2012
"First Guaranty Bank and Trust Company of Jacksonville","Jacksonville","FL",16579,"CenterState Bank of Florida, N.A.",2012-01-27 00:00:00.000,2016-07-11 00:00:00.000,2012
"American Eagle Savings Bank","Boothwyn","PA",31581,"Capital Bank, N.A.",2012-01-20 00:00:00.000,2013-01-25 00:00:00.000,2012
"Central Florida State Bank","Belleview","FL",57186,"CenterState Bank of Florida, N.A.",2012-01-20 00:00:00.000,2016-06-06 00:00:00.000,2012
"Western National Bank","Phoenix","AZ",57917,"Washington Federal",2011-12-16 00:00:00.000,2015-02-05 00:00:00.000,2011
"Central Progressive Bank","Lacombe","LA",19657,"First NBC Bank",2011-11-18 00:00:00.000,2015-02-05 00:00:00.000,2011
"Polk County Bank","Johnston","IA",14194,"Grinnell State Bank",2011-11-18 00:00:00.000,2012-08-15 00:00:00.000,2011
"SunFirst Bank","Saint George","UT",57087,"Cache Valley Bank",2011-11-04 00:00:00.000,2012-11-16 00:00:00.000,2011
"Mid City Bank, Inc.","Omaha","NE",19397,"Premier Bank",2011-11-04 00:00:00.000,2012-08-15 00:00:00.000,2011
"Community Banks of Colorado","Greenwood Village","CO",21132,"Bank Midwest, N.A.",2011-10-21 00:00:00.000,2013-01-02 00:00:00.000,2011
"Community Capital Bank","Jonesboro","GA",57036,"State Bank and Trust Company",2011-10-21 00:00:00.000,2016-01-06 00:00:00.000,2011
"First State Bank","Cranford","NJ",58046,"Northfield Bank",2011-10-14 00:00:00.000,2012-11-08 00:00:00.000,2011
"Sun Security Bank","Ellington","MO",20115,"Great Southern Bank",2011-10-07 00:00:00.000,2017-05-08 00:00:00.000,2011
"The RiverBank","Wyoming","MN",10216,"Central Bank",2011-10-07 00:00:00.000,2012-11-07 00:00:00.000,2011
"First International Bank","Plano","TX",33513,"American First National Bank",2011-09-30 00:00:00.000,2015-02-05 00:00:00.000,2011
"Citizens Bank of Northern California","Nevada City","CA",33983,"Tri Counties Bank",2011-09-23 00:00:00.000,2012-10-09 00:00:00.000,2011
"Bank of the Commonwealth","Norfolk","VA",20408,"Southern Bank and Trust Company",2011-09-23 00:00:00.000,2012-10-09 00:00:00.000,2011
"First Southern National Bank","Statesboro","GA",57239,"Heritage Bank of the South",2011-08-19 00:00:00.000,2016-03-02 00:00:00.000,2011
"Public Savings Bank","Huntingdon Valley","PA",34130,"Capital Bank, N.A.",2011-08-18 00:00:00.000,2012-08-15 00:00:00.000,2011
"The First National Bank of Olathe","Olathe","KS",4744,"Enterprise Bank & Trust",2011-08-12 00:00:00.000,2012-08-23 00:00:00.000,2011
"Bank of Whitman","Colfax","WA",22528,"Columbia State Bank",2011-08-05 00:00:00.000,2012-08-16 00:00:00.000,2011
"Integra Bank National Association","Evansville","IN",4392,"Old National Bank",2011-07-29 00:00:00.000,2012-08-16 00:00:00.000,2011
"Virginia Business Bank","Richmond","VA",58283,"Xenith Bank",2011-07-29 00:00:00.000,2012-10-09 00:00:00.000,2011
"Bank of Choice","Greeley","CO",2994,"Bank Midwest, N.A.",2011-07-22 00:00:00.000,2012-09-12 00:00:00.000,2011
"Southshore Community Bank","Apollo Beach","FL",58056,"American Momentum Bank",2011-07-22 00:00:00.000,2015-02-05 00:00:00.000,2011
"Summit Bank","Prescott","AZ",57442,"The Foothills Bank",2011-07-15 00:00:00.000,2014-08-19 00:00:00.000,2011
"First Peoples Bank","Port St. Lucie","FL",34870,"Premier American Bank, N.A.",2011-07-15 00:00:00.000,2016-07-12 00:00:00.000,2011
"Signature Bank","Windsor","CO",57835,"Points West Community Bank",2011-07-08 00:00:00.000,2012-10-26 00:00:00.000,2011
"Colorado Capital Bank","Castle Rock","CO",34522,"First-Citizens Bank & Trust Company",2011-07-08 00:00:00.000,2016-11-10 00:00:00.000,2011
"Mountain Heritage Bank","Clayton","GA",57593,"First American Bank and Trust Company",2011-06-24 00:00:00.000,2017-02-09 00:00:00.000,2011
"First Commercial Bank of Tampa Bay","Tampa","FL",27583,"Stonegate Bank",2011-06-17 00:00:00.000,2016-09-12 00:00:00.000,2011
"First Heritage Bank","Snohomish","WA",23626,"Columbia State Bank",2011-05-27 00:00:00.000,2013-01-28 00:00:00.000,2011
"Summit Bank","Burlington","WA",513,"Columbia State Bank",2011-05-20 00:00:00.000,2013-01-22 00:00:00.000,2011
"Coastal Bank","Cocoa Beach","FL",34898,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-05-06 00:00:00.000,2015-09-21 00:00:00.000,2011
"Community Central Bank","Mount Clemens","MI",34234,"Talmer Bank & Trust",2011-04-29 00:00:00.000,2017-04-13 00:00:00.000,2011
"First Choice Community Bank","Dallas","GA",58539,"Bank of the Ozarks",2011-04-29 00:00:00.000,2015-09-21 00:00:00.000,2011
"Cortez Community Bank","Brooksville","FL",57625,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29 00:00:00.000,2016-08-08 00:00:00.000,2011
"First National Bank of Central Florida","Winter Park","FL",26297,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29 00:00:00.000,2016-05-04 00:00:00.000,2011
"Rosemount National Bank","Rosemount","MN",24099,"Central Bank",2011-04-15 00:00:00.000,2015-12-07 00:00:00.000,2011
"Nevada Commerce Bank","Las Vegas","NV",35418,"City National Bank",2011-04-08 00:00:00.000,2012-09-09 00:00:00.000,2011
"Legacy Bank","Milwaukee","WI",34818,"Seaway Bank and Trust Company",2011-03-11 00:00:00.000,2012-09-12 00:00:00.000,2011
"First National Bank of Davis","Davis","OK",4077,"The Pauls Valley National Bank",2011-03-11 00:00:00.000,2017-04-13 00:00:00.000,2011
"San Luis Trust Bank, FSB","San Luis Obispo","CA",34783,"First California Bank",2011-02-18 00:00:00.000,2016-09-12 00:00:00.000,2011
"Charter Oak Bank","Napa","CA",57855,"Bank of Marin",2011-02-18 00:00:00.000,2012-09-12 00:00:00.000,2011
