tweetid,source,target,sourceColor,targetColor
10940,PPT Search,#templates,#01B8AA,#374649
15172,achmad hermansyah,#KUtips,#01B8AA,#374649
1817,Free PowerPoint,PowerPoint,#01B8AA,#01B8AA
20932,Kevin Chant,#Linux,#01B8AA,#374649
8069,pptsearch365,#slide,#01B8AA,#374649
16163,Bodet UK,#employee,#01B8AA,#374649
19739,John White,#SQLServer2016133759404John,#01B8AA,#374649
11361,PPT Search,#spatial,#01B8AA,#374649
4091,PPT Search,#complains758049516PPT,#01B8AA,#374649
10915,PPT Search,#in,#01B8AA,#374649
8040,pptsearch365,#powerpoint,#01B8AA,#374649
9323,pookie,xoxomaggie,#01B8AA,#01B8AA
20112,Microsoft SMB MEA,#Linux,#01B8AA,#374649
21544,Frank Koppenol,scottgu,#01B8AA,#01B8AA
8104,PPT Search,#slide,#01B8AA,#374649
6846,Keerthi K Chippa,vizardofaus,#01B8AA,#01B8AA
11802,pptsearch365,#vertabral,#01B8AA,#374649
20140,Bertrand Caillet,SQLServer,#01B8AA,#01B8AA
10500,Zainah,AngcaJorge,#01B8AA,#01B8AA
13645,pptsearch365,#auto,#01B8AA,#374649
1527,pptsearch365,#modern,#01B8AA,#374649
3086,pptsearch365,#powerpoint,#01B8AA,#374649
5322,pptsearch365,#and,#01B8AA,#374649
9049,Tay,CGBPosts,#01B8AA,#01B8AA
23525,JC Castro,scottgu,#01B8AA,#01B8AA
16413,Jared Olson,jnilsson1981,#01B8AA,#01B8AA
22501,Ken Grierson,#SQLServer,#01B8AA,#374649
5373,Flezygist,moumitablogger,#01B8AA,#01B8AA
22166,Liron Amitzi,#Linux,#01B8AA,#374649
8472,pptsearch365,#construction,#01B8AA,#374649
7846,Mediamazine,Geetesh,#01B8AA,#01B8AA
11511,PPT Search,#slide,#01B8AA,#374649
5673,PPT Search,#powerpoint,#01B8AA,#374649
1929,pptsearch365,#powerpoint,#01B8AA,#374649
10740,PPT Search,#voice,#01B8AA,#374649
22575,Jose Carlos Jimenez,#SQLServer,#01B8AA,#374649
18826,Tatyana Haid,#Data,#01B8AA,#374649
15627,5sos Goal,5SOS,#01B8AA,#01B8AA
20308,Tech In A Click,#techtuesday,#01B8AA,#374649
1708,pptsearch365,#network3214601910pptsearch365en01457524843000,#01B8AA,#374649
10609,pptsearch365,#9,#01B8AA,#374649
6373,PPT Search,#cabling,#01B8AA,#374649
6991,PPT Search,#in,#01B8AA,#374649
18936,Per Widehammar,#PowerBI,#01B8AA,#374649
13165,Vandana Trivedi,#TiEConAhm358259130Vandana,#01B8AA,#374649
20286,Gaurav Seth,scottgu,#01B8AA,#01B8AA
20307,OneDemand,#SQLServerOnLinux,#01B8AA,#374649
3009,PPT Search,#of,#01B8AA,#374649
13736,Eshkar Disney,slideworld,#01B8AA,#01B8AA
