channelKey,StoreKey,ProductKey,PromotionKey,SalesQuantity,ReturnQuantity,ReturnAmount,TotalCost,SalesAmount,GeographyKey,DiscountQuantity,DiscountAmount,Date,UnitCost,UnitPrice,Product URL
1,84,624,1,20,0,0.0,6428.8,13980.0,851,0,0.0,2008-04-21 00:00:00.000,321.44,699.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,104,296,13,13,0,0.0,1716.65,3159.8,937,4,207.2,2008-11-10 00:00:00.000,132.05,259.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,310,2410,6,4,0,0.0,61.16,119.96,710,0,0.0,2007-02-04 00:00:00.000,15.29,29.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,81,636,12,12,1,999.0,5053.4,11588.4,793,4,399.6,2008-07-28 00:00:00.000,459.4,999.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,111,1698,1,25,0,0.0,89.0,174.75,938,0,0.0,2007-10-28 00:00:00.000,3.56,6.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,87,2034,1,10,0,0.0,713.7,1399.9,925,0,0.0,2008-06-22 00:00:00.000,71.37,139.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,392,12,12,1,382.95,2147.64,4518.81,894,2,76.59,2008-07-09 00:00:00.000,195.24,382.95,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,216,1,10,0,0.0,2524.7,5490.0,894,0,0.0,2009-10-01 00:00:00.000,252.47,549.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,2102,1,10,0,0.0,3637.5,7910.0,894,0,0.0,2009-06-15 00:00:00.000,363.75,791.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,123,756,4,13,0,0.0,178.75,376.74,852,2,11.96,2007-12-07 00:00:00.000,13.75,29.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,116,532,13,13,0,0.0,1548.43,3315.2,922,1,51.8,2008-11-29 00:00:00.000,119.11,259.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,155,2298,11,9,0,0.0,550.53,1055.912,832,4,23.998,2008-01-12 00:00:00.000,61.17,119.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,239,2070,1,10,0,0.0,713.7,1399.9,765,0,0.0,2007-07-22 00:00:00.000,71.37,139.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,307,2250,1,10,1,119.99,611.7,1199.9,710,0,0.0,2007-10-18 00:00:00.000,61.17,119.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,125,1942,2,9,0,0.0,1376.46,2654.9115,916,3,44.9985,2007-01-11 00:00:00.000,152.94,299.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,113,2250,1,10,0,0.0,611.7,1199.9,807,0,0.0,2008-10-18 00:00:00.000,61.17,119.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,308,816,2,4,0,0.0,23.44,45.425,693,1,0.575,2007-03-13 00:00:00.000,5.86,11.5,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,209,1340,1,20,0,0.0,144.6,283.8,738,0,0.0,2009-06-16 00:00:00.000,7.23,14.19,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,275,1308,14,13,0,0.0,185.64,351.4,712,3,12.6,2008-11-30 00:00:00.000,14.28,28.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,4,1088,21,6,0,0.0,1337.88,3768.8,424,4,269.2,2009-07-10 00:00:00.000,222.98,673.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,309,4,1,40,1,21.57,440.0,862.8,529,0,0.0,2009-07-22 00:00:00.000,11.0,21.57,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,281,140,1,10,0,0.0,2299.3,4999.9,727,0,0.0,2009-08-06 00:00:00.000,229.93,499.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,1184,1,20,0,0.0,8185.6,17800.0,586,0,0.0,2008-05-14 00:00:00.000,409.28,890.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,816,3,12,0,0.0,70.32,138.0,894,0,0.0,2007-09-12 00:00:00.000,5.86,11.5,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,184,19,8,0,0.0,364.24,732.6,586,3,59.4,2008-10-26 00:00:00.000,45.53,99.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,2126,10,8,0,0.0,607.68,983.4,586,7,208.6,2007-10-07 00:00:00.000,75.96,149.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,265,412,23,13,0,0.0,2538.12,4748.58,717,4,229.77,2009-12-07 00:00:00.000,195.24,382.95,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,242,828,1,10,0,0.0,109.9,239.0,773,0,0.0,2009-07-25 00:00:00.000,10.99,23.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,18,584,1,5,0,0.0,314.75,950.0,944,0,0.0,2007-05-28 00:00:00.000,62.95,190.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,199,60,22,26,0,0.0,2067.78,3962.4,800,3,93.6,2009-12-15 00:00:00.000,79.53,156.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,307,784,5,13,0,0.0,98.67,212.025,710,1,2.475,2008-01-14 00:00:00.000,7.59,16.5,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,265,1698,1,25,0,0.0,89.0,174.75,717,0,0.0,2007-10-16 00:00:00.000,3.56,6.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,120,448,1,20,0,0.0,2752.0,5398.0,911,0,0.0,2009-10-17 00:00:00.000,137.6,269.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,235,344,27,9,0,0.0,1679.4,3184.2,770,3,109.8,2009-08-16 00:00:00.000,186.6,366.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,26,1048,1,10,0,0.0,1414.7,4270.0,867,0,0.0,2007-04-29 00:00:00.000,141.47,427.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,10,348,1,10,0,0.0,3485.8,7580.0,947,0,0.0,2009-05-24 00:00:00.000,348.58,758.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,972,12,12,0,0.0,711.84,1522.2,894,2,25.8,2008-09-25 00:00:00.000,59.32,129.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,209,396,19,8,1,1299.0,3012.66,9872.4,738,2,519.6,2008-10-27 00:00:00.000,430.38,1299.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,308,1424,11,9,0,0.0,827.73,1790.0,693,1,10.0,2008-03-17 00:00:00.000,91.97,200.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,97,92,20,9,1,149.99,397.52,1349.91,863,0,0.0,2009-01-15 00:00:00.000,49.69,149.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,1910,20,9,0,0.0,3720.78,8046.05,894,1,44.95,2009-02-14 00:00:00.000,413.42,899.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,232,744,27,18,0,0.0,366.12,714.21,754,1,3.99,2009-08-20 00:00:00.000,20.34,39.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,13,584,1,5,0,0.0,314.75,950.0,930,0,0.0,2007-06-21 00:00:00.000,62.95,190.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,307,1428,6,9,0,0.0,1109.16,2304.8,710,2,107.2,2007-03-10 00:00:00.000,123.24,268.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,660,1,10,1,159.0,658.08,1590.0,894,0,0.0,2009-06-26 00:00:00.000,73.12,159.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,308,56,1,10,0,0.0,980.7,2960.0,693,0,0.0,2008-10-21 00:00:00.000,98.07,296.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,122,2186,1,5,0,0.0,379.8,745.0,902,0,0.0,2007-05-21 00:00:00.000,75.96,149.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,181,468,1,10,0,0.0,823.2,1790.0,946,0,0.0,2009-05-26 00:00:00.000,82.32,179.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,79,972,4,6,0,0.0,355.92,748.2,579,1,25.8,2007-11-08 00:00:00.000,59.32,129.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,295,380,1,10,0,0.0,4303.8,12990.0,714,0,0.0,2007-09-12 00:00:00.000,430.38,1299.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,111,1970,12,12,0,0.0,4961.04,10518.3,938,3,269.7,2008-09-19 00:00:00.000,413.42,899.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,168,952,12,12,0,0.0,1018.08,2140.2,855,4,73.8,2008-07-07 00:00:00.000,84.84,184.5,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,140,1332,1,10,0,0.0,133.3,289.9,842,0,0.0,2007-04-30 00:00:00.000,13.33,28.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,287,968,1,10,0,0.0,859.5,1869.0,881,0,0.0,2007-06-26 00:00:00.000,85.95,186.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,305,756,9,9,0,0.0,123.75,266.11,768,1,2.99,2007-08-14 00:00:00.000,13.75,29.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,16,1440,3,6,0,0.0,521.46,1096.2,627,2,37.8,2007-09-11 00:00:00.000,86.91,189.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,75,1036,1,10,1,184.5,763.56,1845.0,866,0,0.0,2007-04-12 00:00:00.000,84.84,184.5,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,204,1300,19,8,0,0.0,349.52,722.0,576,2,38.0,2008-12-17 00:00:00.000,43.69,95.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,310,1464,25,12,0,0.0,1423.8,3070.2,710,1,25.8,2009-05-10 00:00:00.000,118.65,258.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,436,2,54,0,0.0,10159.02,19889.1,894,2,36.9,2007-01-08 00:00:00.000,188.13,369.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,9,1990,1,10,0,0.0,919.7,1999.9,941,0,0.0,2008-05-15 00:00:00.000,91.97,199.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,269,1184,25,12,0,0.0,4911.36,10591.0,735,1,89.0,2009-05-11 00:00:00.000,409.28,890.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,113,2278,12,12,0,0.0,2528.64,7631.88,807,0,0.0,2008-07-03 00:00:00.000,210.72,635.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,309,1722,17,12,0,0.0,342.6,660.24,529,3,11.76,2008-02-03 00:00:00.000,28.55,56.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,496,28,8,0,0.0,658.56,1360.4,586,2,71.6,2009-10-23 00:00:00.000,82.32,179.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,73,2354,1,5,0,0.0,280.4,549.95,929,0,0.0,2007-10-14 00:00:00.000,56.08,109.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,113,896,13,13,0,0.0,276.64,509.106,807,4,33.384,2008-11-05 00:00:00.000,21.28,41.73,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,135,2102,21,12,1,791.0,4001.25,9333.8,820,2,158.2,2009-07-17 00:00:00.000,363.75,791.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,32,1212,13,13,0,0.0,1193.01,2196.0,877,4,144.0,2008-12-03 00:00:00.000,91.77,180.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,26,2414,3,6,0,0.0,112.68,217.297,867,1,3.683,2007-07-01 00:00:00.000,18.78,36.83,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,241,2442,1,10,0,0.0,50.9,99.9,745,0,0.0,2008-07-30 00:00:00.000,5.09,9.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,12,348,12,12,1,758.0,3834.38,9096.0,893,0,0.0,2008-08-24 00:00:00.000,348.58,758.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,221,988,10,4,0,0.0,272.24,592.0,775,0,0.0,2007-12-22 00:00:00.000,68.06,148.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,267,1950,6,4,0,0.0,265.08,441.966,732,3,77.994,2007-02-21 00:00:00.000,66.27,129.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,255,1024,1,10,0,0.0,859.5,1869.0,723,0,0.0,2007-10-27 00:00:00.000,85.95,186.9,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,186,1890,22,3,0,0.0,2445.66,3517.8,811,4,1279.2,2009-12-15 00:00:00.000,815.22,1599.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
4,308,1364,21,12,0,0.0,148.92,318.482,693,2,5.398,2009-07-16 00:00:00.000,12.41,26.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
3,200,1320,21,12,0,0.0,148.92,318.482,894,2,5.398,2009-09-22 00:00:00.000,12.41,26.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,28,372,12,12,0,0.0,4182.96,8792.8,809,4,303.2,2008-07-18 00:00:00.000,348.58,758.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,24,1200,13,13,0,0.0,4307.16,12400.0,887,3,600.0,2008-11-26 00:00:00.000,331.32,1000.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
2,306,2338,17,12,0,0.0,734.04,1439.88,586,0,0.0,2008-03-29 00:00:00.000,61.17,119.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,116,1986,20,9,1,139.99,570.96,1259.91,922,0,0.0,2009-03-16 00:00:00.000,71.37,139.99,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
1,291,696,11,9,0,0.0,786.33,1672.0,598,4,38.0,2008-02-19 00:00:00.000,87.37,190.0,https://docs.microsoft.com/en-us/office365/enterprise/overview-of-the-contoso-corporation
