DisqID,Term,Reason,disqinages
441,50.27,"PFK",4
442,38.77,"CLLS",3
443,22.94,"HIMX",2
444,5.56,"TCBIL",0
445,17.17,"XNCR",1
446,44.1,"FINX",4
447,3.74,"FDIV",0
448,95.19,"IBKR",8
449,30.15,"FT",3
450,17.42,"ST",1
451,8.01,"HCAPL",1
452,89.43,"BANC^E",7
453,23.56,"SGOC",2
454,23.95,"VTWV",2
455,30.72,"ARTX",3
456,62.4,"BCRX",5
457,37.77,"BNTC",3
458,91.88,"LMNX",8
459,79.97,"CUR",7
460,11.15,"HA",1
461,73.54,"OSN",6
462,36.68,"HIFS",3
463,29.58,"JJSF",2
464,84.37,"CTLT",7
465,65.69,"HTY",5
466,39.38,"FI",3
467,76.91,"BLPH",6
468,46.91,"IRET",4
469,70.49,"NEWTL",6
470,43.98,"KLXI",4
471,65.3,"MSI",5
472,90.64,"SODA",8
473,20.14,"RIBT",2
474,65.3,"EFR",5
475,35.47,"SITO",3
476,63.08,"NEWR",5
477,86.92,"DKT",7
478,14.43,"IOTS",1
479,76.79,"ROYT",6
480,38.63,"GOOS",3
481,42.05,"CELH",4
482,12.08,"ELY",1
483,90.32,"BRCD",8
484,96.44,"CWAY",8
485,5.36,"ONS",0
486,7.38,"JPM.WS",1
487,75.75,"MHN",6
488,60.35,"SENEA",5
489,30.09,"NGLS^A",3
490,30.49,"CCRC",3
491,14.68,"TLF",1
492,53.44,"ARR^A",4
493,53.71,"OPY",4
494,21.16,"WRB^D",2
495,93.67,"PSA^V",8
496,6.44,"PRO",1
497,5.02,"SKM",0
498,16.83,"SSW^G",1
499,94.57,"CRL",8
500,34.41,"BMCH",3
501,73.74,"CARS",6
502,70.02,"DRUA",6
503,71.71,"CAC",6
504,69.28,"ZNGA",6
505,5.25,"FAM",0
506,36.05,"CCS",3
507,94.18,"VLRX",8
508,31.47,"SUNW",3
509,40.79,"BBK",3
510,24.66,"NE",2
511,56.45,"SCYX",5
512,65.97,"FDT",5
513,1.17,"KANG",0
514,64.86,"WK",5
515,78.09,"SOR",7
516,21.25,"PMPT",2
517,42.57,"BDGE",4
518,34.39,"INTG",3
519,4.86,"ETR",0
520,11.08,"SCHW^D",1
521,87.39,"TACO",7
522,76.15,"AHPA",6
523,37.02,"HOMB",3
524,6.38,"USB",1
525,22.85,"DSE",2
526,90.16,"ALDX",8
527,55.6,"VBFC",5
528,44.87,"VSAR",4
529,94.27,"NTEST.A",8
530,61.79,"ADI",5
531,69.98,"BVN",6
532,72.16,"FIZZ",6
533,89.29,"STON",7
534,8.3,"GOODM",1
535,41.66,"NSYS",3
536,25.34,"MNKD",2
537,5.59,"BAS",0
538,41.21,"GLDI",3
539,90.43,"GPI",8
540,38.28,"NOV",3
541,18.33,"ROP",2
542,64.89,"TSRI",5
543,10.02,"PHII",1
544,80.18,"VVV",7
545,59.86,"DGICB",5
546,31.35,"BMS",3
547,89.78,"CMS",7
548,10.54,"OFC^L.CL",1
549,61.75,"DEI",5
550,57.45,"NAVI",5
551,10.58,"PFBI",1
552,43.62,"SVBI",4
553,11.08,"LDR",1
554,85.31,"PN",7
555,8.67,"OSB",1
556,83.85,"TWLO",7
557,53.7,"KOP",4
558,16.85,"GPM",1
559,57.54,"ISNS",5
560,60.75,"CERCW",5
561,27.09,"JNPR",2
562,67.02,"SOJA",6
563,70.94,"MH^A",6
564,72.07,"GPT^A",6
565,98.94,"IDTI",8
566,52.92,"KTN",4
567,79.21,"SZC",7
568,92.51,"ALL",8
569,56.56,"CMP",5
570,77.92,"REV",6
571,81.39,"NAKD",7
572,8.46,"ACGLP",1
573,69.89,"POWL",6
574,9.27,"KPTI",1
575,50.38,"SDRL",4
576,38.87,"AMBA",3
577,63.95,"GNE^A",5
578,46.99,"SYF",4
579,42.35,"GOOS",4
580,25.28,"CSS",2
581,11.65,"SPIL",1
582,93.74,"ETE",8
583,95.17,"ELU",8
584,26.65,"CSL",2
585,89.23,"UA",7
586,64.78,"REPH",5
587,92.96,"WHLRD",8
588,45.54,"LTM",4
589,24.65,"USNA",2
590,7.95,"NAC",1
591,54.71,"KOF",5
592,44.08,"KEG",4
593,21.11,"AKBA",2
594,97.88,"ADXSW",8
595,62.74,"FFBC",5
596,54.51,"PFIS",5
597,11.97,"CIF",1
598,68.34,"HBI",6
599,90.88,"ENT",8
600,19.65,"CVBF",2
601,28.87,"AME",2
602,3.3,"SPWH",0
603,79.63,"HCM",7
604,25.23,"RBS",2
605,87.99,"AYA",7
606,42.23,"GAINM",4
607,95.9,"OFIX",8
608,56.19,"ERJ",5
609,93.72,"ICAD",8
610,43.69,"CHCT",4
611,4.75,"MSCI",0
612,50.78,"MSM",4
613,82.23,"CFBK",7
614,17.37,"EEI",1
615,34.6,"SENEB",3
616,66.31,"CELGZ",6
617,45.02,"SSW^H",4
618,29.32,"RGSE",2
619,64,"SHI",5
620,41.77,"TPX",3
621,55.21,"RBS^L",5
622,6.61,"CXO",1
623,37.34,"ALL^A",3
624,12.16,"TSE",1
625,46.88,"HMY",4
626,71.84,"CNCE",6
627,70.66,"ABB",6
628,12.18,"IVC",1
629,95.47,"NOA",8
630,74.44,"VVUS",6
631,85.74,"KMPA",7
632,20.39,"HELE",2
633,54.39,"ARRS",5
634,58.65,"KRA",5
635,13.89,"BKEPP",1
636,95.92,"BSTC",8
637,56.88,"WAC",5
638,42.06,"TERP",4
639,69.28,"DSXN",6
640,34.7,"VMI",3
641,77.33,"GJO",6
642,17.93,"EYEGW",1
643,78.83,"ABDC",7
644,59.29,"SB",5
645,9.07,"GECC",1
646,75.01,"TNP^D",6
647,90.23,"TSLX",8
648,46.77,"MEIP",4
649,33.33,"HUM",3
650,44.96,"ANCX",4
651,8.09,"WVVIP",1
652,18.94,"KMT",2
653,28.92,"PXI",2
654,12.68,"DORM",1
655,77.53,"ERF",6
656,21.52,"STT^C",2
657,9.5,"NOW",1
658,52.34,"BOKFL",4
659,84.42,"AEG",7
660,27.16,"NGHCO",2
661,56.43,"VR",5
662,65.39,"USNA",5
663,51.41,"CLDT",4
664,46.42,"HXL",4
665,1.26,"MMP",0
666,80.98,"ARTNA",7
667,42.4,"HAL",4
668,53.04,"GME",4
669,7.81,"PSTI",1
670,98.46,"BCRX",8
671,89.1,"CARV",7
672,71.48,"CEN",6
673,71.05,"AXTI",6
674,77.16,"PVAC",6
675,33.39,"CLACW",3
676,33.85,"PNRG",3
677,18.14,"JMM",2
678,97.77,"BST",8
679,33.91,"WHLRD",3
680,27.95,"ISNS",2
681,95.52,"CBZ",8
682,97.98,"NAC",8
683,66.67,"MFC",6
684,41.93,"TFSL",3
685,77.4,"BUI",6
686,62.28,"MBTF",5
687,92.34,"VRSN",8
688,37.93,"CHSCN",3
689,28,"QTS",2
690,49.68,"CSBR",4
691,22.18,"SDLP",2
692,35.72,"PAACW",3
693,91.8,"PCK",8
694,42.97,"UVSP",4
695,28.31,"MDLX",2
696,93.79,"BAC^C",8
697,9.08,"STI.WS.B",1
698,82.36,"TWIN",7
699,10.58,"CCMP",1
700,28.59,"COR",2
701,76.69,"NBB",6
702,40.34,"CORR",3
703,20.22,"IDLB",2
704,74.25,"MDLQ",6
705,42.61,"GLP",4
706,71.84,"GCI",6
707,93.23,"FRGI",8
708,59.62,"HYGS",5
709,26.47,"ODFL",2
710,13.44,"HCLP",1
711,58.17,"IVR^A",5
712,35.11,"MLNK",3
713,77.95,"SJR",6
714,60.4,"VERI",5
715,13.14,"AFSI^E",1
716,75.89,"SHO",6
717,73.65,"SF^A",6
718,66.75,"RVLT",6
719,86.64,"ONS",7
720,71.89,"HUNT",6
721,54.1,"PHH",5
722,4.58,"SCE^J",0
723,72.91,"ARI",6
724,94.52,"NID",8
725,69.96,"MMS",6
726,14.42,"APF",1
727,84.05,"AEUA",7
728,63.97,"CWH",5
729,16.07,"ZION",1
730,86.03,"UMH^B",7
731,67.08,"NSC",6
732,60.63,"EDGW",5
733,72.11,"EW",6
734,85.16,"CSGS",7
735,86.7,"FSC",7
736,73.09,"CPK",6
737,39.94,"HGSH",3
738,32.94,"QPAC",3
739,57.85,"MIDD",5
740,80.33,"LDP",7
741,64.04,"FYC",5
742,92.01,"NEOS",8
743,24.69,"BDJ",2
744,87.02,"NYCB^U",7
745,8.56,"BREW",1
746,34.63,"AAPC",3
747,58.83,"GASS",5
748,65.42,"LABL",5
749,58.93,"SSW^E",5
750,46.53,"CCIH",4
751,81.87,"PEBK",7
752,87.37,"RY",7
753,23.19,"RM",2
754,91.9,"WMC",8
755,93.53,"HMHC",8
756,98.69,"EEI",8
757,64.88,"HONE",5
758,84.99,"PME",7
759,8.63,"NSEC",1
760,35.19,"HT^D",3
761,5.27,"SF",0
762,16.66,"VLY",1
763,81.74,"TPX",7
764,29.24,"EPD",2
765,68.17,"MCHX",6
766,67.69,"RGNX",6
767,9.45,"SMMT",1
768,85.28,"INF",7
769,87.42,"EHT",7
770,31.07,"BPMC",3
771,22.3,"SLP",2
772,39.44,"AES",3
773,67.47,"SPH",6
774,13.81,"SJI",1
775,68.91,"VRSN",6
776,40.05,"TCO^K",3
777,72.57,"HTH",6
778,68.3,"IRWD",6
779,37.92,"PTNR",3
780,54.93,"CIT",5
781,63.97,"ONSIZ",5
782,83.86,"KODK.WS.A",7
783,96.94,"WTR",8
784,97.02,"SSI",8
785,25.34,"FISV",2
786,91.33,"ZB^H",8
787,10.09,"AGNCB",1
788,86.98,"ARES",7
789,27.91,"SATS",2
790,8.64,"KMG",1
791,5.32,"MTL",0
792,63.7,"PNQI",5
793,48.58,"PXI",4
794,20.64,"PCH",2
795,77.9,"ALRM",6
796,7.32,"ISD",1
797,79.86,"NVLS",7
798,58.28,"R",5
799,92.09,"REVG",8
800,34.14,"ANDA",3
801,67.45,"AEIS",6
802,53.26,"LMRKO",4
803,5.88,"BLPH",0
804,63.22,"HJV",5
805,64.07,"WVVIP",5
806,92.85,"ASB",8
807,83.09,"LC",7
808,62.01,"VTWO",5
809,11.75,"FTS",1
810,89.46,"EDGE",7
811,10.77,"CPB",1
812,41.75,"PEGA",3
813,74.39,"CW",6
814,36.84,"ICON",3
815,3.59,"SCHN",0
816,39.09,"CYOU",3
817,38.06,"AFSD",3
818,57.8,"EPR",5
819,90.64,"CVX",8
820,46.31,"WVVI",4
821,33.19,"LIVN",3
822,7.65,"BOCH",1
823,61.59,"KBR",5
824,88.08,"BAC.WS.A",7
825,79.68,"KSM",7
826,72.44,"TGP^A",6
827,87.93,"AHL^C",7
828,21.73,"DX^B",2
829,28.49,"WHR",2
830,64.39,"INN^B",5
831,52.06,"SOHU",4
832,68.21,"JONE",6
833,21.36,"UBIO",2
834,82.13,"TA",7
835,30.92,"PRH",3
836,98.76,"FLT",8
837,76.69,"BYM",6
838,22.98,"SAFT",2
839,31.11,"UMPQ",3
840,49.54,"ALXN",4
841,13.64,"SUI^A",1
842,48.1,"ELJ",4
843,37.65,"CBL^E",3
844,74.35,"LJPC",6
845,68.31,"CVI",6
846,20.95,"RBS^H",2
847,5.42,"DIS",0
848,83.57,"AAWW",7
849,81.1,"HT^C",7
850,94.41,"EVF",8
851,95.86,"PEZ",8
852,84.24,"GLP",7
853,26.01,"UFS",2
854,43.43,"UTI",4
855,97.73,"ENT",8
856,52.36,"ABMD",4
857,15.84,"EOI",1
858,57.43,"PCO",5
859,97.01,"WING",8
860,81.25,"CNIT",7
861,62.89,"TLI",5
862,36.78,"AVNW",3
863,61.88,"HIMX",5
864,63.64,"PXS",5
865,34.39,"HOG",3
866,53.79,"HEBT",4
867,99.23,"MLCO",8
868,19.42,"ONB",2
869,4.03,"NXRT",0
870,49.82,"MDR",4
871,67.08,"MIII",6
872,70.9,"MIND",6
873,4.13,"SKX",0
874,65.48,"LMHA",5
875,31.32,"USB^H",3
876,95.17,"SOJB",8
877,26.81,"AN",2
878,88.97,"BIOP",7
879,6.41,"EVOK",1
880,9.35,"VER^F",1
881,68.75,"GYC",6
882,55.39,"DBL",5
883,38.73,"PBFX",3
884,5.34,"GULF",0
885,18.54,"LII",2
886,32.55,"RMTI",3
887,37.38,"AGIO",3
888,28.34,"MGP",2
889,86.67,"MTB^",7
890,29.3,"ASUR",2
891,6.88,"JPM^E",1
892,74.46,"RTTR",6
893,95.01,"JRI",8
894,81.78,"UCBI",7
895,42.86,"QRVO",4
896,33.98,"KIM^I",3
897,93.28,"LMHA",8
898,22.87,"IBCP",2
899,4.36,"CWCO",0
900,14.73,"KOOL",1
901,8.95,"UFCS",1
902,10.31,"AMTX",1
903,22.83,"ATHN",2
904,45.24,"BSL",4
905,21.63,"OHRP",2
906,55.51,"JBL",5
907,81.78,"SYRS",7
908,8.08,"VGLT",1
909,18.43,"XCO",2
910,17.48,"BYD",1
911,57.45,"SHLDW",5
912,73.22,"HUNTW",6
913,8.12,"SYRS",1
914,69.79,"DAIO",6
915,64.91,"TURN",5
916,47.11,"SMMT",4
917,43.42,"BANC^D",4
918,54.66,"CACI",5
919,47.88,"SFST",4
920,77.08,"MYD",6
921,85.17,"XTLB",7
922,60.35,"MFM",5
923,31.65,"GGT",3
924,75.47,"POWI",6
925,63.68,"AVAL",5
926,45.71,"EHIC",4
927,93.8,"AMAT",8
928,33.67,"BBH",3
929,57.28,"A",5
930,40.22,"DGICA",3
931,88.33,"SVRA",7
932,43.4,"IMAX",4
933,98.94,"EGN",8
934,86.64,"APB",7
935,45.39,"LTRPA",4
936,27.61,"TDA",2
937,92.27,"CTSO",8
938,37.16,"LGI",3
939,99.83,"PEP",8
940,15.05,"FTR",1
941,43.99,"BFK",4
942,22.59,"OTTR",2
943,95.34,"FTEO",8
944,76.44,"DLTR",6
945,60.9,"LHO^J",5
946,41.92,"NEM",3
947,42.93,"WOOD",4
948,54.52,"PPH",5
949,43.48,"DDC",4
950,73.29,"VALU",6
951,25.79,"SREV",2
952,34.51,"AIG",3
953,55.61,"CRME",5
954,64.59,"BOMN",5
955,76.28,"AJXA",6
956,61.66,"ELECU",5
957,76.52,"FBHS",6
958,87.22,"AFSI",7
959,20.04,"BAC^Y",2
960,85.34,"MMAC",7
961,13.03,"PKG",1
962,5.8,"NYNY",0
963,14.73,"CGA",1
964,49.82,"WRLD",4
965,58.82,"CSQ",5
966,77.12,"SIFY",6
967,25.26,"BWLD",2
968,36.57,"EDUC",3
969,31.84,"GRIF",3
970,52.36,"WFC^R",4
971,10.78,"BNJ",1
972,59.46,"TDW",5
973,58.83,"DXGE",5
974,82.14,"DCT",7
975,68.07,"EPD",6
976,55.26,"NSC",5
977,50.11,"FOX",4
978,18.6,"COF^C",2
979,36.36,"ALR",3
980,87.43,"RENX",7
981,21.3,"USB^M",2
982,77.43,"BLCM",6
983,68.41,"ASYS",6
984,22.34,"ITEQ",2
985,56.33,"EHIC",5
986,57.74,"ISD",5
987,81.51,"OFC^L.CL",7
988,16.08,"IRL",1
989,58.85,"PSET",5
990,82.04,"HHS",7
991,18.13,"DRE",2
992,1.89,"KNL",0
993,73.98,"TNXP",6
994,5.73,"BTE",0
995,14.3,"SNOW",1
996,30.3,"D",3
997,7.83,"EMCG",1
998,48.86,"FT",4
999,71.43,"VALX",6
1000,2.72,"CDR",0
