businessapplication_pk,name,criticality,element_name,device_fk
366,"PPS App","","d42-rc.localdomain",16644
366,"PPS App","","Dino_Release_Machine",16773
366,"PPS App","","Freshworks-RC",14554
366,"PPS App","","Ian_Aaron_RC",16032
366,"PPS App","","s1-mysql-9062.device42.pvt",10405
366,"PPS App","","s2-tomcat-9063.device42.pvt",10407
366,"PPS App","","s3-tomcat-9066",14159
366,"PPS App","","s3-tomcat-9066.device42.pvt",10409
366,"PPS App","","s4-tomcat-9067",14163
366,"PPS App","","s4-tomcat-9067.device42.pvt",10410
366,"PPS App","","s5-apache-9064",16042
366,"PPS App","","s5-apache-9064.device42.pvt",10406
366,"PPS App","","s6-apache-9068.device42.pvt",10408
366,"PPS App","","s7-firefox-90610.device42.pvt",10402
366,"PPS App","","trial-demo-rc",13854
366,"PPS App","","WINDOWS-HBQPU94",10461
42,"Jupiter Application","Mission Critical","s1-mysql-9062.device42.pvt",10405
42,"Jupiter Application","Mission Critical","s2-tomcat-9063",14210
42,"Jupiter Application","Mission Critical","s2-tomcat-9063.device42.pvt",10407
42,"Jupiter Application","Mission Critical","s4-tomcat-9067.device42.pvt",10410
42,"Jupiter Application","Mission Critical","s5-apache-9064.device42.pvt",10406
42,"Jupiter Application","Mission Critical","s8-firefox-9065.device42.pvt",10404
42,"Jupiter Application","Mission Critical","VMWARE-56 4D 86 CF 2E 24 C1 58-8A 2B 28 3A FF 80 FE F4",10398
42,"Jupiter Application","Mission Critical","WINDOWS-68INPG6",10433
42,"Jupiter Application","Mission Critical","WINDOWS-8D4TIPT",10426
356,"Webinar App","Business Essential","s1-mysql-9062.device42.pvt",10405
356,"Webinar App","Business Essential","s2-tomcat-9063.device42.pvt",10407
356,"Webinar App","Business Essential","s3-tomcat-9066",14159
356,"Webinar App","Business Essential","s3-tomcat-9066.device42.pvt",10409
356,"Webinar App","Business Essential","s4-tomcat-9067",14163
356,"Webinar App","Business Essential","s4-tomcat-9067.device42.pvt",10410
356,"Webinar App","Business Essential","s5-apache-9064",16042
356,"Webinar App","Business Essential","s5-apache-9064.device42.pvt",10406
356,"Webinar App","Business Essential","s6-apache-9068.device42.pvt",10408
356,"Webinar App","Business Essential","s7-firefox-90610.device42.pvt",10402
356,"Webinar App","Business Essential","WINDOWS-HBQPU94",10461
