ID,llama4_python_no-tool,llama4_python_tool,llama4_sql_no-tool,llama4_sql_tool,qwen3-8b_python_no-tool,qwen3-8b_python_tool,qwen3-8b_sql_no-tool,qwen3-8b_sql_tool,deepseek-v4-pro_python_no-tool,deepseek-v4-pro_python_tool,deepseek-v4-pro_sql_no-tool,deepseek-v4-pro_sql_tool,mistral-large-3_python_no-tool,mistral-large-3_python_tool,mistral-large-3_sql_no-tool,mistral-large-3_sql_tool,gpt-oss-120b_python_no-tool,gpt-oss-120b_python_tool,gpt-oss-120b_sql_no-tool,gpt-oss-120b_sql_tool,kimi-k2-6_python_no-tool,kimi-k2-6_python_tool,kimi-k2-6_sql_no-tool,kimi-k2-6_sql_tool
107157327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.1,0.2,0.6,0.7
110371958,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.7,0.5,0.9,0.1,0.9,0.1,0.2,0.0,0.9,0.9,0.8,0.4,0.7
226605615,0.2,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123469601,0.4,1.0,0.1,0.3,0.0,0.0,0.0,0.0,0.9,1.0,0.4,0.5,1.0,0.8,0.9,0.9,0.0,0.6,0.1,0.9,0.8,0.6,0.3,0.4
255513606,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283375085,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.9,0.6,0.6,0.0,0.4,1.0,0.3,0.0,0.5,0.0,1.0,0.6,1.0,0.4,0.8
293029633,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.2,0.6,1.0,0.2,0.0,0.1,0.6,0.0,0.9,0.6,0.9,0.4,0.7
940663376,0.0,0.9,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.6,0.3,0.3,0.3,0.9,0.3,0.6,0.0,0.4,0.2,0.8,0.3,0.9,0.2,0.3
101248502,0.8,0.8,0.1,1.0,0.4,0.0,0.2,0.0,1.0,1.0,0.6,0.1,1.0,1.0,0.6,1.0,0.3,0.6,0.0,1.0,1.0,1.0,0.0,0.9
103098579,0.2,0.2,0.8,0.0,0.1,0.0,0.0,0.0,0.7,0.9,0.6,0.3,0.5,0.9,0.2,1.0,0.0,0.3,0.0,0.6,1.0,1.0,0.5,0.5
106024162,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106937217,0.5,0.5,0.0,0.6,0.0,0.0,0.2,0.0,0.7,0.5,0.1,0.3,1.0,0.7,0.0,0.0,0.2,0.4,0.2,0.7,0.8,0.9,0.0,0.4
107951886,0.3,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108449512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108880206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109267352,0.3,1.0,0.1,0.4,0.0,0.1,0.0,0.0,0.4,0.9,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.3,0.6,1.0,1.0,0.3,0.8
111676720-1,0.4,1.0,1.0,0.8,0.0,0.0,0.0,0.2,0.8,0.6,0.1,0.4,0.4,1.0,0.8,0.9,0.1,0.3,0.1,0.7,0.8,0.4,0.1,0.0
111676720-2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.5,0.1,0.2,0.0,0.1
120119190-1,0.7,0.6,1.0,1.0,0.0,0.2,0.0,1.0,1.0,1.0,0.1,0.5,0.9,1.0,1.0,1.0,0.0,0.3,0.0,1.0,1.0,1.0,0.2,0.8
120119190-2,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121745354,0.0,0.8,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0
121963756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132844915,1.0,0.8,1.0,0.5,0.0,0.9,0.0,1.0,1.0,1.0,0.2,0.6,1.0,1.0,1.0,1.0,0.0,0.8,0.3,0.9,1.0,1.0,0.4,0.7
135177634,0.7,0.6,1.0,0.0,0.0,0.9,0.0,0.5,1.0,1.0,0.6,0.0,1.0,1.0,0.8,1.0,0.2,0.8,0.0,0.9,1.0,1.0,0.2,0.8
136224686,0.5,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.2,0.3,1.0,0.9,0.9,0.1,0.4,0.0,0.9,0.3,0.5,0.1,0.1
138743598,0.3,0.9,0.7,0.2,0.0,0.5,0.0,0.9,0.8,1.0,0.4,0.7,0.1,1.0,0.6,1.0,0.0,0.5,0.2,0.5,0.7,0.9,0.0,0.9
147349705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.7,0.4,0.4
149612320-1,0.8,0.8,0.9,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.6,0.8,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8,1.0,1.0,0.4,0.6
149612320-2,0.2,0.4,0.0,1.0,0.0,0.2,0.0,0.0,0.9,1.0,0.3,0.6,0.3,0.7,0.2,0.6,0.1,0.6,0.0,0.7,0.9,0.9,0.3,0.6
149612320-3,0.3,0.9,0.1,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.1,0.3,0.5,0.9,0.9,1.0,0.1,0.4,0.2,0.8,1.0,1.0,0.2,0.9
151056735,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.1,0.4,0.0,0.1,0.1,0.3,0.0,0.4,0.0,0.1,0.7,1.0,0.2,0.7
151159190-1,1.0,0.8,1.0,1.0,0.0,1.0,0.2,0.5,1.0,1.0,0.3,0.2,1.0,0.8,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.7
151159190-2,1.0,1.0,1.0,0.3,0.2,0.9,0.0,0.2,0.8,1.0,0.3,0.8,0.8,1.0,1.0,1.0,0.0,0.8,0.3,0.9,1.0,0.9,0.2,0.7
151159190-3,1.0,1.0,0.9,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.0,0.7,0.3,1.0,1.0,1.0,0.9,0.9
157434690,1.0,0.8,0.6,0.7,0.0,0.1,0.0,0.0,0.7,0.9,0.2,0.1,0.7,1.0,0.0,0.0,0.0,0.3,0.1,0.1,0.8,0.9,0.3,0.1
157709950,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.4,0.1,0.0,0.1,0.0,0.0,0.4,0.0,0.3,0.0,0.1,0.2,0.3
160743148,0.9,0.8,1.0,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,1.0,0.5,0.9,1.0,0.0,0.7,0.2,0.8,1.0,1.0,0.3,0.5
162096458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
253297541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.1,0.1,0.2,0.0,0.2,0.0,0.2,0.0,0.4,0.3,1.0,0.0,0.8
253297541-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
273752476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.4,0.6,0.0,0.2
302735597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.5
310643525,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.3,0.0,0.0
310701654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0
323781751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
329063214,0.6,0.6,0.1,0.8,0.0,0.0,0.0,0.0,0.9,1.0,0.5,0.7,0.2,0.6,0.3,0.8,0.0,0.2,0.0,0.5,0.5,0.9,0.1,0.3
338938979,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0
365351831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.1,0.0,0.0
481604864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514950901-1,0.1,0.9,0.1,0.9,0.0,0.1,0.0,0.7,0.7,0.8,0.1,0.6,0.9,0.7,0.5,1.0,0.0,0.1,0.0,0.5,0.8,0.7,0.7,0.1
514950901-2,0.0,0.3,0.3,0.3,0.0,0.2,0.0,0.0,0.7,0.7,0.8,0.8,0.3,0.4,0.5,0.1,0.1,0.5,0.1,0.8,1.0,0.9,1.0,1.0
543577582,0.3,0.4,0.0,0.4,0.0,0.1,0.1,0.0,0.8,0.7,0.9,0.6,0.7,1.0,0.9,0.7,0.0,0.5,0.1,0.6,1.0,0.9,0.5,0.7
750549015,0.2,0.7,0.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,0.5,0.5,0.1,1.0,0.0,0.9,0.0,0.3,0.0,0.5,1.0,1.0,0.6,0.7
113826403,0.7,0.2,0.0,0.7,0.0,0.1,0.0,0.0,0.8,0.9,0.2,0.0,0.3,0.6,0.1,0.3,0.1,0.4,0.0,0.9,1.0,1.0,0.1,0.8
120507295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,1.0,0.0,0.0
121745354-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
122000300,0.3,0.2,0.0,0.7,0.0,0.0,0.0,0.1,0.7,0.2,0.0,0.2,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.3,0.0,0.0
131131207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138548946,0.2,0.6,0.0,0.1,0.0,0.1,0.0,0.0,0.7,0.9,0.1,0.1,0.1,0.3,0.8,0.6,0.0,0.0,0.0,0.1,0.2,0.8,0.0,0.7
142885391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.7,0.8,0.0,0.2
143360930,0.4,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.4,0.7,0.8,0.0,0.9,0.1,0.2,0.0,0.9,0.3,0.3,0.0,0.0
147354242,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149483118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.7,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.5,0.1,0.0
162319649-1,0.6,0.6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,0.2,0.9,0.9,0.9,1.0,0.1,0.8,0.1,0.5,0.8,1.0,0.1,0.6
162319649-2,1.0,0.8,1.0,1.0,0.0,0.2,0.0,1.0,1.0,1.0,0.2,0.3,1.0,0.9,1.0,0.6,0.1,0.6,0.0,0.7,1.0,1.0,0.1,0.9
162319649-3,0.8,0.9,0.9,1.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.9,1.0,1.0,1.0,1.0
165790004-1,0.7,0.3,0.0,0.0,0.0,0.4,0.0,0.7,1.0,1.0,0.9,1.0,0.4,0.6,0.8,0.8,0.2,0.5,0.2,0.6,1.0,1.0,0.9,1.0
165790004-2,0.9,0.8,1.0,0.0,0.0,0.6,0.0,1.0,1.0,1.0,0.1,0.3,1.0,1.0,1.0,1.0,0.1,0.7,0.1,1.0,1.0,1.0,0.2,1.0
165790004-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
168073359-1,0.1,0.9,0.3,1.0,0.0,0.4,0.0,0.5,1.0,1.0,0.6,0.5,0.8,0.9,1.0,0.9,0.0,0.0,0.0,0.7,1.0,1.0,0.0,1.0
168073359-2,0.7,0.9,0.9,0.3,0.0,0.2,0.0,1.0,1.0,1.0,0.3,0.4,0.9,1.0,1.0,1.0,0.1,0.5,0.0,0.9,1.0,1.0,0.1,0.7
168584084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169833271,1.0,0.9,1.0,0.0,0.4,0.8,0.0,1.0,0.6,1.0,0.2,0.2,0.9,1.0,1.0,1.0,0.1,0.9,0.2,1.0,1.0,1.0,0.5,0.1
