ID,sft_python_no-tool,rft_python_no-tool,sft_python_tool,rft_python_tool,sft_sql_no-tool,rft_sql_no-tool,sft_sql_tool,rft_sql_tool,abl_no_partial_credit_python_tool,abl_no_syntax_penalty_python_tool,abl_binary_reward_python_tool
135177634,0.9,0.9,0.9,1.0,0.8,1.0,1.0,1.0,0.7,0.8000,0.9000
136224686,0.0,0.0,0.0,0.1,0.5,0.6,0.1,0.1,0.0,0.0000,0.0000
138743598,0.2,0.2,0.2,0.6,0.0,0.0,0.3,0.9,0.4,0.6000,0.5000
147349705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
149612320-1,0.6,0.6,0.7,0.7,1.0,1.0,0.3,0.4,0.5,0.8000,0.6000
149612320-2,0.8,0.9,0.3,0.8,0.8,0.7,0.0,0.1,0.5,0.6000,0.6000
149612320-3,0.5,0.6,0.6,0.5,0.5,0.9,0.0,0.0,0.8,1.0000,0.6000
151056735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
151159190-1,0.6,0.6,0.7,0.8,0.9,0.7,1.0,1.0,0.7,0.9000,0.8000
151159190-2,0.8,0.9,0.6,0.9,0.8,0.9,0.7,0.9,0.6,0.9000,0.3000
151159190-3,0.2,0.2,0.6,0.7,0.8,0.8,0.4,0.9,0.6,0.8000,0.5000
157434690,0.0,0.0,0.4,0.5,0.8,1.0,0.0,0.0,0.3,0.4000,0.4000
157709950,0.0,0.0,0.0,0.0,0.6,0.5,0.2,0.3,0.0,0.0000,0.1000
160743148,0.3,0.3,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0000,0.2000
162096458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
253297541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1000,0.1000
253297541-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
273752476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
302735597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
310643525,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
310701654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
323781751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000
329063214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
338938979,0.0,0.0,0.3,0.7,0.0,0.0,0.8,1.0,0.0,0.3000,0.0000
365351831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
481604864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
514950901-1,0.0,0.3,0.5,0.3,0.0,0.0,0.9,0.7,0.6,0.0000,0.4000
514950901-2,0.0,0.2,0.3,0.7,0.0,0.0,0.7,0.4,0.5,0.0000,0.4000
543577582,0.3,0.3,0.1,0.2,0.0,0.0,0.1,0.0,0.2,0.1000,0.1000
750549015,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.6,0.1,0.1000,0.0000
113826403,0.2,0.4,0.1,0.1,0.0,0.1,0.0,0.3,0.0,0.0000,0.1000
120507295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
121745354-1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
122000300,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.7,0.2,0.1000,0.1000
131131207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0000,0.0000
138548946,0.0,0.1,0.5,0.9,0.1,0.1,0.0,0.0,0.2,0.1000,0.2000
142885391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
143360930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
147354242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
149483118,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0000,0.1000
162319649-1,0.1,0.0,0.0,0.0,0.3,0.4,0.9,0.5,0.0,0.0000,0.0000
162319649-2,0.6,0.4,0.6,0.3,0.5,0.5,1.0,0.9,0.6,0.1000,0.3000
162319649-3,0.6,0.7,0.6,0.7,0.6,0.6,0.9,1.0,0.4,0.0000,0.5000
165790004-1,0.0,0.2,0.5,0.0,0.4,0.1,0.6,0.4,0.2,0.0000,0.2000
165790004-2,0.3,0.5,0.9,0.8,0.9,1.0,1.0,1.0,0.9,0.8000,0.7000
165790004-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
168073359-1,0.0,0.1,0.1,0.4,0.2,0.5,0.4,1.0,0.8,0.3000,0.2000
168073359-2,0.9,0.6,0.7,0.7,0.8,0.8,1.0,1.0,0.5,0.6000,0.7000
168584084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000
169833271,1.0,1.0,0.7,0.7,0.9,0.9,1.0,1.0,0.7,1.0000,0.7000
