id,infly_sql,infly_python,xiyan_sql,xiyan_python,databao,ktx,kwai_autosql_32b_sql,kwai_autosql_32b_python,kwai_autosql_14b_sql,kwai_autosql_14b_python
108574001,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
132725207-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
132725207-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
144879316,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
148631860,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
107157327,0.0,0.0,0.0,0.0,0.3,0.1,0.0000,0.0000,0.0000,0.0000
110371958,0.0,0.0,0.0,0.0,1.0,0.0,0.0000,0.0000,0.0000,0.0000
226605615,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
123469601,0.2,0.0,0.1,0.2,0.0,0.4,0.0000,0.1000,0.0000,0.0000
255513606,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
283375085,0.0,0.0,0.0,0.0,0.0,0.9,0.0000,0.0000,0.0000,0.0000
293029633,0.0,0.0,0.0,0.0,0.2,0.0,0.0000,0.0000,0.0000,0.0000
940663376,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
101248502,0.0,0.3,0.0,0.3,0.0,0.0,0.0000,0.4000,0.0000,0.2000
103098579,0.0,0.0,0.0,0.0,0.2,0.1,0.0000,0.1000,0.0000,0.0000
106024162,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
106937217,0.3,0.0,0.0,0.0,0.0,0.0,0.0000,0.2000,0.0000,0.0000
107951886,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
108449512,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
108880206,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
109267352,0.1,0.0,0.0,0.1,0.1,0.4,0.0000,0.3000,0.0000,0.2000
111676720-1,0.0,0.0,0.0,0.0,0.0,0.9,0.0000,0.0000,0.0000,0.0000
111676720-2,0.0,0.0,0.0,0.0,0.1,0.0,0.0000,0.0000,0.0000,0.0000
120119190-1,0.0,0.1,0.0,0.0,0.4,0.5,0.7000,0.2000,0.2000,0.1000
120119190-2,0.0,0.0,0.0,0.0,0.0,0.3,0.0000,0.0000,0.0000,0.0000
121745354,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.4000,0.0000,0.4000
121963756,0.0,0.0,0.1,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
132844915,0.0,0.3,0.0,1.0,1.0,1.0,1.0000,0.5000,0.9000,0.1000
135177634,0.1,0.3,0.9,0.8,0.8,0.3,0.9000,0.1000,0.0000,0.2000
136224686,0.2,0.0,0.0,0.0,0.1,0.0,0.0000,0.0000,0.0000,0.0000
138743598,0.0,0.0,0.0,0.0,0.1,0.2,0.0000,0.0000,0.3000,0.0000
147349705,0.0,0.0,0.0,0.0,0.4,0.0,0.0000,0.0000,0.0000,0.0000
149612320-1,0.5,0.4,0.0,0.0,0.0,1.0,0.4000,0.4000,0.0000,0.1000
149612320-2,0.3,0.1,1.0,1.0,0.0,0.5,0.5000,0.2000,0.0000,0.0000
149612320-3,0.4,0.3,0.4,1.0,0.4,0.9,0.9000,0.0000,0.1000,0.0000
151056735,0.3,0.0,0.0,0.0,0.2,0.0,0.0000,0.0000,0.0000,0.0000
151159190-1,0.2,0.2,0.0,0.5,0.8,0.9,1.0000,0.3000,0.3000,0.2000
151159190-2,0.2,0.6,0.0,1.0,0.0,1.0,1.0000,0.5000,0.8000,0.3000
151159190-3,0.2,0.1,0.0,0.2,0.7,0.9,1.0000,0.3000,0.2000,0.2000
157434690,0.1,0.0,0.0,0.7,0.0,0.5,0.0000,0.2000,0.0000,0.0000
157709950,0.0,0.0,0.0,0.0,0.0,0.6,0.1000,0.1000,0.0000,0.0000
160743148,0.0,0.0,0.2,0.2,0.0,0.0,0.1000,0.1000,0.1000,0.0000
162096458,0.0,0.0,0.0,0.0,0.0,0.1,0.0000,0.0000,0.0000,0.0000
253297541,0.0,0.0,0.0,0.0,0.2,0.0,0.0000,0.0000,0.0000,0.0000
253297541-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
273752476,0.0,0.0,0.0,0.0,0.6,0.0,0.0000,0.0000,0.0000,0.0000
302735597,0.0,0.0,0.0,0.0,0.3,0.0,0.0000,0.0000,0.0000,0.0000
310643525,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
310701654,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
323781751,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
329063214,0.0,0.0,0.0,0.0,0.0,0.2,0.0000,0.0000,0.0000,0.0000
338938979,0.0,0.0,0.0,0.0,0.0,0.0,0.3000,0.0000,0.0000,0.0000
365351831,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
481604864,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
514950901-1,0.0,0.0,0.0,0.0,0.5,0.2,0.0000,0.0000,0.0000,0.0000
514950901-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0000,0.0000,0.0000,0.0000
543577582,0.0,0.0,0.0,0.1,0.2,0.0,0.0000,0.0000,0.0000,0.0000
750549015,0.0,0.0,0.0,0.0,1.0,0.0,0.0000,0.0000,0.0000,0.0000
113826403,0.0,0.0,0.0,0.0,0.6,0.0,0.3000,0.0000,0.0000,0.0000
120507295,0.0,0.0,0.0,0.0,0.3,0.0,0.0000,0.0000,0.0000,0.0000
121745354-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
122000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.1000,0.0000
131131207,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
138548946,0.0,0.0,0.0,0.0,0.0,0.1,0.0000,0.0000,0.0000,0.0000
142885391,0.0,0.0,0.0,0.0,0.2,0.0,0.0000,0.0000,0.0000,0.0000
143360930,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.1000,0.0000,0.0000
147354242,0.1,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
149483118,0.0,0.0,0.0,0.1,0.0,0.0,0.0000,0.0000,0.0000,0.0000
162319649-1,0.3,0.1,0.1,0.3,0.0,0.5,0.2000,0.0000,0.1000,0.0000
162319649-2,0.0,0.3,0.5,0.4,1.0,0.9,1.0000,0.6000,0.0000,0.5000
162319649-3,0.0,0.0,0.2,0.8,1.0,0.8,1.0000,0.2000,0.0000,0.2000
165790004-1,0.0,0.0,0.1,0.2,1.0,0.9,0.4000,0.3000,0.4000,0.2000
165790004-2,0.6,0.3,1.0,1.0,0.7,1.0,1.0000,0.4000,0.5000,0.1000
165790004-3,0.0,0.0,0.0,0.1,0.5,0.0,0.0000,0.0000,0.0000,0.0000
168073359-1,0.0,0.0,0.0,0.0,0.4,0.2,0.0000,0.0000,0.0000,0.0000
168073359-2,0.0,0.0,0.0,0.0,0.7,0.5,0.4000,0.2000,0.0000,0.0000
168584084,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000
169833271,0.3,0.5,1.0,1.0,0.1,1.0,1.0000,0.6000,0.3000,0.0000
