_nadb_riskindicator_value,Max Points,nadb_riskratingmethodologyid
"f99a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"fb9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"fd9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"ff9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"019b30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"039b30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"059b30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"079b30ab-c154-ea11-a813-000d3a4ed0f6",1.25,"14c0009c-c154-ea11-a813-000d3a4e6589"
"099b30ab-c154-ea11-a813-000d3a4ed0f6",1.25,"14c0009c-c154-ea11-a813-000d3a4e6589"
"0b9b30ab-c154-ea11-a813-000d3a4ed0f6",1.25,"14c0009c-c154-ea11-a813-000d3a4e6589"
"0d9b30ab-c154-ea11-a813-000d3a4ed0f6",1.25,"14c0009c-c154-ea11-a813-000d3a4e6589"
"0f9b30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"119b30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"139b30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"159b30ab-c154-ea11-a813-000d3a4ed0f6",1.88,"14c0009c-c154-ea11-a813-000d3a4e6589"
"179b30ab-c154-ea11-a813-000d3a4ed0f6",1.88,"14c0009c-c154-ea11-a813-000d3a4e6589"
"199b30ab-c154-ea11-a813-000d3a4ed0f6",1.88,"14c0009c-c154-ea11-a813-000d3a4e6589"
"1b9b30ab-c154-ea11-a813-000d3a4ed0f6",1.88,"14c0009c-c154-ea11-a813-000d3a4e6589"
"bb9930ab-c154-ea11-a813-000d3a4ed0f6",6,"04c0009c-c154-ea11-a813-000d3a4e6589"
"bd9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"bf9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"c19930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"c39930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"c59930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"c79930ab-c154-ea11-a813-000d3a4ed0f6",8,"04c0009c-c154-ea11-a813-000d3a4e6589"
"c99930ab-c154-ea11-a813-000d3a4ed0f6",8,"04c0009c-c154-ea11-a813-000d3a4e6589"
"cb9930ab-c154-ea11-a813-000d3a4ed0f6",8,"04c0009c-c154-ea11-a813-000d3a4e6589"
"cd9930ab-c154-ea11-a813-000d3a4ed0f6",8,"04c0009c-c154-ea11-a813-000d3a4e6589"
"cf9930ab-c154-ea11-a813-000d3a4ed0f6",8,"04c0009c-c154-ea11-a813-000d3a4e6589"
"d19930ab-c154-ea11-a813-000d3a4ed0f6",6,"04c0009c-c154-ea11-a813-000d3a4e6589"
"d39930ab-c154-ea11-a813-000d3a4ed0f6",6,"04c0009c-c154-ea11-a813-000d3a4e6589"
"d59930ab-c154-ea11-a813-000d3a4ed0f6",6,"04c0009c-c154-ea11-a813-000d3a4e6589"
"d79930ab-c154-ea11-a813-000d3a4ed0f6",6,"04c0009c-c154-ea11-a813-000d3a4e6589"
"d99930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"db9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"dd9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"df9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"04c0009c-c154-ea11-a813-000d3a4e6589"
"959a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"979a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"999a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"9b9a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"9d9a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"9f9a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"a19a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"a39a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"a59a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"a79a30ab-c154-ea11-a813-000d3a4ed0f6",1,"10c0009c-c154-ea11-a813-000d3a4e6589"
"6d9a30ab-c154-ea11-a813-000d3a4ed0f6",4,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"6f9a30ab-c154-ea11-a813-000d3a4ed0f6",3,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"719a30ab-c154-ea11-a813-000d3a4ed0f6",4,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"739a30ab-c154-ea11-a813-000d3a4ed0f6",6,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"759a30ab-c154-ea11-a813-000d3a4ed0f6",6,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"779a30ab-c154-ea11-a813-000d3a4ed0f6",3,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"799a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"7b9a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"7d9a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"7f9a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"819a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"839a30ab-c154-ea11-a813-000d3a4ed0f6",4,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"859a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"879a30ab-c154-ea11-a813-000d3a4ed0f6",2,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"899a30ab-c154-ea11-a813-000d3a4ed0f6",2,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"8b9a30ab-c154-ea11-a813-000d3a4ed0f6",6,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"8d9a30ab-c154-ea11-a813-000d3a4ed0f6",4,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"8f9a30ab-c154-ea11-a813-000d3a4ed0f6",4,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"919a30ab-c154-ea11-a813-000d3a4ed0f6",4,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"939a30ab-c154-ea11-a813-000d3a4ed0f6",3,"0ec0009c-c154-ea11-a813-000d3a4e6589"
"a99a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"ab9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"ad9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"af9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"b19a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"b39a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"b59a30ab-c154-ea11-a813-000d3a4ed0f6",10,"12c0009c-c154-ea11-a813-000d3a4e6589"
"b79a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"b99a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"bb9a30ab-c154-ea11-a813-000d3a4ed0f6",10,"12c0009c-c154-ea11-a813-000d3a4e6589"
"bd9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"bf9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"c19a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"c39a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"c59a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"c79a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"c99a30ab-c154-ea11-a813-000d3a4ed0f6",5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"cb9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"cd9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"cf9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"d19a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"d39a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"d59a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
"d79a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"12c0009c-c154-ea11-a813-000d3a4e6589"
