ID Pedido,ID Produto,Quantidade_Vendida,Preço,Faturamento,Pedido.Data_venda
72664,12,61,16.5,1006.5,2017-09-03 00:00:00.000
44842,25,31,5.0,155.0,2016-08-23 00:00:00.000
9545,26,57,3.5,199.5,2015-05-09 00:00:00.000
58159,26,39,3.5,136.5,2017-02-19 00:00:00.000
83400,29,51,20.0,1020.0,2018-01-26 00:00:00.000
3314,27,39,4.5,175.5,2015-02-13 00:00:00.000
2662,19,73,3.5,255.5,2015-02-04 00:00:00.000
62111,10,37,4.5,166.5,2017-04-13 00:00:00.000
49230,29,61,20.0,1220.0,2016-10-21 00:00:00.000
11666,24,44,4.5,198.0,2015-06-05 00:00:00.000
38125,2,26,22.5,585.0,2016-05-25 00:00:00.000
54698,31,62,24.0,1488.0,2017-01-03 00:00:00.000
42029,15,16,3.5,56.0,2016-07-16 00:00:00.000
35341,4,52,4.5,234.0,2016-04-18 00:00:00.000
74701,2,43,22.5,967.5,2017-10-01 00:00:00.000
81682,10,89,4.5,400.5,2018-01-03 00:00:00.000
31449,2,97,22.5,2182.5,2016-02-26 00:00:00.000
55984,10,19,4.5,85.5,2017-01-20 00:00:00.000
44647,20,44,24.0,1056.0,2016-08-20 00:00:00.000
64641,32,21,18.0,378.0,2017-05-17 00:00:00.000
74274,22,14,22.0,308.0,2017-09-25 00:00:00.000
60512,25,46,5.0,230.0,2017-03-22 00:00:00.000
58770,33,43,22.0,946.0,2017-02-26 00:00:00.000
13381,11,45,3.0,135.0,2015-06-29 00:00:00.000
5185,14,72,16.0,1152.0,2015-03-10 00:00:00.000
21275,7,77,16.5,1270.5,2015-10-13 00:00:00.000
64729,5,59,2.5,147.5,2017-05-18 00:00:00.000
72566,13,12,17.0,204.0,2017-09-02 00:00:00.000
47931,22,44,22.0,968.0,2016-10-03 00:00:00.000
11442,13,59,17.0,1003.0,2015-06-03 00:00:00.000
6499,33,64,22.0,1408.0,2015-03-29 00:00:00.000
85396,9,76,7.0,532.0,2018-02-22 00:00:00.000
60226,33,51,22.0,1122.0,2017-03-18 00:00:00.000
35785,27,64,4.5,288.0,2016-04-24 00:00:00.000
86454,8,38,6.0,228.0,2018-03-08 00:00:00.000
42321,26,59,3.5,206.5,2016-07-20 00:00:00.000
4235,25,33,5.0,165.0,2015-02-26 00:00:00.000
73784,25,21,5.0,105.0,2017-09-18 00:00:00.000
17212,31,17,24.0,408.0,2015-08-19 00:00:00.000
41156,18,93,4.5,418.5,2016-07-04 00:00:00.000
12933,26,80,3.5,280.0,2015-06-23 00:00:00.000
76068,18,77,4.5,346.5,2017-10-20 00:00:00.000
52034,13,88,17.0,1496.0,2016-11-27 00:00:00.000
72647,31,45,24.0,1080.0,2017-09-03 00:00:00.000
50343,11,68,3.0,204.0,2016-11-05 00:00:00.000
37440,9,13,7.0,91.0,2016-05-15 00:00:00.000
53169,32,84,18.0,1512.0,2016-12-13 00:00:00.000
20990,11,24,3.0,72.0,2015-10-09 00:00:00.000
59190,9,69,7.0,483.0,2017-03-04 00:00:00.000
23365,6,32,20.0,640.0,2015-11-10 00:00:00.000
172,19,22,3.5,77.0,2015-01-02 00:00:00.000
16684,26,26,3.5,91.0,2015-08-11 00:00:00.000
52359,23,43,24.0,1032.0,2016-12-02 00:00:00.000
14042,31,20,24.0,480.0,2015-07-07 00:00:00.000
79501,9,44,7.0,308.0,2017-12-05 00:00:00.000
78087,9,45,7.0,315.0,2017-11-16 00:00:00.000
