Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 10, 2021","843.64","844.82","800.02","804.82","804.82","36,216,100"
"Feb 09, 2021","855.12","859.80","841.75","849.46","849.46","15,157,700"
"Feb 08, 2021","869.67","877.77","854.75","863.42","863.42","20,161,700"
"Feb 05, 2021","845.00","864.77","838.97","852.23","852.23","18,566,600"
"Feb 04, 2021","855.00","856.50","833.42","849.99","849.99","15,812,700"
"Feb 03, 2021","877.02","878.08","853.06","854.69","854.69","18,343,500"
"Feb 02, 2021","844.68","880.50","842.20","872.79","872.79","24,346,200"
"Feb 01, 2021","814.29","842.00","795.56","839.81","839.81","25,391,400"
"Jan 29, 2021","830.00","842.41","780.10","793.53","793.53","34,990,800"
"Jan 28, 2021","820.00","848.00","801.00","835.43","835.43","26,378,000"
"Jan 27, 2021","870.35","891.50","858.66","864.16","864.16","27,334,000"
"Jan 26, 2021","891.38","895.90","871.60","883.09","883.09","23,131,600"
"Jan 25, 2021","855.00","900.40","838.82","880.80","880.80","41,173,400"
"Jan 22, 2021","834.31","848.00","828.62","846.64","846.64","20,066,500"
"Jan 21, 2021","855.00","855.72","841.42","844.99","844.99","20,521,100"
"Jan 20, 2021","858.74","859.50","837.28","850.45","850.45","25,665,900"
"Jan 19, 2021","837.80","850.00","833.00","844.55","844.55","25,367,000"
"Jan 15, 2021","852.00","859.90","819.10","826.16","826.16","38,777,600"
"Jan 14, 2021","843.39","863.00","838.75","845.00","845.00","31,266,300"
"Jan 13, 2021","852.76","860.47","832.00","854.41","854.41","33,312,500"
"Jan 12, 2021","831.00","868.00","827.34","849.44","849.44","46,270,700"
"Jan 11, 2021","849.40","854.43","803.62","811.19","811.19","59,301,600"
"Jan 08, 2021","856.00","884.49","838.39","880.02","880.02","75,055,500"
"Jan 07, 2021","777.63","816.99","775.20","816.04","816.04","51,498,900"
"Jan 06, 2021","758.49","774.00","749.10","755.98","755.98","44,700,000"
"Jan 05, 2021","723.66","740.84","719.20","735.11","735.11","32,245,200"
"Jan 04, 2021","719.46","744.49","717.19","729.77","729.77","48,638,200"
"Dec 31, 2020","699.99","718.72","691.12","705.67","705.67","49,649,900"
"Dec 30, 2020","672.00","696.60","668.36","694.78","694.78","42,846,000"
"Dec 29, 2020","661.00","669.90","655.00","665.99","665.99","22,910,800"
"Dec 28, 2020","674.51","681.40","660.80","663.69","663.69","32,278,600"
"Dec 24, 2020","642.99","666.09","641.00","661.77","661.77","22,865,600"
"Dec 23, 2020","632.20","651.50","622.57","645.98","645.98","33,173,000"
"Dec 22, 2020","648.00","649.88","614.23","640.34","640.34","51,716,000"
"Dec 21, 2020","666.24","668.50","646.07","649.86","649.86","58,045,300"
"Dec 18, 2020","668.90","695.00","628.54","695.00","695.00","222,126,200"
"Dec 17, 2020","628.19","658.82","619.50","655.90","655.90","56,270,100"
"Dec 16, 2020","628.23","632.50","605.00","622.77","622.77","42,095,800"
"Dec 15, 2020","643.28","646.90","623.80","633.25","633.25","45,071,500"
"Dec 14, 2020","619.00","642.75","610.20","639.83","639.83","52,040,600"
"Dec 11, 2020","615.01","624.00","596.80","609.99","609.99","46,475,000"
"Dec 10, 2020","574.37","627.75","566.34","627.07","627.07","67,083,200"
"Dec 09, 2020","653.69","654.32","588.00","604.48","604.48","71,291,200"
"Dec 08, 2020","625.51","651.28","618.50","649.88","649.88","64,265,000"
"Dec 07, 2020","604.92","648.79","603.05","641.76","641.76","56,309,700"
"Dec 04, 2020","591.01","599.04","585.50","599.04","599.04","29,401,300"
"Dec 03, 2020","590.02","598.97","582.43","593.38","593.38","42,552,000"
"Dec 02, 2020","556.44","571.54","541.21","568.82","568.82","47,775,700"
"Dec 01, 2020","597.59","597.85","572.05","584.76","584.76","40,103,500"
"Nov 30, 2020","602.21","607.80","554.51","567.60","567.60","63,003,100"
"Nov 27, 2020","581.16","598.78","578.45","585.76","585.76","37,561,100"
"Nov 25, 2020","550.06","574.00","545.37","574.00","574.00","48,930,200"
"Nov 24, 2020","540.40","559.99","526.20","555.38","555.38","53,648,500"
"Nov 23, 2020","503.50","526.00","501.79","521.85","521.85","50,260,300"
"Nov 20, 2020","497.99","502.50","489.06","489.61","489.61","32,911,900"
"Nov 19, 2020","492.00","508.61","487.57","499.27","499.27","62,475,300"
"Nov 18, 2020","448.35","496.00","443.50","486.64","486.64","78,044,000"
"Nov 17, 2020","460.17","462.00","433.01","441.61","441.61","61,188,300"
"Nov 16, 2020","408.93","412.45","404.09","408.09","408.09","26,838,600"
"Nov 13, 2020","410.85","412.53","401.66","408.50","408.50","19,771,100"
"*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits."
