Host Last Discovered,VM Manager Name,Host Device Name,Host OS Name,Host Cores,Host Ram,VM Count Allocated,Total vCores Allocated,Total Ram Allocated,VM Count In Service,Total vCores In Service,Total Ram In Service,VMs Allocated,VMs In Service,Cores Percent Allocated,Ram Percent Allocated,Cores Percent In Service,Ram Percent In Service,Host ID
2021-11-12 05:13:12.090,"","esxi-004.device42.pvt","VMware ESXi",8,32,19,34,81,19,34,81,"Demo Lab RC 2 WDS | SCCM.d42test.pvt | SA-RHEL4 | photon-os | AMAT/HBC Backup | test-vm3 | sa-oracle-001 | autodisc-db.device42.pvt | Windows Server 2012r2 Core (no GUI) | iis6-w2k3-3-76 | autodisc-tomcat | WIN-V1BGG39U9C1.forest1.pvt | AIQtest | sa-rhel5-007 | bitnami-elk-4.6.4-0-linux-ubuntu-14.04-x86_64 | jira-7-dev.device42.pvt | ubuntu-chef-10.42.12.14 | D42-1410 | autodisc-httpd","Demo Lab RC 2 WDS | SCCM.d42test.pvt | SA-RHEL4 | photon-os | AMAT/HBC Backup | test-vm3 | sa-oracle-001 | autodisc-db.device42.pvt | Windows Server 2012r2 Core (no GUI) | iis6-w2k3-3-76 | autodisc-tomcat | WIN-V1BGG39U9C1.forest1.pvt | AIQtest | sa-rhel5-007 | bitnami-elk-4.6.4-0-linux-ubuntu-14.04-x86_64 | jira-7-dev.device42.pvt | ubuntu-chef-10.42.12.14 | D42-1410 | autodisc-httpd",425,253.125,425,253.125,1027
2021-11-12 13:24:20.040,"","ubu-integration-004-2-236.device42.pvt","Ubuntu",2,1,2,,,0,0,0,"44a8d27100fd | 2a61fec80db1","",,,0,0,4681
2021-02-19 05:06:36.836,"","RCJY-N7K1","nx-os",,,2,,,2,,,"RCJY-N7K1-DC | RCJY-N7K1-TEST","RCJY-N7K1-DC | RCJY-N7K1-TEST",,,,,4746
2021-02-19 05:06:37.116,"","RCJY-N7K2","nx-os",,,1,,,1,,,"RCJY-N7K2-DC","RCJY-N7K2-DC",,,,,4753
2021-11-11 21:29:12.036,"","solaris-001","Solaris",4,7.875,2,8,15.75,2,8,15.75,"zone2 | zone1","zone2 | zone1",200,200,200,200,5145
2021-11-12 13:24:20.066,"","openvz-001.device42.pvt","Virtuozzo",4,4,2,8,1024,2,8,1024,"vztest-ubuntu16 | vztest-centos7","vztest-ubuntu16 | vztest-centos7",200,25600,200,25600,5573
2021-11-11 18:25:12.103,"","xen-003","XenServer",64,2,7,5,41,0,0,0,"Device42-64-13.6.1 | Device42-v15 (2) | django-saml-test-001 | QuickBooks-001 | BB6E3FD6-1165-C93C-3C78-A5DC8E3CB0D1 | B2796E93-2A8D-AC8C-3C16-DDD8BC083CE3 | Device42_VM","",7.8125,2050,0,0,5606
2021-11-11 18:25:12.103,"","xenserver-001","XenServer",24,4,30,27,1842,12,10,1288,"machinery-001 | centos-68-001.device42.pvt | freebsd-93-001 | debian-85-001.device42.pvt | ****DONT START_LOMAX - foreman-001.device42.pvt | debian-711-001.device42.pvt | chef-001.device42.pvt | ubuntu-1204-001.device42.pvt | D42-IBM-Indo | centos-7-001 | oracle-7-001 | ansible-002.device42.pvt | XOA 5 | TURNKEY OPENLDAP | docker-001 | hadoop-001.device42.pvt | redhat-72-001 | zabbix-01 | atlassian-001.device42.pvt | snmpsim-248.device42.pvt | stackstorm-001.device42.pvt | jira-001.device42.pvt | snmpsim-001.device42.pvt | freebsd-11x86-001.device42.pvt | freebsd-103-001.device42.pvt | greg-dev.device42.pvt | racktables-001.device42.pvt | rundeck-001 | oracle-6-001.device42.pvt | ansible-001.device42.pvt","centos-68-001.device42.pvt | freebsd-93-001 | debian-85-001.device42.pvt | debian-711-001.device42.pvt | ubuntu-1204-001.device42.pvt | oracle-7-001 | ansible-002.device42.pvt | docker-001 | snmpsim-248.device42.pvt | snmpsim-001.device42.pvt | freebsd-103-001.device42.pvt | oracle-6-001.device42.pvt",112.5,46050,41.6667,32200,5610
2021-04-28 18:44:09.233,"","esxi-prod2.device42.pvt","VMware ESXi",16,80,26,83,120.382,26,83,120.382,"RemedyWin | Ishara-D42-13.2.0 | QAAuto-RC | Poorna-Power-Prod | Arslan-RC-Prod | greg-api-docs | stackstorm-demo-01 | matt-api-docs | D42-Docs-Anatolii | Arslan-dev-01 | Arslan-Power-Prod | D42-JG-Support | Daniel-Monapp-Dev-001 | Poorna-RC-Prod-OLD | Arslan-Power-Prod2 | Arslan-Main-Prod | Poorna-D42-10.1-Upgrade-Test | win02 | Shibboleth-001 | Poorna-RC-Prod-2 | D42-Demo-pre-centos | RemedySQL | Windows-Discovery-001 | Poorna-Main-Prod | D42-Internal-Power | rc-jg-support","RemedyWin | Ishara-D42-13.2.0 | QAAuto-RC | Poorna-Power-Prod | Arslan-RC-Prod | greg-api-docs | stackstorm-demo-01 | matt-api-docs | D42-Docs-Anatolii | Arslan-dev-01 | Arslan-Power-Prod | D42-JG-Support | Daniel-Monapp-Dev-001 | Poorna-RC-Prod-OLD | Arslan-Power-Prod2 | Arslan-Main-Prod | Poorna-D42-10.1-Upgrade-Test | win02 | Shibboleth-001 | Poorna-RC-Prod-2 | D42-Demo-pre-centos | RemedySQL | Windows-Discovery-001 | Poorna-Main-Prod | D42-Internal-Power | rc-jg-support",518.75,150.4775,518.75,150.4775,6143
2021-02-19 05:06:47.273,"","XenServer","XenServer",1,8,1,,1,1,,1,"Red Hat Enterprise Linux 6 (32-bit) (1)","Red Hat Enterprise Linux 6 (32-bit) (1)",,12.5,,12.5,6450
2021-02-19 05:06:47.920,"","NTNX-3fe24e3a-A.greg","Nutanix CE",4,16,1,,12,1,,12,"NTNX-3fe24e3a-A-CVM","NTNX-3fe24e3a-A-CVM",,75,,75,7337
2021-11-11 19:26:12.096,"","esxi-prod4.device42.pvt","VMware ESXi",8,132,29,79,190,14,36,98,"DevServices | Windows10-BuildMachine | dev_base | D42Test8 | D42Test7(BAD) | ServiceRewriteTestMachine | D42-Build | D42Test1 | rc99again | D42-RC | ac-packstack-test | rc-mt | ALERTS-RC | D42-RC-15.00.00Base | D42Test6 | D42Test5 | D42Test2 | D42-Build-Betas | D42Test4-BADBADSERVER | D42Test3 | D42Test4 | D42-Build-ProdBackup.old | dev-active | D42-Build-ProdBackup | D42-Build.15.xx | D42Test10 | phtnud01wh4212 | D42-Build-C | D42Test9","DevServices | Windows10-BuildMachine | D42-Build | D42Test1 | D42-RC | ac-packstack-test | ALERTS-RC | D42Test6 | D42Test5 | D42Test2 | D42Test3 | D42Test4 | D42Test10 | D42Test9",987.5,143.9394,450,74.2424,8151
2021-11-12 05:13:12.090,"","esxi-005.device42.pvt","VMware ESXi",8,32,14,30,95,14,30,95,"windows10-d42test-002 | ws2016-oracle-001 | Demo Res WH RC | WebSphere Developer 32-bit | openvz-001.device42.pvt | VRO | ubuntu16-ldap-tls12-001 | pxe-boot-test | Ian_Aaron_RC | Cisco Prime | DXC-D42MA | CentOS Solaris NetInstall | vcsa | DXC-MA-The2nding","windows10-d42test-002 | ws2016-oracle-001 | Demo Res WH RC | WebSphere Developer 32-bit | openvz-001.device42.pvt | VRO | ubuntu16-ldap-tls12-001 | pxe-boot-test | Ian_Aaron_RC | Cisco Prime | DXC-D42MA | CentOS Solaris NetInstall | vcsa | DXC-MA-The2nding",375,296.875,375,296.875,8155
2021-11-12 12:23:28.070,"","esxi-prod3.device42.pvt","VMware ESXi",8,96,1,4,16,1,4,16,"Prod AD and WDS Server","Prod AD and WDS Server",50,16.6667,50,16.6667,8158
2021-02-19 05:06:53.713,"","esxi-002","VMware ESXi",8,32,16,32,38,16,32,38,"suse-12sp1-002 | D42-ACcudata | D42-SandBox-RC | Device42-64-JL | TestRegister | D42-AllOptions Backup | Device42-64-Solutech | Unknown | Win2008r2 Fibre HBA Passthrough | Docs | D42-Chris | centOS-7-dev01 | Oracle Linux 6.7 | Unknown 1 | D42-RC_JL | D42-Client Backup","suse-12sp1-002 | D42-ACcudata | D42-SandBox-RC | Device42-64-JL | TestRegister | D42-AllOptions Backup | Device42-64-Solutech | Unknown | Win2008r2 Fibre HBA Passthrough | Docs | D42-Chris | centOS-7-dev01 | Oracle Linux 6.7 | Unknown 1 | D42-RC_JL | D42-Client Backup",400,118.75,400,118.75,9449
2021-07-07 18:54:43.890,"","dlasecki-MacBook-Pro","macOS",4,8,2,4,8,2,4,8,"dlasecki-lm19 | dlasecki-win10-test","dlasecki-lm19 | dlasecki-win10-test",100,100,100,100,10042
2021-02-19 05:07:00.453,"","win-1k-1.device42.pvt","VMware ESXi",16,68,54,73,9322,54,73,9322,"ubu-jira-software-250-132.device42.pvt | D42-RC-Proxy | RC-QA-3-249 | RC-QA-3-246 | RC-QA-3-244 | w2k8-min-250116 | w2k8-min-250115 | Wipro-rc-3143 | D42-RC-15095-250-131 | w2k8-min-250103 | w2k8-min-250113 | Wipro-rc-3144 | Wipro-rc-3141 | w2k8-min-250102 | w2k12-r2-250-122 | w2k8-min-250110 | D42-RC-15-00-GCP | RC-QA-3-250 | w2k8-min-250106 | RC-QA-3-240 | w2k8-min-250107 | w2k8-min-250109 | w2k8-min-250104 | RC-QA-3-247 | w2k8-min-250105 | w2k8-min-250111 | ubu-249-253.device42.pvt | RC-QA-3-241 | w2k8-min-2509 | w2k8-min-250108 | w2k8-min-25010 | RC-QA-3-243 | w2k8-min-250114 | MA-15-Pavel-250-123 | w2k8-min-250112 | Wipro-rc-3136 | ubu-ldap-sasl-250-126.device42.pvt | D42 | Sa-Test-D42-RC | Wipro-rc-3139 | Wipro-rc-3138 | RC-QA-3-248 | ubu-nginx-nginscript-250-121.device42.pvt | Wipro-rc-3137 | Wipro-rc-3146 | Wipro-rc-3145 | D42-Athena-15-12-09 | RC-QA-3-245 | w2k8-min-25099 | w2k8-min-250100 | RC-QA-3-242 | SA-Test-D42-MA | RC-3-135-250-124 | RU-RC-250-125","ubu-jira-software-250-132.device42.pvt | D42-RC-Proxy | RC-QA-3-249 | RC-QA-3-246 | RC-QA-3-244 | w2k8-min-250116 | w2k8-min-250115 | Wipro-rc-3143 | D42-RC-15095-250-131 | w2k8-min-250103 | w2k8-min-250113 | Wipro-rc-3144 | Wipro-rc-3141 | w2k8-min-250102 | w2k12-r2-250-122 | w2k8-min-250110 | D42-RC-15-00-GCP | RC-QA-3-250 | w2k8-min-250106 | RC-QA-3-240 | w2k8-min-250107 | w2k8-min-250109 | w2k8-min-250104 | RC-QA-3-247 | w2k8-min-250105 | w2k8-min-250111 | ubu-249-253.device42.pvt | RC-QA-3-241 | w2k8-min-2509 | w2k8-min-250108 | w2k8-min-25010 | RC-QA-3-243 | w2k8-min-250114 | MA-15-Pavel-250-123 | w2k8-min-250112 | Wipro-rc-3136 | ubu-ldap-sasl-250-126.device42.pvt | D42 | Sa-Test-D42-RC | Wipro-rc-3139 | Wipro-rc-3138 | RC-QA-3-248 | ubu-nginx-nginscript-250-121.device42.pvt | Wipro-rc-3137 | Wipro-rc-3146 | Wipro-rc-3145 | D42-Athena-15-12-09 | RC-QA-3-245 | w2k8-min-25099 | w2k8-min-250100 | RC-QA-3-242 | SA-Test-D42-MA | RC-3-135-250-124 | RU-RC-250-125",456.25,13708.8235,456.25,13708.8235,10100
2021-11-12 05:13:18.733,"","Solaris-RBAC","SunOS",1,3,2,2,6,2,2,6,"testzoneN | testzone","testzoneN | testzone",200,200,200,200,10269
2021-02-19 05:07:04.263,"","gke-d42-k8s-default-pool-78f70870-7qb6","Linux",1,3.75,9,,,9,,,"nginx-3_28b176018204 | nginx-3_8e480510c2b0 | kube-proxy_1e4fb0d56102 | master_b1635c8e4609 | slave_37bf96044c67 | prometheus-to-sd-new-model_7acadf204c7a | fluentd-gcp_caa34ab7c27b | prometheus-to-sd-exporter_3a94c6cb62ff | prometheus-to-sd_cca08ff03e5d","nginx-3_28b176018204 | nginx-3_8e480510c2b0 | kube-proxy_1e4fb0d56102 | master_b1635c8e4609 | slave_37bf96044c67 | prometheus-to-sd-new-model_7acadf204c7a | fluentd-gcp_caa34ab7c27b | prometheus-to-sd-exporter_3a94c6cb62ff | prometheus-to-sd_cca08ff03e5d",,,,,10274
2021-02-19 05:07:04.300,"","gke-d42-k8s-default-pool-78f70870-dccn","Linux",1,3.75,41,,,41,,,"sidecar_989f8c5493f6 | heapster-nanny_0ae41e3e37e6 | heapster_1d5b946f2b08 | dnsmasq_623c90fe426d | fluentd-gcp_7a39e363283a | web_66f28d57753c | slave_e0e9010ccfa9 | autoscaler_be12c4341093 | php-redis_7be4d14270dd | prom-to-sd_f81e43acf9b0 | php-redis_a360564b00d0 | prometheus-to-sd-exporter_40f7be5862ab | heapster_738c4c733a50 | prom-to-sd_1f8a92cacce1 | heapster-nanny_d0cd13d15a76 | nginx-3_2c7b32b696e1 | prometheus-to-sd_239e5f5f7d75 | nginx-3_bcd7f889afc6 | slave_e05c9c69dd0a | fluentd-gcp-scaler_e160999310d5 | kubedns_4b2724bc7f18 | dnsmasq_6a49db1989f6 | sidecar_4ad5fb74931e | prometheus-to-sd_cffce961fd46 | kube-proxy_b00894870469 | event-exporter_8bb65f3acfc2 | prometheus-to-sd-exporter_c5f43d6e18fd | fluentd-gcp-scaler_2a837ffc770f | prometheus-to-sd-exporter_0bdec6f6831c | kubedns_32887cb54cc2 | dnsmasq_2ff800b74461 | prometheus-to-sd_69bca3cc2761 | kubedns_b7da9efd6003 | sidecar_b5951ee83718 | prometheus-to-sd_fed8a3ab3def | metrics-server_78fdcb819367 | metrics-server-nanny_5be4cd1318ff | php-rsidecar_989f8c5493f6 | heapster-nanny_0ae41e3e37e6 | heapster_1d5b946f2b08 | dnsmasq_623c90fe426d | fluentd-gcp_7a39e363283a | web_66f28d57753c | slave_e0e9010ccfa9 | autoscaler_be12c4341093 | php-redis_7be4d14270dd | prom-to-sd_f81e43acf9b0 | php-redis_a360564b00d0 | prometheus-to-sd-exporter_40f7be5862ab | heapster_738c4c733a50 | prom-to-sd_1f8a92cacce1 | heapster-nanny_d0cd13d15a76 | nginx-3_2c7b32b696e1 | prometheus-to-sd_239e5f5f7d75 | nginx-3_bcd7f889afc6 | slave_e05c9c69dd0a | fluentd-gcp-scaler_e160999310d5 | kubedns_4b2724bc7f18 | dnsmasq_6a49db1989f6 | sidecar_4ad5fb74931e | prometheus-to-sd_cffce961fd46 | kube-proxy_b00894870469 | event-exporter_8bb65f3acfc2 | prometheus-to-sd-exporter_c5f43d6e18fd | fluentd-gcp-scaler_2a837ffc770f | prometheus-to-sd-exporter_0bdec6f6831c | kubedns_32887cb54cc2 | dnsmasq_2ff800b74461 | prometheus-to-sd_69bca3cc2761 | kubedns_b7da9efd6003 | sidecar_b5951ee83718 | prometheus-to-sd_fed8a3ab3def | metrics-server_78fdcb819367 | metrics-server-nanny_5be4cd1318ff | php-redis_ff56156a26a7 | php-redis_4e581bc5d2d2 | nginx_8c962182851b | fluentd-gcp_31a2afaa1e90","sidecar_989f8c5493f6 | heapster-nanny_0ae41e3e37e6 | heapster_1d5b946f2b08 | dnsmasq_623c90fe426d | fluentd-gcp_7a39e363283a | web_66f28d57753c | slave_e0e9010ccfa9 | autoscaler_be12c4341093 | php-redis_7be4d14270dd | prom-to-sd_f81e43acf9b0 | php-redis_a360564b00d0 | prometheus-to-sd-exporter_40f7be5862ab | heapster_738c4c733a50 | prom-to-sd_1f8a92cacce1 | heapster-nanny_d0cd13d15a76 | nginx-3_2c7b32b696e1 | prometheus-to-sd_239e5f5f7d75 | nginx-3_bcd7f889afc6 | slave_e05c9c69dd0a | fluentd-gcp-scaler_e160999310d5 | kubedns_4b2724bc7f18 | dnsmasq_6a49db1989f6 | sidecar_4ad5fb74931e | prometheus-to-sd_cffce961fd46 | kube-proxy_b00894870469 | event-exporter_8bb65f3acfc2 | prometheus-to-sd-exporter_c5f43d6e18fd | fluentd-gcp-scaler_2a837ffc770f | prometheus-to-sd-exporter_0bdec6f6831c | kubedns_32887cb54cc2 | dnsmasq_2ff800b74461 | prometheus-to-sd_69bca3cc2761 | kubedns_b7da9efd6003 | sidecar_b5951ee83718 | prometheus-to-sd_fed8a3ab3def | metrics-server_78fdcb819367 | metrics-server-nanny_5be4cd1318ff | php-redis_ff56156a26a7 | php-redis_4e581bc5d2d2 | nginx_8c962182851b | fluentd-gcp_31a2afaa1e90",,,,,10275
2021-02-19 05:07:04.336,"","gke-d42-k8s-default-pool-78f70870-s5wh","Linux",1,3.75,38,,,38,,,"prometheus-to-sd_d1773a02ab77 | kubernetes-dashboard_89e2d3848aaa | kube-proxy_8ead11538f03 | metrics-server-nanny_e64508b4d921 | metrics-server_e61811cf8a1b | prometheus-to-sd_992f450a4f6d | default-http-backend_d96108949554 | master_d7c94b479cfd | nginx_88d5727ce3ed | php-redis_9f186a34424b | nginx-3_0a1c60ed7e92 | nginx-3_8903d4e31294 | master_0c95978e97a6 | web_3bfdcdc335a4 | prometheus-to-sd-exporter_819b1eafb398 | heapster_150a68b50ef9 | heapster-nanny_0a27924a7996 | prometheus-to-sd_926f504a5acf | prometheus-to-sd_290222c5c2e2 | dnsmasq_77ab6650d228 | php-redis_336735db75ee | kubedns_c04d6cdac278 | fluentd-gcp_8da9d9f3ad9e | prometheus-to-sd-exporter_33b299126bd6 | prometheus-to-sd-exporter_c02ca7842d87 | default-http-backend_c36e1adbec64 | kubedns_d1f95d00ef75 | sidecar_51706168bb7d | sidecar_bc58d8a71252 | sidecar_10a83fe4d70b | event-exporter_522076529b4b | kubernetes-dashboard_0eca29fe2b5a | fluentd-gcp_19e812570289 | dnsmasq_997f3a6a1ddb | slave_aa39991dc893 | dnsmasq_9a698518c250 | kubedns_9a1af111c82e | prom-to-sd_3d8d6c16692a","prometheus-to-sd_d1773a02ab77 | kubernetes-dashboard_89e2d3848aaa | kube-proxy_8ead11538f03 | metrics-server-nanny_e64508b4d921 | metrics-server_e61811cf8a1b | prometheus-to-sd_992f450a4f6d | default-http-backend_d96108949554 | master_d7c94b479cfd | nginx_88d5727ce3ed | php-redis_9f186a34424b | nginx-3_0a1c60ed7e92 | nginx-3_8903d4e31294 | master_0c95978e97a6 | web_3bfdcdc335a4 | prometheus-to-sd-exporter_819b1eafb398 | heapster_150a68b50ef9 | heapster-nanny_0a27924a7996 | prometheus-to-sd_926f504a5acf | prometheus-to-sd_290222c5c2e2 | dnsmasq_77ab6650d228 | php-redis_336735db75ee | kubedns_c04d6cdac278 | fluentd-gcp_8da9d9f3ad9e | prometheus-to-sd-exporter_33b299126bd6 | prometheus-to-sd-exporter_c02ca7842d87 | default-http-backend_c36e1adbec64 | kubedns_d1f95d00ef75 | sidecar_51706168bb7d | sidecar_bc58d8a71252 | sidecar_10a83fe4d70b | event-exporter_522076529b4b | kubernetes-dashboard_0eca29fe2b5a | fluentd-gcp_19e812570289 | dnsmasq_997f3a6a1ddb | slave_aa39991dc893 | dnsmasq_9a698518c250 | kubedns_9a1af111c82e | prom-to-sd_3d8d6c16692a",,,,,10276
2021-04-27 21:38:39.746,"","openstack-10-42-12-5","",8,15.999,3,3,578,3,3,578,"test12 | ubuntu.domain.com | test01","test12 | ubuntu.domain.com | test01",37.5,3612.7258,37.5,3612.7258,10354
2021-02-24 12:52:13.046,"","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","CentOS",4,32,12,,,12,,,"selenium-hub_b8778c34440d | quizzical_golick_89abd2c9f9c8 | clever_payne_7929f6e62ddc | adoring_feynman_969e425ce64d | awesome_einstein_f4b4d44248ee | frosty_hoover_a0468539e2b7 | festive_saha_84ad8f6e1208 | sharp_curie_1637da942943 | my-postgres_57e13cac5c32 | laughing_shannon_3f67415ae5af | relaxed_bose_d64c244e7cf1 | boring_goldberg_34b71e708ffb","selenium-hub_b8778c34440d | quizzical_golick_89abd2c9f9c8 | clever_payne_7929f6e62ddc | adoring_feynman_969e425ce64d | awesome_einstein_f4b4d44248ee | frosty_hoover_a0468539e2b7 | festive_saha_84ad8f6e1208 | sharp_curie_1637da942943 | my-postgres_57e13cac5c32 | laughing_shannon_3f67415ae5af | relaxed_bose_d64c244e7cf1 | boring_goldberg_34b71e708ffb",,,,,10387
2021-02-24 12:52:21.050,"","qa-ubujen-90-4-18","Ubuntu",4,32,1,,,1,,,"performanceContainer_455c77fdbd10","performanceContainer_455c77fdbd10",,,,,10389
2021-02-24 12:52:21.246,"","docker-90214.device42.pvt","Ubuntu",2,4,1,,,1,,,"e044361f0467","e044361f0467",,,,,10392
2021-11-12 13:26:12.063,"","peter-ubu1804-90614.device42.pvt","Ubuntu",2,8,2,,,2,,,"mongo_mongo-express_1_aeac3e7cf692 | mongo_mongo_1_655046144a84","mongo_mongo-express_1_aeac3e7cf692 | mongo_mongo_1_655046144a84",,,,,10403
2021-11-12 05:13:15.946,"","d42-build002.device42.pvt","VMware ESXi",12,128,4,34,108,4,34,108,"MGMT01 | XEN7.4 | raw01.d42.local | Device42-17-07.00","MGMT01 | XEN7.4 | raw01.d42.local | Device42-17-07.00",283.3333,84.375,283.3333,84.375,10471
2021-11-12 08:10:12.086,"","esxi-90-0-3","VMware ESXi",16,128,12,17,54,12,17,54,"QA-RC-90-3-9 | QA-RC-90-3-8 | Uma-QA-MA-90-3-18 | WINDOWS-S5H7MOG | QA-RC-90-3-16 | WINDOWS-DDRLG6H | win-90313 | QA-MA-90-3-15 | win-90317 | QA-MA-90-3-5 | Uma-QA-RC-90-3-19 | QA-MA-90-3-4","QA-RC-90-3-9 | QA-RC-90-3-8 | Uma-QA-MA-90-3-18 | WINDOWS-S5H7MOG | QA-RC-90-3-16 | WINDOWS-DDRLG6H | win-90313 | QA-MA-90-3-15 | win-90317 | QA-MA-90-3-5 | Uma-QA-RC-90-3-19 | QA-MA-90-3-4",106.25,42.1875,106.25,42.1875,10491
2021-10-26 14:52:12.380,"d42-vcenter.device42.pvt","10.42.0.157","VMware ESXi",8,128,46,100,2797,2,6,24,"Joecentos03 | Dev_Kubernetes | centos-3-105 | AdamcentosQA-3-130 | Joecentos05 | centosdoc-3-121 | Joecentos08 | vagrant | ubu-influx-meta03-3-117 | OmarTestVM | Roman-Dev-64-3-94 | jumpd42test-3-120 | MW - Windows | bsd.my.domain | d42centosdev03 | Joecentos06 | ubu-influx-meta01-3-115 | Roman-Dev-64-3-95 | mw-ubuntu | centos_roman_dev42_test1-3-131 | d42centosqa3 | win2ktest-3-137 | Device42-64-14.10.0-Racktables-3-114 | jayloqa-14.17-64bit-3-142 | Joecentos04 | ubu-dev-kubernetes-3-100 | connector | AWS-Device42-v15.00.00 | AdamcentosQA | d42centosqa4 | d42-vcenter.device42.pvt | d42centosdev05 | matt-marketing | ubu-dev-kubernetes-node2-3-103 | ubu-influx-node02-3-119 | ubu-influx-meta01-3-116 | ubu-influx-node01-3-118 | centos7-min-test | Joecentos01 | Joecentos02 | wathek-dev | Joecentos07 | D42-v13.8.0-3-122 | jiratocentos-3-141 | ubu-dev-kubernetes-node1-3-102 | d42centosdev04","centos-3-105 | d42-vcenter.device42.pvt",1250,2185.1563,75,18.75,10509
