TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,USER_DATA_TYPE,ODBC Type Name,TableKey
"sample_mflix","","movies","tomatoes.rotten",-5,"bigint",19,20,0,10,1,"","",-5,,,27,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.viewer.meter",-5,"bigint",19,20,0,10,1,"","",-5,,,28,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.viewer.numReviews",-5,"bigint",19,20,0,10,1,"","",-5,,,29,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.viewer.rating",8,"double",15,8,,,1,"","",8,,,30,"YES",,"DOUBLE","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.website",12,"varchar",21845,65535,,,1,"","''",12,,65535,31,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","type",12,"varchar",21845,65535,,,1,"","''",12,,65535,32,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","year",12,"varchar",21845,65535,,,1,"","''",12,,65535,33,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies_cast","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies_cast]"
"sample_mflix","","movies_cast","cast",12,"varchar",21845,65535,,,1,"","''",12,,65535,2,"YES",,"VARCHAR","[sample_mflix].[].[movies_cast]"
"sample_mflix","","movies_cast","cast_idx",-5,"bigint",19,20,0,10,1,"","",-5,,,3,"YES",,"BIGINT","[sample_mflix].[].[movies_cast]"
"sample_mflix","","movies_countries","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies_countries]"
"sample_mflix","","movies_countries","countries",12,"varchar",21845,65535,,,1,"","''",12,,65535,2,"YES",,"VARCHAR","[sample_mflix].[].[movies_countries]"
"sample_mflix","","movies_countries","countries_idx",-5,"bigint",19,20,0,10,1,"","",-5,,,3,"YES",,"BIGINT","[sample_mflix].[].[movies_countries]"
"sample_mflix","","movies_directors","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies_directors]"
"sample_mflix","","movies_directors","directors",12,"varchar",21845,65535,,,1,"","''",12,,65535,2,"YES",,"VARCHAR","[sample_mflix].[].[movies_directors]"
"sample_mflix","","movies_directors","directors_idx",-5,"bigint",19,20,0,10,1,"","",-5,,,3,"YES",,"BIGINT","[sample_mflix].[].[movies_directors]"
"sample_mflix","","movies_genres","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies_genres]"
"sample_mflix","","movies_genres","genres",12,"varchar",21845,65535,,,1,"","''",12,,65535,2,"YES",,"VARCHAR","[sample_mflix].[].[movies_genres]"
"sample_mflix","","movies_genres","genres_idx",-5,"bigint",19,20,0,10,1,"","",-5,,,3,"YES",,"BIGINT","[sample_mflix].[].[movies_genres]"
"sample_mflix","","movies_languages","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies_languages]"
"sample_mflix","","movies_languages","languages",12,"varchar",21845,65535,,,1,"","''",12,,65535,2,"YES",,"VARCHAR","[sample_mflix].[].[movies_languages]"
"sample_mflix","","movies_languages","languages_idx",-5,"bigint",19,20,0,10,1,"","",-5,,,3,"YES",,"BIGINT","[sample_mflix].[].[movies_languages]"
"sample_mflix","","movies_writers","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies_writers]"
"sample_mflix","","movies_writers","writers",12,"varchar",21845,65535,,,1,"","''",12,,65535,2,"YES",,"VARCHAR","[sample_mflix].[].[movies_writers]"
"sample_mflix","","movies_writers","writers_idx",-5,"bigint",19,20,0,10,1,"","",-5,,,3,"YES",,"BIGINT","[sample_mflix].[].[movies_writers]"
