ISO,Country,Year,GDP (bn),% change
"MNE","Montenegro",2019,3.099,4.053
"MNG","Mongolia",2019,19050.46,5.159
"MOZ","Mozambique",2019,675.559,2.284
"MRT","Mauritania",2019,237.621,5.58
"MUS","Mauritius",2019,369.061,3.015
"MWI","Malawi",2019,1468.77,4.5
"MYS","Malaysia",2019,1421.45,4.303
"NAM","Namibia",2019,51.11,-1.649
"NER","Niger",2019,7217.15,5.907
"NGA","Nigeria",2019,72094.1,2.208
"NIC","Nicaragua",2019,171.846,-3.879
"NLD","Netherlands",2019,755.248,1.677
"NOR","Norway",2019,3584.17,0.852
"NPL","Nepal",2019,2339.74,6.657
"NRU","Nauru",2019,0.087,0.959
"NZL","New Zealand",2019,257.329,2.43
"OMN","Oman",2019,28.85,-0.825
"PAK","Pakistan",2019,12580.17,1.911
"PAN","Panama",2019,43.033,3.04
"PER","Peru",2019,546.731,2.226
"PHL","Philippines",2019,19368.51,6.041
"PLW","Palau",2019,0.283,-1.769
"PNG","Papua New Guinea",2019,66.582,5.86
"POL","Poland",2019,2144.87,4.541
"PRI","Puerto Rico",2019,9.551,1.187
"PRT","Portugal",2019,203.47,2.489
"PRY","Paraguay",2019,209565.05,-0.03
"QAT","Qatar",2019,672.51,0.775
"ROU","Romania",2019,870.263,4.127
"RUS","Russia",2019,91445.1,2.029
"RWA","Rwanda",2019,9139,9.397
"SAU","Saudi Arabia",2019,2639.81,0.331
"SDN","Sudan",2019,20.83,-2.536
"SEN","Senegal",2019,13170.29,4.402
"SGP","Singapore",2019,479.681,1.345
"SLB","Solomon Islands",2019,11.095,1.204
"SLE","Sierra Leone",2019,10233.33,5.508
"SLV","El Salvador",2019,25.439,2.382
"SMR","San Marino",2019,1.234,2.374
"SOM","Somalia",2019,4.548,2.9
"SRB","Serbia",2019,4959.55,4.249
"SSD","South Sudan",2019,16.571,0.87
"STP","São Tomé and Príncipe",2019,4.256,1.302
"SUR","Suriname",2019,9.74,0.268
"SVK","Slovak Republic",2019,89.13,2.317
"SVN","Slovenia",2019,43.238,3.184
"SWE","Sweden",2019,5025.06,1.37
"SWZ","Eswatini",2019,42.663,2.244
"SYC","Seychelles",2019,9.132,1.915
"TCD","Chad",2019,5426.04,2.96
"TGO","Togo",2019,4128.96,5.464
"THA","Thailand",2019,10932.07,2.266
"TJK","Tajikistan",2019,0.297,7.5
"TKM","Turkmenistan",2019,120.585,6.33
"TLS","Timor-Leste",2019,1.592,1.801
"TON","Tonga",2019,1.028,0.732
"TTO","Trinidad and Tobago",2019,154.101,-1.246
"TUN","Tunisia",2019,73.729,0.981
"TUR","Turkey",2019,1772.23,0.917
"TUV","Tuvalu",2019,0.045,6.007
"TWN","Taiwan Province of China",2019,19194.64,2.964
"TZA","Tanzania",2019,123175.84,6.971
"UGA","Uganda",2019,128721.05,8.041
"UKR","Ukraine",2019,2609.15,3.233
"URY","Uruguay",2019,1768.72,0.331
"USA","United States",2019,19091.65,2.161
"UVK","Kosovo",2019,6.892,4.939
"UZB","Uzbekistan",2019,259870.62,5.798
"VCT","St. Vincent and the Grenadines",2019,1.823,0.342
"VEN","Venezuela",2019,,-35
"VNM","Vietnam",2019,4833253.12,7.017
"VUT","Vanuatu",2019,70.602,3.265
"WBG","West Bank and Gaza",2019,61.525,1.363
"WSM","Samoa",2019,2.047,3.58
"YEM","Yemen",2019,232.363,2.1
"ZAF","South Africa",2019,3149.34,0.153
"ZMB","Zambia",2019,141.701,1.441
"ZWE","Zimbabwe",2019,18.387,-7.406
"ABW","Aruba",2020,2.581,-25.457
"AFG","Afghanistan",2020,1253.91,-5
"AGO","Angola",2020,1484.09,-3.975
"ALB","Albania",2020,810.069,-3.5
"ARE","United Arab Emirates",2020,1398.22,-5.924
"ARG","Argentina",2020,623.986,-9.956
"ARM","Armenia",2020,3790.43,-7.571
"ATG","Antigua and Barbuda",2020,2.994,-17.273
"AUS","Australia",2020,1924.71,-2.438
"AUT","Austria",2020,349.401,-6.59
"AZE","Azerbaijan",2020,28.551,-4.29
"BDI","Burundi",2020,1756.9,-1.282
"BEL","Belgium",2020,415.615,-6.424
"BEN","Benin",2020,8550.64,1.997
"BFA","Burkina Faso",2020,8953.66,0.793
"BGD","Bangladesh",2020,11477.97,3.798
"BGR","Bulgaria",2020,98.707,-3.844
"BHR","Bahrain",2020,12.222,-5.395
"BHS","The Bahamas",2020,9.651,-16.281
"BIH","Bosnia and Herzegovina",2020,30.671,-5.5
"BLR","Belarus",2020,122.972,-0.9
"BLZ","Belize",2020,2.475,-14.089
"BOL","Bolivia",2020,45.464,-7.7
"BRA","Brazil",2020,1157.47,-4.059
"BRB","Barbados",2020,7.615,-17.6
"BRN","Brunei Darussalam",2020,19.328,1.203
"BTN","Bhutan",2020,69.322,-0.817
"BWA","Botswana",2020,91.249,-8.25
"CAF","Central African Republic",2020,762.766,-0.015
"CAN","Canada",2020,1988.72,-5.403
"CHE","Switzerland",2020,708.147,-2.983
"CHL","Chile",2020,145666.43,-5.841
"CHN","China",2020,91307.37,2.27
"CIV","Côte d'Ivoire",2020,36199.37,2.277
"CMR","Cameroon",2020,16423.29,-2.769
"COD","Democratic Republic of the Congo",2020,12651.32,-0.064
"COG","Republic of Congo",2020,3877.95,-7.813
"COL","Colombia",2020,821633,-6.847
"COM","Comoros",2020,418.165,-0.503
"CPV","Cabo Verde",2020,144.659,-14.029
"CRI","Costa Rica",2020,34092.25,-4.796
"CYP","Cyprus",2020,20.528,-5.106
"CZE","Czech Republic",2020,4973.93,-5.556
"DEU","Germany",2020,3073.85,-4.903
"DJI","Djibouti",2020,542.913,-1
"DMA","Dominica",2020,1.071,-10.445
"DNK","Denmark",2020,2083.1,-3.287
"DOM","Dominican Republic",2020,2449.8,-6.731
"DZA","Algeria",2020,7068.59,-5.992
"ECU","Ecuador",2020,66.488,-7.5
"EGY","Egypt",2020,3995.2,3.57
"ERI","Eritrea",2020,33.931,-0.627
"ESP","Spain",2020,1063.02,-10.964
"EST","Estonia",2020,24.062,-2.932
"ETH","Ethiopia",2020,1989.52,6.057
"FIN","Finland",2020,223.442,-2.893
"FJI","Fiji",2020,8.655,-19
"FRA","France",2020,2132.55,-8.232
"FSM","Micronesia",2020,0.25,-1.639
"GAB","Gabon",2020,5647.81,-1.757
"GBR","United Kingdom",2020,1956.99,-9.92
"GEO","Georgia",2020,37.849,-6.1
"GHA","Ghana",2020,166.008,0.88
"GIN","Guinea",2020,70902.07,5.225
"GMB","The Gambia",2020,61.673,0
"GNB","Guinea-Bissau",2020,792.541,-2.4
"GNQ","Equatorial Guinea",2020,4783.01,-5.778
"GRC","Greece",2020,168.463,-8.248
"GRD","Grenada",2020,2.176,-13.464
"GTM","Guatemala",2020,505.563,-1.5
"GUY","Guyana",2020,1497.07,43.384
"HKG","Hong Kong SAR",2020,2627.74,-6.142
"HND","Honduras",2020,202.776,-8
"HRV","Croatia",2020,349.924,-9
"HTI","Haiti",2020,618.352,-3.7
"HUN","Hungary",2020,38997.62,-4.962
"IDN","Indonesia",2020,10722442.7,-2.07
"IND","India",2020,134088.8,-7.965
"IRL","Ireland",2020,355.805,2.475
"IRN","Islamic Republic of Iran",2020,6381195.4,1.516
"IRQ","Iraq",2020,188801.62,-10.885
"ISL","Iceland",2020,2566.31,-6.649
"ISR","Israel",2020,1311.05,-2.377
"ITA","Italy",2020,1572.64,-8.871
"JAM","Jamaica",2020,701.176,-10.223
"JOR","Jordan",2020,29.457,-1.973
"JPN","Japan",2020,528952,-4.83
"KAZ","Kazakhstan",2020,14400.92,-2.598
"KEN","Kenya",2020,5042.89,-0.127
"KGZ","Kyrgyz Republic",2020,171.517,-7.98
"KHM","Cambodia",2020,54607.48,-3.532
"KIR","Kiribati",2020,0.202,-0.476
"KNA","St. Kitts and Nevis",2020,1.732,-18.65
"KOR","Korea",2020,1831249.6,-0.958
"KWT","Kuwait",2020,36.224,-8.134
"LAO","Lao P.D.R.",2020,128886.89,-0.435
"LBN","Lebanon",2020,44897.16,-25
"LBR","Liberia",2020,3.088,-2.967
"LBY","Libya",2020,11.031,-59.719
"LCA","St. Lucia",2020,4.605,-18.85
"LKA","Sri Lanka",2020,9530.61,-3.569
"LSO","Lesotho",2020,20.752,-4.543
"LTU","Lithuania",2020,42.942,-0.823
"LUX","Luxembourg",2020,51.3,-1.314
"LVA","Latvia",2020,26.555,-3.624
"MAC","Macao SAR",2020,189.934,-56.306
"MAR","Morocco",2020,934.903,-7.021
"MDA","Moldova",2020,12.317,-7.5
"MDG","Madagascar",2020,20953.4,-4.239
"MDV","Maldives",2020,52.283,-32.243
"MEX","Mexico",2020,16984.82,-8.239
"MHL","Marshall Islands",2020,0.204,-3.3
"MKD","North Macedonia",2020,445.89,-4.532
"MLI","Mali",2020,5314.03,-1.983
"MLT","Malta",2020,11.614,-7.001
"MMR","Myanmar",2020,91990.62,3.189
"MNE","Montenegro",2020,2.627,-15.205
"MNG","Mongolia",2020,18034.02,-5.336
"MOZ","Mozambique",2020,672.181,-0.5
"MRT","Mauritania",2020,232.486,-2.161
"MUS","Mauritius",2020,310.75,-15.8
"MWI","Malawi",2020,1477.58,0.6
"MYS","Malaysia",2020,1342.03,-5.588
"NAM","Namibia",2020,47.408,-7.243
"NER","Niger",2020,7303.75,1.2
"NGA","Nigeria",2020,70800.54,-1.794
"NIC","Nicaragua",2020,166.69,-3
"NLD","Netherlands",2020,726.578,-3.796
"NOR","Norway",2020,3556.85,-0.762
"NPL","Nepal",2020,2295.81,-1.878
"NRU","Nauru",2020,0.088,0.706
"NZL","New Zealand",2020,249.633,-2.991
"OMN","Oman",2020,27.013,-6.367
"PAK","Pakistan",2020,12531.79,-0.385
"PAN","Panama",2020,35.309,-17.949
"PER","Peru",2020,485.961,-11.115
"PHL","Philippines",2020,17525.99,-9.513
"PLW","Palau",2020,0.254,-10.286
"PNG","Papua New Guinea",2020,63.999,-3.879
"POL","Poland",2020,2086.45,-2.723
"PRI","Puerto Rico",2020,8.835,-7.5
"PRT","Portugal",2020,188.032,-7.587
"PRY","Paraguay",2020,207678.97,-0.9
"QAT","Qatar",2020,654.914,-2.616
"ROU","Romania",2020,836.323,-3.9
"RUS","Russia",2020,88650.8,-3.056
"RWA","Rwanda",2020,9120.85,-0.199
"SAU","Saudi Arabia",2020,2530.33,-4.147
"SDN","Sudan",2020,20.074,-3.63
"SEN","Senegal",2020,13279.34,0.828
"SGP","Singapore",2020,453.821,-5.391
"SLB","Solomon Islands",2020,10.616,-4.32
"SLE","Sierra Leone",2020,10003.23,-2.249
"SLV","El Salvador",2020,23.256,-8.58
"SMR","San Marino",2020,1.114,-9.745
"SOM","Somalia",2020,4.48,-1.5
"SRB","Serbia",2020,4910.96,-0.98
"SSD","South Sudan",2020,15.479,-6.589
"STP","São Tomé and Príncipe",2020,3.979,-6.5
"SUR","Suriname",2020,8.429,-13.455
"SVK","Slovak Republic",2020,84.495,-5.2
"SVN","Slovenia",2020,40.846,-5.532
"SWE","Sweden",2020,4883.47,-2.818
"SWZ","Eswatini",2020,41.238,-3.342
"SYC","Seychelles",2020,7.912,-13.359
"TCD","Chad",2020,5377.91,-0.887
"TGO","Togo",2020,4157.86,0.7
"THA","Thailand",2020,10266.61,-6.087
"TJK","Tajikistan",2020,0.311,4.5
"TKM","Turkmenistan",2020,121.529,0.782
"TLS","Timor-Leste",2020,1.484,-6.8
"TON","Tonga",2020,1.023,-0.466
"TTO","Trinidad and Tobago",2020,142.032,-7.832
"TUN","Tunisia",2020,67.241,-8.8
"TUR","Turkey",2020,1804.02,1.794
"TUV","Tuvalu",2020,0.045,0.53
"TWN","Taiwan Province of China",2020,19791.3,3.109
"TZA","Tanzania",2020,124442.81,1.029
"UGA","Uganda",2020,126013,-2.104
"UKR","Ukraine",2020,2499.09,-4.218
"URY","Uruguay",2020,1667.91,-5.7
"USA","United States",2020,18422.53,-3.505
"UVK","Kosovo",2020,6.479,-6
"UZB","Uzbekistan",2020,264152.8,1.648
"VCT","St. Vincent and the Grenadines",2020,1.746,-4.18
"VEN","Venezuela",2020,,-30
"VNM","Vietnam",2020,4973699.78,2.906
"VUT","Vanuatu",2020,64.082,-9.235
"WBG","West Bank and Gaza",2020,54.782,-10.96
"WSM","Samoa",2020,1.982,-3.154
"YEM","Yemen",2020,220.745,-5
"ZAF","South Africa",2020,2930.16,-6.96
"ZMB","Zambia",2020,136.746,-3.497
"ZWE","Zimbabwe",2020,16.916,-8.002
"ABW","Aruba",2021,2.709,4.951
"AFG","Afghanistan",2021,1304.06,4
"AGO","Angola",2021,1489.62,0.373
"ALB","Albania",2021,850.572,5
"ARE","United Arab Emirates",2021,1441.46,3.092
"ARG","Argentina",2021,660.421,5.839
"ARM","Armenia",2021,3828.5,1.005
"ATG","Antigua and Barbuda",2021,2.905,-2.987
"AUS","Australia",2021,2012.06,4.538
"AUT","Austria",2021,361.552,3.478
"AZE","Azerbaijan",2021,29.213,2.318
"BDI","Burundi",2021,1806.34,2.814
"BEL","Belgium",2021,432.42,4.043
"BEN","Benin",2021,8975.75,4.972
"BFA","Burkina Faso",2021,9334.72,4.256
"BGD","Bangladesh",2021,12055.86,5.035
"BGR","Bulgaria",2021,103.05,4.4
"BHR","Bahrain",2021,12.625,3.294
"BHS","The Bahamas",2021,9.843,1.998
"BIH","Bosnia and Herzegovina",2021,31.745,3.5
"BLR","Belarus",2021,122.491,-0.392
"BLZ","Belize",2021,2.523,1.92
"BOL","Bolivia",2021,47.965,5.5
"BRA","Brazil",2021,1199.77,3.655
"BRB","Barbados",2021,7.928,4.1
"BRN","Brunei Darussalam",2021,19.647,1.646
"BTN","Bhutan",2021,67.994,-1.916
"BWA","Botswana",2021,98.097,7.505
"CAF","Central African Republic",2021,789.396,3.491
"CAN","Canada",2021,2089.05,5.045
"CHE","Switzerland",2021,732.857,3.489
"CHL","Chile",2021,154659.56,6.174
"CHN","China",2021,99010.75,8.437
"CIV","Côte d'Ivoire",2021,38355.48,5.956
"CMR","Cameroon",2021,16987.76,3.437
"COD","Democratic Republic of the Congo",2021,13128.22,3.77
"COG","Republic of Congo",2021,3886.33,0.216
"COL","Colombia",2021,863945.97,5.15
"COM","Comoros",2021,418.165,0
"CPV","Cabo Verde",2021,152.994,5.762
"CRI","Costa Rica",2021,34977.06,2.595
"CYP","Cyprus",2021,21.147,3.018
"CZE","Czech Republic",2021,5183.71,4.218
"DEU","Germany",2021,3184.58,3.602
"DJI","Djibouti",2021,570.059,5
"DMA","Dominica",2021,1.067,-0.388
"DNK","Denmark",2021,2140.59,2.76
"DOM","Dominican Republic",2021,2584.06,5.481
"DZA","Algeria",2021,7271.06,2.864
"ECU","Ecuador",2021,68.152,2.502
"EGY","Egypt",2021,4094.01,2.473
"ERI","Eritrea",2021,34.611,2.004
"ESP","Spain",2021,1130.79,6.375
"EST","Estonia",2021,24.88,3.4
"ETH","Ethiopia",2021,2029.08,1.989
"FIN","Finland",2021,228.528,2.276
"FJI","Fiji",2021,9.088,5
"FRA","France",2021,2256.5,5.812
"FSM","Micronesia",2021,0.241,-3.71
"GAB","Gabon",2021,5713.93,1.171
"GBR","United Kingdom",2021,2061.57,5.344
"GEO","Georgia",2021,39.173,3.5
"GHA","Ghana",2021,173.71,4.639
"GIN","Guinea",2021,74841.44,5.556
"GMB","The Gambia",2021,65.373,6
"GNB","Guinea-Bissau",2021,816.318,3
"GNQ","Equatorial Guinea",2021,4973.31,3.979
"GRC","Greece",2021,174.795,3.758
"GRD","Grenada",2021,2.143,-1.529
"GTM","Guatemala",2021,528.314,4.5
"GUY","Guyana",2021,1742.49,16.394
"HKG","Hong Kong SAR",2021,2740.43,4.289
"HND","Honduras",2021,211.901,4.5
"HRV","Croatia",2021,366.371,4.7
"HTI","Haiti",2021,624.535,1
"HUN","Hungary",2021,40674.52,4.3
"IDN","Indonesia",2021,11183694.67,4.302
"IND","India",2021,150911.74,12.546
"IRL","Ireland",2021,370.871,4.234
"IRN","Islamic Republic of Iran",2021,6543232.56,2.539
"IRQ","Iraq",2021,190906.59,1.115
"ISL","Iceland",2021,2661.43,3.707
"ISR","Israel",2021,1376.48,4.991
"ITA","Italy",2021,1637.91,4.15
"JAM","Jamaica",2021,711.45,1.465
"JOR","Jordan",2021,30.055,2.028
"JPN","Japan",2021,546155.23,3.252
"KAZ","Kazakhstan",2021,14861.21,3.196
"KEN","Kenya",2021,5424.13,7.56
"KGZ","Kyrgyz Republic",2021,181.79,5.99
"KHM","Cambodia",2021,56876.34,4.155
"KIR","Kiribati",2021,0.206,1.79
"KNA","St. Kitts and Nevis",2021,1.698,-2
"KOR","Korea",2021,1896900.82,3.585
"KWT","Kuwait",2021,36.462,0.657
"LAO","Lao P.D.R.",2021,134870.14,4.642
"LBR","Liberia",2021,3.198,3.56
"LBY","Libya",2021,25.48,130.981
"LCA","St. Lucia",2021,4.749,3.142
"LKA","Sri Lanka",2021,9912.37,4.006
"LSO","Lesotho",2021,21.47,3.462
"LTU","Lithuania",2021,44.303,3.169
"LUX","Luxembourg",2021,53.401,4.095
"LVA","Latvia",2021,27.584,3.877
"MAC","Macao SAR",2021,306.211,61.22
"MAR","Morocco",2021,976.973,4.5
"MDA","Moldova",2021,12.871,4.5
"MDG","Madagascar",2021,21628.93,3.224
"MDV","Maldives",2021,62.15,18.872
"MEX","Mexico",2021,17834.8,5.004
"MHL","Marshall Islands",2021,0.201,-1.5
"MKD","North Macedonia",2021,462.834,3.8
"MLI","Mali",2021,5527.59,4.019
"MLT","Malta",2021,12.156,4.663
"MMR","Myanmar",2021,83809.09,-8.894
"MNE","Montenegro",2021,2.864,9.006
"MNG","Mongolia",2021,18935.72,5
"MOZ","Mozambique",2021,686.297,2.1
"MRT","Mauritania",2021,239.778,3.136
"MUS","Mauritius",2021,331.259,6.6
"MWI","Malawi",2021,1510.09,2.2
"MYS","Malaysia",2021,1429.26,6.5
"NAM","Namibia",2021,48.649,2.618
"NER","Niger",2021,7807.02,6.89
"NGA","Nigeria",2021,72593.63,2.533
"NIC","Nicaragua",2021,167.086,0.237
"NLD","Netherlands",2021,752.028,3.503
"NOR","Norway",2021,3694.18,3.861
"NPL","Nepal",2021,2362.1,2.887
"NRU","Nauru",2021,0.089,1.55
"NZL","New Zealand",2021,259.728,4.044
"OMN","Oman",2021,27.488,1.759
"PAK","Pakistan",2021,12719.25,1.496
"PAN","Panama",2021,39.562,12.045
"PER","Peru",2021,527.258,8.498
"PHL","Philippines",2021,18733.46,6.89
"PLW","Palau",2021,0.226,-10.838
"PNG","Papua New Guinea",2021,66.222,3.473
"POL","Poland",2021,2158.79,3.467
"PRI","Puerto Rico",2021,9.056,2.5
"PRT","Portugal",2021,195.365,3.9
"PRY","Paraguay",2021,215986.12,4
"QAT","Qatar",2021,670.352,2.357
"ROU","Romania",2021,886.503,6
"RUS","Russia",2021,91986.38,3.763
"RWA","Rwanda",2021,9639.83,5.69
"SAU","Saudi Arabia",2021,2604.48,2.931
"SDN","Sudan",2021,20.152,0.388
"SEN","Senegal",2021,13969.44,5.197
"SGP","Singapore",2021,477.41,5.198
"SLB","Solomon Islands",2021,10.778,1.527
"SLE","Sierra Leone",2021,10307.17,3.038
"SLV","El Salvador",2021,24.233,4.2
"SMR","San Marino",2021,1.163,4.46
"SOM","Somalia",2021,4.61,2.9
"SRB","Serbia",2021,5154.85,4.966
"SSD","South Sudan",2021,16.303,5.325
"STP","São Tomé and Príncipe",2021,4.098,3
"SUR","Suriname",2021,8.487,0.684
"SVK","Slovak Republic",2021,88.445,4.675
"SVN","Slovenia",2021,42.362,3.71
"SWE","Sweden",2021,5032.91,3.06
"SWZ","Eswatini",2021,41.823,1.42
"SYC","Seychelles",2021,8.055,1.803
"TCD","Chad",2021,5473,1.768
"TGO","Togo",2021,4303.39,3.5
"THA","Thailand",2021,10529.83,2.564
"TJK","Tajikistan",2021,0.326,5
"TKM","Turkmenistan",2021,127.069,4.559
"TLS","Timor-Leste",2021,1.524,2.75
"TON","Tonga",2021,0.998,-2.469
"TTO","Trinidad and Tobago",2021,144.992,2.084
"TUN","Tunisia",2021,69.803,3.81
"TUR","Turkey",2021,1913.03,6.042
"TUV","Tuvalu",2021,0.046,2.477
"TWN","Taiwan Province of China",2021,20731.09,4.748
"TZA","Tanzania",2021,127750.08,2.658
"UGA","Uganda",2021,134010.01,6.346
"UKR","Ukraine",2021,2600.04,4.04
"URY","Uruguay",2021,1717.94,3
"USA","United States",2021,19598.94,6.386
"UVK","Kosovo",2021,6.77,4.5
"UZB","Uzbekistan",2021,277335.38,4.991
"VCT","St. Vincent and the Grenadines",2021,1.745,-0.095
"VEN","Venezuela",2021,,-10
"VNM","Vietnam",2021,5296990.27,6.5
"VUT","Vanuatu",2021,66.106,3.159
"WBG","West Bank and Gaza",2021,57.904,5.7
"WSM","Samoa",2021,1.828,-7.8
"YEM","Yemen",2021,221.849,0.5
"ZAF","South Africa",2021,3020.99,3.1
"ZMB","Zambia",2021,137.564,0.598
"ZWE","Zimbabwe",2021,17.435,3.069
