ID-Produto,variable,value
SKU-0000077,Data Venda,2013-02-02 00:00:00.000
SKU-0000282,Data Venda,2015-06-02 00:00:00.000
SKU-0000323,Data Venda,2015-01-02 00:00:00.000
SKU-0000125,Data Venda,2013-02-02 00:00:00.000
SKU-0000079,Data Venda,2013-04-02 00:00:00.000
SKU-0000290,Data Venda,2015-01-10 00:00:00.000
SKU-0000091,Data Venda,2013-04-02 00:00:00.000
SKU-0000186,Data Venda,2015-06-02 00:00:00.000
SKU-0000074,Data Venda,2012-11-01 00:00:00.000
SKU-0000154,Data Venda,2013-11-27 00:00:00.000
SKU-0000076,Data Venda,2013-01-02 00:00:00.000
SKU-0000071,Data Venda,2012-08-01 00:00:00.000
SKU-0000238,Data Venda,2015-10-02 00:00:00.000
SKU-0000415,Data Venda,2015-11-02 00:00:00.000
SKU-0000299,Data Venda,2015-05-19 00:00:00.000
SKU-0000262,Data Venda,2015-10-02 00:00:00.000
SKU-0000034,Data Venda,2013-07-02 00:00:00.000
SKU-0000248,Data Venda,2015-08-02 00:00:00.000
SKU-0000318,Data Venda,2014-09-04 00:00:00.000
SKU-0000407,Data Venda,2015-03-02 00:00:00.000
SKU-0000431,Data Venda,2015-03-02 00:00:00.000
SKU-0000012,Data Venda,2012-11-04 00:00:00.000
SKU-0000402,Data Venda,2015-10-02 00:00:00.000
SKU-0000016,Data Venda,2013-01-02 00:00:00.000
SKU-0000445,Data Venda,2015-04-15 00:00:00.000
SKU-0000403,Data Venda,2015-11-02 00:00:00.000
SKU-0000001,Data Venda,2012-10-04 00:00:00.000
SKU-0000020,Data Venda,2013-05-02 00:00:00.000
SKU-0000295,Data Venda,2015-04-15 00:00:00.000
SKU-0000375,Data Venda,2014-05-01 00:00:00.000
SKU-0000057,Data Venda,2013-06-02 00:00:00.000
SKU-0000193,Data Venda,2014-01-01 00:00:00.000
SKU-0000393,Data Venda,2015-11-02 00:00:00.000
SKU-0000303,Data Venda,2015-09-23 00:00:00.000
SKU-0000210,Data Venda,2015-06-02 00:00:00.000
SKU-0000306,Data Venda,2015-11-26 00:00:00.000
SKU-0000389,Data Venda,2015-07-02 00:00:00.000
SKU-0000026,Data Venda,2013-11-02 00:00:00.000
SKU-0000369,Data Venda,2015-11-02 00:00:00.000
SKU-0000204,Data Venda,2014-12-01 00:00:00.000
SKU-0000308,Data Venda,2014-10-04 00:00:00.000
SKU-0000043,Data Venda,2012-04-01 00:00:00.000
SKU-0000181,Data Venda,2015-01-02 00:00:00.000
SKU-0000449,Data Venda,2015-05-19 00:00:00.000
SKU-0000117,Data Venda,2013-06-02 00:00:00.000
SKU-0000363,Data Venda,2015-05-02 00:00:00.000
SKU-0000332,Data Venda,2015-10-02 00:00:00.000
SKU-0000297,Data Venda,2015-05-17 00:00:00.000
SKU-0000023,Data Venda,2013-08-02 00:00:00.000
SKU-0000047,Data Venda,2012-08-01 00:00:00.000
SKU-0000443,Data Venda,2015-03-13 00:00:00.000
SKU-0000453,Data Venda,2015-09-23 00:00:00.000
SKU-0000138,Data Venda,2013-02-11 00:00:00.000
SKU-0000094,Data Venda,2013-07-02 00:00:00.000
SKU-0000058,Data Venda,2013-07-02 00:00:00.000
SKU-0000155,Data Venda,2014-10-04 00:00:00.000
SKU-0000025,Data Venda,2013-10-02 00:00:00.000
SKU-0000018,Data Venda,2013-03-02 00:00:00.000
SKU-0000067,Data Venda,2012-04-01 00:00:00.000
SKU-0000411,Data Venda,2015-07-02 00:00:00.000
SKU-0000321,Data Venda,2014-12-04 00:00:00.000
SKU-0000032,Data Venda,2013-05-02 00:00:00.000
SKU-0000085,Data Venda,2013-10-02 00:00:00.000
SKU-0000315,Data Venda,2014-06-04 00:00:00.000
SKU-0000127,Data Venda,2013-04-02 00:00:00.000
SKU-0000305,ValorVenda,1230.0
SKU-0000040,ValorVenda,1345.87
SKU-0000342,ValorVenda,1299.0
SKU-0000219,ValorVenda,355.0
SKU-0000156,ValorVenda,1288.0
SKU-0000200,ValorVenda,121.0
SKU-0000173,ValorVenda,3999.0
SKU-0000102,ValorVenda,137.0
SKU-0000404,ValorVenda,149.0
SKU-0000031,ValorVenda,1345.87
SKU-0000073,ValorVenda,1220.0
SKU-0000169,ValorVenda,1287.0
SKU-0000141,ValorVenda,346.0
SKU-0000356,ValorVenda,149.0
SKU-0000382,ValorVenda,455.0
SKU-0000056,ValorVenda,999.99
SKU-0000370,ValorVenda,149.0
SKU-0000288,ValorVenda,123.0
SKU-0000434,ValorVenda,12.0
SKU-0000083,ValorVenda,290.0
SKU-0000078,ValorVenda,124.0
SKU-0000133,ValorVenda,345.89
SKU-0000228,ValorVenda,678.12
SKU-0000118,ValorVenda,655.0
SKU-0000221,ValorVenda,388.0
SKU-0000383,ValorVenda,566.0
SKU-0000080,ValorVenda,230.0
SKU-0000448,ValorVenda,1234.0
SKU-0000010,ValorVenda,1290.0
SKU-0000276,ValorVenda,713.0
SKU-0000385,ValorVenda,567.0
SKU-0000249,ValorVenda,1321.0
SKU-0000423,ValorVenda,455.0
SKU-0000114,ValorVenda,766.0
SKU-0000452,ValorVenda,1230.0
SKU-0000077,ValorVenda,1220.0
SKU-0000282,ValorVenda,134.0
SKU-0000323,ValorVenda,543.0
SKU-0000125,ValorVenda,277.0
SKU-0000079,ValorVenda,123.0
SKU-0000290,ValorVenda,1299.0
SKU-0000091,ValorVenda,1399.0
SKU-0000186,ValorVenda,1222.0
SKU-0000074,ValorVenda,123.0
SKU-0000154,ValorVenda,433.0
SKU-0000076,ValorVenda,345.0
SKU-0000071,ValorVenda,566.0
SKU-0000238,ValorVenda,566.0
SKU-0000415,ValorVenda,149.0
SKU-0000299,ValorVenda,1299.0
SKU-0000262,ValorVenda,167.0
SKU-0000034,ValorVenda,1345.87
SKU-0000248,ValorVenda,121.0
SKU-0000318,ValorVenda,632.0
SKU-0000407,ValorVenda,149.0
SKU-0000431,ValorVenda,124.0
SKU-0000012,ValorVenda,1651.0
SKU-0000402,ValorVenda,149.0
SKU-0000016,ValorVenda,877.0
SKU-0000445,ValorVenda,1234.0
SKU-0000403,ValorVenda,1120.0
SKU-0000001,ValorVenda,679.0
SKU-0000020,ValorVenda,899.0
SKU-0000295,ValorVenda,1212.0
SKU-0000375,ValorVenda,455.0
SKU-0000057,ValorVenda,982.0
SKU-0000193,ValorVenda,1234.0
SKU-0000393,ValorVenda,455.0
SKU-0000303,ValorVenda,409.0
SKU-0000210,ValorVenda,121.0
SKU-0000306,ValorVenda,567.0
SKU-0000389,ValorVenda,123.0
SKU-0000026,ValorVenda,764.2
SKU-0000369,ValorVenda,149.0
SKU-0000204,ValorVenda,129.0
SKU-0000308,ValorVenda,1299.0
SKU-0000043,ValorVenda,1345.87
SKU-0000181,ValorVenda,1230.0
SKU-0000449,ValorVenda,1234.0
SKU-0000117,ValorVenda,655.0
SKU-0000363,ValorVenda,149.0
SKU-0000332,ValorVenda,1230.0
SKU-0000297,ValorVenda,1299.0
SKU-0000023,ValorVenda,699.9
SKU-0000047,ValorVenda,1234.12
SKU-0000443,ValorVenda,1234.0
SKU-0000453,ValorVenda,1234.0
SKU-0000138,ValorVenda,721.0
SKU-0000094,ValorVenda,150.0
SKU-0000058,ValorVenda,1002.0
SKU-0000155,ValorVenda,3999.0
SKU-0000025,ValorVenda,789.34
SKU-0000018,ValorVenda,872.0
SKU-0000067,ValorVenda,1345.0
SKU-0000411,ValorVenda,149.0
SKU-0000321,ValorVenda,1299.0
SKU-0000032,ValorVenda,1234.12
SKU-0000085,ValorVenda,1100.0
SKU-0000315,ValorVenda,1299.0
SKU-0000127,ValorVenda,988.0
