Product ID,Product Name,Cost,Original Sale Price,Discount Code,Discount,Current Price,Taxes,Product Name 1,Product Name 2
"ENX2089","Product 90",1399,2294,"",0,2294,344.09999999999997,"Product 90","Product 90"
"ENX2090","Product 91",682,1338,"",0,1338,200.7,"Product 91","Product 91"
"ENX2091","Product 92",294,368,"",0,368,55.199999999999996,"Product 92","Product 92"
"ENX2092","Product 93",1295,1639,"",0,1639,245.85,"Product 93","Product 93"
"ENX2093","Product 94",90,112,"",0,112,16.8,"Product 94","Product 94"
"ENX2094","Product 95",648,771,"",0,771,115.64999999999999,"Product 95","Product 95"
"ENX2095","Product 96",872,1743,"",0,1743,261.45,"Product 96","Product 96"
"ENX2096","Product 97",1301,1587,"",0,1587,238.04999999999998,"Product 97","Product 97"
"ENX2097","Product 98",589,1052,"",0,1052,157.79999999999998,"Product 98","Product 98"
"ENX2098","Product 99",683,1178,"",0,1178,176.7,"Product 99","Product 99"
"ENX2099","Product 100",984,1367,"",0,1367,205.04999999999998,"Product 100","Product 100"
"ENX2100","Product 101",455,799,"",0,799,119.85,"Product 101","Product 101"
