PK_dim_Endereco,CEP,Endereco,Bairro,Cidade,UF,Endereco Completo,Nome UF
"2020.11-59.641","01141-000","","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.11-null.632","01141-000","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.643","01141-000","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.663","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.664","","Av. Pacaembu","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.666","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.669","","Av. Lauro Xerfan","Jardim Iva","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.670","","Av. Lauro Xerfan","Jardim Iva","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.672","","Av. Lauro Xerfan","Jardim Iva","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.673","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.680","","Av. Lauro Xerfan","Jardim Iva","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.686","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-32.687","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-34.668","05088-000","R. Aliança Liberal","Bela Aliança","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.642","01141-000","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.646","01122-010","Rua das Flores","Jardim das Árvores","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.647","01122-010","Rua das Flores","Jardim das Árvores","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.665","","Av. Pacaembu","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.667","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.671","","Av. Lauro Xerfan","Jardim Iva","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.12-35.674","","Rua Dr. Rubens Meireles","Várzea da Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.550","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.551","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.552","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.553","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.554","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.555","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.556","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.557","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.558","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.559","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.560","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.561","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.562","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.563","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.564","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.565","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.566","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.567","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.568","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.569","01152-000","R. Barra Funda","Barra Funda","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-34.574","01226-031","R. Barão de Tatuí","Vila Buarque","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-534.55","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-535.55","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-55.536","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-55.537","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-55.538","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-55.542","01151-010","","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.8-32.576","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.8-34.575","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-34.582","03876200","","Vila Rio Branco","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-34.609","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-59.599","01151-010","","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-59.600","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-59.601","05085-000","R. Passo da Pátria","Vila Bela Alianca","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-59.606","05085-000","R. Passo da Pátria","Vila Bela Alianca","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-59.607","05085-000","R. Passo da Pátria","Vila Bela Alianca","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-59.608","05085-000","R. Passo da Pátria","Vila Bela Alianca","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-60.602","05085-000","R. Passo da Pátria","Vila Bela Alianca","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-60.603","05085-000","R. Passo da Pátria","Vila Bela Alianca","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-60.604","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.9-60.605","01154-000","Av. Gen. Olímpio da Silveira","Santa Cecilia","São Paulo","SP","São Paulo, SP, Brasil","São Paulo"
"2020.7-55.539","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.540","65110000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.541","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.543","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.544","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.545","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.546","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.547","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.7-55.548","65110-000","","","São José de Ribamar","MA","São José de Ribamar, MA, Brasil","Maranhão"
"2020.9-59.598","05085-000","","","Orange County","VT","Orange County, VT, Brasil",""
