Date,CountyName,State,FipsCode,Cases,Deaths
2020-08-27 00:00:00.000,Genesee,Michigan,26049.0,3927,303.0
2020-11-16 00:00:00.000,Williamsburg,South Carolina,45089.0,1560,50.0
2021-01-02 00:00:00.000,Franklin,Mississippi,28037.0,601,9.0
2020-04-21 00:00:00.000,Taos,New Mexico,35055.0,16,0.0
2020-03-26 00:00:00.000,Jasper,Georgia,13159.0,2,0.0
2020-12-09 00:00:00.000,Clarke,Virginia,51043.0,243,4.0
2020-04-07 00:00:00.000,Monroe,Mississippi,28095.0,18,1.0
2020-12-21 00:00:00.000,Faribault,Minnesota,27043.0,854,8.0
2021-01-09 00:00:00.000,Columbia,Pennsylvania,42037.0,3323,87.0
2021-02-13 00:00:00.000,Guadalupe,New Mexico,35019.0,590,9.0
2021-02-22 00:00:00.000,Roberts,Texas,48393.0,55,1.0
2020-11-09 00:00:00.000,Bennett,South Dakota,46007.0,255,5.0
2020-08-09 00:00:00.000,Cherokee,Texas,48073.0,1110,7.0
2020-04-18 00:00:00.000,Accomack,Virginia,51001.0,33,0.0
2020-07-12 00:00:00.000,Callaway,Missouri,29027.0,63,1.0
2021-01-09 00:00:00.000,Hill,Texas,48217.0,2307,38.0
2020-03-28 00:00:00.000,Portsmouth city,Virginia,51740.0,4,0.0
2020-07-09 00:00:00.000,Socorro,New Mexico,35053.0,61,5.0
2020-11-11 00:00:00.000,Winneshiek,Iowa,19191.0,676,9.0
2020-11-19 00:00:00.000,Blackford,Indiana,18009.0,441,10.0
2020-09-21 00:00:00.000,Unknown,Washington,,2,2.0
2020-06-03 00:00:00.000,Elkhart,Indiana,18039.0,1456,31.0
2020-07-15 00:00:00.000,Cedar,Missouri,29039.0,15,0.0
2020-06-30 00:00:00.000,Waller,Texas,48473.0,152,0.0
2020-05-11 00:00:00.000,Wells,Indiana,18179.0,11,0.0
2021-03-14 00:00:00.000,Benton,Washington,53005.0,15310,208.0
2020-10-22 00:00:00.000,Radford city,Virginia,51750.0,898,1.0
2021-02-03 00:00:00.000,Watonwan,Minnesota,27165.0,1084,8.0
2020-04-28 00:00:00.000,Marengo,Alabama,1091.0,44,3.0
2021-02-04 00:00:00.000,Raleigh,West Virginia,54081.0,4254,48.0
2021-01-18 00:00:00.000,Chaves,New Mexico,35005.0,8088,120.0
2020-04-27 00:00:00.000,Northampton,North Carolina,37131.0,81,4.0
2020-04-27 00:00:00.000,Monroe,Kentucky,21171.0,4,0.0
2021-03-01 00:00:00.000,Bledsoe,Tennessee,47007.0,2001,10.0
2020-09-04 00:00:00.000,Stewart,Tennessee,47161.0,103,0.0
2021-01-11 00:00:00.000,Knox,Texas,48275.0,173,12.0
2020-11-28 00:00:00.000,Delta,Michigan,26041.0,2437,58.0
2020-07-15 00:00:00.000,Sutton,Texas,48435.0,26,0.0
2020-04-03 00:00:00.000,Platte,Nebraska,31141.0,3,0.0
2020-10-20 00:00:00.000,Scurry,Texas,48415.0,996,12.0
2020-06-09 00:00:00.000,Nodaway,Missouri,29147.0,14,0.0
2021-02-28 00:00:00.000,Gonzales,Texas,48177.0,2610,51.0
2020-12-11 00:00:00.000,Bulloch,Georgia,13031.0,3943,56.0
