well_id,well_legal_name,api_no,propertynumber,spud_date,welltype,padname,Basin,statecounty,event_code,DRLEVENT,DRLEVENT_START,DRLEVENT_END,rig_name,MOVEIN,RIGRELEASE,PICKUPBHA,SPUDEVENT,target_formation,WELL_DRLEVENT_STATUS,PADSTATUS,PADRELEASEDATE,EVENTCUMCOST
"MZOB2LDiYI","FRANKLIN 22-2","4246138832","599002",2013-10-24 00:00:00.000,"VERTICAL","FRANKLIN 22-2","MIDLAND","TEXAS - UPTON","DRL","",2013-10-24 00:00:00.000,2013-11-09 00:00:00.000,"MATTLOCK 3",2013-10-23 06:00:00.000,2013-11-09 06:00:00.000,,2013-10-23 06:00:00.000,"UNASSIGNED","","",,924724
"NaEb3jQB14","ELAINE 1-3","4246139436","524003",2014-05-20 00:00:00.000,"VERTICAL","ELAINE 1-3","MIDLAND","TEXAS - UPTON","DRL","",2014-05-21 00:00:00.000,2014-06-04 00:00:00.000,"MATTLOCK 4",2014-05-20 06:00:00.000,2014-06-04 06:00:00.000,,2014-05-20 06:00:00.000,"UNASSIGNED","","",,886974
"pAzdy1XDOh","ZAIN 26-6","4246139128","585006",2014-03-25 00:00:00.000,"VERTICAL","ZAIN 26-6","MIDLAND","TEXAS - UPTON","DRL","",2014-03-26 00:00:00.000,2014-04-07 00:00:00.000,"LARIAT 15",2014-03-25 06:00:00.000,2014-04-07 06:00:00.000,,2014-03-25 06:00:00.000,"UNASSIGNED","","",,657311
"QJ6tqLvrbB","ELAINE 1-2","4246139311","524002",2014-04-06 00:00:00.000,"VERTICAL","ELAINE 1-2","MIDLAND","TEXAS - UPTON","DRL","",2014-04-06 00:00:00.000,2014-04-20 00:00:00.000,"MATTLOCK 5",2014-04-05 06:00:00.000,2014-04-20 06:00:00.000,,2014-04-05 06:00:00.000,"UNASSIGNED","","",,832167
"rEe0Yybo4f","ELEANOR 2E-3","4246139421","502803",2014-09-17 00:00:00.000,"VERTICAL","ELEANOR 2E-3","MIDLAND","TEXAS - UPTON","DRL","",2014-09-18 00:00:00.000,2014-09-30 00:00:00.000,"PRECISION 305",2014-09-17 06:00:00.000,2014-09-30 06:00:00.000,,2014-09-17 06:00:00.000,"UNASSIGNED","","",,968184
"3j56Vzqrrf","DAVIDSON 12A-2","4246139470","504802",2014-07-04 00:00:00.000,"VERTICAL","DAVIDSON 12A-2","MIDLAND","TEXAS - UPTON","DRL","",2014-07-05 00:00:00.000,2014-07-16 00:00:00.000,"PRECISION 305",2014-07-04 06:00:00.000,2014-07-16 06:00:00.000,,2014-07-04 06:00:00.000,"UNASSIGNED","","",,764670
"5BNT3V9vkM","RATLIFF 28-4","4246139144","584004",2014-01-13 00:00:00.000,"VERTICAL","RATLIFF 28-4","MIDLAND","TEXAS - UPTON","DRL","",2014-01-14 00:00:00.000,2014-01-28 00:00:00.000,"LARIAT 16",2014-01-13 06:00:00.000,2014-01-18 06:00:00.000,,2014-01-13 06:00:00.000,"UNASSIGNED","","",,947368
"7PXFCLLPzd","HALL 11-7","4246139653","503507",2014-08-21 00:00:00.000,"VERTICAL","HALL 11-7","MIDLAND","TEXAS - UPTON","DRL","",2014-08-21 00:00:00.000,2014-09-03 00:00:00.000,"MATTLOCK 5",2014-08-20 06:00:00.000,2014-09-03 06:00:00.000,,2014-08-20 06:00:00.000,"UNASSIGNED","","",,912765
"FBjyqZVVoX","JRS FARMS 24A-15","4246139037","558015",2013-11-18 00:00:00.000,"VERTICAL","JRS FARMS 24A-15","MIDLAND","TEXAS - UPTON","DRL","",2013-11-19 00:00:00.000,2013-12-02 00:00:00.000,"MATTLOCK 5",2013-11-18 06:00:00.000,2013-12-02 06:00:00.000,,2013-11-18 06:00:00.000,"UNASSIGNED","","",,804468
"G6QRTli1xG","JRS FARMS 22-4","4246140178","206004",2013-12-01 00:00:00.000,"VERTICAL","JRS FARMS 22-4","MIDLAND","TEXAS - UPTON","DRL","",2013-12-02 00:00:00.000,2013-12-18 00:00:00.000,"LARIAT 15",2013-12-01 06:00:00.000,2013-12-18 06:00:00.000,,2013-12-01 06:00:00.000,"UNASSIGNED","","",,911533
"HKSyn4PFRW","FRANKLIN 22A-4","4246139850","502104",2014-11-12 00:00:00.000,"VERTICAL","FRANKLIN 22A-4","MIDLAND","TEXAS - UPTON","DRL","",2014-11-13 00:00:00.000,2014-11-24 00:00:00.000,"MATTLOCK 4",2014-11-12 06:00:00.000,2014-11-24 06:00:00.000,,2014-11-12 06:00:00.000,"UNASSIGNED","","",,858230
"hMEpJGUZ8d","HALFF 3-1","4246139727","510101",2015-10-08 00:00:00.000,"VERTICAL","HALFF 3-1","MIDLAND","TEXAS - UPTON","DRL","",2015-10-06 00:00:00.000,2015-10-20 00:00:00.000,"PACESETTER 5",2015-10-05 06:00:00.000,2015-10-20 06:00:00.000,,2015-10-05 06:00:00.000,"UNASSIGNED","","",,868354
"hob9bp0AST","JRS FARMS 18A-13","4246138930","559013",2013-10-02 00:00:00.000,"VERTICAL","JRS FARMS 18A-13","MIDLAND","TEXAS - UPTON","DRL","",2013-10-02 00:00:00.000,2013-10-17 00:00:00.000,"MATTLOCK",2013-10-01 06:00:00.000,2013-10-08 06:00:00.000,,2013-10-01 06:00:00.000,"UNASSIGNED","","",,812261
"DTybfuH2Q0","HALL 11-8","4246139752","503508",2014-09-30 00:00:00.000,"VERTICAL","HALL 11-8","MIDLAND","TEXAS - UPTON","DRL","",2014-10-01 00:00:00.000,2014-10-13 00:00:00.000,"MATTLOCK 5",2014-09-30 06:00:00.000,2014-10-13 06:00:00.000,,2014-09-30 06:00:00.000,"UNASSIGNED","","",,878373
"eedB2IkTLl","ELWOOD 16-4","4246139036","589004",2013-11-09 00:00:00.000,"VERTICAL","ELWOOD 16-4","MIDLAND","TEXAS - UPTON","DRL","",2013-11-10 00:00:00.000,2013-11-24 00:00:00.000,"MATTLOCK 3",2013-11-09 06:00:00.000,2013-11-24 06:00:00.000,,2013-11-09 06:00:00.000,"UNASSIGNED","","",,819575
"iGwNXmN6FW","ELAINE 1-6","4246139757","524006",2014-11-11 00:00:00.000,"VERTICAL","ELAINE 1-6","MIDLAND","TEXAS - UPTON","DRL","",2014-11-12 00:00:00.000,2014-11-25 00:00:00.000,"MATTLOCK 3",2014-11-11 06:00:00.000,2014-11-25 06:00:00.000,,2014-11-11 06:00:00.000,"UNASSIGNED","","",,988366
"k5AkLWtunf","RATLIFF 28-5","4246139143","584005",2014-03-04 00:00:00.000,"VERTICAL","RATLIFF 28-5","MIDLAND","TEXAS - UPTON","DRL","",2014-03-05 00:00:00.000,2014-03-16 00:00:00.000,"LARIAT 16",2014-03-04 06:00:00.000,2014-03-16 06:00:00.000,,2014-03-04 06:00:00.000,"UNASSIGNED","","",,772908
"kpVdXJFSr5","JRS FARMS 24A-14","4246139035","558014",2013-12-03 00:00:00.000,"VERTICAL","JRS FARMS 24A-14","MIDLAND","TEXAS - UPTON","DRL","",2013-12-04 00:00:00.000,2013-12-16 00:00:00.000,"MATTLOCK 5",2013-12-03 06:00:00.000,2013-12-16 06:00:00.000,,2013-12-03 06:00:00.000,"UNASSIGNED","","",,801456
"HdaLny4YaE","RATLIFF 28-6","4246139145","584006",2014-04-08 00:00:00.000,"VERTICAL","RATLIFF 28-6","MIDLAND","TEXAS - UPTON","DRL","",2014-04-09 00:00:00.000,2014-04-21 00:00:00.000,"LARIAT 15",2014-04-08 06:00:00.000,2014-04-21 06:00:00.000,,2014-04-08 06:00:00.000,"UNASSIGNED","","",,1016967
"LojCCKa5BJ","HALFF 2A-2","4246139317","507100-2",2014-03-20 00:00:00.000,"VERTICAL","HALFF 2A-2","MIDLAND","TEXAS - UPTON","DRL","",2014-03-21 00:00:00.000,2014-04-04 00:00:00.000,"MATTLOCK 5",2014-03-22 06:00:00.000,2014-04-04 06:00:00.000,,2014-03-22 06:00:00.000,"UNASSIGNED","","",,1142420
"lpOlDFwOD6","XB COX 20A-2","4246138677","520002",,"VERTICAL","XB COX 20A-2","MIDLAND","TEXAS - UPTON","DRL","",2013-11-26 00:00:00.000,2013-12-10 00:00:00.000,"MATTLOCK 4",2013-11-25 06:00:00.000,2013-12-10 06:00:00.000,,2013-11-25 06:00:00.000,"UNASSIGNED","","",,741389
"mHnjXPZ4MK","MOLLY 39-1","4246139253","502901",2014-03-03 00:00:00.000,"VERTICAL","MOLLY 39-1","MIDLAND","TEXAS - UPTON","DRL","",2014-03-04 00:00:00.000,2014-03-16 00:00:00.000,"PRECISION 305",2014-03-03 06:00:00.000,2014-03-16 06:00:00.000,,2014-03-03 06:00:00.000,"UNASSIGNED","","",,828316
"mPYZVbRVwD","ELAINE 2-1","4246139109","501601",2013-12-28 00:00:00.000,"VERTICAL","ELAINE 2-1","MIDLAND","TEXAS - UPTON","DRL","",2013-12-29 00:00:00.000,2014-01-16 00:00:00.000,"MATTLOCK 4",2013-12-28 06:00:00.000,2014-01-16 06:00:00.000,,2013-12-28 06:00:00.000,"UNASSIGNED","","",,870387
"6cb9Xw9r5e","ZAIN 26-7","4246139120","585007",2014-04-21 00:00:00.000,"VERTICAL","ZAIN 26-7","MIDLAND","TEXAS - UPTON","DRL","",2014-04-22 00:00:00.000,2014-05-03 00:00:00.000,"LARIAT 15",2014-04-21 06:00:00.000,2014-05-03 06:00:00.000,,2014-04-21 06:00:00.000,"UNASSIGNED","","",,681219
"6Hi741ERTh","SARAH 27-2","4246139398","503302",2014-05-03 00:00:00.000,"VERTICAL","SARAH 27-2","MIDLAND","TEXAS - UPTON","DRL","",2014-05-04 00:00:00.000,2014-05-28 00:00:00.000,"LARIAT 15",2014-05-03 06:00:00.000,2014-05-28 06:00:00.000,,2014-05-03 06:00:00.000,"UNASSIGNED","","",,993448
"7o5SdMH5Nf","MOLLY 39-2","4246139371","502902",2014-04-21 00:00:00.000,"VERTICAL","MOLLY 39-2","MIDLAND","TEXAS - UPTON","DRL","",2014-04-22 00:00:00.000,2014-05-04 00:00:00.000,"PRECISION 305",2014-04-21 06:00:00.000,2014-05-04 06:00:00.000,,2014-04-21 06:00:00.000,"UNASSIGNED","","",,759404
"cCWcap0rnE","ATKINS 10A-4","4246139288","4211500004",2014-02-26 00:00:00.000,"VERTICAL","ATKINS 10A-4","MIDLAND","TEXAS - UPTON","DRL","",2014-02-27 00:00:00.000,2014-03-11 00:00:00.000,"LARIAT 15",2014-02-26 06:00:00.000,2014-03-11 06:00:00.000,,2014-02-26 06:00:00.000,"UNASSIGNED","","",,847023
"cZiO0PSdnZ","HALFF 2C-3","4246139888","504603",2014-12-22 00:00:00.000,"VERTICAL","HALFF 2C-3","MIDLAND","TEXAS - UPTON","DRL","",2014-12-23 00:00:00.000,2015-01-03 00:00:00.000,"MATTLOCK 6",2014-12-22 06:00:00.000,2015-01-03 06:00:00.000,,2014-12-22 06:00:00.000,"UNASSIGNED","","",,829481
"EjOMrL5Q0Z","ATKINS 14-2","4246139672","4211210002",2014-10-03 00:00:00.000,"VERTICAL","ATKINS 14-2","MIDLAND","TEXAS - UPTON","DRL","",2014-10-04 00:00:00.000,2014-10-17 00:00:00.000,"PRECISION 305",2014-10-03 06:00:00.000,2014-10-17 06:00:00.000,,2014-10-03 06:00:00.000,"UNASSIGNED","","",,809452
"F98nesJiMs","ZAIN 26-5","4246139127","585005",2014-02-17 00:00:00.000,"VERTICAL","ZAIN 26-5","MIDLAND","TEXAS - UPTON","DRL","",2014-02-18 00:00:00.000,2014-03-03 00:00:00.000,"SERVICE R",2014-02-25 06:00:00.000,2014-03-03 06:00:00.000,,2014-02-25 06:00:00.000,"UNASSIGNED","","",,907856
"GsTnQHl326","DAVIDSON 12A-12B-1","4246139197","502301",2014-01-27 00:00:00.000,"VERTICAL","DAVIDSON 12-12B-1","MIDLAND","TEXAS - UPTON","DRL","",2014-01-28 00:00:00.000,2014-02-13 00:00:00.000,"MATTLOCK",2014-01-27 06:00:00.000,2014-02-08 06:00:00.000,,2014-01-27 06:00:00.000,"UNASSIGNED","","",,998420
"GsTnQHl326","DAVIDSON 12A-12B-1","4246139197","502301",2014-01-27 00:00:00.000,"VERTICAL","DAVIDSON 12-12B-1","MIDLAND","TEXAS - UPTON","DRL","",2014-01-28 00:00:00.000,2014-02-13 00:00:00.000,"MATTLOCK 5",2014-02-08 06:00:00.000,2014-02-13 06:00:00.000,,2014-02-08 06:00:00.000,"UNASSIGNED","","",,998420
"GUgMgI0hFu","ATKINS 14-3","4246139698","4211210003",2014-11-08 00:00:00.000,"VERTICAL","ATKINS 14-3","MIDLAND","TEXAS - UPTON","DRL","",2014-11-09 00:00:00.000,2014-12-20 00:00:00.000,"MATTLOCK 5",2014-11-08 06:00:00.000,2014-12-20 06:00:00.000,,2014-11-08 06:00:00.000,"UNASSIGNED","","",,2342178
"hyuEnxYOwg","HALL 11-5","4246139397","503505",2014-05-29 00:00:00.000,"VERTICAL","HALL 11-5","MIDLAND","TEXAS - UPTON","DRL","",2014-05-30 00:00:00.000,2014-06-10 00:00:00.000,"MATTLOCK 3",2014-05-29 06:00:00.000,2014-06-10 06:00:00.000,,2014-05-29 06:00:00.000,"UNASSIGNED","","",,822886
"INa7dtv3gF","ELEANOR 2A-2","4246139208","502802",2014-06-18 00:00:00.000,"VERTICAL","ELEANOR 2A-2","MIDLAND","TEXAS - UPTON","DRL","",2014-06-19 00:00:00.000,2014-07-02 00:00:00.000,"PRECISION 305",2014-06-18 06:00:00.000,2014-07-02 06:00:00.000,,2014-06-18 06:00:00.000,"UNASSIGNED","","",,761193
