Name,LATERAL RESOURCE,RR Forecast Date,VersionName,ID,INTERMEDIATE START,Total Rig Days,INTERMEDIATE END,LATERAL START,LATERAL_LENGTH_TARGET
"MARIENFELD 13-24-B-4104H","Patterson 260",2020-01-29 00:00:00.000,"Commando - 11+1","586ce9fa-34d2-4652-87ad-f19285b1c07b",2019-12-13 00:00:00.000,16,2019-12-20 00:00:00.000,2020-01-20 00:00:00.000,10250
"ZOEY 9-16-H-4315H","Patterson 255",2020-01-29 00:00:00.000,"Commando - 11+1","23cc57e5-7757-4b1f-b6b6-4fdf0553b749",2019-12-29 00:00:00.000,30,2020-01-08 00:00:00.000,2020-01-09 00:00:00.000,10250
"Venom 6261A-34 11H","INDEPENDENCE #319",2020-01-31 00:00:00.000,"Commando - 11+1","9aa596e1-5f42-4aa1-986f-34480d410110",2019-12-25 00:00:00.000,26,2020-01-02 00:00:00.000,2020-01-13 00:00:00.000,7700
"DEVIN 25-24-C-4305H","Patterson 281",2020-02-02 00:00:00.000,"Die Hard - 1+11","01fa87a9-f854-4d2d-9908-3fe883ecb045",2020-01-05 00:00:00.000,12,2020-01-10 00:00:00.000,2020-01-26 00:00:00.000,10250
"STRAIN RANCH 12-1-C-2806H","H&P #633",2020-02-03 00:00:00.000,"Die Hard - 1+11","ba34ef63-40e2-4c71-946c-11362bc60e51",2020-01-20 00:00:00.000,13,2020-01-28 00:00:00.000,2020-01-29 00:00:00.000,10250
"HARRIS 17-20-B-4303H","H&P #509",2020-02-05 00:00:00.000,"Die Hard - 1+11","2a9ec9cd-ddcb-4dd4-b3f0-bc7d4972efa8",2019-12-22 00:00:00.000,18,2020-01-01 00:00:00.000,2020-01-28 00:00:00.000,10250
"REDBUD STATE UNIT 4312MH","H&P #536",2020-02-06 00:00:00.000,"Die Hard - 1+11","4d6ca53f-f3ab-424f-886a-e598d275bfce",2019-11-21 00:00:00.000,38,2019-12-03 00:00:00.000,2020-01-11 00:00:00.000,10260
"GUITAR SOUTH 17-8-A-4202H","Patterson 254",2020-02-07 00:00:00.000,"Die Hard - 1+11","40a861c6-ca21-4a80-8ccc-d8847f274aa2",2020-01-23 00:00:00.000,14,2020-01-29 00:00:00.000,2020-01-30 00:00:00.000,10250
"MARIENFELD 13-24-B-4404H","Patterson 260",2020-02-08 00:00:00.000,"Die Hard - 1+11","fd0acc74-f156-40d9-8821-19715f36b679",2019-12-10 00:00:00.000,20,2019-12-15 00:00:00.000,2020-01-24 00:00:00.000,10250
"Venom 6261B-34-33H","H&P #261",2020-02-10 00:00:00.000,"Die Hard - 1+11","9e8c67c0-9f15-467a-9b9c-19b35acb9ce6",2019-12-26 00:00:00.000,21,2020-01-05 00:00:00.000,2020-01-30 00:00:00.000,7823
"STRAIN RANCH 12-1-B-2703VH","H&P #633",2020-02-11 00:00:00.000,"Die Hard - 1+11","1b8d9930-dbfb-4908-ad93-af22cf4f1d0a",2020-01-16 00:00:00.000,10,2020-01-19 00:00:00.000,2020-02-04 00:00:00.000,10250
"ZOEY 9-16-E-4409H","Patterson 255",2020-02-15 00:00:00.000,"Die Hard - 1+11","ae90b921-7f48-4e61-ae44-7696bc7f5486",2019-12-07 00:00:00.000,26,2019-12-17 00:00:00.000,2020-01-30 00:00:00.000,10250
"DEVIN 25-24-F-4411H","Trinidad 125",2020-02-16 00:00:00.000,"Die Hard - 1+11","b2678dcf-e10c-405b-a52e-0a52d9873985",2019-11-29 00:00:00.000,49,2019-12-05 00:00:00.000,2020-01-04 00:00:00.000,10250
"Venom 6261A-34 23H","INDEPENDENCE #319",2020-02-16 00:00:00.000,"Die Hard - 1+11","738fed4f-7372-4646-8ad5-e48c4e5108e7",2020-01-26 00:00:00.000,20,2020-02-02 00:00:00.000,2020-02-03 00:00:00.000,7824
"DEVIN 25-24-D-4407H","Patterson 281",2020-02-17 00:00:00.000,"Die Hard - 1+11","88797137-d003-47a7-9a45-18390ad3287c",2019-12-30 00:00:00.000,19,2020-01-04 00:00:00.000,2020-02-03 00:00:00.000,10250
"HARRIS 17-20-D-4307H","H&P #509",2020-02-20 00:00:00.000,"Die Hard - 1+11","c0da3bdd-d6e1-4312-9d99-a9836361eeae",2019-12-05 00:00:00.000,22,2019-12-13 00:00:00.000,2020-02-06 00:00:00.000,10250
"Eiland 1112-GG 22H","H&P #296",2020-02-22 00:00:00.000,"Die Hard - 1+11","44b47d5b-e3dc-48c7-8410-f44a84f6e6b4",2020-01-31 00:00:00.000,21,2020-02-07 00:00:00.000,2020-02-08 00:00:00.000,8450
"STRAIN RANCH 12-1-A-2801H","H&P #633",2020-02-24 00:00:00.000,"Die Hard - 1+11","bb44fdda-1a13-45cd-8cfd-14998258b0f5",2020-01-09 00:00:00.000,18,2020-01-15 00:00:00.000,2020-02-12 00:00:00.000,10250
"STRAIN RANCH 12-1-F-2811VH","Trinidad #223",2020-02-24 00:00:00.000,"Die Hard - 1+11","d521ea92-acef-4e57-b64a-19b85943d81b",2020-01-21 00:00:00.000,15,2020-01-26 00:00:00.000,2020-02-14 00:00:00.000,10250
"State 5913A-GG Houston 21H","H&P #312",2020-02-28 00:00:00.000,"Die Hard - 1+11","6182ea52-e667-421e-99e3-d360fb3c7f3e",2020-02-02 00:00:00.000,25,2020-02-13 00:00:00.000,2020-02-14 00:00:00.000,9677
"State 5913A-GG Houston 41H","H&P #313",2020-02-29 00:00:00.000,"Die Hard - 1+11","62a3cdfc-fb80-4492-b278-89ab4629255d",2020-01-19 00:00:00.000,23,2020-01-28 00:00:00.000,2020-02-15 00:00:00.000,9677
"STRAIN RANCH 12-1-E-2709H","Patterson 260",2020-03-05 00:00:00.000,"Empire Strikes Back - 2+10 Updated","c5544da1-d7b0-467c-af9c-748736a7e5d7",2020-02-18 00:00:00.000,15,2020-02-24 00:00:00.000,2020-02-25 00:00:00.000,10000
"GUITAR SOUTH 17-8-C-4206H","Patterson 254",2020-03-05 00:00:00.000,"Empire Strikes Back - 2+10 Updated","2853a1f9-26c5-46ff-872f-aceba1941716",2020-02-11 00:00:00.000,22,2020-02-17 00:00:00.000,2020-02-18 00:00:00.000,10000
"STRAIN RANCH 12-1-F-4411H","Trinidad #223",2020-03-09 00:00:00.000,"Empire Strikes Back - 2+10 Updated","7dc7a144-6405-432e-8692-eb3a5d52eabb",2020-02-02 00:00:00.000,35,2020-02-07 00:00:00.000,2020-02-08 00:00:00.000,10000
"Eiland 1112-GG 22H","H&P #296",2020-03-09 00:00:00.000,"Empire Strikes Back - 2+10 Updated","b269947f-0aaf-49cc-a0d4-31bea58adeea",2020-02-19 00:00:00.000,18,2020-02-26 00:00:00.000,2020-02-27 00:00:00.000,8450
"State 5913A-GG Houston 22H","H&P #312",2020-03-09 00:00:00.000,"Empire Strikes Back - 2+10 Updated","df508101-7993-4d73-a88c-2acea32dc568",2020-01-24 00:00:00.000,23,2020-02-01 00:00:00.000,2020-02-23 00:00:00.000,9677
"Venom 6261A-34 11H","INDEPENDENCE #319",2020-03-13 00:00:00.000,"Empire Strikes Back - 2+10 Updated","8e7cc917-6d99-4a94-a9d0-40b87a65a7e4",2020-01-09 00:00:00.000,36,2020-01-25 00:00:00.000,2020-02-22 00:00:00.000,7824
"SEBASTIAN 19-18-D-4108H","Patterson 255",2020-03-15 00:00:00.000,"Empire Strikes Back - 2+10 Updated","6b4484c2-2863-4821-96db-9c9b32da1566",2020-02-18 00:00:00.000,12,2020-02-24 00:00:00.000,2020-03-09 00:00:00.000,7700
"STRAIN RANCH 12-1-E-4109H","Patterson 260",2020-03-17 00:00:00.000,"Empire Strikes Back - 2+10 Updated","ee41e4f4-4710-4047-bee5-c6b6f0ae892a",2020-02-10 00:00:00.000,18,2020-02-17 00:00:00.000,2020-03-06 00:00:00.000,10000
"STRAIN 12-1-4212H","Trinidad #223",2020-03-19 00:00:00.000,"Empire Strikes Back - 2+10 Updated","c705355c-65e6-4900-ac89-c2b29486e97b",2020-01-21 00:00:00.000,14,2020-01-26 00:00:00.000,2020-03-10 00:00:00.000,10000
"SEBASTIAN 19-18-C-4206H","Trinidad #226",2020-03-19 00:00:00.000,"Empire Strikes Back - 2+10 Updated","7e22b128-cbb9-4437-9769-25c2a9ab538b",2020-01-30 00:00:00.000,18,2020-02-11 00:00:00.000,2020-03-13 00:00:00.000,7700
"State 5913A-GG Houston 42H","H&P #313",2020-03-20 00:00:00.000,"Empire Strikes Back - 2+10 Updated","d292fbd8-9441-46b6-b3f7-75749187aefd",2020-01-29 00:00:00.000,50,2020-03-05 00:00:00.000,2020-03-06 00:00:00.000,9677
"SEBASTIAN 19-18-E-4210H","Patterson 255",2020-03-23 00:00:00.000,"Empire Strikes Back - 2+10 Updated","0bf5ec40-1a1a-4831-845c-6da4c69b96f5",2020-02-25 00:00:00.000,12,2020-03-02 00:00:00.000,2020-03-17 00:00:00.000,7700
"State 5913A-GG Houston 31H","H&P #312",2020-03-24 00:00:00.000,"Empire Strikes Back - 2+10 Updated","0a94c9f1-3b07-44ef-bed1-8f583efdbe5f",2020-01-07 00:00:00.000,30,2020-01-23 00:00:00.000,2020-03-10 00:00:00.000,9677
"EILAND 1112-GG 4302H","H&P #261",2020-03-27 00:00:00.000,"Empire Strikes Back - 2+10 Updated","43b47bf4-060b-4653-a790-9a896c0b5156",2020-02-25 00:00:00.000,23,2020-03-05 00:00:00.000,2020-03-13 00:00:00.000,8450
"SEBASTIAN 19-18-C-4405VH","Trinidad #226",2020-03-31 00:00:00.000,"Empire Strikes Back - 2+10 Updated","eaf87f7b-8a93-42b3-9c00-65e791c0d61b",2020-02-12 00:00:00.000,24,2020-02-26 00:00:00.000,2020-03-21 00:00:00.000,7700
"State 5913A-GG Houston 41H","H&P #313",2020-04-01 00:00:00.000,"Ghostbusters - 4+8","03ba514e-b77e-46da-88ff-d92b8dcb29ba",2020-01-19 00:00:00.000,21,2020-01-28 00:00:00.000,2020-03-20 00:00:00.000,8733
"WAYMORE 3-2-E-4210H","Patterson 254",2020-04-01 00:00:00.000,"Ghostbusters - 4+8","1e1c465d-f0ed-4254-b2ed-7c6f62a10207",2020-03-15 00:00:00.000,16,2020-03-21 00:00:00.000,2020-03-22 00:00:00.000,15000
"SEBASTIAN 19-18B-4108H","Patterson 255",2020-04-01 00:00:00.000,"Ghostbusters - 4+8","dc9a55b8-4adc-4e9a-b70e-91967ddcd7de",2020-02-18 00:00:00.000,14,2020-02-24 00:00:00.000,2020-03-24 00:00:00.000,7500
"SEBASTIAN 19-18B-4304H","Trinidad #226",2020-04-04 00:00:00.000,"Ghostbusters - 4+8","9bfc40f4-9bde-4636-b1ff-0dac3a7a1519",2020-02-27 00:00:00.000,13,2020-03-05 00:00:00.000,2020-03-29 00:00:00.000,7500
"SEBASTIAN 19-18B-4410VH","H&P #509",2020-04-05 00:00:00.000,"Ghostbusters - 4+8","c79408a3-62d6-4dd4-a1b6-f6f63e6350f7",2020-03-20 00:00:00.000,15,2020-03-27 00:00:00.000,2020-03-28 00:00:00.000,7500
"FRANCES 12-1-F-4111H","H&P #633",2020-04-06 00:00:00.000,"Ghostbusters - 4+8","93c48d28-d4ad-490a-b261-1c9257c1e631",2020-03-14 00:00:00.000,10,2020-03-18 00:00:00.000,2020-03-31 00:00:00.000,10000
"HIRSCH E 29-17A-4402H","Trinidad 125",2020-04-07 00:00:00.000,"Ghostbusters - 4+8","8a8dcbcd-d811-4d73-afa5-a1c510013ee4",2020-03-21 00:00:00.000,16,2020-03-29 00:00:00.000,2020-03-30 00:00:00.000,7500
"EILAND 1112-GG 4302H","H&P #261",2020-04-08 00:00:00.000,"Ghostbusters - 4+8","efd561b4-ccb8-4723-ade8-2057e1d866fb",2020-02-25 00:00:00.000,24,2020-03-05 00:00:00.000,2020-03-24 00:00:00.000,8450
"PECAN STATE UNIT 4306JH","Patterson 281",2020-04-11 00:00:00.000,"Ghostbusters - 4+8","8f4b5999-5895-4cae-8334-d228ab394297",2020-02-29 00:00:00.000,27,2020-03-10 00:00:00.000,2020-03-25 00:00:00.000,10260
"FRANCES 1-1D SWD","Pacesetter 103",2020-04-12 00:00:00.000,"Ghostbusters - 4+8","8ecc4fe0-6a96-4343-b586-50fe2cf66d7a",2020-03-23 00:00:00.000,19,2020-04-11 00:00:00.000,2020-04-12 00:00:00.000,0
"SEBASTIAN 19-18B-4311VH","H&P #509",2020-04-13 00:00:00.000,"Ghostbusters - 4+8","31c3a922-1801-4a7f-b42d-b1997c5bb67a",2020-03-11 00:00:00.000,15,2020-03-19 00:00:00.000,2020-04-06 00:00:00.000,7500
"FRANCES 12-1-B-2704H","Patterson 260",2020-04-15 00:00:00.000,"Ghostbusters - 4+8","f2d5c281-294a-4bd6-8fa7-60a2bc84f2d9",2020-04-03 00:00:00.000,11,2020-04-08 00:00:00.000,2020-04-09 00:00:00.000,10000
"UTL LJ Beldin 1211-17-3905H (TNK 4104H)","H&P #536",2020-04-17 00:00:00.000,"Ghostbusters - 4+8","8e3b90bc-57d5-4f2c-ae59-eb133803d02f",2020-03-03 00:00:00.000,44,2020-03-19 00:00:00.000,2020-03-20 00:00:00.000,10250
"HIRSCH E 29-17A-4304H","Trinidad 125",2020-04-19 00:00:00.000,"Ghostbusters - 4+8","c4bff195-1c18-42c2-b494-9986b80bfaf2",2020-02-28 00:00:00.000,18,2020-03-06 00:00:00.000,2020-04-08 00:00:00.000,7500
"WAYMORE 3-2-G-4214H","Patterson 254",2020-04-20 00:00:00.000,"Ghostbusters - 4+8","d52083ac-0b2e-43df-a15e-2a4a951a382f",2020-03-07 00:00:00.000,24,2020-03-14 00:00:00.000,2020-04-03 00:00:00.000,15000
"FRANCES 12-1-E-4410H","H&P #633",2020-04-20 00:00:00.000,"Ghostbusters - 4+8","ddb37816-2b2f-47dd-8568-4efa5f1d2e46",2020-03-02 00:00:00.000,23,2020-03-13 00:00:00.000,2020-04-08 00:00:00.000,10000
"SEBASTIAN 19-18B-4405VH","Trinidad #226",2020-04-20 00:00:00.000,"Ghostbusters - 4+8","c703f277-d584-46d4-9a6b-8070fbd7013e",2020-02-12 00:00:00.000,29,2020-02-26 00:00:00.000,2020-04-05 00:00:00.000,7500
"UTL 4546A-21-11H","INDEPENDENCE #319",2020-04-23 00:00:00.000,"Ghostbusters - 4+8","a07c3b53-72c5-4523-9c42-b15409870b12",2020-03-27 00:00:00.000,26,2020-04-10 00:00:00.000,2020-04-11 00:00:00.000,10250
"SEBASTIAN 19-18B-4112H","H&P #509",2020-04-26 00:00:00.000,"Ghostbusters - 4+8","90cea719-c5e5-45c6-bbf0-35fb2bae64e6",2020-02-24 00:00:00.000,27,2020-03-10 00:00:00.000,2020-04-14 00:00:00.000,7500
"UTL 4546A-21-31H","H&P #312",2020-04-27 00:00:00.000,"Ghostbusters - 4+8","7ddb41e4-5047-474a-b7b1-d2dc971e2353",2020-03-28 00:00:00.000,23,2020-04-06 00:00:00.000,2020-04-13 00:00:00.000,10000
"HIRSCH E 29-17A-4104H","Trinidad 125",2020-04-27 00:00:00.000,"Ghostbusters - 4+8","cfb84916-fa58-45ec-8fba-58a675aabdd7",2020-03-07 00:00:00.000,11,2020-03-11 00:00:00.000,2020-04-20 00:00:00.000,7500
"FRANCES 12-1-C-4406H","Patterson 260",2020-04-29 00:00:00.000,"Ghostbusters - 4+8","3ce92ea4-0802-4111-b7b8-47de4426623c",2020-03-27 00:00:00.000,19,2020-04-02 00:00:00.000,2020-04-16 00:00:00.000,10000
"FRANCES 12-1-C-2806VH","Trinidad #223",2020-04-30 00:00:00.000,"Ghostbusters - 4+8","a46f8734-59c8-47ae-8b16-e6de9843e762",2020-04-03 00:00:00.000,15,2020-04-10 00:00:00.000,2020-04-22 00:00:00.000,10000
"PECAN STATE UNIT 4116AH","H&P #296",2020-04-30 00:00:00.000,"Ghostbusters - 4+8","ea56bbc6-419d-481d-9cb2-7a039db1c413",2020-04-02 00:00:00.000,27,2020-04-11 00:00:00.000,2020-04-12 00:00:00.000,10000
"HIRSCH E 29-17A-4202H","Trinidad 125",2020-05-02 00:00:00.000,"Ghostbusters II - 4+8","bdd67bfa-0e8b-4e22-87f5-6d27ead49d56",2020-03-12 00:00:00.000,15,2020-03-20 00:00:00.000,2020-04-25 00:00:00.000,7500
"FRANCES 12-1-2807H","Trinidad #223",2020-05-04 00:00:00.000,"Ghostbusters II - 4+8","c3cd9ee9-f6f9-467c-8614-9f802a768435",2020-04-06 00:00:00.000,10,2020-04-10 00:00:00.000,2020-04-28 00:00:00.000,10000
"PECAN STATE UNIT 4505JH","Patterson 281",2020-05-05 00:00:00.000,"Ghostbusters II - 4+8","4af11d5b-4229-4e7d-94c2-a83939af6676",2020-03-11 00:00:00.000,30,2020-03-23 00:00:00.000,2020-04-17 00:00:00.000,10000
"FRANCES 12-1-4306H","Patterson 260",2020-05-08 00:00:00.000,"Ghostbusters II - 4+8","ef2991a2-88a5-48ec-8c53-7385fb4d11cd",2020-03-27 00:00:00.000,15,2020-04-02 00:00:00.000,2020-04-29 00:00:00.000,10000
"FRANCES 12-1-4207H","Trinidad #223",2020-05-12 00:00:00.000,"Ghostbusters II - 4+8","6217e5b0-eb69-4ea4-8925-6e3e0fe8019e",2020-04-11 00:00:00.000,11,2020-04-15 00:00:00.000,2020-05-05 00:00:00.000,10000
"PECAN STATE UNIT-4111AH","H&P #296",2020-08-09 00:00:00.000,"Hard Target - 5+7","67ec6276-5e24-454c-9e9f-530ce5697758",2020-03-25 00:00:00.000,32,2020-04-01 00:00:00.000,2020-07-15 00:00:00.000,15600
"CORA 18-19-E-4309H","H&P #313",2020-08-21 00:00:00.000,"Hard Target - 5+7","1bad94ac-b418-42ba-ba2b-ac9567270c70",2020-07-15 00:00:00.000,16,2020-07-23 00:00:00.000,2020-08-13 00:00:00.000,7500
"CORA 18-19-G-4314H","H&P #313",2020-08-31 00:00:00.000,"Hard Target - 5+7","45102fe0-1381-4f82-9b76-7bd888c7d865",2020-07-25 00:00:00.000,16,2020-08-02 00:00:00.000,2020-08-23 00:00:00.000,7500
"PECAN STATE UNIT-4313AH","H&P #296",2020-09-08 00:00:00.000,"Hard Target - 5+7","b64c1f9b-73d2-4fad-b335-5df04df32497",2020-03-17 00:00:00.000,36,2020-03-24 00:00:00.000,2020-08-10 00:00:00.000,15638
"CORA 18-19-F-4411VH","H&P #313",2020-09-18 00:00:00.000,"Hard Target - 5+7","7f947ad8-7c42-4fb1-aa63-15693482c2d5",2020-08-04 00:00:00.000,24,2020-08-12 00:00:00.000,2020-09-02 00:00:00.000,7500
"UTL LJ BELDIN 1211-17-3802VH","H&P #296",2020-09-23 00:00:00.000,"Hard Target - 5+7","8f622504-dac7-4137-a978-bcfccef0e8a1",2020-04-23 00:00:00.000,24,2020-05-03 00:00:00.000,2020-09-09 00:00:00.000,10000
"HIRSCH E 29-17-A-2901H","H&P #313",2020-10-10 00:00:00.000,"Hard Target - 5+7","ce101171-9e55-4e89-b4e8-6c522bb6c357",2020-09-19 00:00:00.000,12,2020-09-25 00:00:00.000,2020-10-04 00:00:00.000,7500
"UTL 4546A-21-12H","H&P #296",2020-10-22 00:00:00.000,"Hard Target - 5+7","61f8a9bf-767d-45e7-8216-b5a195039ffc",2020-03-13 00:00:00.000,40,2020-03-25 00:00:00.000,2020-09-24 00:00:00.000,10000
"HIRSCH E 29-17-A-2702H","H&P #313",2020-10-23 00:00:00.000,"Hard Target - 5+7","38fcb49f-84f5-4560-aca7-7423e226991f",2020-09-27 00:00:00.000,17,2020-10-03 00:00:00.000,2020-10-12 00:00:00.000,7500
"SWD 1","SWD/VERTICAL RIG",2020-11-01 00:00:00.000,"Hard Target - 5+7","a606962a-6201-44df-81a7-116eac4f6e11",2020-10-01 00:00:00.000,30,2020-10-27 00:00:00.000,2020-10-28 00:00:00.000,0
"BRUCE SUTTER 41-29-E-2909H","H&P #261",2020-11-06 00:00:00.000,"Hard Target - 5+7","777a45e0-2947-4341-a327-0d0b152330fc",2020-10-01 00:00:00.000,19,2020-10-07 00:00:00.000,2020-10-24 00:00:00.000,12500
"BRUCE SUTTER 41-29-H-4115H (TBK 4215H)","H&P #312",2020-11-08 00:00:00.000,"Hard Target - 5+7","d67a95da-868d-41dc-a8fd-6e418cf87b4c",2020-10-01 00:00:00.000,20,2020-10-08 00:00:00.000,2020-10-26 00:00:00.000,12500
"UTL 4546B-21-61H","H&P #296",2020-11-15 00:00:00.000,"Hard Target - 5+7","3629dc4e-0462-488b-839b-cd14e89446ae",2020-04-06 00:00:00.000,31,2020-04-14 00:00:00.000,2020-10-23 00:00:00.000,10000
"HAYDEN 14-23-C-2706VH","H&P #313",2020-11-17 00:00:00.000,"Hard Target - 5+7","0e18fa13-eaf4-44dd-93fd-d92732ddd20f",2020-10-24 00:00:00.000,14,2020-10-30 00:00:00.000,2020-11-09 00:00:00.000,10000
"BRUCE SUTTER 41-29-F-2812H (TBK 2712)","H&P #261",2020-11-21 00:00:00.000,"Hard Target - 5+7","826f7d79-6ee4-44eb-8ee9-4353a5c67d61",2020-10-09 00:00:00.000,19,2020-10-15 00:00:00.000,2020-11-08 00:00:00.000,12500
"BRUCE SUTTER 41-29-F-4112H","H&P #312",2020-11-23 00:00:00.000,"Hard Target - 5+7","d549f1d8-d7f5-41bc-b775-42b32ece7c5a",2020-10-10 00:00:00.000,19,2020-10-16 00:00:00.000,2020-11-10 00:00:00.000,12500
"UTL 4546B-21-81H","H&P #296",2020-11-30 00:00:00.000,"Hard Target - 5+7","5dcff8b9-bfa0-41aa-83fc-5d9e4dac5e88",2020-04-15 00:00:00.000,19,2020-04-21 00:00:00.000,2020-11-17 00:00:00.000,10000
"HAYDEN 14-23-C-4106VH","H&P #313",2020-12-01 00:00:00.000,"Hard Target - 5+7","e7fd22f1-6eb4-411a-aaac-5d3e9d5db63f",2020-11-01 00:00:00.000,19,2020-11-08 00:00:00.000,2020-11-19 00:00:00.000,10000
"BRUCE SUTTER 41-29-H-2915H","H&P #261",2020-12-11 00:00:00.000,"Hard Target - 5+7","914bf5a0-5cec-4152-adfa-68463cac4785",2020-10-17 00:00:00.000,24,2020-10-23 00:00:00.000,2020-11-23 00:00:00.000,12500
"BRUCE SUTTER 41-29-E-4209H","H&P #312",2020-12-13 00:00:00.000,"Hard Target - 5+7","6992b432-377d-4e1e-afa0-8e2d64732fd2",2020-10-18 00:00:00.000,25,2020-10-25 00:00:00.000,2020-11-25 00:00:00.000,12500
"UTL 4546B-21-71H","H&P #296",2020-12-29 00:00:00.000,"Hard Target - 5+7","359b68fc-b7e2-4db8-b012-3b9de6458b36",2020-04-22 00:00:00.000,36,2020-05-01 00:00:00.000,2020-12-02 00:00:00.000,10000
