id,data_inversa,dia_semana,horario,uf,br,km,municipio,elemento_transito,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
18561,2017-03-10 00:00:00.000,"sexta-feira",1899-12-30 16:30:00.000,"MG","365",688,"MONTE ALEGRE DE MINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-18.8619,-48.8639
18697,2017-03-11 00:00:00.000,"sábado",1899-12-30 01:05:00.000,"MG","381",569,"ITAGUARA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-20.4116,-44.5273
23279,2017-03-25 00:00:00.000,"sábado",1899-12-30 06:20:00.000,"MG","40",750,"SANTOS DUMONT","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.48964087,-43.53529961
25004,2017-04-02 00:00:00.000,"domingo",1899-12-30 22:45:00.000,"MG","381",877,"ESTIVA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-22.44476125,-45.99214155
29683,2017-04-17 00:00:00.000,"segunda-feira",1899-12-30 13:15:00.000,"MG","50",66,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-18.9146078,-48.275380100000007
29839,2017-04-18 00:00:00.000,"terça-feira",1899-12-30 05:30:00.000,"MG","50",175,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-19.77914963,-47.96154258
32628,2017-03-18 00:00:00.000,"sábado",1899-12-30 17:00:00.000,"MG","365",2,"MONTES CLAROS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-16.7812,-43.8892
33904,2017-05-02 00:00:00.000,"terça-feira",1899-12-30 11:30:00.000,"MG","40",66,"PARACATU","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-17.37501731,-46.74270077
35760,2017-05-09 00:00:00.000,"terça-feira",1899-12-30 10:20:00.000,"MG","50",105,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.18831507,-48.15548141
36890,2017-05-13 00:00:00.000,"sábado",1899-12-30 16:45:00.000,"MG","267",301,"CAXAMBU","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.96533536,-44.92137909
40052,2017-05-03 00:00:00.000,"quarta-feira",1899-12-30 20:40:00.000,"MG","262",529,"LUZ","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.7797,-45.7367
42376,2017-06-01 00:00:00.000,"quinta-feira",1899-12-30 13:30:00.000,"MG","267",205,"BOM JARDIM DE MINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.94169789,-44.12274772
43306,2017-06-04 00:00:00.000,"domingo",1899-12-30 20:55:00.000,"MG","381",863,"POUSO ALEGRE","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-22.34287658,-45.92616677
44853,2017-06-10 00:00:00.000,"sábado",1899-12-30 13:20:00.000,"MG","40",458,"SETE LAGOAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.3877,-44.3357
45718,2017-06-13 00:00:00.000,"terça-feira",1899-12-30 09:15:00.000,"MG","153",49,"MONTE ALEGRE DE MINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-18.81503125,-49.08722396
46347,2017-06-15 00:00:00.000,"quinta-feira",1899-12-30 13:50:00.000,"MG","40",567,"NOVA LIMA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-20.19223137,-43.97186637
47292,2017-06-18 00:00:00.000,"domingo",1899-12-30 21:25:00.000,"MG","381",684,"RIBEIRAO VERMELHO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-21.16241678,-45.12239645
47495,2017-06-19 00:00:00.000,"segunda-feira",1899-12-30 15:50:00.000,"MG","116",750,"LEOPOLDINA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.454219,-42.55153939
47773,2017-06-21 00:00:00.000,"quarta-feira",1899-12-30 07:05:00.000,"MG","40",556,"NOVA LIMA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-20.098507,-43.975481
50797,2017-07-01 00:00:00.000,"sábado",1899-12-30 08:00:00.000,"MG","262",364,"JUATUBA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-19.97274976,-44.31049738
51573,2017-05-29 00:00:00.000,"segunda-feira",1899-12-30 17:00:00.000,"MG","116",805,"ALEM PARAIBA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.7972,-42.7099
54968,2017-07-17 00:00:00.000,"segunda-feira",1899-12-30 06:50:00.000,"MG","50",62,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-18.82236023,-48.24979341
55514,2017-07-19 00:00:00.000,"quarta-feira",1899-12-30 10:30:00.000,"MG","365",613,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.91414,-48.21685
56867,2017-07-24 00:00:00.000,"segunda-feira",1899-12-30 10:40:00.000,"MG","153",93,"PRATA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.1798,-48.9496
57106,2017-07-25 00:00:00.000,"terça-feira",1899-12-30 20:40:00.000,"MG","381",665,"SANTO ANTONIO DO AMPARO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-21.04849617,-45.00259777
58155,2017-07-29 00:00:00.000,"sábado",1899-12-30 21:15:00.000,"MG","50",183,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.8001,-47.9072
58349,2017-07-30 00:00:00.000,"domingo",1899-12-30 15:20:00.000,"MG","50",91,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.06763424,-48.19129229
60231,2017-08-07 00:00:00.000,"segunda-feira",1899-12-30 07:30:00.000,"MG","50",157,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.6301158,-48.01389161
62533,2017-08-16 00:00:00.000,"quarta-feira",1899-12-30 09:00:00.000,"MG","365",489,"PATROCINIO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.90108961,-46.95350647
68718,2017-09-08 00:00:00.000,"sexta-feira",1899-12-30 18:20:00.000,"MG","459",16,"CALDAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.860711,-46.424877
76309,2017-08-12 00:00:00.000,"sábado",1899-12-30 21:30:00.000,"MG","262",572,"CORREGO DANTA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.6986,-46.0292
76423,2017-10-07 00:00:00.000,"sábado",1899-12-30 21:52:00.000,"MG","365",19,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-18.93066667,-48.19578828
79641,2017-10-20 00:00:00.000,"sexta-feira",1899-12-30 08:00:00.000,"MG","40",617,"CONGONHAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Urbano",1,0,1,0,0,0,1,1,-20.56191547,-43.81229891
80788,2017-10-24 00:00:00.000,"terça-feira",1899-12-30 12:27:00.000,"MG","262",627,"IBIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.5813,-46.4531
95146,2017-12-16 00:00:00.000,"sábado",1899-12-30 23:35:00.000,"MG","381",844,"SAO SEBASTIAO DA BELA VISTA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-22.19781586,-45.85234165
96686,2017-12-21 00:00:00.000,"quinta-feira",1899-12-30 18:10:00.000,"MG","365",153,"PIRAPORA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-17.306719,-44.894562
104318,2018-01-18 00:00:00.000,"quinta-feira",1899-12-30 11:00:00.000,"MG","381",872,"ESTIVA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-22.40725943,-45.95738769
104573,2018-01-19 00:00:00.000,"sexta-feira",1899-12-30 13:00:00.000,"MG","116",308,"ITAMBACURI","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.031582,-41.685352
104669,2018-01-19 00:00:00.000,"sexta-feira",1899-12-30 17:30:00.000,"MG","262",398,"PARA DE MINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.89153013,-44.58185434
105599,2018-01-23 00:00:00.000,"terça-feira",1899-12-30 09:30:00.000,"MG","153",101,"PRATA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.27420247,-48.91765594
106695,2018-01-28 00:00:00.000,"domingo",1899-12-30 02:00:00.000,"MG","251",474,"FRANCISCO SA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-16.4663,-43.4385
109443,2018-02-07 00:00:00.000,"quarta-feira",1899-12-30 20:15:00.000,"MG","381",493,"BETIM","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.966,-44.1775
109799,2018-02-09 00:00:00.000,"sexta-feira",1899-12-30 08:15:00.000,"MG","365",622,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-18.9113,-48.2622
109890,2018-02-09 00:00:00.000,"sexta-feira",1899-12-30 15:00:00.000,"MG","50",156,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.62258117,-48.01663956
112035,2018-02-18 00:00:00.000,"domingo",1899-12-30 06:00:00.000,"MG","262",395,"PARA DE MINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.89556563,-44.56628998
116366,2018-03-07 00:00:00.000,"quarta-feira",1899-12-30 02:40:00.000,"MG","40",95,"JOAO PINHEIRO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-17.530588,-46.54195
121141,2018-03-26 00:00:00.000,"segunda-feira",1899-12-30 09:50:00.000,"MG","381",843,"SAO SEBASTIAO DA BELA VISTA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-22.19013693,-45.84611264
121510,2018-03-28 00:00:00.000,"quarta-feira",1899-12-30 07:10:00.000,"MG","381",787,"SAO GONCALO DO SAPUCAI","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-21.8639,-45.5323
122376,2018-03-31 00:00:00.000,"sábado",1899-12-30 21:30:00.000,"MG","381",676,"PERDOES","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-21.10123678,-45.08642077
122657,2018-04-02 00:00:00.000,"segunda-feira",1899-12-30 01:50:00.000,"MG","381",830,"SAO SEBASTIAO DA BELA VISTA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-22.1218,-45.7727
123341,2018-04-05 00:00:00.000,"quinta-feira",1899-12-30 08:00:00.000,"MG","381",930,"ITAPEVA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-22.77836273,-46.23954535
126878,2018-04-09 00:00:00.000,"segunda-feira",1899-12-30 17:20:00.000,"MG","365",472,"PATROCINIO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.92414957,-46.99770927
128292,2018-04-16 00:00:00.000,"segunda-feira",1899-12-30 16:25:00.000,"MG","381",459,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.84394828,-43.88586737
129928,2018-04-24 00:00:00.000,"terça-feira",1899-12-30 09:50:00.000,"MG","50",129,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.3906,-48.0769
136080,2018-05-23 00:00:00.000,"quarta-feira",1899-12-30 18:00:00.000,"MG","153",240,"FRONTEIRA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-20.26735027,-49.18029785
137246,2018-06-01 00:00:00.000,"sexta-feira",1899-12-30 15:40:00.000,"MG","262",674,"IBIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.55170217,-46.85177565
139805,2018-06-13 00:00:00.000,"quarta-feira",1899-12-30 03:25:00.000,"MG","153",43,"MONTE ALEGRE DE MINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-18.8676122,-49.0667562
144802,2018-07-06 00:00:00.000,"sexta-feira",1899-12-30 09:30:00.000,"MG","267",293,"BAEPENDI","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-21.93174007,-44.83537674
145731,2018-07-10 00:00:00.000,"terça-feira",1899-12-30 13:35:00.000,"MG","40",389,"CURVELO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.943473,-44.685745
146540,2018-07-14 00:00:00.000,"sábado",1899-12-30 09:00:00.000,"MG","153",16,"CENTRALINA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-18.56750384,-49.19390738
147385,2018-07-18 00:00:00.000,"quarta-feira",1899-12-30 13:15:00.000,"MG","381",703,"LAVRAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-21.3094,-45.1615
149967,2018-07-30 00:00:00.000,"segunda-feira",1899-12-30 19:30:00.000,"MG","40",571,"ITABIRITO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-20.2282,-43.9698
151034,2018-08-04 00:00:00.000,"sábado",1899-12-30 19:10:00.000,"MG","365",776,"ITUIUTABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.96474035,-49.54971313
156613,2018-08-31 00:00:00.000,"sexta-feira",1899-12-30 22:30:00.000,"MG","251",262,"SALINAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-16.000475,-41.93599
158059,2018-09-08 00:00:00.000,"sábado",1899-12-30 04:30:00.000,"MG","251",363,"PADRE CARVALHO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-16.2594,-42.6179
158186,2018-09-08 00:00:00.000,"sábado",1899-12-30 17:13:00.000,"MG","381",728,"CARMO DA CACHOEIRA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-21.4957,-45.2105
159222,2018-09-13 00:00:00.000,"quinta-feira",1899-12-30 10:30:00.000,"MG","365",603,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-18.89524292,-48.12973022
161489,2018-09-24 00:00:00.000,"segunda-feira",1899-12-30 14:30:00.000,"MG","116",469,"TARUMIRIM","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.30799439,-42.07969934
175878,2018-12-04 00:00:00.000,"terça-feira",1899-12-30 17:40:00.000,"MG","40",523,"CONTAGEM","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-19.879,-44.051
178181,2018-12-14 00:00:00.000,"sexta-feira",1899-12-30 21:40:00.000,"MG","153",17,"CENTRALINA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-18.56948197,-49.19390738
179550,2018-12-20 00:00:00.000,"quinta-feira",1899-12-30 16:45:00.000,"MG","381",381,"SAO GONCALO DO RIO ABAIXO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.841,-43.326
181066,2018-12-26 00:00:00.000,"quarta-feira",1899-12-30 08:25:00.000,"MG","262",826,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.762056,-48.138805
181948,2018-12-30 00:00:00.000,"domingo",1899-12-30 10:50:00.000,"MG","40",635,"CONSELHEIRO LAFAIETE","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-20.7198,-43.7985
183556,2019-01-05 00:00:00.000,"sábado",1899-12-30 09:00:00.000,"MG","153",20,"CENTRALINA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Múltipla","Reta","Urbano",1,0,1,0,0,0,1,1,-18.6049,-49.1919
187126,2019-01-24 00:00:00.000,"quinta-feira",1899-12-30 09:10:00.000,"MG","262",56,"MANHUACU","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-20.26896,-42.18241
188984,2019-02-03 00:00:00.000,"domingo",1899-12-30 02:00:00.000,"MG","40",505,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-19.7504,-44.1449
192395,2019-02-19 00:00:00.000,"terça-feira",1899-12-30 07:30:00.000,"MG","381",239,"SANTANA DO PARAISO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.3243,-42.4169
193216,2019-02-24 00:00:00.000,"domingo",1899-12-30 01:00:00.000,"MG","50",72,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-18.9051,-48.2318
