Name,CustID,ProdID,Date,Currency,Qty,Sales USD,Cost USD
 Dec 2020 Sales,WA001,SSBC0003,2020-12-30 00:00:00.000,USD,1,5.0,1.5
 Oct 2020 Sales,BC110,SSBC2001,2020-10-20 00:00:00.000,CAD,6,797.0478,665.0922
 Apr 2021 Sales,WA001,SSBC0005,2021-04-26 00:00:00.000,USD,1,5.0,0.65
 Oct 2020 Sales,BC105,SSBC3005,2020-10-01 00:00:00.000,CAD,1,221.8935,137.7219
 Apr 2021 Sales,WA001,SSBC0006,2021-04-30 00:00:00.000,USD,2,10.0,1.84
 Nov 2020 Sales,WA001,SSBC0001,2020-11-14 00:00:00.000,USD,2,10.0,2.1
 Aug 2021 Sales,WA005,SSBC1004,2021-08-20 00:00:00.000,USD,12,144.0,145.68
 Oct 2020 Sales,WA055,SSBC2005,2020-10-04 00:00:00.000,USD,1,180.0,100.6
 Jul 2021 Sales,WA001,SSBC0003,2021-07-30 00:00:00.000,USD,1,5.0,1.5
 Jan 2021 Sales,WA001,SSBC0002,2021-01-11 00:00:00.000,USD,2,10.0,1.6
 Aug 2021 Sales,WA001,SSBC0003,2021-08-30 00:00:00.000,USD,1,5.0,1.5
 Feb 2021 Sales,WA001,SSBC0006,2021-02-25 00:00:00.000,USD,1,5.0,0.92
 Jan 2021 Sales,WA012,SSBC2001,2021-01-21 00:00:00.000,USD,1,180.0,150.2
 Nov 2020 Sales,BC100,SSBC2006,2020-11-05 00:00:00.000,CAD,1,132.5479,98.7334
 Dec 2020 Sales,WA001,SSBC0003,2020-12-30 00:00:00.000,USD,2,10.0,3.0
 Feb 2021 Sales,WA001,SSBC1003,2021-02-28 00:00:00.000,USD,1,9.99,8.0
 Nov 2020 Sales,WA001,SSBC0003,2020-11-23 00:00:00.000,USD,2,10.0,3.0
 Oct 2020 Sales,WA001,SSBC0002,2020-10-10 00:00:00.000,USD,2,10.0,1.6
 Feb 2021 Sales,WA001,SSBC0005,2021-02-19 00:00:00.000,USD,1,5.0,0.65
 Aug 2021 Sales,WA001,SSBC0006,2021-08-25 00:00:00.000,USD,1,5.0,0.92
 Apr 2021 Sales,WA001,SSBC1005,2021-04-11 00:00:00.000,USD,6,59.94,35.4
 Jul 2021 Sales,WA001,SSBC0001,2021-07-20 00:00:00.000,USD,2,10.0,2.1
 Mar 2021 Sales,WA001,SSBC0002,2021-03-25 00:00:00.000,USD,1,5.0,0.8
 Jul 2021 Sales,WA005,SSBC1001,2021-07-01 00:00:00.000,USD,16,159.84,132.8
May 2021 Sales,WA001,SSBC1005,2021-05-02 00:00:00.000,CAD,1,7.5912,4.4833
 Apr 2021 Sales,WA055,SSBC2003,2021-04-21 00:00:00.000,USD,1,180.0,145.0
 Oct 2020 Sales,WA012,SSBC3001,2020-10-31 00:00:00.000,USD,1,300.0,285.4
 Aug 2021 Sales,BC102,SSBC2004,2021-08-01 00:00:00.000,CAD,1,171.2584,170.9308
 Feb 2021 Sales,WA055,SSBC2003,2021-02-20 00:00:00.000,USD,6,1080.0,870.0
 Dec 2020 Sales,WA005,SSBC3001,2020-12-10 00:00:00.000,USD,1,300.0,285.4
 Jun 2021 Sales,WA001,SSBC0002,2021-06-24 00:00:00.000,USD,1,5.0,0.8
 Oct 2020 Sales,BC101,SSBC2002,2020-10-01 00:00:00.000,CAD,1,133.1361,88.1657
 Apr 2021 Sales,BC110,SSBC2001,2021-04-21 00:00:00.000,CAD,6,825.057,688.4646
 Jul 2021 Sales,WA001,SSBC0003,2021-07-19 00:00:00.000,USD,1,5.0,1.5
 Jun 2021 Sales,BC110,SSBC3004,2021-06-28 00:00:00.000,CAD,1,333.3333,328.9778
 Mar 2021 Sales,WA001,SSBC0006,2021-03-25 00:00:00.000,USD,1,5.0,0.92
 Dec 2020 Sales,BC110,SSBC2004,2020-12-29 00:00:00.000,CAD,3,505.1244,504.1581
 Nov 2020 Sales,WA001,SSBC0002,2020-11-29 00:00:00.000,USD,1,5.0,0.8
 Nov 2020 Sales,WA012,SSBC2003,2020-11-20 00:00:00.000,USD,1,180.0,145.0
 Jan 2021 Sales,WA001,SSBC0002,2021-01-26 00:00:00.000,USD,1,5.0,0.8
 Jan 2021 Sales,WA001,SSBC0003,2021-01-25 00:00:00.000,USD,2,10.0,3.0
 Jan 2021 Sales,WA001,SSBC1005,2021-01-02 00:00:00.000,USD,1,9.99,5.9
May 2021 Sales,BC102,SSBC2002,2021-05-02 00:00:00.000,CAD,1,136.7781,90.5775
 Mar 2021 Sales,BC110,SSBC3003,2021-03-30 00:00:00.000,CAD,2,444.4444,429.6296
 Feb 2021 Sales,BC110,SSBC2001,2021-02-20 00:00:00.000,CAD,6,813.8658,679.1256
 Jan 2021 Sales,BC110,SSBC2003,2021-01-25 00:00:00.000,CAD,12,1647.5976,1327.2312
 Aug 2021 Sales,WA005,SSBC3001,2021-08-10 00:00:00.000,USD,1,300.0,285.4
 Oct 2020 Sales,WA001,SSBC0005,2020-10-31 00:00:00.000,USD,1,5.0,0.65
 Jun 2021 Sales,WA001,SSBC0001,2021-06-29 00:00:00.000,USD,2,10.0,2.1
 Dec 2020 Sales,WA001,SSBC0005,2020-12-21 00:00:00.000,USD,1,5.0,0.65
 Oct 2020 Sales,BC110,SSBC3003,2020-10-05 00:00:00.000,CAD,2,443.459,428.677
 Nov 2020 Sales,WA001,SSBC0003,2020-11-24 00:00:00.000,USD,1,5.0,1.5
 Jul 2021 Sales,WA001,SSBC0006,2021-07-25 00:00:00.000,USD,2,10.0,1.84
 Mar 2021 Sales,BC110,SSBC2001,2021-03-10 00:00:00.000,CAD,6,807.1746,673.5426
 Apr 2021 Sales,WA001,SSBC0002,2021-04-29 00:00:00.000,USD,1,5.0,0.8
 Jan 2021 Sales,WA001,SSBC0003,2021-01-29 00:00:00.000,USD,2,10.0,3.0
May 2021 Sales,WA001,SSBC0001,2021-05-25 00:00:00.000,USD,2,10.0,2.1
May 2021 Sales,WA001,SSBC0006,2021-05-26 00:00:00.000,USD,1,5.0,0.92
 Apr 2021 Sales,WA012,SSBC2001,2021-04-21 00:00:00.000,USD,1,180.0,150.2
May 2021 Sales,WA005,SSBC3001,2021-05-25 00:00:00.000,USD,1,300.0,285.4
May 2021 Sales,BC100,SSBC2006,2021-05-02 00:00:00.000,USD,1,180.0,134.08
 Mar 2021 Sales,WA007,SSBC3001,2021-03-10 00:00:00.000,USD,2,600.0,570.8
 Sep 2021 Sales,WA001,SSBC0002,2021-09-10 00:00:00.000,USD,2,10.0,1.6
 Jun 2021 Sales,WA005,SSBC3001,2021-06-25 00:00:00.000,USD,1,300.0,285.4
 Feb 2021 Sales,WA001,SSBC0003,2021-02-28 00:00:00.000,USD,2,10.0,3.0
 Nov 2020 Sales,WA001,SSBC0002,2020-11-23 00:00:00.000,USD,1,5.0,0.8
 Jan 2021 Sales,WA001,SSBC0002,2021-01-25 00:00:00.000,USD,2,10.0,1.6
 Jul 2021 Sales,BC102,SSBC2004,2021-07-20 00:00:00.000,CAD,1,171.5138,171.1857
May 2021 Sales,BC100,SSBC2006,2021-05-21 00:00:00.000,USD,1,180.0,134.08
 Mar 2021 Sales,WA001,SSBC1003,2021-03-20 00:00:00.000,USD,1,9.99,8.0
 Jan 2021 Sales,WA001,SSBC0006,2021-01-26 00:00:00.000,USD,1,5.0,0.92
 Aug 2021 Sales,WA001,SSBC0002,2021-08-19 00:00:00.000,USD,1,5.0,0.8
 Nov 2020 Sales,BC105,SSBC3005,2020-11-05 00:00:00.000,CAD,1,220.9131,137.1134
 Jul 2021 Sales,WA007,SSBC3001,2021-07-10 00:00:00.000,USD,2,600.0,570.8
 Nov 2020 Sales,WA001,SSBC0003,2020-11-30 00:00:00.000,USD,1,5.0,1.5
 Dec 2020 Sales,WA007,SSBC3001,2020-12-25 00:00:00.000,USD,1,300.0,285.4
 Nov 2020 Sales,WA001,SSBC0006,2020-11-23 00:00:00.000,USD,2,10.0,1.84
 Apr 2021 Sales,WA001,SSBC0006,2021-04-26 00:00:00.000,USD,2,10.0,1.84
 Sep 2021 Sales,WA001,SSBC0006,2021-09-23 00:00:00.000,USD,1,5.0,0.92
