PK_municipio,regiao_planejamento,cod_ibge,municipio,porte,piloto,estado,pais,referencia
97,"Região do Flores","2105609","Joselândia","Porte I","Não","Maranhão","Brasil","Joselândia, Maranhão, Brasil"
98,"Região do Baixo Turi","2105658","Junco do Maranhão","Porte I","Não","Maranhão","Brasil","Junco do Maranhão, Maranhão, Brasil"
100,"Região dos Imigrantes","2105807","Lago do Junco","Porte I","Não","Maranhão","Brasil","Lago do Junco, Maranhão, Brasil"
101,"Região dos Imigrantes","2105948","Lago dos Rodrigues","Porte I","Não","Maranhão","Brasil","Lago dos Rodrigues, Maranhão, Brasil"
102,"Região do Mearim","2105906","Lago Verde","Porte I","Não","Maranhão","Brasil","Lago Verde, Maranhão, Brasil"
103,"Região do Sertão Maranhense","2105922","Lagoa do Mato","Porte I","Não","Maranhão","Brasil","Lagoa do Mato, Maranhão, Brasil"
104,"Região dos Imigrantes","2105963","Lagoa Grande Do Maranhão","Porte I","Não","Maranhão","Brasil","Lagoa Grande Do Maranhão, Maranhão, Brasil"
105,"Região da Chapada das Mesas","2105989","Lajeado Novo","Porte I","Não","Maranhão","Brasil","Lajeado Novo, Maranhão, Brasil"
106,"Região do Médio Mearim","2106003","Lima Campos","Porte I","Não","Maranhão","Brasil","Lima Campos, Maranhão, Brasil"
107,"Região do Baixo Balsas","2106102","Loreto","Porte I","Não","Maranhão","Brasil","Loreto, Maranhão, Brasil"
108,"Região do Gurupi","2106201","Luís Domingues","Porte I","Não","Maranhão","Brasil","Luís Domingues, Maranhão, Brasil"
109,"Região do Delta do Parnaíba","2106300","Magalhães de Almeida","Porte I","Não","Maranhão","Brasil","Magalhães de Almeida, Maranhão, Brasil"
110,"Região do Baixo Turi","2106326","Maracaçumé","Porte I","Não","Maranhão","Brasil","Maracaçumé, Maranhão, Brasil"
111,"Região dos Imigrantes","2106359","Marajá do Sena","Porte I","Não","Maranhão","Brasil","Marajá do Sena, Maranhão, Brasil"
112,"Região do Baixo Turi","2106375","Maranhãozinho","Porte I","Não","Maranhão","Brasil","Maranhãozinho, Maranhão, Brasil"
113,"Região do Alto Munim","2106409","Mata Roma","Porte I","Não","Maranhão","Brasil","Mata Roma, Maranhão, Brasil"
117,"Região do Delta do Parnaíba","2106672","Milagres do Maranhão","Porte I","Não","Maranhão","Brasil","Milagres do Maranhão, Maranhão, Brasil"
120,"Região do Litoral Ocidental","2106805","Mirinzal","Porte I","Não","Maranhão","Brasil","Mirinzal, Maranhão, Brasil"
122,"Região do Tocantins","2107001","Montes Altos","Porte I","Não","Maranhão","Brasil","Montes Altos, Maranhão, Brasil"
125,"Região dos Gerais De Balsas","2107258","Nova Colinas","Porte I","Não","Maranhão","Brasil","Nova Colinas, Maranhão, Brasil"
126,"Região do Sertão Maranhense","2107308","Nova Iorque","Porte I","Não","Maranhão","Brasil","Nova Iorque, Maranhão, Brasil"
127,"Região do Alto Turi","2107357","Nova Olinda do Maranhão","Porte I","Não","Maranhão","Brasil","Nova Olinda do Maranhão, Maranhão, Brasil"
128,"Região do Mearim","2107407","Olho D´Água das Cunhãs","Porte I","Não","Maranhão","Brasil","Olho D´Água das Cunhãs, Maranhão, Brasil"
131,"Região da Baixada Maranhense","2107605","Palmeirândia","Porte I","Não","Maranhão","Brasil","Palmeirândia, Maranhão, Brasil"
134,"Região do Sertão Maranhense","2107902","Passagem Franca","Porte I","Não","Maranhão","Brasil","Passagem Franca, Maranhão, Brasil"
135,"Região do Sertão Maranhense","2108009","Pastos Bons","Porte I","Não","Maranhão","Brasil","Pastos Bons, Maranhão, Brasil"
136,"Região dos Lençóis Maranhenses","2108058","Paulino Neves","Porte I","Não","Maranhão","Brasil","Paulino Neves, Maranhão, Brasil"
141,"Região do Pericumã","2108405","Peri Mirim","Porte I","Não","Maranhão","Brasil","Peri Mirim, Maranhão, Brasil"
147,"Região do Médio Mearim","2108900","Poção de Pedras","Porte I","Não","Maranhão","Brasil","Poção de Pedras, Maranhão, Brasil"
149,"Região do Litoral Ocidental","2109056","Porto Rico do Maranhão","Porte I","Não","Maranhão","Brasil","Porto Rico do Maranhão, Maranhão, Brasil"
151,"Região do Baixo Munim","2109205","Presidente Juscelino","Porte I","Não","Maranhão","Brasil","Presidente Juscelino, Maranhão, Brasil"
152,"Região do Alto Turi","2109239","Presidente Médici","Porte I","Não","Maranhão","Brasil","Presidente Médici, Maranhão, Brasil"
153,"Região do Pericumã","2109270","Presidente Sarney","Porte I","Não","Maranhão","Brasil","Presidente Sarney, Maranhão, Brasil"
155,"Região dos Lençóis Maranhenses","2109403","Primeira Cruz","Porte I","Não","Maranhão","Brasil","Primeira Cruz, Maranhão, Brasil"
158,"Região do Tocantins","2109551","Ribamar Fiquene","Porte I","Não","Maranhão","Brasil","Ribamar Fiquene, Maranhão, Brasil"
160,"Região do Baixo Balsas","2109700","Sambaíba","Porte I","Não","Maranhão","Brasil","Sambaíba, Maranhão, Brasil"
161,"Região da Pré-Amazônia","2109759","Santa Filomena do Maranhão","Porte I","Não","Maranhão","Brasil","Santa Filomena do Maranhão, Maranhão, Brasil"
168,"Região do Delta do Parnaíba","2110237","Santana do Maranhão","Porte I","Não","Maranhão","Brasil","Santana do Maranhão, Maranhão, Brasil"
169,"Região dos Lençóis Maranhenses","2110278","Santo Amaro do Maranhão","Porte I","Não","Maranhão","Brasil","Santo Amaro do Maranhão, Maranhão, Brasil"
170,"Região do Flores","2110302","Santo Antônio dos Lopes","Porte I","Não","Maranhão","Brasil","Santo Antônio dos Lopes, Maranhão, Brasil"
171,"Região do Alto Munim","2110401","São Benedito do Rio Preto","Porte I","Não","Maranhão","Brasil","São Benedito do Rio Preto, Maranhão, Brasil"
174,"Região do Baixo Balsas","2110658","São Domingos do Azeitão","Porte I","Não","Maranhão","Brasil","São Domingos do Azeitão, Maranhão, Brasil"
176,"Região do Baixo Balsas","2110807","São Félix de Balsas","Porte I","Não","Maranhão","Brasil","São Félix de Balsas, Maranhão, Brasil"
177,"Região dos Carajás","2110856","São Francisco do Brejão","Porte I","Não","Maranhão","Brasil","São Francisco do Brejão, Maranhão, Brasil"
178,"Região do Sertão Maranhense","2110906","São Francisco do Maranhão","Porte I","Não","Maranhão","Brasil","São Francisco do Maranhão, Maranhão, Brasil"
179,"Região da Baixada Maranhense","2111003","São João Batista","Porte I","Não","Maranhão","Brasil","São João Batista, Maranhão, Brasil"
180,"Região do Pindaré","2111029","São João do Carú","Porte I","Não","Maranhão","Brasil","São João do Carú, Maranhão, Brasil"
181,"Região da Chapada das Mesas","2111052","São João do Paraíso","Porte I","Não","Maranhão","Brasil","São João do Paraíso, Maranhão, Brasil"
182,"Região dos Timbiras","2111078","São João do Soter","Porte I","Não","Maranhão","Brasil","São João do Soter, Maranhão, Brasil"
185,"Região do Flores","2111250","São José dos Basílios","Porte I","Não","Maranhão","Brasil","São José dos Basílios, Maranhão, Brasil"
189,"Região dos Carajás","2111532","São Pedro da Água Branca","Porte I","Não","Maranhão","Brasil","São Pedro da Água Branca, Maranhão, Brasil"
190,"Região da Chapada das Mesas","2111573","São Pedro dosCrentes","Porte I","Não","Maranhão","Brasil","São Pedro dosCrentes, Maranhão, Brasil"
191,"Região do Baixo Balsas","2111607","São Raimundo das Mangabeiras","Porte I","Não","Maranhão","Brasil","São Raimundo das Mangabeiras, Maranhão, Brasil"
192,"Região do Médio Mearim","2111631","São Raimundo do Doca Bezerra","Porte I","Não","Maranhão","Brasil","São Raimundo do Doca Bezerra, Maranhão, Brasil"
195,"Região do Pindaré","2111722","Satubinha","Porte I","Não","Maranhão","Brasil","Satubinha, Maranhão, Brasil"
196,"Região da Pré-Amazônia","2111748","Senador Alexandre Costa","Porte I","Não","Maranhão","Brasil","Senador Alexandre Costa, Maranhão, Brasil"
197,"Região do Tocantins","2111763","Senador La Roque","Porte I","Não","Maranhão","Brasil","Senador La Roque, Maranhão, Brasil"
198,"Região do Litoral Ocidental","2111789","Serrano do Maranhão","Porte I","Não","Maranhão","Brasil","Serrano do Maranhão, Maranhão, Brasil"
199,"Região das Serras","2111805","Sítio Novo","Porte I","Não","Maranhão","Brasil","Sítio Novo, Maranhão, Brasil"
200,"Região do Alpercatas","2111904","Sucupira do Norte","Porte I","Não","Maranhão","Brasil","Sucupira do Norte, Maranhão, Brasil"
201,"Região do Sertão Maranhense","2111953","Sucupira do Riachão","Porte I","Não","Maranhão","Brasil","Sucupira do Riachão, Maranhão, Brasil"
202,"Região dos Gerais De Balsas","2112001","Tasso Fragoso","Porte I","Não","Maranhão","Brasil","Tasso Fragoso, Maranhão, Brasil"
205,"Região do Médio Mearim","2112233","Trizidela do Vale","Porte I","Não","Maranhão","Brasil","Trizidela do Vale, Maranhão, Brasil"
206,"Região do Pindaré","2112274","Tufilândia","Porte I","Não","Maranhão","Brasil","Tufilândia, Maranhão, Brasil"
214,"Região dos Carajás","2112852","Vila Nova dos Martírios","Porte I","Não","Maranhão","Brasil","Vila Nova dos Martírios, Maranhão, Brasil"
19,"Região do Baixo Munim","2101103","Axixá","Porte I","Sim","Maranhão","Brasil","Axixá, Maranhão, Brasil"
21,"Região do Baixo Munim","2101251","Bacabeira","Porte I","Sim","Maranhão","Brasil","Bacabeira, Maranhão, Brasil"
23,"Região da Baixada Maranhense","2101350","Bacurituba","Porte I","Sim","Maranhão","Brasil","Bacurituba, Maranhão, Brasil"
43,"Região do Baixo Munim","2102374","Cachoeira Grande","Porte I","Sim","Maranhão","Brasil","Cachoeira Grande, Maranhão, Brasil"
44,"Região da Baixada Maranhense","2102408","Cajapió","Porte I","Sim","Maranhão","Brasil","Cajapió, Maranhão, Brasil"
45,"Região dos Lagos","2102507","Cajari","Porte I","Sim","Maranhão","Brasil","Cajari, Maranhão, Brasil"
91,"Região das Serras","2105351","Itaipava do Grajaú","Porte I","Sim","Maranhão","Brasil","Itaipava do Grajaú, Maranhão, Brasil"
116,"Região dos Eixos Rodoferroviários","2106631","Matões do Norte","Porte I","Sim","Maranhão","Brasil","Matões do Norte, Maranhão, Brasil"
123,"Região do Baixo Munim","2107100","Morros","Porte I","Sim","Maranhão","Brasil","Morros, Maranhão, Brasil"
124,"Região do Baixo Itapecuru","2107209","Nina Rodrigues","Porte I","Sim","Maranhão","Brasil","Nina Rodrigues, Maranhão, Brasil"
129,"Região dos Lagos","2107456","Olinda Nova do Maranhão","Porte I","Sim","Maranhão","Brasil","Olinda Nova do Maranhão, Maranhão, Brasil"
146,"Região dos Eixos Rodoferroviários","2108801","Pirapemas","Porte I","Sim","Maranhão","Brasil","Pirapemas, Maranhão, Brasil"
154,"Região do Baixo Itapecuru","2109304","Presidente Vargas","Porte I","Sim","Maranhão","Brasil","Presidente Vargas, Maranhão, Brasil"
193,"Região do Médio Mearim","2111672","São Roberto","Porte I","Sim","Maranhão","Brasil","São Roberto, Maranhão, Brasil"
156,"Região da Ilha do Maranhão","2109452","Raposa","Porte II","Sim","Maranhão","Brasil","Raposa, Maranhão, Brasil"
203,"Região dos Cocais","2112100","Timbiras","Porte II","Sim","Maranhão","Brasil","Timbiras, Maranhão, Brasil"
4,"Região do Pericumã","2100204","Alcântara","Porte II","Não","Maranhão","Brasil","Alcântara, Maranhão, Brasil"
5,"Região dos Timbiras","2100303","Aldeias Altas","Porte II","Não","Maranhão","Brasil","Aldeias Altas, Maranhão, Brasil"
7,"Região dos Cocais","2100436","Alto Alegre do Maranhão","Porte II","Não","Maranhão","Brasil","Alto Alegre do Maranhão, Maranhão, Brasil"
8,"Região do Pindaré","2100477","Alto Alegre do Pindaré","Porte II","Não","Maranhão","Brasil","Alto Alegre do Pindaré, Maranhão, Brasil"
11,"Região do Tocantins","2100600","Amarante do Maranhão","Porte II","Não","Maranhão","Brasil","Amarante do Maranhão, Maranhão, Brasil"
12,"Região do Baixo Itapecuru","2100709","Anajatuba","Porte II","Não","Maranhão","Brasil","Anajatuba, Maranhão, Brasil"
16,"Região do Delta do Parnaíba","2100907","Araioses","Porte II","Não","Maranhão","Brasil","Araioses, Maranhão, Brasil"
17,"Região das Serras","2100956","Arame","Porte II","Não","Maranhão","Brasil","Arame, Maranhão, Brasil"
18,"Região dos Eixos Rodoferroviários","2101004","Arari","Porte II","Não","Maranhão","Brasil","Arari, Maranhão, Brasil"
31,"Região do Pericumã","2101905","Bequimão","Porte II","Não","Maranhão","Brasil","Bequimão, Maranhão, Brasil"
34,"Região do Pindaré","2102002","Bom Jardim","Porte II","Não","Maranhão","Brasil","Bom Jardim, Maranhão, Brasil"
35,"Região dos Carajás","2102036","Bom Jesus das Selvas","Porte II","Não","Maranhão","Brasil","Bom Jesus das Selvas, Maranhão, Brasil"
37,"Região do Delta do Parnaíba","2102101","Brejo","Porte II","Não","Maranhão","Brasil","Brejo, Maranhão, Brasil"
39,"Região do Alto Munim","2102200","Buriti","Porte II","Não","Maranhão","Brasil","Buriti, Maranhão, Brasil"
40,"Região do Alpercatas","2102309","Buriti Bravo","Porte II","Não","Maranhão","Brasil","Buriti Bravo, Maranhão, Brasil"
48,"Região dos Eixos Rodoferroviários","2102705","Cantanhede","Porte II","Não","Maranhão","Brasil","Cantanhede, Maranhão, Brasil"
50,"Região da Chapada das Mesas","2102804","Carolina","Porte II","Não","Maranhão","Brasil","Carolina, Maranhão, Brasil"
51,"Região do Gurupi","2102903","Carutapera","Porte II","Não","Maranhão","Brasil","Carutapera, Maranhão, Brasil"
60,"Região dos Timbiras","2103406","Coelho Neto","Porte II","Não","Maranhão","Brasil","Coelho Neto, Maranhão, Brasil"
61,"Região do Alpercatas","2103505","Colinas","Porte II","Não","Maranhão","Brasil","Colinas, Maranhão, Brasil"
64,"Região do Litoral Ocidental","2103703","Cururupu","Porte II","Não","Maranhão","Brasil","Cururupu, Maranhão, Brasil"
66,"Região do Flores","2103802","Dom Pedro","Porte II","Não","Maranhão","Brasil","Dom Pedro, Maranhão, Brasil"
69,"Região da Chapada das Mesas","2104057","Estreito","Porte II","Não","Maranhão","Brasil","Estreito, Maranhão, Brasil"
82,"Região do Baixo Turi","2104677","Governador Nunes Freire","Porte II","Não","Maranhão","Brasil","Governador Nunes Freire, Maranhão, Brasil"
86,"Região dos Lençóis Maranhenses","2105005","Humberto de Campos","Porte II","Não","Maranhão","Brasil","Humberto de Campos, Maranhão, Brasil"
87,"Região do Baixo Munim","2105104","Icatu","Porte II","Não","Maranhão","Brasil","Icatu, Maranhão, Brasil"
93,"Região dos Carajás","2105427","Itinga do Maranhão","Porte II","Não","Maranhão","Brasil","Itinga do Maranhão, Maranhão, Brasil"
96,"Região do Tocantins","2105500","João Lisboa","Porte II","Não","Maranhão","Brasil","João Lisboa, Maranhão, Brasil"
99,"Região dos Imigrantes","2105708","Lago da Pedra","Porte II","Não","Maranhão","Brasil","Lago da Pedra, Maranhão, Brasil"
114,"Região dos Lagos","2106508","Matinha","Porte II","Não","Maranhão","Brasil","Matinha, Maranhão, Brasil"
115,"Região do Médio Parnaíba","2106607","Matões","Porte II","Não","Maranhão","Brasil","Matões, Maranhão, Brasil"
118,"Região do Alpercatas","2106706","Mirador","Porte II","Não","Maranhão","Brasil","Mirador, Maranhão, Brasil"
119,"Região dos Eixos Rodoferroviários","2106755","Miranda do Norte","Porte II","Não","Maranhão","Brasil","Miranda do Norte, Maranhão, Brasil"
121,"Região do Pindaré","2106904","Monção","Porte II","Não","Maranhão","Brasil","Monção, Maranhão, Brasil"
132,"Região do Sertão Maranhense","2107704","Paraibano","Porte II","Não","Maranhão","Brasil","Paraibano, Maranhão, Brasil"
133,"Região do Médio Parnaíba","2107803","Parnarama","Porte II","Não","Maranhão","Brasil","Parnarama, Maranhão, Brasil"
137,"Região dos Imigrantes","2108108","Paulo Ramos","Porte II","Não","Maranhão","Brasil","Paulo Ramos, Maranhão, Brasil"
138,"Região do Médio Mearim","2108207","Pedreiras","Porte II","Não","Maranhão","Brasil","Pedreiras, Maranhão, Brasil"
139,"Região do Pericumã","2108256","Pedro do Rosário","Porte II","Não","Maranhão","Brasil","Pedro do Rosário, Maranhão, Brasil"
140,"Região dos Lagos","2108306","Penalva","Porte II","Não","Maranhão","Brasil","Penalva, Maranhão, Brasil"
142,"Região dos Cocais","2108454","Peritoró","Porte II","Não","Maranhão","Brasil","Peritoró, Maranhão, Brasil"
143,"Região do Pindaré","2108504","Pindaré-Mirim","Porte II","Não","Maranhão","Brasil","Pindaré-Mirim, Maranhão, Brasil"
145,"Região do Pindaré","2108702","Pio Xii","Porte II","Não","Maranhão","Brasil","Pio Xii, Maranhão, Brasil"
148,"Região da Chapada das Mesas","2109007","Porto Franco","Porte II","Não","Maranhão","Brasil","Porto Franco, Maranhão, Brasil"
150,"Região da Pré-Amazônia","2109106","Presidente Dutra","Porte II","Não","Maranhão","Brasil","Presidente Dutra, Maranhão, Brasil"
157,"Região dos Gerais De Balsas","2109502","Riachão","Porte II","Não","Maranhão","Brasil","Riachão, Maranhão, Brasil"
159,"Região do Baixo Munim","2109601","Rosário","Porte II","Não","Maranhão","Brasil","Rosário, Maranhão, Brasil"
162,"Região do Pericumã","2109809","Santa Helena","Porte II","Não","Maranhão","Brasil","Santa Helena, Maranhão, Brasil"
165,"Região do Alto Turi","2110039","Santa Luzia do Paruá","Porte II","Não","Maranhão","Brasil","Santa Luzia do Paruá, Maranhão, Brasil"
166,"Região do Delta do Parnaíba","2110104","Santa Quitéria do Maranhão","Porte II","Não","Maranhão","Brasil","Santa Quitéria do Maranhão , Maranhão, Brasil"
167,"Região do Baixo Itapecuru","2110203","Santa Rita","Porte II","Não","Maranhão","Brasil","Santa Rita, Maranhão, Brasil"
172,"Região da Baixada Maranhense","2110500","São Bento","Porte II","Não","Maranhão","Brasil","São Bento, Maranhão, Brasil"
173,"Região do Delta do Parnaíba","2110609","São Bernardo","Porte II","Não","Maranhão","Brasil","São Bernardo, Maranhão, Brasil"
175,"Região da Pré-Amazônia","2110708","São Domingos do Maranhão","Porte II","Não","Maranhão","Brasil","São Domingos do Maranhão, Maranhão, Brasil"
183,"Região do Sertão Maranhense","2111102","São João dos Patos","Porte II","Não","Maranhão","Brasil","São João dos Patos, Maranhão, Brasil"
187,"Região do Mearim","2111409","São Luís Gonzaga do Maranhão","Porte II","Não","Maranhão","Brasil","São Luís Gonzaga do Maranhão, Maranhão, Brasil"
188,"Região dos Eixos Rodoferroviários","2111508","São Mateus do Maranhão","Porte II","Não","Maranhão","Brasil","São Mateus do Maranhão, Maranhão, Brasil"
194,"Região da Baixada Maranhense","2111706","São Vicente Ferrer","Porte II","Não","Maranhão","Brasil","São Vicente Ferrer, Maranhão, Brasil"
207,"Região da Pré-Amazônia","2112308","Tuntum","Porte II","Não","Maranhão","Brasil","Tuntum, Maranhão, Brasil"
208,"Região do Pericumã","2112407","Turiaçu","Porte II","Não","Maranhão","Brasil","Turiaçu, Maranhão, Brasil"
209,"Região do Pericumã","2112456","Turilândia","Porte II","Não","Maranhão","Brasil","Turilândia, Maranhão, Brasil"
211,"Região do Alto Munim","2112605","Urbano Santos","Porte II","Não","Maranhão","Brasil","Urbano Santos, Maranhão, Brasil"
212,"Região do Baixo Itapecuru","2112704","Vargem Grande","Porte II","Não","Maranhão","Brasil","Vargem Grande, Maranhão, Brasil"
213,"Região dos Lagos","2112803","Viana","Porte II","Não","Maranhão","Brasil","Viana, Maranhão, Brasil"
215,"Região dos Eixos Rodoferroviários","2112902","Vitória do Mearim","Porte II","Não","Maranhão","Brasil","Vitória do Mearim, Maranhão, Brasil"
216,"Região do Mearim","2113009","Vitorino Freire","Porte II","Não","Maranhão","Brasil","Vitorino Freire, Maranhão, Brasil"
1,"Região dos Carajás","2100055","Açailândia","Grande Porte","Não","Maranhão","Brasil","Açailândia, Maranhão, Brasil"
20,"Região do Mearim","2101202","Bacabal","Grande Porte","Não","Maranhão","Brasil","Bacabal, Maranhão, Brasil"
24,"Região dos Gerais De Balsas","2101400","Balsas","Médio Porte","Não","Maranhão","Brasil","Balsas, Maranhão, Brasil"
26,"Região dos Guajajaras","2101608","Barra do Corda","Médio Porte","Não","Maranhão","Brasil","Barra do Corda, Maranhão, Brasil"
27,"Região dos Lençóis Maranhenses","2101707","Barreirinhas","Médio Porte","Não","Maranhão","Brasil","Barreirinhas, Maranhão, Brasil"
41,"Região dos Carajás","2102325","Buriticupu","Médio Porte","Não","Maranhão","Brasil","Buriticupu, Maranhão, Brasil"
52,"Região dos Timbiras","2103000","Caxias","Grande Porte","Não","Maranhão","Brasil","Caxias, Maranhão, Brasil"
57,"Região do Alto Munim","2103208","Chapadinha","Médio Porte","Não","Maranhão","Brasil","Chapadinha, Maranhão, Brasil"
59,"Região dos Cocais","2103307","Codó","Grande Porte","Não","Maranhão","Brasil","Codó, Maranhão, Brasil"
63,"Região dos Cocais","2103604","Coroatá","Médio Porte","Sim","Maranhão","Brasil","Coroatá, Maranhão, Brasil"
84,"Região das Serras","2104800","Grajaú","Médio Porte","Não","Maranhão","Brasil","Grajaú, Maranhão, Brasil"
90,"Região do Tocantins","2105302","Imperatriz","Grande Porte","Não","Maranhão","Brasil","Imperatriz, Maranhão, Brasil"
92,"Região do Baixo Itapecuru","2105401","Itapecuru Mirim","Médio Porte","Não","Maranhão","Brasil","Itapecuru Mirim, Maranhão, Brasil"
