protocolo,FK_dt_protocolo,qtd,FK_CO,FK_municipio
"2021.6-108.1010",2021-06-29 00:00:00.000,3,4,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,5,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,21,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,19,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,20,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,45,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,43,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,44,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,33,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,31,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,32,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,9,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,7,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,8,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,24,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,22,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,23,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,48,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,46,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,47,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,36,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,34,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,35,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,12,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,10,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,11,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,15,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,13,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,14,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,39,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,37,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,38,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,27,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,25,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,26,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,3,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,1,
"2021.6-108.1010",2021-06-29 00:00:00.000,5,2,
"2021.6-108.1009",2021-06-29 00:00:00.000,1,18,
"2021.6-108.1009",2021-06-29 00:00:00.000,1,16,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,17,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,42,
"2021.6-108.1009",2021-06-29 00:00:00.000,5,40,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,41,
"2021.6-108.1009",2021-06-29 00:00:00.000,8,30,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,28,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,29,
"2021.6-108.1009",2021-06-29 00:00:00.000,5,6,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,4,
"2021.6-108.1009",2021-06-29 00:00:00.000,3,5,
"2021.6-108.1009",2021-06-29 00:00:00.000,9,21,
"2021.6-108.1009",2021-06-29 00:00:00.000,8,19,
"2021.6-108.1009",2021-06-29 00:00:00.000,77,20,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,45,
"2021.6-108.1009",2021-06-29 00:00:00.000,5,43,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,44,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,33,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,31,
"2021.6-108.1009",2021-06-29 00:00:00.000,8,32,
"2021.6-108.1009",2021-06-29 00:00:00.000,3,9,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,7,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,8,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,24,
"2021.6-108.1009",2021-06-29 00:00:00.000,3,22,
"2021.6-108.1009",2021-06-29 00:00:00.000,2,23,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,48,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,46,
"2021.6-108.1009",2021-06-29 00:00:00.000,89,47,
"2021.6-108.1009",2021-06-29 00:00:00.000,8,36,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,34,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,35,
"2021.6-108.1009",2021-06-29 00:00:00.000,65,12,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,10,
"2021.6-108.1009",2021-06-29 00:00:00.000,0,11,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,15,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,13,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,14,
"2021.6-108.1009",2021-06-29 00:00:00.000,54,39,
"2021.6-108.1009",2021-06-29 00:00:00.000,4,37,
"2021.6-108.1009",2021-06-29 00:00:00.000,5,38,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,27,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,25,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,26,
"2021.6-108.1009",2021-06-29 00:00:00.000,78,3,
"2021.6-108.1009",2021-06-29 00:00:00.000,7,1,
"2021.6-108.1009",2021-06-29 00:00:00.000,6,2,
