Date,Year,MonthNumber,Month,YearMonth,Quarter,WeekDayNum,WeekDayEngShort,WeekDayRuShort,WorkDayEng,WorkDayRu,WeekNumber,KZT
2018-08-03 00:00:00.000,2018,8,"August","2018-08","Qtr 3",5,"Fri","ПТ","workday","будний",31,91
2018-08-10 00:00:00.000,2018,8,"August","2018-08","Qtr 3",5,"Fri","ПТ","workday","будний",32,93
2018-08-17 00:00:00.000,2018,8,"August","2018-08","Qtr 3",5,"Fri","ПТ","workday","будний",33,116
2018-08-24 00:00:00.000,2018,8,"August","2018-08","Qtr 3",5,"Fri","ПТ","workday","будний",34,95
2018-08-31 00:00:00.000,2018,8,"August","2018-08","Qtr 3",5,"Fri","ПТ","workday","будний",35,108
2018-09-07 00:00:00.000,2018,9,"September","2018-09","Qtr 3",5,"Fri","ПТ","workday","будний",36,97
2018-09-14 00:00:00.000,2018,9,"September","2018-09","Qtr 3",5,"Fri","ПТ","workday","будний",37,120
2018-09-21 00:00:00.000,2018,9,"September","2018-09","Qtr 3",5,"Fri","ПТ","workday","будний",38,81
2018-09-28 00:00:00.000,2018,9,"September","2018-09","Qtr 3",5,"Fri","ПТ","workday","будний",39,117
2018-10-05 00:00:00.000,2018,10,"October","2018-10","Qtr 4",5,"Fri","ПТ","workday","будний",40,87
2018-10-12 00:00:00.000,2018,10,"October","2018-10","Qtr 4",5,"Fri","ПТ","workday","будний",41,119
2018-10-19 00:00:00.000,2018,10,"October","2018-10","Qtr 4",5,"Fri","ПТ","workday","будний",42,106
2018-10-26 00:00:00.000,2018,10,"October","2018-10","Qtr 4",5,"Fri","ПТ","workday","будний",43,91
2018-11-02 00:00:00.000,2018,11,"November","2018-11","Qtr 4",5,"Fri","ПТ","workday","будний",44,118
2018-11-09 00:00:00.000,2018,11,"November","2018-11","Qtr 4",5,"Fri","ПТ","workday","будний",45,120
2018-11-16 00:00:00.000,2018,11,"November","2018-11","Qtr 4",5,"Fri","ПТ","workday","будний",46,105
2018-11-23 00:00:00.000,2018,11,"November","2018-11","Qtr 4",5,"Fri","ПТ","workday","будний",47,86
2018-11-30 00:00:00.000,2018,11,"November","2018-11","Qtr 4",5,"Fri","ПТ","workday","будний",48,96
2018-12-07 00:00:00.000,2018,12,"December","2018-12","Qtr 4",5,"Fri","ПТ","workday","будний",49,101
2018-12-14 00:00:00.000,2018,12,"December","2018-12","Qtr 4",5,"Fri","ПТ","workday","будний",50,85
2018-12-21 00:00:00.000,2018,12,"December","2018-12","Qtr 4",5,"Fri","ПТ","workday","будний",51,110
2018-12-28 00:00:00.000,2018,12,"December","2018-12","Qtr 4",5,"Fri","ПТ","workday","будний",52,114
2019-01-04 00:00:00.000,2019,1,"January","2019-01","Qtr 1",5,"Fri","ПТ","workday","будний",1,88
2019-01-11 00:00:00.000,2019,1,"January","2019-01","Qtr 1",5,"Fri","ПТ","workday","будний",2,113
2019-01-18 00:00:00.000,2019,1,"January","2019-01","Qtr 1",5,"Fri","ПТ","workday","будний",3,92
2019-01-25 00:00:00.000,2019,1,"January","2019-01","Qtr 1",5,"Fri","ПТ","workday","будний",4,105
2019-02-01 00:00:00.000,2019,2,"February","2019-02","Qtr 1",5,"Fri","ПТ","workday","будний",5,98
2019-02-08 00:00:00.000,2019,2,"February","2019-02","Qtr 1",5,"Fri","ПТ","workday","будний",6,95
2019-02-15 00:00:00.000,2019,2,"February","2019-02","Qtr 1",5,"Fri","ПТ","workday","будний",7,101
2019-02-22 00:00:00.000,2019,2,"February","2019-02","Qtr 1",5,"Fri","ПТ","workday","будний",8,113
2019-03-01 00:00:00.000,2019,3,"March","2019-03","Qtr 1",5,"Fri","ПТ","workday","будний",9,87
2019-03-08 00:00:00.000,2019,3,"March","2019-03","Qtr 1",5,"Fri","ПТ","workday","будний",10,87
2019-03-15 00:00:00.000,2019,3,"March","2019-03","Qtr 1",5,"Fri","ПТ","workday","будний",11,104
2019-03-22 00:00:00.000,2019,3,"March","2019-03","Qtr 1",5,"Fri","ПТ","workday","будний",12,113
2019-03-29 00:00:00.000,2019,3,"March","2019-03","Qtr 1",5,"Fri","ПТ","workday","будний",13,119
2019-04-05 00:00:00.000,2019,4,"April","2019-04","Qtr 2",5,"Fri","ПТ","workday","будний",14,112
2019-04-12 00:00:00.000,2019,4,"April","2019-04","Qtr 2",5,"Fri","ПТ","workday","будний",15,117
2019-04-19 00:00:00.000,2019,4,"April","2019-04","Qtr 2",5,"Fri","ПТ","workday","будний",16,103
2019-04-26 00:00:00.000,2019,4,"April","2019-04","Qtr 2",5,"Fri","ПТ","workday","будний",17,82
2019-05-03 00:00:00.000,2019,5,"May","2019-05","Qtr 2",5,"Fri","ПТ","workday","будний",18,120
2019-05-10 00:00:00.000,2019,5,"May","2019-05","Qtr 2",5,"Fri","ПТ","workday","будний",19,117
2019-05-17 00:00:00.000,2019,5,"May","2019-05","Qtr 2",5,"Fri","ПТ","workday","будний",20,117
2019-05-24 00:00:00.000,2019,5,"May","2019-05","Qtr 2",5,"Fri","ПТ","workday","будний",21,90
2019-05-31 00:00:00.000,2019,5,"May","2019-05","Qtr 2",5,"Fri","ПТ","workday","будний",22,85
2019-06-07 00:00:00.000,2019,6,"June","2019-06","Qtr 2",5,"Fri","ПТ","workday","будний",23,115
2019-06-14 00:00:00.000,2019,6,"June","2019-06","Qtr 2",5,"Fri","ПТ","workday","будний",24,108
2019-06-21 00:00:00.000,2019,6,"June","2019-06","Qtr 2",5,"Fri","ПТ","workday","будний",25,93
2019-06-28 00:00:00.000,2019,6,"June","2019-06","Qtr 2",5,"Fri","ПТ","workday","будний",26,116
2019-07-05 00:00:00.000,2019,7,"July","2019-07","Qtr 3",5,"Fri","ПТ","workday","будний",27,104
2019-07-12 00:00:00.000,2019,7,"July","2019-07","Qtr 3",5,"Fri","ПТ","workday","будний",28,113
2019-07-19 00:00:00.000,2019,7,"July","2019-07","Qtr 3",5,"Fri","ПТ","workday","будний",29,106
2019-07-26 00:00:00.000,2019,7,"July","2019-07","Qtr 3",5,"Fri","ПТ","workday","будний",30,97
2019-08-02 00:00:00.000,2019,8,"August","2019-08","Qtr 3",5,"Fri","ПТ","workday","будний",31,119
2019-08-09 00:00:00.000,2019,8,"August","2019-08","Qtr 3",5,"Fri","ПТ","workday","будний",32,119
2019-08-16 00:00:00.000,2019,8,"August","2019-08","Qtr 3",5,"Fri","ПТ","workday","будний",33,87
2019-08-23 00:00:00.000,2019,8,"August","2019-08","Qtr 3",5,"Fri","ПТ","workday","будний",34,113
2019-08-30 00:00:00.000,2019,8,"August","2019-08","Qtr 3",5,"Fri","ПТ","workday","будний",35,97
2019-09-06 00:00:00.000,2019,9,"September","2019-09","Qtr 3",5,"Fri","ПТ","workday","будний",36,98
2019-09-13 00:00:00.000,2019,9,"September","2019-09","Qtr 3",5,"Fri","ПТ","workday","будний",37,80
2019-09-20 00:00:00.000,2019,9,"September","2019-09","Qtr 3",5,"Fri","ПТ","workday","будний",38,85
2019-09-27 00:00:00.000,2019,9,"September","2019-09","Qtr 3",5,"Fri","ПТ","workday","будний",39,99
2019-10-04 00:00:00.000,2019,10,"October","2019-10","Qtr 4",5,"Fri","ПТ","workday","будний",40,89
2019-10-11 00:00:00.000,2019,10,"October","2019-10","Qtr 4",5,"Fri","ПТ","workday","будний",41,81
2019-10-18 00:00:00.000,2019,10,"October","2019-10","Qtr 4",5,"Fri","ПТ","workday","будний",42,88
2019-10-25 00:00:00.000,2019,10,"October","2019-10","Qtr 4",5,"Fri","ПТ","workday","будний",43,111
2019-11-01 00:00:00.000,2019,11,"November","2019-11","Qtr 4",5,"Fri","ПТ","workday","будний",44,119
2019-11-08 00:00:00.000,2019,11,"November","2019-11","Qtr 4",5,"Fri","ПТ","workday","будний",45,97
2019-11-15 00:00:00.000,2019,11,"November","2019-11","Qtr 4",5,"Fri","ПТ","workday","будний",46,102
2019-11-22 00:00:00.000,2019,11,"November","2019-11","Qtr 4",5,"Fri","ПТ","workday","будний",47,86
2019-11-29 00:00:00.000,2019,11,"November","2019-11","Qtr 4",5,"Fri","ПТ","workday","будний",48,95
2019-12-06 00:00:00.000,2019,12,"December","2019-12","Qtr 4",5,"Fri","ПТ","workday","будний",49,110
2019-12-13 00:00:00.000,2019,12,"December","2019-12","Qtr 4",5,"Fri","ПТ","workday","будний",50,108
2019-12-20 00:00:00.000,2019,12,"December","2019-12","Qtr 4",5,"Fri","ПТ","workday","будний",51,114
2019-12-27 00:00:00.000,2019,12,"December","2019-12","Qtr 4",5,"Fri","ПТ","workday","будний",52,93
2016-01-04 00:00:00.000,2016,1,"January","2016-01","Qtr 1",1,"Mon","ПН","workday","будний",2,97
2016-01-11 00:00:00.000,2016,1,"January","2016-01","Qtr 1",1,"Mon","ПН","workday","будний",3,80
2016-01-18 00:00:00.000,2016,1,"January","2016-01","Qtr 1",1,"Mon","ПН","workday","будний",4,84
2016-01-25 00:00:00.000,2016,1,"January","2016-01","Qtr 1",1,"Mon","ПН","workday","будний",5,85
2016-02-01 00:00:00.000,2016,2,"February","2016-02","Qtr 1",1,"Mon","ПН","workday","будний",6,113
2016-02-08 00:00:00.000,2016,2,"February","2016-02","Qtr 1",1,"Mon","ПН","workday","будний",7,80
2016-02-15 00:00:00.000,2016,2,"February","2016-02","Qtr 1",1,"Mon","ПН","workday","будний",8,114
2016-02-22 00:00:00.000,2016,2,"February","2016-02","Qtr 1",1,"Mon","ПН","workday","будний",9,80
2016-02-29 00:00:00.000,2016,2,"February","2016-02","Qtr 1",1,"Mon","ПН","workday","будний",10,97
2016-03-07 00:00:00.000,2016,3,"March","2016-03","Qtr 1",1,"Mon","ПН","workday","будний",11,91
2016-03-14 00:00:00.000,2016,3,"March","2016-03","Qtr 1",1,"Mon","ПН","workday","будний",12,89
2016-03-21 00:00:00.000,2016,3,"March","2016-03","Qtr 1",1,"Mon","ПН","workday","будний",13,115
2016-03-28 00:00:00.000,2016,3,"March","2016-03","Qtr 1",1,"Mon","ПН","workday","будний",14,116
2016-04-04 00:00:00.000,2016,4,"April","2016-04","Qtr 2",1,"Mon","ПН","workday","будний",15,114
2016-04-11 00:00:00.000,2016,4,"April","2016-04","Qtr 2",1,"Mon","ПН","workday","будний",16,87
2016-04-18 00:00:00.000,2016,4,"April","2016-04","Qtr 2",1,"Mon","ПН","workday","будний",17,86
2016-04-25 00:00:00.000,2016,4,"April","2016-04","Qtr 2",1,"Mon","ПН","workday","будний",18,106
2016-05-02 00:00:00.000,2016,5,"May","2016-05","Qtr 2",1,"Mon","ПН","workday","будний",19,85
2016-05-09 00:00:00.000,2016,5,"May","2016-05","Qtr 2",1,"Mon","ПН","workday","будний",20,120
2016-05-16 00:00:00.000,2016,5,"May","2016-05","Qtr 2",1,"Mon","ПН","workday","будний",21,81
2016-05-23 00:00:00.000,2016,5,"May","2016-05","Qtr 2",1,"Mon","ПН","workday","будний",22,80
2016-05-30 00:00:00.000,2016,5,"May","2016-05","Qtr 2",1,"Mon","ПН","workday","будний",23,104
2016-06-06 00:00:00.000,2016,6,"June","2016-06","Qtr 2",1,"Mon","ПН","workday","будний",24,105
2016-06-13 00:00:00.000,2016,6,"June","2016-06","Qtr 2",1,"Mon","ПН","workday","будний",25,90
2016-06-20 00:00:00.000,2016,6,"June","2016-06","Qtr 2",1,"Mon","ПН","workday","будний",26,101
2016-06-27 00:00:00.000,2016,6,"June","2016-06","Qtr 2",1,"Mon","ПН","workday","будний",27,98
2016-07-04 00:00:00.000,2016,7,"July","2016-07","Qtr 3",1,"Mon","ПН","workday","будний",28,120
2016-07-11 00:00:00.000,2016,7,"July","2016-07","Qtr 3",1,"Mon","ПН","workday","будний",29,94
2016-07-18 00:00:00.000,2016,7,"July","2016-07","Qtr 3",1,"Mon","ПН","workday","будний",30,111
2016-07-25 00:00:00.000,2016,7,"July","2016-07","Qtr 3",1,"Mon","ПН","workday","будний",31,102
2016-08-01 00:00:00.000,2016,8,"August","2016-08","Qtr 3",1,"Mon","ПН","workday","будний",32,112
2016-08-08 00:00:00.000,2016,8,"August","2016-08","Qtr 3",1,"Mon","ПН","workday","будний",33,89
2016-08-15 00:00:00.000,2016,8,"August","2016-08","Qtr 3",1,"Mon","ПН","workday","будний",34,85
2016-08-22 00:00:00.000,2016,8,"August","2016-08","Qtr 3",1,"Mon","ПН","workday","будний",35,100
