Store Index,variable,value
15,City,Dover
16,City,Washington
17,City,Atlanta
18,City,Huntsville
19,City,Indianapolis
20,City,Little Rock
21,City,Denver
22,City,Montpelier
23,City,Phoenix
24,City,Honolulu
25,City,Anchorage
26,City, ATHERTON
27,City, MANALAPAN
28,City, LOS ALTOS
29,City, PALO ALTO
30,City,ROSS
31,City, SAGAPONACK
32,City, WOODY CREEK
33,City, BEVERLY HILLS
34,City,LONGMEADOW
35,City,COLORADO SPRINGS
36,City,STOCKTON
37,City,PHILADELPHIA
38,City,TUCSON
39,City,Hartford
40,City,Dover
41,City,Washington
42,City,Atlanta
43,City,Huntsville
44,City,Indianapolis
45,City,Little Rock
46,City,Denver
47,City,Montpelier
48,City,Phoenix
49,City, ATHERTON
50,City, LOS ALTOS
51,City, PALO ALTO
52,City,ROSS
53,City, WOODY CREEK
54,City, BEVERLY HILLS
55,City,COLORADO SPRINGS
56,City,STOCKTON
57,City,TUCSON
58,City,Washington
59,City,Denver
60,City,Montpelier
61,City,Phoenix
62,City,"Toronto, Canada"
63,City,"Motreal, Canada"
64,City,"Quebec, Canada"
1,Zip,94027
2,Zip,33462
3,Zip,94022
4,Zip,94301
5,Zip,94957
6,Zip,11962
7,Zip,81656
8,Zip,90210
9,Zip,1106
10,Zip,80922
11,Zip,95202
12,Zip,19019
13,Zip,85713
14,Zip,6101
15,Zip,19901
16,Zip,20001
17,Zip,30301
18,Zip,35801
19,Zip,46201
20,Zip,72201
21,Zip,80201
22,Zip,83254
23,Zip,85001
24,Zip,96801
25,Zip,99501
26,Zip,94027
27,Zip,33462
28,Zip,94022
29,Zip,94301
30,Zip,94957
31,Zip,11962
32,Zip,81656
33,Zip,90210
34,Zip,1106
35,Zip,80922
36,Zip,95202
37,Zip,19019
38,Zip,85713
39,Zip,6101
40,Zip,19901
41,Zip,20001
42,Zip,30301
43,Zip,35801
44,Zip,46201
45,Zip,72201
46,Zip,80201
47,Zip,83254
48,Zip,85001
49,Zip,94027
50,Zip,94022
51,Zip,94301
52,Zip,94957
53,Zip,81656
54,Zip,90210
55,Zip,80922
56,Zip,95202
57,Zip,85713
58,Zip,20001
59,Zip,80201
60,Zip,83254
61,Zip,85001
62,Zip,M5V 2A5
63,Zip,QC H2L
64,Zip,QC G1R
1,Zip_ID,1
2,Zip_ID,2
3,Zip_ID,3
4,Zip_ID,4
5,Zip_ID,5
6,Zip_ID,6
7,Zip_ID,7
8,Zip_ID,8
9,Zip_ID,9
10,Zip_ID,10
11,Zip_ID,12
12,Zip_ID,11
13,Zip_ID,13
14,Zip_ID,14
15,Zip_ID,15
16,Zip_ID,16
17,Zip_ID,17
18,Zip_ID,18
19,Zip_ID,19
20,Zip_ID,20
21,Zip_ID,21
22,Zip_ID,22
23,Zip_ID,23
24,Zip_ID,24
25,Zip_ID,25
26,Zip_ID,1
27,Zip_ID,2
28,Zip_ID,3
29,Zip_ID,4
30,Zip_ID,5
31,Zip_ID,6
32,Zip_ID,7
33,Zip_ID,8
34,Zip_ID,9
35,Zip_ID,10
36,Zip_ID,12
37,Zip_ID,11
38,Zip_ID,13
39,Zip_ID,14
40,Zip_ID,15
41,Zip_ID,16
42,Zip_ID,17
43,Zip_ID,18
44,Zip_ID,19
45,Zip_ID,20
46,Zip_ID,21
47,Zip_ID,22
48,Zip_ID,23
49,Zip_ID,1
50,Zip_ID,3
51,Zip_ID,4
52,Zip_ID,5
53,Zip_ID,7
54,Zip_ID,8
55,Zip_ID,10
56,Zip_ID,12
57,Zip_ID,13
58,Zip_ID,16
59,Zip_ID,21
60,Zip_ID,22
61,Zip_ID,23
62,Zip_ID,26
63,Zip_ID,27
64,Zip_ID,28
1,Store_Sq_Ft,1000
2,Store_Sq_Ft,1000
3,Store_Sq_Ft,1000
4,Store_Sq_Ft,1000
5,Store_Sq_Ft,1000
6,Store_Sq_Ft,1000
7,Store_Sq_Ft,1000
8,Store_Sq_Ft,1000
9,Store_Sq_Ft,1000
10,Store_Sq_Ft,1000
11,Store_Sq_Ft,1400
12,Store_Sq_Ft,1400
13,Store_Sq_Ft,1000
14,Store_Sq_Ft,1000
15,Store_Sq_Ft,1000
16,Store_Sq_Ft,1000
17,Store_Sq_Ft,1400
18,Store_Sq_Ft,1000
19,Store_Sq_Ft,1400
20,Store_Sq_Ft,1000
21,Store_Sq_Ft,1400
22,Store_Sq_Ft,1000
23,Store_Sq_Ft,1000
24,Store_Sq_Ft,300
25,Store_Sq_Ft,300
26,Store_Sq_Ft,600
27,Store_Sq_Ft,600
28,Store_Sq_Ft,600
29,Store_Sq_Ft,600
30,Store_Sq_Ft,600
31,Store_Sq_Ft,600
32,Store_Sq_Ft,600
33,Store_Sq_Ft,600
34,Store_Sq_Ft,600
35,Store_Sq_Ft,800
36,Store_Sq_Ft,600
37,Store_Sq_Ft,1000
38,Store_Sq_Ft,600
39,Store_Sq_Ft,600
40,Store_Sq_Ft,600
41,Store_Sq_Ft,600
42,Store_Sq_Ft,1200
43,Store_Sq_Ft,600
44,Store_Sq_Ft,800
45,Store_Sq_Ft,600
46,Store_Sq_Ft,1000
47,Store_Sq_Ft,600
48,Store_Sq_Ft,1000
49,Store_Sq_Ft,1200
50,Store_Sq_Ft,400
51,Store_Sq_Ft,400
52,Store_Sq_Ft,1200
53,Store_Sq_Ft,1200
54,Store_Sq_Ft,400
55,Store_Sq_Ft,1500
56,Store_Sq_Ft,1200
57,Store_Sq_Ft,1200
58,Store_Sq_Ft,1200
59,Store_Sq_Ft,1500
60,Store_Sq_Ft,1200
61,Store_Sq_Ft,1500
62,Store_Sq_Ft,75000
63,Store_Sq_Ft,50000
64,Store_Sq_Ft,50000
1,Sales_Person,Will S
2,Sales_Person,Will S
3,Sales_Person,Will S
4,Sales_Person,Will S
5,Sales_Person,Joe B
6,Sales_Person,Joe B
7,Sales_Person,Joe B
8,Sales_Person,Joe B
9,Sales_Person,Bill S
10,Sales_Person,Jim S
11,Sales_Person,
12,Sales_Person,
13,Sales_Person,Peter F
14,Sales_Person,Bill S
15,Sales_Person,Bill S
16,Sales_Person,Bill S
17,Sales_Person,Peter F
18,Sales_Person,Peter F
19,Sales_Person,George T
20,Sales_Person,George T
21,Sales_Person,Jim S
22,Sales_Person,Bill S
23,Sales_Person,Peter F
24,Sales_Person,Will S
25,Sales_Person,Will S
26,Sales_Person,Will S
27,Sales_Person,Will S
28,Sales_Person,Will S
29,Sales_Person,Will S
30,Sales_Person,Joe B
31,Sales_Person,Joe B
32,Sales_Person,Joe B
33,Sales_Person,Joe B
34,Sales_Person,Bill S
35,Sales_Person,Jim S
36,Sales_Person,
37,Sales_Person,
38,Sales_Person,Peter F
39,Sales_Person,Bill S
40,Sales_Person,Bill S
41,Sales_Person,Bill S
42,Sales_Person,Peter F
43,Sales_Person,Peter F
44,Sales_Person,George T
45,Sales_Person,George T
46,Sales_Person,Jim S
47,Sales_Person,Bill S
48,Sales_Person,Peter F
49,Sales_Person,Will S
50,Sales_Person,Will S
51,Sales_Person,Will S
52,Sales_Person,Joe B
53,Sales_Person,Joe B
54,Sales_Person,Joe B
55,Sales_Person,Jim S
56,Sales_Person,
57,Sales_Person,Peter F
58,Sales_Person,Bill S
59,Sales_Person,Jim S
60,Sales_Person,Bill S
61,Sales_Person,Peter F
62,Sales_Person,Bill S
63,Sales_Person,Bill S
64,Sales_Person,Bill S
