Property_Number,api_no,well_type,time_from,time_to,activity_phase,event_objective_1,Min of INT1
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-31 00:00:00.000,2020-02-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-31 00:00:00.000,2020-01-31 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-31 00:00:00.000,2020-01-31 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-30 00:00:00.000,2020-01-30 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-30 00:00:00.000,2020-01-31 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-30 00:00:00.000,2020-01-30 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-30 00:00:00.000,2020-01-30 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-30 00:00:00.000,2020-01-30 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-13 00:00:00.000,2020-02-14 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-13 00:00:00.000,2020-02-13 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-13 00:00:00.000,2020-02-13 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-03 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-29 00:00:00.000,2020-01-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-10 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-12 00:00:00.000,2020-02-12 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-29 00:00:00.000,2020-01-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-02 00:00:00.000,2020-03-02 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-02 00:00:00.000,2020-03-02 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-05 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-08 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-07 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-28 00:00:00.000,2020-02-28 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-07 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-06 00:00:00.000,2020-02-06 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-29 00:00:00.000,2020-01-29 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-01-29 00:00:00.000,2020-01-30 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-09 00:00:00.000,2020-02-09 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-01 00:00:00.000,2020-02-02 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-05 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-02 00:00:00.000,2020-02-03 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
