Year,variable,value
1916,AL,2359000.0
1917,AL,2361000.0
1918,AL,2343000.0
1919,AL,2337000.0
1920,AL,2359000.0
1921,AL,2402000.0
1922,AL,2434000.0
1923,AL,2464000.0
1924,AL,2501000.0
1925,AL,2534000.0
1926,AL,2567000.0
1927,AL,2609000.0
1928,AL,2640000.0
1929,AL,2644000.0
1930,AL,2647000.0
1931,AL,2649000.0
1932,AL,2653000.0
1933,AL,2661000.0
1934,AL,2685000.0
1935,AL,2719000.0
1936,AL,2743000.0
1937,AL,2762000.0
1938,AL,2787000.0
1939,AL,2814000.0
1940,AL,2845000.0
1941,AL,2902000.0
1942,AL,2941000.0
1943,AL,2902000.0
1944,AL,2802000.0
1945,AL,2775000.0
1946,AL,2911000.0
1947,AL,2942000.0
1948,AL,2969000.0
1949,AL,3000000.0
1950,AL,3058000.0
1951,AL,3059000.0
1952,AL,3068000.0
1953,AL,3053000.0
1954,AL,3014000.0
1955,AL,3050000.0
1956,AL,3071000.0
1957,AL,3109000.0
1958,AL,3163000.0
1959,AL,3204000.0
1960,AL,3274000.0
1961,AL,3316000.0
1962,AL,3323000.0
1963,AL,3358000.0
1964,AL,3395000.0
1965,AL,3443000.0
1966,AL,3464000.0
1967,AL,3458000.0
1968,AL,3446000.0
1969,AL,3440000.0
1970,AL,3444354.0
1971,AL,3497076.0
1972,AL,3539400.0
1973,AL,3579780.0
1974,AL,3626499.0
1975,AL,3678814.0
1976,AL,3735139.0
1977,AL,3780403.0
1978,AL,3831836.0
1979,AL,3866248.0
1980,AL,3900368.0
1981,AL,3918531.0
1982,AL,3925266.0
1983,AL,3934102.0
1984,AL,3951820.0
1985,AL,3972523.0
1986,AL,3991569.0
1987,AL,4015264.0
1988,AL,4023844.0
1989,AL,4030222.0
1990,AL,4048508.0
1991,AL,4091025.0
1992,AL,4139269.0
1993,AL,4193114.0
1994,AL,4232965.0
1995,AL,4262731.0
1996,AL,4290403.0
1997,AL,4320281.0
1998,AL,4351037.0
1999,AL,4369862.0
2000,AL,4452173.0
2001,AL,4467634.0
2002,AL,4480089.0
2003,AL,4503491.0
2004,AL,4530729.0
2005,AL,4569805.0
2006,AL,4628981.0
2007,AL,4672840.0
2008,AL,4718206.0
2009,AL,4757938.0
2010,AL,4785822.0
2011,AL,4801695.0
2012,AL,4817484.0
2013,AL,4833996.0
2014,AL,4849377.0
2015,AL,4858979.0
1900,AR,1314000.0
1901,AR,1341000.0
1902,AR,1360000.0
1903,AR,1384000.0
1904,AR,1419000.0
1905,AR,1447000.0
1906,AR,1465000.0
1907,AR,1484000.0
1908,AR,1513000.0
1909,AR,1545000.0
1910,AR,1583000.0
1911,AR,1610000.0
1912,AR,1636000.0
1913,AR,1664000.0
1914,AR,1688000.0
1915,AR,1702000.0
1916,AR,1719000.0
1917,AR,1737000.0
1918,AR,1749000.0
1919,AR,1742000.0
1920,AR,1756000.0
1921,AR,1769000.0
1922,AR,1772000.0
1923,AR,1784000.0
1924,AR,1800000.0
1925,AR,1812000.0
1926,AR,1826000.0
1927,AR,1840000.0
1928,AR,1847000.0
1929,AR,1852000.0
1930,AR,1859000.0
1931,AR,1848000.0
1932,AR,1836000.0
1933,AR,1854000.0
1934,AR,1878000.0
1935,AR,1890000.0
1936,AR,1892000.0
1937,AR,1903000.0
1938,AR,1928000.0
1939,AR,1948000.0
1940,AR,1955000.0
1941,AR,1969000.0
1942,AR,1977000.0
1943,AR,1843000.0
1944,AR,1768000.0
1945,AR,1762000.0
1946,AR,1797000.0
1947,AR,1836000.0
1948,AR,1825000.0
1949,AR,1844000.0
1950,AR,1908000.0
1951,AR,1901000.0
1952,AR,1838000.0
1953,AR,1780000.0
1954,AR,1734000.0
1955,AR,1725000.0
1956,AR,1704000.0
1957,AR,1733000.0
1958,AR,1726000.0
1959,AR,1756000.0
1960,AR,1789000.0
1961,AR,1806000.0
1962,AR,1853000.0
1963,AR,1875000.0
1964,AR,1897000.0
1965,AR,1894000.0
1966,AR,1899000.0
1967,AR,1901000.0
1968,AR,1902000.0
1969,AR,1913000.0
1970,AR,1923322.0
1971,AR,1972312.0
1972,AR,2018638.0
1973,AR,2059256.0
1974,AR,2101403.0
1975,AR,2159526.0
1976,AR,2170161.0
1977,AR,2209010.0
1978,AR,2243127.0
1979,AR,2271333.0
1980,AR,2288738.0
1981,AR,2293201.0
1982,AR,2294257.0
1983,AR,2305761.0
1984,AR,2319768.0
1985,AR,2327046.0
1986,AR,2331984.0
1987,AR,2342355.0
1988,AR,2342656.0
1989,AR,2346358.0
1990,AR,2354343.0
1991,AR,2370666.0
1992,AR,2394098.0
1993,AR,2423743.0
1994,AR,2450605.0
1995,AR,2480121.0
1996,AR,2504858.0
1997,AR,2524007.0
1998,AR,2538202.0
1999,AR,2551373.0
2000,AR,2678588.0
2001,AR,2691571.0
2002,AR,2705927.0
2003,AR,2724816.0
2004,AR,2749686.0
2005,AR,2781097.0
2006,AR,2821761.0
2007,AR,2848650.0
2008,AR,2874554.0
2009,AR,2896843.0
2010,AR,2922297.0
2011,AR,2938430.0
2012,AR,2949300.0
2013,AR,2958765.0
2014,AR,2966369.0
2015,AR,2978204.0
1900,AZ,124000.0
1901,AZ,131000.0
1902,AZ,138000.0
1903,AZ,144000.0
1904,AZ,151000.0
1905,AZ,158000.0
1906,AZ,167000.0
1907,AZ,176000.0
1908,AZ,186000.0
1909,AZ,196000.0
1910,AZ,206000.0
1911,AZ,212000.0
1912,AZ,217000.0
1913,AZ,236000.0
1914,AZ,253000.0
1915,AZ,263000.0
1916,AZ,282000.0
1917,AZ,311000.0
1918,AZ,320000.0
1919,AZ,329000.0
1920,AZ,340000.0
1921,AZ,351000.0
1922,AZ,360000.0
1923,AZ,371000.0
1924,AZ,382000.0
1925,AZ,393000.0
1926,AZ,403000.0
1927,AZ,414000.0
1928,AZ,422000.0
1929,AZ,430000.0
1930,AZ,434000.0
1931,AZ,429000.0
1932,AZ,426000.0
1933,AZ,426000.0
1934,AZ,428000.0
1935,AZ,434000.0
1936,AZ,443000.0
1937,AZ,453000.0
1938,AZ,466000.0
1939,AZ,484000.0
1940,AZ,499000.0
1941,AZ,490000.0
1942,AZ,524000.0
1943,AZ,692000.0
1944,AZ,610000.0
1945,AZ,594000.0
1946,AZ,616000.0
1947,AZ,653000.0
1948,AZ,690000.0
1949,AZ,714000.0
1950,AZ,756000.0
1951,AZ,785000.0
1952,AZ,842000.0
1953,AZ,894000.0
1954,AZ,933000.0
1955,AZ,987000.0
1956,AZ,1053000.0
1957,AZ,1125000.0
1958,AZ,1193000.0
1959,AZ,1261000.0
1960,AZ,1321000.0
1961,AZ,1407000.0
1962,AZ,1471000.0
1963,AZ,1521000.0
1964,AZ,1556000.0
1965,AZ,1584000.0
1966,AZ,1614000.0
1967,AZ,1646000.0
1968,AZ,1682000.0
1969,AZ,1737000.0
1970,AZ,1775399.0
1971,AZ,1895814.0
1972,AZ,2008291.0
1973,AZ,2124438.0
1974,AZ,2223196.0
1975,AZ,2284847.0
1976,AZ,2346157.0
1977,AZ,2425197.0
1978,AZ,2515316.0
1979,AZ,2635571.0
1980,AZ,2737774.0
1981,AZ,2810107.0
1982,AZ,2889861.0
1983,AZ,2968925.0
1984,AZ,3067135.0
1985,AZ,3183538.0
1986,AZ,3308262.0
1987,AZ,3437103.0
1988,AZ,3535183.0
1989,AZ,3622185.0
1990,AZ,3679056.0
1991,AZ,3762394.0
1992,AZ,3867333.0
1993,AZ,3993390.0
1994,AZ,4147561.0
1995,AZ,4306908.0
1996,AZ,4432308.0
1997,AZ,4552207.0
1998,AZ,4667277.0
1999,AZ,4778332.0
2000,AZ,5160586.0
2001,AZ,5273477.0
2002,AZ,5396255.0
2003,AZ,5510364.0
2004,AZ,5652404.0
2005,AZ,5839077.0
2006,AZ,6029141.0
2007,AZ,6167681.0
2008,AZ,6280362.0
2009,AZ,6343154.0
2010,AZ,6411999.0
2011,AZ,6472867.0
2012,AZ,6556236.0
2013,AZ,6634997.0
2014,AZ,6731484.0
2015,AZ,6828065.0
1900,CA,1490000.0
1901,CA,1550000.0
1902,CA,1623000.0
1903,CA,1702000.0
1904,CA,1792000.0
1905,CA,1893000.0
1906,CA,1976000.0
1907,CA,2054000.0
1908,CA,2161000.0
1909,CA,2282000.0
1910,CA,2406000.0
1911,CA,2534000.0
1912,CA,2668000.0
1913,CA,2811000.0
1914,CA,2934000.0
1915,CA,3008000.0
1916,CA,3071000.0
1917,CA,3171000.0
1918,CA,3262000.0
1919,CA,3339000.0
1920,CA,3554000.0
1921,CA,3795000.0
1922,CA,3991000.0
1923,CA,4270000.0
1924,CA,4541000.0
1925,CA,4730000.0
1926,CA,4929000.0
1927,CA,5147000.0
1928,CA,5344000.0
1929,CA,5531000.0
1930,CA,5711000.0
1931,CA,5824000.0
1932,CA,5894000.0
1933,CA,5963000.0
1934,CA,6060000.0
1935,CA,6175000.0
1936,CA,6341000.0
1937,CA,6528000.0
1938,CA,6656000.0
1939,CA,6785000.0
1940,CA,6950000.0
1941,CA,7237000.0
1942,CA,7735000.0
1943,CA,8506000.0
1944,CA,8945000.0
1945,CA,9344000.0
1946,CA,9559000.0
1947,CA,9832000.0
1948,CA,10064000.0
1949,CA,10337000.0
1950,CA,10677000.0
1951,CA,11134000.0
1952,CA,11635000.0
1953,CA,12251000.0
1954,CA,12746000.0
1955,CA,13133000.0
1956,CA,13713000.0
1957,CA,14264000.0
1958,CA,14880000.0
1959,CA,15467000.0
1960,CA,15870000.0
1961,CA,16497000.0
1962,CA,17072000.0
1963,CA,17668000.0
1964,CA,18151000.0
1965,CA,18585000.0
1966,CA,18858000.0
1967,CA,19176000.0
1968,CA,19394000.0
1969,CA,19711000.0
1970,CA,19971069.0
1971,CA,20345939.0
1972,CA,20585469.0
1973,CA,20868728.0
1974,CA,21173865.0
1975,CA,21537849.0
1976,CA,21935909.0
1977,CA,22352396.0
1978,CA,22835958.0
1979,CA,23256880.0
1980,CA,23800800.0
1981,CA,24285933.0
1982,CA,24820009.0
1983,CA,25360026.0
1984,CA,25844393.0
1985,CA,26441109.0
1986,CA,27102237.0
1987,CA,27777158.0
1988,CA,28464249.0
1989,CA,29218164.0
1990,CA,29950111.0
1991,CA,30414114.0
1992,CA,30875920.0
1993,CA,31147208.0
1994,CA,31317179.0
1995,CA,31493525.0
1996,CA,31780829.0
1997,CA,32217708.0
1998,CA,32682794.0
1999,CA,33145121.0
2000,CA,33987977.0
2001,CA,34479458.0
2002,CA,34871843.0
2003,CA,35253159.0
2004,CA,35574576.0
2005,CA,35827943.0
2006,CA,36021202.0
2007,CA,36250311.0
2008,CA,36604337.0
2009,CA,36961229.0
2010,CA,37336011.0
2011,CA,37701901.0
2012,CA,38062780.0
2013,CA,38431393.0
2014,CA,38802500.0
2015,CA,39144818.0
1900,CO,543000.0
1901,CO,581000.0
1902,CO,621000.0
1903,CO,652000.0
1904,CO,659000.0
1905,CO,680000.0
1906,CO,707000.0
1907,CO,733000.0
1908,CO,757000.0
1909,CO,775000.0
1910,CO,804000.0
1911,CO,821000.0
1912,CO,832000.0
1913,CO,835000.0
1914,CO,846000.0
1915,CO,868000.0
1916,CO,892000.0
1917,CO,910000.0
1918,CO,906000.0
1919,CO,938000.0
1920,CO,937000.0
1921,CO,961000.0
1922,CO,965000.0
1923,CO,984000.0
1924,CO,1014000.0
1925,CO,1019000.0
1926,CO,1016000.0
1927,CO,1028000.0
1928,CO,1014000.0
1929,CO,1008000.0
1930,CO,1040000.0
1931,CO,1056000.0
1932,CO,1066000.0
1933,CO,1071000.0
1934,CO,1075000.0
1935,CO,1078000.0
1936,CO,1090000.0
1937,CO,1104000.0
1938,CO,1112000.0
1939,CO,1120000.0
1940,CO,1130000.0
1941,CO,1124000.0
1942,CO,1113000.0
1943,CO,1153000.0
1944,CO,1137000.0
1945,CO,1116000.0
1946,CO,1203000.0
1947,CO,1237000.0
1948,CO,1263000.0
1949,CO,1295000.0
1950,CO,1325000.0
1951,CO,1326000.0
1952,CO,1365000.0
1953,CO,1431000.0
1954,CO,1493000.0
1955,CO,1546000.0
1956,CO,1625000.0
1957,CO,1664000.0
1958,CO,1667000.0
1959,CO,1710000.0
1960,CO,1769000.0
1961,CO,1844000.0
1962,CO,1899000.0
1963,CO,1936000.0
1964,CO,1970000.0
1965,CO,1985000.0
1966,CO,2007000.0
1967,CO,2053000.0
1968,CO,2120000.0
1969,CO,2166000.0
1970,CO,2209596.0
1971,CO,2303524.0
1972,CO,2404619.0
1973,CO,2495868.0
1974,CO,2541406.0
1975,CO,2586192.0
1976,CO,2632306.0
1977,CO,2696140.0
1978,CO,2766748.0
1979,CO,2849234.0
1980,CO,2908803.0
1981,CO,2977898.0
1982,CO,3061564.0
1983,CO,3133630.0
1984,CO,3169992.0
1985,CO,3208723.0
1986,CO,3237450.0
1987,CO,3260480.0
1988,CO,3262281.0
1989,CO,3275818.0
1990,CO,3303862.0
1991,CO,3367567.0
1992,CO,3459995.0
1993,CO,3560884.0
1994,CO,3653910.0
1995,CO,3738061.0
1996,CO,3812716.0
1997,CO,3891293.0
1998,CO,3968967.0
1999,CO,4056133.0
2000,CO,4326921.0
2001,CO,4425687.0
2002,CO,4490406.0
2003,CO,4528732.0
2004,CO,4575013.0
2005,CO,4631888.0
2006,CO,4720423.0
2007,CO,4803868.0
2008,CO,4889730.0
2009,CO,4972195.0
2010,CO,5048575.0
2011,CO,5119661.0
2012,CO,5191709.0
2013,CO,5272086.0
2014,CO,5355866.0
2015,CO,5456574.0
1900,CT,910000.0
1901,CT,931000.0
1902,CT,952000.0
1903,CT,972000.0
1904,CT,987000.0
1905,CT,1010000.0
1906,CT,1033000.0
1907,CT,1057000.0
1908,CT,1077000.0
1909,CT,1097000.0
1910,CT,1122000.0
1911,CT,1149000.0
1912,CT,1176000.0
1913,CT,1208000.0
1914,CT,1233000.0
1915,CT,1258000.0
1916,CT,1294000.0
1917,CT,1327000.0
1918,CT,1329000.0
1919,CT,1359000.0
1920,CT,1391000.0
1921,CT,1415000.0
1922,CT,1431000.0
1923,CT,1455000.0
1924,CT,1481000.0
1925,CT,1506000.0
1926,CT,1531000.0
1927,CT,1557000.0
1928,CT,1577000.0
1929,CT,1594000.0
1930,CT,1613000.0
1931,CT,1628000.0
1932,CT,1637000.0
1933,CT,1642000.0
1934,CT,1650000.0
1935,CT,1666000.0
1936,CT,1672000.0
1937,CT,1678000.0
1938,CT,1684000.0
1939,CT,1696000.0
1940,CT,1708000.0
1941,CT,1746000.0
1942,CT,1792000.0
1943,CT,1792000.0
1944,CT,1778000.0
1945,CT,1769000.0
1946,CT,1906000.0
1947,CT,1967000.0
1948,CT,2014000.0
1949,CT,2032000.0
1950,CT,2016000.0
1951,CT,2028000.0
1952,CT,2081000.0
1953,CT,2168000.0
1954,CT,2249000.0
1955,CT,2300000.0
1956,CT,2316000.0
1957,CT,2359000.0
1958,CT,2446000.0
1959,CT,2523000.0
1960,CT,2544000.0
1961,CT,2586000.0
1962,CT,2647000.0
1963,CT,2727000.0
1964,CT,2798000.0
1965,CT,2857000.0
1966,CT,2903000.0
1967,CT,2935000.0
1968,CT,2964000.0
1969,CT,3000000.0
1970,CT,3032217.0
1971,CT,3060938.0
1972,CT,3068699.0
1973,CT,3067814.0
1974,CT,3074047.0
1975,CT,3082500.0
1976,CT,3083335.0
1977,CT,3085722.0
1978,CT,3091627.0
1979,CT,3095917.0
1980,CT,3113174.0
1981,CT,3128836.0
1982,CT,3139013.0
1983,CT,3162354.0
1984,CT,3180014.0
1985,CT,3201131.0
1986,CT,3223740.0
1987,CT,3247291.0
1988,CT,3271953.0
1989,CT,3283403.0
1990,CT,3289056.0
1991,CT,3288640.0
1992,CT,3274997.0
1993,CT,3272325.0
1994,CT,3268346.0
1995,CT,3265293.0
1996,CT,3267030.0
1997,CT,3268514.0
1998,CT,3272563.0
1999,CT,3282031.0
2000,CT,3411777.0
2001,CT,3432835.0
2002,CT,3458749.0
2003,CT,3484336.0
2004,CT,3496094.0
2005,CT,3506956.0
2006,CT,3517460.0
2007,CT,3527270.0
2008,CT,3545579.0
2009,CT,3561807.0
2010,CT,3579345.0
2011,CT,3590537.0
2012,CT,3594362.0
2013,CT,3599341.0
2014,CT,3596677.0
2015,CT,3590886.0
1900,DC,278000.0
1901,DC,285000.0
1902,DC,290000.0
1903,DC,295000.0
1904,DC,302000.0
1905,DC,308000.0
1906,DC,313000.0
1907,DC,317000.0
1908,DC,321000.0
1909,DC,327000.0
1910,DC,334000.0
1911,DC,344000.0
1912,DC,340000.0
1913,DC,358000.0
1914,DC,368000.0
1915,DC,361000.0
1916,DC,360000.0
1917,DC,385000.0
1918,DC,418000.0
1919,DC,445000.0
1920,DC,440000.0
1921,DC,446000.0
1922,DC,450000.0
1923,DC,453000.0
1924,DC,456000.0
1925,DC,461000.0
1926,DC,469000.0
1927,DC,476000.0
1928,DC,479000.0
1929,DC,483000.0
1930,DC,488000.0
1931,DC,504000.0
1932,DC,513000.0
1933,DC,529000.0
1934,DC,568000.0
1935,DC,608000.0
1936,DC,629000.0
1937,DC,616000.0
1938,DC,638000.0
1939,DC,658000.0
1940,DC,690000.0
1941,DC,764000.0
1942,DC,851000.0
1943,DC,900000.0
1944,DC,881000.0
1945,DC,876000.0
1946,DC,899000.0
1947,DC,888000.0
1948,DC,840000.0
1949,DC,807000.0
1950,DC,806000.0
1951,DC,808000.0
1952,DC,805000.0
1953,DC,810000.0
1954,DC,791000.0
1955,DC,785000.0
1956,DC,759000.0
1957,DC,763000.0
1958,DC,757000.0
1959,DC,761000.0
1960,DC,765000.0
1961,DC,778000.0
1962,DC,788000.0
1963,DC,798000.0
1964,DC,798000.0
1965,DC,797000.0
1966,DC,791000.0
1967,DC,791000.0
1968,DC,778000.0
1969,DC,762000.0
1970,DC,756668.0
1971,DC,749781.0
1972,DC,742241.0
1973,DC,731488.0
1974,DC,717947.0
1975,DC,706871.0
1976,DC,692295.0
1977,DC,677228.0
1978,DC,665052.0
1979,DC,650016.0
1980,DC,638284.0
1981,DC,636893.0
1982,DC,634174.0
1983,DC,632433.0
1984,DC,633382.0
1985,DC,634549.0
1986,DC,638269.0
1987,DC,636930.0
1988,DC,630432.0
1989,DC,624168.0
1990,DC,603814.0
1991,DC,593239.0
1992,DC,584183.0
1993,DC,576358.0
1994,DC,564982.0
1995,DC,551273.0
1996,DC,538273.0
1997,DC,528752.0
1998,DC,521426.0
1999,DC,519000.0
2000,DC,572046.0
2001,DC,574504.0
2002,DC,573158.0
2003,DC,568502.0
2004,DC,567754.0
2005,DC,567136.0
2006,DC,570681.0
2007,DC,574404.0
2008,DC,580236.0
2009,DC,592228.0
2010,DC,605210.0
2011,DC,620427.0
2012,DC,635040.0
2013,DC,649111.0
2014,DC,658893.0
2015,DC,672228.0
1900,DE,185000.0
1901,DE,187000.0
1902,DE,188000.0
1903,DE,190000.0
1904,DE,192000.0
1905,DE,194000.0
1906,DE,196000.0
1907,DE,197000.0
1908,DE,199000.0
1909,DE,201000.0
1910,DE,203000.0
1911,DE,207000.0
1912,DE,209000.0
1913,DE,213000.0
1914,DE,216000.0
1915,DE,217000.0
1916,DE,219000.0
1917,DE,222000.0
1918,DE,220000.0
1919,DE,221000.0
1920,DE,219000.0
1921,DE,216000.0
1922,DE,214000.0
1923,DE,215000.0
1924,DE,219000.0
1925,DE,222000.0
1926,DE,225000.0
1927,DE,229000.0
1928,DE,233000.0
1929,DE,236000.0
1930,DE,239000.0
1931,DE,242000.0
1932,DE,245000.0
1933,DE,248000.0
1934,DE,250000.0
1935,DE,252000.0
1936,DE,253000.0
1937,DE,254000.0
1938,DE,257000.0
1939,DE,263000.0
1940,DE,269000.0
1941,DE,275000.0
1942,DE,279000.0
1943,DE,282000.0
1944,DE,285000.0
1945,DE,286000.0
1946,DE,299000.0
1947,DE,305000.0
1948,DE,312000.0
1949,DE,316000.0
1950,DE,321000.0
1951,DE,331000.0
1952,DE,341000.0
1953,DE,351000.0
1954,DE,368000.0
1955,DE,389000.0
1956,DE,408000.0
1957,DE,426000.0
1958,DE,433000.0
1959,DE,441000.0
1960,DE,449000.0
1961,DE,461000.0
1962,DE,469000.0
1963,DE,483000.0
1964,DE,497000.0
1965,DE,507000.0
1966,DE,516000.0
1967,DE,525000.0
1968,DE,534000.0
1969,DE,540000.0
1970,DE,548104.0
1971,DE,564708.0
1972,DE,572913.0
1973,DE,577759.0
1974,DE,581418.0
1975,DE,586589.0
1976,DE,590166.0
1977,DE,591829.0
1978,DE,594776.0
1979,DE,594984.0
1980,DE,594919.0
1981,DE,595975.0
1982,DE,599148.0
1983,DE,605458.0
1984,DE,611565.0
1985,DE,618280.0
1986,DE,627559.0
1987,DE,636947.0
1988,DE,647622.0
1989,DE,658273.0
1990,DE,669063.0
1991,DE,680495.0
1992,DE,690158.0
1993,DE,699475.0
1994,DE,708416.0
1995,DE,718265.0
1996,DE,727090.0
1997,DE,735024.0
1998,DE,744066.0
1999,DE,753538.0
2000,DE,786373.0
2001,DE,795699.0
2002,DE,806169.0
2003,DE,818003.0
2004,DE,830803.0
2005,DE,845150.0
2006,DE,859268.0
2007,DE,871749.0
2008,DE,883874.0
2009,DE,891730.0
2010,DE,899731.0
2011,DE,907829.0
2012,DE,916881.0
2013,DE,925240.0
2014,DE,935614.0
2015,DE,945934.0
1900,FL,530000.0
1901,FL,544000.0
1902,FL,565000.0
1903,FL,587000.0
1904,FL,599000.0
1905,FL,615000.0
1906,FL,628000.0
1907,FL,645000.0
1908,FL,684000.0
1909,FL,724000.0
1910,FL,756000.0
1911,FL,773000.0
1912,FL,801000.0
1913,FL,828000.0
1914,FL,871000.0
1915,FL,922000.0
1916,FL,924000.0
1917,FL,895000.0
1918,FL,865000.0
1919,FL,898000.0
1920,FL,962000.0
1921,FL,997000.0
1922,FL,1044000.0
1923,FL,1097000.0
1924,FL,1160000.0
1925,FL,1264000.0
1926,FL,1368000.0
1927,FL,1418000.0
1928,FL,1433000.0
1929,FL,1445000.0
1930,FL,1471000.0
1931,FL,1493000.0
1932,FL,1521000.0
1933,FL,1552000.0
1934,FL,1585000.0
1935,FL,1613000.0
1936,FL,1651000.0
1937,FL,1709000.0
1938,FL,1771000.0
1939,FL,1836000.0
1940,FL,1915000.0
1941,FL,2017000.0
1942,FL,2151000.0
1943,FL,2451000.0
1944,FL,2420000.0
1945,FL,2465000.0
1946,FL,2440000.0
1947,FL,2528000.0
1948,FL,2578000.0
1949,FL,2668000.0
1950,FL,2810000.0
1951,FL,2980000.0
1952,FL,3157000.0
1953,FL,3310000.0
1954,FL,3505000.0
1955,FL,3747000.0
1956,FL,4047000.0
1957,FL,4372000.0
1958,FL,4630000.0
1959,FL,4808000.0
1960,FL,5004000.0
1961,FL,5243000.0
1962,FL,5458000.0
1963,FL,5628000.0
1964,FL,5781000.0
1965,FL,5954000.0
1966,FL,6104000.0
1967,FL,6242000.0
1968,FL,6433000.0
1969,FL,6641000.0
1970,FL,6791418.0
1971,FL,7158304.0
1972,FL,7511463.0
1973,FL,7913696.0
1974,FL,8298762.0
1975,FL,8518422.0
1976,FL,8667379.0
1977,FL,8856183.0
1978,FL,9102032.0
1979,FL,9426159.0
1980,FL,9839835.0
1981,FL,10192774.0
1982,FL,10471407.0
1983,FL,10749851.0
1984,FL,11039925.0
1985,FL,11351118.0
1986,FL,11667505.0
1987,FL,11997283.0
1988,FL,12306395.0
1989,FL,12637715.0
1990,FL,13018365.0
1991,FL,13289497.0
1992,FL,13504775.0
1993,FL,13713593.0
1994,FL,13961798.0
1995,FL,14185403.0
1996,FL,14426911.0
1997,FL,14683350.0
1998,FL,14908230.0
1999,FL,15111244.0
2000,FL,16047515.0
2001,FL,16356966.0
2002,FL,16689370.0
2003,FL,17004085.0
2004,FL,17415318.0
2005,FL,17842038.0
2006,FL,18166990.0
2007,FL,18367842.0
2008,FL,18527305.0
2009,FL,18652644.0
2010,FL,18852220.0
2011,FL,19107900.0
2012,FL,19355257.0
2013,FL,19600311.0
2014,FL,19893297.0
2015,FL,20271272.0
1900,GA,2220000.0
1901,GA,2263000.0
1902,GA,2305000.0
1903,GA,2346000.0
1904,GA,2387000.0
1905,GA,2427000.0
1906,GA,2466000.0
1907,GA,2505000.0
1908,GA,2543000.0
1909,GA,2580000.0
1910,GA,2618000.0
1911,GA,2644000.0
1912,GA,2676000.0
1913,GA,2733000.0
1914,GA,2776000.0
1915,GA,2810000.0
1916,GA,2856000.0
1917,GA,2885000.0
1918,GA,2941000.0
1919,GA,2870000.0
1920,GA,2926000.0
1921,GA,2965000.0
1922,GA,2965000.0
1923,GA,2954000.0
1924,GA,2920000.0
1925,GA,2883000.0
1926,GA,2869000.0
1927,GA,2891000.0
1928,GA,2903000.0
1929,GA,2903000.0
1930,GA,2910000.0
1931,GA,2924000.0
1932,GA,2935000.0
1933,GA,2950000.0
1934,GA,2964000.0
1935,GA,2955000.0
1936,GA,2978000.0
1937,GA,3037000.0
1938,GA,3091000.0
1939,GA,3120000.0
1940,GA,3119000.0
1941,GA,3179000.0
1942,GA,3209000.0
1943,GA,3245000.0
1944,GA,3176000.0
1945,GA,3119000.0
1946,GA,3242000.0
1947,GA,3272000.0
1948,GA,3259000.0
1949,GA,3325000.0
