Date,Year,Month,Day
2019-05-27 00:00:00.000,2019,5,27
2019-05-28 00:00:00.000,2019,5,28
2019-05-29 00:00:00.000,2019,5,29
2019-05-30 00:00:00.000,2019,5,30
2019-05-31 00:00:00.000,2019,5,31
2019-06-01 00:00:00.000,2019,6,1
2019-06-02 00:00:00.000,2019,6,2
2019-06-03 00:00:00.000,2019,6,3
2019-06-04 00:00:00.000,2019,6,4
2019-06-05 00:00:00.000,2019,6,5
2019-06-06 00:00:00.000,2019,6,6
2019-06-07 00:00:00.000,2019,6,7
2019-06-08 00:00:00.000,2019,6,8
2019-06-09 00:00:00.000,2019,6,9
2019-06-10 00:00:00.000,2019,6,10
2019-06-11 00:00:00.000,2019,6,11
2019-06-12 00:00:00.000,2019,6,12
2019-06-13 00:00:00.000,2019,6,13
2019-06-14 00:00:00.000,2019,6,14
2019-06-15 00:00:00.000,2019,6,15
2019-06-16 00:00:00.000,2019,6,16
2019-06-17 00:00:00.000,2019,6,17
2019-06-18 00:00:00.000,2019,6,18
2019-06-19 00:00:00.000,2019,6,19
2019-06-20 00:00:00.000,2019,6,20
2019-06-21 00:00:00.000,2019,6,21
2019-06-22 00:00:00.000,2019,6,22
2019-06-23 00:00:00.000,2019,6,23
2019-06-24 00:00:00.000,2019,6,24
2019-06-25 00:00:00.000,2019,6,25
2019-06-26 00:00:00.000,2019,6,26
2019-06-27 00:00:00.000,2019,6,27
2019-06-28 00:00:00.000,2019,6,28
2019-06-29 00:00:00.000,2019,6,29
2019-06-30 00:00:00.000,2019,6,30
2019-07-01 00:00:00.000,2019,7,1
2019-07-02 00:00:00.000,2019,7,2
2019-07-03 00:00:00.000,2019,7,3
2019-07-04 00:00:00.000,2019,7,4
2019-07-05 00:00:00.000,2019,7,5
2019-07-06 00:00:00.000,2019,7,6
2019-07-07 00:00:00.000,2019,7,7
2019-07-08 00:00:00.000,2019,7,8
2019-07-09 00:00:00.000,2019,7,9
2019-07-10 00:00:00.000,2019,7,10
2019-07-11 00:00:00.000,2019,7,11
2019-07-12 00:00:00.000,2019,7,12
2019-07-13 00:00:00.000,2019,7,13
2019-07-14 00:00:00.000,2019,7,14
2019-07-15 00:00:00.000,2019,7,15
2019-07-16 00:00:00.000,2019,7,16
2019-07-17 00:00:00.000,2019,7,17
2019-07-18 00:00:00.000,2019,7,18
2019-07-19 00:00:00.000,2019,7,19
2019-07-20 00:00:00.000,2019,7,20
2019-07-21 00:00:00.000,2019,7,21
2019-07-22 00:00:00.000,2019,7,22
2019-07-23 00:00:00.000,2019,7,23
2019-07-24 00:00:00.000,2019,7,24
2019-07-25 00:00:00.000,2019,7,25
2019-07-26 00:00:00.000,2019,7,26
2019-07-27 00:00:00.000,2019,7,27
2019-07-28 00:00:00.000,2019,7,28
2019-07-29 00:00:00.000,2019,7,29
2019-07-30 00:00:00.000,2019,7,30
2019-07-31 00:00:00.000,2019,7,31
2019-08-01 00:00:00.000,2019,8,1
2019-08-02 00:00:00.000,2019,8,2
2019-08-03 00:00:00.000,2019,8,3
2019-08-04 00:00:00.000,2019,8,4
2019-08-05 00:00:00.000,2019,8,5
2019-08-06 00:00:00.000,2019,8,6
2019-08-07 00:00:00.000,2019,8,7
2019-08-08 00:00:00.000,2019,8,8
2019-08-09 00:00:00.000,2019,8,9
2019-08-10 00:00:00.000,2019,8,10
2019-08-11 00:00:00.000,2019,8,11
2019-08-12 00:00:00.000,2019,8,12
2019-08-13 00:00:00.000,2019,8,13
2019-08-14 00:00:00.000,2019,8,14
2019-08-15 00:00:00.000,2019,8,15
2019-08-16 00:00:00.000,2019,8,16
2019-08-17 00:00:00.000,2019,8,17
2019-08-18 00:00:00.000,2019,8,18
2019-08-19 00:00:00.000,2019,8,19
2019-08-20 00:00:00.000,2019,8,20
2019-08-21 00:00:00.000,2019,8,21
2019-08-22 00:00:00.000,2019,8,22
2019-08-23 00:00:00.000,2019,8,23
2019-08-24 00:00:00.000,2019,8,24
2019-08-25 00:00:00.000,2019,8,25
2019-08-26 00:00:00.000,2019,8,26
2019-08-27 00:00:00.000,2019,8,27
2019-08-28 00:00:00.000,2019,8,28
2019-08-29 00:00:00.000,2019,8,29
2019-08-30 00:00:00.000,2019,8,30
2019-08-31 00:00:00.000,2019,8,31
2019-09-01 00:00:00.000,2019,9,1
2019-09-02 00:00:00.000,2019,9,2
2019-09-03 00:00:00.000,2019,9,3
2019-09-04 00:00:00.000,2019,9,4
2019-09-05 00:00:00.000,2019,9,5
2019-09-06 00:00:00.000,2019,9,6
2019-09-07 00:00:00.000,2019,9,7
2019-09-08 00:00:00.000,2019,9,8
2019-09-09 00:00:00.000,2019,9,9
2019-09-10 00:00:00.000,2019,9,10
2019-09-11 00:00:00.000,2019,9,11
2019-09-12 00:00:00.000,2019,9,12
2019-09-13 00:00:00.000,2019,9,13
2019-09-14 00:00:00.000,2019,9,14
2019-09-15 00:00:00.000,2019,9,15
2019-09-16 00:00:00.000,2019,9,16
2019-09-17 00:00:00.000,2019,9,17
2019-09-18 00:00:00.000,2019,9,18
2019-09-19 00:00:00.000,2019,9,19
2019-09-20 00:00:00.000,2019,9,20
2019-09-21 00:00:00.000,2019,9,21
2019-09-22 00:00:00.000,2019,9,22
2019-09-23 00:00:00.000,2019,9,23
2019-09-24 00:00:00.000,2019,9,24
2019-09-25 00:00:00.000,2019,9,25
2019-09-26 00:00:00.000,2019,9,26
2019-09-27 00:00:00.000,2019,9,27
2019-09-28 00:00:00.000,2019,9,28
2019-09-29 00:00:00.000,2019,9,29
2019-09-30 00:00:00.000,2019,9,30
2019-10-01 00:00:00.000,2019,10,1
2019-10-02 00:00:00.000,2019,10,2
2019-10-03 00:00:00.000,2019,10,3
2019-10-04 00:00:00.000,2019,10,4
2019-10-05 00:00:00.000,2019,10,5
2019-10-06 00:00:00.000,2019,10,6
2019-10-07 00:00:00.000,2019,10,7
2019-10-08 00:00:00.000,2019,10,8
2019-10-09 00:00:00.000,2019,10,9
2019-10-10 00:00:00.000,2019,10,10
2019-10-11 00:00:00.000,2019,10,11
2019-10-12 00:00:00.000,2019,10,12
2019-10-13 00:00:00.000,2019,10,13
2019-10-14 00:00:00.000,2019,10,14
2019-10-15 00:00:00.000,2019,10,15
2019-10-16 00:00:00.000,2019,10,16
2019-10-17 00:00:00.000,2019,10,17
2019-10-18 00:00:00.000,2019,10,18
2019-10-19 00:00:00.000,2019,10,19
2019-10-20 00:00:00.000,2019,10,20
2019-10-21 00:00:00.000,2019,10,21
2019-10-22 00:00:00.000,2019,10,22
2019-10-23 00:00:00.000,2019,10,23
2019-10-24 00:00:00.000,2019,10,24
2019-10-25 00:00:00.000,2019,10,25
2019-10-26 00:00:00.000,2019,10,26
2019-10-27 00:00:00.000,2019,10,27
2019-10-28 00:00:00.000,2019,10,28
2019-10-29 00:00:00.000,2019,10,29
2019-10-30 00:00:00.000,2019,10,30
2019-10-31 00:00:00.000,2019,10,31
2019-11-01 00:00:00.000,2019,11,1
2019-11-02 00:00:00.000,2019,11,2
2019-11-03 00:00:00.000,2019,11,3
2019-11-04 00:00:00.000,2019,11,4
2019-11-05 00:00:00.000,2019,11,5
2019-11-06 00:00:00.000,2019,11,6
2019-11-07 00:00:00.000,2019,11,7
2019-11-08 00:00:00.000,2019,11,8
2019-11-09 00:00:00.000,2019,11,9
2019-11-10 00:00:00.000,2019,11,10
2019-11-11 00:00:00.000,2019,11,11
2019-11-12 00:00:00.000,2019,11,12
2019-11-13 00:00:00.000,2019,11,13
2019-11-14 00:00:00.000,2019,11,14
2019-11-15 00:00:00.000,2019,11,15
2019-11-16 00:00:00.000,2019,11,16
2019-11-17 00:00:00.000,2019,11,17
2019-11-18 00:00:00.000,2019,11,18
2019-11-19 00:00:00.000,2019,11,19
2019-11-20 00:00:00.000,2019,11,20
2019-11-21 00:00:00.000,2019,11,21
2019-11-22 00:00:00.000,2019,11,22
2019-11-23 00:00:00.000,2019,11,23
2019-11-24 00:00:00.000,2019,11,24
2019-11-25 00:00:00.000,2019,11,25
2019-11-26 00:00:00.000,2019,11,26
2019-11-27 00:00:00.000,2019,11,27
2019-11-28 00:00:00.000,2019,11,28
2019-11-29 00:00:00.000,2019,11,29
2019-11-30 00:00:00.000,2019,11,30
2019-12-01 00:00:00.000,2019,12,1
