Country,Población,Cantidad Población
"Republic of the Congo",5125821,"1 M -10 M"
"Costa Rica",4857274,"1 M -10 M"
"Croatia",4170600,"1 M -10 M"
"Cyprus",1170125,"1 M -10 M"
"Denmark",5731118,"1 M -10 M"
"El Salvador",6344722,"1 M -10 M"
"Equatorial Guinea",1221490,"1 M -10 M"
"Estonia",1316481,"1 M -10 M"
"Finland",5495096,"1 M -10 M"
"Gabon",1979786,"1 M -10 M"
"The Gambia",2038501,"1 M -10 M"
"Georgia",3719300,"1 M -10 M"
"Guinea-Bissau",1815698,"1 M -10 M"
"Honduras",9112867,"1 M -10 M"
"Hong Kong",7346700,"1 M -10 M"
"Hungary",9817958,"1 M -10 M"
"Ireland",4773095,"1 M -10 M"
"Israel",8547100,"1 M -10 M"
"Jamaica",2881355,"1 M -10 M"
"Jordan",9455802,"1 M -10 M"
"Kosovo",1816200,"1 M -10 M"
"Kuwait",4052584,"1 M -10 M"
"Kyrgyzstan",6082700,"1 M -10 M"
"Laos",6758353,"1 M -10 M"
"Latvia",1960424,"1 M -10 M"
"Lebanon",6006668,"1 M -10 M"
"Lesotho",2203821,"1 M -10 M"
"Liberia",4613823,"1 M -10 M"
"Libya",6293253,"1 M -10 M"
"Lithuania",2872298,"1 M -10 M"
"Macedonia",2081206,"1 M -10 M"
"Mauritania",4301018,"1 M -10 M"
"Mauritius",1263473,"1 M -10 M"
"Moldova",3552000,"1 M -10 M"
"Mongolia",3027398,"1 M -10 M"
"Namibia",2479713,"1 M -10 M"
"New Zealand",4692700,"1 M -10 M"
"Nicaragua",6149928,"1 M -10 M"
"Norway",5232929,"1 M -10 M"
"Oman",4424762,"1 M -10 M"
"Panama",4034119,"1 M -10 M"
"Papua New Guinea",8084991,"1 M -10 M"
"Paraguay",6725308,"1 M -10 M"
"Puerto Rico",3411307,"1 M -10 M"
"Qatar",2569804,"1 M -10 M"
"Serbia",7057412,"1 M -10 M"
"Sierra Leone",7396190,"1 M -10 M"
"Singapore",5607283,"1 M -10 M"
"Slovakia",5428704,"1 M -10 M"
"Slovenia",2064845,"1 M -10 M"
"Swaziland",1343098,"1 M -10 M"
"Sweden",9903122,"1 M -10 M"
"Switzerland",8372098,"1 M -10 M"
"Tajikistan",8734951,"1 M -10 M"
"Timor-Leste",1268671,"1 M -10 M"
"Togo",7606374,"1 M -10 M"
"Trinidad and Tobago",1364962,"1 M -10 M"
"Turkmenistan",5662544,"1 M -10 M"
"United Arab Emirates",9269612,"1 M -10 M"
"Uruguay",3444006,"1 M -10 M"
"West Bank",4551566,"1 M -10 M"
"American Samoa",55599,"0 - 1 M"
"Andorra",77281,"0 - 1 M"
"Antigua and Barbuda",100963,"0 - 1 M"
"Aruba",104822,"0 - 1 M"
"The Bahamas",391232,"0 - 1 M"
"Bangladesh",162951560,"100 M +"
"Barbados",284996,"0 - 1 M"
"Belize",366954,"0 - 1 M"
"Bermuda",65331,"0 - 1 M"
"Bhutan",797765,"0 - 1 M"
"Brazil",207652865,"100 M +"
"British Virgin Islands",30661,"0 - 1 M"
"Brunei",423196,"0 - 1 M"
"Cabo Verde",539560,"0 - 1 M"
"Cayman Islands",60765,"0 - 1 M"
"Guernsey",164541,"0 - 1 M"
"China",1378665000,"100 M +"
"Comoros",795601,"0 - 1 M"
"Curacao",159999,"0 - 1 M"
"Djibouti",942333,"0 - 1 M"
"Dominica",73543,"0 - 1 M"
"Ethiopia",102403196,"100 M +"
"Faroe Islands",49117,"0 - 1 M"
"Fiji",898760,"0 - 1 M"
"French Polynesia",280208,"0 - 1 M"
"Gibraltar",34408,"0 - 1 M"
"Greenland",56186,"0 - 1 M"
"Grenada",107317,"0 - 1 M"
"Guam",162896,"0 - 1 M"
"Guyana",773303,"0 - 1 M"
"Iceland",334252,"0 - 1 M"
"India",1324171354,"100 M +"
"Indonesia",261115456,"100 M +"
"Isle of Man",83737,"0 - 1 M"
"Japan",126994511,"100 M +"
"Kiribati",114395,"0 - 1 M"
"Liechtenstein",37666,"0 - 1 M"
"Luxembourg",582972,"0 - 1 M"
"Macau",612167,"0 - 1 M"
"Maldives",417492,"0 - 1 M"
"Malta",436947,"0 - 1 M"
"Marshall Islands",53066,"0 - 1 M"
"Mexico",127540423,"100 M +"
"Micronesia",104937,"0 - 1 M"
"Monaco",38499,"0 - 1 M"
"Montserrat",622781,"0 - 1 M"
"Nauru",13049,"0 - 1 M"
"New Caledonia",278000,"0 - 1 M"
"Nigeria",185989640,"100 M +"
"Northern Mariana Islands",55023,"0 - 1 M"
"Pakistan",193203476,"100 M +"
"Palau",21503,"0 - 1 M"
"Philippines",103320222,"100 M +"
"Russia",144342396,"100 M +"
"Samoa",195125,"0 - 1 M"
"San Marino",33203,"0 - 1 M"
"Sao Tome and Principe",199910,"0 - 1 M"
"Seychelles",94677,"0 - 1 M"
"Sint Maarten",40005,"0 - 1 M"
"Solomon Islands",599419,"0 - 1 M"
"Saint Kitts and Nevis",54821,"0 - 1 M"
"Saint Lucia",178015,"0 - 1 M"
"Saint Pierre and Miquelon",31949,"0 - 1 M"
"Saint Vincent and the Grenadines",109643,"0 - 1 M"
"Suriname",558368,"0 - 1 M"
"Tonga",107122,"0 - 1 M"
"Turks and Caicos Islands",34900,"0 - 1 M"
"Tuvalu",11097,"0 - 1 M"
"United States",323127513,"100 M +"
"Vanuatu",270402,"0 - 1 M"
"Virgin Islands",102951,"0 - 1 M"
