País,Esperanza de vida,Esperanza de vida (Años promedio)
"Guernsey",82.5,"80 o más"
"Comoros",64.2,"60 a 70"
"Democratic Republic of the Congo",57.3,"0 a 60"
"Republic of the Congo",59.3,"0 a 60"
"Côte d'Ivoire",58.7,"0 a 60"
"Djibouti",63.2,"60 a 70"
"Equatorial Guinea",64.2,"60 a 70"
"Ethiopia",62.2,"60 a 70"
"Faroe Islands",80.4,"80 o más"
"Finland",80.9,"80 o más"
"France",81.8,"80 o más"
"Gabon",52.1,"0 a 60"
"The Gambia",64.9,"60 a 70"
"Germany",80.7,"80 o más"
"Ghana",66.6,"60 a 70"
"Greece",80.5,"80 o más"
"Guinea",60.6,"60 a 70"
"Guinea-Bissau",50.6,"0 a 60"
"Guyana",68.4,"60 a 70"
"Haiti",63.8,"60 a 70"
"Hong Kong",82.9,"80 o más"
"Iceland",83,"80 o más"
"India",68.5,"60 a 70"
"Ireland",80.8,"80 o más"
"Isle of Man",81.2,"80 o más"
"Israel",82.4,"80 o más"
"Italy",82.2,"80 o más"
"Japan",85,"80 o más"
"Kenya",64,"60 a 70"
"Kiribati",66.2,"60 a 70"
"South Korea",82.4,"80 o más"
"Laos",64.3,"60 a 70"
"Lesotho",53,"0 a 60"
"Liberia",59,"0 a 60"
"Liechtenstein",81.9,"80 o más"
"Luxembourg",82.3,"80 o más"
"Macau",84.5,"80 o más"
"Madagascar",65.9,"60 a 70"
"Malawi",61.2,"60 a 70"
"Mali",55.8,"0 a 60"
"Malta",80.4,"80 o más"
"Mauritania",63,"60 a 70"
"Monaco",89.5,"80 o más"
"Mongolia",69.6,"60 a 70"
"Mozambique",53.3,"0 a 60"
"Myanmar",66.6,"60 a 70"
"Namibia",63.6,"60 a 70"
"Nauru",67.1,"60 a 70"
"Netherlands",81.3,"80 o más"
"New Zealand",81.2,"80 o más"
"Niger",55.5,"0 a 60"
"Nigeria",53.4,"0 a 60"
"Norway",81.8,"80 o más"
"Pakistan",67.7,"60 a 70"
"Papua New Guinea",67.2,"60 a 70"
"Philippines",69.2,"60 a 70"
"Rwanda",60.1,"60 a 70"
"San Marino",83.3,"80 o más"
"Sao Tome and Principe",64.9,"60 a 70"
"Senegal",61.7,"60 a 70"
"Sierra Leone",58.2,"0 a 60"
"Singapore",85,"80 o más"
"Somalia",52.4,"0 a 60"
"South Africa",63.1,"60 a 70"
"Spain",81.7,"80 o más"
"Saint Pierre and Miquelon",80.5,"80 o más"
"Sudan",64.1,"60 a 70"
"South Sudan",56.8,"0 a 60"
"Swaziland",51.6,"0 a 60"
"Sweden",82.1,"80 o más"
"Switzerland",82.6,"80 o más"
"Tajikistan",67.7,"60 a 70"
"Tanzania",62.2,"60 a 70"
"Timor-Leste",68.1,"60 a 70"
"Togo",65,"60 a 70"
"Tuvalu",66.5,"60 a 70"
"Uganda",55.4,"0 a 60"
"United Kingdom",80.7,"80 o más"
"Yemen",65.5,"60 a 70"
"Zambia",52.5,"0 a 60"
"Zimbabwe",58,"0 a 60"
